S_meliloti|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20325,OANT_RS15235,78.554,401,86,0,23,423,6,406,0.0,677
SM_b20326,OANT_RS15240,83.232,328,53,2,1,327,1,327,0.0,543
SM_b20327,OANT_RS15245,88.889,270,30,0,7,276,6,275,1.06e-173,478
SM_b20328,OANT_RS15250,77.177,333,76,0,1,333,1,333,0.0,553
SM_b20329,OANT_RS15255,80.377,265,52,0,6,270,5,269,1.90e-163,451
SM_b20330,OANT_RS15260,71.304,345,99,0,6,350,1,345,0.0,515
SM_b20335,OANT_RS02225,58.197,366,152,1,36,400,21,386,4.40e-164,465
SM_b20336,OANT_RS08850,31.387,274,162,10,7,263,19,283,1.04e-27,105
SM_b20337,OANT_RS14750,71.892,185,52,0,14,198,1,185,4.63e-96,275
SM_b20338,OANT_RS14755,77.330,397,89,1,1,396,1,397,0.0,597
SM_b20342,OANT_RS02370,25.330,379,241,13,217,564,22,389,4.08e-11,63.5
SM_b20343,OANT_RS02365,40.136,147,73,5,6,139,17,161,1.95e-23,92.0
SM_b20344,OANT_RS18630,43.046,302,162,4,5,304,1,294,6.74e-77,234
SM_b20345,OANT_RS07500,42.954,1036,583,4,8,1041,2,1031,0.0,833
SM_b20346,OANT_RS07495,33.623,345,215,7,25,362,25,362,9.03e-45,155
SM_b20348,OANT_RS15860,81.455,275,51,0,1,275,1,275,2.37e-170,469
SM_b20349,OANT_RS15855,85.852,311,44,0,3,313,1,311,0.0,546
SM_b20350,OANT_RS15850,65.566,212,73,0,1,212,1,212,1.47e-101,290
SM_b20351,OANT_RS15845,76.879,519,110,2,7,516,7,524,0.0,806
SM_b20352,OANT_RS15840,86.957,345,43,1,12,354,11,355,0.0,566
SM_b20353,OANT_RS15835,66.472,343,115,0,1,343,1,343,1.94e-177,493
SM_b20354,OANT_RS15830,50.839,596,288,2,1,595,1,592,0.0,571
SM_b20356,OANT_RS24150,33.519,540,316,6,398,897,445,981,3.25e-74,262
SM_b20357,OANT_RS24150,43.103,116,60,1,3,112,1017,1132,1.77e-24,94.0
SM_b20358,OANT_RS18995,46.552,116,62,0,179,294,3,118,4.39e-24,102
SM_b20362,OANT_RS19830,74.242,264,68,0,1,264,1,264,9.99e-147,409
SM_b20363,OANT_RS19835,80.966,352,67,0,1,352,1,352,0.0,594
SM_b20364,OANT_RS19840,78.869,743,154,2,1,742,1,741,0.0,1137
SM_b20365,OANT_RS19845,84.731,334,51,0,9,342,8,341,0.0,599
SM_b20366,OANT_RS19165,43.243,333,183,3,3,332,16,345,1.47e-86,262
SM_b20367,OANT_RS02265,42.857,63,35,1,2,64,14,75,4.39e-11,57.4
SM_b20368,OANT_RS18390,22.874,341,202,7,37,317,45,384,1.37e-15,74.3
SM_b20369,OANT_RS12485,26.047,430,267,10,7,410,32,436,4.01e-30,118
SM_b20370,OANT_RS18385,46.903,226,109,4,2,222,4,223,1.14e-54,182
SM_b20371,OANT_RS15060,34.667,150,92,4,1,147,1,147,3.89e-25,91.3
SM_b20372,OANT_RS21110,38.480,408,248,3,15,421,16,421,1.76e-89,275
SM_b20374,OANT_RS21100,28.659,328,224,5,2,326,1,321,2.18e-35,128
SM_b20375,OANT_RS15570,33.493,209,125,3,26,226,26,228,1.15e-26,101
SM_b20376,OANT_RS16905,38.318,107,64,2,17,122,20,125,2.18e-20,77.8
SM_b20377,OANT_RS16905,38.532,109,62,2,17,123,20,125,1.41e-21,80.9
SM_b20378,OANT_RS22640,44.635,466,256,2,15,480,8,471,4.33e-141,411
SM_b20379,OANT_RS01010,57.080,452,194,0,1,452,1,452,0.0,554
SM_b20380,OANT_RS19215,61.925,239,90,1,8,246,8,245,2.71e-105,310
SM_b20381,OANT_RS19205,37.089,213,134,0,15,227,16,228,1.08e-48,159
SM_b20382,OANT_RS19210,37.668,223,138,1,55,276,166,388,1.94e-38,136
SM_b20383,OANT_RS19220,30.145,345,221,8,23,355,1,337,3.28e-43,150
SM_b20384,OANT_RS09915,23.162,272,168,5,60,321,109,349,1.03e-15,73.9
SM_b20387,OANT_RS01625,25.490,204,144,2,11,206,19,222,1.05e-13,65.9
SM_b20388,OANT_RS18770,34.868,304,184,9,26,322,26,322,5.14e-36,129
SM_b20389,OANT_RS11525,45.808,334,180,1,7,339,22,355,3.95e-94,281
SM_b20391,OANT_RS01990,25.000,296,203,12,66,351,147,433,1.60e-09,57.8
SM_b20392,OANT_RS15875,70.044,227,68,0,4,230,6,232,4.15e-117,331
SM_b20393,OANT_RS15870,81.796,412,75,0,4,415,5,416,0.0,687
SM_b20394,OANT_RS15865,62.243,437,164,1,5,440,9,445,0.0,556
SM_b20395,OANT_RS02370,24.263,746,490,24,52,749,55,773,2.93e-27,115
SM_b20397,OANT_RS02365,38.095,168,77,6,21,177,13,164,2.62e-24,95.9
SM_b20402,OANT_RS03550,36.855,407,223,12,45,436,44,431,2.77e-69,224
SM_b20403,OANT_RS02365,40.909,154,81,4,2,145,13,166,2.32e-27,103
SM_b20404,OANT_RS02370,31.461,89,61,0,60,148,474,562,1.19e-08,55.5
SM_b20405,OANT_RS24960,29.150,247,163,4,11,249,8,250,6.34e-20,83.6
SM_b20406,OANT_RS23595,28.373,719,449,16,2,696,6,682,1.38e-68,235
SM_b20407,OANT_RS23600,25.197,635,405,20,38,667,4,573,4.92e-37,144
SM_b20409,OANT_RS20705,36.496,274,147,5,5,273,10,261,5.67e-45,150
SM_b20410,OANT_RS08275,63.103,290,107,0,21,310,31,320,1.49e-138,392
SM_b20415,OANT_RS06915,30.045,223,142,7,4,217,15,232,2.15e-16,77.0
SM_b20416,OANT_RS19385,84.884,430,62,1,1,427,1,430,0.0,773
SM_b20417,OANT_RS19390,86.348,293,40,0,1,293,1,293,2.36e-177,488
SM_b20418,OANT_RS19395,88.298,282,33,0,1,282,1,282,4.10e-164,454
SM_b20419,OANT_RS19400,73.429,350,91,2,1,349,1,349,0.0,521
SM_b20420,OANT_RS13775,32.418,182,111,6,19,193,25,201,3.06e-21,85.1
SM_b20422,OANT_RS06060,30.163,368,206,10,3,356,1,331,8.30e-33,122
SM_b20423,OANT_RS17960,83.991,456,73,0,1,456,1,456,0.0,818
SM_b20424,OANT_RS17955,72.490,498,137,0,1,498,1,498,0.0,709
SM_b20425,OANT_RS17950,74.150,147,38,0,1,147,5,151,9.04e-86,246
SM_b20426,OANT_RS17905,39.152,401,235,3,2,397,36,432,5.81e-90,277
SM_b20427,OANT_RS17910,56.078,255,111,1,1,255,1,254,7.54e-101,291
SM_b20428,OANT_RS17925,32.184,261,166,4,32,283,29,287,1.82e-39,136
SM_b20429,OANT_RS17920,48.341,211,109,0,2,212,1,211,6.01e-67,202
SM_b20430,OANT_RS17915,47.887,213,107,1,3,211,7,219,2.77e-67,204
SM_b20432,OANT_RS17945,64.103,312,111,1,7,318,2,312,2.31e-122,352
SM_b20433,OANT_RS17940,67.879,330,105,1,1,329,1,330,7.93e-155,434
SM_b20434,OANT_RS17935,77.835,388,86,0,6,393,5,392,0.0,652
SM_b20435,OANT_RS17930,68.012,322,103,0,6,327,13,334,1.58e-171,477
SM_b20436,OANT_RS14985,67.402,408,126,1,14,414,11,418,0.0,537
SM_b20441,OANT_RS20140,42.128,235,131,3,2,234,4,235,7.81e-55,173
SM_b20442,OANT_RS21100,36.808,307,175,8,1,297,1,298,3.20e-60,193
SM_b20444,OANT_RS21110,39.046,461,238,3,3,463,5,422,1.02e-102,310
SM_b20445,OANT_RS21115,58.166,349,142,1,6,350,5,353,3.40e-137,392
SM_b20446,OANT_RS21120,58.543,398,159,1,1,392,1,398,1.81e-172,485
SM_b20447,OANT_RS19735,41.339,433,253,1,133,564,353,785,5.91e-110,343
SM_b20449,OANT_RS06795,26.966,178,114,5,118,280,74,250,5.76e-11,59.3
SM_b20453,OANT_RS20180,70.242,289,84,2,17,303,1,289,9.00e-156,434
SM_b20455,OANT_RS11560,56.923,195,84,0,1,195,1,195,1.75e-77,228
SM_b20456,OANT_RS11555,72.581,248,68,0,1,248,1,248,7.54e-131,367
SM_b20457,OANT_RS22740,43.695,341,186,1,18,352,14,354,1.32e-98,295
SM_b20458,OANT_RS22780,72.414,319,86,1,29,347,4,320,2.40e-172,479
SM_b20459,OANT_RS22775,67.988,328,105,0,1,328,1,328,2.16e-162,453
SM_b20460,OANT_RS22770,69.631,596,181,0,17,612,18,613,0.0,890
SM_b20461,OANT_RS22760,42.458,179,93,3,3,175,4,178,2.57e-45,146
SM_b20462,OANT_RS22755,57.556,311,129,1,1,311,1,308,8.08e-131,372
SM_b20463,OANT_RS22750,50.820,122,60,0,43,164,49,170,5.98e-37,122
SM_b20466,OANT_RS15315,82.078,385,68,1,1,384,1,385,0.0,626
SM_b20467,OANT_RS02320,28.155,206,137,5,402,604,249,446,5.27e-10,58.9
SM_b20468,OANT_RS02325,33.953,215,131,5,3,214,7,213,1.21e-27,101
SM_b20474,OANT_RS13995,56.338,71,31,0,1,71,6,76,3.37e-25,86.3
SM_b20475,OANT_RS13215,46.584,161,77,5,1,155,1,158,5.16e-42,135
SM_b20476,OANT_RS15320,86.756,521,68,1,1,521,1,520,0.0,942
SM_b20477,OANT_RS15325,90.159,315,31,0,1,315,1,315,0.0,565
SM_b20478,OANT_RS15330,79.760,583,116,1,16,596,15,597,0.0,928
SM_b20479,OANT_RS15335,77.358,265,60,0,1,265,1,265,1.32e-148,413
SM_b20480,OANT_RS15340,73.684,228,60,0,29,256,25,252,1.95e-126,357
SM_b20481,OANT_RS15345,84.720,589,90,0,1,589,1,589,0.0,1045
SM_b20482,OANT_RS15350,74.037,597,150,2,1,592,1,597,0.0,910
SM_b20483,OANT_RS14570,45.210,334,178,3,7,338,5,335,5.96e-103,304
SM_b20484,OANT_RS20955,38.907,311,181,5,1,310,3,305,2.28e-57,186
SM_b20485,OANT_RS14735,44.885,479,259,4,16,490,2,479,1.05e-138,407
SM_b20486,OANT_RS14730,33.962,318,206,2,8,321,5,322,7.13e-47,158
SM_b20487,OANT_RS14725,39.597,298,170,3,24,311,22,319,1.91e-56,183
SM_b20488,OANT_RS02405,27.232,224,146,8,27,238,22,240,9.87e-13,63.9
SM_b20489,OANT_RS18420,32.488,434,282,6,11,441,4,429,2.02e-65,215
SM_b20491,OANT_RS22240,47.826,184,96,0,8,191,18,201,4.86e-65,196
SM_b20492,OANT_RS19415,31.980,197,128,2,1,197,10,200,5.28e-19,81.6
SM_b20493,OANT_RS17835,70.539,241,71,0,4,244,6,246,2.17e-122,345
SM_b20494,OANT_RS17840,59.170,289,118,0,1,289,1,289,8.07e-114,328
SM_b20496,OANT_RS07210,61.333,525,203,0,10,534,4,528,0.0,692
SM_b20497,OANT_RS15930,74.549,499,127,0,1,499,1,499,0.0,758
SM_b20498,OANT_RS15925,85.357,280,41,0,1,280,1,280,0.0,505
SM_b20499,OANT_RS15920,71.252,567,161,1,1,565,2,568,0.0,831
SM_b20500,OANT_RS15915,78.485,330,71,0,1,330,1,330,0.0,546
SM_b20501,OANT_RS15910,81.346,327,60,1,5,331,7,332,0.0,543
SM_b20502,OANT_RS15905,88.450,329,37,1,1,329,12,339,0.0,550
SM_b20503,OANT_RS15900,77.148,512,110,3,3,512,2,508,0.0,775
SM_b20504,OANT_RS15895,95.210,334,15,1,1,333,10,343,0.0,665
SM_b20506,OANT_RS01535,39.203,301,182,1,14,314,20,319,6.88e-63,199
SM_b20507,OANT_RS14555,42.857,490,277,3,4,492,7,494,2.28e-137,403
SM_b20509,OANT_RS07300,33.010,206,136,1,37,240,28,233,1.51e-27,103
SM_b20510,OANT_RS19440,30.348,402,233,8,1,362,1,395,1.82e-47,163
SM_b20511,OANT_RS10720,32.800,250,161,3,4,253,2,244,5.51e-42,141
SM_b20514,OANT_RS24140,39.130,161,97,1,57,216,7,167,5.94e-28,106
SM_b20515,OANT_RS18870,28.418,373,246,8,796,1152,104,471,1.35e-35,139
