Abortus2308|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16145,BME_RS09395,99.687,639,2,0,1,639,1,639,0.0,1286
BAB_RS16150,BME_RS09390,99.937,1579,1,0,1,1579,1,1579,0.0,3098
BAB_RS16155,BME_RS09385,100.000,241,0,0,1,241,1,241,0.0,496
BAB_RS16160,BME_RS09380,100.000,71,0,0,1,71,1,71,2.59e-49,146
BAB_RS16165,BME_RS09375,100.000,167,0,0,1,167,1,167,1.39e-125,346
BAB_RS16170,BME_RS09370,100.000,334,0,0,1,334,1,334,0.0,691
BAB_RS16175,BME_RS09365,99.242,132,1,0,1,132,1,132,1.58e-93,263
BAB_RS16180,BME_RS09360,98.473,131,2,0,1,131,1,131,1.87e-92,259
BAB_RS16185,BME_RS09355,99.742,387,1,0,1,387,1,387,0.0,773
BAB_RS16190,BME_RS09350,99.816,543,1,0,1,543,1,543,0.0,1105
BAB_RS16195,BME_RS09345,99.663,297,1,0,1,297,1,297,0.0,604
BAB_RS16200,BME_RS09340,98.697,307,4,0,1,307,1,307,0.0,622
BAB_RS16205,BME_RS09335,99.569,232,1,0,1,232,1,232,1.99e-170,465
BAB_RS16210,BME_RS09330,98.253,229,4,0,1,229,1,229,1.63e-170,465
BAB_RS16215,BME_RS09325,100.000,63,0,0,1,63,1,63,1.55e-43,131
BAB_RS16220,BME_RS09320,100.000,69,0,0,1,69,1,69,6.54e-46,137
BAB_RS16225,BME_RS09315,100.000,62,0,0,1,62,1,62,2.46e-40,123
BAB_RS16230,BME_RS09310,100.000,129,0,0,1,129,1,129,1.03e-84,252
BAB_RS16235,BME_RS09305,100.000,218,0,0,1,218,1,218,1.46e-157,431
BAB_RS16240,BME_RS09300,99.907,1077,1,0,1,1077,1,1077,0.0,2214
BAB_RS16245,BME_RS09295,99.793,483,1,0,1,483,1,483,0.0,956
BAB_RS16250,BME_RS09290,99.652,287,1,0,1,287,1,287,0.0,573
BAB_RS16260,BME_RS09275,99.184,245,2,0,1,245,1,245,0.0,498
BAB_RS16265,BME_RS09270,100.000,406,0,0,1,406,1,406,0.0,829
BAB_RS16270,BME_RS09265,99.543,219,1,0,1,219,1,219,1.72e-158,434
BAB_RS16275,BME_RS09260,99.401,167,1,0,1,167,1,167,2.85e-116,323
BAB_RS16280,BME_RS09255,99.757,411,1,0,1,411,1,411,0.0,843
BAB_RS16285,BME_RS09250,100.000,64,0,0,1,64,1,64,2.53e-45,135
BAB_RS16290,BME_RS09245,100.000,167,0,0,1,167,1,167,7.94e-125,344
BAB_RS16295,BME_RS09240,99.213,127,1,0,1,127,1,127,5.25e-90,253
BAB_RS16300,BME_RS09235,100.000,97,0,0,1,97,1,97,9.69e-71,202
BAB_RS16310,BME_RS16800,100.000,108,0,0,1,108,94,201,7.55e-79,227
BAB_RS16315,BME_RS09225,99.490,196,1,0,1,196,1,196,5.86e-145,398
BAB_RS16320,BME_RS09220,100.000,241,0,0,1,241,1,241,6.46e-178,485
BAB_RS16325,BME_RS09210,92.237,219,9,1,1,219,1,211,3.62e-142,394
BAB_RS16330,BME_RS09205,94.953,852,38,3,1,849,1,850,0.0,1507
BAB_RS16335,BME_RS09200,100.000,245,0,0,1,245,1,245,4.62e-176,480
BAB_RS16340,BME_RS09195,79.825,114,23,0,1,114,1,114,3.22e-61,182
BAB_RS16345,BME_RS09195,100.000,78,0,0,1,78,102,179,1.09e-53,161
BAB_RS16350,BME_RS09190,100.000,133,0,0,1,133,1,133,1.76e-97,273
BAB_RS16355,BME_RS09185,100.000,244,0,0,1,244,1,244,0.0,511
BAB_RS16360,BME_RS09180,99.888,895,1,0,1,895,1,895,0.0,1841
BAB_RS16365,BME_RS09175,99.535,215,1,0,1,215,1,215,5.02e-159,435
BAB_RS16370,BME_RS09170,99.548,221,1,0,1,221,1,221,9.70e-148,407
BAB_RS16375,BME_RS09165,99.618,262,1,0,1,262,1,262,0.0,521
BAB_RS16380,BME_RS09160,100.000,57,0,0,1,57,1,57,1.18e-37,115
BAB_RS16385,BME_RS09155,100.000,203,0,0,1,203,1,203,5.25e-151,414
BAB_RS16390,BME_RS09150,99.836,611,1,0,1,611,1,611,0.0,1254
BAB_RS16395,BME_RS09145,99.342,152,1,0,1,152,1,152,6.90e-110,305
BAB_RS16400,BME_RS09140,100.000,124,0,0,1,124,1,124,8.17e-87,245
BAB_RS16405,BME_RS09135,100.000,78,0,0,1,78,1,78,1.68e-54,160
BAB_RS16410,BME_RS09130,100.000,134,0,0,1,134,1,134,3.07e-101,282
BAB_RS16415,BME_RS09125,98.758,161,2,0,1,161,1,161,4.72e-119,329
BAB_RS16420,BME_RS09120,99.265,272,2,0,1,272,1,272,0.0,555
BAB_RS16425,BME_RS09115,99.708,342,1,0,1,342,1,342,0.0,698
BAB_RS16430,BME_RS09110,99.653,288,1,0,1,288,1,288,0.0,556
BAB_RS16435,BME_RS09105,100.000,288,0,0,1,288,1,288,0.0,566
BAB_RS16440,BME_RS09100,100.000,359,0,0,1,359,1,359,0.0,727
BAB_RS16445,BME_RS09095,99.407,2867,17,0,1,2867,1,2867,0.0,5835
BAB_RS16450,BME_RS09090,99.770,434,1,0,1,434,1,434,0.0,892
BAB_RS16455,BME_RS09085,99.638,276,1,0,1,276,1,276,0.0,560
BAB_RS16460,BME_RS09080,99.237,262,2,0,1,262,1,262,0.0,538
BAB_RS16465,BME_RS09075,99.026,308,3,0,1,308,1,308,0.0,627
BAB_RS16470,BME_RS09070,100.000,268,0,0,1,268,1,268,0.0,552
BAB_RS16475,BME_RS09065,99.607,763,3,0,1,763,1,763,0.0,1553
BAB_RS16480,BME_RS09060,100.000,230,0,0,1,230,1,230,4.44e-169,461
BAB_RS16485,BME_RS09055,100.000,228,0,0,1,228,1,228,1.18e-166,455
BAB_RS16490,BME_RS09050,100.000,205,0,0,1,205,1,205,3.83e-156,427
BAB_RS16495,BME_RS09045,99.575,471,2,0,1,471,1,471,0.0,959
BAB_RS16500,BME_RS09040,99.693,978,3,0,1,978,1,978,0.0,1997
BAB_RS16505,BME_RS09035,99.681,626,2,0,1,626,1,626,0.0,1273
BAB_RS16510,BME_RS09030,99.877,813,1,0,1,813,1,813,0.0,1664
BAB_RS16515,BME_RS09025,100.000,278,0,0,1,278,1,278,0.0,583
BAB_RS16520,BME_RS09020,91.613,155,13,0,1,155,1,155,2.57e-98,281
BAB_RS16525,BME_RS09015,97.581,124,3,0,1,124,1,124,2.75e-86,246
BAB_RS16530,BME_RS09010,99.730,370,1,0,1,370,1,370,0.0,756
BAB_RS16535,BME_RS09005,97.895,95,2,0,1,95,1,95,3.61e-64,185
BAB_RS16540,BME_RS09000,99.397,663,4,0,1,663,1,663,0.0,1291
BAB_RS16545,BME_RS08995,99.482,193,1,0,1,193,1,193,6.46e-140,385
BAB_RS16550,BME_RS08990,99.767,430,1,0,1,430,1,430,0.0,869
BAB_RS16555,BME_RS08985,99.180,122,1,0,1,122,1,122,3.74e-86,243
BAB_RS16560,BME_RS08980,98.462,130,2,0,1,130,1,130,1.52e-95,267
BAB_RS16565,BME_RS08975,99.465,187,1,0,1,187,1,187,1.31e-137,379
BAB_RS16570,BME_RS08970,99.390,164,1,0,1,164,1,164,3.39e-119,330
BAB_RS16575,BME_RS08965,100.000,206,0,0,1,206,1,206,1.23e-154,423
BAB_RS16580,BME_RS08960,99.474,190,1,0,1,190,1,190,4.63e-142,390
BAB_RS16585,BME_RS08955,100.000,179,0,0,1,179,1,179,1.43e-129,357
BAB_RS16590,BME_RS08950,99.437,355,2,0,1,355,1,355,0.0,729
BAB_RS16595,BME_RS08945,99.622,529,2,0,1,529,1,529,0.0,1042
BAB_RS16600,BME_RS08940,100.000,934,0,0,1,934,1,934,0.0,1919
BAB_RS16605,BME_RS08935,100.000,352,0,0,1,352,1,352,0.0,711
BAB_RS16610,BME_RS08925,99.890,910,1,0,1,910,1,910,0.0,1845
BAB_RS16615,BME_RS08920,99.288,281,2,0,1,281,1,281,0.0,578
BAB_RS16620,BME_RS08915,100.000,160,0,0,1,160,1,160,6.69e-115,319
BAB_RS16625,BME_RS08910,98.653,297,4,0,1,297,1,297,0.0,597
BAB_RS16630,BME_RS16765,100.000,204,0,0,1,204,1,204,8.28e-150,419
BAB_RS16635,BME_RS08900,100.000,107,0,0,1,107,1,107,6.40e-73,208
BAB_RS16640,BME_RS08895,98.936,94,1,0,1,94,1,94,2.16e-64,186
BAB_RS16645,BME_RS08890,99.694,327,1,0,1,327,1,327,0.0,657
BAB_RS16650,BME_RS08885,99.167,240,2,0,1,240,1,240,8.21e-179,487
BAB_RS16655,BME_RS08880,99.537,216,1,0,1,216,1,216,2.02e-159,436
BAB_RS16660,BME_RS08875,100.000,277,0,0,1,277,1,277,0.0,560
BAB_RS16665,BME_RS08870,99.400,500,3,0,1,500,1,500,0.0,1011
BAB_RS16670,BME_RS08865,100.000,197,0,0,1,197,1,197,2.18e-147,404
BAB_RS16675,BME_RS08860,100.000,154,0,0,1,154,1,154,2.86e-110,306
BAB_RS16680,BME_RS08855,100.000,81,0,0,1,81,1,81,3.09e-57,167
BAB_RS16685,BME_RS08850,100.000,140,0,0,1,140,1,140,2.73e-101,283
BAB_RS16690,BME_RS08845,100.000,165,0,0,1,165,1,165,2.10e-122,338
BAB_RS16695,BME_RS08840,99.597,248,1,0,1,248,1,248,0.0,507
BAB_RS16700,BME_RS08835,99.578,237,1,0,1,237,1,237,2.18e-169,463
BAB_RS16705,BME_RS08830,100.000,330,0,0,1,330,1,330,0.0,673
BAB_RS16710,BME_RS08825,99.541,218,1,0,1,218,1,218,1.76e-156,429
BAB_RS16715,BME_RS08820,100.000,226,0,0,1,226,1,226,4.18e-165,451
BAB_RS16720,BME_RS08815,100.000,356,0,0,1,356,1,356,0.0,710
BAB_RS16725,BME_RS08810,99.580,238,1,0,1,238,1,238,2.18e-177,483
BAB_RS16740,BME_RS08795,100.000,220,0,0,1,220,1,220,1.11e-163,447
BAB_RS16745,BME_RS08790,99.505,404,2,0,1,404,1,404,0.0,828
BAB_RS16750,BME_RS08785,100.000,303,0,0,1,303,1,303,0.0,603
BAB_RS16755,BME_RS08780,100.000,126,0,0,1,126,1,126,1.93e-88,249
BAB_RS16760,BME_RS08775,99.791,478,1,0,1,478,1,478,0.0,937
BAB_RS16765,BME_RS08770,100.000,100,0,0,1,100,1,100,4.05e-69,198
BAB_RS16770,BME_RS08765,99.205,503,4,0,1,503,1,503,0.0,1024
BAB_RS16775,BME_RS08760,99.603,252,1,0,1,252,1,252,0.0,513
BAB_RS16780,BME_RS08755,100.000,174,0,0,1,174,1,174,1.89e-126,349
BAB_RS16785,BME_RS08750,100.000,97,0,0,1,97,1,97,5.32e-70,200
BAB_RS16790,BME_RS08745,98.958,192,2,0,1,192,1,192,1.00e-139,384
BAB_RS16795,BME_RS08740,100.000,81,0,0,1,81,1,81,2.96e-53,157
BAB_RS16800,BME_RS08735,100.000,129,0,0,1,129,1,129,1.04e-91,258
BAB_RS16805,BME_RS08730,99.841,1261,2,0,1,1261,1,1261,0.0,2583
BAB_RS16810,BME_RS08725,100.000,235,0,0,1,235,1,235,8.28e-179,486
BAB_RS16815,BME_RS08720,100.000,456,0,0,1,456,1,456,0.0,936
BAB_RS16820,BME_RS08715,99.346,306,2,0,1,306,1,306,0.0,633
BAB_RS16825,BME_RS08710,99.689,644,2,0,1,644,1,644,0.0,1308
BAB_RS16830,BME_RS08705,100.000,281,0,0,1,281,1,281,0.0,568
BAB_RS16835,BME_RS08700,100.000,25,0,0,1,25,1,25,2.98e-12,49.7
BAB_RS16840,BME_RS08695,100.000,253,0,0,1,253,1,253,0.0,517
BAB_RS16845,BME_RS08690,100.000,245,0,0,1,245,1,245,0.0,503
BAB_RS16850,BME_RS08685,100.000,263,0,0,1,263,1,263,0.0,531
BAB_RS16855,BME_RS08680,98.608,503,4,1,1,503,1,500,0.0,1002
BAB_RS16860,BME_RS08675,99.689,322,1,0,1,322,1,322,0.0,643
BAB_RS16865,BME_RS08670,99.573,234,1,0,1,234,1,234,3.50e-172,492
BAB_RS16870,BME_RS08665,99.128,344,0,1,1,344,1,341,0.0,687
BAB_RS16875,BME_RS08660,100.000,119,0,0,1,119,1,119,1.63e-86,244
BAB_RS16880,BME_RS08655,99.706,340,1,0,1,340,1,340,0.0,682
BAB_RS16900,BME_RS16720,96.970,66,2,0,1,66,1,66,3.48e-44,133
BAB_RS16905,BME_RS08645,100.000,477,0,0,1,477,1,477,0.0,976
BAB_RS16910,BME_RS08640,94.388,196,11,0,1,196,1,196,6.34e-124,350
BAB_RS16915,BME_RS08635,100.000,232,0,0,1,232,1,232,8.75e-178,484
BAB_RS16920,BME_RS08630,100.000,322,0,0,1,322,1,322,0.0,660
BAB_RS16925,BME_RS08625,99.507,203,1,0,1,203,1,203,1.93e-147,405
BAB_RS16930,BME_RS08620,99.609,256,1,0,1,256,1,256,0.0,516
BAB_RS16935,BME_RS08615,100.000,65,0,0,1,65,1,65,2.63e-42,128
BAB_RS16940,BME_RS08610,100.000,334,0,0,1,334,1,334,0.0,672
BAB_RS16945,BME_RS08605,100.000,291,0,0,1,291,1,291,0.0,585
BAB_RS16950,BME_RS08600,99.431,703,4,0,1,703,1,703,0.0,1436
BAB_RS16955,BME_RS08595,99.065,749,7,0,11,759,78,826,0.0,1469
BAB_RS16960,BME_RS08590,92.157,51,4,0,99,149,41,91,3.30e-32,107
BAB_RS16965,BME_RS08585,98.790,248,3,0,1,248,1,248,4.95e-174,476
BAB_RS16970,BME_RS08580,99.679,312,1,0,1,312,1,312,0.0,619
BAB_RS16975,BME_RS08575,100.000,403,0,0,1,403,1,403,0.0,767
BAB_RS16980,BME_RS08570,100.000,309,0,0,1,309,1,309,0.0,617
BAB_RS16985,BME_RS08565,99.074,216,2,0,1,216,1,216,1.56e-162,444
BAB_RS16990,BME_RS08560,99.762,421,1,0,1,421,1,421,0.0,862
BAB_RS16995,BME_RS08555,99.760,417,1,0,1,417,1,417,0.0,863
BAB_RS17000,BME_RS08550,100.000,101,0,0,1,101,1,101,5.75e-75,213
BAB_RS17005,BME_RS08545,100.000,146,0,0,2,147,1,146,1.09e-100,308
BAB_RS17010,BME_RS08545,100.000,376,0,0,1,376,172,547,0.0,769
BAB_RS17015,BME_RS08545,99.329,447,3,0,1,447,553,999,0.0,923
BAB_RS17020,BME_RS08540,100.000,184,0,0,1,184,1,184,6.19e-135,371
BAB_RS17025,BME_RS08535,99.291,282,2,0,1,282,1,282,0.0,573
BAB_RS17030,BME_RS08530,99.242,264,2,0,1,264,1,264,0.0,538
BAB_RS17035,BME_RS08525,100.000,439,0,0,1,439,1,439,0.0,896
BAB_RS17040,BME_RS08520,99.663,297,1,0,1,297,1,297,0.0,584
BAB_RS17045,BME_RS08515,100.000,291,0,0,1,291,1,291,0.0,588
BAB_RS17050,BME_RS08510,99.449,363,2,0,1,363,1,363,0.0,738
BAB_RS17055,BME_RS08505,99.194,372,3,0,1,372,1,372,0.0,754
BAB_RS17060,BME_RS08500,100.000,114,0,0,1,114,1,114,2.23e-85,240
BAB_RS17065,BME_RS08495,99.721,359,1,0,1,359,1,359,0.0,731
BAB_RS17075,BME_RS08485,99.180,244,2,0,1,244,1,244,2.85e-177,483
BAB_RS17080,BME_RS08480,98.932,281,3,0,1,281,1,281,0.0,570
BAB_RS17085,BME_RS08475,99.765,425,1,0,1,425,1,425,0.0,877
BAB_RS17090,BME_RS08470,98.907,183,2,0,1,183,1,183,8.59e-136,374
BAB_RS17095,BME_RS08465,100.000,65,0,0,1,65,1,65,1.08e-45,136
BAB_RS17100,BME_RS16710,95.413,109,1,1,1,109,1,105,2.52e-72,207
BAB_RS17105,BME_RS08460,100.000,398,0,0,1,398,1,398,0.0,806
BAB_RS17110,BME_RS08455,98.649,148,2,0,1,148,1,148,1.69e-108,301
BAB_RS17115,BME_RS08450,98.611,72,1,0,1,72,1,72,6.77e-49,145
BAB_RS17125,BME_RS08445,99.659,293,1,0,1,293,1,293,0.0,589
BAB_RS17130,BME_RS08440,99.213,381,3,0,1,381,1,381,0.0,776
BAB_RS17140,BME_RS08435,100.000,145,0,0,1,145,51,195,8.96e-107,299
BAB_RS17150,BME_RS08425,99.408,338,2,0,1,338,1,338,0.0,692
BAB_RS17160,BME_RS08415,99.575,706,3,0,1,706,1,706,0.0,1413
BAB_RS17165,BME_RS08410,100.000,307,0,0,1,307,1,307,0.0,608
BAB_RS17170,BME_RS08410,99.671,304,1,0,1,304,378,681,0.0,599
BAB_RS17175,BME_RS08405,100.000,60,0,0,1,60,1,60,2.13e-36,112
BAB_RS17180,BME_RS08400,100.000,101,0,0,1,101,1,101,5.12e-70,201
BAB_RS17185,BME_RS08395,99.490,196,1,0,1,196,1,196,9.45e-148,405
BAB_RS17190,BME_RS08390,100.000,68,0,0,1,68,1,68,6.09e-46,137
BAB_RS17200,BME_RS08380,100.000,118,0,0,1,118,1,118,1.08e-83,236
BAB_RS17205,BME_RS08375,99.451,182,1,0,1,182,1,182,6.16e-138,379
BAB_RS17210,BME_RS08370,98.734,158,2,0,1,158,1,158,2.39e-115,320
BAB_RS17215,BME_RS08365,100.000,81,0,0,1,81,1,81,9.05e-54,158
BAB_RS17220,BME_RS08360,100.000,75,0,0,1,75,1,75,1.67e-51,152
BAB_RS17225,BME_RS08355,100.000,96,0,0,1,96,1,96,5.93e-68,195
BAB_RS17230,BME_RS08350,98.883,179,2,0,1,179,1,179,6.98e-131,361
BAB_RS17235,BME_RS08345,100.000,202,0,0,1,202,1,202,4.06e-154,421
BAB_RS17240,BME_RS08340,99.270,137,1,0,1,137,1,137,1.36e-99,278
BAB_RS17245,BME_RS16680,100.000,78,0,0,1,78,1,78,6.54e-57,166
BAB_RS17250,BME_RS08335,99.636,275,1,0,1,275,1,275,0.0,550
BAB_RS17255,BME_RS08330,100.000,25,0,0,1,25,1,25,4.76e-13,51.6
BAB_RS17260,BME_RS08325,98.592,71,1,0,1,71,1,71,7.85e-49,145
BAB_RS17265,BME_RS08320,100.000,208,0,0,1,208,1,208,2.71e-153,420
BAB_RS17270,BME_RS08315,100.000,72,0,0,1,72,1,72,1.41e-49,147
BAB_RS17275,BME_RS08310,99.363,157,1,0,1,157,1,157,1.84e-114,317
BAB_RS17280,BME_RS08305,100.000,160,0,0,1,160,1,160,1.22e-119,331
BAB_RS17285,BME_RS08300,99.535,430,2,0,1,430,1,430,0.0,856
BAB_RS17290,BME_RS08295,100.000,146,0,0,1,146,1,146,6.40e-108,300
BAB_RS17295,BME_RS08290,100.000,429,0,0,1,429,1,429,0.0,871
BAB_RS17300,BME_RS08285,100.000,79,0,0,1,79,1,79,1.45e-54,160
BAB_RS17305,BME_RS08280,100.000,25,0,0,1,25,1,25,4.49e-11,46.6
BAB_RS17310,BME_RS08275,99.830,588,1,0,1,588,1,588,0.0,1202
BAB_RS17315,BME_RS08270,100.000,81,0,0,1,81,60,140,5.43e-56,166
BAB_RS17320,BME_RS04490,99.020,204,2,0,1,204,1,204,3.06e-146,402
BAB_RS17325,BME_RS08260,99.315,292,2,0,1,292,1,292,0.0,597
BAB_RS17330,BME_RS08255,100.000,86,0,0,1,86,1,86,2.83e-56,165
BAB_RS17335,BME_RS08250,100.000,129,0,0,1,129,1,129,7.12e-98,273
BAB_RS17340,BME_RS08245,99.286,280,2,0,1,280,1,280,0.0,553
BAB_RS17345,BME_RS03230,52.525,99,47,0,1,99,1,99,1.26e-34,111
BAB_RS17355,BME_RS08230,100.000,101,0,0,1,101,1,101,1.61e-72,207
BAB_RS17360,BME_RS08225,99.825,570,1,0,1,570,1,570,0.0,1171
BAB_RS17365,BME_RS08220,100.000,171,0,0,1,171,1,171,5.76e-119,330
BAB_RS17370,BME_RS08215,99.123,228,2,0,1,228,1,228,1.85e-168,460
BAB_RS17375,BME_RS08210,100.000,208,0,0,1,208,1,208,1.56e-155,426
BAB_RS17380,BME_RS08205,100.000,25,0,0,1,25,1,25,1.42e-13,53.1
BAB_RS17385,BME_RS08200,99.807,517,1,0,1,517,1,517,0.0,1041
BAB_RS17390,BME_RS08195,99.217,383,3,0,1,383,1,383,0.0,767
BAB_RS17395,BME_RS08190,99.616,1043,4,0,1,1043,1,1043,0.0,2058
BAB_RS17410,BME_RS08180,99.759,415,1,0,1,415,1,415,0.0,852
BAB_RS17415,BME_RS08175,98.678,227,3,0,1,227,1,227,1.52e-165,452
BAB_RS17425,BME_RS08165,99.541,436,2,0,1,436,1,436,0.0,901
BAB_RS17430,BME_RS08160,99.797,493,1,0,1,493,1,493,0.0,1004
BAB_RS17435,BME_RS08155,100.000,150,0,0,1,150,1,150,5.50e-110,305
BAB_RS17440,BME_RS08150,99.636,549,2,0,1,549,1,549,0.0,1122
BAB_RS17445,BME_RS08145,99.717,353,1,0,1,353,1,353,0.0,713
BAB_RS17450,BME_RS08140,99.197,249,2,0,1,249,1,249,0.0,494
BAB_RS17455,BME_RS08135,100.000,55,0,0,1,55,1,55,1.94e-30,112
BAB_RS17460,BME_RS08125,99.828,581,1,0,1,581,1,581,0.0,1201
BAB_RS17465,BME_RS08120,99.043,209,2,0,1,209,1,209,2.86e-154,422
BAB_RS17470,BME_RS08115,99.496,397,2,0,1,397,1,397,0.0,796
BAB_RS17475,BME_RS08110,99.429,1051,6,0,1,1051,1,1051,0.0,2108
BAB_RS17485,BME_RS08100,99.643,280,1,0,1,280,1,280,0.0,578
BAB_RS17490,BME_RS08095,100.000,630,0,0,1,630,1,630,0.0,1296
BAB_RS17495,BME_RS08090,100.000,319,0,0,1,319,1,319,0.0,665
BAB_RS17500,BME_RS08085,60.000,170,42,4,1,145,1,169,1.53e-49,171
BAB_RS17505,BME_RS08080,100.000,180,0,0,1,180,1,180,1.18e-135,373
BAB_RS17510,BME_RS08075,100.000,403,0,0,1,403,1,403,0.0,820
BAB_RS17515,BME_RS08070,100.000,312,0,0,1,312,1,312,0.0,651
BAB_RS17520,BME_RS08065,99.412,340,2,0,1,340,1,340,0.0,687
BAB_RS17525,BME_RS08060,100.000,130,0,0,1,130,1,130,1.10e-95,268
BAB_RS17530,BME_RS08055,99.749,398,1,0,1,398,1,398,0.0,816
BAB_RS17540,BME_RS08045,100.000,363,0,0,1,363,1,363,0.0,728
BAB_RS17545,BME_RS08040,99.107,336,3,0,1,336,1,336,0.0,671
BAB_RS17550,BME_RS08035,100.000,88,0,0,1,88,1,88,1.87e-59,173
BAB_RS17555,BME_RS08030,100.000,160,0,0,1,160,1,160,3.56e-118,327
BAB_RS17560,BME_RS08025,100.000,456,0,0,1,456,1,456,0.0,896
BAB_RS17565,BME_RS08020,99.176,364,3,0,1,364,1,364,0.0,725
BAB_RS17570,BME_RS08015,99.145,117,1,0,1,117,1,117,1.06e-82,234
BAB_RS17575,BME_RS08010,99.338,151,1,0,1,151,1,151,6.40e-110,305
BAB_RS17580,BME_RS08005,100.000,316,0,0,1,316,1,316,0.0,655
BAB_RS17585,BME_RS16635,100.000,213,0,0,1,213,1,213,2.51e-152,418
BAB_RS17590,BME_RS07995,98.583,1129,15,1,1,1129,1,1128,0.0,2232
BAB_RS17595,BME_RS07990,100.000,138,0,0,1,138,1,138,7.75e-97,271
BAB_RS17600,BME_RS07985,100.000,425,0,0,1,425,1,425,0.0,872
BAB_RS17605,BME_RS07980,100.000,233,0,0,1,233,1,233,9.25e-178,484
BAB_RS17610,BME_RS07975,100.000,239,0,0,1,239,1,239,2.40e-180,491
BAB_RS17615,BME_RS16625,100.000,114,0,0,1,114,1,114,4.45e-82,237
BAB_RS17620,BME_RS07965,100.000,61,0,0,1,61,1,61,3.87e-41,125
BAB_RS17625,BME_RS07960,98.649,296,4,0,1,296,1,296,0.0,590
BAB_RS17630,BME_RS07955,100.000,139,0,0,1,139,1,139,7.09e-97,271
BAB_RS17635,BME_RS07950,99.574,235,1,0,1,235,1,235,5.56e-166,454
BAB_RS17640,BME_RS07945,99.759,415,1,0,1,415,1,415,0.0,840
BAB_RS17645,BME_RS07940,99.659,293,1,0,1,293,1,293,0.0,584
BAB_RS17650,BME_RS07935,100.000,275,0,0,1,275,1,275,0.0,558
BAB_RS17655,BME_RS07930,100.000,258,0,0,1,258,1,258,0.0,532
