Melitensis16M|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00195,CC_3009,54.620,368,164,3,12,377,4,370,1.80e-127,368
BME_RS00200,CC_3017,51.523,394,182,3,29,417,1,390,6.44e-139,400
BME_RS00205,CC_3011,43.434,99,48,2,3,101,1,91,5.72e-20,74.7
BME_RS00210,CC_3010,35.648,216,118,5,6,209,10,216,3.73e-36,123
BME_RS00215,CC_3021,74.534,322,81,1,8,328,15,336,0.0,503
BME_RS00220,CC_0672,55.868,605,262,3,22,622,9,612,0.0,659
BME_RS00230,CC_0112,50.000,246,121,2,1,246,1,244,3.29e-95,276
BME_RS00235,CC_2726,39.966,583,311,11,251,804,98,670,6.41e-110,348
BME_RS00240,CC_3082,35.135,111,69,1,4,114,1,108,1.83e-15,65.1
BME_RS00250,CC_0661,58.025,81,34,0,1,81,1,81,6.64e-30,99.8
BME_RS00285,CC_3744,47.368,152,75,3,33,180,17,167,2.39e-40,131
BME_RS00290,CC_3743,65.566,212,73,0,16,227,21,232,6.69e-103,294
BME_RS00300,CC_3706,47.388,268,132,3,1,263,1,264,7.07e-80,239
BME_RS00305,CC_3705,38.125,160,93,4,37,193,27,183,5.76e-22,87.4
BME_RS00310,CC_1504,37.234,94,57,1,3,94,8,101,3.90e-08,48.9
BME_RS00320,CC_2216,59.070,215,88,0,1,215,1,215,1.20e-92,268
BME_RS00325,CC_2217,34.101,217,143,0,28,244,9,225,2.08e-30,114
BME_RS00330,CC_2218,37.895,190,113,3,103,291,7,192,2.45e-37,129
BME_RS00335,CC_2219,40.090,222,131,2,2,223,1,220,3.82e-49,159
BME_RS00340,CC_0047,54.070,172,79,0,1,172,1,172,1.73e-68,203
BME_RS00345,CC_3621,52.055,73,35,0,19,91,42,114,2.35e-20,76.3
BME_RS00350,CC_t51,80.000,25,5,0,1,25,1,25,3.19e-09,42.4
BME_RS00355,CC_2220,48.851,174,89,0,3,176,5,178,2.03e-53,165
BME_RS00365,CC_2224,57.333,300,125,1,6,302,8,307,1.74e-121,348
BME_RS00370,CC_2223,50.281,356,177,0,12,367,2,357,3.88e-122,353
BME_RS00375,CC_0520,42.437,238,134,2,1,237,17,252,6.36e-58,183
BME_RS00380,CC_2214,35.714,168,103,2,10,174,8,173,2.79e-25,93.2
BME_RS00390,CC_2213,55.399,426,180,5,1,421,1,421,1.14e-152,436
BME_RS00400,CC_2211,65.611,442,152,0,23,464,1,442,0.0,593
BME_RS00405,CC_2210,33.906,233,111,10,10,233,6,204,5.51e-28,103
BME_RS00410,CC_1215,52.381,147,69,1,10,156,5,150,5.43e-49,152
BME_RS00420,CC_2861,30.216,278,171,8,8,272,5,272,1.28e-20,85.9
BME_RS00425,CC_0730,51.282,39,17,1,27,63,44,82,4.66e-08,42.4
BME_RS00430,CC_0729,61.140,193,72,1,1,193,1,190,8.64e-80,234
BME_RS00440,CC_3158,37.500,104,64,1,1,104,4,106,2.33e-15,64.3
BME_RS00445,CC_3160,30.263,228,126,9,4,206,10,229,6.54e-17,73.9
BME_RS00450,CC_0727,69.758,248,75,0,1,248,1,248,4.28e-123,347
BME_RS00455,CC_0726,69.256,309,94,1,1,309,1,308,1.45e-141,399
BME_RS00460,CC_0715,71.280,289,83,0,3,291,4,292,8.11e-157,436
BME_RS00465,CC_3625,68.153,314,99,1,13,326,16,328,2.47e-135,384
BME_RS00475,CC_3168,37.897,409,226,7,20,425,10,393,1.00e-84,262
BME_RS00480,CC_0988,26.457,446,274,11,3,424,6,421,4.80e-29,115
BME_RS00490,CC_2392,31.455,213,123,8,15,208,6,214,3.33e-13,63.9
BME_RS00500,CC_1439,48.954,239,122,0,10,248,2,240,1.88e-77,231
BME_RS00505,CC_2109,43.653,449,236,6,11,451,4,443,5.19e-115,343
BME_RS00515,CC_1439,49.590,244,112,2,10,253,8,240,1.90e-77,232
BME_RS00520,CC_1440,37.264,212,133,0,1,212,1,212,1.24e-45,149
BME_RS00525,CC_1440,36.810,163,103,0,3,165,56,218,3.71e-29,103
BME_RS00530,CC_1441,27.347,245,165,4,23,266,25,257,2.47e-21,87.8
BME_RS00535,CC_3697,24.825,286,194,8,16,289,6,282,2.43e-13,66.2
BME_RS00545,CC_t31,89.286,28,3,0,1,28,1,28,3.07e-12,50.1
BME_RS00570,CC_3068,60.367,926,334,12,6,905,3,921,0.0,1103
BME_RS00580,CC_3067,32.487,197,131,2,104,299,76,271,5.30e-21,88.6
BME_RS00585,CC_3066,54.703,404,177,2,13,413,3,403,6.87e-138,397
BME_RS00590,CC_2209,30.918,207,137,4,42,246,2,204,6.22e-12,60.1
BME_RS00595,CC_0833,64.615,130,46,0,9,138,5,134,9.23e-60,178
BME_RS00610,CC_0519,50.000,254,117,4,8,260,3,247,5.16e-76,228
BME_RS00615,CC_3678,37.324,142,88,1,78,219,40,180,2.46e-30,108
BME_RS00620,CC_3679,50.814,307,151,0,158,464,5,311,1.84e-105,313
BME_RS00625,CC_3684,59.857,421,157,3,3,422,33,442,1.10e-179,505
BME_RS00630,CC_3686,46.953,279,140,4,7,278,5,282,8.28e-80,241
BME_RS00640,CC_3531,44.920,374,190,4,12,379,4,367,3.29e-105,312
BME_RS00645,CC_3655,73.981,319,83,0,1,319,1,319,6.43e-171,474
BME_RS00650,CC_0337,72.292,397,110,0,1,397,1,397,0.0,566
BME_RS00655,CC_0338,79.667,300,55,2,1,300,1,294,2.29e-171,473
BME_RS00660,CC_0339,63.041,993,351,6,12,1003,9,986,0.0,1300
BME_RS00665,CC_0340,63.210,405,144,2,4,408,3,402,7.33e-163,460
BME_RS00670,CC_1618,43.651,126,70,1,12,137,7,131,3.78e-26,92.8
BME_RS00675,CC_0456,27.053,207,117,6,20,210,19,207,1.39e-16,72.0
BME_RS00685,CC_0342,63.319,458,164,3,2,458,12,466,0.0,561
BME_RS00695,CC_0344,47.475,297,149,4,22,314,10,303,2.35e-81,246
BME_RS00700,CC_3651,40.000,180,97,8,4,178,5,178,1.40e-31,110
BME_RS00705,CC_0198,56.652,233,99,2,12,242,3,235,3.36e-94,273
BME_RS00710,CC_3070,43.119,218,110,6,6,214,4,216,2.33e-45,148
BME_RS00740,CC_0197,65.517,116,40,0,3,118,4,119,4.14e-53,161
BME_RS00745,CC_0196,68.870,469,138,3,5,466,4,471,0.0,649
BME_RS00755,CC_3529,35.772,123,79,0,9,131,10,132,2.57e-19,75.1
BME_RS00760,CC_3528,33.065,124,83,0,6,129,10,133,1.00e-16,68.6
BME_RS00765,CC_3527,72.712,601,156,3,14,613,3,596,0.0,878
BME_RS00770,CC_3526,75.385,260,63,1,1,259,1,260,1.71e-148,412
BME_RS00775,CC_0687,73.913,46,12,0,77,122,18,63,2.59e-21,77.8
BME_RS00780,CC_0107,44.903,412,212,5,15,414,1,409,7.07e-110,326
BME_RS00785,CC_3649,48.754,281,142,2,17,297,6,284,2.09e-90,268
BME_RS00790,CC_1338,47.717,438,185,4,37,430,68,505,1.40e-129,380
BME_RS00795,CC_3704,53.168,805,301,16,49,811,44,814,0.0,741
BME_RS00800,CC_2162,29.775,356,232,9,141,480,55,408,7.95e-34,129
BME_RS00810,CC_3423,56.938,209,89,1,10,217,10,218,7.88e-79,233
BME_RS00820,CC_0069,56.667,90,38,1,2,91,3,91,1.48e-25,88.6
BME_RS00825,CC_0070,50.765,327,155,2,4,325,5,330,2.03e-100,296
BME_RS00830,CC_0071,55.801,362,154,3,1,359,9,367,2.07e-125,362
BME_RS00835,CC_0072,51.935,310,134,5,11,306,7,315,6.03e-89,266
BME_RS00850,CC_0075,30.521,403,274,4,1,399,1,401,7.37e-29,116
BME_RS00860,CC_0403,47.470,415,211,1,2,409,15,429,5.51e-113,335
BME_RS00865,CC_0831,51.103,272,123,3,31,295,27,295,1.49e-84,253
BME_RS00870,CC_0830,40.957,188,111,0,50,237,48,235,3.80e-42,142
BME_RS00875,CC_0829,69.512,82,25,0,1,82,1,82,8.76e-41,126
BME_RS00880,CC_0828,50.000,274,131,2,4,271,7,280,2.73e-90,266
BME_RS00885,CC_0827,43.662,142,79,1,1,141,1,142,5.39e-42,133
BME_RS00895,CC_0840,55.932,236,103,1,8,242,12,247,2.21e-96,280
BME_RS00900,CC_0843,60.849,424,155,5,1,423,1,414,6.29e-178,500
BME_RS00905,CC_0849,52.727,715,333,5,7,720,10,720,0.0,707
BME_RS00910,CC_0856,60.563,355,135,2,4,357,32,382,6.64e-156,440
BME_RS00915,CC_0875,40.074,272,158,2,16,286,40,307,7.61e-60,190
BME_RS00920,CC_0876,64.912,57,19,1,29,84,29,85,2.77e-18,80.1
BME_RS00925,CC_0878,69.474,855,259,2,1,855,1,853,0.0,1200
BME_RS00935,CC_3034,38.971,272,151,4,382,645,183,447,8.70e-55,191
BME_RS00950,CC_t47,80.000,25,5,0,1,25,1,25,1.33e-08,40.8
BME_RS00955,CC_r02,40.270,370,191,5,102,457,63,416,1.31e-49,187
BME_RS00975,CC_1732,37.238,478,271,5,3,473,19,474,2.78e-83,262
BME_RS00985,CC_t03,70.000,30,9,0,1,30,1,30,2.24e-10,45.4
BME_RS00990,CC_0319,55.446,101,41,1,1,97,1,101,4.24e-32,109
BME_RS00995,CC_0318,73.563,87,23,0,1,87,3,89,9.91e-44,134
BME_RS01015,CC_0315,68.278,331,104,1,1,330,1,331,1.91e-143,407
BME_RS01020,CC_0314,60.165,364,141,4,9,369,13,375,3.67e-130,375
BME_RS01025,CC_3430,58.010,412,173,0,15,426,1,412,6.95e-157,446
BME_RS01030,CC_3431,46.073,191,103,0,26,216,24,214,4.64e-53,167
BME_RS01035,CC_3432,58.511,94,39,0,15,108,9,102,2.70e-38,122
BME_RS01040,CC_3433,37.572,173,88,3,1,173,2,154,2.09e-31,108
BME_RS01050,CC_3434,29.104,402,211,10,37,436,16,345,5.70e-33,124
BME_RS01055,CC_3435,49.333,450,202,12,2,436,1,439,2.05e-133,389
BME_RS01060,CC_3440,45.833,168,81,3,11,177,1,159,6.76e-43,138
BME_RS01065,CC_1682,39.759,83,47,2,5,84,18,100,3.48e-09,46.6
BME_RS01070,CC_1700,60.465,43,17,0,6,48,8,50,2.39e-11,56.6
BME_RS01075,CC_2352,32.740,281,182,5,1,277,8,285,5.20e-29,109
BME_RS01080,CC_1302,64.400,500,175,2,1,498,1,499,0.0,644
BME_RS01090,CC_0256,31.818,286,178,7,13,289,5,282,1.10e-22,92.0
BME_RS01095,CC_3569,53.571,84,34,2,33,116,29,107,3.51e-21,84.7
BME_RS01100,CC_3322,33.010,206,135,3,39,242,59,263,1.52e-22,93.2
BME_RS01105,CC_3653,58.209,469,187,5,1,463,1,466,1.45e-177,506
BME_RS01115,CC_3652,64.865,111,38,1,3,112,2,112,6.68e-45,141
BME_RS01120,CC_3455,58.947,190,77,1,19,207,16,205,1.33e-76,226
BME_RS01125,CC_3456,43.750,208,107,2,3,200,57,264,9.03e-45,149
BME_RS01130,CC_3457,33.333,222,129,3,11,213,31,252,6.28e-33,116
BME_RS01135,CC_0088,43.795,1539,809,14,93,1599,90,1604,0.0,1189
BME_RS01140,CC_2954,29.663,445,300,6,12,447,23,463,7.20e-52,179
BME_RS01145,CC_0086,66.352,529,169,3,10,538,10,529,0.0,675
BME_RS01150,CC_0100,30.891,505,334,9,20,518,21,516,5.94e-46,167
BME_RS01155,CC_0102,41.333,450,232,10,24,465,4,429,6.23e-93,285
BME_RS01160,CC_2509,56.289,318,121,6,1,303,1,315,2.58e-110,320
BME_RS01170,CC_3581,69.692,617,180,3,32,647,34,644,0.0,877
BME_RS01175,CC_3546,57.955,88,37,0,8,95,2,89,2.11e-36,115
BME_RS01185,CC_3745,59.898,197,76,1,27,223,24,217,1.29e-80,237
BME_RS01190,CC_3749,59.132,876,337,11,5,877,3,860,0.0,1050
BME_RS01200,CC_3614,63.426,216,79,0,1,216,1,216,1.34e-98,283
BME_RS01205,CC_0346,42.000,300,153,4,21,312,2,288,1.70e-50,185
BME_RS01215,CC_3450,48.538,171,88,0,13,183,12,182,5.91e-47,149
BME_RS01220,CC_3449,77.647,510,113,1,1,509,1,510,0.0,813
BME_RS01225,CC_3448,57.192,292,124,1,1,292,1,291,1.13e-116,334
BME_RS01230,CC_3447,75.693,469,105,4,50,510,62,529,0.0,723
BME_RS01235,CC_3445,50.000,80,37,2,6,84,5,82,7.08e-19,72.8
BME_RS01240,CC_0396,33.913,115,71,3,18,129,17,129,2.38e-09,49.7
BME_RS01245,CC_2661,32.143,168,108,2,20,184,22,186,7.33e-16,71.2
BME_RS01270,CC_3600,29.183,257,157,6,11,267,11,242,2.90e-28,109
BME_RS01275,CC_3134,32.780,241,146,3,6,239,8,239,2.27e-34,124
BME_RS01295,CC_2179,38.324,561,313,9,8,555,2,542,1.04e-109,355
BME_RS01305,CC_3384,56.641,256,111,0,8,263,10,265,2.19e-101,293
BME_RS01310,CC_0851,36.056,355,185,8,15,369,16,328,2.01e-54,182
BME_RS01315,CC_2069,50.943,265,127,2,41,304,32,294,1.96e-70,217
BME_RS01320,CC_0325,39.806,206,121,2,47,250,24,228,3.14e-44,146
BME_RS01325,CC_1721,72.881,59,16,0,1,59,1,59,2.00e-29,95.5
BME_RS01335,CC_0510,69.867,375,113,0,7,381,4,378,0.0,543
BME_RS01340,CC_0657,46.310,786,381,9,37,813,1,754,0.0,633
BME_RS01345,CC_0656,47.561,82,39,1,19,96,13,94,5.05e-17,68.2
BME_RS01350,CC_0654,65.179,112,38,1,1,111,1,112,1.74e-50,152
BME_RS01355,CC_0653,60.947,169,64,1,6,172,15,183,2.65e-72,214
BME_RS01360,CC_3098,45.000,260,134,4,42,297,29,283,1.84e-71,220
BME_RS01370,CC_0877,30.159,189,120,2,76,259,59,240,1.32e-21,90.9
BME_RS01375,CC_3134,38.819,237,143,1,7,241,15,251,9.27e-48,159
BME_RS01400,CC_2631,45.641,585,311,6,4,585,8,588,1.18e-130,393
BME_RS01405,CC_3319,53.012,83,35,1,2,84,9,87,7.37e-25,86.3
BME_RS01420,CC_2051,49.053,475,241,1,1,475,1,474,2.58e-153,442
BME_RS01435,CC_3283,51.253,359,172,2,1,358,1,357,3.94e-123,356
BME_RS01440,CC_3284,73.684,152,40,0,5,156,8,159,1.74e-73,214
BME_RS01445,CC_3288,39.726,73,38,2,1,67,67,139,1.61e-09,47.4
BME_RS01450,CC_3291,42.857,56,32,0,1,56,14,69,3.39e-09,44.7
BME_RS01465,CC_3293,50.613,326,154,3,9,333,1,320,1.15e-93,278
BME_RS01470,CC_3292,48.035,229,100,5,15,229,1,224,3.62e-67,203
BME_RS01475,CC_2103,38.889,126,76,1,11,135,28,153,3.11e-26,93.6
BME_RS01480,CC_2312,40.237,169,100,1,1,168,23,191,2.25e-28,105
BME_RS01490,CC_3581,40.224,624,343,15,13,622,33,640,3.62e-144,430
BME_RS01500,CC_3249,61.013,395,154,0,1,395,1,395,4.01e-164,463
BME_RS01505,CC_3248,72.537,335,92,0,1,335,1,335,0.0,504
BME_RS01510,CC_3620,58.814,641,259,3,9,648,7,643,0.0,759
BME_RS01520,CC_3247,40.000,70,42,0,1,70,1,70,1.29e-16,67.0
BME_RS01525,CC_3245,36.552,145,87,3,49,190,62,204,2.54e-20,81.6
BME_RS01530,CC_3244,56.985,272,114,2,1,270,5,275,3.57e-107,309
BME_RS01535,CC_0347,62.403,258,80,3,6,247,45,301,7.82e-104,300
BME_RS01550,CC_1776,28.571,189,126,2,25,208,16,200,1.01e-18,78.6
BME_RS01555,CC_3243,59.600,250,97,1,1,246,1,250,1.61e-100,290
BME_RS01560,CC_3275,61.972,71,27,0,1,71,1,71,2.35e-31,101
BME_RS01565,CC_3274,51.903,578,278,0,94,671,34,611,0.0,571
BME_RS01570,CC_0201,30.263,152,88,6,192,340,86,222,4.47e-08,50.1
BME_RS01580,CC_3269,51.181,254,121,3,10,260,1,254,1.32e-91,268
BME_RS01585,CC_0721,40.323,186,111,0,1,186,1,186,1.19e-55,171
BME_RS01590,CC_2045,29.921,127,85,1,193,319,742,864,6.52e-11,60.5
BME_RS01595,CC_3264,31.771,192,127,4,13,201,5,195,5.11e-20,81.6
BME_RS01605,CC_3295,48.026,152,73,3,15,166,23,168,1.31e-37,124
BME_RS01610,CC_3238,50.000,162,78,1,6,167,10,168,3.55e-43,138
BME_RS01615,CC_3237,49.029,206,103,2,1,205,1,205,7.00e-41,135
BME_RS01620,CC_3236,68.580,331,104,0,14,344,15,345,1.43e-161,452
BME_RS01625,CC_3234,42.222,135,73,2,7,140,3,133,5.68e-29,100
BME_RS01630,CC_3233,51.965,229,107,1,7,232,4,232,1.08e-74,223
BME_RS01635,CC_3232,56.667,120,52,0,25,144,27,146,3.55e-45,142
BME_RS01645,CC_3230,58.213,414,170,3,30,443,22,432,1.82e-176,498
BME_RS01650,CC_3229,56.557,122,53,0,47,168,67,188,2.74e-46,147
BME_RS01660,CC_3228,35.537,121,78,0,368,488,163,283,3.40e-19,84.7
BME_RS01665,CC_3227,33.333,324,182,7,25,346,27,318,5.78e-19,85.5
BME_RS01670,CC_3226,71.074,605,168,5,4,606,2,601,0.0,880
BME_RS01675,CC_0117,62.162,444,167,1,11,453,4,447,0.0,570
BME_RS01690,CC_3216,71.066,394,109,1,2,390,3,396,0.0,561
BME_RS01695,CC_3215,59.393,527,211,2,2,528,3,526,0.0,625
BME_RS01705,CC_3103,67.991,428,136,1,1,428,1,427,0.0,607
BME_RS01715,CC_0025,33.119,311,186,10,16,312,7,309,8.83e-32,124
BME_RS01740,CC_0424,53.691,149,69,0,5,153,13,161,7.14e-59,177
BME_RS01745,CC_3713,59.155,142,58,0,15,156,14,155,8.68e-55,167
BME_RS01750,CC_0808,28.923,325,195,10,75,386,60,361,4.88e-09,54.3
BME_RS01755,CC_0932,45.291,223,120,2,10,230,4,226,9.75e-53,172
BME_RS01775,CC_2335,49.640,139,66,3,1,135,1,139,4.80e-41,132
BME_RS01780,CC_2336,43.111,225,122,3,86,304,75,299,4.32e-48,160
BME_RS01810,CC_0285,33.466,251,147,6,216,460,208,444,3.88e-23,98.6
BME_RS01815,CC_3475,52.381,168,79,1,1,168,6,172,9.12e-54,167
BME_RS01825,CC_3477,55.253,257,114,1,1,256,1,257,1.36e-91,268
BME_RS01835,CC_3048,34.199,231,144,5,100,328,346,570,6.35e-27,108
BME_RS01840,CC_0057,51.220,123,60,0,18,140,12,134,1.11e-38,124
BME_RS01855,CC_0453,53.651,315,131,7,24,338,36,335,3.07e-97,289
BME_RS01860,CC_3098,72.792,283,73,4,8,288,10,290,1.58e-148,416
BME_RS01865,CC_0935,44.848,165,84,3,4,164,1,162,1.73e-40,131
BME_RS01875,CC_2205,47.619,294,128,7,5,291,4,278,3.38e-81,243
BME_RS01880,CC_2201,51.445,173,82,2,42,213,42,213,7.33e-46,148
BME_RS01885,CC_2200,67.797,177,57,0,13,189,10,186,8.03e-90,258
BME_RS01890,CC_2196,41.135,141,80,3,32,170,66,205,3.52e-26,96.3
BME_RS01895,CC_2195,38.919,185,110,3,1,185,1,182,2.24e-39,130
BME_RS01900,CC_3140,60.970,474,180,3,8,478,5,476,0.0,585
BME_RS01920,CC_t47,80.000,25,5,0,1,25,1,25,1.33e-08,40.8
BME_RS01925,CC_r02,40.270,370,191,5,102,457,63,416,4.12e-51,191
BME_RS01940,CC_2642,54.717,53,24,0,2,54,4,56,1.97e-10,60.1
BME_RS01955,CC_0860,41.277,470,255,6,10,467,28,488,8.88e-117,350
BME_RS01960,CC_0861,47.917,288,146,1,41,328,42,325,5.21e-66,208
BME_RS01965,CC_0859,28.755,233,158,5,58,284,68,298,1.57e-18,81.6
BME_RS01970,CC_1286,36.842,152,89,2,12,158,9,158,1.48e-23,93.2
BME_RS02020,CC_0094,30.469,256,163,6,10,255,4,254,9.31e-28,105
BME_RS02025,CC_1808,38.683,243,148,1,57,298,4,246,1.50e-42,144
BME_RS02040,CC_1764,28.384,458,214,13,58,407,69,520,5.06e-41,150
BME_RS02050,CC_1763,36.150,426,262,6,2,421,25,446,2.06e-78,247
BME_RS02055,CC_3137,33.718,347,201,6,4,341,17,343,3.98e-57,187
BME_RS02060,CC_3134,52.989,368,165,1,20,379,12,379,2.65e-130,376
BME_RS02065,CC_3136,35.082,305,153,5,17,300,27,307,1.08e-55,179
BME_RS02070,CC_3135,43.162,234,125,2,17,243,59,291,6.57e-60,190
BME_RS02080,CC_2482,36.317,391,210,11,663,1028,451,827,4.62e-58,212
BME_RS02105,CC_1225,23.636,330,211,10,6,309,37,351,6.69e-19,83.2
BME_RS02110,CC_3611,52.344,384,170,3,1,371,3,386,7.20e-136,390
BME_RS02120,CC_3035,80.519,231,45,0,1,231,1,231,9.35e-140,388
BME_RS02125,CC_3470,36.788,193,114,4,11,198,50,239,4.86e-27,100
BME_RS02130,CC_1035,48.125,160,83,0,39,198,65,224,2.39e-49,157
BME_RS02145,CC_0903,85.185,81,12,0,10,90,13,93,3.58e-48,145
BME_RS02155,CC_0897,58.445,373,150,4,10,378,6,377,4.92e-155,439
BME_RS02160,CC_2314,50.391,256,126,1,14,269,6,260,2.93e-80,240
BME_RS02165,CC_2864,45.556,90,49,0,13,102,18,107,5.42e-23,83.6
BME_RS02190,CC_2669,36.397,272,160,6,13,284,7,265,1.32e-32,119
BME_RS02195,CC_2669,36.782,261,152,6,5,265,1,248,1.93e-42,145
BME_RS02200,CC_3134,37.295,244,143,2,29,272,16,249,4.96e-48,163
BME_RS02235,CC_0805,56.954,151,65,0,1,151,3,153,2.57e-62,186
BME_RS02245,CC_1895,34.859,284,167,3,246,512,229,511,2.33e-42,158
BME_RS02250,CC_3641,27.113,284,206,1,8,291,15,297,1.10e-26,103
BME_RS02255,CC_1541,24.578,533,344,14,57,575,22,510,3.54e-29,118
BME_RS02260,CC_1158,39.203,301,173,5,1,299,3,295,6.87e-61,193
BME_RS02265,CC_0418,42.282,149,84,2,3,151,42,188,1.08e-32,111
BME_RS02270,CC_1409,37.654,162,97,3,66,227,57,214,1.48e-27,101
BME_RS02280,CC_0405,41.772,158,92,0,11,168,19,176,1.21e-31,109
BME_RS02295,CC_2827,28.346,254,166,6,40,279,28,279,3.26e-16,74.3
BME_RS02300,CC_2826,51.438,313,150,2,17,327,8,320,4.01e-107,313
BME_RS02305,CC_0406,57.143,175,66,4,36,210,14,179,2.12e-60,185
BME_RS02310,CC_0407,50.000,182,88,3,26,206,28,207,3.78e-52,164
BME_RS02315,CC_0408,41.262,412,228,6,9,416,3,404,4.38e-97,294
BME_RS02330,CC_0405,31.452,124,76,3,6,127,19,135,2.75e-08,47.8
BME_RS02335,CC_0506,61.512,291,106,3,13,303,6,290,2.50e-122,349
BME_RS02345,CC_0187,36.254,331,191,10,27,344,45,368,4.66e-53,176
BME_RS02350,CC_0471,46.575,146,78,0,3,148,7,152,6.45e-47,147
BME_RS02355,CC_3420,33.675,585,346,14,45,611,270,830,3.53e-81,270
BME_RS02360,CC_3420,34.513,565,335,10,59,612,290,830,1.66e-80,268
BME_RS02365,CC_0472,51.667,180,74,1,8,187,12,178,6.51e-57,174
BME_RS02370,CC_0473,62.963,432,136,2,3,417,2,426,0.0,554
BME_RS02375,CC_0474,48.162,272,96,5,50,295,29,281,3.30e-76,231
BME_RS02395,CC_0479,65.489,368,124,2,1,367,1,366,6.92e-174,485
BME_RS02400,CC_0484,44.792,192,97,3,1,188,1,187,3.13e-54,171
BME_RS02405,CC_0485,42.553,188,107,1,6,193,5,191,3.97e-49,155
BME_RS02415,CC_0487,69.231,312,94,2,1,310,1,312,1.33e-155,434
BME_RS02435,CC_0490,45.703,256,133,2,8,262,9,259,5.41e-76,229
BME_RS02440,CC_0491,42.234,367,183,8,4,351,1,357,5.70e-79,244
BME_RS02445,CC_0492,43.345,293,140,4,13,280,3,294,4.29e-76,231
BME_RS02455,CC_0493,33.333,153,102,0,14,166,16,168,1.66e-36,121
BME_RS02470,CC_2932,43.807,436,241,4,12,446,12,444,1.95e-120,355
BME_RS02475,CC_2931,50.000,224,105,3,15,233,10,231,6.48e-64,196
BME_RS02480,CC_2930,33.000,100,64,2,17,114,18,116,2.90e-11,56.2
BME_RS02495,CC_1183,56.459,209,90,1,6,214,44,251,1.71e-82,244
BME_RS02505,CC_2903,70.909,55,16,0,4,58,3,57,1.40e-24,84.3
BME_RS02510,CC_2416,34.459,148,83,7,27,166,60,201,1.26e-09,53.9
BME_RS02515,CC_2981,75.507,690,161,4,135,817,29,717,0.0,1086
BME_RS02525,CC_0190,40.000,120,72,0,7,126,33,152,8.33e-28,97.4
BME_RS02550,CC_2848,63.057,157,58,0,1,157,1,157,1.62e-70,207
BME_RS02555,CC_3173,30.481,187,122,4,155,340,156,335,9.15e-10,56.2
BME_RS02560,CC_2535,38.000,150,93,0,2,151,36,185,1.48e-33,114
BME_RS02570,CC_2871,64.198,324,110,3,1,324,17,334,2.14e-150,423
BME_RS02575,CC_2352,30.534,262,177,3,5,266,8,264,4.93e-32,117
BME_RS02590,CC_1534,71.750,400,113,0,1,400,1,400,0.0,607
BME_RS02595,CC_1124,43.814,194,106,1,2,195,3,193,5.02e-52,163
BME_RS02600,CC_2903,73.913,69,18,0,1,69,1,69,3.21e-35,110
BME_RS02615,CC_2900,65.391,1176,310,10,1,1159,1,1096,0.0,1484
BME_RS02620,CC_0330,29.744,195,116,9,29,216,76,256,8.95e-11,58.2
BME_RS02625,CC_0331,42.520,127,72,1,2,128,58,183,1.27e-28,102
BME_RS02635,CC_2834,64.116,379,136,0,17,395,10,388,1.05e-173,487
BME_RS02650,CC_3049,37.994,658,372,14,1,647,1,633,3.40e-130,395
