C_crescentus|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
CC_0084,BAB_RS28500,54.710,552,207,4,15,552,25,547,0.0,597
CC_0085,BAB_RS16190,28.090,445,273,17,27,452,3,419,2.02e-22,97.4
CC_0086,BAB_RS24600,65.974,529,171,2,10,529,10,538,0.0,684
CC_0088,BAB_RS24610,44.414,1477,775,11,90,1542,93,1547,0.0,1176
CC_0089,BAB_RS19425,25.180,139,96,2,159,293,197,331,1.46e-08,52.4
CC_0090,BAB_RS18730,60.870,483,180,3,25,506,27,501,0.0,549
CC_0091,BAB_RS16950,43.794,427,237,2,355,781,253,676,3.87e-111,352
CC_0092,BAB_RS29660,49.524,315,158,1,2,315,4,318,6.99e-106,309
CC_0093,BAB_RS19005,30.742,283,188,4,14,289,26,307,1.71e-26,102
CC_0094,BAB_RS28570,34.363,259,157,4,2,257,1,249,5.28e-39,134
CC_0095,BAB_RS26840,34.848,132,77,2,143,271,70,195,7.72e-20,82.8
CC_0096,BAB_RS24270,33.929,336,206,5,1,331,9,333,2.80e-47,159
CC_0100,BAB_RS24595,30.297,505,337,9,21,516,20,518,9.27e-44,161
CC_0101,BAB_RS20075,62.201,209,76,2,13,220,6,212,2.09e-87,254
CC_0102,BAB_RS24590,41.556,450,231,10,4,429,24,465,1.77e-93,286
CC_0103,BAB_RS24580,57.143,63,27,0,30,92,10,72,5.87e-10,47.8
CC_0105,BAB_RS26080,49.784,231,112,1,3,233,9,235,4.87e-67,204
CC_0106,BAB_RS21300,33.810,210,125,4,11,219,11,207,1.80e-23,90.9
CC_0107,BAB_RS24990,44.660,412,213,5,1,409,15,414,1.23e-106,317
CC_0108,BAB_RS28015,66.667,54,18,0,10,63,9,62,1.93e-23,80.5
CC_0109,BAB_RS28010,48.899,227,99,4,5,220,8,228,5.36e-57,177
CC_0110,BAB_RS28005,48.667,300,150,3,4,299,30,329,1.53e-88,264
CC_0111,BAB_RS28000,45.890,146,78,1,15,159,16,161,5.39e-43,137
CC_0112,BAB_RS25550,50.407,246,120,2,1,244,1,246,5.05e-96,278
CC_0116,BAB_RS24090,30.968,155,90,4,61,210,262,404,7.74e-12,65.1
CC_0117,BAB_RS24060,62.670,442,164,1,4,445,11,451,0.0,572
CC_0118,BAB_RS29465,57.002,607,260,1,1,606,1,607,0.0,679
CC_0119,BAB_RS27660,25.926,189,140,0,148,336,71,259,7.30e-13,66.6
CC_0123,BAB_RS16295,35.833,120,74,1,10,129,3,119,1.38e-24,88.2
CC_0124,BAB_RS21405,34.426,244,131,7,1,233,1,226,7.26e-30,109
CC_0126,BAB_RS16270,32.919,161,94,3,26,181,19,170,7.54e-16,70.1
CC_0129,BAB_RS16265,78.218,404,86,1,4,407,5,406,0.0,647
CC_0131,BAB_RS22620,51.177,637,290,6,62,696,34,651,0.0,636
CC_0133,BAB_RS18225,36.444,225,135,5,4,225,7,226,2.31e-29,108
CC_0134,BAB_RS16280,60.263,380,133,5,26,391,29,404,7.01e-169,476
CC_0138,BAB_RS18800,34.348,230,135,4,18,235,333,558,6.78e-30,120
CC_0140,BAB_RS26105,55.856,111,49,0,1,111,1,111,4.11e-32,125
CC_0141,BAB_RS26095,56.774,310,133,1,1,310,1,309,9.13e-128,364
CC_0143,BAB_RS16755,42.718,103,59,0,17,119,15,117,4.15e-19,73.9
CC_0144,BAB_RS16750,49.104,279,135,3,14,287,23,299,1.55e-71,219
CC_0145,BAB_RS16745,45.646,379,201,5,8,383,27,403,5.63e-98,294
CC_0146,BAB_RS16740,50.254,197,83,4,4,185,8,204,3.08e-58,179
CC_0147,BAB_RS19380,38.674,181,106,4,2,179,3,181,1.17e-27,100
CC_0151,BAB_RS21790,23.843,281,181,8,65,324,96,364,1.35e-17,80.1
CC_0152,BAB_RS16725,64.557,237,83,1,1,236,1,237,1.42e-110,314
CC_0153,BAB_RS16720,52.312,346,161,3,15,356,10,355,6.05e-123,355
CC_0154,BAB_RS16715,45.963,161,84,2,5,163,51,210,5.64e-43,140
CC_0156,BAB_RS10425,53.763,372,172,0,1,372,1,372,6.88e-144,409
CC_0159,BAB_RS10435,44.180,378,197,7,9,384,19,384,2.29e-73,230
CC_0160,BAB_RS16510,65.361,817,254,8,5,805,10,813,0.0,1034
CC_0163,BAB_RS26700,24.722,360,239,13,81,424,138,481,3.98e-11,61.2
CC_0164,BAB_RS26830,26.667,450,320,5,21,466,120,563,2.21e-43,162
CC_0166,BAB_RS19755,45.128,195,103,2,77,267,318,512,3.39e-54,179
CC_0167,BAB_RS26110,44.068,118,60,2,155,271,82,194,1.95e-25,97.1
CC_0169,BAB_RS19765,42.073,164,94,1,24,186,32,195,7.78e-39,128
CC_0186,BAB_RS29090,49.657,437,213,2,1,437,1,430,2.73e-131,382
CC_0187,BAB_RS23375,36.127,346,203,9,28,368,12,344,9.37e-55,180
CC_0188,BAB_RS22480,35.510,245,145,6,19,260,277,511,9.11e-39,142
CC_0190,BAB_RS23195,40.000,120,72,0,33,152,7,126,7.79e-28,97.4
CC_0192,BAB_RS17460,25.192,520,340,13,43,530,78,580,8.54e-31,122
CC_0193,BAB_RS28020,60.833,360,128,3,4,350,6,365,1.37e-151,428
CC_0195,BAB_RS28055,59.500,200,80,1,1,199,1,200,1.83e-86,250
CC_0196,BAB_RS25025,69.083,469,137,3,4,471,5,466,0.0,653
CC_0197,BAB_RS25030,65.517,116,40,0,4,119,3,118,1.18e-52,160
CC_0198,BAB_RS25065,56.652,233,99,2,3,235,12,242,2.68e-94,273
CC_0201,BAB_RS21775,50.467,214,103,3,12,225,7,217,1.69e-44,145
CC_0204,BAB_RS27340,39.451,583,327,8,7,588,11,568,9.07e-128,387
CC_0206,BAB_RS29205,47.598,229,117,2,2,228,1,228,6.04e-68,206
CC_0207,BAB_RS29210,46.341,205,108,1,7,211,15,217,8.28e-64,194
CC_0208,BAB_RS22325,34.711,121,75,2,68,185,66,185,2.68e-12,63.2
CC_0212,BAB_RS24885,24.382,283,191,7,4,279,3,269,3.22e-11,59.3
CC_0214,BAB_RS22470,25.171,584,316,24,36,576,20,525,4.27e-14,72.0
CC_0217,BAB_RS18325,35.238,105,60,3,37,141,55,151,5.57e-11,60.1
CC_0222,BAB_RS17440,51.751,514,244,3,27,537,31,543,2.28e-176,505
CC_0223,BAB_RS29180,32.381,105,70,1,37,140,17,121,1.83e-09,53.5
CC_0227,BAB_RS27315,45.161,186,99,2,1,186,1,183,1.30e-50,158
CC_0230,BAB_RS27310,54.440,259,113,1,35,293,74,327,7.09e-93,288
CC_0231,BAB_RS27305,52.778,144,66,1,14,157,16,157,3.51e-47,147
CC_0233,BAB_RS18465,32.394,284,167,8,29,293,286,563,4.92e-36,135
CC_0234,BAB_RS18525,30.423,378,229,10,16,393,9,352,2.64e-47,162
CC_0237,BAB_RS25900,66.524,233,76,1,3,235,9,239,3.31e-112,318
CC_0238,BAB_RS25905,40.820,561,272,7,25,530,43,598,1.57e-117,356
CC_0239,BAB_RS25910,43.038,79,39,1,5,77,8,86,8.54e-10,50.8
CC_0240,BAB_RS25915,66.418,134,44,1,13,146,1,133,5.68e-59,176
CC_0241,BAB_RS25920,54.651,86,39,0,6,91,18,103,9.48e-29,96.3
CC_0244,BAB_RS31710,26.108,203,126,7,4,193,3,194,1.26e-10,55.5
CC_0245,BAB_RS16300,48.454,97,46,2,1,94,1,96,3.60e-30,99.8
CC_0246,BAB_RS18225,33.992,253,153,6,8,259,4,243,1.59e-34,121
CC_0247,BAB_RS16565,69.942,173,52,0,13,185,15,187,1.13e-85,247
CC_0248,BAB_RS16550,43.059,425,226,7,42,460,15,429,1.77e-95,291
CC_0249,BAB_RS22770,44.654,159,82,4,38,194,36,190,1.92e-38,128
CC_0251,BAB_RS25995,32.127,221,141,3,21,237,35,250,2.58e-31,112
CC_0252,BAB_RS16475,42.813,647,335,6,19,636,67,707,6.58e-163,483
CC_0253,BAB_RS28035,69.388,343,104,1,1,342,1,343,3.51e-174,484
CC_0254,BAB_RS19275,38.047,297,175,4,1,290,1,295,3.74e-56,180
CC_0256,BAB_RS24655,32.168,286,177,7,5,282,13,289,1.66e-27,104
CC_0257,BAB_RS25925,73.319,461,123,0,3,463,6,466,0.0,692
CC_0260,BAB_RS30520,20.736,299,208,12,29,313,31,314,1.08e-08,52.4
CC_0264,BAB_RS19030,44.990,489,252,8,1,484,24,500,1.78e-132,389
CC_0265,BAB_RS28480,45.324,417,208,6,1,412,1,402,2.07e-114,337
CC_0266,BAB_RS16095,40.909,308,166,7,10,313,19,314,2.99e-58,186
CC_0267,BAB_RS16085,48.330,569,259,7,55,591,9,574,7.10e-171,496
CC_0268,BAB_RS16080,44.898,98,47,1,1,98,8,98,5.70e-19,72.0
CC_0269,BAB_RS16075,61.074,149,58,0,1,149,50,198,5.13e-61,184
CC_0272,BAB_RS31030,57.233,159,66,1,17,173,13,171,3.05e-67,199
CC_0275,BAB_RS31010,51.015,394,175,5,7,382,1,394,2.15e-123,358
CC_0276,BAB_RS30420,41.199,267,153,3,24,287,25,290,3.69e-57,183
CC_0278,BAB_RS31020,60.729,247,95,1,1,245,1,247,5.93e-103,296
CC_0279,BAB_RS31025,55.184,299,133,1,1,298,1,299,1.01e-112,325
CC_0281,BAB_RS31000,68.794,282,79,3,8,283,6,284,2.96e-133,375
CC_0282,BAB_RS30990,44.595,222,112,1,3,213,8,229,2.80e-59,183
CC_0283,BAB_RS30985,56.552,290,120,2,13,302,11,294,1.22e-103,301
CC_0284,BAB_RS23920,31.858,113,76,1,5,116,139,251,1.16e-14,65.9
CC_0285,BAB_RS29430,45.270,148,70,1,103,239,21,168,1.07e-38,142
CC_0286,BAB_RS16425,59.271,329,131,3,23,348,12,340,4.84e-138,392
CC_0289,BAB_RS17500,43.802,363,173,5,89,451,95,426,5.10e-79,249
CC_0290,BAB_RS26130,45.732,492,226,11,16,477,16,496,6.06e-122,362
CC_0291,BAB_RS26135,52.262,442,194,4,1,431,1,436,2.32e-149,428
CC_0292,BAB_RS26140,76.800,250,56,1,27,274,24,273,5.79e-140,392
CC_0293,BAB_RS26145,50.000,226,113,0,2,227,3,228,7.44e-77,228
CC_0294,BAB_RS26150,64.732,224,79,0,2,225,4,227,1.79e-102,293
CC_0297,BAB_RS18025,55.425,424,186,3,4,426,1,422,1.87e-151,433
CC_0301,BAB_RS27370,35.503,338,195,8,6,333,7,331,1.81e-49,165
CC_0302,BAB_RS27365,37.500,416,241,9,7,412,10,416,1.45e-76,241
CC_0303,BAB_RS18410,36.538,260,165,0,87,346,16,275,8.71e-37,131
CC_0304,BAB_RS18075,28.194,227,151,6,2,228,5,219,6.24e-23,89.7
CC_0305,BAB_RS31100,37.370,578,349,4,17,592,22,588,1.39e-121,369
CC_0307,BAB_RS27355,61.972,71,27,0,3,73,7,77,1.04e-31,102
CC_0308,BAB_RS27350,39.844,256,146,6,2,253,12,263,2.28e-43,145
CC_0309,BAB_RS27345,44.977,438,233,4,8,443,16,447,1.03e-110,330
CC_0313,BAB_RS33465,54.076,503,221,4,3,505,11,503,0.0,555
CC_0314,BAB_RS24725,60.165,364,141,4,13,375,9,369,1.92e-134,386
CC_0315,BAB_RS24730,67.868,333,106,1,1,333,1,332,6.81e-149,420
CC_0317,BAB_RS24745,35.714,154,96,3,4,155,33,185,2.27e-25,94.4
CC_0318,BAB_RS24750,74.157,89,23,0,1,89,1,89,1.59e-45,138
CC_0319,BAB_RS24755,53.333,105,45,1,1,105,1,101,4.58e-31,106
CC_0321,BAB_RS27550,59.189,370,135,4,9,365,13,379,5.98e-139,397
CC_0322,BAB_RS23965,36.111,144,82,3,4,147,1,134,1.14e-22,85.1
CC_0323,BAB_RS27545,41.975,324,173,9,53,374,12,322,1.53e-69,218
CC_0325,BAB_RS24425,39.815,216,127,2,14,228,37,250,9.40e-46,149
CC_0326,BAB_RS24745,26.282,156,110,2,3,155,33,186,2.15e-09,51.6
CC_0328,BAB_RS26775,31.818,220,139,5,34,249,31,243,6.07e-18,77.4
CC_0329,BAB_RS26780,39.487,195,117,1,3,197,9,202,3.11e-33,116
CC_0330,BAB_RS23100,30.256,195,115,9,76,256,29,216,4.18e-12,61.6
CC_0331,BAB_RS23095,42.520,127,72,1,58,183,2,128,1.09e-28,102
CC_0335,BAB_RS22470,30.921,152,92,2,100,246,21,164,8.04e-12,65.1
CC_0336,BAB_RS27385,26.254,339,224,8,31,352,26,355,4.36e-17,79.3
CC_0337,BAB_RS25120,72.292,397,110,0,1,397,1,397,0.0,566
CC_0338,BAB_RS25115,80.000,300,54,2,1,294,1,300,2.96e-162,450
CC_0339,BAB_RS25110,62.941,993,352,6,9,986,12,1003,0.0,1309
CC_0340,BAB_RS25105,63.210,405,144,2,3,402,4,408,1.94e-163,462
CC_0342,BAB_RS25085,63.537,458,163,3,12,466,2,458,0.0,576
CC_0344,BAB_RS25075,47.475,297,149,4,10,303,22,314,1.21e-81,246
CC_0346,BAB_RS24540,49.180,732,350,5,2,719,21,744,0.0,667
CC_0347,BAB_RS24200,62.403,258,80,3,45,301,6,247,1.24e-97,285
CC_0348,BAB_RS16030,29.600,250,143,9,10,246,7,236,5.32e-15,70.5
CC_0353,BAB_RS26345,25.641,273,181,3,9,278,3,256,1.12e-23,93.6
CC_0355,BAB_RS29180,31.481,108,70,2,24,131,15,118,3.72e-08,50.1
CC_0357,BAB_RS31500,35.200,125,75,4,41,161,13,135,1.40e-15,66.6
CC_0360,BAB_RS26825,33.422,374,223,12,8,366,7,369,7.99e-44,154
CC_0361,BAB_RS25275,33.469,245,142,5,7,243,12,243,4.32e-42,141
CC_0363,BAB_RS25255,26.429,140,87,4,80,209,11,144,9.24e-08,48.5
CC_0364,BAB_RS22400,37.269,271,161,5,160,427,252,516,1.11e-47,167
CC_0365,BAB_RS17905,44.231,156,86,1,14,169,5,159,1.83e-32,110
CC_0366,BAB_RS17900,40.000,160,96,0,17,176,41,200,5.18e-30,105
CC_0367,BAB_RS17895,60.656,61,24,0,1,61,1,61,1.08e-18,69.3
CC_0368,BAB_RS17890,52.610,249,110,3,3,249,4,246,3.28e-77,231
CC_0369,BAB_RS17885,33.333,105,62,1,15,111,26,130,2.42e-13,59.3
CC_0372,BAB_RS22260,51.172,256,124,1,13,267,5,260,4.03e-80,239
CC_0373,BAB_RS18405,48.190,1160,573,8,1,1144,1,1148,0.0,843
CC_0374,BAB_RS18400,36.420,162,100,2,33,193,51,210,2.50e-28,102
CC_0375,BAB_RS18400,38.824,170,101,3,31,199,50,217,1.33e-39,132
CC_0376,BAB_RS18395,33.103,145,87,3,41,179,25,165,6.54e-13,60.5
CC_0377,BAB_RS18390,50.872,344,156,6,11,345,7,346,3.65e-110,322
CC_0378,BAB_RS18380,65.341,352,122,0,6,357,21,372,1.08e-177,495
CC_0379,BAB_RS17910,50.000,182,89,2,12,191,34,215,2.55e-45,146
CC_0382,BAB_RS27220,46.154,182,93,2,5,183,19,198,9.02e-50,157
CC_0385,BAB_RS19220,34.000,250,158,3,1,243,2,251,4.00e-42,142
CC_0388,BAB_RS19225,63.801,442,159,1,1,442,1,441,0.0,562
CC_0391,BAB_RS17460,27.295,414,239,17,71,441,74,468,7.49e-21,92.8
CC_0393,BAB_RS27750,23.810,546,357,12,3,509,10,535,1.51e-24,103
CC_0395,BAB_RS18440,25.436,287,164,10,22,303,50,291,1.54e-09,54.7
CC_0396,BAB_RS24505,31.008,129,84,3,17,143,18,143,7.08e-10,50.8
CC_0397,BAB_RS18010,42.570,249,142,1,1,248,1,249,1.02e-64,199
CC_0398,BAB_RS22425,33.333,153,92,7,21,167,2,150,5.26e-10,55.8
CC_0400,BAB_RS23775,31.308,214,125,6,3,211,14,210,2.83e-18,79.0
CC_0403,BAB_RS24905,48.020,404,203,1,26,429,13,409,7.29e-108,321
CC_0405,BAB_RS23440,41.772,158,92,0,19,176,11,168,3.20e-35,118
CC_0406,BAB_RS23415,57.143,175,66,4,14,179,36,210,1.43e-60,185
CC_0407,BAB_RS23410,50.000,182,88,3,28,207,26,206,2.57e-52,164
CC_0408,BAB_RS23405,41.262,412,228,6,3,404,9,416,9.16e-97,293
CC_0409,BAB_RS30330,30.909,110,69,4,92,195,81,189,9.97e-08,48.5
CC_0417,BAB_RS19370,54.839,248,109,2,1,247,22,267,1.62e-91,268
CC_0418,BAB_RS23455,42.282,149,84,2,42,188,3,151,1.06e-32,111
CC_0419,BAB_RS29045,55.579,475,204,3,3,471,8,481,0.0,513
CC_0424,BAB_RS20165,57.718,149,63,0,13,161,1,149,1.27e-63,189
CC_0425,BAB_RS16060,30.620,258,175,2,170,426,44,298,2.21e-12,64.7
CC_0426,BAB_RS31725,24.803,254,156,11,232,465,194,432,3.39e-08,52.0
CC_0427,BAB_RS27390,63.947,380,136,1,1,379,1,380,2.95e-180,503
CC_0432,BAB_RS25900,33.871,124,75,2,2,121,7,127,3.78e-16,68.6
CC_0436,BAB_RS17700,38.554,83,51,0,3,85,6,88,1.31e-10,57.0
CC_0437,BAB_RS25900,31.746,126,81,3,1,125,1,122,5.22e-15,65.5
CC_0440,BAB_RS25485,30.556,144,91,2,17,155,5,144,1.96e-11,57.8
CC_0443,BAB_RS27920,44.503,382,203,6,3,377,5,384,4.96e-97,291
CC_0444,BAB_RS27915,44.543,339,187,1,26,363,5,343,9.86e-88,265
CC_0445,BAB_RS29795,50.649,231,111,1,17,244,23,253,2.38e-68,208
CC_0448,BAB_RS24860,32.892,529,343,4,298,814,191,719,3.39e-74,254
CC_0450,BAB_RS17945,62.148,391,148,0,3,393,6,396,9.75e-152,444
CC_0453,BAB_RS23890,53.968,315,130,7,36,335,24,338,6.62e-106,311
CC_0456,BAB_RS16270,34.783,207,116,7,7,203,16,213,8.60e-22,85.9
CC_0457,BAB_RS21175,60.484,124,47,2,5,126,3,126,1.05e-48,150
CC_0459,BAB_RS21170,57.219,187,80,0,25,211,26,212,1.06e-77,229
CC_0460,BAB_RS19265,44.950,505,212,11,3,458,8,495,1.27e-129,382
CC_0462,BAB_RS21165,50.725,138,68,0,1,138,1,138,9.46e-50,153
CC_0463,BAB_RS21160,43.750,80,37,1,12,83,38,117,9.82e-20,73.9
CC_0464,BAB_RS21150,58.257,654,258,3,2,645,5,653,0.0,785
CC_0467,BAB_RS16010,41.516,277,159,3,1,276,1,275,5.65e-63,197
CC_0468,BAB_RS27005,27.917,240,155,7,35,270,25,250,2.94e-12,65.5
CC_0471,BAB_RS23370,46.575,146,78,0,7,152,3,148,5.15e-47,147
CC_0472,BAB_RS23355,51.667,180,74,1,12,178,8,187,2.06e-65,195
CC_0473,BAB_RS23350,63.194,432,135,2,2,426,3,417,0.0,533
CC_0474,BAB_RS23345,48.162,272,96,5,29,281,50,295,1.23e-67,209
CC_0479,BAB_RS23325,65.489,368,124,2,1,366,1,367,9.67e-172,479
CC_0481,BAB_RS18120,29.412,272,174,9,15,276,37,300,2.21e-28,107
CC_0484,BAB_RS23320,44.271,192,98,3,1,187,1,188,3.75e-54,170
CC_0485,BAB_RS23315,42.781,187,106,1,5,190,6,192,4.74e-49,155
CC_0487,BAB_RS23305,69.231,312,94,2,1,312,1,310,1.07e-155,434
CC_0490,BAB_RS23285,45.783,249,129,2,9,252,8,255,4.85e-73,221
CC_0491,BAB_RS23280,42.507,367,182,8,1,357,4,351,8.27e-80,246
CC_0492,BAB_RS23275,44.366,284,132,4,3,285,13,271,3.13e-70,216
CC_0493,BAB_RS23265,33.333,153,102,0,16,168,14,166,1.33e-36,121
CC_0494,BAB_RS28545,41.328,271,138,8,4,259,5,269,2.75e-44,147
CC_0496,BAB_RS21970,50.581,172,84,1,1,172,1,171,5.18e-55,168
CC_0497,BAB_RS21965,70.079,127,35,2,1,127,1,124,1.86e-37,120
CC_0502,BAB_RS21960,75.092,1365,330,5,1,1356,1,1364,0.0,2100
CC_0503,BAB_RS21955,71.510,1397,391,4,1,1394,1,1393,0.0,2040
CC_0506,BAB_RS23385,61.856,291,105,3,6,290,13,303,5.38e-132,373
CC_0510,BAB_RS24410,70.466,386,114,0,4,389,7,392,0.0,564
CC_0511,BAB_RS18225,46.444,239,125,2,3,239,7,244,2.67e-61,189
CC_0514,BAB_RS32270,70.270,74,22,0,15,88,1,74,1.35e-31,108
CC_0515,BAB_RS32270,68.421,152,48,0,89,240,162,313,1.16e-71,221
CC_0516,BAB_RS25695,29.688,320,210,6,34,346,22,333,2.11e-28,110
CC_0519,BAB_RS25160,51.575,254,113,4,3,247,8,260,6.66e-82,243
CC_0520,BAB_RS25400,42.437,238,134,2,17,252,1,237,5.72e-58,183
CC_0521,BAB_RS20830,55.357,112,50,0,1,112,1,112,4.58e-41,129
CC_0523,BAB_RS31145,29.084,251,151,7,6,249,38,268,3.62e-23,92.4
CC_0526,BAB_RS20980,32.468,154,98,4,1,152,1,150,3.12e-18,73.9
CC_0527,BAB_RS17570,48.214,112,55,1,3,111,5,116,2.49e-31,104
CC_0528,BAB_RS17565,53.709,337,155,1,9,345,11,346,9.61e-120,347
CC_0530,BAB_RS17385,34.681,470,300,5,18,481,34,502,3.68e-80,256
CC_0532,BAB_RS17055,26.446,363,219,9,21,378,35,354,4.82e-23,96.3
CC_0534,BAB_RS27920,43.307,381,207,6,4,377,6,384,3.64e-90,273
CC_0535,BAB_RS27915,45.104,337,182,3,24,358,8,343,3.87e-85,258
CC_0536,BAB_RS29795,48.333,240,117,2,66,298,14,253,2.43e-68,210
CC_0537,BAB_RS24860,32.892,529,343,4,324,840,191,719,8.60e-74,254
CC_0566,BAB_RS23420,42.308,312,164,4,16,317,27,332,6.51e-73,225
CC_0573,BAB_RS25695,31.395,344,223,10,6,344,3,338,2.91e-33,123
CC_0580,BAB_RS23485,39.161,143,87,0,13,155,4,146,1.73e-29,102
CC_0582,BAB_RS16905,32.979,470,270,14,13,455,26,477,1.81e-58,196
CC_0584,BAB_RS17510,55.584,385,171,0,1,385,7,391,1.04e-149,426
CC_0586,BAB_RS18995,40.400,250,138,3,327,573,525,766,3.03e-45,169
CC_0588,BAB_RS25900,39.316,117,68,1,6,122,10,123,8.59e-21,80.9
CC_0591,BAB_RS29960,33.333,120,76,2,8,127,7,122,2.03e-13,61.2
CC_0596,BAB_RS25900,38.182,110,64,2,2,111,9,114,2.92e-16,68.6
CC_0597,BAB_RS25900,34.028,144,74,7,14,150,10,139,8.60e-09,52.0
CC_0610,BAB_RS31815,28.205,234,159,1,49,282,12,236,4.00e-27,103
CC_0611,BAB_RS31810,43.404,235,128,4,25,259,20,249,8.13e-59,184
CC_0615,BAB_RS28785,33.922,283,177,7,9,287,4,280,7.32e-33,128
CC_0617,BAB_RS19405,23.577,738,469,22,12,701,14,704,3.02e-23,102
CC_0618,BAB_RS16760,45.798,238,124,2,8,242,226,461,1.07e-53,177
