O_anthropi|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00805,OANT_RS00805,100.000,910,0,0,1,910,1,910,0.0,1848
OANT_RS00810,OANT_RS00810,100.000,281,0,0,1,281,1,281,0.0,579
OANT_RS00815,OANT_RS00815,100.000,160,0,0,1,160,1,160,8.54e-115,319
OANT_RS00820,OANT_RS00820,100.000,294,0,0,1,294,1,294,0.0,597
OANT_RS00825,OANT_RS00825,100.000,386,0,0,1,386,1,386,0.0,789
OANT_RS00830,OANT_RS00830,100.000,107,0,0,1,107,1,107,5.91e-75,214
OANT_RS00835,OANT_RS00835,100.000,94,0,0,1,94,1,94,3.20e-65,188
OANT_RS00840,OANT_RS00840,100.000,323,0,0,1,323,1,323,0.0,650
OANT_RS00845,OANT_RS00845,100.000,237,0,0,1,237,1,237,1.05e-177,484
OANT_RS00850,OANT_RS00850,100.000,216,0,0,1,216,1,216,1.66e-159,437
OANT_RS00855,OANT_RS00855,100.000,279,0,0,1,279,1,279,0.0,566
OANT_RS00860,OANT_RS00860,100.000,513,0,0,1,513,1,513,0.0,1044
OANT_RS00865,OANT_RS00865,100.000,108,0,0,1,108,1,108,1.92e-79,226
OANT_RS00870,OANT_RS00870,100.000,197,0,0,1,197,1,197,1.91e-147,405
OANT_RS00875,OANT_RS00875,100.000,154,0,0,1,154,1,154,7.05e-110,306
OANT_RS00880,OANT_RS00880,100.000,81,0,0,1,81,1,81,4.44e-57,167
OANT_RS00885,OANT_RS00885,100.000,140,0,0,1,140,1,140,6.58e-101,282
OANT_RS00890,OANT_RS00890,100.000,165,0,0,1,165,1,165,3.13e-121,336
OANT_RS00895,OANT_RS00895,100.000,249,0,0,1,249,1,249,0.0,509
OANT_RS00900,OANT_RS00900,100.000,242,0,0,1,242,1,242,2.68e-173,474
OANT_RS00905,OANT_RS00905,100.000,331,0,0,1,331,1,331,0.0,677
OANT_RS00910,OANT_RS00910,100.000,218,0,0,1,218,1,218,1.56e-155,427
OANT_RS00915,OANT_RS00915,100.000,228,0,0,1,228,1,228,3.55e-166,454
OANT_RS00920,OANT_RS00920,100.000,356,0,0,1,356,1,356,0.0,713
OANT_RS00925,OANT_RS00925,100.000,238,0,0,1,238,1,238,3.66e-178,486
OANT_RS00930,OANT_RS00930,100.000,134,0,0,1,134,1,134,9.81e-99,276
OANT_RS00935,OANT_RS00935,100.000,220,0,0,1,220,1,220,1.04e-163,447
OANT_RS00940,OANT_RS00940,100.000,409,0,0,1,409,1,409,0.0,841
OANT_RS00945,OANT_RS00945,100.000,303,0,0,1,303,1,303,0.0,604
OANT_RS00950,OANT_RS00950,100.000,125,0,0,1,125,1,125,2.14e-88,249
OANT_RS00955,OANT_RS00955,100.000,475,0,0,1,475,1,475,0.0,937
OANT_RS00960,OANT_RS00960,100.000,105,0,0,1,105,1,105,4.46e-72,207
OANT_RS00965,OANT_RS00965,100.000,556,0,0,1,556,1,556,0.0,1145
OANT_RS00970,OANT_RS00970,100.000,249,0,0,1,249,1,249,0.0,510
OANT_RS00975,OANT_RS00975,100.000,174,0,0,1,174,1,174,5.28e-125,346
OANT_RS00980,OANT_RS00980,100.000,97,0,0,1,97,1,97,1.27e-69,200
OANT_RS00985,OANT_RS00985,100.000,192,0,0,1,192,1,192,1.13e-141,390
OANT_RS00990,OANT_RS00990,100.000,81,0,0,1,81,1,81,4.71e-53,157
OANT_RS00995,OANT_RS00995,100.000,139,0,0,1,139,1,139,2.61e-98,276
OANT_RS01000,OANT_RS01000,100.000,1263,0,0,1,1263,1,1263,0.0,2594
OANT_RS01005,OANT_RS01005,100.000,235,0,0,1,235,1,235,3.26e-180,491
OANT_RS01010,OANT_RS01010,100.000,456,0,0,1,456,1,456,0.0,939
OANT_RS01015,OANT_RS01015,100.000,306,0,0,1,306,1,306,0.0,636
OANT_RS01020,OANT_RS01020,100.000,644,0,0,1,644,1,644,0.0,1310
OANT_RS01025,OANT_RS01025,100.000,281,0,0,1,281,1,281,0.0,572
OANT_RS01030,OANT_RS01030,100.000,25,0,0,1,25,1,25,6.23e-12,49.3
OANT_RS01035,OANT_RS01035,100.000,353,0,0,1,353,1,353,0.0,727
OANT_RS01040,OANT_RS01040,100.000,70,0,0,1,70,1,70,5.80e-46,138
OANT_RS01045,OANT_RS01045,100.000,87,0,0,1,87,1,87,6.77e-63,182
OANT_RS01050,OANT_RS01050,100.000,64,0,0,1,64,1,64,1.90e-40,124
OANT_RS01055,OANT_RS01055,100.000,63,0,0,1,63,1,63,1.21e-43,132
OANT_RS01060,OANT_RS01060,100.000,93,0,0,1,93,1,93,3.18e-68,196
OANT_RS01065,OANT_RS01065,100.000,139,0,0,1,139,1,139,7.75e-102,285
OANT_RS01070,OANT_RS01070,100.000,200,0,0,1,200,1,200,4.34e-149,409
OANT_RS01075,OANT_RS01075,100.000,182,0,0,1,182,1,182,2.99e-138,380
OANT_RS01080,OANT_RS01080,100.000,122,0,0,1,122,1,122,9.32e-90,253
OANT_RS01085,OANT_RS01085,100.000,111,0,0,1,111,1,111,2.55e-81,231
OANT_RS01090,OANT_RS01090,100.000,333,0,0,1,333,1,333,0.0,683
OANT_RS01095,OANT_RS01095,100.000,131,0,0,1,131,1,131,3.69e-97,272
OANT_RS01100,OANT_RS01100,100.000,442,0,0,1,442,1,442,0.0,916
OANT_RS01105,OANT_RS01105,100.000,307,0,0,1,307,1,307,0.0,639
OANT_RS01110,OANT_RS01110,100.000,91,0,0,1,91,1,91,8.99e-65,187
OANT_RS01115,OANT_RS01115,100.000,72,0,0,1,72,1,72,8.35e-49,145
OANT_RS01120,OANT_RS01120,100.000,101,0,0,1,101,1,101,7.33e-72,206
OANT_RS01125,OANT_RS01125,100.000,87,0,0,1,87,1,87,6.82e-64,184
OANT_RS01130,OANT_RS01130,100.000,112,0,0,1,112,1,112,1.36e-80,229
OANT_RS01135,OANT_RS01135,100.000,117,0,0,1,117,1,117,3.76e-85,241
OANT_RS01140,OANT_RS01140,100.000,235,0,0,1,235,1,235,3.17e-177,483
OANT_RS01145,OANT_RS01145,100.000,79,0,0,1,79,1,79,5.07e-54,159
OANT_RS01150,OANT_RS01150,100.000,291,0,0,1,291,1,291,0.0,589
OANT_RS01155,OANT_RS01155,100.000,169,0,0,1,169,1,169,2.91e-122,338
OANT_RS01160,OANT_RS01160,100.000,132,0,0,1,132,1,132,1.29e-94,266
OANT_RS01165,OANT_RS01165,100.000,167,0,0,1,167,1,167,2.44e-123,341
OANT_RS01170,OANT_RS01170,100.000,81,0,0,1,81,1,81,9.07e-51,151
OANT_RS01175,OANT_RS01175,100.000,104,0,0,1,104,1,104,6.61e-74,211
OANT_RS01180,OANT_RS01180,100.000,151,0,0,1,151,1,151,8.42e-111,308
OANT_RS01185,OANT_RS01185,100.000,229,0,0,1,229,1,229,1.92e-174,476
OANT_RS01190,OANT_RS01190,100.000,500,0,0,1,500,1,500,0.0,1037
OANT_RS01195,OANT_RS01195,100.000,102,0,0,1,102,1,102,5.58e-74,211
OANT_RS01200,OANT_RS01200,100.000,283,0,0,1,283,1,283,0.0,575
OANT_RS01205,OANT_RS01205,100.000,74,0,0,1,74,1,74,2.51e-53,157
OANT_RS01210,OANT_RS01210,100.000,147,0,0,1,147,1,147,5.30e-109,303
OANT_RS01215,OANT_RS01215,100.000,91,0,0,1,91,1,91,1.03e-63,184
OANT_RS01220,OANT_RS01220,100.000,190,0,0,1,190,1,190,6.72e-144,395
OANT_RS01225,OANT_RS01225,100.000,108,0,0,1,108,1,108,1.24e-78,223
OANT_RS01230,OANT_RS01230,100.000,81,0,0,1,81,1,81,2.89e-55,162
OANT_RS01235,OANT_RS01235,100.000,65,0,0,1,65,1,65,1.14e-45,137
OANT_RS01240,OANT_RS01240,100.000,71,0,0,1,71,1,71,5.81e-48,143
OANT_RS01245,OANT_RS01245,100.000,114,0,0,1,114,1,114,7.90e-85,239
OANT_RS01250,OANT_RS01250,100.000,88,0,0,1,88,1,88,9.66e-64,184
OANT_RS01255,OANT_RS01255,100.000,138,0,0,1,138,1,138,2.31e-99,278
OANT_RS01260,OANT_RS01260,100.000,573,0,0,1,573,1,573,0.0,1180
OANT_RS01270,OANT_RS01270,100.000,469,0,0,1,469,1,469,0.0,944
OANT_RS01275,OANT_RS01275,100.000,72,0,0,1,72,1,72,1.33e-45,137
OANT_RS01285,OANT_RS01285,100.000,441,0,0,1,441,1,441,0.0,915
OANT_RS01290,OANT_RS01290,100.000,267,0,0,1,267,1,267,0.0,525
OANT_RS01295,OANT_RS01295,100.000,104,0,0,1,104,1,104,4.94e-72,206
OANT_RS01300,OANT_RS01300,100.000,116,0,0,1,116,1,116,5.41e-85,240
OANT_RS01305,OANT_RS01305,100.000,146,0,0,1,146,1,146,8.03e-106,295
OANT_RS01310,OANT_RS01310,100.000,133,0,0,1,133,1,133,2.56e-97,273
OANT_RS01315,OANT_RS01315,100.000,67,0,0,1,67,1,67,3.79e-46,138
OANT_RS01320,OANT_RS01320,100.000,151,0,0,1,151,1,151,4.57e-114,317
OANT_RS01335,OANT_RS01335,100.000,70,0,0,1,70,1,70,4.11e-48,143
OANT_RS01340,OANT_RS01340,100.000,225,0,0,1,225,1,225,5.74e-167,456
OANT_RS01345,OANT_RS01345,100.000,221,0,0,1,221,1,221,5.08e-167,456
OANT_RS01355,OANT_RS01355,100.000,132,0,0,1,132,1,132,5.16e-98,274
OANT_RS01360,OANT_RS01360,100.000,590,0,0,1,590,1,590,0.0,1196
OANT_RS01365,OANT_RS01365,100.000,157,0,0,1,157,1,157,5.55e-113,314
OANT_RS01370,OANT_RS01370,100.000,93,0,0,1,93,1,93,2.14e-65,189
OANT_RS01375,OANT_RS01375,100.000,658,0,0,1,658,1,658,0.0,1370
OANT_RS01380,OANT_RS01380,100.000,274,0,0,1,274,1,274,0.0,570
OANT_RS01385,OANT_RS01385,100.000,239,0,0,1,239,1,239,1.26e-178,487
OANT_RS01390,OANT_RS01390,100.000,84,0,0,1,84,1,84,3.21e-58,170
OANT_RS01395,OANT_RS01395,100.000,80,0,0,1,80,1,80,1.66e-55,163
OANT_RS01400,OANT_RS01400,100.000,105,0,0,1,105,1,105,4.62e-75,214
OANT_RS01405,OANT_RS01405,100.000,64,0,0,1,64,1,64,1.11e-41,127
OANT_RS01410,OANT_RS01410,100.000,210,0,0,1,210,1,210,3.92e-157,430
OANT_RS01415,OANT_RS01415,100.000,253,0,0,1,253,1,253,0.0,515
OANT_RS01420,OANT_RS01420,100.000,241,0,0,1,241,1,241,0.0,495
OANT_RS01425,OANT_RS01425,100.000,263,0,0,1,263,1,263,0.0,533
OANT_RS01430,OANT_RS01430,100.000,503,0,0,1,503,1,503,0.0,1028
OANT_RS01435,OANT_RS01435,100.000,323,0,0,1,323,1,323,0.0,646
OANT_RS01440,OANT_RS01440,100.000,505,0,0,1,505,1,505,0.0,1042
OANT_RS01445,OANT_RS01445,100.000,344,0,0,1,344,1,344,0.0,701
OANT_RS01450,OANT_RS01450,100.000,119,0,0,1,119,1,119,9.78e-87,245
OANT_RS01455,OANT_RS01455,100.000,340,0,0,1,340,1,340,0.0,685
OANT_RS01460,OANT_RS01460,100.000,636,0,0,1,636,1,636,0.0,1293
OANT_RS01465,OANT_RS01465,100.000,601,0,0,1,601,1,601,0.0,1211
OANT_RS01470,OANT_RS01470,100.000,477,0,0,1,477,1,477,0.0,974
OANT_RS01475,OANT_RS01475,100.000,258,0,0,1,258,1,258,0.0,504
OANT_RS01480,OANT_RS01480,100.000,231,0,0,1,231,1,231,3.50e-176,480
OANT_RS01485,OANT_RS01485,100.000,322,0,0,1,322,1,322,0.0,659
OANT_RS01490,OANT_RS01490,100.000,209,0,0,1,209,1,209,5.70e-156,427
OANT_RS01495,OANT_RS01495,100.000,256,0,0,1,256,1,256,0.0,517
OANT_RS01500,OANT_RS01500,100.000,65,0,0,1,65,1,65,7.46e-40,122
OANT_RS01505,OANT_RS01505,100.000,334,0,0,1,334,1,334,0.0,680
OANT_RS01510,OANT_RS01510,100.000,290,0,0,1,290,1,290,0.0,585
OANT_RS01515,OANT_RS01515,100.000,707,0,0,1,707,1,707,0.0,1452
OANT_RS01520,OANT_RS01520,100.000,827,0,0,1,827,1,827,0.0,1652
OANT_RS01525,OANT_RS01525,100.000,428,0,0,1,428,1,428,0.0,871
OANT_RS01530,OANT_RS01530,100.000,315,0,0,1,315,1,315,0.0,636
OANT_RS01535,OANT_RS01535,100.000,320,0,0,1,320,1,320,0.0,619
OANT_RS01540,OANT_RS01540,100.000,514,0,0,1,514,1,514,0.0,1026
OANT_RS01545,OANT_RS01545,100.000,300,0,0,1,300,1,300,0.0,589
OANT_RS01550,OANT_RS01550,100.000,343,0,0,1,343,1,343,0.0,713
OANT_RS01555,OANT_RS01555,100.000,769,0,0,1,769,1,769,0.0,1559
OANT_RS01560,OANT_RS01560,100.000,149,0,0,1,149,1,149,5.15e-111,308
OANT_RS01565,OANT_RS01565,100.000,248,0,0,1,248,1,248,4.85e-174,476
OANT_RS01570,OANT_RS01570,100.000,312,0,0,1,312,1,312,0.0,626
OANT_RS01575,OANT_RS01575,100.000,398,0,0,1,398,1,398,0.0,768
OANT_RS01580,OANT_RS01580,100.000,311,0,0,1,311,1,311,0.0,623
OANT_RS01585,OANT_RS01585,100.000,421,0,0,1,421,1,421,0.0,870
OANT_RS01590,OANT_RS01590,100.000,417,0,0,1,417,1,417,0.0,865
OANT_RS01595,OANT_RS01595,100.000,101,0,0,1,101,1,101,3.53e-74,212
OANT_RS01600,OANT_RS01600,100.000,999,0,0,1,999,1,999,0.0,2071
OANT_RS01605,OANT_RS01605,100.000,180,0,0,1,180,1,180,2.60e-132,365
OANT_RS01610,OANT_RS01610,100.000,385,0,0,1,385,1,385,0.0,776
OANT_RS01615,OANT_RS01615,100.000,374,0,0,1,374,1,374,0.0,773
OANT_RS01620,OANT_RS01620,100.000,282,0,0,1,282,1,282,0.0,579
OANT_RS01625,OANT_RS01625,100.000,264,0,0,1,264,1,264,0.0,541
