Melitensis16M|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00220,AYT27_RS08305,61.254,622,225,6,9,619,6,622,0.0,788
BME_RS00240,AYT27_RS03170,38.028,71,42,2,6,76,7,75,9.78e-08,43.9
BME_RS00250,AYT27_RS08320,89.888,89,9,0,1,89,1,89,1.07e-57,169
BME_RS00255,AYT27_RS08315,62.189,201,76,0,21,221,22,222,4.19e-86,250
BME_RS00290,AYT27_RS08435,62.667,225,84,0,1,225,1,225,1.75e-107,305
BME_RS00300,AYT27_RS08095,61.940,268,102,0,1,268,1,268,7.88e-127,357
BME_RS00305,AYT27_RS08100,49.462,186,92,2,34,219,15,198,3.59e-65,197
BME_RS00320,AYT27_RS08060,78.995,219,46,0,1,219,1,219,2.83e-129,359
BME_RS00325,AYT27_RS08065,47.000,300,159,0,27,326,11,310,1.10e-107,313
BME_RS00330,AYT27_RS08070,40.000,190,112,1,92,281,34,221,1.55e-49,160
BME_RS00335,AYT27_RS08515,63.178,258,95,0,1,258,4,261,2.23e-116,330
BME_RS00340,AYT27_RS00880,77.011,174,40,0,1,174,1,174,6.35e-103,289
BME_RS00345,AYT27_RS00870,66.279,86,29,0,3,88,4,89,1.46e-37,117
BME_RS00360,AYT27_RS08395,25.501,349,216,7,35,339,3,351,2.79e-35,127
BME_RS00365,AYT27_RS08475,71.521,309,88,0,1,309,1,309,4.23e-169,468
BME_RS00370,AYT27_RS05915,26.596,188,131,3,87,267,93,280,2.57e-12,63.2
BME_RS00375,AYT27_RS08440,47.881,236,123,0,4,239,2,237,1.78e-82,243
BME_RS00385,AYT27_RS08445,38.173,854,470,12,29,877,11,811,0.0,574
BME_RS00390,AYT27_RS08450,60.287,418,166,0,4,421,4,421,0.0,518
BME_RS00395,AYT27_RS08455,38.596,57,35,0,4,60,2,58,2.52e-12,51.6
BME_RS00400,AYT27_RS04945,28.783,337,204,14,46,364,28,346,7.33e-17,78.2
BME_RS00405,AYT27_RS08460,36.638,232,139,4,5,235,3,227,5.23e-51,162
BME_RS00410,AYT27_RS08465,54.305,151,68,1,8,158,15,164,2.78e-57,172
BME_RS00415,AYT27_RS08470,54.417,283,128,1,1,283,2,283,7.35e-105,303
BME_RS00420,AYT27_RS02710,27.778,234,147,7,8,229,11,234,8.69e-13,62.4
BME_RS00450,AYT27_RS06240,64.919,248,87,0,1,248,1,248,7.13e-120,338
BME_RS00455,AYT27_RS06245,61.935,310,113,2,1,309,1,306,3.03e-139,392
BME_RS00485,AYT27_RS01060,49.164,299,151,1,1,299,1,298,2.56e-102,300
BME_RS00495,AYT27_RS01060,28.896,308,211,7,10,312,3,307,1.29e-31,117
BME_RS00500,AYT27_RS03280,58.197,244,101,1,9,251,14,257,1.84e-109,312
BME_RS00505,AYT27_RS06915,41.866,461,263,3,11,469,4,461,2.94e-112,335
BME_RS00515,AYT27_RS03280,45.850,253,127,3,3,255,14,256,1.22e-76,229
BME_RS00520,AYT27_RS03285,29.756,205,129,3,15,209,22,221,2.94e-24,92.8
BME_RS00525,AYT27_RS03285,31.169,154,96,1,6,149,66,219,1.99e-20,80.5
BME_RS00530,AYT27_RS03295,25.188,266,171,9,5,264,2,245,2.12e-18,78.2
BME_RS00535,AYT27_RS05920,36.585,82,52,0,14,95,5,86,1.01e-09,54.3
BME_RS00545,AYT27_RS07585,96.429,28,1,0,1,28,1,28,1.19e-13,52.8
BME_RS00570,AYT27_RS01025,76.159,906,213,3,1,905,1,904,0.0,1444
BME_RS00580,AYT27_RS01030,44.795,317,169,2,11,327,4,314,5.65e-96,283
BME_RS00585,AYT27_RS01035,63.325,409,147,1,5,413,5,410,0.0,510
BME_RS00595,AYT27_RS01040,62.406,133,50,0,6,138,4,136,2.05e-60,179
BME_RS00610,AYT27_RS08685,58.964,251,103,0,10,260,3,253,4.72e-110,314
BME_RS00615,AYT27_RS08680,55.605,223,95,2,2,220,7,229,1.00e-88,257
BME_RS00620,AYT27_RS08675,73.981,319,82,1,146,463,95,413,2.32e-176,496
BME_RS00625,AYT27_RS08670,70.813,418,122,0,1,418,1,418,0.0,647
BME_RS00630,AYT27_RS08665,50.526,285,136,1,4,288,2,281,1.11e-92,272
BME_RS00635,AYT27_RS08660,42.135,178,102,1,1,177,1,178,1.09e-43,139
BME_RS00640,AYT27_RS08655,56.764,377,152,3,13,379,4,379,1.95e-154,437
BME_RS00645,AYT27_RS08650,84.375,320,50,0,1,320,1,320,0.0,551
BME_RS00650,AYT27_RS08645,87.154,397,51,0,1,397,1,397,0.0,694
BME_RS00655,AYT27_RS08640,89.000,300,33,0,1,300,1,300,0.0,514
BME_RS00660,AYT27_RS08635,76.295,1004,232,2,1,1004,1,998,0.0,1641
BME_RS00665,AYT27_RS08630,71.186,413,107,4,1,408,1,406,0.0,587
BME_RS00685,AYT27_RS08625,73.932,468,121,1,1,467,1,468,0.0,719
BME_RS00695,AYT27_RS08285,57.468,308,131,0,8,315,15,322,1.14e-130,371
BME_RS00700,AYT27_RS08275,47.024,168,88,1,3,170,7,173,2.01e-50,157
BME_RS00705,AYT27_RS08270,67.826,230,74,0,11,240,2,231,5.05e-115,325
BME_RS00740,AYT27_RS08265,81.395,129,24,0,3,131,2,130,7.13e-74,213
BME_RS00745,AYT27_RS00575,27.895,380,234,11,111,460,194,563,3.15e-21,92.8
BME_RS00755,AYT27_RS08260,48.485,132,67,1,1,131,1,132,2.80e-41,130
BME_RS00760,AYT27_RS08255,53.906,128,59,0,4,131,1,128,8.16e-48,146
BME_RS00765,AYT27_RS08250,85.620,605,87,0,9,613,10,614,0.0,1075
BME_RS00770,AYT27_RS08245,82.625,259,45,0,1,259,1,259,4.61e-169,463
BME_RS00780,AYT27_RS08110,53.333,405,188,1,11,414,22,426,1.32e-165,468
BME_RS00795,AYT27_RS08105,57.876,838,305,10,1,817,1,811,0.0,907
BME_RS00815,AYT27_RS08425,78.832,137,29,0,1,137,1,137,1.47e-82,235
BME_RS00825,AYT27_RS00625,36.585,328,201,3,5,325,6,333,2.19e-72,223
BME_RS00830,AYT27_RS08415,68.407,364,110,1,1,359,1,364,0.0,501
BME_RS00845,AYT27_RS08410,30.462,325,187,10,110,418,70,371,1.51e-33,126
BME_RS00850,AYT27_RS08405,39.627,429,254,2,1,426,1,427,2.87e-96,297
BME_RS00860,AYT27_RS01090,27.273,352,247,6,7,352,2,350,2.07e-19,85.9
BME_RS00865,AYT27_RS02075,59.507,284,115,0,10,293,6,289,1.09e-122,349
BME_RS00870,AYT27_RS02080,51.965,229,110,0,34,262,26,254,4.76e-81,240
BME_RS00875,AYT27_RS02085,65.476,84,26,2,1,83,1,82,7.41e-38,117
BME_RS00895,AYT27_RS02090,67.480,246,80,0,1,246,1,246,1.64e-136,380
BME_RS00900,AYT27_RS02095,79.905,423,79,1,1,423,1,417,0.0,684
BME_RS00905,AYT27_RS00710,30.297,538,365,6,183,718,275,804,2.46e-60,214
BME_RS00910,AYT27_RS01015,78.310,355,77,0,1,355,1,355,0.0,575
BME_RS00915,AYT27_RS01010,45.878,279,151,0,9,287,6,284,5.31e-88,260
BME_RS00920,AYT27_RS07105,66.667,93,29,1,25,117,27,117,1.08e-35,124
BME_RS00925,AYT27_RS07225,75.963,857,206,0,1,857,1,857,0.0,1352
BME_RS00935,AYT27_RS07050,44.801,654,330,8,10,636,10,659,0.0,591
BME_RS00940,AYT27_RS07045,90.342,497,47,1,1,496,1,497,0.0,838
BME_RS00945,AYT27_RS07040,92.000,25,2,0,1,25,1,25,6.23e-09,40.4
BME_RS00950,AYT27_RS07035,100.000,25,0,0,1,25,1,25,5.17e-13,50.8
BME_RS00955,AYT27_RS07030,89.767,772,77,1,172,941,136,907,0.0,1293
BME_RS00960,AYT27_RS07025,78.378,37,8,0,2,38,2,38,1.19e-13,53.1
BME_RS00965,AYT27_RS07020,100.000,25,0,0,1,25,1,25,3.69e-12,48.5
BME_RS00985,AYT27_RS00695,80.000,30,6,0,1,30,1,30,2.75e-13,52.0
BME_RS00990,AYT27_RS00700,67.480,123,34,2,1,119,1,121,8.16e-54,163
BME_RS00995,AYT27_RS00705,79.310,87,18,0,1,87,3,89,2.55e-48,144
BME_RS01010,AYT27_RS00770,39.326,89,52,1,138,226,1637,1723,7.65e-13,63.2
BME_RS01015,AYT27_RS00820,78.443,334,72,0,1,334,1,334,0.0,516
BME_RS01020,AYT27_RS00825,69.251,374,115,0,2,375,5,378,0.0,533
BME_RS01025,AYT27_RS00830,65.947,417,139,3,11,426,3,417,0.0,565
BME_RS01030,AYT27_RS00835,55.263,190,85,0,24,213,1,190,3.85e-72,214
BME_RS01035,AYT27_RS00840,52.252,111,53,0,7,117,30,140,1.73e-42,133
BME_RS01040,AYT27_RS00845,51.445,173,70,1,1,173,1,159,1.06e-58,176
BME_RS01050,AYT27_RS00850,42.021,376,197,2,74,449,72,426,2.37e-103,310
BME_RS01055,AYT27_RS00855,72.562,441,115,1,1,441,1,435,0.0,648
BME_RS01060,AYT27_RS00860,51.515,165,80,0,10,174,3,167,1.64e-63,189
BME_RS01075,AYT27_RS05920,26.415,265,180,2,1,255,5,264,2.95e-31,114
BME_RS01080,AYT27_RS01985,31.279,438,267,9,35,457,36,454,3.47e-55,187
BME_RS01095,AYT27_RS08385,59.155,213,87,0,1,213,1,213,1.73e-97,278
BME_RS01100,AYT27_RS00905,29.412,238,150,5,13,237,20,252,1.53e-26,103
BME_RS01105,AYT27_RS08380,73.410,519,123,4,1,515,1,508,0.0,706
BME_RS01110,AYT27_RS08375,53.000,100,46,1,5,103,2,101,9.30e-33,106
BME_RS01115,AYT27_RS08370,75.207,121,30,0,1,121,1,121,6.16e-61,179
BME_RS01120,AYT27_RS04045,70.918,196,57,0,12,207,19,214,4.57e-106,300
BME_RS01125,AYT27_RS04040,47.186,231,112,3,13,236,32,259,3.29e-68,208
BME_RS01135,AYT27_RS08390,53.244,1572,701,11,34,1598,18,1562,0.0,1677
BME_RS01145,AYT27_RS08345,69.517,538,164,0,1,538,1,538,0.0,780
BME_RS01150,AYT27_RS08350,48.094,551,276,3,31,576,21,566,1.05e-169,490
BME_RS01155,AYT27_RS08355,54.299,442,197,4,27,465,7,446,2.34e-169,480
BME_RS01160,AYT27_RS08360,70.775,284,79,2,1,281,1,283,8.17e-147,413
BME_RS01165,AYT27_RS08365,74.510,51,13,0,22,72,21,71,4.80e-22,77.0
BME_RS01170,AYT27_RS08055,74.962,651,161,1,1,651,1,649,0.0,1059
BME_RS01185,AYT27_RS08040,58.252,206,86,0,15,220,22,227,1.44e-87,254
BME_RS01190,AYT27_RS08035,69.669,877,255,3,4,876,10,879,0.0,1282
BME_RS01195,AYT27_RS08030,38.728,173,100,1,26,192,18,190,3.24e-40,131
BME_RS01200,AYT27_RS08025,77.064,218,49,1,1,217,1,218,9.40e-127,353
BME_RS01205,AYT27_RS08020,59.333,300,109,3,22,312,9,304,5.34e-107,339
BME_RS01215,AYT27_RS08005,42.458,179,98,1,11,184,13,191,1.38e-42,137
BME_RS01220,AYT27_RS08000,85.323,511,73,1,1,509,1,511,0.0,895
BME_RS01225,AYT27_RS07995,66.007,303,92,2,1,292,1,303,5.35e-147,410
BME_RS01230,AYT27_RS07990,78.343,531,104,5,1,521,1,530,0.0,817
BME_RS01235,AYT27_RS07985,41.322,121,70,1,5,125,13,132,8.90e-22,80.9
BME_RS01260,AYT27_RS04255,36.056,355,173,6,2,302,4,358,9.91e-50,164
BME_RS01265,AYT27_RS04250,35.385,325,157,8,138,440,39,332,2.60e-37,135
BME_RS01270,AYT27_RS04245,46.212,264,133,3,6,269,1,255,9.54e-77,236
BME_RS01275,AYT27_RS04240,49.362,235,117,2,12,245,3,236,4.43e-81,239
BME_RS01285,AYT27_RS04260,26.632,383,256,12,1,371,3,372,5.02e-34,125
BME_RS01295,AYT27_RS04115,45.614,456,231,5,8,463,2,440,3.01e-130,401
BME_RS01305,AYT27_RS02775,32.046,259,158,5,1,259,1,241,2.84e-36,125
BME_RS01310,AYT27_RS07965,76.399,411,97,0,5,415,3,413,0.0,656
BME_RS01315,AYT27_RS07935,61.745,298,114,0,7,304,3,300,3.63e-129,366
BME_RS01320,AYT27_RS04470,36.364,154,94,1,78,227,67,220,7.34e-20,84.3
BME_RS01325,AYT27_RS07930,88.136,59,7,0,1,59,1,59,2.76e-35,109
BME_RS01340,AYT27_RS07915,40.934,557,252,10,489,1026,6,504,5.79e-127,392
BME_RS01350,AYT27_RS07920,80.357,112,22,0,1,112,1,112,9.40e-67,192
BME_RS01355,AYT27_RS07925,68.947,190,55,2,1,190,1,186,1.19e-92,265
BME_RS01360,AYT27_RS07910,62.724,279,104,0,31,309,23,301,1.50e-123,352
BME_RS01370,AYT27_RS07905,48.879,446,228,0,48,493,36,481,3.95e-163,466
BME_RS01375,AYT27_RS00955,35.319,235,149,1,5,236,2,236,2.17e-40,138
BME_RS01390,AYT27_RS07900,52.404,208,99,0,1,208,1,208,2.49e-79,233
BME_RS01395,AYT27_RS07895,45.370,108,44,2,1,93,1,108,5.08e-12,53.9
BME_RS01400,AYT27_RS07890,60.535,598,218,4,1,583,1,595,0.0,719
BME_RS01405,AYT27_RS07870,79.762,84,17,0,3,86,2,85,5.19e-30,98.2
BME_RS01415,AYT27_RS07865,60.163,123,49,0,25,147,44,166,6.87e-54,164
BME_RS01420,AYT27_RS07860,65.900,478,163,0,1,478,1,478,0.0,649
BME_RS01425,AYT27_RS07345,39.362,188,110,1,40,223,72,259,1.11e-37,128
BME_RS01435,AYT27_RS07325,49.857,349,175,0,9,357,59,407,4.97e-128,370
BME_RS01440,AYT27_RS07320,76.250,160,38,0,2,161,5,164,4.05e-78,225
BME_RS01465,AYT27_RS03835,30.675,326,186,4,37,333,27,341,3.83e-35,127
BME_RS01470,AYT27_RS07690,69.397,232,68,1,1,229,1,232,1.33e-118,333
BME_RS01490,AYT27_RS08055,39.002,641,364,14,7,631,21,650,1.50e-148,441
BME_RS01500,AYT27_RS07830,62.626,396,148,0,1,396,2,397,0.0,514
BME_RS01505,AYT27_RS07835,78.806,335,71,0,1,335,1,335,0.0,553
BME_RS01510,AYT27_RS07840,75.455,660,161,1,1,660,1,659,0.0,1049
BME_RS01515,AYT27_RS07845,62.921,89,27,2,5,90,6,91,1.30e-30,100
BME_RS01520,AYT27_RS07850,47.414,116,54,1,1,116,1,109,2.19e-35,114
BME_RS01525,AYT27_RS07375,40.206,194,112,1,6,195,9,202,6.21e-49,154
BME_RS01530,AYT27_RS07380,64.469,273,97,0,1,273,1,273,6.79e-136,380
BME_RS01535,AYT27_RS05535,47.521,242,119,3,8,245,2,239,2.44e-66,210
BME_RS01545,AYT27_RS01445,33.108,148,88,4,34,174,18,161,1.93e-10,53.5
BME_RS01555,AYT27_RS07695,82.661,248,43,0,1,248,1,248,3.60e-157,432
BME_RS01560,AYT27_RS07810,82.192,73,13,0,1,73,1,73,2.30e-44,133
BME_RS01565,AYT27_RS07805,59.696,593,235,1,83,671,1,593,0.0,667
BME_RS01580,AYT27_RS07800,72.243,263,73,0,1,263,1,263,2.10e-137,384
BME_RS01585,AYT27_RS07795,81.720,186,34,0,1,186,1,186,1.29e-117,327
BME_RS01590,AYT27_RS07790,37.770,278,159,1,77,340,59,336,5.64e-50,166
BME_RS01595,AYT27_RS07755,42.529,174,97,2,31,201,31,204,5.19e-41,135
BME_RS01600,AYT27_RS07750,45.098,357,196,0,10,366,13,369,3.89e-112,329
BME_RS01605,AYT27_RS07745,44.172,163,83,3,6,165,12,169,2.76e-37,122
BME_RS01610,AYT27_RS07740,76.582,158,37,0,1,158,1,158,1.85e-83,239
BME_RS01615,AYT27_RS07735,57.561,205,83,2,1,204,1,202,2.15e-73,217
BME_RS01620,AYT27_RS07730,82.716,324,56,0,15,338,18,341,0.0,534
BME_RS01625,AYT27_RS07725,50.000,128,64,0,15,142,13,140,7.17e-44,137
BME_RS01630,AYT27_RS07720,62.128,235,88,1,1,235,1,234,2.78e-103,295
BME_RS01635,AYT27_RS07715,45.695,151,77,3,1,147,1,150,4.58e-41,130
BME_RS01640,AYT27_RS07710,28.682,387,233,11,1,352,9,387,6.15e-35,127
BME_RS01645,AYT27_RS07705,64.368,435,151,3,11,442,7,440,0.0,574
BME_RS01650,AYT27_RS07685,60.116,173,64,1,1,168,1,173,1.56e-72,212
BME_RS01665,AYT27_RS07665,31.470,483,273,8,7,437,8,484,4.84e-66,216
BME_RS01670,AYT27_RS07660,78.914,626,129,3,1,624,1,625,0.0,1023
BME_RS01675,AYT27_RS07655,67.188,448,147,0,9,456,1,448,0.0,639
BME_RS01690,AYT27_RS01960,70.801,387,113,0,1,387,1,387,0.0,585
BME_RS01705,AYT27_RS01965,77.049,427,98,0,1,427,1,427,0.0,695
BME_RS01710,AYT27_RS01970,37.143,245,139,6,225,463,200,435,7.40e-45,158
BME_RS01715,AYT27_RS05610,31.646,395,243,9,10,389,2,384,1.25e-47,165
BME_RS01725,AYT27_RS07605,76.471,153,36,0,153,305,116,268,3.01e-82,245
BME_RS01740,AYT27_RS04150,46.667,150,80,0,5,154,1,150,1.64e-51,157
BME_RS01745,AYT27_RS07610,64.706,153,47,1,10,155,30,182,1.24e-68,202
BME_RS01750,AYT27_RS08085,39.943,353,192,2,57,391,44,394,1.04e-76,239
BME_RS01755,AYT27_RS08080,47.123,365,184,2,13,368,12,376,1.07e-106,323
BME_RS01760,AYT27_RS08080,38.912,239,141,3,31,266,424,660,2.07e-44,154
BME_RS01770,AYT27_RS02580,27.928,222,125,10,83,282,54,262,3.84e-13,63.5
BME_RS01775,AYT27_RS07625,47.656,128,66,1,11,137,12,139,4.72e-37,122
BME_RS01780,AYT27_RS07630,49.407,253,94,1,86,304,18,270,3.62e-71,218
BME_RS01800,AYT27_RS07635,37.500,96,60,0,22,117,13,108,1.04e-18,71.2
BME_RS01805,AYT27_RS07640,27.778,144,103,1,1,143,1,144,6.06e-11,52.8
BME_RS01810,AYT27_RS07055,36.518,471,290,3,1,469,8,471,4.72e-90,278
BME_RS01815,AYT27_RS07060,75.429,175,43,0,15,189,8,182,9.40e-101,285
BME_RS01820,AYT27_RS07065,41.304,46,27,0,22,67,17,62,1.64e-09,45.1
BME_RS01825,AYT27_RS07070,70.189,265,78,1,1,264,1,265,7.78e-139,387
BME_RS01835,AYT27_RS07075,49.550,333,161,3,4,334,7,334,1.90e-112,326
BME_RS01840,AYT27_RS01020,70.149,134,40,0,5,138,2,135,2.47e-68,199
BME_RS01845,AYT27_RS05125,92.000,25,2,0,1,25,1,25,6.13e-11,45.4
BME_RS01850,AYT27_RS07095,35.385,130,72,3,21,150,16,133,1.28e-20,79.0
BME_RS01855,AYT27_RS01980,60.550,327,129,0,18,344,6,332,2.14e-146,412
BME_RS01860,AYT27_RS01975,78.571,294,63,0,1,294,1,294,0.0,496
BME_RS01875,AYT27_RS03305,32.292,288,171,5,3,289,1,265,4.65e-31,117
BME_RS01890,AYT27_RS07595,42.515,167,87,4,5,166,17,179,6.10e-39,127
BME_RS01895,AYT27_RS07590,49.733,187,92,1,1,185,2,188,3.91e-70,208
BME_RS01900,AYT27_RS01985,32.211,475,313,5,9,477,2,473,9.80e-85,265
BME_RS01910,AYT27_RS07045,90.342,497,47,1,1,496,1,497,0.0,838
BME_RS01915,AYT27_RS07040,92.000,25,2,0,1,25,1,25,6.23e-09,40.4
BME_RS01920,AYT27_RS07035,100.000,25,0,0,1,25,1,25,5.17e-13,50.8
BME_RS01925,AYT27_RS07030,86.702,376,48,1,172,545,136,511,0.0,605
BME_RS01930,AYT27_RS07025,78.378,37,8,0,2,38,2,38,1.19e-13,53.1
BME_RS01935,AYT27_RS07020,100.000,25,0,0,1,25,1,25,3.69e-12,48.5
BME_RS01955,AYT27_RS04240,24.876,201,145,3,6,205,24,219,8.26e-19,81.3
BME_RS01970,AYT27_RS02775,29.577,142,99,1,12,153,2,142,5.22e-10,53.9
BME_RS02005,AYT27_RS05500,34.928,209,95,8,26,202,95,294,1.38e-25,96.7
BME_RS02020,AYT27_RS02775,23.904,251,176,6,9,255,2,241,3.48e-13,63.2
BME_RS02025,AYT27_RS02775,31.020,245,162,4,56,298,2,241,4.43e-27,102
BME_RS02060,AYT27_RS00955,47.660,235,122,1,22,255,3,237,2.10e-77,238
BME_RS02075,AYT27_RS02055,35.125,558,339,8,25,581,24,559,1.92e-109,339
BME_RS02080,AYT27_RS02005,36.029,408,233,9,629,1028,46,433,2.19e-64,220
BME_RS02100,AYT27_RS06155,96.000,25,1,0,1,25,1,25,6.62e-11,45.4
BME_RS02105,AYT27_RS06150,62.658,316,118,0,1,316,1,316,6.31e-154,430
BME_RS02110,AYT27_RS06145,66.216,370,125,0,1,370,1,370,0.0,513
BME_RS02115,AYT27_RS06120,54.545,132,54,2,1,130,1,128,1.35e-36,117
BME_RS02120,AYT27_RS06125,86.695,233,30,1,1,232,1,233,1.42e-150,414
BME_RS02125,AYT27_RS06130,50.481,208,103,0,1,208,1,208,2.14e-70,209
BME_RS02130,AYT27_RS06135,60.106,188,70,1,16,198,9,196,2.11e-85,246
BME_RS02135,AYT27_RS06140,34.737,95,62,0,1,95,10,104,3.96e-15,68.9
BME_RS02145,AYT27_RS06115,86.813,91,12,0,1,91,1,91,2.89e-57,167
BME_RS02155,AYT27_RS06110,72.796,397,108,0,1,397,1,397,0.0,618
BME_RS02160,AYT27_RS06105,45.255,274,133,6,9,273,2,267,7.08e-71,215
BME_RS02180,AYT27_RS06185,38.941,321,193,2,15,333,38,357,1.25e-75,233
BME_RS02185,AYT27_RS06180,44.853,272,144,1,27,298,43,308,9.93e-74,225
BME_RS02190,AYT27_RS01235,45.174,259,139,2,5,261,4,261,8.41e-71,223
BME_RS02195,AYT27_RS01235,42.023,257,144,4,4,257,273,527,1.02e-64,207
BME_RS02200,AYT27_RS00955,36.170,235,139,3,34,268,12,235,4.69e-40,140
BME_RS02205,AYT27_RS06575,31.148,122,66,4,123,235,48,160,2.89e-08,48.9
BME_RS02235,AYT27_RS04150,28.000,150,107,1,4,153,1,149,2.49e-20,78.2
BME_RS02245,AYT27_RS00945,24.103,195,139,4,530,721,8,196,3.93e-10,58.2
BME_RS02250,AYT27_RS06100,63.123,301,111,0,1,301,1,301,2.16e-132,374
BME_RS02260,AYT27_RS06095,49.141,291,145,2,1,291,5,292,2.62e-101,295
BME_RS02280,AYT27_RS06440,36.196,163,98,2,6,162,14,176,2.04e-20,79.7
BME_RS02285,AYT27_RS06085,49.855,692,338,5,5,688,7,697,0.0,658
BME_RS02290,AYT27_RS06080,41.789,950,525,12,6,948,1,929,0.0,717
BME_RS02295,AYT27_RS06075,51.186,295,144,0,1,295,1,295,1.29e-100,293
BME_RS02300,AYT27_RS06070,68.249,337,105,1,1,335,7,343,1.68e-172,478
BME_RS02315,AYT27_RS06065,56.618,408,177,0,10,417,9,416,6.62e-175,491
BME_RS02350,AYT27_RS06060,65.101,149,52,0,1,149,1,149,1.24e-67,198
BME_RS02355,AYT27_RS02695,37.469,403,234,4,213,609,211,601,2.20e-80,262
BME_RS02360,AYT27_RS02695,36.889,450,238,8,169,610,190,601,3.00e-76,251
BME_RS02375,AYT27_RS06045,61.667,60,23,0,227,286,1,60,2.02e-21,81.6
BME_RS02395,AYT27_RS06035,80.109,367,73,0,1,367,1,367,0.0,612
BME_RS02400,AYT27_RS06020,60.714,196,72,1,1,196,1,191,1.05e-78,231
BME_RS02405,AYT27_RS06015,75.789,190,46,0,1,190,1,190,2.69e-110,310
BME_RS02410,AYT27_RS06010,69.838,494,149,0,9,502,5,498,0.0,696
BME_RS02415,AYT27_RS06005,83.495,309,51,0,1,309,1,309,0.0,529
BME_RS02435,AYT27_RS06000,52.174,253,116,2,11,262,6,254,5.00e-92,268
BME_RS02440,AYT27_RS05995,47.075,359,186,1,5,363,3,357,5.47e-120,347
BME_RS02445,AYT27_RS05990,50.538,279,132,4,8,280,6,284,2.77e-90,266
BME_RS02450,AYT27_RS05985,52.564,78,37,0,1,78,1,78,2.68e-24,84.3
BME_RS02455,AYT27_RS05975,56.688,157,68,0,10,166,10,166,1.93e-64,191
BME_RS02470,AYT27_RS05970,74.049,447,113,3,1,446,1,445,0.0,642
BME_RS02475,AYT27_RS05965,70.306,229,68,0,7,235,6,234,8.52e-120,337
BME_RS02495,AYT27_RS05960,58.962,212,86,1,1,212,1,211,4.73e-92,265
BME_RS02500,AYT27_RS05955,33.761,234,82,8,1,166,1,229,8.09e-34,115
BME_RS02505,AYT27_RS05910,67.273,55,18,0,4,58,3,57,1.46e-23,80.5
BME_RS02510,AYT27_RS02585,36.667,90,47,3,77,156,558,647,1.01e-08,51.2
BME_RS02515,AYT27_RS05950,75.945,794,161,3,110,902,3,767,0.0,1251
BME_RS02520,AYT27_RS05945,36.364,88,54,1,1,88,1,86,1.42e-14,62.8
BME_RS02540,AYT27_RS00345,30.952,168,106,4,5,168,14,175,4.23e-13,64.3
BME_RS02550,AYT27_RS05940,79.618,157,32,0,1,157,1,157,1.65e-92,261
BME_RS02555,AYT27_RS05935,69.341,349,107,0,6,354,2,350,0.0,505
BME_RS02560,AYT27_RS04150,29.371,143,100,1,7,149,1,142,3.12e-20,78.2
