S_meliloti|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20106,CC_0986,36.058,208,129,3,22,229,14,217,9.95e-29,106
SM_b20111,CC_2669,40.088,227,131,3,305,531,18,239,7.64e-44,155
SM_b20112,CC_0093,28.276,290,188,6,12,292,9,287,2.89e-25,99.4
SM_b20113,CC_3722,35.161,310,179,7,5,298,20,323,1.11e-49,165
SM_b20115,CC_1421,39.703,539,306,8,5,526,11,547,4.68e-115,352
SM_b20117,CC_3345,32.584,178,97,8,161,334,175,333,5.80e-12,63.2
SM_b20123,CC_3045,27.925,265,185,4,5,265,3,265,2.30e-19,83.2
SM_b20124,CC_0860,36.024,508,295,7,6,498,3,495,3.03e-78,251
SM_b20129,CC_1776,28.922,204,132,6,35,231,18,215,3.35e-09,52.4
SM_b20130,CC_2619,35.047,214,132,4,25,236,211,419,1.22e-26,105
SM_b20131,CC_0022,44.667,150,77,3,5,153,1,145,8.36e-37,122
SM_b20132,CC_2618,28.222,776,493,18,32,771,30,777,2.51e-55,200
SM_b20133,CC_0321,41.779,371,165,5,9,342,9,365,4.88e-85,258
SM_b20135,CC_3290,60.403,149,59,0,42,190,1,149,1.89e-65,196
SM_b20136,CC_0313,30.534,393,252,11,83,457,112,501,8.39e-40,146
SM_b20140,CC_1195,34.375,224,143,3,3,225,7,227,3.64e-34,123
SM_b20141,CC_2669,42.727,220,119,4,275,492,1,215,7.00e-47,164
SM_b20146,CC_1686,37.576,330,184,6,2,312,3,329,6.66e-57,184
SM_b20148,CC_2813,33.175,211,136,3,24,233,19,225,9.73e-20,82.0
SM_b20150,CC_3269,35.556,225,138,4,19,236,3,227,6.65e-38,131
SM_b20154,CC_1627,29.545,308,202,7,7,305,3,304,2.31e-21,90.1
SM_b20155,CC_3135,25.490,255,166,6,358,605,65,302,8.05e-10,57.4
SM_b20156,CC_3134,42.249,329,155,8,2,312,13,324,2.14e-74,233
SM_b20159,CC_3269,33.163,196,119,5,56,244,31,221,5.46e-23,92.4
SM_b20162,CC_1150,23.529,204,144,2,17,220,5,196,1.71e-12,61.2
SM_b20164,CC_3191,31.383,376,217,13,384,733,265,625,9.32e-33,131
SM_b20170,CC_2516,74.933,375,88,1,1,375,1,369,0.0,563
SM_b20171,CC_2515,51.625,277,128,4,5,277,3,277,4.72e-95,278
SM_b20172,CC_1210,43.810,105,50,3,31,132,46,144,6.50e-27,95.5
SM_b20182,CC_2635,27.897,233,143,11,39,257,29,250,2.31e-08,50.4
SM_b20183,CC_1439,37.089,213,109,6,8,198,10,219,2.99e-32,114
SM_b20184,CC_0188,35.749,207,130,2,15,220,39,243,4.62e-39,135
SM_b20185,CC_2244,28.205,234,128,7,14,230,30,240,1.51e-10,57.0
SM_b20195,CC_0101,58.879,214,85,2,6,217,12,224,1.83e-84,248
SM_b20199,CC_3250,69.341,349,107,0,1,349,1,349,0.0,515
SM_b20200,CC_3620,55.435,644,280,6,14,654,4,643,0.0,686
SM_b20202,CC_1385,47.351,302,149,6,27,324,34,329,1.81e-89,269
SM_b20203,CC_3697,30.279,251,166,5,5,249,5,252,6.86e-22,90.5
SM_b20209,CC_2975,48.052,77,33,1,1,77,1,70,6.25e-18,67.8
SM_b20210,CC_1675,35.979,189,113,4,49,231,56,242,1.65e-29,107
SM_b20211,CC_1474,36.271,295,180,4,4,295,7,296,1.68e-37,132
SM_b20214,CC_2337,40.212,189,104,4,8,192,15,198,1.98e-33,119
SM_b20215,CC_2960,48.208,307,152,5,15,317,5,308,2.16e-93,277
SM_b20216,CC_1229,27.612,134,95,1,45,178,4,135,4.56e-12,63.2
SM_b20218,CC_1181,40.602,266,155,3,176,441,213,475,2.20e-58,196
SM_b20219,CC_1182,48.511,235,115,4,6,239,21,250,1.30e-59,186
SM_b20221,CC_3091,36.916,214,133,2,58,270,3,215,8.54e-40,141
SM_b20230,CC_1627,30.124,322,204,4,1,313,1,310,1.92e-34,125
SM_b20233,CC_3135,28.708,209,121,7,36,228,65,261,4.72e-09,53.1
SM_b20235,CC_3134,47.241,290,136,4,4,281,15,299,1.61e-86,263
SM_b20239,CC_1146,58.974,312,126,1,13,324,6,315,2.71e-130,372
SM_b20243,CC_0756,33.913,115,74,1,257,369,299,413,3.70e-08,51.6
SM_b20244,CC_3629,28.495,372,217,11,17,367,1,344,8.66e-30,114
SM_b20245,CC_2378,28.371,356,205,8,4,348,6,322,4.21e-31,117
SM_b20246,CC_2837,26.741,359,203,11,12,326,1,343,1.16e-18,82.4
SM_b20247,CC_1296,28.328,293,175,11,15,285,4,283,3.74e-13,66.2
SM_b20255,CC_2964,30.345,145,84,3,22,149,46,190,3.17e-10,53.9
SM_b20258,CC_0884,30.476,210,138,3,1,208,5,208,9.78e-17,73.6
SM_b20259,CC_1195,33.945,218,129,9,6,217,6,214,4.93e-17,77.0
SM_b20262,CC_2791,52.088,455,213,2,53,503,56,509,2.00e-151,440
SM_b20263,CC_1441,28.395,243,154,7,20,255,27,256,4.66e-16,72.8
SM_b20264,CC_1440,33.862,189,124,1,16,204,13,200,6.83e-29,105
SM_b20265,CC_1440,29.703,202,138,2,13,212,14,213,9.81e-21,83.6
SM_b20266,CC_1439,50.847,236,116,0,2,237,4,239,6.81e-76,227
SM_b20276,CC_1297,26.592,267,189,2,6,268,17,280,3.00e-27,104
SM_b20277,CC_3132,32.374,417,268,7,15,428,39,444,1.94e-64,211
SM_b20281,CC_3134,43.700,373,185,4,2,354,12,379,7.77e-101,300
SM_b20282,CC_3135,32.500,240,151,4,18,247,54,292,5.37e-32,117
SM_b20283,CC_3136,30.033,303,190,7,28,314,1,297,1.33e-34,125
SM_b20284,CC_3137,21.927,301,210,10,12,308,30,309,3.24e-15,72.8
SM_b20285,CC_1621,28.621,290,199,2,4,289,3,288,1.14e-25,101
SM_b20288,CC_2616,25.876,371,238,11,33,384,31,383,1.33e-13,69.3
SM_b20290,CC_1753,28.000,325,209,8,3,310,5,321,3.93e-16,75.1
SM_b20291,CC_1448,30.000,160,109,1,140,296,27,186,1.58e-09,57.8
SM_b20294,CC_2813,32.627,236,114,8,10,222,1,214,5.38e-21,85.5
SM_b20295,CC_1446,28.723,282,198,3,25,304,27,307,1.01e-33,123
SM_b20297,CC_1448,39.706,408,244,1,13,418,15,422,1.14e-83,259
SM_b20299,CC_1195,30.345,290,189,5,3,283,6,291,1.30e-31,116
SM_b20301,CC_1507,45.190,343,179,6,40,374,65,406,1.06e-96,291
SM_b20315,CC_0861,28.125,288,199,5,28,314,42,322,1.18e-18,82.0
SM_b20317,CC_0860,38.114,509,292,6,11,507,1,498,8.64e-100,307
SM_b20318,CC_0861,33.555,301,172,7,43,333,38,320,7.10e-19,83.2
SM_b20319,CC_0638,53.708,391,178,3,5,394,20,408,9.95e-128,372
SM_b20320,CC_1446,29.741,232,161,2,32,262,27,257,2.88e-23,95.1
SM_b20321,CC_1448,33.496,409,263,5,12,416,15,418,5.16e-61,201
SM_b20323,CC_1776,44.444,81,45,0,18,98,16,96,6.06e-14,65.5
SM_b20324,CC_2053,31.672,341,219,8,1,335,5,337,9.35e-35,127
SM_b20327,CC_3135,31.336,217,138,5,20,227,55,269,2.85e-14,68.6
SM_b20328,CC_3134,46.038,265,135,4,4,266,15,273,9.74e-75,232
SM_b20330,CC_1630,28.169,284,182,8,6,278,5,277,1.81e-21,91.3
SM_b20334,CC_1173,47.855,303,149,4,1,302,42,336,4.52e-81,246
SM_b20337,CC_2204,32.530,166,89,5,9,159,5,162,3.19e-10,54.7
SM_b20342,CC_0021,47.455,727,361,10,17,734,14,728,0.0,604
SM_b20343,CC_0022,60.274,146,56,1,2,147,1,144,1.42e-61,184
SM_b20344,CC_2960,33.051,118,77,1,189,304,194,311,1.12e-12,64.3
SM_b20345,CC_1788,39.101,1023,621,2,11,1031,3,1025,0.0,755
SM_b20346,CC_1787,34.286,350,219,6,25,368,18,362,2.66e-38,138
SM_b20347,CC_1786,35.252,139,90,0,19,157,24,162,1.25e-16,72.0
SM_b20349,CC_0859,30.741,270,176,5,40,302,50,315,1.05e-20,87.8
SM_b20351,CC_0860,36.926,501,312,3,11,508,2,501,4.17e-100,308
SM_b20352,CC_0861,35.650,331,199,3,10,339,11,328,5.61e-43,149
SM_b20353,CC_1225,30.423,355,200,15,7,339,37,366,2.24e-30,115
SM_b20356,CC_0723,38.542,384,224,7,402,778,207,585,5.11e-63,221
SM_b20357,CC_2463,40.171,117,70,0,3,119,9,125,8.93e-28,96.3
SM_b20358,CC_2462,41.129,124,73,0,180,303,4,127,1.42e-21,94.4
SM_b20362,CC_3269,31.518,257,163,7,15,261,1,254,4.55e-29,107
SM_b20363,CC_3134,48.795,332,147,5,9,320,15,343,1.60e-97,291
SM_b20364,CC_3136,26.818,220,145,2,225,428,79,298,4.77e-12,64.3
SM_b20366,CC_1627,29.221,308,204,7,10,309,5,306,7.39e-25,99.8
SM_b20368,CC_1203,25.000,268,191,4,59,317,55,321,5.25e-13,65.9
SM_b20369,CC_1930,30.086,349,208,9,89,410,85,424,9.39e-35,130
SM_b20370,CC_0932,47.788,226,117,1,1,225,1,226,3.48e-63,194
SM_b20372,CC_1448,35.351,413,260,3,14,422,15,424,1.13e-75,239
SM_b20374,CC_1446,24.706,255,185,4,52,305,52,300,3.95e-15,72.0
SM_b20375,CC_0986,30.328,244,133,5,16,243,13,235,1.36e-23,92.8
SM_b20376,CC_2796,33.028,109,72,1,14,121,16,124,1.38e-14,62.4
SM_b20377,CC_2796,33.333,81,51,2,43,121,46,125,1.84e-11,54.3
SM_b20378,CC_3140,44.211,475,263,2,6,479,2,475,5.55e-138,403
SM_b20379,CC_3132,39.955,448,249,8,4,440,6,444,1.32e-106,321
SM_b20380,CC_3134,47.603,292,145,2,6,290,15,305,4.84e-87,264
SM_b20381,CC_3135,28.916,249,163,6,1,241,51,293,1.01e-28,108
SM_b20382,CC_3136,31.802,283,161,7,17,270,24,303,3.85e-37,130
SM_b20384,CC_2746,25.405,185,134,2,48,229,124,307,3.97e-15,72.4
SM_b20388,CC_3759,35.647,317,186,9,14,322,13,319,2.06e-38,135
SM_b20389,CC_3094,38.415,164,101,0,170,333,271,434,2.09e-26,107
SM_b20391,CC_1189,22.337,291,209,8,76,357,53,335,2.47e-10,59.7
SM_b20392,CC_2813,32.468,231,134,7,1,225,1,215,6.86e-19,79.7
SM_b20395,CC_2618,25.674,705,455,19,27,693,28,701,3.58e-31,127
SM_b20397,CC_0022,42.331,163,76,2,21,183,1,145,5.97e-34,115
SM_b20403,CC_0022,48.993,149,73,1,2,150,1,146,5.00e-50,155
SM_b20404,CC_2269,30.680,779,432,24,2,734,3,719,6.06e-65,226
SM_b20406,CC_2369,26.826,712,438,21,4,694,14,663,6.14e-40,155
SM_b20407,CC_2369,22.114,511,340,12,41,539,687,1151,1.10e-13,71.6
SM_b20409,CC_0511,34.962,266,141,4,8,273,3,236,4.35e-35,123
SM_b20414,CC_2898,65.789,152,52,0,2,153,3,154,2.04e-66,196
SM_b20415,CC_2899,42.130,432,242,7,3,429,2,430,3.24e-84,261
SM_b20419,CC_3134,47.475,297,141,6,4,297,15,299,2.81e-80,247
SM_b20420,CC_2434,31.016,187,113,6,18,192,21,203,1.00e-22,89.0
SM_b20422,CC_3293,27.933,358,206,9,11,356,1,318,1.04e-24,99.8
SM_b20423,CC_3132,41.388,418,230,8,33,445,37,444,5.93e-100,304
SM_b20424,CC_3140,47.579,475,246,2,21,494,5,477,8.95e-151,436
SM_b20425,CC_0580,46.154,143,77,0,3,145,13,155,1.38e-40,131
SM_b20426,CC_3116,33.174,419,256,9,2,415,47,446,3.70e-46,162
SM_b20427,CC_1439,46.371,248,122,3,6,253,4,240,5.05e-72,218
SM_b20429,CC_1440,34.314,204,134,0,10,213,14,217,5.04e-36,123
SM_b20430,CC_1440,34.091,220,138,1,1,220,1,213,6.77e-37,125
SM_b20432,CC_3105,35.583,326,203,3,5,325,1,324,2.26e-52,172
SM_b20436,CC_0614,33.696,368,221,6,26,389,89,437,6.47e-47,164
SM_b20441,CC_2813,41.509,212,121,2,9,219,6,215,3.49e-37,128
SM_b20442,CC_1446,27.692,260,165,7,51,298,52,300,2.56e-24,97.8
SM_b20444,CC_1448,42.995,207,118,0,259,465,220,426,1.05e-40,147
SM_b20445,CC_2837,30.946,349,221,11,12,349,5,344,2.71e-25,101
SM_b20447,CC_3094,45.868,484,251,6,75,550,217,697,1.36e-128,390
SM_b20453,CC_1224,34.084,311,169,11,16,300,45,345,7.60e-41,142
SM_b20456,CC_1492,38.492,252,140,5,4,245,5,251,1.61e-35,124
SM_b20457,CC_0713,26.316,304,208,9,63,357,129,425,5.45e-18,82.0
SM_b20458,CC_1146,66.346,312,105,0,29,340,4,315,7.85e-159,444
SM_b20459,CC_2383,52.077,313,149,1,6,318,4,315,3.04e-112,326
SM_b20468,CC_1150,30.244,205,133,2,3,207,2,196,1.45e-18,77.4
SM_b20478,CC_1439,37.288,236,135,4,337,572,17,239,4.23e-34,127
SM_b20479,CC_2669,38.583,254,143,5,6,259,2,242,2.83e-42,144
SM_b20480,CC_0986,33.484,221,136,2,25,245,8,217,3.29e-20,84.0
SM_b20483,CC_2053,24.768,323,216,10,8,320,4,309,1.95e-08,52.0
SM_b20485,CC_0860,39.113,496,284,7,19,502,3,492,2.33e-105,322
SM_b20486,CC_0861,28.859,298,195,3,24,315,38,324,2.34e-17,78.6
SM_b20487,CC_0861,29.123,285,200,1,27,311,36,318,2.89e-23,95.1
SM_b20492,CC_3175,30.481,187,122,4,4,189,9,188,3.47e-15,71.2
SM_b20493,CC_1808,39.004,241,144,2,5,243,8,247,8.44e-34,119
SM_b20494,CC_2517,34.000,300,175,5,1,291,1,286,7.42e-39,135
SM_b20496,CC_1278,58.223,529,219,1,9,535,9,537,0.0,606
SM_b20497,CC_1223,25.268,467,314,13,3,449,4,455,6.60e-18,83.2
SM_b20500,CC_3002,31.348,319,206,4,8,322,4,313,2.54e-38,136
SM_b20502,CC_0861,33.333,327,203,4,12,329,12,332,2.67e-36,130
SM_b20503,CC_0860,43.452,504,258,6,5,491,2,495,1.82e-132,391
SM_b20506,CC_0861,35.106,282,176,4,32,307,45,325,1.15e-32,120
SM_b20507,CC_0860,43.133,517,271,7,4,501,3,515,2.51e-127,378
SM_b20509,CC_0783,35.149,202,127,4,37,237,21,219,6.84e-30,109
SM_b20510,CC_0532,31.873,411,242,7,1,382,2,403,8.85e-64,206
SM_b20511,CC_1816,31.538,260,162,5,1,254,1,250,1.76e-31,118
SM_b20514,CC_0597,29.255,188,128,1,48,230,159,346,2.49e-18,82.4
SM_b20515,CC_1683,47.150,193,92,4,963,1152,365,550,2.51e-43,163
SM_b20516,CC_3058,34.483,87,52,1,9,95,376,457,1.57e-08,47.8
SM_b20523,CC_2462,41.718,163,81,4,225,378,292,449,8.45e-24,99.8
SM_b20527,CC_3257,41.791,134,70,2,7,139,24,150,8.71e-26,92.4
SM_b20528,CC_3256,32.105,190,126,2,46,234,33,220,2.33e-25,97.8
SM_b20529,CC_3255,47.566,267,137,2,27,293,5,268,1.11e-76,233
SM_b20530,CC_3254,63.265,49,18,0,48,96,92,140,1.10e-18,73.2
SM_b20531,CC_3253,37.870,169,105,0,9,177,8,176,9.80e-28,99.8
SM_b20532,CC_3252,31.651,218,139,4,1,212,1,214,1.96e-17,74.3
SM_b20535,CC_3215,31.102,254,169,4,66,318,56,304,1.43e-28,112
SM_b20537,CC_2284,27.273,308,214,5,10,310,33,337,1.65e-23,96.7
SM_b20539,CC_0119,40.206,97,58,0,407,503,212,308,1.11e-08,54.7
SM_b20562,CC_2849,32.549,255,159,7,44,294,81,326,4.23e-32,119
SM_b20569,CC_0611,39.331,239,133,4,7,237,1,235,3.82e-51,165
SM_b20571,CC_0610,34.132,167,108,2,76,242,93,257,6.42e-21,87.0
SM_b20575,CC_2410,35.897,312,188,8,24,327,19,326,2.02e-38,138
SM_b20576,CC_2409,40.465,215,103,7,3,204,14,216,1.90e-39,131
SM_b20577,CC_2408,49.138,232,111,3,19,248,5,231,2.98e-68,207
SM_b20578,CC_2411,41.176,119,69,1,11,128,274,392,1.37e-24,94.0
SM_b20579,CC_2411,36.538,260,155,5,11,266,11,264,6.85e-43,147
SM_b20580,CC_3697,26.190,252,155,8,8,239,6,246,1.80e-17,78.2
SM_b20581,CC_2533,27.628,333,218,7,289,609,14,335,3.89e-30,119
SM_b20582,CC_1621,24.907,269,178,5,1,257,1,257,1.25e-19,84.0
SM_b20583,CC_2404,61.795,390,149,0,1,390,1,390,0.0,507
SM_b20585,CC_0104,45.020,502,256,7,38,530,57,547,4.60e-136,405
SM_b20589,CC_2407,70.250,400,118,1,1,400,1,399,0.0,558
SM_b20592,CC_2751,32.099,162,94,4,30,187,29,178,3.95e-13,62.8
SM_b20595,CC_3704,71.639,476,127,3,121,595,344,812,0.0,693
SM_b20598,CC_3753,29.555,247,146,7,132,374,6,228,1.21e-23,96.3
SM_b20599,CC_3752,39.252,107,63,2,111,216,57,162,3.08e-11,60.1
SM_b20602,CC_3600,29.876,241,159,4,10,249,11,242,2.28e-28,105
SM_b20607,CC_3077,28.082,146,96,2,8,144,8,153,1.42e-13,61.6
SM_b20608,CC_0157,44.444,90,50,0,2,91,32,121,1.09e-23,85.1
SM_b20609,CC_0723,34.646,381,232,7,662,1030,211,586,1.57e-52,191
SM_b20610,CC_2462,32.227,211,102,3,13,182,5,215,1.66e-21,91.3
SM_b20611,CC_0628,59.666,419,165,2,17,431,2,420,1.14e-176,498
SM_b20612,CC_0759,33.054,239,154,3,379,611,243,481,9.25e-34,132
SM_b20613,CC_3315,35.430,477,266,2,6,440,4,480,1.14e-90,281
SM_b20615,CC_2029,73.607,610,149,6,1,599,1,609,0.0,927
SM_b20617,CC_1880,44.033,243,135,1,10,252,26,267,1.15e-54,174
SM_b20618,CC_3264,35.669,157,91,6,24,176,34,184,2.77e-16,71.2
SM_b20621,CC_0861,34.122,296,173,4,17,308,46,323,8.02e-32,118
SM_b20622,CC_0860,34.940,498,309,7,9,495,6,499,5.85e-80,255
SM_b20626,CC_3367,27.727,220,133,8,106,313,113,318,1.44e-09,55.1
SM_b20630,CC_3134,37.719,342,197,3,10,335,15,356,1.14e-79,246
SM_b20631,CC_2550,26.710,307,176,9,334,627,358,628,3.23e-13,69.7
SM_b20632,CC_0329,33.594,128,78,4,133,256,68,192,8.02e-09,51.6
SM_b20636,CC_2923,30.565,301,191,7,26,317,7,298,1.22e-23,96.3
SM_b20648,CC_3002,28.846,312,199,9,12,316,4,299,9.67e-27,105
SM_b20650,CC_0966,31.102,508,326,12,10,505,20,515,8.13e-63,211
SM_b20652,CC_1658,26.459,257,119,11,2,217,28,255,1.98e-10,60.1
SM_b20656,CC_2641,25.461,271,153,9,54,276,35,304,5.12e-10,56.2
SM_b20658,CC_3135,27.879,165,111,2,95,252,106,269,2.63e-10,57.0
SM_b20661,CC_3134,48.594,249,126,1,4,252,15,261,3.44e-78,242
SM_b20662,CC_3384,37.838,185,109,4,9,191,8,188,1.88e-30,111
SM_b20663,CC_2378,27.700,213,129,8,3,201,6,207,4.21e-08,50.8
SM_b20664,CC_0986,31.892,185,106,4,40,215,29,202,1.33e-12,62.4
SM_b20667,CC_1489,28.527,319,203,8,12,317,26,332,4.13e-25,100
SM_b20668,CC_1574,35.315,286,177,6,4,286,2,282,1.18e-37,132
SM_b20671,CC_0859,28.261,276,180,11,46,312,49,315,6.17e-23,94.0
SM_b20672,CC_0861,37.826,230,130,4,176,405,112,328,2.18e-21,91.7
SM_b20673,CC_0860,44.444,504,268,7,18,516,3,499,9.36e-120,359
SM_b20674,CC_1627,35.152,330,208,5,3,329,6,332,8.47e-55,179
SM_b20679,CC_1574,33.922,283,183,2,6,287,5,284,7.16e-51,166
SM_b20681,CC_2100,35.182,577,327,14,4,562,1,548,1.32e-98,309
SM_b20683,CC_3045,33.083,266,170,4,1,261,1,263,6.75e-31,114
SM_b20689,CC_2011,44.961,258,133,4,1,251,1,256,4.08e-70,213
SM_b20692,CC_1286,36.328,256,156,3,15,265,5,258,1.80e-47,155
SM_b20694,CC_1278,61.818,55,21,0,1,55,482,536,4.32e-17,69.7
SM_b20698,CC_3715,26.407,462,330,6,50,509,62,515,1.09e-37,142
SM_b20699,CC_3714,39.884,346,206,1,18,361,26,371,8.66e-61,197
SM_b20702,CC_0294,36.893,103,63,2,16,117,122,223,2.18e-11,60.8
SM_b20705,CC_0093,31.597,288,183,8,20,298,9,291,5.97e-29,109
SM_b20706,CC_1441,31.197,234,150,4,21,254,37,259,5.48e-34,120
SM_b20708,CC_0659,41.420,169,98,1,4,172,6,173,2.26e-35,119
SM_b20710,CC_1574,28.623,276,182,7,8,276,5,272,5.74e-21,87.4
SM_b20712,CC_0859,29.758,289,195,5,18,304,36,318,3.73e-25,100
SM_b20713,CC_0860,42.369,498,278,3,23,512,3,499,2.48e-130,386
SM_b20714,CC_0861,42.617,298,154,4,48,338,44,331,1.77e-51,171
SM_b20715,CC_3510,33.600,250,159,4,14,260,7,252,2.25e-31,115
SM_b20717,CC_1627,36.095,338,202,4,7,336,2,333,1.05e-57,187
SM_b20718,CC_0860,37.992,508,300,6,12,507,3,507,3.74e-110,334
SM_b20719,CC_0861,37.021,235,143,2,42,276,43,272,8.02e-33,121
SM_b20720,CC_0859,31.176,170,109,5,71,234,78,245,6.09e-13,65.1
SM_b20721,CC_2765,30.405,296,159,11,188,464,195,462,3.02e-18,83.6
SM_b20722,CC_1304,41.284,218,126,1,1,218,1,216,3.39e-47,152
SM_b20728,CC_2225,30.882,68,47,0,1,68,197,264,3.27e-08,45.1
SM_b20729,CC_2225,48.333,120,58,2,7,123,27,145,2.58e-28,102
SM_b20745,CC_1969,25.405,370,200,14,19,330,25,376,1.83e-12,64.7
SM_b20747,CC_2305,29.442,197,136,3,9,203,14,209,4.01e-12,60.5
SM_b20749,CC_1487,50.109,457,222,5,15,469,1,453,6.24e-131,384
SM_b20750,CC_3380,33.969,262,149,3,2,247,6,259,6.60e-36,125
SM_b20751,CC_1354,57.679,293,123,1,1,292,1,293,4.12e-94,277
SM_b20752,CC_1352,39.755,327,188,2,5,329,2,321,1.25e-69,219
SM_b20753,CC_1350,64.721,377,133,0,1,377,1,377,0.0,505
SM_b20754,CC_1763,35.650,446,281,4,45,486,1,444,2.42e-91,282
SM_b20755,CC_1975,71.373,510,146,0,1,510,1,510,0.0,779
SM_b20756,CC_2179,56.994,672,279,4,4,669,1,668,0.0,735
SM_b20757,CC_2374,61.309,703,267,3,11,712,11,709,0.0,845
SM_b20758,CC_0536,30.088,226,146,5,14,236,73,289,5.52e-14,67.0
SM_b20763,CC_1439,32.950,261,155,7,1,257,1,245,9.15e-29,106
SM_b20764,CC_2669,35.176,199,122,4,25,222,17,209,8.35e-27,102
SM_b20772,CC_1686,36.950,341,190,10,13,341,4,331,5.79e-51,169
SM_b20773,CC_2392,34.286,140,82,2,31,162,16,153,1.07e-13,65.1
SM_b20776,CC_3327,29.310,406,231,18,4,378,6,386,5.93e-19,87.8
SM_b20777,CC_2923,31.429,280,174,7,31,301,28,298,1.62e-23,95.5
SM_b20784,CC_3600,30.303,231,154,4,6,231,11,239,2.96e-30,110
SM_b20785,CC_3600,31.727,249,154,4,1,246,8,243,2.02e-32,116
SM_b20809,CC_2263,52.866,314,140,3,15,328,12,317,5.09e-107,312
SM_b20810,CC_1521,27.092,251,138,9,18,241,23,255,5.19e-08,52.4
SM_b20813,CC_0305,38.889,576,319,5,34,588,29,592,2.66e-119,363
SM_b20817,CC_1753,57.447,47,20,0,2,48,3,49,3.18e-08,51.2
SM_b20819,CC_0616,29.487,78,55,0,5,82,6,83,1.39e-09,48.5
SM_b20820,CC_3525,40.833,360,207,6,4,359,11,368,1.67e-70,224
