Melitensis16M|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00185,BME_RS00185,100.000,60,0,0,1,60,1,60,7.04e-39,119
BME_RS00190,BME_RS00190,100.000,200,0,0,1,200,1,200,2.45e-147,404
BME_RS00195,BME_RS00195,100.000,378,0,0,1,378,1,378,0.0,758
BME_RS00200,BME_RS00200,100.000,435,0,0,1,435,1,435,0.0,872
BME_RS00205,BME_RS00205,100.000,104,0,0,1,104,1,104,3.81e-74,211
BME_RS00210,BME_RS00210,100.000,209,0,0,1,209,1,209,2.47e-161,440
BME_RS00215,BME_RS00215,100.000,328,0,0,1,328,1,328,0.0,680
BME_RS00220,BME_RS00220,100.000,637,0,0,1,637,1,637,0.0,1293
BME_RS00225,BME_RS00225,100.000,330,0,0,1,330,1,330,0.0,669
BME_RS00230,BME_RS00230,100.000,249,0,0,1,249,1,249,0.0,524
BME_RS00235,BME_RS00235,100.000,809,0,0,1,809,1,809,0.0,1612
BME_RS00240,BME_RS00240,100.000,140,0,0,1,140,1,140,1.52e-101,283
BME_RS00245,BME_RS00245,100.000,271,0,0,1,271,1,271,0.0,550
BME_RS00250,BME_RS00250,100.000,97,0,0,1,97,1,97,9.23e-69,197
BME_RS00255,BME_RS00255,100.000,223,0,0,1,223,1,223,3.69e-160,438
BME_RS00265,BME_RS00265,100.000,518,0,0,1,518,1,518,0.0,1027
BME_RS00270,BME_RS00270,100.000,119,0,0,1,119,1,119,2.74e-86,243
BME_RS00275,BME_RS00275,100.000,359,0,0,1,359,1,359,0.0,726
BME_RS00280,BME_RS00280,100.000,124,0,0,1,124,1,124,9.05e-86,242
BME_RS00285,BME_RS00285,100.000,181,0,0,1,181,1,181,2.27e-133,367
BME_RS00290,BME_RS00290,100.000,227,0,0,1,227,1,227,2.06e-168,459
BME_RS00295,BME_RS00295,100.000,153,0,0,1,153,1,153,6.92e-108,300
BME_RS00300,BME_RS00300,100.000,268,0,0,1,268,1,268,0.0,554
BME_RS00305,BME_RS00305,100.000,231,0,0,1,231,1,231,1.72e-172,470
BME_RS00310,BME_RS00310,100.000,228,0,0,1,228,1,228,1.57e-157,432
BME_RS00315,BME_RS00315,100.000,90,0,0,1,90,1,90,7.50e-64,184
BME_RS00320,BME_RS00320,100.000,219,0,0,1,219,1,219,1.79e-160,439
BME_RS00325,BME_RS00325,100.000,333,0,0,1,333,1,333,0.0,665
BME_RS00330,BME_RS00330,100.000,300,0,0,1,300,1,300,0.0,620
BME_RS00335,BME_RS00335,100.000,260,0,0,1,260,1,260,0.0,529
BME_RS00340,BME_RS00340,100.000,176,0,0,1,176,1,176,1.63e-130,360
BME_RS00345,BME_RS00345,100.000,96,0,0,1,96,1,96,3.43e-64,186
BME_RS00350,BME_RS00350,100.000,25,0,0,1,25,1,25,9.40e-13,50.8
BME_RS00355,BME_RS00355,100.000,186,0,0,1,186,1,186,6.19e-140,384
BME_RS00360,BME_RS00360,100.000,339,0,0,1,339,1,339,0.0,692
BME_RS00365,BME_RS00365,100.000,321,0,0,1,321,1,321,0.0,657
BME_RS00370,BME_RS00370,100.000,368,0,0,1,368,1,368,0.0,755
BME_RS00375,BME_RS00375,100.000,259,0,0,1,259,1,259,0.0,525
BME_RS00380,BME_RS00380,100.000,178,0,0,1,178,1,178,8.54e-129,355
BME_RS00385,BME_RS00385,100.000,877,0,0,1,877,1,877,0.0,1776
BME_RS00390,BME_RS00390,100.000,421,0,0,1,421,1,421,0.0,852
BME_RS00395,BME_RS00395,100.000,60,0,0,1,60,1,60,8.93e-40,121
BME_RS00400,BME_RS00400,100.000,466,0,0,1,466,1,466,0.0,957
BME_RS00405,BME_RS00405,100.000,238,0,0,1,238,1,238,1.22e-175,479
BME_RS00410,BME_RS00410,100.000,161,0,0,1,161,1,161,7.85e-117,324
BME_RS00415,BME_RS00415,100.000,286,0,0,1,286,1,286,0.0,570
BME_RS00420,BME_RS00420,100.000,280,0,0,1,280,1,280,0.0,573
BME_RS00425,BME_RS00425,100.000,67,0,0,1,67,1,67,2.10e-42,128
BME_RS00430,BME_RS00430,100.000,209,0,0,1,209,1,209,8.36e-155,424
BME_RS00435,BME_RS00435,100.000,252,0,0,1,252,1,252,0.0,520
BME_RS00440,BME_RS00440,100.000,121,0,0,1,121,1,121,5.16e-90,253
BME_RS00445,BME_RS00445,100.000,232,0,0,1,232,1,232,2.04e-176,480
BME_RS00450,BME_RS00450,100.000,248,0,0,1,248,1,248,6.63e-178,485
BME_RS00455,BME_RS00455,100.000,309,0,0,1,309,1,309,0.0,606
BME_RS00460,BME_RS00460,100.000,291,0,0,1,291,1,291,0.0,599
BME_RS00465,BME_RS00465,100.000,327,0,0,1,327,1,327,0.0,648
BME_RS00470,BME_RS00470,100.000,149,0,0,1,149,1,149,2.26e-105,294
BME_RS00475,BME_RS00475,100.000,427,0,0,1,427,1,427,0.0,867
BME_RS00480,BME_RS00480,100.000,435,0,0,1,435,1,435,0.0,864
BME_RS00485,BME_RS00485,100.000,330,0,0,1,330,1,330,0.0,659
BME_RS00490,BME_RS00490,100.000,227,0,0,1,227,1,227,9.76e-170,463
BME_RS00495,BME_RS00495,100.000,332,0,0,1,332,1,332,0.0,660
BME_RS00500,BME_RS00500,100.000,251,0,0,1,251,1,251,0.0,523
BME_RS00505,BME_RS00505,100.000,483,0,0,1,483,1,483,0.0,984
BME_RS00510,BME_RS00510,100.000,337,0,0,1,337,1,337,0.0,677
BME_RS00515,BME_RS00515,100.000,271,0,0,1,271,1,271,0.0,553
BME_RS00520,BME_RS00520,100.000,240,0,0,1,240,1,240,9.60e-177,482
BME_RS00525,BME_RS00525,100.000,166,0,0,1,166,1,166,2.61e-117,325
BME_RS00530,BME_RS00530,100.000,281,0,0,1,281,1,281,0.0,568
BME_RS00535,BME_RS00535,100.000,319,0,0,1,319,1,319,0.0,635
BME_RS00540,BME_RS00540,100.000,66,0,0,1,66,1,66,4.32e-45,135
BME_RS00545,BME_RS00545,100.000,28,0,0,1,28,1,28,1.86e-14,55.5
BME_RS00555,BME_RS00555,100.000,544,0,0,1,544,1,544,0.0,1134
BME_RS00560,BME_RS00560,100.000,428,0,0,1,428,1,428,0.0,872
BME_RS00565,BME_RS00565,100.000,68,0,0,1,68,1,68,1.89e-45,136
BME_RS00570,BME_RS00570,100.000,906,0,0,1,906,1,906,0.0,1863
BME_RS00575,BME_RS00575,100.000,48,0,0,1,48,1,48,7.38e-32,100
BME_RS00580,BME_RS00580,100.000,331,0,0,1,331,1,331,0.0,660
BME_RS00585,BME_RS00585,100.000,413,0,0,1,413,1,413,0.0,835
BME_RS00590,BME_RS00590,100.000,252,0,0,1,252,1,252,0.0,513
BME_RS00595,BME_RS00595,100.000,138,0,0,1,138,1,138,1.87e-99,278
BME_RS00600,BME_RS00600,100.000,101,0,0,1,101,1,101,8.48e-74,210
BME_RS00605,BME_RS00605,100.000,163,0,0,1,163,1,163,1.49e-119,331
BME_RS00610,BME_RS00610,100.000,260,0,0,1,260,1,260,0.0,537
BME_RS00615,BME_RS00615,100.000,220,0,0,1,220,1,220,3.24e-159,436
BME_RS00620,BME_RS00620,100.000,465,0,0,1,465,1,465,0.0,911
BME_RS00625,BME_RS00625,100.000,427,0,0,1,427,1,427,0.0,875
BME_RS00630,BME_RS00630,100.000,303,0,0,1,303,1,303,0.0,621
BME_RS00635,BME_RS00635,100.000,177,0,0,1,177,1,177,1.35e-125,347
BME_RS00640,BME_RS00640,100.000,387,0,0,1,387,1,387,0.0,795
BME_RS00645,BME_RS00645,100.000,320,0,0,1,320,1,320,0.0,643
BME_RS00650,BME_RS00650,100.000,398,0,0,1,398,1,398,0.0,792
BME_RS00655,BME_RS00655,100.000,300,0,0,1,300,1,300,0.0,596
BME_RS00660,BME_RS00660,100.000,1004,0,0,1,1004,1,1004,0.0,2085
BME_RS00665,BME_RS00665,100.000,408,0,0,1,408,1,408,0.0,817
BME_RS00670,BME_RS00670,100.000,137,0,0,1,137,1,137,3.92e-94,265
BME_RS00675,BME_RS00675,100.000,212,0,0,1,212,1,212,1.25e-155,426
BME_RS00680,BME_RS00680,100.000,180,0,0,1,180,1,180,1.09e-135,373
BME_RS00685,BME_RS00685,100.000,467,0,0,1,467,1,467,0.0,931
BME_RS00690,BME_RS00690,100.000,333,0,0,1,333,1,333,0.0,680
BME_RS00695,BME_RS00695,100.000,315,0,0,1,315,1,315,0.0,630
BME_RS00700,BME_RS00700,100.000,189,0,0,1,189,1,189,5.70e-137,377
BME_RS00705,BME_RS00705,100.000,244,0,0,1,244,1,244,0.0,493
BME_RS00710,BME_RS00710,100.000,221,0,0,1,221,1,221,1.94e-163,446
BME_RS00715,BME_RS00715,100.000,107,0,0,1,107,1,107,3.61e-78,222
BME_RS00720,BME_RS00720,100.000,120,0,0,1,120,1,120,1.46e-86,244
BME_RS00725,BME_RS00725,100.000,136,0,0,1,136,1,136,2.83e-98,275
BME_RS00730,BME_RS00730,100.000,78,0,0,1,78,1,78,9.14e-53,155
BME_RS00735,BME_RS00735,100.000,415,0,0,1,415,1,415,0.0,805
BME_RS00740,BME_RS00740,100.000,145,0,0,1,145,1,145,3.96e-102,285
BME_RS00745,BME_RS00745,100.000,469,0,0,1,469,1,469,0.0,967
BME_RS00750,BME_RS00750,100.000,152,0,0,1,152,1,152,4.12e-110,306
BME_RS00755,BME_RS00755,100.000,132,0,0,1,132,1,132,1.21e-94,265
BME_RS00760,BME_RS00760,100.000,131,0,0,1,131,1,131,1.14e-93,263
BME_RS00765,BME_RS00765,100.000,613,0,0,1,613,1,613,0.0,1274
BME_RS00770,BME_RS00770,100.000,259,0,0,1,259,1,259,0.0,538
BME_RS00775,BME_RS00775,100.000,123,0,0,1,123,1,123,2.96e-90,253
BME_RS00780,BME_RS00780,100.000,414,0,0,1,414,1,414,0.0,838
BME_RS00785,BME_RS00785,100.000,300,0,0,1,300,1,300,0.0,616
BME_RS00790,BME_RS00790,100.000,433,0,0,1,433,1,433,0.0,850
BME_RS00795,BME_RS00795,100.000,817,0,0,1,817,1,817,0.0,1653
BME_RS00800,BME_RS00800,100.000,493,0,0,1,493,1,493,0.0,1005
BME_RS00805,BME_RS00805,100.000,285,0,0,1,285,1,285,0.0,551
BME_RS00810,BME_RS00810,100.000,218,0,0,1,218,1,218,6.57e-162,442
BME_RS00815,BME_RS00815,100.000,142,0,0,1,142,1,142,2.99e-107,298
BME_RS00820,BME_RS00820,100.000,96,0,0,1,96,1,96,8.80e-68,194
BME_RS00825,BME_RS00825,100.000,326,0,0,1,326,1,326,0.0,645
BME_RS00830,BME_RS00830,100.000,359,0,0,1,359,1,359,0.0,722
BME_RS00835,BME_RS00835,100.000,314,0,0,1,314,1,314,0.0,625
BME_RS00840,BME_RS00840,100.000,235,0,0,1,235,1,235,6.70e-174,474
BME_RS00845,BME_RS00845,100.000,458,0,0,1,458,1,458,0.0,899
BME_RS00850,BME_RS00850,100.000,523,0,0,1,523,1,523,0.0,1038
BME_RS00855,BME_RS00855,100.000,159,0,0,1,159,1,159,1.04e-113,316
BME_RS00860,BME_RS00860,100.000,412,0,0,1,412,1,412,0.0,800
BME_RS00865,BME_RS00865,100.000,297,0,0,1,297,1,297,0.0,592
BME_RS00870,BME_RS00870,100.000,262,0,0,1,262,1,262,0.0,532
BME_RS00875,BME_RS00875,100.000,88,0,0,1,88,1,88,2.45e-63,183
BME_RS00880,BME_RS00880,100.000,284,0,0,1,284,1,284,0.0,579
BME_RS00885,BME_RS00885,100.000,141,0,0,1,141,1,141,4.04e-106,295
BME_RS00890,BME_RS00890,100.000,297,0,0,1,297,1,297,0.0,577
BME_RS00895,BME_RS00895,100.000,248,0,0,1,248,1,248,0.0,514
BME_RS00900,BME_RS00900,100.000,423,0,0,1,423,1,423,0.0,860
BME_RS00905,BME_RS00905,100.000,756,0,0,1,756,1,756,0.0,1514
BME_RS00910,BME_RS00910,100.000,359,0,0,1,359,1,359,0.0,725
BME_RS00915,BME_RS00915,100.000,295,0,0,1,295,1,295,0.0,590
BME_RS00920,BME_RS00920,100.000,261,0,0,1,261,1,261,0.0,510
BME_RS00925,BME_RS00925,100.000,874,0,0,1,874,1,874,0.0,1758
BME_RS00930,BME_RS00930,100.000,477,0,0,1,477,1,477,0.0,964
BME_RS00935,BME_RS00935,100.000,651,0,0,1,651,1,651,0.0,1333
BME_RS00940,BME_RS11060,100.000,496,0,0,1,496,1,496,0.0,945
BME_RS00945,BME_RS11065,100.000,25,0,0,1,25,1,25,4.49e-11,46.6
BME_RS00950,BME_RS11070,100.000,25,0,0,1,25,1,25,1.02e-12,50.8
BME_RS00955,BME_RS11075,100.000,974,0,0,1,974,1,974,0.0,1862
BME_RS00960,BME_RS11080,100.000,38,0,0,1,38,1,38,1.33e-20,71.6
BME_RS00965,BME_RS11085,100.000,25,0,0,1,25,1,25,7.25e-12,48.5
BME_RS00970,BME_RS00970,100.000,224,0,0,1,224,1,224,1.85e-168,459
BME_RS00975,BME_RS00975,100.000,479,0,0,1,479,1,479,0.0,978
BME_RS00980,BME_RS00980,100.000,228,0,0,1,228,1,228,7.37e-174,473
BME_RS00985,BME_RS00985,100.000,30,0,0,1,30,1,30,3.57e-17,62.4
BME_RS00990,BME_RS00990,100.000,142,0,0,1,142,1,142,1.27e-97,274
BME_RS00995,BME_RS00995,100.000,87,0,0,1,87,1,87,3.61e-60,175
BME_RS01005,BME_RS01005,100.000,185,0,0,1,185,1,185,1.15e-137,379
BME_RS01010,BME_RS01010,100.000,227,0,0,1,227,1,227,3.05e-163,446
BME_RS01015,BME_RS01015,100.000,341,0,0,1,341,1,341,0.0,693
BME_RS01020,BME_RS01020,100.000,378,0,0,1,378,1,378,0.0,749
BME_RS01025,BME_RS01025,100.000,427,0,0,1,427,1,427,0.0,853
BME_RS01030,BME_RS01030,100.000,224,0,0,1,224,1,224,1.01e-168,460
BME_RS01035,BME_RS01035,100.000,123,0,0,1,123,1,123,1.30e-89,252
BME_RS01040,BME_RS01040,100.000,174,0,0,1,174,1,174,4.72e-125,345
BME_RS01045,BME_RS01045,100.000,299,0,0,1,299,1,299,0.0,608
BME_RS01050,BME_RS01050,100.000,449,0,0,1,449,1,449,0.0,895
BME_RS01055,BME_RS01055,100.000,442,0,0,1,442,1,442,0.0,876
BME_RS01060,BME_RS01060,100.000,178,0,0,1,178,1,178,1.80e-134,370
BME_RS01065,BME_RS01065,100.000,84,0,0,1,84,1,84,2.40e-48,145
BME_RS01070,BME_RS01070,100.000,214,0,0,1,214,1,214,8.50e-151,414
BME_RS01075,BME_RS01075,100.000,293,0,0,1,293,1,293,0.0,591
BME_RS01080,BME_RS01080,100.000,498,0,0,1,498,1,498,0.0,1020
BME_RS01085,BME_RS01085,100.000,95,0,0,1,95,1,95,1.67e-63,184
BME_RS01090,BME_RS01090,100.000,298,0,0,1,298,1,298,0.0,598
BME_RS01095,BME_RS01095,100.000,213,0,0,1,213,1,213,2.61e-162,443
BME_RS01100,BME_RS01100,100.000,275,0,0,1,275,1,275,0.0,561
BME_RS01105,BME_RS01105,100.000,523,0,0,1,523,1,523,0.0,1018
BME_RS01110,BME_RS01110,100.000,105,0,0,1,105,1,105,8.21e-74,211
BME_RS01115,BME_RS01115,100.000,134,0,0,1,134,1,134,8.87e-94,263
BME_RS01120,BME_RS01120,100.000,207,0,0,1,207,1,207,1.54e-155,426
BME_RS01125,BME_RS01125,100.000,255,0,0,1,255,1,255,0.0,507
BME_RS01130,BME_RS01130,100.000,213,0,0,1,213,1,213,1.65e-156,428
BME_RS01135,BME_RS01135,100.000,1600,0,0,1,1600,1,1600,0.0,3238
BME_RS01140,BME_RS01140,100.000,473,0,0,1,473,1,473,0.0,935
BME_RS01145,BME_RS01145,100.000,538,0,0,1,538,1,538,0.0,1083
BME_RS01150,BME_RS01150,100.000,580,0,0,1,580,1,580,0.0,1184
BME_RS01155,BME_RS01155,100.000,465,0,0,1,465,1,465,0.0,940
BME_RS01160,BME_RS01160,100.000,325,0,0,1,325,1,325,0.0,660
BME_RS01165,BME_RS01165,100.000,72,0,0,1,72,1,72,1.90e-48,144
BME_RS01170,BME_RS01170,100.000,651,0,0,1,651,1,651,0.0,1349
BME_RS01175,BME_RS01175,100.000,95,0,0,1,95,1,95,2.69e-69,198
BME_RS01180,BME_RS01180,100.000,176,0,0,1,176,1,176,7.73e-130,358
BME_RS01185,BME_RS01185,100.000,226,0,0,1,226,1,226,1.91e-167,457
BME_RS01190,BME_RS01190,100.000,877,0,0,1,877,1,877,0.0,1820
BME_RS01195,BME_RS01195,100.000,193,0,0,1,193,1,193,4.49e-141,388
BME_RS01200,BME_RS01200,100.000,217,0,0,1,217,1,217,1.58e-161,441
BME_RS01205,BME_RS01205,100.000,745,0,0,1,745,1,745,0.0,1457
BME_RS01210,BME_RS01210,100.000,137,0,0,1,137,1,137,3.18e-94,265
BME_RS01215,BME_RS01215,100.000,186,0,0,1,186,1,186,5.82e-132,364
BME_RS01220,BME_RS01220,100.000,509,0,0,1,509,1,509,0.0,1026
BME_RS01225,BME_RS01225,100.000,292,0,0,1,292,1,292,0.0,597
BME_RS01230,BME_RS01230,100.000,521,0,0,1,521,1,521,0.0,1045
BME_RS01235,BME_RS01235,100.000,135,0,0,1,135,1,135,1.62e-98,275
BME_RS01240,BME_RS01240,100.000,145,0,0,1,145,1,145,1.14e-100,281
BME_RS01245,BME_RS01245,100.000,231,0,0,1,231,1,231,9.91e-168,458
BME_RS01250,BME_RS01250,100.000,420,0,0,1,420,1,420,0.0,847
BME_RS01255,BME_RS01255,100.000,333,0,0,1,333,1,333,0.0,696
BME_RS01260,BME_RS01260,100.000,302,0,0,1,302,1,302,0.0,590
BME_RS01265,BME_RS01265,100.000,459,0,0,1,459,1,459,0.0,902
BME_RS01270,BME_RS01270,100.000,440,0,0,1,440,1,440,0.0,894
BME_RS01275,BME_RS01275,100.000,248,0,0,1,248,1,248,0.0,503
BME_RS01280,BME_RS01280,100.000,114,0,0,1,114,1,114,2.57e-82,233
BME_RS01285,BME_RS01285,100.000,371,0,0,1,371,1,371,0.0,751
BME_RS01295,BME_RS01295,100.000,1158,0,0,1,1158,1,1158,0.0,2378
BME_RS01300,BME_RS01300,100.000,397,0,0,1,397,1,397,0.0,780
BME_RS01305,BME_RS01305,100.000,263,0,0,1,263,1,263,0.0,536
BME_RS01310,BME_RS01310,100.000,420,0,0,1,420,1,420,0.0,858
BME_RS01315,BME_RS01315,100.000,304,0,0,1,304,1,304,0.0,605
BME_RS01320,BME_RS01320,100.000,251,0,0,1,251,1,251,0.0,509
BME_RS01325,BME_RS01325,100.000,59,0,0,1,59,1,59,1.51e-39,120
BME_RS01330,BME_RS01330,100.000,143,0,0,1,143,1,143,4.92e-100,280
BME_RS01335,BME_RS01335,100.000,395,0,0,1,395,1,395,0.0,799
BME_RS01340,BME_RS01340,100.000,1028,0,0,1,1028,1,1028,0.0,2076
BME_RS01345,BME_RS01345,100.000,133,0,0,1,133,1,133,9.90e-95,266
BME_RS01350,BME_RS01350,100.000,112,0,0,1,112,1,112,1.81e-80,228
BME_RS01355,BME_RS01355,100.000,191,0,0,1,191,1,191,2.07e-139,383
BME_RS01360,BME_RS01360,100.000,311,0,0,1,311,1,311,0.0,630
BME_RS01365,BME_RS01365,100.000,242,0,0,1,242,1,242,0.0,499
BME_RS01370,BME_RS01370,100.000,493,0,0,1,493,1,493,0.0,1003
BME_RS01375,BME_RS01375,100.000,241,0,0,1,241,1,241,2.90e-178,486
BME_RS01380,BME_RS01380,100.000,543,0,0,1,543,1,543,0.0,1061
BME_RS01385,BME_RS01385,100.000,334,0,0,1,334,1,334,0.0,681
BME_RS01390,BME_RS01390,100.000,218,0,0,1,218,1,218,3.51e-163,446
BME_RS01395,BME_RS01395,100.000,94,0,0,1,94,1,94,3.93e-62,180
BME_RS01400,BME_RS01400,100.000,605,0,0,1,605,1,605,0.0,1213
BME_RS01405,BME_RS01405,100.000,86,0,0,1,86,1,86,4.65e-58,169
BME_RS01410,BME_RS01410,100.000,272,0,0,1,272,1,272,0.0,553
BME_RS01415,BME_RS01415,100.000,153,0,0,1,153,1,153,5.11e-116,321
BME_RS01420,BME_RS01420,100.000,478,0,0,1,478,1,478,0.0,963
BME_RS01425,BME_RS01425,100.000,229,0,0,1,229,1,229,1.54e-173,473
BME_RS01435,BME_RS01435,100.000,362,0,0,1,362,1,362,0.0,734
BME_RS01440,BME_RS01440,100.000,162,0,0,1,162,1,162,3.99e-115,320
BME_RS01445,BME_RS01445,100.000,67,0,0,1,67,1,67,3.25e-43,130
BME_RS01450,BME_RS01450,100.000,59,0,0,1,59,1,59,7.01e-37,114
BME_RS01455,BME_RS01455,100.000,412,0,0,1,412,1,412,0.0,822
BME_RS01460,BME_RS01460,100.000,63,0,0,1,63,1,63,2.69e-40,123
BME_RS01465,BME_RS01465,100.000,334,0,0,1,334,1,334,0.0,677
BME_RS01470,BME_RS01470,100.000,229,0,0,1,229,1,229,1.58e-172,470
BME_RS01475,BME_RS01475,100.000,135,0,0,1,135,1,135,2.21e-97,273
BME_RS01480,BME_RS01480,100.000,234,0,0,1,234,1,234,5.91e-169,461
BME_RS01485,BME_RS01485,100.000,61,0,0,1,61,1,61,1.12e-41,126
BME_RS01490,BME_RS01490,100.000,636,0,0,1,636,1,636,0.0,1308
BME_RS01495,BME_RS01495,100.000,72,0,0,1,72,1,72,2.31e-46,139
BME_RS01500,BME_RS01500,100.000,396,0,0,1,396,1,396,0.0,795
BME_RS01505,BME_RS01505,100.000,335,0,0,1,335,1,335,0.0,687
BME_RS01510,BME_RS01510,100.000,663,0,0,1,663,1,663,0.0,1370
BME_RS01515,BME_RS01515,100.000,90,0,0,1,90,1,90,1.71e-57,168
BME_RS01520,BME_RS01520,100.000,121,0,0,1,121,1,121,3.95e-87,245
BME_RS01525,BME_RS01525,100.000,198,0,0,1,198,1,198,3.11e-144,396
BME_RS01530,BME_RS01530,100.000,274,0,0,1,274,1,274,0.0,561
BME_RS01535,BME_RS01535,100.000,247,0,0,1,247,1,247,7.89e-178,485
BME_RS01540,BME_RS01540,100.000,142,0,0,1,142,1,142,3.18e-104,290
BME_RS01545,BME_RS01545,100.000,191,0,0,1,191,1,191,3.43e-132,365
BME_RS01550,BME_RS01550,100.000,230,0,0,1,230,1,230,9.92e-167,456
BME_RS01555,BME_RS01555,100.000,248,0,0,1,248,1,248,0.0,507
BME_RS01560,BME_RS01560,100.000,73,0,0,1,73,1,73,1.02e-51,152
BME_RS01565,BME_RS01565,100.000,681,0,0,1,681,1,681,0.0,1368
BME_RS01570,BME_RS01570,100.000,343,0,0,1,343,1,343,0.0,681
BME_RS01575,BME_RS01575,100.000,349,0,0,1,349,1,349,0.0,694
BME_RS01580,BME_RS01580,100.000,263,0,0,1,263,1,263,0.0,533
BME_RS01585,BME_RS01585,100.000,186,0,0,1,186,1,186,1.43e-137,378
BME_RS01590,BME_RS01590,100.000,350,0,0,1,350,1,350,0.0,703
BME_RS01595,BME_RS01595,100.000,221,0,0,1,221,1,221,8.37e-162,442
BME_RS01600,BME_RS01600,100.000,400,0,0,1,400,1,400,0.0,794
BME_RS01605,BME_RS01605,100.000,168,0,0,1,168,1,168,7.31e-122,337
BME_RS01610,BME_RS01610,100.000,173,0,0,1,173,1,173,5.78e-128,353
BME_RS01615,BME_RS01615,100.000,205,0,0,1,205,1,205,1.58e-147,405
BME_RS01620,BME_RS01620,100.000,346,0,0,1,346,1,346,0.0,682
BME_RS01625,BME_RS01625,100.000,149,0,0,1,149,1,149,1.21e-111,310
BME_RS01630,BME_RS01630,100.000,236,0,0,1,236,1,236,7.68e-171,466
BME_RS01635,BME_RS01635,100.000,150,0,0,1,150,1,150,5.88e-109,303
BME_RS01640,BME_RS01640,100.000,356,0,0,1,356,1,356,0.0,701
BME_RS01645,BME_RS01645,100.000,443,0,0,1,443,1,443,0.0,905
BME_RS01650,BME_RS01650,100.000,168,0,0,1,168,1,168,1.40e-124,344
BME_RS01660,BME_RS01660,100.000,488,0,0,1,488,1,488,0.0,994
BME_RS01665,BME_RS01665,100.000,448,0,0,1,448,1,448,0.0,898
BME_RS01670,BME_RS01670,100.000,644,0,0,1,644,1,644,0.0,1312
BME_RS01675,BME_RS01675,100.000,459,0,0,1,459,1,459,0.0,934
BME_RS01680,BME_RS01680,100.000,274,0,0,1,274,1,274,0.0,555
BME_RS01685,BME_RS01685,100.000,318,0,0,1,318,1,318,0.0,620
BME_RS01690,BME_RS01690,100.000,391,0,0,1,391,1,391,0.0,792
BME_RS01695,BME_RS01695,100.000,533,0,0,1,533,1,533,0.0,1079
BME_RS01700,BME_RS01700,100.000,169,0,0,1,169,1,169,3.28e-127,350
BME_RS01705,BME_RS01705,100.000,429,0,0,1,429,1,429,0.0,865
