C_crescentus|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
CC_0034,BME_RS09710,71.849,714,197,1,1,710,1,714,0.0,1021
CC_0035,BME_RS09715,78.652,89,19,0,1,89,1,89,4.48e-46,139
CC_0036,BME_RS09720,44.985,329,151,6,1,307,1,321,2.27e-90,269
CC_0037,BME_RS09725,43.382,136,70,3,1,135,1,130,1.71e-31,107
CC_0042,BME_RS09730,52.661,902,351,16,174,1036,95,959,0.0,806
CC_0043,BME_RS09735,44.503,191,97,4,17,199,21,210,2.12e-39,132
CC_0044,BME_RS09740,64.535,516,180,1,3,518,1,513,0.0,671
CC_0045,BME_RS09745,46.043,139,66,2,1,136,51,183,1.78e-34,117
CC_0047,BME_RS00340,54.070,172,79,0,1,172,1,172,1.39e-68,203
CC_0049,BME_RS09750,38.991,218,127,3,59,270,15,232,3.90e-47,154
CC_0050,BME_RS09755,58.865,423,150,10,1,405,1,417,1.63e-153,437
CC_0051,BME_RS09760,51.128,133,61,2,6,134,3,135,5.08e-43,135
CC_0052,BME_RS09765,38.200,500,278,13,12,495,15,499,1.76e-88,279
CC_0053,BME_RS09770,46.400,250,109,4,61,286,86,334,3.64e-58,188
CC_0054,BME_RS09775,55.556,117,47,1,44,155,37,153,3.65e-40,129
CC_0056,BME_RS09785,60.652,399,147,3,7,396,23,420,8.97e-171,484
CC_0057,BME_RS01840,51.220,123,60,0,12,134,18,140,8.52e-39,124
CC_0058,BME_RS09795,38.000,150,92,1,1,149,14,163,1.38e-29,102
CC_0059,BME_RS09800,33.486,218,128,7,2,207,3,215,3.61e-25,95.1
CC_0062,BME_RS08960,56.771,192,76,4,35,222,1,189,1.72e-70,210
CC_0063,BME_RS14490,26.110,383,255,9,53,430,27,386,9.86e-28,110
CC_0064,BME_RS08950,53.314,347,144,1,13,341,6,352,4.51e-137,390
CC_0065,BME_RS08945,38.606,531,304,8,31,550,3,522,6.12e-96,298
CC_0069,BME_RS00820,56.667,90,38,1,3,91,2,91,1.64e-25,88.2
CC_0070,BME_RS00825,50.765,327,155,2,5,330,4,325,3.36e-94,280
CC_0071,BME_RS00830,56.077,362,153,3,9,367,1,359,4.28e-130,374
CC_0072,BME_RS00835,51.935,310,134,5,7,315,11,306,4.93e-89,266
CC_0075,BME_RS00850,32.843,408,258,7,1,401,1,399,2.08e-35,135
CC_0076,BME_RS12615,52.199,705,331,4,1,702,27,728,0.0,719
CC_0077,BME_RS12610,68.905,402,124,1,1,401,1,402,0.0,567
CC_0079,BME_RS09525,34.656,378,239,4,15,391,17,387,3.23e-75,235
CC_0080,BME_RS12605,58.459,597,245,3,2,597,3,597,0.0,719
CC_0081,BME_RS12475,41.228,114,67,0,11,124,34,147,2.55e-24,89.4
CC_0082,BME_RS12620,50.685,219,97,5,4,213,2,218,1.65e-58,180
CC_0084,BME_RS12630,54.710,552,207,4,15,552,25,547,0.0,597
CC_0085,BME_RS09350,28.315,445,272,17,27,452,3,419,1.97e-23,100
CC_0086,BME_RS01145,65.974,529,171,2,10,529,10,538,0.0,686
CC_0088,BME_RS01135,44.482,1477,774,11,90,1542,93,1547,0.0,1180
CC_0089,BME_RS06240,24.648,142,99,2,155,292,193,330,1.39e-08,52.4
CC_0090,BME_RS06900,60.870,483,180,3,25,506,27,501,0.0,549
CC_0091,BME_RS08600,44.262,427,235,2,355,781,253,676,1.28e-111,353
CC_0092,BME_RS13770,49.524,315,158,1,2,315,4,318,1.16e-105,309
CC_0093,BME_RS06660,30.742,283,188,4,14,289,26,307,1.72e-26,102
CC_0094,BME_RS12700,33.977,259,158,4,2,257,1,249,1.06e-38,133
CC_0095,BME_RS15695,34.848,132,77,2,143,271,109,234,1.26e-19,83.2
CC_0096,BME_RS01465,33.929,336,206,5,1,331,9,333,1.81e-47,160
CC_0100,BME_RS01150,30.297,505,337,9,21,516,20,518,9.32e-44,161
CC_0101,BME_RS05595,62.679,209,75,2,13,220,6,212,3.70e-88,256
CC_0102,BME_RS01155,41.333,450,232,10,4,429,24,465,4.59e-93,285
CC_0103,BME_RS01165,57.143,63,27,0,30,92,10,72,5.90e-10,47.8
CC_0105,BME_RS09890,49.784,231,112,1,3,233,9,235,1.28e-66,202
CC_0106,BME_RS04400,33.810,210,125,4,11,219,11,207,1.81e-23,90.9
CC_0107,BME_RS00780,44.903,412,212,5,1,409,15,414,2.38e-107,319
CC_0108,BME_RS12170,66.667,54,18,0,10,63,9,62,1.94e-23,80.5
CC_0109,BME_RS12165,48.458,227,100,4,5,220,8,228,2.90e-56,176
CC_0110,BME_RS12160,48.667,300,150,3,4,299,30,329,5.17e-85,255
CC_0111,BME_RS12155,45.890,146,78,1,15,159,16,161,5.42e-43,137
CC_0112,BME_RS00230,50.000,246,121,2,1,244,1,246,2.62e-95,276
CC_0116,BME_RS01645,30.968,155,90,4,61,210,262,404,7.52e-12,65.1
CC_0117,BME_RS01675,62.443,442,165,1,4,445,11,451,0.0,568
CC_0118,BME_RS13560,56.837,607,261,1,1,606,1,607,0.0,677
CC_0119,BME_RS11815,25.926,189,140,0,148,336,71,259,7.34e-13,66.6
CC_0123,BME_RS09240,36.667,120,73,1,10,129,3,119,7.11e-26,91.7
CC_0124,BME_RS14190,48.092,262,127,3,1,260,1,255,3.14e-68,208
CC_0126,BME_RS09265,32.919,161,94,3,26,181,19,170,8.74e-16,70.1
CC_0129,BME_RS09270,78.218,404,86,1,4,407,5,406,0.0,647
CC_0131,BME_RS03100,51.177,637,290,6,62,696,34,651,0.0,637
CC_0133,BME_RS07380,36.444,225,135,5,4,225,7,226,2.32e-29,108
CC_0134,BME_RS09255,60.526,380,132,5,26,391,29,404,2.18e-170,479
CC_0138,BME_RS06830,34.348,230,135,4,18,235,333,558,2.81e-30,121
CC_0140,BME_RS09870,60.800,500,194,2,1,498,1,500,0.0,563
CC_0141,BME_RS09875,56.129,310,135,1,1,310,1,309,1.86e-125,358
CC_0143,BME_RS08780,42.718,103,59,0,17,119,15,117,4.17e-19,73.9
CC_0144,BME_RS08785,49.104,279,135,3,14,287,23,299,1.55e-71,219
CC_0145,BME_RS08790,45.910,379,200,5,8,383,27,403,2.49e-98,295
CC_0146,BME_RS08795,50.254,197,83,4,4,185,8,204,3.10e-58,179
CC_0147,BME_RS06285,38.674,181,106,4,2,179,3,181,1.53e-27,100
CC_0151,BME_RS03910,23.843,281,181,8,65,324,96,364,1.44e-17,79.7
CC_0152,BME_RS08810,64.135,237,84,1,1,236,1,237,7.71e-110,312
CC_0153,BME_RS08815,52.312,346,161,3,15,356,10,355,6.08e-123,355
CC_0154,BME_RS08820,45.963,161,84,2,5,163,51,210,5.67e-43,140
CC_0156,BME_RS09610,53.763,372,172,0,1,372,1,372,8.99e-144,409
CC_0159,BME_RS09605,44.180,378,197,7,9,384,19,384,2.30e-73,230
CC_0160,BME_RS09030,65.361,817,254,8,5,805,10,813,0.0,1033
CC_0163,BME_RS10300,24.722,360,239,13,81,424,138,481,3.60e-11,61.6
CC_0164,BME_RS15705,26.444,450,321,5,21,466,120,563,1.03e-42,160
CC_0166,BME_RS05915,45.128,195,103,2,77,267,318,512,3.44e-54,179
CC_0167,BME_RS11505,43.651,126,64,4,148,272,67,186,1.77e-26,99.4
CC_0169,BME_RS05905,42.073,164,94,1,24,186,32,195,7.83e-39,128
CC_0186,BME_RS13210,62.595,131,49,0,1,131,1,131,4.20e-48,167
CC_0187,BME_RS02345,36.127,346,203,9,28,368,12,344,1.13e-54,180
CC_0188,BME_RS14120,30.744,309,197,6,21,324,4,300,2.59e-39,137
CC_0190,BME_RS02525,40.000,120,72,0,33,152,7,126,7.83e-28,97.4
CC_0192,BME_RS08125,25.192,520,340,13,43,530,78,580,1.01e-30,122
CC_0193,BME_RS12175,60.833,360,128,3,4,350,6,365,2.74e-151,427
CC_0195,BME_RS12210,59.500,200,80,1,1,199,1,200,1.84e-86,250
CC_0196,BME_RS00745,68.870,469,138,3,4,471,5,466,0.0,651
CC_0197,BME_RS00740,65.517,116,40,0,4,119,3,118,1.19e-52,160
CC_0198,BME_RS00705,56.652,233,99,2,3,235,12,242,2.69e-94,273
CC_0201,BME_RS03925,50.935,214,102,3,12,225,7,217,4.64e-45,146
CC_0204,BME_RS15220,39.623,583,326,8,7,588,11,568,5.22e-128,387
CC_0206,BME_RS17265,48.387,124,61,2,2,123,1,123,2.28e-30,109
CC_0207,BME_RS13335,46.341,205,108,1,7,211,15,217,8.33e-64,194
CC_0208,BME_RS03395,34.711,121,75,2,68,185,66,185,2.64e-12,63.2
CC_0212,BME_RS00880,24.382,283,191,7,4,279,3,269,3.24e-11,59.3
CC_0214,BME_RS03255,25.434,519,283,20,36,520,20,468,3.87e-13,68.9
CC_0217,BME_RS07280,35.238,105,60,3,37,141,55,151,5.60e-11,60.1
CC_0222,BME_RS08150,52.140,514,242,3,27,537,31,543,9.66e-178,509
CC_0223,BME_RS13300,32.381,105,70,1,37,140,17,121,1.84e-09,53.5
CC_0227,BME_RS15240,45.161,186,99,2,1,186,1,183,2.46e-50,157
CC_0230,BME_RS15245,54.054,259,114,1,35,293,74,327,1.26e-92,287
CC_0231,BME_RS15250,52.778,144,66,1,14,157,16,157,3.53e-47,147
CC_0233,BME_RS07140,32.394,284,167,8,29,293,286,563,6.68e-36,134
CC_0234,BME_RS07090,30.423,378,229,10,16,393,9,352,2.66e-47,162
CC_0237,BME_RS10075,66.524,233,76,1,3,235,9,239,3.33e-112,318
CC_0238,BME_RS10070,40.998,561,271,7,25,530,43,598,2.77e-118,358
CC_0239,BME_RS10065,43.038,79,39,1,5,77,8,86,8.59e-10,50.8
CC_0240,BME_RS10060,66.418,134,44,1,13,146,1,133,5.71e-59,176
CC_0241,BME_RS10055,55.814,86,38,0,6,91,18,103,1.23e-29,98.6
CC_0244,BME_RS10810,26.108,203,126,7,4,193,3,194,1.34e-10,55.5
CC_0245,BME_RS09235,48.454,97,46,2,1,94,1,96,3.62e-30,99.8
CC_0246,BME_RS07380,33.992,253,153,6,8,259,4,243,1.60e-34,121
CC_0247,BME_RS08975,69.942,173,52,0,13,185,15,187,5.75e-86,248
CC_0248,BME_RS08990,42.824,425,227,7,42,460,15,429,5.89e-94,288
CC_0249,BME_RS02950,44.654,159,83,3,38,194,36,191,1.82e-40,133
CC_0251,BME_RS09980,32.127,221,141,3,21,237,35,250,1.97e-31,112
CC_0252,BME_RS09065,42.968,647,334,6,19,636,67,707,2.97e-164,486
CC_0253,BME_RS12190,69.388,343,104,1,1,342,1,343,3.53e-174,484
CC_0254,BME_RS06390,38.112,286,173,3,7,290,12,295,2.01e-54,176
CC_0256,BME_RS01090,31.818,286,178,7,5,282,13,289,1.01e-26,102
CC_0257,BME_RS10050,73.102,461,124,0,3,463,6,466,0.0,691
CC_0260,BME_RS14730,21.070,299,207,12,29,313,31,314,2.28e-09,54.3
CC_0264,BME_RS06635,45.194,489,251,8,1,484,24,500,6.27e-133,390
CC_0265,BME_RS12610,45.324,417,208,6,1,412,1,402,2.08e-114,337
CC_0266,BME_RS09445,39.175,291,161,7,10,296,19,297,9.20e-51,167
CC_0267,BME_RS09455,48.330,569,259,7,55,591,9,574,7.45e-171,496
CC_0268,BME_RS09460,44.898,98,47,1,1,98,8,98,5.73e-19,72.0
CC_0269,BME_RS09465,60.403,149,59,0,1,149,50,198,3.97e-60,181
CC_0271,BME_RS11475,26.462,325,188,16,47,351,55,348,3.55e-09,54.7
CC_0272,BME_RS11480,57.233,159,66,1,17,173,13,171,3.06e-67,199
CC_0275,BME_RS11500,50.761,394,176,5,7,382,1,394,3.35e-122,355
CC_0276,BME_RS14630,44.545,110,60,1,24,132,25,134,6.05e-23,93.2
CC_0278,BME_RS11490,60.729,247,95,1,1,245,1,247,5.96e-103,296
CC_0279,BME_RS11485,55.184,299,133,1,1,298,1,299,2.44e-112,324
CC_0281,BME_RS11510,68.794,282,79,3,8,283,6,284,2.98e-133,375
CC_0282,BME_RS11520,44.595,222,112,1,3,213,8,229,2.82e-59,183
CC_0283,BME_RS11525,56.552,290,120,2,13,302,11,294,1.23e-103,301
CC_0284,BME_RS01825,31.858,113,76,1,5,116,139,251,1.17e-14,65.9
CC_0285,BME_RS13525,45.270,148,70,1,103,239,21,168,1.07e-38,142
CC_0286,BME_RS09115,59.271,329,131,3,23,348,12,340,1.90e-138,394
CC_0289,BME_RS06830,30.292,274,159,9,189,458,318,563,1.57e-21,94.0
CC_0290,BME_RS09845,45.732,492,226,11,16,477,16,496,8.42e-123,364
CC_0291,BME_RS09840,52.036,442,195,4,1,431,1,436,1.81e-148,426
CC_0292,BME_RS09835,76.800,250,56,1,27,274,24,273,5.82e-140,392
CC_0293,BME_RS09830,50.000,226,113,0,2,227,3,228,7.48e-77,228
CC_0294,BME_RS09825,64.732,224,79,0,2,225,4,227,1.80e-102,293
CC_0297,BME_RS07580,55.189,424,187,3,4,426,1,422,1.09e-149,428
CC_0301,BME_RS15190,35.503,338,195,8,6,333,7,331,1.82e-49,165
CC_0302,BME_RS15195,37.260,416,242,9,7,412,10,416,3.24e-76,240
CC_0303,BME_RS07195,36.538,260,165,0,87,346,28,287,4.16e-37,132
CC_0304,BME_RS07530,28.194,227,150,6,2,228,5,218,1.41e-22,89.0
CC_0305,BME_RS11415,37.370,578,349,4,17,592,22,588,7.84e-122,370
CC_0307,BME_RS15205,61.972,71,27,0,3,73,7,77,1.04e-31,102
CC_0308,BME_RS15210,40.234,256,145,6,2,253,12,263,1.95e-44,147
CC_0309,BME_RS15215,44.521,438,235,4,8,443,16,447,2.19e-109,327
CC_0313,BME_RS14840,54.274,503,220,4,3,505,11,503,0.0,556
CC_0314,BME_RS01020,60.165,364,141,4,13,375,9,369,2.56e-134,385
CC_0315,BME_RS01015,67.868,333,106,1,1,333,1,332,6.85e-149,420
CC_0317,BME_RS15875,41.538,65,38,0,91,155,12,76,2.11e-10,52.4
CC_0318,BME_RS00995,73.563,87,23,0,3,89,1,87,8.09e-44,134
CC_0319,BME_RS00990,54.286,105,44,1,1,105,1,101,2.35e-31,107
CC_0321,BME_RS11710,59.615,364,136,4,9,365,13,372,9.73e-144,409
CC_0322,BME_RS01775,36.806,144,81,3,4,147,1,134,4.38e-23,86.3
CC_0323,BME_RS11705,42.284,324,172,9,53,374,12,322,7.59e-70,219
CC_0325,BME_RS01320,39.352,216,128,2,14,228,37,250,2.44e-45,148
CC_0328,BME_RS10225,31.818,220,139,5,34,249,31,243,6.69e-18,77.0
CC_0329,BME_RS10220,39.487,195,117,1,3,197,9,202,3.12e-33,116
CC_0330,BME_RS02620,29.744,195,116,9,76,256,29,216,8.01e-11,58.2
CC_0331,BME_RS02625,42.520,127,72,1,58,183,2,128,1.10e-28,102
CC_0335,BME_RS03255,30.921,152,92,2,100,246,21,164,3.86e-12,66.2
CC_0336,BME_RS15175,25.926,297,201,6,31,310,26,320,1.23e-15,75.1
CC_0337,BME_RS00650,72.292,397,110,0,1,397,1,397,0.0,566
CC_0338,BME_RS00655,79.667,300,55,2,1,294,1,300,1.79e-161,448
CC_0339,BME_RS00660,62.840,993,353,6,9,986,12,1003,0.0,1308
CC_0340,BME_RS00665,63.210,405,144,2,3,402,4,408,2.02e-163,461
CC_0342,BME_RS00685,63.319,458,164,3,12,466,2,458,0.0,573
CC_0344,BME_RS00695,47.475,297,149,4,10,303,22,314,1.81e-81,246
CC_0346,BME_RS01205,42.000,300,153,4,2,288,21,312,9.52e-56,200
CC_0347,BME_RS01535,62.403,258,80,3,45,301,6,247,3.24e-98,286
CC_0348,BME_RS09510,29.600,250,143,9,10,246,7,236,2.08e-14,70.1
CC_0353,BME_RS09630,25.641,273,181,3,9,278,3,256,6.76e-23,91.7
CC_0355,BME_RS13300,31.481,108,70,2,24,131,15,118,3.74e-08,50.1
CC_0357,BME_RS11025,35.200,125,75,4,41,161,13,135,1.40e-15,66.6
CC_0360,BME_RS15710,33.422,374,223,12,8,366,7,369,6.47e-44,154
CC_0361,BME_RS00500,33.469,245,142,5,7,243,12,243,5.33e-42,141
CC_0363,BME_RS00520,26.429,140,87,4,80,209,11,144,9.30e-08,48.5
CC_0364,BME_RS03320,37.269,271,161,5,160,427,252,516,4.25e-47,166
CC_0365,BME_RS07690,44.231,156,86,1,14,169,5,159,1.61e-32,110
CC_0366,BME_RS07695,40.000,160,96,0,17,176,41,200,7.03e-30,105
CC_0367,BME_RS07700,60.656,61,24,0,1,61,1,61,1.09e-18,69.3
CC_0368,BME_RS07705,52.610,249,110,3,3,249,4,246,3.30e-77,231
CC_0369,BME_RS07710,33.333,105,62,1,15,111,26,130,2.43e-13,59.3
CC_0373,BME_RS07200,48.190,1160,573,8,1,1144,1,1148,0.0,844
CC_0374,BME_RS07205,36.420,162,100,2,33,193,51,210,2.52e-28,102
CC_0375,BME_RS07205,38.824,170,101,3,31,199,50,217,1.34e-39,132
CC_0376,BME_RS07210,33.793,145,86,3,41,179,25,165,7.76e-14,62.8
CC_0377,BME_RS07215,51.163,344,155,6,11,345,7,346,5.65e-111,324
CC_0378,BME_RS07225,65.057,352,123,0,6,357,21,372,1.55e-176,492
CC_0379,BME_RS07685,50.000,182,89,2,12,191,34,215,2.09e-45,147
CC_0382,BME_RS15335,46.784,171,88,1,16,183,28,198,1.61e-48,154
CC_0385,BME_RS06445,34.000,250,158,3,1,243,2,251,2.49e-42,143
CC_0388,BME_RS06440,64.027,442,158,1,1,442,1,441,0.0,565
CC_0391,BME_RS08125,27.295,414,239,17,71,441,74,468,9.64e-21,92.4
CC_0393,BME_RS11905,23.810,546,357,12,3,509,10,535,1.91e-24,103
CC_0395,BME_RS07165,26.027,292,156,12,22,303,50,291,2.21e-09,53.9
CC_0396,BME_RS01240,33.913,115,71,3,17,129,18,129,1.92e-09,49.7
CC_0397,BME_RS07595,42.570,249,142,1,1,248,1,249,1.37e-64,199
CC_0398,BME_RS03295,33.333,153,92,7,21,167,2,150,2.00e-10,57.0
CC_0400,BME_RS10485,32.143,196,114,5,3,193,4,185,1.50e-15,71.2
CC_0403,BME_RS00860,48.267,404,202,1,26,429,13,409,3.07e-109,325
CC_0405,BME_RS02280,41.772,158,92,0,19,176,11,168,3.62e-35,118
CC_0406,BME_RS02305,57.143,175,66,4,14,179,36,210,1.43e-60,185
CC_0407,BME_RS02310,50.000,182,88,3,28,207,26,206,3.14e-52,164
CC_0408,BME_RS02315,41.262,412,228,6,3,404,9,416,3.41e-97,294
CC_0417,BME_RS06295,54.435,248,110,2,1,247,22,267,1.43e-90,265
CC_0418,BME_RS02265,42.282,149,84,2,42,188,3,151,1.07e-32,111
CC_0419,BME_RS00110,36.175,481,288,9,1,469,17,490,2.11e-90,281
CC_0424,BME_RS05505,57.718,149,63,0,13,161,1,149,1.28e-63,189
CC_0425,BME_RS09480,30.620,258,175,2,170,426,44,298,2.22e-12,64.7
CC_0426,BME_RS10795,25.197,254,155,11,232,465,194,432,1.69e-08,53.1
CC_0427,BME_RS15170,63.421,380,134,2,1,379,1,376,2.24e-175,490
CC_0432,BME_RS10075,33.871,124,75,2,2,121,7,127,3.80e-16,68.6
CC_0436,BME_RS07890,41.463,82,47,1,3,83,6,87,1.56e-10,56.6
CC_0437,BME_RS10075,31.746,126,81,3,1,125,1,122,5.25e-15,65.5
CC_0440,BME_RS00290,30.556,144,91,2,17,155,5,144,1.97e-11,57.8
CC_0443,BME_RS12075,44.503,382,203,6,3,377,5,384,4.98e-97,291
CC_0444,BME_RS12070,44.737,342,182,3,26,363,5,343,6.67e-87,263
CC_0445,BME_RS13895,50.649,231,111,1,17,244,23,253,1.95e-68,208
CC_0448,BME_RS00905,32.892,529,343,4,298,814,191,719,4.79e-74,254
CC_0450,BME_RS07655,62.148,391,148,0,3,393,6,396,6.03e-152,444
CC_0453,BME_RS01855,53.651,315,131,7,36,335,24,338,8.49e-105,308
CC_0456,BME_RS09265,35.266,207,115,7,7,203,16,213,4.29e-22,86.7
CC_0457,BME_RS04525,60.484,124,47,2,5,126,3,126,1.05e-48,150
CC_0459,BME_RS04530,57.219,187,80,0,25,211,26,212,1.07e-77,229
CC_0460,BME_RS06400,44.950,505,212,11,3,458,8,495,1.10e-129,382
CC_0462,BME_RS04535,50.725,138,68,0,1,138,1,138,9.51e-50,153
CC_0463,BME_RS04540,43.750,80,37,1,12,83,38,117,9.87e-20,73.9
CC_0464,BME_RS04555,58.257,654,258,3,2,645,5,653,0.0,785
CC_0467,BME_RS09540,41.877,277,158,3,1,276,1,275,9.36e-64,199
CC_0468,BME_RS15540,27.917,240,155,7,35,270,25,250,1.32e-11,63.2
CC_0471,BME_RS02350,46.575,146,78,0,7,152,3,148,5.18e-47,147
CC_0472,BME_RS02365,51.667,180,74,1,12,178,8,187,2.07e-65,195
CC_0473,BME_RS02370,62.963,432,136,2,2,426,3,417,0.0,532
CC_0474,BME_RS02375,48.162,272,96,5,29,281,50,295,3.27e-68,210
CC_0479,BME_RS02395,65.489,368,124,2,1,366,1,367,5.16e-172,480
CC_0481,BME_RS07485,29.779,272,173,9,15,276,37,300,1.37e-28,107
CC_0484,BME_RS02400,44.792,192,97,3,1,187,1,188,1.99e-54,171
CC_0485,BME_RS02405,42.781,187,106,1,5,190,6,192,4.76e-49,155
CC_0487,BME_RS02415,69.231,312,94,2,1,312,1,310,1.07e-155,434
CC_0490,BME_RS02435,46.185,249,128,2,9,252,8,255,3.51e-74,224
CC_0491,BME_RS02440,42.234,367,183,8,1,357,4,351,4.66e-79,244
CC_0492,BME_RS02445,44.366,284,132,4,3,285,13,271,3.14e-70,216
CC_0493,BME_RS02455,33.333,153,102,0,16,168,14,166,1.34e-36,121
CC_0494,BME_RS12675,41.328,271,138,8,4,259,5,269,2.80e-44,147
CC_0496,BME_RS03730,50.581,172,84,1,1,172,1,171,5.21e-55,168
CC_0497,BME_RS03735,70.079,127,35,2,1,127,1,124,1.87e-37,120
CC_0502,BME_RS03740,75.092,1365,330,5,1,1356,1,1364,0.0,2100
CC_0503,BME_RS03745,71.510,1397,391,4,1,1394,1,1393,0.0,2040
CC_0506,BME_RS02335,61.856,291,105,3,6,290,13,303,5.41e-132,373
CC_0510,BME_RS01335,69.867,375,113,0,4,378,7,381,0.0,543
CC_0511,BME_RS07380,46.444,239,125,2,3,239,7,244,2.69e-61,189
CC_0514,BME_RS07115,70.270,74,22,0,15,88,1,74,2.25e-30,105
CC_0516,BME_RS00090,30.000,320,209,6,34,346,22,333,4.77e-29,111
CC_0519,BME_RS00610,51.575,254,113,4,3,247,8,260,6.69e-82,243
CC_0520,BME_RS00375,42.437,238,134,2,17,252,1,237,5.58e-58,183
CC_0521,BME_RS04875,55.357,112,50,0,1,112,1,112,4.60e-41,129
CC_0523,BME_RS11370,29.084,251,151,7,6,249,38,268,2.05e-23,92.8
CC_0526,BME_RS04725,31.818,154,99,4,1,152,1,150,3.14e-17,71.6
CC_0527,BME_RS08015,47.321,112,56,1,3,111,5,116,1.48e-30,102
CC_0528,BME_RS08020,53.061,343,160,1,3,345,5,346,2.64e-120,348
CC_0530,BME_RS08200,34.468,470,301,5,18,481,34,502,1.88e-79,254
CC_0532,BME_RS08505,26.446,363,219,9,21,378,35,354,3.81e-23,96.7
CC_0534,BME_RS12075,43.307,381,207,6,4,377,6,384,3.66e-90,273
CC_0535,BME_RS12070,44.807,337,183,3,24,358,8,343,1.77e-83,254
CC_0536,BME_RS13895,48.536,239,120,1,63,298,15,253,1.97e-68,210
CC_0537,BME_RS00905,32.892,529,343,4,324,840,191,719,1.13e-73,253
CC_0566,BME_RS02300,42.308,312,164,4,16,317,27,332,6.54e-73,225
CC_0573,BME_RS00090,31.195,343,225,9,6,344,3,338,6.29e-33,122
CC_0580,BME_RS02235,39.161,143,87,0,13,155,4,146,1.74e-29,102
CC_0582,BME_RS08645,32.979,470,270,14,13,455,26,477,1.82e-58,196
CC_0584,BME_RS08075,55.584,385,171,0,1,385,7,391,1.05e-149,426
CC_0586,BME_RS06670,40.400,250,138,3,327,573,525,766,2.83e-45,170
CC_0588,BME_RS10075,39.316,117,68,1,6,122,10,123,8.64e-21,80.9
CC_0591,BME_RS14065,33.333,120,76,2,8,127,7,122,2.04e-13,61.2
CC_0596,BME_RS10075,38.182,110,64,2,2,111,9,114,2.93e-16,68.6
CC_0597,BME_RS10075,34.028,144,74,7,14,150,10,139,8.65e-09,52.0
CC_0610,BME_RS10705,28.205,234,159,1,49,282,12,236,3.98e-27,103
CC_0611,BME_RS10710,40.000,235,113,4,25,259,20,226,5.76e-52,166
CC_0614,BME_RS14800,30.591,389,234,5,89,448,23,404,1.44e-45,166
CC_0615,BME_RS12915,33.922,283,177,7,9,287,4,280,1.63e-33,130
CC_0617,BME_RS06260,23.713,738,468,22,12,701,14,704,4.67e-24,104
CC_0618,BME_RS08775,45.378,238,125,2,8,242,226,461,5.47e-53,175
CC_0620,BME_RS12390,31.330,466,269,19,1,447,4,437,5.15e-46,166
CC_0621,BME_RS12385,33.571,140,91,1,37,176,212,349,2.55e-20,89.0
CC_0623,BME_RS12380,24.660,661,364,31,121,738,123,692,1.57e-24,107
CC_0629,BME_RS13525,36.316,190,120,1,242,431,284,472,2.28e-36,136
CC_0630,BME_RS09140,33.945,109,69,2,1,107,4,111,3.70e-11,53.1
CC_0634,BME_RS07100,41.322,242,138,2,4,244,5,243,2.30e-60,187
CC_0635,BME_RS07095,27.126,247,174,5,22,263,15,260,1.52e-24,95.5
CC_0637,BME_RS14180,30.493,223,152,2,115,335,104,325,8.74e-21,88.2
CC_0638,BME_RS04705,48.737,396,197,4,21,414,6,397,1.78e-123,360
CC_0640,BME_RS03725,65.502,229,77,1,1,227,1,229,1.23e-94,273
CC_0641,BME_RS03720,63.121,141,52,0,1,141,1,141,2.86e-67,197
