Abortus2308|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16230,AYT27_RS05780,40.206,97,57,1,132,227,49,145,3.74e-16,70.5
BAB_RS16240,AYT27_RS05025,25.962,1117,706,31,3,1042,16,1088,2.01e-83,290
BAB_RS16260,AYT27_RS00800,33.333,171,102,3,75,245,36,194,1.76e-26,97.8
BAB_RS16270,AYT27_RS00110,46.919,211,112,0,7,217,1,211,1.07e-72,216
BAB_RS16280,AYT27_RS00105,77.317,410,84,2,1,405,1,406,0.0,654
BAB_RS16290,AYT27_RS00100,52.410,166,79,0,1,166,1,166,1.69e-63,189
BAB_RS16315,AYT27_RS00285,44.000,175,97,1,1,174,1,175,3.68e-53,164
BAB_RS16325,AYT27_RS08080,39.462,223,124,3,9,225,9,226,2.04e-44,154
BAB_RS16335,AYT27_RS00040,63.218,261,76,4,1,245,1,257,2.78e-107,306
BAB_RS16360,AYT27_RS00575,80.179,893,177,0,1,893,1,893,0.0,1484
BAB_RS16365,AYT27_RS00570,49.735,189,95,0,1,189,1,189,8.68e-65,195
BAB_RS16370,AYT27_RS00565,48.421,190,98,0,1,190,1,190,7.12e-42,137
BAB_RS16375,AYT27_RS00560,53.586,237,110,0,15,251,15,251,1.32e-92,270
BAB_RS16385,AYT27_RS00550,47.799,159,73,2,42,200,45,193,1.03e-50,159
BAB_RS16390,AYT27_RS00495,77.451,612,135,1,1,609,1,612,0.0,1004
BAB_RS16430,AYT27_RS01255,25.991,227,142,7,77,284,262,481,1.24e-08,51.2
BAB_RS16440,AYT27_RS00955,42.917,240,132,2,3,241,4,239,1.39e-65,207
BAB_RS16445,AYT27_RS00460,57.448,2860,1186,9,15,2864,14,2852,0.0,3450
BAB_RS16450,AYT27_RS00455,80.645,434,84,0,1,434,1,434,0.0,755
BAB_RS16470,AYT27_RS02775,34.387,253,139,11,24,265,5,241,3.25e-28,104
BAB_RS16475,AYT27_RS02430,39.967,613,346,11,75,677,70,670,4.58e-145,438
BAB_RS16480,AYT27_RS02490,37.681,276,124,6,1,230,1,274,2.53e-56,176
BAB_RS16485,AYT27_RS01315,37.193,285,116,9,1,228,1,279,9.00e-54,170
BAB_RS16490,AYT27_RS01300,78.325,203,44,0,3,205,4,206,1.10e-117,329
BAB_RS16495,AYT27_RS01295,71.888,466,126,1,6,471,2,462,0.0,683
BAB_RS16500,AYT27_RS00030,68.916,978,294,2,1,978,1,968,0.0,1417
BAB_RS16505,AYT27_RS05475,37.166,374,219,6,7,371,14,380,2.11e-65,218
BAB_RS16510,AYT27_RS00205,79.401,801,161,2,14,813,13,810,0.0,1306
BAB_RS16530,AYT27_RS03835,25.410,244,149,12,29,266,27,243,1.84e-08,50.8
BAB_RS16550,AYT27_RS00305,25.112,223,149,6,206,412,355,575,2.43e-11,60.8
BAB_RS16565,AYT27_RS03030,29.245,106,73,1,18,121,5,110,5.94e-13,62.0
BAB_RS16575,AYT27_RS06030,49.268,205,89,3,17,206,14,218,2.27e-62,190
BAB_RS16580,AYT27_RS06895,71.579,190,54,0,1,190,1,190,2.05e-102,289
BAB_RS16585,AYT27_RS06890,44.720,161,88,1,19,178,1,161,3.59e-52,160
BAB_RS16590,AYT27_RS06885,70.141,355,106,0,1,355,1,355,0.0,530
BAB_RS16595,AYT27_RS06880,62.188,521,194,1,1,518,1,521,0.0,642
BAB_RS16605,AYT27_RS00510,64.286,350,125,0,1,350,413,762,3.25e-162,468
BAB_RS16610,AYT27_RS00505,67.692,910,288,4,1,906,1,908,0.0,1251
BAB_RS16620,AYT27_RS00050,46.203,158,84,1,1,157,1,158,2.17e-31,107
BAB_RS16625,AYT27_RS00055,66.182,275,93,0,22,296,4,278,1.56e-140,394
BAB_RS16630,AYT27_RS00060,70.684,307,83,2,74,380,11,310,1.12e-163,457
BAB_RS16635,AYT27_RS00065,40.000,90,54,0,1,90,1,90,1.42e-21,77.8
BAB_RS16640,AYT27_RS00070,80.220,91,18,0,1,91,1,91,1.23e-51,153
BAB_RS16645,AYT27_RS02180,29.825,228,139,5,29,241,1,222,1.04e-22,91.7
BAB_RS16650,AYT27_RS00075,41.237,194,111,2,36,227,22,214,4.43e-52,164
BAB_RS16655,AYT27_RS00080,48.734,158,78,2,47,201,37,194,4.44e-48,152
BAB_RS16660,AYT27_RS00085,79.592,245,50,0,33,277,20,264,8.97e-147,408
BAB_RS16675,AYT27_RS00095,75.974,154,37,0,1,154,1,154,2.76e-82,235
BAB_RS16680,AYT27_RS00390,51.899,79,38,0,3,81,5,83,2.25e-29,96.3
BAB_RS16685,AYT27_RS00395,55.714,140,62,0,1,140,1,140,2.26e-58,174
BAB_RS16695,AYT27_RS00400,64.935,231,81,0,14,244,5,235,5.69e-114,323
BAB_RS16700,AYT27_RS00185,51.948,231,111,0,1,231,1,231,1.40e-85,250
BAB_RS16715,AYT27_RS00280,66.514,218,71,2,1,217,1,217,1.52e-100,287
BAB_RS16720,AYT27_RS00275,74.928,347,87,0,10,356,10,356,0.0,521
BAB_RS16740,AYT27_RS00270,64.486,214,76,0,1,214,1,214,7.98e-104,295
BAB_RS16745,AYT27_RS00265,58.376,394,146,1,28,403,5,398,8.76e-168,472
BAB_RS16750,AYT27_RS06275,56.552,290,126,0,10,299,4,293,2.39e-107,310
BAB_RS16755,AYT27_RS06270,55.738,122,54,0,2,123,4,125,7.44e-45,138
BAB_RS16790,AYT27_RS02495,23.664,131,93,4,25,152,29,155,6.09e-09,48.9
BAB_RS16795,AYT27_RS06265,69.136,81,25,0,1,81,1,81,1.48e-36,114
BAB_RS16815,AYT27_RS00540,26.969,419,256,12,32,447,18,389,7.63e-34,127
BAB_RS16825,AYT27_RS05370,33.333,150,78,2,24,173,10,137,4.40e-18,82.4
BAB_RS16830,AYT27_RS01370,28.926,242,146,9,19,252,14,237,2.25e-17,75.9
BAB_RS16835,AYT27_RS04870,80.000,25,5,0,1,25,1,25,3.94e-08,38.5
BAB_RS16855,AYT27_RS04135,54.910,499,220,4,1,498,7,501,0.0,519
BAB_RS16865,AYT27_RS01985,28.972,214,151,1,21,233,8,221,2.90e-23,98.2
BAB_RS16870,AYT27_RS03835,23.988,321,233,10,29,342,25,341,1.11e-12,63.5
BAB_RS16905,AYT27_RS01985,32.833,466,294,9,17,474,21,475,6.77e-70,226
BAB_RS16925,AYT27_RS02520,59.091,198,81,0,4,201,3,200,2.89e-87,251
BAB_RS16930,AYT27_RS02525,61.024,254,99,0,1,254,1,254,1.57e-119,338
BAB_RS16935,AYT27_RS02530,47.692,65,34,0,1,65,1,65,4.45e-16,61.2
BAB_RS16940,AYT27_RS02535,52.366,317,144,4,2,316,3,314,6.60e-111,321
BAB_RS16945,AYT27_RS08510,46.127,284,126,4,20,285,12,286,2.31e-74,225
BAB_RS16950,AYT27_RS02320,28.062,449,311,6,249,688,508,953,3.95e-57,205
BAB_RS16970,AYT27_RS00955,40.408,245,139,4,1,243,3,242,3.06e-54,176
BAB_RS16995,AYT27_RS02030,22.983,409,245,16,12,381,5,382,1.59e-12,64.3
BAB_RS17015,AYT27_RS06520,27.304,293,177,8,58,342,13,277,9.81e-20,86.3
BAB_RS17040,AYT27_RS00965,28.920,287,192,4,2,284,8,286,1.67e-29,109
BAB_RS17045,AYT27_RS00960,26.459,257,182,4,33,284,24,278,2.75e-22,89.7
BAB_RS17050,AYT27_RS00955,58.197,244,101,1,1,243,1,244,1.95e-99,294
BAB_RS17075,AYT27_RS02775,34.524,252,146,8,3,244,2,244,2.07e-30,109
BAB_RS17080,AYT27_RS03790,28.249,177,119,5,75,248,7,178,8.72e-15,67.4
BAB_RS17105,AYT27_RS01505,55.584,385,169,1,1,385,1,383,2.31e-155,439
BAB_RS17115,AYT27_RS04635,47.692,65,34,0,1,65,1,65,1.50e-19,70.5
BAB_RS17125,AYT27_RS04640,48.239,284,142,3,4,286,10,289,1.75e-81,244
BAB_RS17200,AYT27_RS01500,56.338,71,31,0,1,71,1,71,4.39e-21,77.8
BAB_RS17255,AYT27_RS01955,80.000,25,5,0,1,25,1,25,1.36e-08,39.7
BAB_RS17260,AYT27_RS07240,48.214,56,29,0,13,68,34,89,2.90e-17,65.5
BAB_RS17265,AYT27_RS07245,53.883,206,88,1,6,204,23,228,4.87e-74,219
BAB_RS17270,AYT27_RS07250,88.889,72,8,0,1,72,1,72,3.97e-46,137
BAB_RS17295,AYT27_RS07395,68.372,430,134,1,1,428,1,430,0.0,602
BAB_RS17305,AYT27_RS07400,100.000,25,0,0,1,25,1,25,2.28e-11,46.6
BAB_RS17380,AYT27_RS00670,92.000,25,2,0,1,25,1,25,1.65e-12,49.7
BAB_RS17385,AYT27_RS05970,28.111,217,123,10,284,492,246,437,1.66e-11,61.6
BAB_RS17390,AYT27_RS00675,41.127,355,204,1,3,357,4,353,7.33e-96,287
BAB_RS17395,AYT27_RS00680,64.757,1030,357,2,10,1036,18,1044,0.0,1347
BAB_RS17440,AYT27_RS00690,59.633,545,220,0,3,547,8,552,0.0,697
BAB_RS17460,AYT27_RS08055,23.455,550,341,18,74,580,104,616,6.13e-19,86.3
BAB_RS17470,AYT27_RS08085,22.727,374,233,10,37,369,42,400,6.43e-10,55.8
BAB_RS17475,AYT27_RS00680,30.455,1054,668,23,4,1035,22,1032,7.64e-138,437
BAB_RS17485,AYT27_RS00215,46.947,262,136,1,19,280,31,289,7.03e-92,270
BAB_RS17500,AYT27_RS02500,27.350,234,157,5,198,426,544,769,1.63e-25,105
BAB_RS17505,AYT27_RS00545,59.429,175,67,1,1,175,1,171,6.14e-69,203
BAB_RS17510,AYT27_RS00540,60.253,395,157,0,3,397,2,396,0.0,527
BAB_RS17515,AYT27_RS04210,26.282,312,208,9,8,308,13,313,7.14e-20,84.0
BAB_RS17520,AYT27_RS00535,54.819,332,148,2,7,338,2,331,6.57e-132,375
BAB_RS17540,AYT27_RS01405,74.722,360,91,0,4,363,3,362,0.0,550
BAB_RS17550,AYT27_RS06220,42.045,88,49,1,1,88,1,86,2.41e-11,50.8
BAB_RS17565,AYT27_RS02015,54.571,361,163,1,4,364,3,362,5.78e-142,403
BAB_RS17590,AYT27_RS02500,23.971,413,276,10,625,1015,374,770,1.72e-26,112
BAB_RS17595,AYT27_RS02010,75.182,137,33,1,1,136,1,137,3.40e-72,208
BAB_RS17625,AYT27_RS05920,30.935,139,92,2,2,140,9,143,1.34e-09,53.5
BAB_RS17640,AYT27_RS03975,29.146,398,248,10,14,392,12,394,1.71e-49,168
BAB_RS17645,AYT27_RS02650,49.286,280,142,0,1,280,1,280,1.90e-95,279
BAB_RS17650,AYT27_RS02655,57.736,265,111,1,8,272,8,271,4.58e-114,325
BAB_RS17655,AYT27_RS06475,48.387,248,127,1,9,256,29,275,2.01e-84,249
BAB_RS17660,AYT27_RS02405,39.535,43,26,0,11,53,148,190,6.01e-09,45.4
BAB_RS17665,AYT27_RS08605,69.315,365,112,0,1,365,1,365,0.0,546
BAB_RS17670,AYT27_RS08610,69.512,410,125,0,1,410,1,410,0.0,591
BAB_RS17690,AYT27_RS00865,34.043,188,107,5,1,173,1,186,3.40e-29,102
BAB_RS17700,AYT27_RS04010,26.446,121,75,4,8,121,4,117,6.26e-08,45.4
BAB_RS17810,AYT27_RS00645,53.175,126,56,1,22,144,36,161,7.33e-45,140
BAB_RS17820,AYT27_RS04125,31.677,161,106,2,44,202,127,285,5.12e-22,87.0
BAB_RS17835,AYT27_RS02495,47.239,163,84,1,201,361,10,172,1.72e-52,168
BAB_RS17865,AYT27_RS02115,44.091,220,123,0,1,220,1,220,1.46e-61,188
BAB_RS17870,AYT27_RS02120,71.577,482,130,1,1,482,1,475,0.0,715
BAB_RS17875,AYT27_RS00325,23.235,439,243,15,15,428,5,374,6.29e-15,72.4
BAB_RS17880,AYT27_RS01280,35.644,101,56,2,297,397,47,138,1.84e-10,57.0
BAB_RS17885,AYT27_RS02130,39.098,133,79,1,1,131,1,133,6.41e-26,91.3
BAB_RS17890,AYT27_RS02135,75.403,248,61,0,2,249,5,252,1.18e-133,373
BAB_RS17895,AYT27_RS02140,97.183,71,2,0,5,75,6,76,9.10e-44,132
BAB_RS17900,AYT27_RS02145,50.495,202,83,2,1,202,1,185,1.85e-64,193
BAB_RS17905,AYT27_RS02150,53.049,164,72,1,1,159,1,164,1.02e-53,163
BAB_RS17910,AYT27_RS02200,61.860,215,82,0,1,215,1,215,4.08e-94,270
BAB_RS17935,AYT27_RS02190,43.214,280,157,1,14,291,16,295,3.52e-66,205
BAB_RS17945,AYT27_RS02180,63.103,290,100,2,447,736,1,283,2.94e-125,371
BAB_RS17950,AYT27_RS02175,58.566,251,104,0,10,260,9,259,3.24e-97,281
BAB_RS17960,AYT27_RS02170,68.731,323,101,0,16,338,34,356,1.05e-167,467
BAB_RS17965,AYT27_RS02165,42.984,563,314,2,12,574,8,563,3.02e-172,498
BAB_RS17970,AYT27_RS02160,83.000,300,50,1,1,299,7,306,0.0,540
BAB_RS17980,AYT27_RS02155,60.438,776,270,3,1,776,1,739,0.0,942
BAB_RS17985,AYT27_RS02205,57.367,319,132,1,5,323,4,318,8.33e-126,359
BAB_RS17990,AYT27_RS02210,60.860,465,182,0,6,470,5,469,0.0,599
BAB_RS18005,AYT27_RS02215,33.516,182,110,3,1,182,1,171,9.74e-28,99.0
BAB_RS18010,AYT27_RS04380,27.397,146,104,1,9,152,15,160,1.10e-11,59.3
BAB_RS18025,AYT27_RS02220,65.412,425,147,0,1,425,1,425,0.0,602
BAB_RS18030,AYT27_RS02225,59.281,334,135,1,1,333,1,334,3.13e-140,396
BAB_RS18035,AYT27_RS02235,70.443,203,59,1,2,203,5,207,8.72e-108,304
BAB_RS18045,AYT27_RS02240,60.952,315,103,3,1,311,1,299,5.18e-131,371
BAB_RS18050,AYT27_RS02245,84.559,272,42,0,1,272,1,272,6.45e-175,479
BAB_RS18055,AYT27_RS06315,27.049,122,85,2,6,126,5,123,4.13e-09,50.1
BAB_RS18060,AYT27_RS05910,73.913,69,18,0,1,69,1,69,1.18e-34,108
BAB_RS18085,AYT27_RS02250,78.729,362,77,0,1,362,1,362,0.0,584
BAB_RS18090,AYT27_RS02255,68.280,372,113,2,1,371,1,368,0.0,533
BAB_RS18100,AYT27_RS02260,66.667,84,28,0,1,84,1,84,9.31e-36,112
BAB_RS18125,AYT27_RS02265,75.238,630,155,1,1,629,1,630,0.0,975
BAB_RS18130,AYT27_RS02270,61.728,243,93,0,9,251,4,246,1.75e-99,286
BAB_RS18135,AYT27_RS02275,51.351,407,198,0,6,412,2,408,2.92e-149,426
BAB_RS18145,AYT27_RS08565,39.831,118,67,1,8,121,9,126,2.29e-29,99.4
BAB_RS18150,AYT27_RS00315,39.683,63,35,2,327,387,86,147,1.43e-09,52.4
BAB_RS18155,AYT27_RS02695,72.654,618,169,0,5,622,8,625,0.0,947
BAB_RS18160,AYT27_RS02700,64.091,220,79,0,20,239,1,220,5.01e-114,323
BAB_RS18165,AYT27_RS02705,60.377,265,105,0,5,269,7,271,8.17e-110,315
BAB_RS18170,AYT27_RS02710,64.634,246,87,0,1,246,4,249,7.73e-124,348
BAB_RS18175,AYT27_RS02715,78.512,484,104,0,11,494,11,494,0.0,805
BAB_RS18180,AYT27_RS02720,52.717,184,84,2,1,181,1,184,1.05e-59,181
BAB_RS18185,AYT27_RS02725,78.261,460,94,2,1,460,1,454,0.0,712
BAB_RS18190,AYT27_RS02730,69.000,500,149,3,1,500,1,494,0.0,707
BAB_RS18200,AYT27_RS02740,72.872,188,49,1,1,188,1,186,2.18e-98,279
BAB_RS18205,AYT27_RS02745,32.013,303,190,5,2,295,3,298,1.26e-33,122
BAB_RS18210,AYT27_RS02750,86.585,82,11,0,1,82,1,82,3.12e-51,151
BAB_RS18215,AYT27_RS02755,58.451,142,46,1,1,142,1,129,3.23e-57,171
BAB_RS18220,AYT27_RS02770,69.872,312,94,0,1,312,1,312,2.92e-158,441
BAB_RS18225,AYT27_RS02775,80.000,245,49,0,1,245,1,245,2.51e-148,410
BAB_RS18230,AYT27_RS02780,91.026,78,7,0,1,78,1,78,9.83e-46,137
BAB_RS18235,AYT27_RS02785,81.384,419,78,0,1,419,1,419,0.0,628
BAB_RS18240,AYT27_RS02790,59.337,332,135,0,57,388,32,363,1.17e-140,402
BAB_RS18250,AYT27_RS02795,61.463,205,77,1,12,216,17,219,8.21e-94,270
BAB_RS18255,AYT27_RS02280,70.488,471,138,1,1,470,1,471,0.0,687
BAB_RS18260,AYT27_RS02285,40.000,135,81,0,74,208,44,178,5.24e-37,123
BAB_RS18270,AYT27_RS00610,40.590,542,292,9,20,552,50,570,2.83e-126,381
BAB_RS18275,AYT27_RS02290,60.351,285,110,1,13,294,19,303,3.16e-125,356
BAB_RS18290,AYT27_RS00615,25.000,236,131,7,75,283,3,219,1.63e-08,49.7
BAB_RS18300,AYT27_RS08325,34.483,232,134,7,16,234,25,251,4.82e-36,124
BAB_RS18305,AYT27_RS02295,80.061,326,65,0,7,332,6,331,0.0,528
BAB_RS18310,AYT27_RS02300,57.367,319,136,0,1,319,1,319,3.64e-141,398
BAB_RS18315,AYT27_RS02305,67.808,146,47,0,2,147,6,151,4.85e-75,217
BAB_RS18320,AYT27_RS06930,37.671,146,80,3,9,145,6,149,9.06e-32,108
BAB_RS18325,AYT27_RS02310,28.631,241,156,6,24,261,51,278,1.96e-29,108
BAB_RS18330,AYT27_RS02315,53.368,193,90,0,8,200,2,194,7.33e-73,215
BAB_RS18335,AYT27_RS02320,54.123,946,430,2,18,960,11,955,0.0,1122
BAB_RS18345,AYT27_RS02325,70.616,422,124,0,1,422,1,422,0.0,637
BAB_RS18350,AYT27_RS02330,63.715,463,168,0,1,463,1,463,0.0,635
BAB_RS18360,AYT27_RS02320,23.984,246,181,4,281,523,709,951,1.75e-21,94.4
BAB_RS18370,AYT27_RS02350,51.515,231,108,2,1,227,1,231,9.19e-82,240
BAB_RS18380,AYT27_RS02355,70.213,376,112,0,1,376,1,376,0.0,576
BAB_RS18390,AYT27_RS02360,57.803,346,143,1,7,352,24,366,1.36e-141,402
BAB_RS18395,AYT27_RS02365,43.030,165,93,1,1,165,1,164,6.31e-50,154
BAB_RS18400,AYT27_RS02370,58.696,184,75,1,34,217,34,216,3.13e-75,222
BAB_RS18410,AYT27_RS06100,25.000,260,177,6,27,274,32,285,1.33e-13,65.5
BAB_RS18420,AYT27_RS02375,77.088,886,203,0,1,886,1,886,0.0,1413
BAB_RS18435,AYT27_RS02415,38.672,256,155,1,3,258,2,255,2.10e-64,198
BAB_RS18440,AYT27_RS05960,30.667,150,97,4,71,215,49,196,1.83e-09,52.4
BAB_RS18475,AYT27_RS02410,88.000,25,3,0,1,25,1,25,1.43e-12,49.7
BAB_RS18505,AYT27_RS04890,36.111,108,69,0,60,167,63,170,1.29e-17,74.7
BAB_RS18515,AYT27_RS06570,31.776,214,124,9,45,239,21,231,2.55e-14,67.4
BAB_RS18525,AYT27_RS06145,28.571,343,227,8,31,360,33,370,8.39e-41,143
BAB_RS18600,AYT27_RS07655,28.571,336,222,9,5,326,6,337,3.24e-24,100
BAB_RS18620,AYT27_RS01235,25.000,504,309,22,27,484,23,503,8.95e-23,97.1
BAB_RS18670,AYT27_RS01985,34.388,474,304,6,6,476,4,473,3.10e-83,261
BAB_RS18690,AYT27_RS05940,27.632,152,83,4,28,154,6,155,1.95e-11,54.7
BAB_RS18735,AYT27_RS06030,45.532,235,110,4,4,238,1,217,6.67e-67,203
BAB_RS18750,AYT27_RS02405,75.758,198,48,0,1,198,1,198,8.83e-115,321
BAB_RS18760,AYT27_RS02400,63.135,689,254,0,9,697,7,695,0.0,945
BAB_RS18765,AYT27_RS02395,63.235,136,50,0,1,136,1,136,2.52e-61,181
BAB_RS18785,AYT27_RS04230,30.000,450,261,13,16,420,42,482,3.74e-29,115
BAB_RS18790,AYT27_RS02390,58.209,134,56,0,1,134,1,134,8.70e-58,172
BAB_RS18800,AYT27_RS02500,36.145,249,154,2,309,557,527,770,3.51e-46,170
BAB_RS18805,AYT27_RS02380,27.852,298,150,11,32,322,43,282,6.59e-26,100
BAB_RS18820,AYT27_RS02420,37.356,174,109,0,1,174,1,174,1.26e-45,144
BAB_RS18825,AYT27_RS02425,41.294,201,114,1,1,201,1,197,1.87e-53,166
BAB_RS18830,AYT27_RS02430,59.169,698,272,4,13,704,6,696,0.0,852
BAB_RS18930,AYT27_RS02435,40.351,57,34,0,42,98,21,77,7.98e-16,62.4
BAB_RS18935,AYT27_RS02440,71.946,221,62,0,1,221,1,221,6.05e-123,344
BAB_RS18940,AYT27_RS02445,49.078,434,219,1,1,432,35,468,3.48e-151,433
BAB_RS18950,AYT27_RS02450,31.068,206,139,2,73,275,36,241,2.53e-27,104
BAB_RS18955,AYT27_RS02455,44.604,139,76,1,22,159,16,154,2.90e-39,127
BAB_RS18960,AYT27_RS02460,55.371,661,287,4,3,659,3,659,0.0,698
BAB_RS18965,AYT27_RS02465,48.344,151,76,1,1,151,1,149,4.60e-36,118
BAB_RS18970,AYT27_RS02470,63.022,503,169,6,13,510,10,500,0.0,613
BAB_RS18975,AYT27_RS02475,80.617,227,44,0,1,227,1,227,2.03e-134,373
BAB_RS18980,AYT27_RS02480,61.957,460,175,0,2,461,1,460,0.0,570
BAB_RS18985,AYT27_RS02485,58.154,975,405,3,7,980,2,974,0.0,1144
BAB_RS18995,AYT27_RS02500,50.130,772,376,5,1,766,1,769,0.0,759
BAB_RS19000,AYT27_RS02505,57.062,885,368,6,1,883,1,875,0.0,1056
BAB_RS19015,AYT27_RS02510,49.645,282,127,2,7,288,8,274,5.83e-102,295
BAB_RS19020,AYT27_RS06250,67.928,555,169,1,9,563,7,552,0.0,805
BAB_RS19085,AYT27_RS08285,31.333,150,81,7,166,298,167,311,1.54e-10,56.6
BAB_RS19090,AYT27_RS06340,37.221,403,170,10,1,321,1,402,7.16e-77,237
BAB_RS19095,AYT27_RS06335,80.000,30,6,0,1,30,1,30,2.20e-11,47.0
BAB_RS19100,AYT27_RS06340,40.436,413,184,10,1,362,1,402,1.44e-93,281
BAB_RS19120,AYT27_RS02585,50.963,675,317,4,12,683,37,700,0.0,715
BAB_RS19125,AYT27_RS02590,65.753,292,100,0,1,292,1,292,2.33e-140,394
BAB_RS19130,AYT27_RS02595,81.646,158,29,0,1,158,1,158,1.43e-96,271
BAB_RS19135,AYT27_RS02600,68.720,211,65,1,4,213,11,221,1.09e-109,310
BAB_RS19145,AYT27_RS02605,76.866,134,28,2,1,133,1,132,1.90e-68,198
BAB_RS19150,AYT27_RS02610,79.467,750,145,2,1,750,1,741,0.0,1241
BAB_RS19155,AYT27_RS02615,68.229,192,61,0,1,192,1,192,5.41e-97,275
BAB_RS19165,AYT27_RS00265,29.319,191,133,2,45,235,3,191,3.97e-21,90.5
BAB_RS19180,AYT27_RS02620,38.776,196,111,2,1,187,1,196,4.91e-45,144
BAB_RS19185,AYT27_RS02625,66.412,131,44,0,1,131,1,131,8.95e-65,189
BAB_RS19190,AYT27_RS02630,67.213,244,80,0,7,250,8,251,4.86e-118,335
BAB_RS19195,AYT27_RS02635,63.927,219,79,0,11,229,9,227,2.98e-102,292
BAB_RS19200,AYT27_RS02640,71.380,297,85,0,13,309,3,299,9.40e-162,449
BAB_RS19205,AYT27_RS02645,59.149,235,96,0,1,235,1,235,6.00e-103,295
BAB_RS19215,AYT27_RS02660,62.255,204,76,1,1,203,1,204,4.63e-92,264
BAB_RS19220,AYT27_RS02665,41.549,284,163,2,1,282,1,283,1.80e-68,210
BAB_RS19225,AYT27_RS02670,75.057,441,110,0,1,441,1,441,0.0,698
BAB_RS19240,AYT27_RS02675,44.037,109,61,0,19,127,15,123,6.70e-31,103
BAB_RS19245,AYT27_RS01040,30.769,104,66,5,22,123,18,117,1.11e-08,46.6
BAB_RS19265,AYT27_RS02685,64.000,500,176,3,7,504,3,500,0.0,668
BAB_RS19280,AYT27_RS07050,37.931,203,125,1,361,562,464,666,1.06e-41,155
BAB_RS19285,AYT27_RS02800,72.826,276,74,1,1,275,1,276,3.31e-150,417
