Melitensis16M|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00160,SMc00684,61.257,382,138,3,5,385,8,380,1.19e-156,444
BME_RS00165,SMc00688,60.870,69,27,0,10,78,9,77,3.71e-27,91.7
BME_RS00170,SMc00689,48.747,359,155,8,24,366,28,373,4.88e-109,327
BME_RS00175,SMc00690,71.609,317,90,0,1,317,1,317,6.96e-176,487
BME_RS00180,SMc00691,60.797,301,112,3,7,306,9,304,7.72e-127,362
BME_RS00185,SMc00692,36.957,46,29,0,1,46,1,46,1.58e-08,43.1
BME_RS00190,SMc00695,52.273,176,84,0,15,190,14,189,5.86e-64,194
BME_RS00195,SMc00696,70.442,362,107,0,13,374,13,374,0.0,519
BME_RS00200,SMc00697,66.588,422,141,0,4,425,11,432,0.0,572
BME_RS00205,SMc00698,64.286,98,28,1,6,103,2,92,5.83e-39,123
BME_RS00210,SMc00699,63.934,183,63,2,28,209,2,182,2.97e-84,245
BME_RS00215,SMc00700,87.462,327,41,0,1,327,1,327,0.0,603
BME_RS00220,SMc00701,71.197,618,175,2,8,622,1,618,0.0,915
BME_RS00230,SM_b20729,42.478,113,59,3,15,126,17,124,1.30e-19,79.7
BME_RS00235,SMc04128,65.850,735,212,5,110,805,9,743,0.0,868
BME_RS00240,SMc00109,46.154,130,70,0,6,135,22,151,7.45e-38,124
BME_RS00245,SMc00705,37.349,249,147,4,23,267,22,265,1.05e-54,175
BME_RS00250,SMc00704,79.167,96,20,0,1,96,1,96,3.22e-54,161
BME_RS00255,SMc00703,54.359,195,78,3,23,210,14,204,8.87e-52,164
BME_RS00285,SMc03821,51.765,170,82,0,11,180,13,182,1.42e-57,176
BME_RS00290,SMc03820,83.700,227,37,0,1,227,1,227,1.50e-136,380
BME_RS00295,SMc03819,47.020,151,79,1,1,150,1,151,1.88e-41,133
BME_RS00300,SMc03818,65.299,268,92,1,1,267,1,268,3.13e-132,372
BME_RS00305,SMc03809,68.023,172,54,1,60,230,48,219,2.40e-84,248
BME_RS00310,SMc01870,74.123,228,58,1,1,228,1,227,1.67e-114,324
BME_RS00320,SMc00717,78.995,219,46,0,1,219,9,227,6.52e-122,342
BME_RS00325,SMc00716,62.245,294,111,0,33,326,31,324,1.49e-115,335
BME_RS00330,SMc00715,44.103,195,106,2,101,295,32,223,1.43e-54,175
BME_RS00335,SMc00714,59.302,258,105,0,2,259,1,258,2.03e-111,319
BME_RS00340,SMc03239,82.386,176,31,0,1,176,1,176,4.87e-111,311
BME_RS00345,SMc03238,50.000,96,48,0,1,96,1,96,4.31e-31,103
BME_RS00355,SMc00713,58.182,165,69,0,6,170,6,170,2.38e-62,189
BME_RS00360,SMc00712,25.000,328,240,6,14,339,14,337,8.85e-25,100
BME_RS00365,SMc00711,74.333,300,77,0,5,304,4,303,6.15e-165,459
BME_RS00370,SMc00710,74.022,358,93,0,10,367,8,365,0.0,528
BME_RS00375,SMc00709,69.710,241,73,0,1,241,4,244,3.92e-125,353
BME_RS00380,SMc00719,70.455,176,52,0,1,176,11,186,1.21e-86,250
BME_RS00385,SMc00722,44.163,908,447,23,1,874,1,882,0.0,610
BME_RS00390,SMc00723,71.496,421,120,0,1,421,1,421,0.0,627
BME_RS00400,SMc00725,81.779,461,84,0,2,462,6,466,0.0,784
BME_RS00405,SMc00726,54.589,207,84,1,29,235,21,217,1.22e-72,218
BME_RS00410,SMc01271,50.685,146,71,1,10,155,2,146,1.51e-41,134
BME_RS00415,SMc00734,58.633,278,115,0,1,278,1,278,5.77e-107,310
BME_RS00420,SMc00733,62.687,268,100,0,9,276,6,273,3.02e-117,335
BME_RS00425,SMc00732,45.763,59,32,0,1,59,1,59,7.37e-12,52.4
BME_RS00430,SMc00731,73.958,192,47,1,1,192,1,189,3.93e-102,291
BME_RS00435,SM_b20938,73.529,238,63,0,15,252,8,245,3.71e-134,375
BME_RS00440,SM_b20939,75.926,108,26,0,1,108,2,109,2.17e-59,176
BME_RS00445,SM_b20940,83.700,227,37,0,1,227,1,227,9.13e-138,384
BME_RS00450,SMc00729,79.518,249,50,1,1,248,1,249,3.08e-137,383
BME_RS00455,SMc00728,78.964,309,65,0,1,309,1,309,1.57e-168,468
BME_RS00460,SMc00727,80.969,289,55,0,3,291,2,290,3.77e-179,493
BME_RS00465,SMc00421,76.730,318,74,0,9,326,3,320,1.61e-172,479
BME_RS00475,SMc01666,80.896,424,81,0,1,424,1,424,0.0,709
BME_RS00490,SM_b20323,31.250,192,118,3,25,208,18,203,8.43e-20,82.0
BME_RS00500,SMc02121,70.683,249,73,0,3,251,10,258,1.86e-138,387
BME_RS00505,SMc00149,45.372,443,237,3,11,451,14,453,4.44e-120,357
BME_RS00510,SMc01967,31.674,221,122,5,106,311,137,343,2.56e-24,99.4
BME_RS00515,SM_b21096,52.778,252,118,1,5,256,6,256,6.97e-90,265
BME_RS00520,SMa0081,37.306,193,121,0,22,214,20,212,1.86e-40,136
BME_RS00525,SM_b20430,33.333,162,108,0,1,162,54,215,4.95e-29,104
BME_RS00530,SMc03891,30.328,244,158,2,23,265,20,252,7.68e-31,113
BME_RS00535,SMa0498,27.667,300,202,7,12,305,1,291,4.94e-15,71.6
BME_RS00555,SM_b21211,51.487,538,260,1,2,539,17,553,0.0,543
BME_RS00560,SMc00742,53.699,419,191,1,6,424,5,420,1.26e-162,462
BME_RS00570,SMc04458,76.185,907,210,2,1,906,1,902,0.0,1442
BME_RS00580,SMc02451,50.752,266,129,1,51,316,19,282,4.69e-94,278
BME_RS00585,SMc02450,75.303,413,102,0,1,413,20,432,0.0,598
BME_RS00590,SMc02449,45.528,246,129,2,5,247,61,304,4.09e-70,215
BME_RS00595,SMc02448,78.519,135,29,0,4,138,1,135,1.07e-77,224
BME_RS00600,SMc02447,35.714,84,42,3,26,99,24,105,1.22e-08,46.2
BME_RS00610,SMc00708,62.055,253,96,0,8,260,4,256,3.35e-110,316
BME_RS00615,SMc03853,73.077,208,54,1,13,220,5,210,5.97e-104,296
BME_RS00620,SMc03854,58.076,551,140,12,1,465,1,546,0.0,525
BME_RS00625,SMc03855,65.647,425,142,1,3,427,4,424,0.0,542
BME_RS00630,SMc03856,73.010,289,77,1,1,288,6,294,9.04e-150,420
BME_RS00635,SMc02475,39.506,162,94,2,20,177,18,179,1.05e-20,82.0
BME_RS00640,SMc02478,61.968,376,143,0,12,387,7,382,5.32e-169,475
BME_RS00645,SMc02479,87.812,320,39,0,1,320,1,320,0.0,556
BME_RS00650,SMc02480,88.665,397,45,0,1,397,1,397,0.0,686
BME_RS00655,SMc02481,89.667,300,31,0,1,300,1,300,0.0,515
BME_RS00660,SMc02482,80.578,1004,188,2,1,1004,1,997,0.0,1691
BME_RS00665,SMc02483,76.739,417,88,2,1,408,1,417,0.0,627
BME_RS00675,SMc02484,79.343,213,42,1,1,211,1,213,3.12e-120,337
BME_RS00680,SMc02485,29.054,148,97,5,29,175,24,164,2.32e-13,62.4
BME_RS00685,SMc02487,77.564,468,104,1,1,467,1,468,0.0,744
BME_RS00690,SMc02488,47.619,315,160,3,19,331,44,355,3.33e-90,271
BME_RS00695,SMc02489,67.846,311,99,1,5,315,21,330,5.30e-140,396
BME_RS00700,SMc03860,61.236,178,69,0,1,178,1,178,5.36e-67,201
BME_RS00705,SMc03861,72.646,223,59,1,12,232,3,225,8.80e-116,328
BME_RS00710,SMc00080,48.416,221,109,2,1,216,1,221,3.66e-69,209
BME_RS00740,SMc03863,70.629,143,41,1,3,145,2,143,2.72e-65,194
BME_RS00745,SMc03823,90.192,469,46,0,1,469,1,469,0.0,868
BME_RS00755,SMc02463,58.594,128,53,0,5,132,3,130,2.70e-52,159
BME_RS00760,SMc02464,64.800,125,44,0,7,131,2,126,6.42e-57,171
BME_RS00765,SMc02465,82.871,613,94,4,8,613,5,613,0.0,1043
BME_RS00770,SMc02466,87.259,259,33,0,1,259,1,259,6.31e-176,482
BME_RS00775,SMa1358,48.780,123,63,0,1,123,1,123,6.27e-37,119
BME_RS00780,SMc03804,68.227,406,124,2,14,414,3,408,0.0,534
BME_RS00785,SMc03805,72.281,285,78,1,10,294,6,289,8.05e-153,427
BME_RS00790,SMc03807,53.415,410,176,5,35,431,39,446,1.79e-128,376
BME_RS00795,SMc03808,83.685,521,85,0,292,812,354,874,0.0,891
BME_RS00800,SM_b20039,58.969,446,182,1,36,481,20,464,0.0,525
BME_RS00805,SM_b20040,65.385,286,98,1,1,285,1,286,5.25e-127,360
BME_RS00810,SMc03226,66.019,206,70,0,12,217,8,213,1.62e-96,278
BME_RS00815,SMc03227,77.698,139,30,1,1,138,1,139,6.11e-82,235
BME_RS00820,SMc03228,57.895,95,38,1,1,93,1,95,3.85e-34,110
BME_RS00825,SMc03229,45.231,325,174,3,4,325,10,333,2.92e-77,237
BME_RS00830,SMc03230,72.778,360,97,1,1,359,1,360,0.0,533
BME_RS00835,SMc03231,63.259,313,110,1,1,313,1,308,2.46e-137,389
BME_RS00840,SMc03232,38.559,236,137,4,3,232,2,235,1.56e-33,118
BME_RS00845,SMc03233,33.784,222,136,2,214,435,221,431,2.59e-23,99.4
BME_RS00850,SMc03234,49.180,549,249,5,1,523,1,545,2.60e-161,467
BME_RS00855,SMc03235,39.437,142,80,1,1,142,1,136,1.19e-33,114
BME_RS00860,SMc03237,61.250,400,155,0,10,409,8,407,1.41e-174,491
BME_RS00865,SMc02445,62.937,286,106,0,10,295,4,289,4.45e-115,331
BME_RS00870,SMc02444,51.724,232,112,0,29,260,13,244,1.37e-75,228
BME_RS00875,SMc02443,61.446,83,31,1,1,82,4,86,5.01e-30,99.8
BME_RS00880,SMc02442,62.454,269,101,0,3,271,2,270,9.14e-124,352
BME_RS00885,SMc02441,47.183,142,74,1,1,141,1,142,1.61e-50,155
BME_RS00895,SMc02440,67.611,247,80,0,1,247,1,247,4.79e-125,352
BME_RS00900,SMc02438,86.288,423,58,0,1,423,1,423,0.0,744
BME_RS00905,SMc02437,72.487,756,207,1,1,756,1,755,0.0,1122
BME_RS00910,SMc02436,76.338,355,84,0,4,358,4,358,0.0,558
BME_RS00915,SMc02435,48.754,281,144,0,9,289,5,285,6.48e-86,257
BME_RS00920,SMc02434,57.037,135,39,2,27,142,31,165,2.89e-40,136
BME_RS00925,SMc02433,80.533,863,166,1,1,861,1,863,0.0,1417
BME_RS00930,SMc01575,48.963,482,196,11,10,477,9,454,1.04e-131,386
BME_RS00935,SMc02432,51.817,633,297,6,12,639,12,641,0.0,647
BME_RS00950,SMc03074,88.000,25,3,0,1,25,1,25,8.62e-10,44.3
BME_RS00955,SMc03220,69.032,155,41,2,104,252,87,240,4.98e-53,198
BME_RS00960,SMc03221,81.579,38,7,0,1,38,2,39,3.41e-14,56.2
BME_RS00965,SMc03075,100.000,25,0,0,1,25,1,25,1.43e-11,48.5
BME_RS00985,SMc03779,93.333,30,2,0,1,30,1,30,8.28e-16,59.7
BME_RS00990,SMc03770,71.287,101,25,1,1,97,1,101,9.81e-47,145
BME_RS00995,SMc03772,86.207,87,12,0,1,87,3,89,4.52e-50,150
BME_RS01005,SM_b21153,31.325,166,110,2,13,177,4,166,9.64e-17,71.2
BME_RS01010,SMc01708,43.956,91,51,0,137,227,1201,1291,5.31e-10,56.2
BME_RS01015,SMc03775,78.528,326,70,0,1,326,41,366,1.73e-163,459
BME_RS01020,SMc03776,70.321,374,111,0,3,376,6,379,0.0,516
BME_RS01025,SMc03777,72.066,426,119,0,1,426,1,426,0.0,620
BME_RS01030,SMc03778,70.466,193,57,0,24,216,1,193,5.30e-98,281
BME_RS01035,SMc03780,65.957,94,32,0,15,108,59,152,7.29e-44,138
BME_RS01040,SMc03781,59.195,174,57,1,1,174,1,160,3.17e-69,205
BME_RS01050,SMc03782,47.932,411,207,1,46,449,50,460,2.92e-122,361
BME_RS01055,SMc03783,70.522,441,127,1,1,441,1,438,0.0,626
BME_RS01060,SMc03785,73.006,163,44,0,15,177,4,166,1.22e-90,259
BME_RS01065,SMc02320,59.524,84,34,0,1,84,1,84,1.05e-28,96.3
BME_RS01070,SMa1162,31.980,197,118,6,8,200,16,200,4.95e-12,60.5
BME_RS01075,SMc00780,63.014,292,108,0,1,292,1,292,1.37e-137,388
BME_RS01080,SMc00781,71.084,498,144,0,1,498,1,498,0.0,736
BME_RS01090,SMc04084,62.630,289,104,1,6,294,5,289,1.23e-118,340
BME_RS01095,SMc04083,70.952,210,61,0,4,213,18,227,7.50e-119,334
BME_RS01100,SMc04411,70.342,263,75,2,13,274,12,272,2.56e-137,385
BME_RS01105,SMc03857,81.950,482,85,1,1,482,1,480,0.0,694
BME_RS01110,SMc03858,76.250,80,19,0,8,87,6,85,5.40e-40,126
BME_RS01115,SMc03859,79.612,103,20,1,1,102,1,103,3.69e-60,179
BME_RS01120,SMc00853,40.373,161,86,3,15,175,2,152,2.46e-32,113
BME_RS01135,SMc04085,52.592,1582,714,12,34,1600,31,1591,0.0,1576
BME_RS01140,SMc04087,61.233,454,175,1,19,471,8,461,0.0,559
BME_RS01145,SMc04088,72.862,538,144,1,1,538,1,536,0.0,764
BME_RS01150,SMc04089,47.059,561,292,2,14,573,3,559,6.72e-167,484
BME_RS01155,SMc04090,56.009,466,197,4,2,464,7,467,1.93e-172,490
BME_RS01160,SMc04091,69.231,325,94,2,1,325,1,319,2.74e-151,425
BME_RS01165,SMc04092,72.549,51,14,0,22,72,34,84,4.46e-16,63.5
BME_RS01170,SMc04093,84.308,650,100,1,1,650,1,648,0.0,1143
BME_RS01175,SMc00137,56.627,83,36,0,13,95,6,88,1.10e-36,117
BME_RS01185,SMc02812,69.266,218,67,0,3,220,2,219,6.08e-108,307
BME_RS01190,SMc02804,73.810,882,218,4,1,876,1,875,0.0,1350
BME_RS01195,SMc02803,40.217,184,91,7,1,180,1,169,5.74e-26,96.3
BME_RS01200,SMc02495,85.253,217,32,0,1,217,1,217,1.75e-139,386
BME_RS01205,SMc02496,62.939,313,105,3,1,312,1,303,7.34e-113,356
BME_RS01215,SMc02498,73.118,186,50,0,1,186,3,188,9.82e-94,268
BME_RS01220,SMc02499,92.534,509,38,0,1,509,1,509,0.0,952
BME_RS01225,SMc02500,79.592,294,58,2,1,292,1,294,2.27e-161,448
BME_RS01230,SMc02501,84.902,510,60,1,1,510,1,493,0.0,852
BME_RS01235,SMc02502,58.519,135,55,1,1,135,3,136,2.11e-54,165
BME_RS01240,SMc00562,53.191,141,66,0,1,141,1,141,5.36e-49,152
BME_RS01245,SMa0062,34.127,126,83,0,29,154,8,133,5.61e-16,72.0
BME_RS01250,SM_b20267,52.812,409,193,0,10,418,5,413,1.20e-150,431
BME_RS01255,SM_b20268,77.879,330,73,0,1,330,1,330,0.0,547
BME_RS01260,SMc01951,78.477,302,63,1,1,302,1,300,1.76e-175,484
BME_RS01265,SMc01950,78.214,459,99,1,1,459,4,461,0.0,706
BME_RS01270,SMc01949,80.000,260,52,0,7,266,10,269,8.22e-156,440
BME_RS01275,SMc01948,81.092,238,45,0,11,248,4,241,2.23e-141,394
BME_RS01280,SMc01947,59.649,114,46,0,1,114,1,114,1.55e-47,145
BME_RS01285,SMc01946,71.351,370,106,0,1,370,1,370,0.0,569
BME_RS01295,SMc03895,84.508,1149,177,1,8,1156,3,1150,0.0,2008
BME_RS01300,SMc03889,59.474,380,152,1,18,397,1,378,6.13e-145,414
BME_RS01305,SM_b21010,58.984,256,105,0,8,263,3,258,3.70e-109,313
BME_RS01310,SMc03888,86.308,409,56,0,11,419,8,416,0.0,694
BME_RS01315,SMc03884,68.350,297,94,0,8,304,8,304,1.85e-116,335
BME_RS01320,SMc03883,61.321,212,82,0,39,250,49,260,1.29e-94,276
BME_RS01325,SMc03881,93.220,59,4,0,1,59,1,59,1.13e-37,117
BME_RS01335,SMc03879,80.577,381,73,1,1,381,1,380,0.0,627
BME_RS01340,SMc03877,73.467,848,221,2,11,854,6,853,0.0,1251
BME_RS01345,SMc03876,57.377,122,48,2,15,132,10,131,8.08e-41,130
BME_RS01350,SMc03875,82.143,112,20,0,1,112,1,112,1.59e-66,193
BME_RS01355,SMc03874,85.864,191,25,2,1,191,1,189,5.31e-116,325
BME_RS01360,SMc03873,62.222,270,102,0,34,303,10,279,2.75e-119,342
BME_RS01370,SMc03872,62.791,473,174,2,23,493,25,497,0.0,599
BME_RS01375,SMc03871,48.291,234,121,0,3,236,2,235,8.01e-71,214
BME_RS01380,SMc03870,52.790,466,212,1,54,511,38,503,5.77e-146,428
BME_RS01385,SMc03869,68.506,308,97,0,27,334,34,341,1.20e-161,452
BME_RS01390,SMc03867,49.029,206,105,0,2,207,4,209,7.15e-71,213
BME_RS01400,SMc03866,69.440,589,175,2,1,585,1,588,0.0,814
BME_RS01405,SMc04009,63.291,79,29,0,7,85,2,80,8.01e-22,79.0
BME_RS01410,SMc04007,60.938,256,100,0,13,268,4,259,2.15e-102,296
BME_RS01415,SMc04006,69.118,136,40,2,6,141,5,138,4.69e-67,198
BME_RS01420,SMc04005,79.749,479,96,1,1,478,1,479,0.0,771
BME_RS01425,SMc04004,49.133,173,88,0,57,229,32,204,1.07e-56,177
BME_RS01435,SMc04002,64.602,339,119,1,19,357,11,348,1.66e-159,448
BME_RS01440,SMc04001,85.443,158,23,0,5,162,9,166,5.79e-82,236
BME_RS01445,SMc04000,74.627,67,17,0,1,67,1,67,2.10e-25,86.7
BME_RS01450,SMc03999,58.929,56,23,0,1,56,1,56,3.86e-18,67.4
BME_RS01455,SMc03987,54.188,382,175,0,29,410,30,411,3.26e-136,394
BME_RS01460,SMc03988,52.381,63,29,1,1,63,1,62,4.58e-13,55.1
BME_RS01465,SMc00034,57.055,326,139,1,9,333,1,326,3.04e-119,344
BME_RS01470,SMc04094,75.758,231,54,1,1,229,1,231,5.08e-130,363
BME_RS01475,SMc01805,31.522,92,62,1,37,127,46,137,4.20e-08,46.6
BME_RS01480,SMc00107,40.678,177,88,4,1,168,1,169,2.69e-28,105
BME_RS01490,SMc04095,68.661,635,197,1,1,633,1,635,0.0,894
BME_RS01495,SMc03986,50.000,46,23,0,20,65,2,47,1.88e-11,51.2
BME_RS01500,SMc03981,70.529,397,116,1,1,396,1,397,0.0,546
BME_RS01505,SMc03979,80.952,336,63,1,1,335,1,336,0.0,555
BME_RS01510,SMc03978,75.189,661,163,1,1,661,1,660,0.0,976
BME_RS01515,SMc03977,64.773,88,31,0,3,90,2,89,1.12e-31,103
BME_RS01520,SMc03976,59.664,119,48,0,1,119,1,119,1.07e-47,147
BME_RS01525,SMc03974,54.891,184,83,0,10,193,5,188,6.69e-66,198
BME_RS01530,SMc03973,81.439,264,49,0,10,273,1,264,2.79e-164,453
BME_RS01535,SMc03171,68.852,244,76,0,4,247,1,244,1.88e-109,313
BME_RS01545,SMc00964,33.557,149,92,2,33,174,17,165,9.86e-12,58.5
BME_RS01550,SMc03258,33.180,217,138,5,1,212,1,215,6.78e-25,95.9
BME_RS01555,SMc03969,82.661,248,43,0,1,248,1,248,8.65e-156,430
BME_RS01560,SMc03990,79.452,73,15,0,1,73,1,73,4.09e-41,126
BME_RS01565,SMc03991,66.438,584,196,0,95,678,11,594,0.0,726
BME_RS01570,SMc03992,72.595,343,93,1,1,343,3,344,0.0,507
BME_RS01575,SMc03993,63.068,352,125,3,1,347,1,352,2.62e-138,395
BME_RS01580,SMc03994,69.582,263,80,0,1,263,1,263,1.98e-136,382
BME_RS01585,SMc00357,46.237,186,100,0,1,186,2,187,4.18e-60,183
BME_RS01590,SMc03995,46.474,312,167,0,37,348,68,379,7.98e-88,267
BME_RS01595,SMc03996,59.906,212,84,1,11,221,6,217,9.11e-83,243
BME_RS01600,SMc04381,53.631,358,166,0,9,366,19,376,1.42e-140,403
BME_RS01605,SMc03989,57.927,164,68,1,4,166,7,170,1.70e-58,179
BME_RS01610,SMc03967,78.235,170,35,1,1,170,1,168,7.97e-91,259
BME_RS01615,SMc03966,80.488,205,40,0,1,205,1,205,3.25e-103,294
BME_RS01620,SMc03965,81.844,347,61,2,1,346,1,346,0.0,556
BME_RS01625,SMc03960,49.286,140,69,2,8,146,5,143,5.51e-41,132
BME_RS01630,SMc03958,80.342,234,45,1,1,234,1,233,5.63e-135,377
BME_RS01635,SMc03957,77.852,149,33,0,1,149,1,149,2.60e-74,216
BME_RS01640,SMc03956,54.945,364,148,8,1,356,1,356,7.76e-112,327
BME_RS01645,SMc04461,75.289,433,105,2,11,443,6,436,0.0,681
BME_RS01650,SMc02942,80.606,165,32,0,3,167,11,175,1.19e-83,241
BME_RS01660,SMc02941,37.457,291,158,5,210,488,67,345,9.15e-52,176
BME_RS01665,SMc02940,35.388,438,245,14,20,442,22,436,3.15e-49,171
BME_RS01670,SMc04459,80.989,647,116,5,1,642,1,645,0.0,1038
BME_RS01675,SMc00637,72.889,450,122,0,9,458,1,450,0.0,682
BME_RS01680,SMc00638,43.956,273,131,5,14,272,9,273,5.77e-67,207
BME_RS01690,SMc00640,81.841,391,71,0,1,391,1,391,0.0,660
BME_RS01695,SMc00641,78.491,530,114,0,1,530,1,530,0.0,858
BME_RS01705,SMc00643,75.000,432,105,2,1,429,1,432,0.0,678
BME_RS01710,SMc00644,41.108,343,168,6,156,464,399,741,1.31e-65,222
BME_RS01715,SMa1328,31.234,397,251,8,19,400,8,397,7.77e-47,165
BME_RS01725,SMc00359,72.876,306,83,0,1,306,22,327,2.86e-151,424
BME_RS01730,SMc01162,60.268,224,89,0,1,224,26,249,2.21e-96,281
BME_RS01740,SMc00131,52.000,150,72,0,5,154,1,150,2.49e-54,166
BME_RS01745,SMc00461,70.270,148,44,0,9,156,12,159,7.55e-73,213
BME_RS01750,SMc04350,57.963,383,157,2,28,407,36,417,3.07e-144,414
BME_RS01755,SMc04351,70.745,376,108,1,8,381,2,377,0.0,544
BME_RS01760,SMc04351,68.145,248,79,0,19,266,400,647,6.96e-116,343
BME_RS01765,SMc04328,39.565,230,130,3,26,255,25,245,1.73e-51,166
BME_RS01770,SMc01515,31.373,102,69,1,182,282,205,306,6.69e-12,62.0
BME_RS01775,SMc02084,64.964,137,47,1,1,137,1,136,7.43e-57,172
BME_RS01780,SMc02085,52.542,295,125,2,21,304,12,302,3.48e-90,270
BME_RS01800,SMc01509,37.500,104,55,3,21,117,20,120,3.17e-12,56.6
BME_RS01810,SM_b20515,29.146,199,125,8,237,433,943,1127,4.57e-09,56.2
BME_RS01815,SMc01506,79.429,175,36,0,15,189,8,182,2.19e-105,298
BME_RS01820,SMc01505,66.667,39,13,0,27,65,11,49,7.63e-15,59.7
BME_RS01825,SMc01504,75.379,264,65,0,1,264,1,264,1.06e-145,406
BME_RS01830,SMc00796,75.472,53,13,0,1,53,1,53,2.20e-14,57.8
BME_RS01835,SM_b20515,30.769,286,183,8,49,329,877,1152,1.90e-30,119
BME_RS01840,SMc02510,59.055,127,52,0,14,140,15,141,1.11e-51,158
BME_RS01850,SMc00648,40.310,129,67,2,26,154,6,124,3.29e-20,78.6
BME_RS01855,SMc00647,65.957,329,110,2,15,343,13,339,8.05e-154,433
BME_RS01860,SMc00646,80.731,301,58,0,1,301,1,301,0.0,507
BME_RS01865,SMc01229,62.112,161,60,1,5,164,3,163,3.47e-68,202
BME_RS01870,SMc02581,73.883,716,186,1,10,725,4,718,0.0,1109
BME_RS01875,SMc00735,63.287,286,105,0,4,289,9,294,2.64e-131,372
BME_RS01880,SMc00736,54.460,213,97,0,1,213,1,213,2.05e-71,214
BME_RS01885,SMc00737,79.474,190,34,1,1,190,1,185,1.97e-115,323
BME_RS01890,SMc00738,47.826,161,83,1,8,167,7,167,7.17e-46,145
BME_RS01900,SMc02780,62.630,479,177,1,2,478,1,479,0.0,640
BME_RS01905,SM_b20682,24.017,229,173,1,42,269,38,266,6.08e-17,76.3
BME_RS01920,SMc03074,88.000,25,3,0,1,25,1,25,8.62e-10,44.3
BME_RS01925,SMc03220,79.070,129,27,0,104,232,87,215,1.17e-52,197
BME_RS01930,SMc03221,81.579,38,7,0,1,38,2,39,3.41e-14,56.2
BME_RS01935,SMc03075,100.000,25,0,0,1,25,1,25,1.43e-11,48.5
BME_RS01940,SMc03116,53.061,49,23,0,1,49,1,49,8.89e-10,58.5
BME_RS01955,SM_b20713,45.455,473,257,1,1,472,39,511,6.49e-139,407
BME_RS01960,SM_b20854,43.807,331,171,5,2,327,3,323,4.98e-74,229
BME_RS01965,SM_b20712,35.640,289,172,8,1,282,1,282,1.37e-44,152
BME_RS01970,SMc02041,42.188,128,73,1,4,131,3,129,3.04e-24,95.5
BME_RS01975,SM_b20314,88.485,330,38,0,1,330,1,330,0.0,550
BME_RS01980,SM_b20313,81.132,212,40,0,1,212,15,226,5.99e-123,345
BME_RS01990,SM_b20307,55.869,213,94,0,1,213,2,214,8.05e-76,225
BME_RS02005,SMc00604,35.507,138,73,4,65,202,91,212,1.34e-13,64.3
BME_RS02010,SMa1096,34.228,149,83,6,56,198,9,148,1.96e-11,57.4
BME_RS02020,SM_b20073,29.150,247,170,3,10,255,39,281,2.99e-27,104
BME_RS02025,SMc02037,36.653,251,155,3,52,298,2,252,2.19e-41,141
BME_RS02035,SMc00767,80.000,75,15,0,1,75,1,75,2.23e-40,125
BME_RS02040,SMc00768,92.774,429,31,0,1,429,1,429,0.0,837
BME_RS02045,SMc00769,81.395,43,8,0,1,43,1,43,1.79e-18,73.2
BME_RS02050,SMc00769,65.012,423,146,2,1,422,49,470,0.0,553
BME_RS02055,SMc00770,70.799,363,106,0,5,367,2,364,0.0,548
BME_RS02060,SMc00771,72.032,379,105,1,1,379,2,379,0.0,578
BME_RS02065,SMc00772,69.967,303,91,0,1,303,1,303,5.40e-149,417
BME_RS02070,SMc00773,81.716,268,49,0,3,270,2,269,7.31e-164,452
