S_meliloti|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20137,SM_b20137,100.000,313,0,0,1,313,1,313,0.0,650
SM_b20138,SM_b20138,100.000,308,0,0,1,308,1,308,0.0,643
SM_b20139,SM_b20139,100.000,164,0,0,1,164,1,164,1.74e-117,327
SM_b20140,SM_b20140,100.000,293,0,0,1,293,1,293,0.0,602
SM_b20141,SM_b20141,100.000,548,0,0,1,548,1,548,0.0,1105
SM_b20142,SM_b20142,100.000,307,0,0,1,307,1,307,0.0,603
SM_b20143,SM_b20143,100.000,304,0,0,1,304,1,304,0.0,592
SM_b20144,SM_b20144,100.000,501,0,0,1,501,1,501,0.0,1028
SM_b20145,SM_b20145,100.000,395,0,0,1,395,1,395,0.0,808
SM_b20146,SM_b20146,100.000,321,0,0,1,321,1,321,0.0,650
SM_b20147,SM_b20147,100.000,368,0,0,1,368,1,368,0.0,739
SM_b20148,SM_b20148,100.000,233,0,0,1,233,1,233,7.12e-171,467
SM_b20149,SM_b20149,100.000,343,0,0,1,343,1,343,0.0,671
SM_b20150,SM_b20150,100.000,279,0,0,1,279,1,279,0.0,560
SM_b20151,SM_b20151,100.000,205,0,0,1,205,1,205,9.89e-154,421
SM_b20152,SM_b20152,100.000,572,0,0,1,572,1,572,0.0,1159
SM_b20153,SM_b20153,100.000,547,0,0,1,547,1,547,0.0,1073
SM_b20154,SM_b20154,100.000,328,0,0,1,328,1,328,0.0,659
SM_b20155,SM_b20155,100.000,616,0,0,1,616,1,616,0.0,1207
SM_b20156,SM_b20156,100.000,377,0,0,1,377,1,377,0.0,776
SM_b20157,SM_b20157,100.000,374,0,0,1,374,1,374,0.0,767
SM_b20158,SM_b20158,100.000,374,0,0,1,374,1,374,0.0,768
SM_b20159,SM_b20159,100.000,294,0,0,1,294,1,294,0.0,589
SM_b20161,SM_b20161,100.000,116,0,0,1,116,1,116,5.44e-83,235
SM_b20162,SM_b20162,100.000,229,0,0,1,229,1,229,8.08e-173,472
SM_b20163,SM_b20163,100.000,389,0,0,1,389,1,389,0.0,780
SM_b20164,SM_b20164,100.000,747,0,0,1,747,1,747,0.0,1519
SM_b20165,SM_b20165,100.000,223,0,0,1,223,1,223,9.85e-165,451
SM_b20166,SM_b20166,100.000,117,0,0,1,117,1,117,1.96e-83,236
SM_b20167,SM_b20167,100.000,270,0,0,1,270,1,270,0.0,549
SM_b20168,SM_b20168,100.000,365,0,0,1,365,1,365,0.0,737
SM_b20169,SM_b20169,100.000,213,0,0,1,213,1,213,3.86e-159,436
SM_b20170,SM_b20170,100.000,375,0,0,1,375,1,375,0.0,767
SM_b20171,SM_b20171,100.000,280,0,0,1,280,1,280,0.0,581
SM_b20172,SM_b20172,100.000,136,0,0,1,136,1,136,1.29e-96,271
SM_b20173,SM_b20173,100.000,601,0,0,1,601,1,601,0.0,1233
SM_b20174,SM_b20174,100.000,176,0,0,1,176,1,176,7.61e-133,366
SM_b20175,SM_b20175,100.000,288,0,0,1,288,1,288,0.0,588
SM_b20176,SM_b20176,100.000,181,0,0,1,181,1,181,1.14e-133,369
SM_b20177,SM_b20177,100.000,173,0,0,1,173,1,173,1.78e-125,347
SM_b20178,SM_b20178,100.000,395,0,0,1,395,1,395,0.0,808
SM_b20179,SM_b20179,100.000,324,0,0,1,324,1,324,0.0,652
SM_b20180,SM_b20180,100.000,159,0,0,1,159,1,159,5.89e-115,320
SM_b20181,SM_b20181,100.000,323,0,0,1,323,1,323,0.0,652
SM_b20182,SM_b20182,100.000,259,0,0,1,259,1,259,0.0,513
SM_b20183,SM_b20183,100.000,207,0,0,1,207,1,207,1.83e-146,403
SM_b20184,SM_b20184,100.000,242,0,0,1,242,1,242,1.12e-175,480
SM_b20185,SM_b20185,100.000,263,0,0,1,263,1,263,0.0,516
SM_b20186,SM_b20186,100.000,189,0,0,1,189,1,189,4.10e-144,396
SM_b20194,SM_b20194,100.000,188,0,0,1,188,1,188,2.63e-142,391
SM_b20195,SM_b20195,100.000,228,0,0,1,228,1,228,1.50e-168,461
SM_b20196,SM_b20196,100.000,311,0,0,1,311,1,311,0.0,634
SM_b20197,SM_b20197,100.000,129,0,0,1,129,1,129,9.89e-99,276
SM_b20198,SM_b20198,100.000,486,0,0,1,486,1,486,0.0,1011
SM_b20199,SM_b20199,100.000,359,0,0,1,359,1,359,0.0,741
SM_b20200,SM_b20200,100.000,694,0,0,1,694,1,694,0.0,1418
SM_b20201,SM_b20201,100.000,289,0,0,1,289,1,289,0.0,602
SM_b20202,SM_b20202,100.000,349,0,0,1,349,1,349,0.0,712
SM_b20203,SM_b20203,100.000,313,0,0,1,313,1,313,0.0,624
SM_b20204,SM_b20204,100.000,31,0,0,1,31,1,31,2.89e-19,68.6
SM_b20205,SM_b20205,100.000,303,0,0,1,303,1,303,0.0,618
SM_b20206,SM_b20206,100.000,256,0,0,1,256,1,256,0.0,520
SM_b20207,SM_b20207,100.000,98,0,0,1,98,1,98,1.13e-65,190
SM_b20208,SM_b20208,100.000,375,0,0,1,375,1,375,0.0,774
SM_b20209,SM_b20209,100.000,79,0,0,1,79,1,79,4.69e-54,159
SM_b20210,SM_b20210,100.000,237,0,0,1,237,1,237,8.90e-177,482
SM_b20211,SM_b20211,100.000,310,0,0,1,310,1,310,0.0,617
SM_b20212,SM_b20212,100.000,226,0,0,1,226,1,226,3.19e-170,465
SM_b20213,SM_b20213,100.000,627,0,0,1,627,1,627,0.0,1260
SM_b20214,SM_b20214,100.000,267,0,0,1,267,1,267,0.0,531
SM_b20215,SM_b20215,100.000,326,0,0,1,326,1,326,0.0,655
SM_b20216,SM_b20216,100.000,348,0,0,1,348,1,348,0.0,711
SM_b20217,SM_b20217,100.000,221,0,0,1,221,1,221,2.11e-162,445
SM_b20218,SM_b20218,100.000,454,0,0,1,454,1,454,0.0,906
SM_b20219,SM_b20219,100.000,245,0,0,1,245,1,245,3.25e-178,487
SM_b20221,SM_b20221,100.000,344,0,0,1,344,1,344,0.0,697
SM_b20222,SM_b20222,100.000,140,0,0,1,140,1,140,4.49e-100,280
SM_b20225,SM_b20225,100.000,228,0,0,1,228,1,228,1.45e-164,451
SM_b20226,SM_b20226,100.000,57,0,0,1,57,1,57,3.44e-38,118
SM_b20227,SM_b20227,100.000,192,0,0,1,192,1,192,1.82e-137,379
SM_b20228,SM_b20228,100.000,139,0,0,1,139,1,139,2.13e-95,268
SM_b20229,SM_b20229,100.000,324,0,0,1,324,1,324,0.0,647
SM_b20230,SM_b20230,100.000,334,0,0,1,334,1,334,0.0,678
SM_b20231,SM_b20231,100.000,451,0,0,1,451,1,451,0.0,925
SM_b20232,SM_b20232,100.000,314,0,0,1,314,1,314,0.0,624
SM_b20233,SM_b20233,100.000,282,0,0,1,282,1,282,0.0,557
SM_b20234,SM_b20234,100.000,398,0,0,1,398,1,398,0.0,828
SM_b20235,SM_b20235,100.000,363,0,0,1,363,1,363,0.0,727
SM_b20236,SM_b20236,100.000,114,0,0,1,114,1,114,1.67e-79,226
SM_b20238,SM_b20238,100.000,264,0,0,1,264,1,264,0.0,543
SM_b20239,SM_b20239,100.000,346,0,0,1,346,1,346,0.0,717
SM_b20240,SM_b20240,100.000,372,0,0,1,372,1,372,0.0,749
SM_b20241,SM_b20241,100.000,361,0,0,1,361,1,361,0.0,733
SM_b20242,SM_b20242,100.000,376,0,0,1,376,1,376,0.0,765
SM_b20243,SM_b20243,100.000,383,0,0,1,383,1,383,0.0,765
SM_b20244,SM_b20244,100.000,373,0,0,1,373,1,373,0.0,757
SM_b20245,SM_b20245,100.000,368,0,0,1,368,1,368,0.0,747
SM_b20246,SM_b20246,100.000,330,0,0,1,330,1,330,0.0,671
SM_b20247,SM_b20247,100.000,337,0,0,1,337,1,337,0.0,679
SM_b20248,SM_b20248,100.000,582,0,0,1,582,1,582,0.0,1160
SM_b20249,SM_b20249,100.000,367,0,0,1,367,1,367,0.0,749
SM_b20250,SM_b20250,100.000,199,0,0,1,199,1,199,9.93e-146,400
SM_b20251,SM_b20251,100.000,320,0,0,1,320,1,320,0.0,656
SM_b20252,SM_b20252,100.000,454,0,0,1,454,1,454,0.0,929
SM_b20253,SM_b20253,100.000,301,0,0,1,301,1,301,0.0,621
SM_b20254,SM_b20254,100.000,91,0,0,1,91,1,91,1.49e-61,179
SM_b20255,SM_b20255,100.000,183,0,0,1,183,1,183,3.73e-131,362
SM_b20256,SM_b20256,100.000,149,0,0,1,149,1,149,1.67e-108,302
SM_b20257,SM_b20257,100.000,352,0,0,1,352,1,352,0.0,677
SM_b20258,SM_b20258,100.000,236,0,0,1,236,1,236,2.86e-174,476
SM_b20259,SM_b20259,100.000,320,0,0,1,320,1,320,0.0,659
SM_b20260,SM_b20260,100.000,130,0,0,1,130,1,130,1.77e-82,235
SM_b20261,SM_b20261,100.000,345,0,0,1,345,1,345,0.0,686
SM_b20262,SM_b20262,100.000,505,0,0,1,505,1,505,0.0,1014
SM_b20263,SM_b20263,100.000,268,0,0,1,268,1,268,0.0,549
SM_b20264,SM_b20264,100.000,221,0,0,1,221,1,221,1.60e-161,442
SM_b20265,SM_b20265,100.000,217,0,0,1,217,1,217,1.01e-154,425
SM_b20266,SM_b20266,100.000,240,0,0,1,240,1,240,1.03e-180,493
SM_b20267,SM_b20267,100.000,413,0,0,1,413,1,413,0.0,817
SM_b20268,SM_b20268,100.000,333,0,0,1,333,1,333,0.0,687
SM_b20269,SM_b20269,100.000,563,0,0,1,563,1,563,0.0,1121
SM_b20270,SM_b20270,100.000,342,0,0,1,342,1,342,0.0,692
SM_b20271,SM_b20271,100.000,143,0,0,1,143,1,143,3.01e-104,291
SM_b20272,SM_b20272,100.000,402,0,0,1,402,1,402,0.0,783
SM_b20273,SM_b20273,100.000,61,0,0,1,61,1,61,1.70e-39,121
SM_b20274,SM_b20274,100.000,61,0,0,1,61,1,61,2.40e-40,123
SM_b20275,SM_b20275,100.000,286,0,0,1,286,1,286,0.0,571
SM_b20276,SM_b20276,100.000,296,0,0,1,296,1,296,0.0,587
SM_b20277,SM_b20277,100.000,447,0,0,1,447,1,447,0.0,899
SM_b20278,SM_b20278,100.000,192,0,0,1,192,1,192,7.56e-145,398
SM_b20279,SM_b20279,100.000,167,0,0,1,167,1,167,5.63e-122,338
SM_b20280,SM_b20280,100.000,488,0,0,1,488,1,488,0.0,1001
SM_b20281,SM_b20281,100.000,356,0,0,1,356,1,356,0.0,732
SM_b20282,SM_b20282,100.000,263,0,0,1,263,1,263,0.0,524
SM_b20283,SM_b20283,100.000,327,0,0,1,327,1,327,0.0,648
SM_b20284,SM_b20284,100.000,366,0,0,1,366,1,366,0.0,755
SM_b20285,SM_b20285,100.000,325,0,0,1,325,1,325,0.0,639
SM_b20286,SM_b20286,100.000,359,0,0,1,359,1,359,0.0,722
SM_b20287,SM_b20287,100.000,235,0,0,1,235,1,235,3.16e-162,445
SM_b20288,SM_b20288,100.000,466,0,0,1,466,1,466,0.0,926
SM_b20289,SM_b20289,100.000,449,0,0,1,449,1,449,0.0,868
SM_b20290,SM_b20290,100.000,331,0,0,1,331,1,331,0.0,651
SM_b20291,SM_b20291,100.000,827,0,0,1,827,1,827,0.0,1633
SM_b20292,SM_b20292,100.000,327,0,0,1,327,1,327,0.0,673
SM_b20293,SM_b20293,100.000,119,0,0,1,119,1,119,3.24e-85,241
SM_b20294,SM_b20294,100.000,233,0,0,1,233,1,233,1.73e-171,469
SM_b20295,SM_b20295,100.000,323,0,0,1,323,1,323,0.0,662
SM_b20296,SM_b20296,100.000,172,0,0,1,172,1,172,3.78e-122,339
SM_b20297,SM_b20297,100.000,426,0,0,1,426,1,426,0.0,823
SM_b20298,SM_b20298,100.000,311,0,0,1,311,1,311,0.0,629
SM_b20299,SM_b20299,100.000,299,0,0,1,299,1,299,0.0,607
SM_b20300,SM_b20300,100.000,637,0,0,1,637,1,637,0.0,1275
SM_b20301,SM_b20301,100.000,376,0,0,1,376,1,376,0.0,752
SM_b20302,SM_b20302,100.000,53,0,0,1,53,1,53,6.31e-29,94.4
SM_b20303,SM_b20303,100.000,75,0,0,1,75,1,75,2.04e-51,152
SM_b20304,SMc03089,100.000,198,0,0,1,198,4,201,3.29e-148,407
SM_b20305,SM_b20783,100.000,135,0,0,1,135,1,135,1.29e-98,276
SM_b20306,SMc05010,100.000,123,0,0,1,123,39,161,4.45e-86,245
SM_b20307,SM_b20307,100.000,215,0,0,1,215,1,215,1.47e-151,417
SM_b20312,SM_b20312,100.000,695,0,0,1,695,1,695,0.0,1419
SM_b20313,SM_b20313,100.000,227,0,0,1,227,1,227,2.35e-161,442
SM_b20314,SM_b20314,100.000,330,0,0,1,330,1,330,0.0,665
SM_b20315,SM_b20315,100.000,328,0,0,1,328,1,328,0.0,639
SM_b20316,SM_b20316,100.000,333,0,0,1,333,1,333,0.0,677
SM_b20317,SM_b20317,100.000,516,0,0,1,516,1,516,0.0,1030
SM_b20318,SM_b20318,100.000,343,0,0,1,343,1,343,0.0,665
SM_b20319,SM_b20319,100.000,405,0,0,1,405,1,405,0.0,796
SM_b20320,SM_b20320,100.000,331,0,0,1,331,1,331,0.0,663
SM_b20321,SM_b20321,100.000,421,0,0,1,421,1,421,0.0,818
SM_b20322,SM_b20322,100.000,201,0,0,1,201,1,201,6.54e-146,401
SM_b20323,SM_b20323,100.000,219,0,0,1,219,1,219,4.27e-159,436
SM_b20324,SM_b20324,100.000,338,0,0,1,338,1,338,0.0,681
SM_b20325,SM_b20325,100.000,423,0,0,1,423,1,423,0.0,864
SM_b20326,SM_b20326,100.000,328,0,0,1,328,1,328,0.0,649
SM_b20327,SM_b20327,100.000,276,0,0,1,276,1,276,0.0,533
SM_b20328,SM_b20328,100.000,342,0,0,1,342,1,342,0.0,702
SM_b20329,SM_b20329,100.000,270,0,0,1,270,1,270,0.0,555
SM_b20330,SM_b20330,100.000,365,0,0,1,365,1,365,0.0,744
SM_b20331,SM_b20331,100.000,118,0,0,1,118,1,118,5.34e-80,228
SM_b20332,SM_b20332,100.000,313,0,0,1,313,1,313,0.0,646
SM_b20333,SM_b20333,100.000,706,0,0,1,706,1,706,0.0,1417
SM_b20334,SM_b20334,100.000,303,0,0,1,303,1,303,0.0,627
SM_b20335,SM_b20335,100.000,426,0,0,1,426,1,426,0.0,867
SM_b20336,SM_b20336,100.000,263,0,0,1,263,1,263,0.0,513
SM_b20337,SM_b20337,100.000,203,0,0,1,203,1,203,3.55e-151,415
SM_b20338,SM_b20338,100.000,407,0,0,1,407,1,407,0.0,788
SM_b20339,SM_b20339,100.000,160,0,0,1,160,1,160,4.35e-112,312
SM_b20340,SM_b20340,100.000,59,0,0,1,59,1,59,1.09e-38,119
SM_b20341,SM_b20341,100.000,61,0,0,1,61,1,61,4.56e-39,120
SM_b20342,SM_b20342,100.000,737,0,0,1,737,1,737,0.0,1482
SM_b20343,SM_b20343,100.000,152,0,0,1,152,1,152,3.02e-113,315
SM_b20344,SM_b20344,100.000,318,0,0,1,318,1,318,0.0,652
SM_b20345,SM_b20345,100.000,1049,0,0,1,1049,1,1049,0.0,2110
SM_b20346,SM_b20346,100.000,384,0,0,1,384,1,384,0.0,771
SM_b20347,SM_b20347,100.000,202,0,0,1,202,1,202,1.56e-150,413
SM_b20348,SM_b20348,100.000,275,0,0,1,275,1,275,0.0,560
SM_b20349,SM_b20349,100.000,313,0,0,1,313,1,313,0.0,635
SM_b20350,SM_b20350,100.000,214,0,0,1,214,1,214,3.44e-157,431
SM_b20351,SM_b20351,100.000,516,0,0,1,516,1,516,0.0,1033
SM_b20352,SM_b20352,100.000,354,0,0,1,354,1,354,0.0,691
SM_b20353,SM_b20353,100.000,344,0,0,1,344,1,344,0.0,707
SM_b20354,SM_b20354,100.000,639,0,0,1,639,1,639,0.0,1294
SM_b20355,SM_b20355,100.000,252,0,0,1,252,1,252,0.0,513
SM_b20356,SM_b20356,100.000,917,0,0,1,917,1,917,0.0,1852
SM_b20357,SM_b20357,100.000,121,0,0,1,121,1,121,4.42e-86,243
SM_b20358,SM_b20358,100.000,520,0,0,1,520,1,520,0.0,1034
SM_b20359,SM_b20359,100.000,431,0,0,1,431,1,431,0.0,860
SM_b20360,SM_b20360,100.000,243,0,0,1,243,1,243,1.38e-179,490
SM_b20361,SM_b20361,100.000,265,0,0,1,265,1,265,0.0,538
SM_b20362,SM_b20362,100.000,266,0,0,1,266,1,266,0.0,536
SM_b20363,SM_b20363,100.000,353,0,0,1,353,1,353,0.0,713
SM_b20364,SM_b20364,100.000,742,0,0,1,742,1,742,0.0,1454
SM_b20365,SM_b20365,100.000,342,0,0,1,342,1,342,0.0,703
SM_b20366,SM_b20366,100.000,334,0,0,1,334,1,334,0.0,682
SM_b20367,SM_b20367,100.000,230,0,0,1,230,1,230,3.88e-173,473
SM_b20368,SM_b20368,100.000,337,0,0,1,337,1,337,0.0,659
SM_b20369,SM_b20369,100.000,413,0,0,1,413,1,413,0.0,823
SM_b20370,SM_b20370,100.000,226,0,0,1,226,1,226,5.07e-162,444
SM_b20371,SM_b20371,100.000,148,0,0,1,148,1,148,5.61e-108,301
SM_b20372,SM_b20372,100.000,425,0,0,1,425,1,425,0.0,814
SM_b20373,SM_b20373,100.000,155,0,0,1,155,1,155,1.06e-109,306
SM_b20374,SM_b20374,100.000,330,0,0,1,330,1,330,0.0,666
SM_b20375,SM_b20375,100.000,256,0,0,1,256,1,256,0.0,512
