S_meliloti|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20265,AYT27_RS05405,24.510,204,153,1,12,214,32,235,6.12e-17,72.8
SM_b20266,AYT27_RS05410,56.017,241,104,1,1,239,5,245,1.14e-87,256
SM_b20277,AYT27_RS00540,30.930,430,239,12,18,445,22,395,1.17e-51,175
SM_b20281,AYT27_RS00955,49.187,246,122,2,4,246,3,248,2.31e-81,248
SM_b20299,AYT27_RS02590,24.912,285,211,2,3,284,2,286,1.20e-17,77.0
SM_b20317,AYT27_RS05410,30.303,231,142,4,14,239,6,222,1.73e-24,98.2
SM_b20325,AYT27_RS00970,24.790,238,157,10,125,350,132,359,8.93e-08,49.3
SM_b20326,AYT27_RS00965,27.891,294,188,7,32,320,16,290,1.13e-21,89.0
SM_b20327,AYT27_RS00960,28.839,267,158,9,23,269,24,278,1.28e-17,76.6
SM_b20328,AYT27_RS00955,50.859,291,130,4,1,281,1,288,3.52e-98,290
SM_b20330,AYT27_RS06150,28.426,197,129,4,7,203,4,188,2.38e-14,68.6
SM_b20335,AYT27_RS03975,29.301,372,225,12,25,371,10,368,4.26e-41,146
SM_b20345,AYT27_RS00680,24.595,1049,735,25,18,1038,24,1044,1.58e-66,239
SM_b20346,AYT27_RS00675,23.684,304,210,7,54,354,69,353,2.12e-09,54.3
SM_b20351,AYT27_RS04245,27.027,259,176,4,9,254,2,260,8.98e-31,116
SM_b20353,AYT27_RS06150,23.333,330,221,12,7,327,6,312,1.98e-10,56.6
SM_b20356,AYT27_RS02500,30.456,417,228,10,271,646,374,769,7.19e-49,181
SM_b20357,AYT27_RS04010,35.043,117,76,0,3,119,4,120,7.28e-26,90.1
SM_b20358,AYT27_RS05965,32.105,190,112,5,171,358,6,180,2.07e-19,83.2
SM_b20362,AYT27_RS07800,37.306,193,118,2,43,232,36,228,1.12e-31,114
SM_b20363,AYT27_RS00955,41.438,292,157,4,13,301,8,288,1.98e-70,219
SM_b20368,AYT27_RS08085,25.753,365,203,12,21,322,34,393,2.59e-15,72.0
SM_b20369,AYT27_RS04515,25.658,304,201,7,129,410,120,420,4.26e-29,113
SM_b20370,AYT27_RS08080,51.232,203,97,2,20,222,26,226,1.44e-60,197
SM_b20378,AYT27_RS01985,30.968,465,296,8,31,482,24,476,1.86e-73,236
SM_b20379,AYT27_RS00540,25.908,413,258,11,37,447,23,389,8.62e-34,127
SM_b20380,AYT27_RS00955,42.657,286,156,2,6,291,4,281,7.32e-75,231
SM_b20388,AYT27_RS03835,28.746,327,189,12,30,324,27,341,6.81e-15,70.1
SM_b20389,AYT27_RS02320,28.659,164,116,1,170,332,521,684,2.46e-11,60.5
SM_b20409,AYT27_RS02775,30.370,270,157,5,4,273,3,241,3.69e-29,107
SM_b20415,AYT27_RS00165,23.794,311,206,11,4,294,14,313,2.42e-09,53.9
SM_b20416,AYT27_RS00970,46.604,427,216,6,4,424,13,433,1.09e-133,387
SM_b20417,AYT27_RS00965,58.188,287,120,0,6,292,8,294,1.52e-123,351
SM_b20418,AYT27_RS00960,54.064,283,129,1,1,282,1,283,9.37e-100,290
SM_b20419,AYT27_RS00955,55.271,351,147,5,1,348,1,344,5.29e-132,377
SM_b20422,AYT27_RS03835,22.619,336,224,7,40,359,27,342,9.08e-21,87.8
SM_b20423,AYT27_RS00540,24.444,405,257,10,39,442,23,379,1.07e-29,115
SM_b20424,AYT27_RS01985,33.475,472,297,6,28,490,8,471,5.18e-82,258
SM_b20425,AYT27_RS04150,26.490,151,110,1,3,153,1,150,5.78e-21,80.1
SM_b20427,AYT27_RS03280,47.059,255,117,3,4,254,15,255,9.34e-79,234
SM_b20428,AYT27_RS03295,23.144,229,152,10,46,264,30,244,6.86e-09,50.8
SM_b20429,AYT27_RS03290,32.105,190,117,2,42,219,50,239,1.85e-20,82.4
SM_b20430,AYT27_RS03290,31.383,188,108,5,42,213,47,229,2.31e-20,82.0
SM_b20432,AYT27_RS05490,27.640,322,215,7,9,316,9,326,2.76e-29,112
SM_b20445,AYT27_RS03835,25.333,300,199,11,9,296,2,288,4.02e-17,77.0
SM_b20447,AYT27_RS02320,27.378,431,302,4,131,552,525,953,1.15e-53,192
SM_b20456,AYT27_RS02775,32.245,245,158,5,4,245,2,241,3.04e-27,101
SM_b20468,AYT27_RS00310,33.871,124,71,6,1,120,7,123,1.18e-10,55.1
SM_b20476,AYT27_RS06215,24.419,516,335,17,11,489,15,512,3.50e-34,131
SM_b20477,AYT27_RS06185,37.082,329,187,4,6,314,29,357,1.00e-61,196
SM_b20478,AYT27_RS01235,45.525,257,140,0,320,576,5,261,2.37e-70,232
SM_b20479,AYT27_RS06170,43.515,239,128,4,22,259,17,249,6.54e-61,189
SM_b20485,AYT27_RS01235,25.319,549,330,22,19,509,4,530,2.27e-28,114
SM_b20492,AYT27_RS02710,28.191,188,128,3,4,190,11,192,2.00e-15,70.1
SM_b20493,AYT27_RS02775,34.016,244,152,6,3,243,5,242,1.37e-34,120
SM_b20494,AYT27_RS05920,26.531,294,210,4,4,294,7,297,2.02e-23,93.6
SM_b20499,AYT27_RS04135,29.317,498,296,17,32,513,29,486,2.99e-41,152
SM_b20503,AYT27_RS04245,28.049,246,157,5,3,234,2,241,2.79e-27,106
SM_b20507,AYT27_RS04240,26.697,221,155,2,3,221,2,217,4.92e-22,90.9
SM_b20511,AYT27_RS02775,30.556,252,166,3,4,255,3,245,5.01e-32,114
SM_b20515,AYT27_RS07075,33.333,192,123,2,947,1133,118,309,1.26e-28,114
SM_b20531,AYT27_RS07060,31.132,106,63,4,51,150,34,135,8.61e-10,51.2
SM_b20557,AYT27_RS00445,43.396,106,60,0,1,106,22,127,5.46e-27,92.8
SM_b20569,AYT27_RS06570,39.906,213,119,3,12,216,7,218,5.28e-43,145
SM_b20573,AYT27_RS08505,28.022,182,114,6,9,177,6,183,5.73e-10,52.0
SM_b20575,AYT27_RS04945,27.541,305,187,9,31,316,21,310,4.32e-13,65.5
SM_b20580,AYT27_RS05920,23.684,152,115,1,6,157,5,155,4.89e-10,55.1
SM_b20592,AYT27_RS07060,26.554,177,106,6,36,206,22,180,6.07e-09,49.7
SM_b20595,AYT27_RS01990,77.183,504,113,1,97,598,336,839,0.0,801
SM_b20598,AYT27_RS08695,27.419,248,153,5,131,374,3,227,4.81e-22,90.9
SM_b20602,AYT27_RS04245,32.016,253,156,6,9,249,5,253,5.27e-38,129
SM_b20603,AYT27_RS04250,26.692,266,164,6,42,304,27,264,2.66e-12,63.2
SM_b20604,AYT27_RS04255,25.649,308,163,7,236,486,8,306,4.97e-16,75.5
SM_b20609,AYT27_RS02500,35.656,244,149,4,657,894,527,768,5.59e-36,142
SM_b20610,AYT27_RS05965,26.619,139,99,1,13,151,15,150,1.79e-14,67.4
SM_b20611,AYT27_RS02070,21.795,234,166,4,47,270,68,294,4.74e-08,50.4
SM_b20612,AYT27_RS03025,29.258,229,138,6,396,609,500,719,6.62e-19,86.3
SM_b20613,AYT27_RS03030,35.165,455,268,6,7,441,5,452,2.29e-85,265
SM_b20614,AYT27_RS02105,24.242,330,217,12,29,346,22,330,9.88e-14,69.7
SM_b20615,AYT27_RS02540,73.524,593,153,1,11,599,6,598,0.0,914
SM_b20616,AYT27_RS02535,53.822,314,144,1,2,315,3,315,9.55e-124,353
SM_b20617,AYT27_RS02525,68.110,254,81,0,4,257,4,257,1.88e-135,378
SM_b20618,AYT27_RS02520,59.701,201,81,0,1,201,1,201,3.85e-90,259
SM_b20622,AYT27_RS03280,25.339,221,157,3,6,224,16,230,3.53e-24,97.4
SM_b20625,AYT27_RS05140,26.254,339,237,7,29,362,25,355,2.34e-20,87.8
SM_b20630,AYT27_RS00955,48.045,358,165,8,10,361,4,346,4.78e-105,308
SM_b20632,AYT27_RS00960,27.969,261,170,6,33,282,26,279,9.25e-27,102
SM_b20633,AYT27_RS00965,27.941,272,185,5,29,295,20,285,6.19e-27,103
SM_b20634,AYT27_RS00970,38.095,63,36,1,119,178,127,189,1.90e-09,54.7
SM_b20649,AYT27_RS03335,26.316,228,113,4,15,239,259,434,1.58e-13,66.6
SM_b20650,AYT27_RS08055,24.209,537,364,14,9,506,82,614,1.00e-33,130
SM_b20652,AYT27_RS02715,29.851,201,98,8,2,162,22,219,6.44e-10,57.4
SM_b20658,AYT27_RS00960,27.103,214,140,4,93,298,78,283,6.84e-15,69.3
SM_b20659,AYT27_RS00965,24.476,286,211,3,19,302,9,291,7.15e-22,89.4
SM_b20661,AYT27_RS00955,46.648,358,171,5,1,352,1,344,9.51e-110,320
SM_b20662,AYT27_RS02775,31.034,232,142,5,10,235,6,225,6.83e-19,79.0
SM_b20673,AYT27_RS03280,26.786,224,157,4,11,232,11,229,5.62e-28,108
SM_b20681,AYT27_RS05575,29.630,567,373,9,3,562,15,562,2.14e-83,268
SM_b20683,AYT27_RS05920,30.128,156,106,1,1,156,5,157,5.21e-14,66.6
SM_b20689,AYT27_RS05390,43.243,259,141,3,1,255,1,257,1.76e-74,223
SM_b20692,AYT27_RS02775,33.333,249,157,3,18,264,1,242,2.17e-36,125
SM_b20698,AYT27_RS06435,24.724,453,326,9,22,470,29,470,9.81e-31,121
SM_b20699,AYT27_RS06430,38.110,328,201,2,35,360,16,343,9.60e-65,206
SM_b20706,AYT27_RS03295,42.913,254,136,4,5,255,3,250,6.16e-71,214
SM_b20708,AYT27_RS02495,41.333,75,42,2,77,151,83,155,1.57e-12,58.5
SM_b20713,AYT27_RS01235,24.706,510,313,23,39,499,24,511,2.40e-22,95.9
SM_b20718,AYT27_RS01235,25.045,551,299,16,27,508,23,528,3.74e-22,95.1
SM_b20721,AYT27_RS02480,28.710,310,195,10,170,463,161,460,4.13e-23,97.1
SM_b20722,AYT27_RS02440,38.991,218,127,4,1,216,1,214,5.50e-45,145
SM_b20747,AYT27_RS02350,26.442,208,139,7,6,203,6,209,4.24e-10,53.5
SM_b20750,AYT27_RS02775,34.008,247,156,5,1,245,1,242,4.03e-33,116
SM_b20752,AYT27_RS04380,38.053,339,196,6,9,343,10,338,5.73e-72,224
SM_b20755,AYT27_RS00175,26.512,215,134,6,6,206,39,243,6.56e-13,65.1
SM_b20756,AYT27_RS04115,51.454,447,209,3,4,450,1,439,2.76e-154,449
SM_b20763,AYT27_RS01235,34.568,243,147,5,19,254,21,258,2.54e-37,133
SM_b20764,AYT27_RS08080,31.100,209,124,4,26,227,28,223,1.82e-24,97.1
SM_b20765,AYT27_RS05655,43.005,193,110,0,8,200,13,205,5.79e-57,175
SM_b20772,AYT27_RS02805,30.882,340,210,7,15,340,3,331,2.20e-45,154
SM_b20784,AYT27_RS04240,34.188,234,146,5,6,233,4,235,4.28e-41,136
SM_b20785,AYT27_RS04245,36.515,241,142,3,14,245,15,253,2.65e-47,154
SM_b20786,AYT27_RS04250,26.766,269,160,5,25,269,9,264,3.91e-12,62.0
SM_b20787,AYT27_RS04255,26.953,256,176,3,41,285,97,352,1.72e-11,59.7
SM_b20809,AYT27_RS00915,47.256,328,170,2,2,329,7,331,1.50e-107,313
SM_b20813,AYT27_RS00240,39.405,571,338,2,22,588,16,582,1.13e-147,435
SM_b20820,AYT27_RS08625,27.907,172,108,6,95,260,133,294,3.79e-11,60.1
SM_b20821,AYT27_RS02655,31.169,154,98,2,100,253,128,273,4.83e-19,80.1
SM_b20825,AYT27_RS05655,38.608,158,80,4,52,209,44,184,1.25e-27,101
SM_b20830,AYT27_RS00915,48.889,315,158,2,23,337,20,331,5.27e-110,320
SM_b20832,AYT27_RS08485,25.991,227,140,6,1,199,1,227,3.39e-13,62.8
SM_b20847,AYT27_RS05920,28.231,294,200,5,10,295,8,298,7.91e-29,108
SM_b20850,AYT27_RS01410,40.701,371,218,2,9,378,8,377,1.01e-99,297
SM_b20853,AYT27_RS03835,26.606,327,213,15,26,338,27,340,4.98e-19,82.4
SM_b20855,AYT27_RS01235,24.903,514,294,23,19,472,22,503,2.10e-23,99.0
SM_b20858,AYT27_RS01410,50.000,132,66,0,30,161,246,377,9.50e-38,129
SM_b20863,AYT27_RS05510,22.652,181,137,2,130,309,606,784,5.46e-12,62.4
SM_b20868,AYT27_RS04920,27.059,255,153,8,990,1222,453,696,3.98e-18,85.5
SM_b20869,AYT27_RS05965,33.562,146,87,5,26,167,15,154,5.98e-14,64.7
SM_b20870,AYT27_RS05920,26.471,272,180,4,11,265,10,278,3.41e-20,84.3
SM_b20871,AYT27_RS02775,30.800,250,165,4,1,248,1,244,1.41e-32,115
SM_b20880,AYT27_RS05475,51.613,372,174,5,2,370,7,375,5.34e-126,371
SM_b20890,AYT27_RS00495,34.201,576,311,13,21,535,12,580,4.46e-92,291
SM_b20891,AYT27_RS01985,32.314,458,292,8,21,471,25,471,4.72e-70,226
SM_b20894,AYT27_RS01235,23.636,385,256,10,121,482,135,504,3.48e-23,98.2
SM_b20896,AYT27_RS05920,25.556,180,127,2,1,176,5,181,1.23e-10,57.0
SM_b20899,AYT27_RS06150,25.449,334,210,7,1,317,1,312,3.40e-21,88.2
SM_b20900,AYT27_RS02320,27.200,250,181,1,273,521,512,761,4.61e-27,112
SM_b20904,AYT27_RS06570,31.197,234,146,6,8,233,6,232,1.59e-28,107
SM_b20928,AYT27_RS00855,24.561,285,185,7,128,393,92,365,8.86e-11,58.9
SM_b20930,AYT27_RS04240,28.767,219,147,2,3,220,3,213,9.16e-30,107
SM_b20933,AYT27_RS07075,28.910,211,143,3,695,900,121,329,5.36e-21,90.9
SM_b20941,AYT27_RS02695,34.343,495,299,9,109,591,121,601,8.80e-80,260
SM_b20951,AYT27_RS04160,30.769,130,83,3,47,176,30,152,7.70e-19,75.5
SM_b20960,AYT27_RS00910,61.592,289,110,1,4,291,1,289,7.56e-138,387
SM_b20962,AYT27_RS08510,48.162,272,129,4,6,266,16,286,2.21e-82,245
SM_b20969,AYT27_RS00960,30.798,263,161,5,20,267,26,282,6.03e-27,102
SM_b20970,AYT27_RS00965,26.014,296,214,5,14,306,1,294,6.22e-23,92.4
SM_b20971,AYT27_RS00970,21.765,340,235,10,96,410,101,434,4.55e-11,59.7
SM_b20972,AYT27_RS00955,54.000,250,114,1,1,249,1,250,2.23e-94,282
SM_b20973,AYT27_RS00540,25.728,412,252,12,606,1005,23,392,1.76e-30,120
SM_b20974,AYT27_RS02710,27.347,245,141,11,2,222,14,245,1.95e-12,60.5
SM_b20975,AYT27_RS03290,28.000,175,109,3,386,549,67,235,1.61e-16,75.1
SM_b20976,AYT27_RS03295,30.400,250,160,8,5,245,1,245,1.21e-28,105
SM_b20984,AYT27_RS03325,30.220,182,113,7,104,280,133,305,2.92e-11,62.0
SM_b20989,AYT27_RS05590,27.692,195,133,4,12,198,11,205,6.34e-15,68.9
SM_b20994,AYT27_RS03020,28.244,131,89,2,28,158,3,128,2.25e-10,52.4
SM_b20995,AYT27_RS02120,66.038,477,158,2,1,475,1,475,0.0,657
SM_b20996,AYT27_RS02115,36.866,217,137,0,6,222,4,220,6.81e-46,148
SM_b21002,AYT27_RS04295,32.645,242,162,1,5,246,22,262,9.01e-47,153
SM_b21010,AYT27_RS02775,33.594,256,145,7,3,254,7,241,4.05e-39,132
SM_b21019,AYT27_RS00085,30.317,221,150,2,19,235,31,251,2.82e-24,97.8
SM_b21037,AYT27_RS06215,22.957,514,344,14,45,525,48,542,4.50e-26,107
SM_b21038,AYT27_RS06185,31.940,335,204,6,7,322,28,357,1.42e-46,157
SM_b21039,AYT27_RS06180,35.000,260,159,3,29,288,60,309,4.28e-42,143
SM_b21040,AYT27_RS01235,37.251,553,310,10,8,550,2,527,2.79e-111,338
SM_b21081,AYT27_RS07655,25.135,370,241,10,61,410,25,378,2.12e-18,83.2
SM_b21093,AYT27_RS05920,25.939,293,200,8,14,295,10,296,1.28e-17,77.4
SM_b21095,AYT27_RS03285,32.068,237,144,5,54,281,4,232,9.10e-30,108
SM_b21096,AYT27_RS03280,47.773,247,114,3,11,254,21,255,4.68e-79,235
SM_b21097,AYT27_RS03295,25.738,237,163,8,30,262,17,244,5.50e-14,65.9
SM_b21104,AYT27_RS00965,28.114,281,190,4,9,285,14,286,1.13e-27,104
SM_b21105,AYT27_RS00960,28.017,232,160,4,55,281,49,278,1.27e-22,90.5
SM_b21106,AYT27_RS00955,42.507,367,181,6,1,361,1,343,6.49e-93,278
SM_b21111,AYT27_RS02775,30.488,246,156,6,4,241,3,241,8.43e-28,102
SM_b21112,AYT27_RS03790,28.814,177,118,5,75,248,7,178,7.84e-16,70.1
SM_b21117,AYT27_RS01135,52.206,136,50,2,2,131,4,130,8.35e-44,137
SM_b21124,AYT27_RS04115,50.446,448,214,4,1,447,1,441,2.39e-144,424
SM_b21126,AYT27_RS04380,30.000,130,83,3,18,144,22,146,1.50e-12,62.4
SM_b21129,AYT27_RS02210,37.995,429,249,7,26,439,43,469,4.18e-88,272
SM_b21130,AYT27_RS00955,39.735,302,160,6,3,289,4,298,1.81e-67,213
SM_b21135,AYT27_RS03295,24.786,234,164,6,39,268,24,249,4.27e-13,63.2
SM_b21136,AYT27_RS05405,30.583,206,140,3,25,228,34,238,8.10e-26,96.7
SM_b21137,AYT27_RS05405,24.020,204,152,3,16,217,34,236,3.91e-19,78.6
SM_b21138,AYT27_RS05410,49.600,250,114,2,2,249,3,242,2.66e-81,240
SM_b21143,AYT27_RS08625,29.605,456,304,8,21,463,3,454,6.85e-65,213
SM_b21146,AYT27_RS00955,39.370,254,143,6,1,251,3,248,6.92e-49,162
SM_b21149,AYT27_RS00965,23.105,277,207,4,14,287,17,290,8.19e-19,80.5
SM_b21150,AYT27_RS00960,28.205,234,152,6,56,278,50,278,2.24e-21,87.0
SM_b21151,AYT27_RS00970,47.541,61,26,1,116,176,127,181,2.93e-11,60.5
SM_b21152,AYT27_RS00955,56.889,225,97,0,18,242,19,243,1.27e-92,277
SM_b21159,AYT27_RS02775,29.508,244,154,9,6,241,9,242,2.59e-17,74.7
SM_b21165,AYT27_RS03360,71.373,510,146,0,1,510,1,510,0.0,737
SM_b21168,AYT27_RS05140,28.253,269,193,0,5,273,23,291,5.31e-23,95.5
SM_b21177,AYT27_RS06570,36.596,235,138,3,1,232,6,232,7.34e-44,148
SM_b21180,AYT27_RS05920,30.400,125,85,2,13,136,5,128,1.75e-10,56.6
SM_b21185,AYT27_RS01985,33.628,452,292,6,37,484,24,471,6.23e-78,248
SM_b21186,AYT27_RS00540,37.722,395,206,11,32,417,26,389,1.37e-72,229
SM_b21191,AYT27_RS00240,28.657,499,321,12,93,572,79,561,4.69e-49,176
SM_b21196,AYT27_RS06190,26.425,386,232,13,14,372,17,377,7.57e-25,103
SM_b21197,AYT27_RS01225,26.757,370,207,5,1,307,1,369,4.73e-40,139
SM_b21198,AYT27_RS06180,34.404,218,143,0,158,375,92,309,1.96e-40,141
SM_b21199,AYT27_RS01235,51.613,527,253,1,7,531,3,529,0.0,544
SM_b21200,AYT27_RS03030,33.913,460,268,6,4,438,3,451,1.82e-77,244
SM_b21201,AYT27_RS04920,28.958,259,154,9,353,594,450,695,6.92e-22,95.9
SM_b21206,AYT27_RS00085,33.028,218,143,2,337,551,30,247,1.35e-29,113
SM_b21207,AYT27_RS08085,27.458,295,164,8,45,327,68,324,6.25e-15,70.9
SM_b21209,AYT27_RS05970,22.837,289,198,8,169,445,168,443,5.55e-13,65.9
SM_b21210,AYT27_RS02440,35.586,222,137,2,1,221,1,217,2.57e-41,136
SM_b21216,AYT27_RS00955,41.111,360,196,3,1,358,1,346,7.20e-93,277
SM_b21219,AYT27_RS00960,24.823,282,204,4,1,276,1,280,2.21e-18,79.0
SM_b21220,AYT27_RS00965,30.970,268,179,3,13,278,17,280,1.04e-37,131
SM_b21224,AYT27_RS05370,27.273,275,181,9,79,341,45,312,8.49e-18,81.3
SM_b21225,AYT27_RS01370,27.917,240,153,5,6,240,13,237,5.42e-19,80.1
SM_b21235,AYT27_RS00370,26.224,286,202,6,1,281,3,284,5.67e-26,100
SM_b21242,AYT27_RS05935,30.055,183,122,3,179,358,165,344,4.41e-10,56.2
SM_b21248,AYT27_RS06145,36.145,249,128,5,11,244,12,244,1.40e-32,122
SM_b21250,AYT27_RS05935,27.273,187,115,6,231,399,166,349,2.33e-11,60.5
SM_b21251,AYT27_RS05510,29.126,103,71,1,503,605,594,694,2.04e-09,56.2
SM_b21260,AYT27_RS01235,42.334,574,288,10,5,575,2,535,2.47e-136,405
SM_b21262,AYT27_RS01225,26.064,376,228,7,1,330,1,372,1.96e-32,120
SM_b21263,AYT27_RS06180,34.649,228,138,4,136,361,89,307,1.01e-33,123
SM_b21269,AYT27_RS05210,20.385,260,193,4,23,277,198,448,1.19e-10,60.1
SM_b21290,AYT27_RS03835,24.224,322,209,9,29,324,27,339,1.63e-18,80.9
SM_b21291,AYT27_RS05920,26.776,183,134,0,5,187,8,190,9.55e-23,92.0
SM_b21295,AYT27_RS03775,52.555,137,58,3,41,172,5,139,3.38e-45,143
SM_b21297,AYT27_RS02430,29.084,502,303,13,97,561,134,619,9.71e-46,169
SM_b21301,AYT27_RS01985,33.121,471,299,5,32,488,4,472,8.41e-75,247
SM_b21316,AYT27_RS00240,33.175,211,137,3,367,575,361,569,2.93e-35,135
SM_b21324,AYT27_RS00910,23.827,277,176,8,2,245,6,280,8.68e-13,63.2
SM_b21344,AYT27_RS01235,27.052,536,302,23,18,493,24,530,3.34e-30,119
SM_b21348,AYT27_RS02775,33.065,248,156,4,7,251,2,242,5.85e-38,129
SM_b21355,AYT27_RS06150,24.545,330,219,10,5,326,4,311,7.09e-14,67.0
SM_b21359,AYT27_RS05920,27.000,100,73,0,3,102,6,105,3.06e-08,47.0
SM_b21363,AYT27_RS08470,27.500,280,177,10,70,332,2,272,2.21e-14,68.6
SM_b21368,AYT27_RS00605,31.757,148,91,3,84,224,93,237,1.02e-15,72.4
