B_henselae|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
AYT27_RS00135,AYT27_RS00135,100.000,1040,0,0,1,1040,1,1040,0.0,2147
AYT27_RS00140,AYT27_RS00140,100.000,189,0,0,1,189,1,189,2.84e-143,392
AYT27_RS00145,AYT27_RS00145,100.000,74,0,0,1,74,1,74,2.30e-51,150
AYT27_RS00150,AYT27_RS00150,100.000,156,0,0,1,156,1,156,1.20e-114,317
AYT27_RS00155,AYT27_RS00155,100.000,821,0,0,1,821,1,821,0.0,1702
AYT27_RS00160,AYT27_RS00160,100.000,465,0,0,1,465,1,465,0.0,969
AYT27_RS00165,AYT27_RS00165,100.000,332,0,0,1,332,1,332,0.0,677
AYT27_RS00170,AYT27_RS00170,100.000,439,0,0,1,439,1,439,0.0,908
AYT27_RS00175,AYT27_RS00175,100.000,306,0,0,1,306,1,306,0.0,632
AYT27_RS00180,AYT27_RS00180,100.000,67,0,0,1,67,1,67,1.48e-46,138
AYT27_RS00185,AYT27_RS00185,100.000,239,0,0,1,239,1,239,1.30e-172,471
AYT27_RS00190,AYT27_RS00190,100.000,470,0,0,1,470,1,470,0.0,962
AYT27_RS00195,AYT27_RS00195,100.000,528,0,0,1,528,1,528,0.0,1097
AYT27_RS00200,AYT27_RS00200,100.000,260,0,0,1,260,1,260,0.0,540
AYT27_RS00205,AYT27_RS00205,100.000,810,0,0,1,810,1,810,0.0,1666
AYT27_RS00210,AYT27_RS08615,100.000,191,0,0,1,191,1,191,7.06e-128,353
AYT27_RS00215,AYT27_RS00215,100.000,289,0,0,1,289,1,289,0.0,594
AYT27_RS00220,AYT27_RS00220,100.000,510,0,0,1,510,1,510,0.0,1043
AYT27_RS00225,AYT27_RS00225,100.000,653,0,0,1,653,1,653,0.0,1325
AYT27_RS00230,AYT27_RS00230,100.000,1548,0,0,1,1548,1,1548,0.0,3138
AYT27_RS00235,AYT27_RS00235,100.000,190,0,0,1,190,1,190,3.28e-136,374
AYT27_RS00240,AYT27_RS00240,100.000,588,0,0,1,588,1,588,0.0,1205
AYT27_RS00245,AYT27_RS00245,100.000,172,0,0,1,172,1,172,5.06e-126,347
AYT27_RS00250,AYT27_RS00250,100.000,259,0,0,1,259,1,259,0.0,540
AYT27_RS00255,AYT27_RS00255,100.000,248,0,0,1,248,1,248,0.0,512
AYT27_RS00260,AYT27_RS00260,100.000,390,0,0,1,390,1,390,0.0,809
AYT27_RS00265,AYT27_RS00265,100.000,399,0,0,1,399,1,399,0.0,831
AYT27_RS00270,AYT27_RS00270,100.000,215,0,0,1,215,1,215,6.57e-164,446
AYT27_RS00275,AYT27_RS00275,100.000,356,0,0,1,356,1,356,0.0,719
AYT27_RS00280,AYT27_RS00280,100.000,220,0,0,1,220,1,220,8.30e-163,444
AYT27_RS00285,AYT27_RS00285,100.000,179,0,0,1,179,1,179,3.58e-132,363
AYT27_RS00290,AYT27_RS00290,100.000,99,0,0,1,99,1,99,6.28e-72,204
AYT27_RS00295,AYT27_RS00295,100.000,132,0,0,1,132,1,132,8.91e-96,268
AYT27_RS00300,AYT27_RS00300,100.000,154,0,0,1,154,1,154,3.51e-114,316
AYT27_RS00305,AYT27_RS00305,100.000,594,0,0,1,594,1,594,0.0,1199
AYT27_RS00310,AYT27_RS00310,100.000,240,0,0,1,240,1,240,8.06e-180,489
AYT27_RS00315,AYT27_RS00315,100.000,151,0,0,1,151,1,151,1.46e-110,306
AYT27_RS00320,AYT27_RS00320,100.000,186,0,0,1,186,1,186,5.35e-139,381
AYT27_RS00325,AYT27_RS00325,100.000,630,0,0,1,630,1,630,0.0,1271
AYT27_RS00330,AYT27_RS00330,100.000,381,0,0,1,381,1,381,0.0,783
AYT27_RS00335,AYT27_RS00335,100.000,200,0,0,1,200,1,200,4.19e-136,375
AYT27_RS00340,AYT27_RS00340,100.000,301,0,0,1,301,1,301,0.0,605
AYT27_RS00345,AYT27_RS00345,100.000,302,0,0,1,302,1,302,0.0,593
AYT27_RS00350,AYT27_RS00350,100.000,601,0,0,1,601,1,601,0.0,1234
AYT27_RS00355,AYT27_RS00355,100.000,282,0,0,1,282,1,282,0.0,579
AYT27_RS00360,AYT27_RS00360,100.000,287,0,0,1,287,1,287,0.0,604
AYT27_RS00365,AYT27_RS00365,100.000,247,0,0,1,247,1,247,0.0,517
AYT27_RS00370,AYT27_RS00370,100.000,311,0,0,1,311,1,311,0.0,641
AYT27_RS00375,AYT27_RS00375,100.000,176,0,0,1,176,1,176,9.34e-131,359
AYT27_RS00380,AYT27_RS00380,100.000,394,0,0,1,394,1,394,0.0,811
AYT27_RS00385,AYT27_RS00385,100.000,195,0,0,1,195,1,195,3.89e-149,407
AYT27_RS00390,AYT27_RS00390,100.000,83,0,0,1,83,1,83,1.47e-60,174
AYT27_RS00395,AYT27_RS00395,100.000,142,0,0,1,142,1,142,8.64e-106,293
AYT27_RS00400,AYT27_RS00400,100.000,246,0,0,1,246,1,246,0.0,507
AYT27_RS00405,AYT27_RS00405,100.000,67,0,0,1,67,1,67,1.83e-45,135
AYT27_RS00410,AYT27_RS00410,100.000,133,0,0,1,133,1,133,1.09e-94,265
AYT27_RS00415,AYT27_RS00415,100.000,361,0,0,1,361,1,361,0.0,754
AYT27_RS00420,AYT27_RS00420,100.000,804,0,0,1,804,1,804,0.0,1634
AYT27_RS00425,AYT27_RS00425,100.000,302,0,0,1,302,1,302,0.0,622
AYT27_RS00430,AYT27_RS00430,100.000,276,0,0,1,276,1,276,0.0,565
AYT27_RS00435,AYT27_RS00435,100.000,284,0,0,1,284,1,284,0.0,553
AYT27_RS00440,AYT27_RS00440,100.000,301,0,0,1,301,1,301,0.0,587
AYT27_RS00445,AYT27_RS00445,100.000,127,0,0,1,127,1,127,2.59e-90,253
AYT27_RS00450,AYT27_RS00450,100.000,72,0,0,1,72,1,72,2.42e-52,153
AYT27_RS00455,AYT27_RS00455,100.000,434,0,0,1,434,1,434,0.0,902
AYT27_RS00460,AYT27_RS00460,100.000,2854,0,0,1,2854,1,2854,0.0,5949
AYT27_RS00465,AYT27_RS00465,100.000,566,0,0,1,566,1,566,0.0,1143
AYT27_RS00470,AYT27_RS00470,100.000,215,0,0,1,215,1,215,8.44e-159,434
AYT27_RS00475,AYT27_RS00475,100.000,442,0,0,1,442,1,442,0.0,902
AYT27_RS00480,AYT27_RS00480,100.000,126,0,0,1,126,1,126,1.99e-85,241
AYT27_RS00485,AYT27_RS00485,100.000,25,0,0,1,25,1,25,4.63e-13,50.8
AYT27_RS00490,AYT27_RS00490,100.000,96,0,0,1,96,1,96,1.48e-70,201
AYT27_RS00495,AYT27_RS00495,100.000,612,0,0,1,612,1,612,0.0,1267
AYT27_RS00500,AYT27_RS00500,100.000,60,0,0,1,60,1,60,2.73e-38,117
AYT27_RS00505,AYT27_RS00505,100.000,914,0,0,1,914,1,914,0.0,1889
AYT27_RS00510,AYT27_RS00510,100.000,765,0,0,1,765,1,765,0.0,1577
AYT27_RS00515,AYT27_RS00515,100.000,158,0,0,1,158,1,158,4.72e-117,323
AYT27_RS00520,AYT27_RS00520,100.000,168,0,0,1,168,1,168,2.06e-120,333
AYT27_RS00525,AYT27_RS00525,100.000,230,0,0,1,230,1,230,5.90e-173,471
AYT27_RS00530,AYT27_RS00530,100.000,206,0,0,1,206,1,206,2.82e-158,431
AYT27_RS00535,AYT27_RS00535,100.000,336,0,0,1,336,1,336,0.0,694
AYT27_RS00540,AYT27_RS00540,100.000,401,0,0,1,401,1,401,0.0,827
AYT27_RS00545,AYT27_RS00545,100.000,177,0,0,1,177,1,177,6.70e-132,362
AYT27_RS00550,AYT27_RS00550,100.000,215,0,0,1,215,1,215,2.49e-160,437
AYT27_RS00555,AYT27_RS00555,100.000,83,0,0,1,83,1,83,4.40e-58,168
AYT27_RS00560,AYT27_RS00560,100.000,251,0,0,1,251,1,251,0.0,508
AYT27_RS00565,AYT27_RS00565,100.000,221,0,0,1,221,1,221,3.13e-153,420
AYT27_RS00570,AYT27_RS00570,100.000,208,0,0,1,208,1,208,2.50e-157,429
AYT27_RS00575,AYT27_RS00575,100.000,895,0,0,1,895,1,895,0.0,1854
AYT27_RS00580,AYT27_RS00580,100.000,88,0,0,1,88,1,88,5.69e-59,171
AYT27_RS00585,AYT27_RS00585,100.000,523,0,0,1,523,1,523,0.0,1066
AYT27_RS00590,AYT27_RS00590,100.000,373,0,0,1,373,1,373,0.0,759
AYT27_RS00595,AYT27_RS00595,100.000,377,0,0,1,377,1,377,0.0,771
AYT27_RS00600,AYT27_RS00600,100.000,148,0,0,1,148,1,148,4.33e-112,310
AYT27_RS00605,AYT27_RS00605,100.000,323,0,0,1,323,1,323,0.0,665
AYT27_RS00610,AYT27_RS00610,100.000,672,0,0,1,672,1,672,0.0,1353
AYT27_RS00615,AYT27_RS00615,100.000,221,0,0,1,221,1,221,4.55e-162,442
AYT27_RS00620,AYT27_RS00620,100.000,228,0,0,1,228,1,228,4.89e-166,453
AYT27_RS00625,AYT27_RS00625,100.000,340,0,0,1,340,1,340,0.0,704
AYT27_RS00630,AYT27_RS00630,100.000,272,0,0,1,272,1,272,0.0,562
AYT27_RS00635,AYT27_RS00635,100.000,406,0,0,1,406,1,406,0.0,843
AYT27_RS00640,AYT27_RS00640,100.000,169,0,0,1,169,1,169,4.84e-127,349
AYT27_RS00645,AYT27_RS00645,100.000,167,0,0,1,167,1,167,1.79e-126,348
AYT27_RS00650,AYT27_RS00650,100.000,186,0,0,1,186,1,186,6.93e-141,386
AYT27_RS00655,AYT27_RS00655,100.000,77,0,0,1,77,1,77,2.11e-51,151
AYT27_RS00660,AYT27_RS00660,100.000,115,0,0,1,115,1,115,1.78e-82,233
AYT27_RS00665,AYT27_RS00665,100.000,339,0,0,1,339,1,339,0.0,635
AYT27_RS00670,AYT27_RS00670,100.000,25,0,0,1,25,1,25,7.73e-14,52.8
AYT27_RS00675,AYT27_RS00675,100.000,380,0,0,1,380,1,380,0.0,774
AYT27_RS00680,AYT27_RS00680,100.000,1044,0,0,1,1044,1,1044,0.0,2101
AYT27_RS00685,AYT27_RS00685,100.000,63,0,0,1,63,1,63,1.26e-35,110
AYT27_RS00690,AYT27_RS00690,100.000,554,0,0,1,554,1,554,0.0,1145
AYT27_RS00695,AYT27_RS00695,100.000,30,0,0,1,30,1,30,8.99e-18,63.2
AYT27_RS00700,AYT27_RS00700,100.000,158,0,0,1,158,1,158,1.82e-111,309
AYT27_RS00705,AYT27_RS00705,100.000,89,0,0,1,89,1,89,1.08e-62,181
AYT27_RS00710,AYT27_RS00710,100.000,834,0,0,1,834,1,834,0.0,1714
AYT27_RS00715,AYT27_RS00715,100.000,30,0,0,1,30,1,30,6.83e-18,63.5
AYT27_RS00720,AYT27_RS00720,100.000,105,0,0,1,105,1,105,2.89e-68,196
AYT27_RS00725,AYT27_RS00725,100.000,77,0,0,1,77,1,77,1.18e-46,139
AYT27_RS00730,AYT27_RS00730,100.000,224,0,0,1,224,1,224,3.27e-155,425
AYT27_RS00735,AYT27_RS00735,100.000,93,0,0,1,93,1,93,1.50e-64,186
AYT27_RS00740,AYT27_RS00740,100.000,159,0,0,1,159,1,159,1.45e-120,332
AYT27_RS00745,AYT27_RS00745,100.000,97,0,0,1,97,1,97,4.35e-69,197
AYT27_RS00750,AYT27_RS00750,100.000,167,0,0,1,167,1,167,1.31e-123,341
AYT27_RS00755,AYT27_RS00755,100.000,99,0,0,1,99,1,99,2.73e-72,206
AYT27_RS00760,AYT27_RS00760,100.000,180,0,0,1,180,1,180,7.26e-135,370
AYT27_RS00765,AYT27_RS00765,100.000,64,0,0,1,64,1,64,4.33e-44,132
AYT27_RS00770,AYT27_RS00770,100.000,1726,0,0,1,1726,1,1726,0.0,3435
AYT27_RS00775,AYT27_RS00775,100.000,115,0,0,1,115,1,115,9.12e-81,228
AYT27_RS00780,AYT27_RS00780,100.000,153,0,0,1,153,1,153,4.40e-112,310
AYT27_RS00785,AYT27_RS00785,100.000,391,0,0,1,391,1,391,0.0,780
AYT27_RS00790,AYT27_RS00790,100.000,109,0,0,1,109,1,109,4.31e-74,211
AYT27_RS00795,AYT27_RS00795,100.000,91,0,0,1,91,1,91,2.56e-58,169
AYT27_RS00800,AYT27_RS00800,100.000,196,0,0,1,196,1,196,6.04e-149,407
AYT27_RS00805,AYT27_RS00805,100.000,436,0,0,1,436,1,436,0.0,897
AYT27_RS00810,AYT27_RS00810,100.000,247,0,0,1,247,1,247,0.0,511
AYT27_RS00815,AYT27_RS00815,100.000,74,0,0,1,74,1,74,1.62e-51,151
AYT27_RS00820,AYT27_RS00820,100.000,340,0,0,1,340,1,340,0.0,693
AYT27_RS00825,AYT27_RS00825,100.000,379,0,0,1,379,1,379,0.0,765
AYT27_RS00830,AYT27_RS00830,100.000,418,0,0,1,418,1,418,0.0,860
AYT27_RS00835,AYT27_RS00835,100.000,197,0,0,1,197,1,197,8.32e-148,404
AYT27_RS00840,AYT27_RS00840,100.000,147,0,0,1,147,1,147,7.64e-109,301
AYT27_RS00845,AYT27_RS00845,100.000,160,0,0,1,160,1,160,1.40e-120,332
AYT27_RS00850,AYT27_RS00850,100.000,426,0,0,1,426,1,426,0.0,868
AYT27_RS00855,AYT27_RS00855,100.000,436,0,0,1,436,1,436,0.0,877
AYT27_RS00860,AYT27_RS00860,100.000,173,0,0,1,173,1,173,1.30e-130,359
AYT27_RS00865,AYT27_RS00865,100.000,186,0,0,1,186,1,186,1.83e-138,380
AYT27_RS00870,AYT27_RS00870,100.000,95,0,0,1,95,1,95,2.47e-63,182
AYT27_RS00875,AYT27_RS00875,100.000,111,0,0,1,111,1,111,4.09e-81,229
AYT27_RS00880,AYT27_RS00880,100.000,176,0,0,1,176,1,176,7.32e-132,362
AYT27_RS00885,AYT27_RS00885,100.000,608,0,0,1,608,1,608,0.0,1230
AYT27_RS00890,AYT27_RS00890,100.000,458,0,0,1,458,1,458,0.0,928
AYT27_RS00895,AYT27_RS00895,100.000,674,0,0,1,674,1,674,0.0,1394
AYT27_RS00900,AYT27_RS00900,100.000,335,0,0,1,335,1,335,0.0,682
AYT27_RS00905,AYT27_RS00905,100.000,418,0,0,1,418,1,418,0.0,862
AYT27_RS00910,AYT27_RS00910,100.000,297,0,0,1,297,1,297,0.0,612
AYT27_RS00915,AYT27_RS00915,100.000,331,0,0,1,331,1,331,0.0,669
AYT27_RS00920,AYT27_RS00920,100.000,119,0,0,1,119,1,119,5.83e-88,247
AYT27_RS00925,AYT27_RS00925,100.000,461,0,0,1,461,1,461,0.0,936
AYT27_RS00930,AYT27_RS00930,100.000,523,0,0,1,523,1,523,0.0,1073
AYT27_RS00935,AYT27_RS00935,100.000,499,0,0,1,499,1,499,0.0,1008
AYT27_RS00940,AYT27_RS00940,100.000,428,0,0,1,428,1,428,0.0,885
AYT27_RS00945,AYT27_RS00945,100.000,518,0,0,1,518,1,518,0.0,1066
AYT27_RS00950,AYT27_RS00950,100.000,240,0,0,1,240,1,240,0.0,496
AYT27_RS00955,AYT27_RS00955,100.000,348,0,0,1,348,1,348,0.0,722
AYT27_RS00960,AYT27_RS00960,100.000,283,0,0,1,283,1,283,0.0,564
AYT27_RS00965,AYT27_RS00965,100.000,294,0,0,1,294,1,294,0.0,588
AYT27_RS00970,AYT27_RS00970,100.000,441,0,0,1,441,1,441,0.0,914
AYT27_RS00975,AYT27_RS00975,100.000,306,0,0,1,306,1,306,0.0,627
AYT27_RS00980,AYT27_RS00980,100.000,293,0,0,1,293,1,293,0.0,563
AYT27_RS00985,AYT27_RS00985,100.000,250,0,0,1,250,1,250,0.0,514
AYT27_RS00990,AYT27_RS00990,100.000,74,0,0,1,74,1,74,2.20e-53,156
AYT27_RS00995,AYT27_RS00995,100.000,132,0,0,1,132,1,132,4.35e-97,271
AYT27_RS01000,AYT27_RS01000,100.000,716,0,0,1,716,1,716,0.0,1486
AYT27_RS01005,AYT27_RS01005,100.000,324,0,0,1,324,1,324,0.0,668
AYT27_RS01010,AYT27_RS01010,100.000,288,0,0,1,288,1,288,0.0,590
AYT27_RS01015,AYT27_RS01015,100.000,359,0,0,1,359,1,359,0.0,731
AYT27_RS01020,AYT27_RS01020,100.000,138,0,0,1,138,1,138,8.15e-101,281
AYT27_RS01025,AYT27_RS01025,100.000,905,0,0,1,905,1,905,0.0,1873
AYT27_RS01030,AYT27_RS01030,100.000,317,0,0,1,317,1,317,0.0,645
AYT27_RS01035,AYT27_RS01035,100.000,410,0,0,1,410,1,410,0.0,846
AYT27_RS01040,AYT27_RS01040,100.000,137,0,0,1,137,1,137,4.60e-102,284
AYT27_RS01045,AYT27_RS01045,100.000,287,0,0,1,287,1,287,0.0,597
AYT27_RS01050,AYT27_RS01050,100.000,455,0,0,1,455,1,455,0.0,943
AYT27_RS01055,AYT27_RS01055,100.000,332,0,0,1,332,1,332,0.0,683
AYT27_RS01060,AYT27_RS01060,100.000,329,0,0,1,329,1,329,0.0,678
AYT27_RS01065,AYT27_RS01065,100.000,193,0,0,1,193,1,193,3.78e-142,390
AYT27_RS01070,AYT27_RS01070,100.000,436,0,0,1,436,1,436,0.0,873
AYT27_RS01075,AYT27_RS01075,100.000,332,0,0,1,332,1,332,0.0,692
AYT27_RS01080,AYT27_RS01080,100.000,733,0,0,1,733,1,733,0.0,1496
AYT27_RS01085,AYT27_RS01085,100.000,89,0,0,1,89,1,89,2.65e-63,182
AYT27_RS01090,AYT27_RS01090,100.000,542,0,0,1,542,1,542,0.0,1096
AYT27_RS01095,AYT27_RS01095,100.000,319,0,0,1,319,1,319,0.0,662
AYT27_RS01100,AYT27_RS01100,100.000,135,0,0,1,135,1,135,1.85e-98,275
AYT27_RS01105,AYT27_RS01105,100.000,845,0,0,1,845,1,845,0.0,1709
AYT27_RS01110,AYT27_RS01110,100.000,211,0,0,1,211,1,211,2.47e-158,432
AYT27_RS01115,AYT27_RS01115,100.000,537,0,0,1,537,1,537,0.0,1083
AYT27_RS01120,AYT27_RS01120,100.000,216,0,0,1,216,1,216,6.43e-164,447
AYT27_RS01125,AYT27_RS01125,100.000,233,0,0,1,233,1,233,7.62e-178,483
AYT27_RS01130,AYT27_RS01130,100.000,422,0,0,1,422,1,422,0.0,870
AYT27_RS01135,AYT27_RS01135,100.000,138,0,0,1,138,1,138,3.07e-101,282
AYT27_RS01140,AYT27_RS01140,100.000,544,0,0,1,544,1,544,0.0,1108
AYT27_RS01145,AYT27_RS01145,100.000,339,0,0,1,339,1,339,0.0,692
AYT27_RS01150,AYT27_RS01150,100.000,158,0,0,1,158,1,158,6.01e-117,323
AYT27_RS01155,AYT27_RS01155,100.000,366,0,0,1,366,1,366,0.0,751
AYT27_RS01160,AYT27_RS01160,100.000,458,0,0,1,458,1,458,0.0,957
AYT27_RS01165,AYT27_RS01165,100.000,163,0,0,1,163,1,163,1.47e-122,338
AYT27_RS01170,AYT27_RS01170,100.000,227,0,0,1,227,1,227,1.49e-169,462
AYT27_RS01175,AYT27_RS01175,100.000,342,0,0,1,342,1,342,0.0,666
AYT27_RS01180,AYT27_RS01180,100.000,201,0,0,1,201,1,201,1.87e-147,404
AYT27_RS01185,AYT27_RS01185,100.000,108,0,0,1,108,1,108,2.54e-75,214
AYT27_RS01190,AYT27_RS01190,100.000,646,0,0,1,646,1,646,0.0,1332
AYT27_RS01195,AYT27_RS01195,100.000,32,0,0,1,32,1,32,2.66e-19,67.0
AYT27_RS01200,AYT27_RS01200,100.000,135,0,0,1,135,1,135,9.81e-99,275
AYT27_RS01205,AYT27_RS01205,100.000,86,0,0,1,86,1,86,2.51e-60,174
AYT27_RS01210,AYT27_RS01210,100.000,287,0,0,1,287,1,287,0.0,597
AYT27_RS01215,AYT27_RS01215,100.000,243,0,0,1,243,1,243,0.0,492
AYT27_RS01220,AYT27_RS01220,100.000,183,0,0,1,183,1,183,1.75e-137,377
AYT27_RS01225,AYT27_RS01225,100.000,373,0,0,1,373,1,373,0.0,738
AYT27_RS01230,AYT27_RS01230,100.000,380,0,0,1,380,1,380,0.0,775
AYT27_RS01235,AYT27_RS01235,100.000,536,0,0,1,536,1,536,0.0,1098
AYT27_RS01240,AYT27_RS01240,100.000,254,0,0,1,254,1,254,0.0,516
AYT27_RS01245,AYT27_RS01245,100.000,312,0,0,1,312,1,312,0.0,642
AYT27_RS01250,AYT27_RS01250,100.000,348,0,0,1,348,1,348,0.0,711
AYT27_RS01255,AYT27_RS01255,100.000,486,0,0,1,486,1,486,0.0,979
AYT27_RS01260,AYT27_RS01260,100.000,430,0,0,1,430,1,430,0.0,861
AYT27_RS01265,AYT27_RS01265,100.000,252,0,0,1,252,1,252,0.0,520
AYT27_RS01270,AYT27_RS01270,100.000,240,0,0,1,240,1,240,2.14e-179,488
AYT27_RS01275,AYT27_RS01275,100.000,216,0,0,1,216,1,216,9.90e-146,400
AYT27_RS01280,AYT27_RS01280,100.000,281,0,0,1,281,1,281,0.0,584
AYT27_RS01285,AYT27_RS01285,100.000,415,0,0,1,415,1,415,0.0,860
AYT27_RS01290,AYT27_RS01290,100.000,291,0,0,1,291,1,291,0.0,600
AYT27_RS01295,AYT27_RS01295,100.000,462,0,0,1,462,1,462,0.0,954
AYT27_RS01300,AYT27_RS01300,100.000,206,0,0,1,206,1,206,1.73e-156,427
AYT27_RS01305,AYT27_RS01305,100.000,103,0,0,1,103,1,103,2.18e-72,206
AYT27_RS01310,AYT27_RS01310,100.000,276,0,0,1,276,1,276,0.0,556
AYT27_RS01315,AYT27_RS01315,100.000,279,0,0,1,279,1,279,0.0,566
AYT27_RS01320,AYT27_RS01320,100.000,391,0,0,1,391,1,391,0.0,798
AYT27_RS01325,AYT27_RS01325,100.000,971,0,0,1,971,1,971,0.0,2014
AYT27_RS01330,AYT27_RS01330,100.000,197,0,0,1,197,1,197,8.23e-148,404
AYT27_RS01335,AYT27_RS01335,100.000,148,0,0,1,148,1,148,2.48e-111,308
AYT27_RS01340,AYT27_RS01340,100.000,465,0,0,1,465,1,465,0.0,944
AYT27_RS01345,AYT27_RS01345,100.000,189,0,0,1,189,1,189,7.33e-140,384
AYT27_RS01350,AYT27_RS01350,100.000,65,0,0,1,65,1,65,4.56e-43,129
AYT27_RS01355,AYT27_RS01355,100.000,125,0,0,1,125,1,125,1.43e-91,256
AYT27_RS01360,AYT27_RS01360,100.000,144,0,0,1,144,1,144,1.75e-97,273
AYT27_RS01365,AYT27_RS01365,100.000,443,0,0,1,443,1,443,0.0,906
AYT27_RS01370,AYT27_RS01370,100.000,267,0,0,1,267,1,267,0.0,553
AYT27_RS01375,AYT27_RS01375,100.000,81,0,0,1,81,1,81,1.19e-57,167
AYT27_RS01380,AYT27_RS01380,100.000,88,0,0,1,88,1,88,2.30e-60,174
AYT27_RS01385,AYT27_RS01385,100.000,440,0,0,1,440,1,440,0.0,906
AYT27_RS01390,AYT27_RS01390,100.000,339,0,0,1,339,1,339,0.0,702
AYT27_RS01395,AYT27_RS01395,100.000,78,0,0,1,78,1,78,3.31e-56,163
AYT27_RS01400,AYT27_RS01400,100.000,612,0,0,1,612,1,612,0.0,1260
AYT27_RS01405,AYT27_RS01405,100.000,362,0,0,1,362,1,362,0.0,734
AYT27_RS01410,AYT27_RS01410,100.000,383,0,0,1,383,1,383,0.0,775
AYT27_RS01415,AYT27_RS01415,100.000,59,0,0,1,59,1,59,1.34e-39,120
AYT27_RS01420,AYT27_RS01420,100.000,25,0,0,1,25,1,25,7.64e-14,52.8
AYT27_RS01425,AYT27_RS01425,100.000,106,0,0,1,106,1,106,3.08e-75,213
AYT27_RS01430,AYT27_RS01430,100.000,475,0,0,1,475,1,475,0.0,956
AYT27_RS01435,AYT27_RS01435,100.000,226,0,0,1,226,1,226,7.76e-165,450
AYT27_RS01440,AYT27_RS01440,100.000,212,0,0,1,212,1,212,3.58e-153,419
AYT27_RS01445,AYT27_RS01445,100.000,184,0,0,1,184,1,184,1.37e-125,347
AYT27_RS01450,AYT27_RS01450,100.000,80,0,0,1,80,1,80,1.52e-55,162
AYT27_RS01455,AYT27_RS01455,100.000,77,0,0,1,77,1,77,4.36e-54,158
AYT27_RS01460,AYT27_RS01460,100.000,98,0,0,1,98,1,98,4.07e-66,190
AYT27_RS01465,AYT27_RS01465,100.000,105,0,0,1,105,1,105,2.79e-69,198
AYT27_RS01470,AYT27_RS01470,100.000,147,0,0,1,147,1,147,2.37e-103,288
AYT27_RS01475,AYT27_RS01475,100.000,61,0,0,1,61,1,61,2.05e-42,127
AYT27_RS01480,AYT27_RS01480,100.000,162,0,0,1,162,1,162,7.03e-119,328
AYT27_RS01485,AYT27_RS01485,100.000,75,0,0,1,75,1,75,3.24e-51,150
AYT27_RS01490,AYT27_RS01490,100.000,72,0,0,1,72,1,72,1.35e-49,146
AYT27_RS01495,AYT27_RS01495,100.000,72,0,0,1,72,1,72,1.33e-48,144
AYT27_RS01500,AYT27_RS01500,100.000,123,0,0,1,123,1,123,1.20e-85,241
AYT27_RS01505,AYT27_RS01505,100.000,385,0,0,1,385,1,385,0.0,797
AYT27_RS01510,AYT27_RS01510,100.000,81,0,0,1,81,1,81,2.22e-58,169
AYT27_RS01515,AYT27_RS01515,100.000,196,0,0,1,196,1,196,3.69e-149,407
