Abortus2308|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16490,BAB_RS16490,100.000,205,0,0,1,205,1,205,3.81e-156,427
BAB_RS16495,BAB_RS16495,100.000,471,0,0,1,471,1,471,0.0,963
BAB_RS16500,BAB_RS16500,100.000,978,0,0,1,978,1,978,0.0,2003
BAB_RS16505,BAB_RS16505,100.000,626,0,0,1,626,1,626,0.0,1277
BAB_RS16510,BAB_RS16510,100.000,813,0,0,1,813,1,813,0.0,1666
BAB_RS16515,BAB_RS16515,100.000,278,0,0,1,278,1,278,0.0,583
BAB_RS16520,BAB_RS16520,100.000,218,0,0,1,218,1,218,2.80e-157,431
BAB_RS16525,BAB_RS16525,100.000,155,0,0,1,155,1,155,6.40e-115,318
BAB_RS16530,BAB_RS16530,100.000,370,0,0,1,370,1,370,0.0,759
BAB_RS16535,BAB_RS16535,100.000,95,0,0,1,95,1,95,4.09e-65,187
BAB_RS16540,BAB_RS16540,100.000,663,0,0,1,663,1,663,0.0,1300
BAB_RS16545,BAB_RS16545,100.000,193,0,0,1,193,1,193,1.63e-140,386
BAB_RS16550,BAB_RS16550,100.000,430,0,0,1,430,1,430,0.0,873
BAB_RS16555,BAB_RS28220,100.000,122,0,0,1,122,1,122,2.58e-87,246
BAB_RS16560,BAB_RS29705,100.000,130,0,0,1,130,1,130,1.48e-96,270
BAB_RS16565,BAB_RS16565,100.000,187,0,0,1,187,1,187,3.46e-138,380
BAB_RS16570,BAB_RS16570,100.000,164,0,0,1,164,1,164,4.52e-120,332
BAB_RS16575,BAB_RS16575,100.000,206,0,0,1,206,1,206,1.22e-154,423
BAB_RS16580,BAB_RS16580,100.000,190,0,0,1,190,1,190,3.70e-142,390
BAB_RS16585,BAB_RS16585,100.000,179,0,0,1,179,1,179,1.42e-129,357
BAB_RS16590,BAB_RS16590,100.000,355,0,0,1,355,1,355,0.0,734
BAB_RS16595,BAB_RS16595,100.000,529,0,0,1,529,1,529,0.0,1046
BAB_RS16600,BAB_RS16600,100.000,934,0,0,1,934,1,934,0.0,1919
BAB_RS16605,BAB_RS16605,100.000,352,0,0,1,352,1,352,0.0,711
BAB_RS16610,BAB_RS16610,100.000,910,0,0,1,910,1,910,0.0,1847
BAB_RS16615,BAB_RS16615,100.000,281,0,0,1,281,1,281,0.0,583
BAB_RS16620,BAB_RS16620,100.000,160,0,0,1,160,1,160,6.66e-115,319
BAB_RS16625,BAB_RS16625,100.000,297,0,0,1,297,1,297,0.0,605
BAB_RS16630,BAB_RS16630,100.000,381,0,0,1,381,1,381,0.0,778
BAB_RS16635,BAB_RS16635,100.000,107,0,0,1,107,1,107,6.37e-73,208
BAB_RS16640,BAB_RS16640,100.000,94,0,0,1,94,1,94,1.42e-65,189
BAB_RS16645,BAB_RS16645,100.000,327,0,0,1,327,1,327,0.0,659
BAB_RS16650,BAB_RS16650,100.000,240,0,0,1,240,1,240,1.47e-180,491
BAB_RS16655,BAB_RS16655,100.000,216,0,0,1,216,1,216,5.94e-160,437
BAB_RS16660,BAB_RS16660,100.000,277,0,0,1,277,1,277,0.0,560
BAB_RS16665,BAB_RS16665,100.000,500,0,0,1,500,1,500,0.0,1018
BAB_RS16670,BAB_RS16670,100.000,197,0,0,1,197,1,197,2.16e-147,404
BAB_RS16675,BAB_RS16675,100.000,154,0,0,1,154,1,154,2.85e-110,306
BAB_RS16680,BAB_RS16680,100.000,81,0,0,1,81,1,81,3.07e-57,167
BAB_RS16685,BAB_RS16685,100.000,140,0,0,1,140,1,140,2.71e-101,283
BAB_RS16690,BAB_RS16690,100.000,165,0,0,1,165,1,165,2.09e-122,338
BAB_RS16695,BAB_RS16695,100.000,248,0,0,1,248,1,248,0.0,509
BAB_RS16700,BAB_RS16700,100.000,237,0,0,1,237,1,237,7.08e-170,464
BAB_RS16705,BAB_RS16705,100.000,330,0,0,1,330,1,330,0.0,673
BAB_RS16710,BAB_RS16710,100.000,218,0,0,1,218,1,218,3.37e-157,431
BAB_RS16715,BAB_RS16715,100.000,226,0,0,1,226,1,226,4.16e-165,451
BAB_RS16720,BAB_RS16720,100.000,356,0,0,1,356,1,356,0.0,710
BAB_RS16725,BAB_RS16725,100.000,238,0,0,1,238,1,238,5.27e-178,485
BAB_RS16740,BAB_RS16740,100.000,220,0,0,1,220,1,220,1.10e-163,447
BAB_RS16745,BAB_RS16745,100.000,404,0,0,1,404,1,404,0.0,831
BAB_RS16750,BAB_RS16750,100.000,303,0,0,1,303,1,303,0.0,603
BAB_RS16755,BAB_RS16755,100.000,126,0,0,1,126,1,126,1.92e-88,249
BAB_RS16760,BAB_RS16760,100.000,478,0,0,1,478,1,478,0.0,939
BAB_RS16765,BAB_RS16765,100.000,100,0,0,1,100,1,100,4.03e-69,198
BAB_RS16770,BAB_RS16770,100.000,556,0,0,1,556,1,556,0.0,1145
BAB_RS16775,BAB_RS16775,100.000,252,0,0,1,252,1,252,0.0,515
BAB_RS16780,BAB_RS16780,100.000,174,0,0,1,174,1,174,1.88e-126,349
BAB_RS16785,BAB_RS16785,100.000,97,0,0,1,97,1,97,5.29e-70,200
BAB_RS16790,BAB_RS16790,100.000,192,0,0,1,192,1,192,3.01e-141,388
BAB_RS16795,BAB_RS16795,100.000,81,0,0,1,81,1,81,2.95e-53,157
BAB_RS16800,BAB_RS16800,100.000,129,0,0,1,129,1,129,1.03e-91,258
BAB_RS16805,BAB_RS16805,100.000,1261,0,0,1,1261,1,1261,0.0,2587
BAB_RS16810,BAB_RS16810,100.000,235,0,0,1,235,1,235,8.23e-179,486
BAB_RS16815,BAB_RS16815,100.000,456,0,0,1,456,1,456,0.0,936
BAB_RS16820,BAB_RS16820,100.000,306,0,0,1,306,1,306,0.0,637
BAB_RS16825,BAB_RS16825,100.000,644,0,0,1,644,1,644,0.0,1312
BAB_RS16830,BAB_RS16830,100.000,281,0,0,1,281,1,281,0.0,568
BAB_RS16835,BAB_RS16835,100.000,25,0,0,1,25,1,25,2.96e-12,49.7
BAB_RS16840,BAB_RS16840,100.000,253,0,0,1,253,1,253,0.0,517
BAB_RS16845,BAB_RS16845,100.000,245,0,0,1,245,1,245,0.0,503
BAB_RS16850,BAB_RS16850,100.000,263,0,0,1,263,1,263,0.0,531
BAB_RS16855,BAB_RS16855,100.000,503,0,0,1,503,1,503,0.0,1025
BAB_RS16860,BAB_RS16860,100.000,322,0,0,1,322,1,322,0.0,646
BAB_RS16865,BAB_RS16865,100.000,505,0,0,1,505,1,505,0.0,995
BAB_RS16870,BAB_RS16870,100.000,344,0,0,1,344,1,344,0.0,701
BAB_RS16875,BAB_RS16875,100.000,131,0,0,1,131,1,131,7.09e-96,268
BAB_RS16880,BAB_RS16880,100.000,340,0,0,1,340,1,340,0.0,684
BAB_RS16900,BAB_RS16900,100.000,66,0,0,1,66,1,66,3.75e-46,138
BAB_RS16905,BAB_RS16905,100.000,477,0,0,1,477,1,477,0.0,976
BAB_RS16910,BAB_RS16910,100.000,258,0,0,1,258,1,258,0.0,498
BAB_RS16915,BAB_RS16915,100.000,232,0,0,1,232,1,232,8.70e-178,484
BAB_RS16920,BAB_RS16920,100.000,322,0,0,1,322,1,322,0.0,660
BAB_RS16925,BAB_RS16925,100.000,203,0,0,1,203,1,203,2.75e-148,407
BAB_RS16930,BAB_RS16930,100.000,256,0,0,1,256,1,256,0.0,517
BAB_RS16935,BAB_RS16935,100.000,65,0,0,1,65,1,65,2.61e-42,128
BAB_RS16940,BAB_RS16940,100.000,334,0,0,1,334,1,334,0.0,672
BAB_RS16945,BAB_RS16945,100.000,291,0,0,1,291,1,291,0.0,585
BAB_RS16950,BAB_RS16950,100.000,703,0,0,1,703,1,703,0.0,1449
BAB_RS16955,BAB_RS16955,100.000,759,0,0,1,759,1,759,0.0,1506
BAB_RS16960,BAB_RS16960,100.000,149,0,0,1,149,1,149,3.40e-111,308
BAB_RS16965,BAB_RS16965,100.000,248,0,0,1,248,1,248,1.85e-176,482
BAB_RS16970,BAB_RS16970,100.000,312,0,0,1,312,1,312,0.0,622
BAB_RS16975,BAB_RS16975,100.000,403,0,0,1,403,1,403,0.0,767
BAB_RS16980,BAB_RS16980,100.000,309,0,0,1,309,1,309,0.0,617
BAB_RS16985,BAB_RS16985,100.000,216,0,0,1,216,1,216,5.57e-165,450
BAB_RS16990,BAB_RS16990,100.000,421,0,0,1,421,1,421,0.0,865
BAB_RS16995,BAB_RS16995,100.000,417,0,0,1,417,1,417,0.0,867
BAB_RS17000,BAB_RS17000,100.000,101,0,0,1,101,1,101,5.72e-75,213
BAB_RS17005,BAB_RS17005,100.000,186,0,0,1,186,1,186,8.16e-142,389
BAB_RS17010,BAB_RS17010,100.000,376,0,0,1,376,1,376,0.0,767
BAB_RS17015,BAB_RS17015,100.000,447,0,0,1,447,1,447,0.0,927
BAB_RS17020,BAB_RS17020,100.000,184,0,0,1,184,1,184,6.16e-135,371
BAB_RS17025,BAB_RS17025,100.000,282,0,0,1,282,1,282,0.0,579
BAB_RS17030,BAB_RS17030,100.000,264,0,0,1,264,1,264,0.0,541
BAB_RS17035,BAB_RS17035,100.000,439,0,0,1,439,1,439,0.0,896
BAB_RS17040,BAB_RS17040,100.000,297,0,0,1,297,1,297,0.0,587
BAB_RS17045,BAB_RS17045,100.000,291,0,0,1,291,1,291,0.0,588
BAB_RS17050,BAB_RS17050,100.000,363,0,0,1,363,1,363,0.0,741
BAB_RS17055,BAB_RS17055,100.000,372,0,0,1,372,1,372,0.0,760
BAB_RS17060,BAB_RS17060,100.000,114,0,0,1,114,1,114,2.22e-85,240
BAB_RS17065,BAB_RS17065,100.000,359,0,0,1,359,1,359,0.0,732
BAB_RS17075,BAB_RS17075,100.000,244,0,0,1,244,1,244,8.27e-179,487
BAB_RS17080,BAB_RS17080,100.000,281,0,0,1,281,1,281,0.0,577
BAB_RS17085,BAB_RS17085,100.000,425,0,0,1,425,1,425,0.0,880
BAB_RS17090,BAB_RS17090,100.000,183,0,0,1,183,1,183,2.00e-137,377
BAB_RS17095,BAB_RS17095,100.000,65,0,0,1,65,1,65,1.07e-45,136
BAB_RS17100,BAB_RS17100,100.000,109,0,0,1,109,1,109,1.78e-79,225
BAB_RS17105,BAB_RS17105,100.000,398,0,0,1,398,1,398,0.0,806
BAB_RS17110,BAB_RS17110,100.000,148,0,0,1,148,1,148,2.71e-110,306
BAB_RS17115,BAB_RS17115,100.000,72,0,0,1,72,1,72,9.42e-50,147
BAB_RS17125,BAB_RS17125,100.000,293,0,0,1,293,1,293,0.0,590
BAB_RS17130,BAB_RS17130,100.000,509,0,0,1,509,1,509,0.0,1035
BAB_RS17140,BAB_RS17140,100.000,145,0,0,1,145,1,145,5.92e-107,297
BAB_RS17150,BAB_RS17150,100.000,338,0,0,1,338,1,338,0.0,696
BAB_RS17160,BAB_RS17160,100.000,706,0,0,1,706,1,706,0.0,1422
BAB_RS17165,BAB_RS17165,100.000,308,0,0,1,308,1,308,0.0,605
BAB_RS17170,BAB_RS17170,100.000,304,0,0,1,304,1,304,0.0,603
BAB_RS17175,BAB_RS17175,100.000,60,0,0,1,60,1,60,2.12e-36,112
BAB_RS17180,BAB_RS17180,100.000,101,0,0,1,101,1,101,5.10e-70,201
BAB_RS17185,BAB_RS17185,100.000,196,0,0,1,196,1,196,9.38e-149,407
BAB_RS17190,BAB_RS17190,100.000,68,0,0,1,68,1,68,6.06e-46,137
BAB_RS17200,BAB_RS17200,100.000,118,0,0,1,118,1,118,1.07e-83,236
BAB_RS17205,BAB_RS17205,100.000,182,0,0,1,182,1,182,8.59e-139,381
BAB_RS17210,BAB_RS17210,100.000,158,0,0,1,158,1,158,5.63e-117,324
BAB_RS17215,BAB_RS17215,100.000,81,0,0,1,81,1,81,9.00e-54,158
BAB_RS17220,BAB_RS17220,100.000,75,0,0,1,75,1,75,1.66e-51,152
BAB_RS17225,BAB_RS17225,100.000,96,0,0,1,96,1,96,5.90e-68,195
BAB_RS17230,BAB_RS17230,100.000,179,0,0,1,179,1,179,3.79e-132,364
BAB_RS17235,BAB_RS17235,100.000,202,0,0,1,202,1,202,4.03e-154,421
BAB_RS17240,BAB_RS17240,100.000,137,0,0,1,137,1,137,1.94e-100,280
BAB_RS17245,BAB_RS17245,100.000,78,0,0,1,78,1,78,6.51e-57,166
BAB_RS17250,BAB_RS17250,100.000,275,0,0,1,275,1,275,0.0,551
BAB_RS17255,BAB_RS17255,100.000,25,0,0,1,25,1,25,4.73e-13,51.6
BAB_RS17260,BAB_RS17260,100.000,71,0,0,1,71,1,71,2.14e-49,146
BAB_RS17265,BAB_RS17265,100.000,208,0,0,1,208,1,208,2.69e-153,420
BAB_RS17270,BAB_RS17270,100.000,72,0,0,1,72,1,72,1.40e-49,147
BAB_RS17275,BAB_RS17275,100.000,157,0,0,1,157,1,157,5.30e-115,319
BAB_RS17280,BAB_RS17280,100.000,160,0,0,1,160,1,160,1.22e-119,331
BAB_RS17285,BAB_RS17285,100.000,430,0,0,1,430,1,430,0.0,860
BAB_RS17290,BAB_RS17290,100.000,146,0,0,1,146,1,146,6.36e-108,300
BAB_RS17295,BAB_RS17295,100.000,429,0,0,1,429,1,429,0.0,871
BAB_RS17300,BAB_RS17300,100.000,79,0,0,1,79,1,79,1.44e-54,160
BAB_RS17305,BAB_RS17305,100.000,25,0,0,1,25,1,25,4.46e-11,46.6
BAB_RS17310,BAB_RS17310,100.000,588,0,0,1,588,1,588,0.0,1204
BAB_RS17315,BAB_RS17315,100.000,81,0,0,1,81,1,81,2.22e-56,165
BAB_RS17320,BAB_RS21210,100.000,205,0,0,1,205,1,205,3.73e-149,409
BAB_RS17325,BAB_RS21205,100.000,346,0,0,1,346,1,346,0.0,711
BAB_RS17330,BAB_RS17330,100.000,86,0,0,1,86,1,86,2.81e-56,165
BAB_RS17335,BAB_RS17335,100.000,129,0,0,1,129,1,129,7.08e-98,273
BAB_RS17340,BAB_RS17340,100.000,280,0,0,1,280,1,280,0.0,558
BAB_RS17345,BAB_RS17345,100.000,100,0,0,1,100,1,100,3.03e-69,199
BAB_RS17355,BAB_RS17355,100.000,101,0,0,1,101,1,101,1.60e-72,207
BAB_RS17360,BAB_RS17360,100.000,570,0,0,1,570,1,570,0.0,1173
BAB_RS17365,BAB_RS17365,100.000,171,0,0,1,171,1,171,5.73e-119,330
BAB_RS17370,BAB_RS17370,100.000,228,0,0,1,228,1,228,9.09e-170,463
BAB_RS17375,BAB_RS17375,100.000,208,0,0,1,208,1,208,1.55e-155,426
BAB_RS17380,BAB_RS17380,100.000,25,0,0,1,25,1,25,1.41e-13,53.1
BAB_RS17385,BAB_RS17385,100.000,517,0,0,1,517,1,517,0.0,1043
BAB_RS17390,BAB_RS17390,100.000,383,0,0,1,383,1,383,0.0,772
BAB_RS17395,BAB_RS17395,100.000,1043,0,0,1,1043,1,1043,0.0,2069
BAB_RS17410,BAB_RS17410,100.000,415,0,0,1,415,1,415,0.0,853
BAB_RS17415,BAB_RS17415,100.000,227,0,0,1,227,1,227,9.00e-169,461
BAB_RS17425,BAB_RS17425,100.000,436,0,0,1,436,1,436,0.0,904
BAB_RS17430,BAB_RS17430,100.000,493,0,0,1,493,1,493,0.0,1007
BAB_RS17435,BAB_RS17435,100.000,150,0,0,1,150,1,150,5.46e-110,305
BAB_RS17440,BAB_RS17440,100.000,549,0,0,1,549,1,549,0.0,1125
BAB_RS17445,BAB_RS17445,100.000,353,0,0,1,353,1,353,0.0,715
BAB_RS17450,BAB_RS17450,100.000,249,0,0,1,249,1,249,0.0,499
BAB_RS17455,BAB_RS17455,100.000,290,0,0,1,290,1,290,0.0,598
BAB_RS17460,BAB_RS17460,100.000,581,0,0,1,581,1,581,0.0,1203
BAB_RS17465,BAB_RS17465,100.000,209,0,0,1,209,1,209,1.15e-155,426
BAB_RS17470,BAB_RS17470,100.000,397,0,0,1,397,1,397,0.0,801
BAB_RS17475,BAB_RS17475,100.000,1051,0,0,1,1051,1,1051,0.0,2118
BAB_RS17485,BAB_RS17485,100.000,280,0,0,1,280,1,280,0.0,580
BAB_RS17490,BAB_RS17490,100.000,630,0,0,1,630,1,630,0.0,1296
BAB_RS17495,BAB_RS17495,100.000,319,0,0,1,319,1,319,0.0,665
BAB_RS17500,BAB_RS17500,100.000,438,0,0,1,438,1,438,0.0,882
BAB_RS17505,BAB_RS17505,100.000,180,0,0,1,180,1,180,1.18e-135,373
BAB_RS17510,BAB_RS17510,100.000,403,0,0,1,403,1,403,0.0,820
BAB_RS17515,BAB_RS17515,100.000,312,0,0,1,312,1,312,0.0,651
BAB_RS17520,BAB_RS17520,100.000,340,0,0,1,340,1,340,0.0,691
BAB_RS17525,BAB_RS17525,100.000,130,0,0,1,130,1,130,1.09e-95,268
BAB_RS17530,BAB_RS17530,100.000,398,0,0,1,398,1,398,0.0,818
BAB_RS17540,BAB_RS17540,100.000,363,0,0,1,363,1,363,0.0,728
BAB_RS17545,BAB_RS17545,100.000,336,0,0,1,336,1,336,0.0,681
BAB_RS17550,BAB_RS17550,100.000,88,0,0,1,88,1,88,1.86e-59,173
BAB_RS17555,BAB_RS17555,100.000,160,0,0,1,160,1,160,3.54e-118,327
BAB_RS17560,BAB_RS17560,100.000,456,0,0,1,456,1,456,0.0,896
BAB_RS17565,BAB_RS17565,100.000,364,0,0,1,364,1,364,0.0,731
BAB_RS17570,BAB_RS17570,100.000,117,0,0,1,117,1,117,2.37e-83,236
BAB_RS17575,BAB_RS17575,100.000,151,0,0,1,151,1,151,1.86e-111,309
BAB_RS17580,BAB_RS17580,100.000,316,0,0,1,316,1,316,0.0,655
BAB_RS17585,BAB_RS17585,100.000,213,0,0,1,213,1,213,2.50e-152,418
BAB_RS17590,BAB_RS17590,100.000,1171,0,0,1,1171,1,1171,0.0,2362
BAB_RS17595,BAB_RS17595,100.000,138,0,0,1,138,1,138,7.71e-97,271
BAB_RS17600,BAB_RS17600,100.000,425,0,0,1,425,1,425,0.0,872
BAB_RS17605,BAB_RS17605,100.000,233,0,0,1,233,1,233,9.19e-178,484
BAB_RS17610,BAB_RS17610,100.000,239,0,0,1,239,1,239,2.38e-180,491
BAB_RS17615,BAB_RS17615,100.000,224,0,0,1,224,1,224,2.77e-171,466
BAB_RS17620,BAB_RS17620,100.000,61,0,0,1,61,1,61,3.85e-41,125
