Melitensis16M|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00495,BAB_RS25280,99.699,332,1,0,1,332,1,332,0.0,660
BME_RS00500,BAB_RS25275,99.602,251,1,0,1,251,1,251,0.0,520
BME_RS00505,BAB_RS25270,99.172,483,4,0,1,483,1,483,0.0,977
BME_RS00510,BAB_RS25265,99.110,337,3,0,1,337,1,337,0.0,672
BME_RS00515,BAB_RS25260,99.262,271,2,0,1,271,1,271,0.0,548
BME_RS00520,BAB_RS25255,100.000,240,0,0,1,240,1,240,9.55e-177,482
BME_RS00525,BAB_RS25250,100.000,166,0,0,1,166,1,166,2.59e-117,325
BME_RS00530,BAB_RS25245,99.644,281,1,0,1,281,1,281,0.0,568
BME_RS00535,BAB_RS25240,99.373,319,1,1,1,319,1,318,0.0,627
BME_RS00540,BAB_RS25235,100.000,66,0,0,1,66,1,66,4.29e-45,135
BME_RS00545,BAB_RS25230,100.000,28,0,0,1,28,1,28,1.85e-14,55.5
BME_RS00555,BAB_RS32945,98.467,261,4,0,1,261,1,261,0.0,528
BME_RS00560,BAB_RS25210,99.766,428,1,0,1,428,1,428,0.0,870
BME_RS00565,BAB_RS25205,100.000,68,0,0,1,68,1,68,1.88e-45,136
BME_RS00570,BAB_RS25200,99.890,906,1,0,1,906,1,906,0.0,1863
BME_RS00575,BAB_RS25195,100.000,48,0,0,1,48,1,48,7.34e-32,100
BME_RS00580,BAB_RS25190,100.000,331,0,0,1,331,1,331,0.0,660
BME_RS00585,BAB_RS25185,99.516,413,2,0,1,413,1,413,0.0,831
BME_RS00590,BAB_RS25180,99.603,252,1,0,1,252,1,252,0.0,512
BME_RS00595,BAB_RS25175,98.551,138,2,0,1,138,1,138,8.49e-98,274
BME_RS00600,BAB_RS25170,99.010,101,1,0,1,101,1,101,3.67e-73,209
BME_RS00605,BAB_RS32940,100.000,84,0,0,1,84,1,84,1.11e-57,173
BME_RS00610,BAB_RS25160,100.000,260,0,0,1,260,1,260,0.0,537
BME_RS00615,BAB_RS25155,99.545,220,1,0,1,220,1,220,4.89e-158,433
BME_RS00620,BAB_RS25150,99.570,465,2,0,1,465,1,465,0.0,905
BME_RS00625,BAB_RS25145,99.766,427,1,0,1,427,1,427,0.0,873
BME_RS00630,BAB_RS25140,99.670,303,1,0,1,303,1,303,0.0,618
BME_RS00635,BAB_RS25135,100.000,177,0,0,1,177,1,177,1.34e-125,347
BME_RS00640,BAB_RS25130,99.483,387,2,0,1,387,17,403,0.0,791
BME_RS00645,BAB_RS25125,99.375,320,2,0,1,320,1,320,0.0,639
BME_RS00650,BAB_RS25120,100.000,398,0,0,1,398,1,398,0.0,792
BME_RS00655,BAB_RS25115,99.667,300,1,0,1,300,1,300,0.0,595
BME_RS00660,BAB_RS25110,99.701,1004,3,0,1,1004,1,1004,0.0,2081
BME_RS00665,BAB_RS25105,99.755,408,1,0,1,408,1,408,0.0,814
BME_RS00670,BAB_RS25100,99.270,137,1,0,1,137,1,137,4.86e-93,262
BME_RS00675,BAB_RS25095,99.528,212,1,0,1,212,1,212,1.89e-154,423
BME_RS00680,BAB_RS25090,100.000,180,0,0,1,180,1,180,1.09e-135,373
BME_RS00685,BAB_RS25085,99.143,467,4,0,1,467,1,467,0.0,923
BME_RS00690,BAB_RS25080,100.000,333,0,0,1,333,1,333,0.0,680
BME_RS00695,BAB_RS25075,99.683,315,1,0,1,315,1,315,0.0,627
BME_RS00700,BAB_RS25070,100.000,189,0,0,1,189,1,189,5.67e-137,377
BME_RS00705,BAB_RS25065,100.000,244,0,0,1,244,1,244,0.0,493
BME_RS00710,BAB_RS25060,99.548,221,1,0,1,221,1,221,7.13e-163,445
BME_RS00715,BAB_RS25055,100.000,107,0,0,1,107,1,107,3.59e-78,222
BME_RS00720,BAB_RS25050,100.000,120,0,0,1,120,1,120,1.45e-86,244
BME_RS00725,BAB_RS25045,100.000,136,0,0,1,136,1,136,2.81e-98,275
BME_RS00730,BAB_RS25040,93.976,83,0,1,1,78,1,83,2.76e-50,149
BME_RS00735,BAB_RS25035,100.000,415,0,0,1,415,1,415,0.0,805
BME_RS00740,BAB_RS25030,100.000,145,0,0,1,145,1,145,3.94e-102,285
BME_RS00745,BAB_RS25025,99.787,469,1,0,1,469,1,469,0.0,964
BME_RS00750,BAB_RS25020,100.000,152,0,0,1,152,1,152,4.10e-110,306
BME_RS00755,BAB_RS25015,100.000,132,0,0,1,132,1,132,1.20e-94,265
BME_RS00760,BAB_RS25010,98.473,131,2,0,1,131,1,131,7.32e-92,258
BME_RS00765,BAB_RS25005,99.511,613,3,0,1,613,1,613,0.0,1268
BME_RS00770,BAB_RS25000,100.000,259,0,0,1,259,1,259,0.0,538
BME_RS00775,BAB_RS24995,99.187,123,1,0,1,123,1,123,3.68e-89,251
BME_RS00780,BAB_RS24990,99.517,414,2,0,1,414,1,414,0.0,834
BME_RS00785,BAB_RS24985,99.667,300,1,0,1,300,1,300,0.0,615
BME_RS00790,BAB_RS24980,99.538,433,2,0,1,433,1,433,0.0,845
BME_RS00795,BAB_RS24975,95.433,854,2,1,1,817,1,854,0.0,1622
BME_RS00800,BAB_RS24970,99.594,493,2,0,1,493,1,493,0.0,1000
BME_RS00805,BAB_RS24965,99.649,285,1,0,1,285,1,285,0.0,549
BME_RS00810,BAB_RS24960,98.624,218,3,0,1,218,1,218,1.21e-158,434
BME_RS00815,BAB_RS24955,100.000,142,0,0,1,142,1,142,2.97e-107,298
BME_RS00820,BAB_RS24950,100.000,96,0,0,1,96,1,96,8.75e-68,194
BME_RS00825,BAB_RS24945,100.000,326,0,0,1,326,1,326,0.0,645
BME_RS00830,BAB_RS24940,99.721,359,1,0,1,359,1,359,0.0,720
BME_RS00835,BAB_RS24935,100.000,314,0,0,1,314,1,314,0.0,625
BME_RS00840,BAB_RS24930,100.000,235,0,0,1,235,1,235,6.66e-174,474
BME_RS00845,BAB_RS24925,99.782,458,1,0,1,458,1,458,0.0,897
BME_RS00850,BAB_RS24920,99.809,523,1,0,1,523,1,523,0.0,1038
BME_RS00855,BAB_RS32915,99.371,159,1,0,1,159,1,159,5.43e-113,314
BME_RS00860,BAB_RS24905,99.515,412,2,0,1,412,1,412,0.0,797
BME_RS00865,BAB_RS24900,98.653,297,4,0,1,297,1,297,0.0,585
BME_RS00870,BAB_RS24895,99.618,262,1,0,1,262,1,262,0.0,531
BME_RS00875,BAB_RS24890,100.000,88,0,0,1,88,1,88,2.44e-63,183
BME_RS00880,BAB_RS24885,100.000,284,0,0,1,284,1,284,0.0,579
BME_RS00885,BAB_RS24880,98.582,141,2,0,1,141,1,141,1.42e-104,291
BME_RS00890,BAB_RS24875,98.986,296,3,0,1,296,1,296,0.0,571
BME_RS00895,BAB_RS24870,99.597,248,1,0,1,248,1,248,0.0,513
BME_RS00900,BAB_RS24865,100.000,423,0,0,1,423,1,423,0.0,860
BME_RS00905,BAB_RS24860,99.868,756,1,0,1,756,1,756,0.0,1512
BME_RS00910,BAB_RS24855,99.443,359,2,0,1,359,1,359,0.0,722
BME_RS00915,BAB_RS24850,99.661,295,1,0,1,295,1,295,0.0,588
BME_RS00920,BAB_RS24845,99.617,261,1,0,1,261,1,261,0.0,508
BME_RS00925,BAB_RS24840,99.657,874,3,0,1,874,1,874,0.0,1751
BME_RS00930,BAB_RS24835,99.790,477,1,0,1,477,1,477,0.0,962
BME_RS00935,BAB_RS24830,99.693,651,2,0,1,651,1,651,0.0,1328
BME_RS00940,BAB_RS31465,100.000,496,0,0,1,496,1,496,0.0,945
BME_RS00945,BAB_RS31460,100.000,25,0,0,1,25,1,25,4.46e-11,46.6
BME_RS00950,BAB_RS31455,100.000,25,0,0,1,25,1,25,1.01e-12,50.8
BME_RS00955,BAB_RS31445,99.833,598,1,0,377,974,377,974,0.0,1134
BME_RS00960,BAB_RS31440,100.000,38,0,0,1,38,1,38,1.33e-20,71.6
BME_RS00965,BAB_RS31435,100.000,25,0,0,1,25,1,25,7.21e-12,48.5
BME_RS00970,BAB_RS24790,100.000,224,0,0,1,224,1,224,1.84e-168,459
BME_RS00975,BAB_RS24785,99.582,479,2,0,1,479,1,479,0.0,973
BME_RS00980,BAB_RS24780,100.000,228,0,0,1,228,1,228,7.33e-174,473
BME_RS00985,BAB_RS24760,100.000,30,0,0,1,30,1,30,3.55e-17,62.4
BME_RS00990,BAB_RS24755,98.592,142,2,0,1,142,1,142,1.16e-96,271
BME_RS00995,BAB_RS24750,100.000,87,0,0,1,87,3,89,2.87e-60,175
BME_RS01005,BAB_RS24740,98.919,185,2,0,1,185,1,185,4.72e-136,374
BME_RS01010,BAB_RS24735,83.658,257,0,1,13,227,1,257,4.33e-137,382
BME_RS01015,BAB_RS24730,100.000,341,0,0,1,341,1,341,0.0,693
BME_RS01020,BAB_RS24725,99.735,378,1,0,1,378,1,378,0.0,747
BME_RS01025,BAB_RS24720,99.532,427,2,0,1,427,1,427,0.0,848
BME_RS01030,BAB_RS24715,100.000,224,0,0,1,224,1,224,1.00e-168,460
BME_RS01035,BAB_RS24710,99.187,123,1,0,1,123,1,123,6.88e-89,250
BME_RS01040,BAB_RS24705,97.126,174,0,1,1,174,1,169,3.60e-119,330
BME_RS01045,BAB_RS24700,99.331,299,2,0,1,299,1,299,0.0,606
BME_RS01050,BAB_RS24695,99.555,449,2,0,1,449,1,449,0.0,890
BME_RS01055,BAB_RS24690,99.774,442,1,0,1,442,1,442,0.0,874
BME_RS01060,BAB_RS24685,99.438,178,1,0,1,178,1,178,7.53e-134,368
BME_RS01065,BAB_RS24680,100.000,84,0,0,1,84,1,84,2.39e-48,145
BME_RS01070,BAB_RS24675,100.000,214,0,0,1,214,1,214,8.45e-151,414
BME_RS01075,BAB_RS24670,99.659,293,1,0,1,293,1,293,0.0,588
BME_RS01080,BAB_RS24665,99.799,498,1,0,1,498,1,498,0.0,1017
BME_RS01085,BAB_RS24660,100.000,95,0,0,1,95,1,95,1.66e-63,184
BME_RS01090,BAB_RS24655,99.329,298,2,0,1,298,1,298,0.0,592
BME_RS01095,BAB_RS24650,99.533,214,0,1,1,213,1,214,1.17e-160,439
BME_RS01100,BAB_RS24645,99.636,275,1,0,1,275,1,275,0.0,560
BME_RS01105,BAB_RS24640,99.426,523,3,0,1,523,1,523,0.0,1012
BME_RS01110,BAB_RS24635,98.851,87,1,0,1,87,1,87,1.10e-58,172
BME_RS01115,BAB_RS24630,99.254,134,1,0,1,134,1,134,1.86e-93,263
BME_RS01120,BAB_RS24625,100.000,207,0,0,1,207,1,207,1.53e-155,426
BME_RS01125,BAB_RS24620,100.000,255,0,0,1,255,1,255,0.0,507
BME_RS01130,BAB_RS24615,99.531,213,1,0,1,213,1,213,6.24e-156,427
BME_RS01135,BAB_RS24610,99.688,1600,5,0,1,1600,1,1600,0.0,3229
BME_RS01140,BAB_RS24605,99.751,401,1,0,1,401,1,401,0.0,797
BME_RS01145,BAB_RS24600,99.814,538,1,0,1,538,1,538,0.0,1080
BME_RS01150,BAB_RS24595,100.000,580,0,0,1,580,1,580,0.0,1184
BME_RS01155,BAB_RS24590,99.355,465,3,0,1,465,1,465,0.0,933
BME_RS01160,BAB_RS24585,99.077,325,3,0,1,325,1,325,0.0,652
BME_RS01165,BAB_RS24580,100.000,72,0,0,1,72,1,72,1.89e-48,144
BME_RS01170,BAB_RS24575,99.846,651,1,0,1,651,1,651,0.0,1347
BME_RS01175,BAB_RS24570,100.000,95,0,0,1,95,1,95,2.68e-69,198
BME_RS01180,BAB_RS24565,99.432,176,1,0,1,176,1,176,3.90e-129,356
BME_RS01185,BAB_RS24560,99.558,226,1,0,1,226,1,226,1.19e-166,455
BME_RS01190,BAB_RS24555,99.772,877,2,0,1,877,1,877,0.0,1816
BME_RS01195,BAB_RS24550,100.000,193,0,0,1,193,1,193,4.46e-141,388
BME_RS01200,BAB_RS24545,99.539,217,1,0,1,217,1,217,8.91e-160,437
BME_RS01205,BAB_RS24540,100.000,312,0,0,1,312,1,312,0.0,631
BME_RS01210,BAB_RS24535,99.270,137,1,0,1,137,1,137,1.27e-93,263
BME_RS01215,BAB_RS24530,98.925,186,2,0,1,186,1,186,1.86e-129,358
BME_RS01220,BAB_RS24525,99.803,508,1,0,1,508,1,508,0.0,1020
BME_RS01225,BAB_RS24520,100.000,292,0,0,1,292,1,292,0.0,597
BME_RS01230,BAB_RS24515,99.808,521,1,0,1,521,1,521,0.0,1044
BME_RS01235,BAB_RS24510,100.000,135,0,0,1,135,1,135,1.61e-98,275
BME_RS01240,BAB_RS24505,99.310,145,1,0,1,145,1,145,1.15e-99,279
BME_RS01245,BAB_RS24500,100.000,231,0,0,1,231,1,231,9.86e-168,458
BME_RS01250,BAB_RS24495,99.524,420,2,0,1,420,1,420,0.0,842
BME_RS01255,BAB_RS24490,99.099,333,3,0,1,333,1,333,0.0,686
BME_RS01260,BAB_RS24485,99.007,302,3,0,1,302,1,302,0.0,582
BME_RS01265,BAB_RS24480,100.000,459,0,0,1,459,1,459,0.0,902
BME_RS01270,BAB_RS24475,95.455,396,12,1,1,390,1,396,0.0,759
BME_RS01275,BAB_RS24470,100.000,248,0,0,1,248,1,248,0.0,503
BME_RS01280,BAB_RS24465,100.000,114,0,0,1,114,1,114,2.55e-82,233
BME_RS01285,BAB_RS24460,96.226,371,14,0,1,371,1,371,0.0,726
BME_RS01295,BAB_RS24450,99.655,1158,4,0,1,1158,1,1158,0.0,2368
BME_RS01300,BAB_RS24445,66.667,45,12,2,1,44,1,43,6.86e-09,53.5
BME_RS01305,BAB_RS24440,99.620,263,1,0,1,263,1,263,0.0,533
BME_RS01310,BAB_RS24435,99.524,420,2,0,1,420,1,420,0.0,855
BME_RS01315,BAB_RS24430,100.000,304,0,0,1,304,1,304,0.0,605
BME_RS01320,BAB_RS24425,99.602,251,1,0,1,251,1,251,0.0,508
BME_RS01325,BAB_RS24420,100.000,59,0,0,1,59,1,59,1.50e-39,120
BME_RS01330,BAB_RS24415,100.000,143,0,0,1,143,1,143,4.89e-100,280
BME_RS01335,BAB_RS24410,99.213,381,3,0,1,381,1,381,0.0,759
BME_RS01340,BAB_RS24405,99.416,1028,6,0,1,1028,1,1028,0.0,2065
BME_RS01345,BAB_RS24400,100.000,133,0,0,1,133,1,133,9.85e-95,266
BME_RS01350,BAB_RS24395,100.000,112,0,0,1,112,1,112,1.80e-80,228
BME_RS01355,BAB_RS24390,100.000,191,0,0,1,191,1,191,2.06e-139,383
BME_RS01360,BAB_RS24380,98.714,311,4,0,1,311,1,311,0.0,622
BME_RS01365,BAB_RS24375,98.347,242,4,0,1,242,1,242,1.08e-180,492
BME_RS01370,BAB_RS24370,99.391,493,3,0,1,493,1,493,0.0,997
BME_RS01375,BAB_RS24365,99.585,241,1,0,1,241,1,241,7.76e-177,482
BME_RS01380,BAB_RS24360,99.632,543,2,0,1,543,1,543,0.0,1057
BME_RS01385,BAB_RS24355,99.401,334,2,0,1,334,1,334,0.0,677
BME_RS01390,BAB_RS24350,100.000,218,0,0,1,218,1,218,3.49e-163,446
BME_RS01395,BAB_RS24345,96.667,30,1,0,1,30,1,30,5.87e-15,61.2
BME_RS01400,BAB_RS24340,99.174,605,5,0,1,605,1,605,0.0,1203
BME_RS01405,BAB_RS24335,100.000,86,0,0,1,86,1,86,4.63e-58,169
BME_RS01410,BAB_RS24330,100.000,272,0,0,1,272,1,272,0.0,553
BME_RS01415,BAB_RS24325,100.000,153,0,0,1,153,1,153,5.08e-116,321
BME_RS01420,BAB_RS24320,99.582,478,2,0,1,478,1,478,0.0,960
BME_RS01425,BAB_RS24315,99.563,229,1,0,1,229,1,229,1.18e-171,468
BME_RS01435,BAB_RS24305,99.171,362,3,0,1,362,1,362,0.0,729
BME_RS01440,BAB_RS24300,100.000,162,0,0,1,162,1,162,3.97e-115,320
BME_RS01445,BAB_RS24295,100.000,67,0,0,1,67,1,67,3.23e-43,130
BME_RS01450,BAB_RS24290,100.000,59,0,0,1,59,1,59,6.97e-37,114
BME_RS01455,BAB_RS24285,100.000,219,0,0,194,412,1,219,4.32e-156,436
BME_RS01460,BAB_RS24275,100.000,63,0,0,1,63,1,63,2.68e-40,123
BME_RS01465,BAB_RS24270,99.701,334,1,0,1,334,1,334,0.0,674
BME_RS01470,BAB_RS24265,100.000,229,0,0,1,229,1,229,1.57e-172,470
BME_RS01475,BAB_RS24260,100.000,135,0,0,1,135,1,135,2.19e-97,273
BME_RS01480,BAB_RS24255,96.591,176,6,0,1,176,1,176,2.77e-118,333
BME_RS01485,BAB_RS24250,100.000,61,0,0,1,61,1,61,1.11e-41,126
BME_RS01490,BAB_RS24245,99.686,636,2,0,1,636,1,636,0.0,1304
BME_RS01495,BAB_RS24240,100.000,72,0,0,1,72,1,72,2.29e-46,139
BME_RS01500,BAB_RS24235,99.747,396,1,0,1,396,1,396,0.0,795
BME_RS01505,BAB_RS24230,99.701,335,1,0,1,335,1,335,0.0,683
BME_RS01510,BAB_RS24225,99.849,663,1,0,1,663,1,663,0.0,1367
BME_RS01515,BAB_RS24220,100.000,90,0,0,1,90,1,90,1.70e-57,168
BME_RS01520,BAB_RS24215,100.000,121,0,0,1,121,1,121,3.92e-87,245
BME_RS01525,BAB_RS24210,99.495,198,1,0,1,198,1,198,8.29e-144,395
BME_RS01530,BAB_RS24205,100.000,274,0,0,1,274,1,274,0.0,561
BME_RS01535,BAB_RS24200,99.190,247,2,0,1,247,1,247,4.80e-176,481
BME_RS01540,BAB_RS24195,100.000,142,0,0,1,142,1,142,3.17e-104,290
BME_RS01545,BAB_RS24190,100.000,191,0,0,1,191,1,191,3.41e-132,365
BME_RS01550,BAB_RS24185,99.565,230,1,0,1,230,1,230,6.30e-166,454
BME_RS01555,BAB_RS24180,100.000,248,0,0,1,248,1,248,0.0,507
BME_RS01560,BAB_RS24175,100.000,73,0,0,1,73,1,73,1.01e-51,152
BME_RS01565,BAB_RS24170,99.559,681,3,0,1,681,1,681,0.0,1359
BME_RS01570,BAB_RS24165,100.000,343,0,0,1,343,1,343,0.0,681
BME_RS01575,BAB_RS24160,99.713,349,1,0,1,349,1,349,0.0,691
BME_RS01580,BAB_RS24155,99.240,263,2,0,1,263,1,263,0.0,529
BME_RS01585,BAB_RS24150,100.000,186,0,0,1,186,1,186,1.42e-137,378
BME_RS01590,BAB_RS24145,99.714,350,1,0,1,350,1,350,0.0,702
BME_RS01595,BAB_RS24140,100.000,221,0,0,1,221,1,221,8.32e-162,442
BME_RS01600,BAB_RS24135,100.000,400,0,0,1,400,1,400,0.0,794
BME_RS01605,BAB_RS24130,99.405,168,1,0,1,168,1,168,6.60e-121,335
BME_RS01610,BAB_RS24125,100.000,173,0,0,1,173,1,173,5.75e-128,353
BME_RS01615,BAB_RS24120,100.000,205,0,0,1,205,1,205,1.57e-147,405
BME_RS01620,BAB_RS24115,99.711,346,1,0,1,346,1,346,0.0,681
BME_RS01625,BAB_RS24110,98.658,149,2,0,1,149,1,149,2.25e-110,306
BME_RS01630,BAB_RS24105,100.000,236,0,0,1,236,1,236,7.64e-171,466
BME_RS01635,BAB_RS24100,99.333,150,1,0,1,150,1,150,2.87e-108,301
BME_RS01640,BAB_RS24095,99.719,356,1,0,1,356,1,356,0.0,699
BME_RS01645,BAB_RS24090,99.774,443,1,0,1,443,1,443,0.0,902
BME_RS01650,BAB_RS24085,100.000,168,0,0,1,168,1,168,1.40e-124,344
BME_RS01660,BAB_RS24075,99.795,488,1,0,1,488,1,488,0.0,991
