Abortus2308|Q.,C_crescentus|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16355,CC_3666,33.333,240,150,5,3,238,14,247,3.66e-35,122
BAB_RS16360,CC_3667,66.890,894,292,3,1,893,1,891,0.0,1237
BAB_RS16365,CC_3668,39.247,186,109,1,6,187,8,193,2.17e-32,113
BAB_RS16370,CC_3669,40.271,221,123,3,4,221,7,221,6.85e-18,76.3
BAB_RS16375,CC_3672,52.137,234,110,2,14,245,10,243,1.83e-78,234
BAB_RS16385,CC_3674,43.182,176,87,4,17,192,4,166,2.81e-41,135
BAB_RS16390,CC_3044,76.797,612,138,2,1,609,1,611,0.0,970
BAB_RS16400,CC_3058,37.391,115,67,1,2,116,348,457,6.76e-17,72.0
BAB_RS16425,CC_0286,61.290,310,117,3,31,340,42,348,8.89e-136,387
BAB_RS16430,CC_1596,59.712,278,112,0,5,282,40,317,3.51e-108,313
BAB_RS16435,CC_1597,67.491,283,91,1,5,286,3,285,2.39e-123,351
BAB_RS16440,CC_1598,59.929,282,111,1,1,282,21,300,1.05e-111,327
BAB_RS16460,CC_1846,28.729,181,123,4,38,217,43,218,1.31e-14,68.2
BAB_RS16465,CC_1298,26.347,334,188,13,2,300,10,320,7.34e-16,74.7
BAB_RS16470,CC_1816,29.389,262,156,9,22,268,3,250,1.62e-26,104
BAB_RS16475,CC_0252,43.689,618,328,5,67,678,19,622,2.97e-162,481
BAB_RS16490,CC_3603,54.000,200,92,0,6,205,6,205,2.44e-73,218
BAB_RS16500,CC_3464,58.890,973,366,7,7,978,28,967,0.0,1087
BAB_RS16505,CC_1478,50.317,630,282,7,9,622,8,622,0.0,550
BAB_RS16510,CC_0160,65.361,817,254,8,10,813,5,805,0.0,1032
BAB_RS16515,CC_2515,53.957,278,123,3,1,276,3,277,3.91e-99,288
BAB_RS16530,CC_2516,75.676,370,89,1,1,370,1,369,0.0,561
BAB_RS16540,CC_1185,60.209,573,225,3,52,622,2,573,0.0,583
BAB_RS16545,CC_1185,54.124,194,88,1,1,193,620,813,1.50e-64,209
BAB_RS16550,CC_0248,44.337,415,215,8,25,429,52,460,5.49e-95,290
BAB_RS16555,CC_3595,48.760,121,61,1,1,120,1,121,1.86e-38,123
BAB_RS16560,CC_2897,43.511,131,70,3,1,130,37,164,4.66e-27,95.9
BAB_RS16565,CC_0247,71.519,158,45,0,30,187,28,185,3.62e-68,203
BAB_RS16570,CC_3467,46.565,131,70,0,17,147,11,141,5.50e-39,127
BAB_RS16580,CC_0062,56.250,192,77,4,1,189,35,222,1.14e-71,213
BAB_RS16590,CC_0064,53.314,347,144,1,6,352,13,341,9.74e-137,390
BAB_RS16595,CC_0065,38.795,531,303,8,3,522,31,550,2.14e-94,295
BAB_RS16600,CC_0013,44.903,873,465,9,38,902,38,902,0.0,725
BAB_RS16605,CC_3549,52.436,349,166,0,1,349,410,758,2.21e-122,367
BAB_RS16610,CC_0012,51.171,897,416,8,21,906,15,900,0.0,818
BAB_RS16620,CC_0700,32.824,131,79,5,34,160,40,165,2.54e-08,47.8
BAB_RS16625,CC_1187,48.263,259,133,1,28,286,4,261,1.55e-86,257
BAB_RS16630,CC_1188,52.189,297,135,4,83,378,9,299,3.33e-98,291
BAB_RS16640,CC_3586,63.736,91,33,0,1,91,1,91,5.54e-40,124
BAB_RS16645,CC_0927,32.768,177,111,3,76,247,339,512,1.15e-14,71.2
BAB_RS16650,CC_1168,25.000,148,111,0,80,227,60,207,2.67e-11,58.2
BAB_RS16655,CC_3601,31.902,163,99,4,52,213,32,183,1.58e-15,68.9
BAB_RS16660,CC_3600,59.184,245,100,0,32,276,2,246,2.55e-108,311
BAB_RS16665,CC_3599,51.282,507,221,7,1,494,1,494,3.96e-171,489
BAB_RS16670,CC_3597,45.641,195,97,3,1,186,1,195,1.45e-51,162
BAB_RS16675,CC_3596,42.949,156,85,2,1,154,27,180,9.00e-42,134
BAB_RS16685,CC_3592,52.817,142,57,4,1,136,23,160,6.38e-43,136
BAB_RS16695,CC_3731,53.219,233,105,3,1,230,1,232,2.10e-77,231
BAB_RS16705,CC_3733,51.829,328,157,1,2,329,39,365,2.16e-113,330
BAB_RS16710,CC_3680,49.528,212,98,4,2,212,23,226,1.59e-58,181
BAB_RS16715,CC_0154,46.296,162,84,2,50,210,4,163,2.19e-43,142
BAB_RS16720,CC_0153,52.312,346,161,3,10,355,15,356,7.57e-123,355
BAB_RS16725,CC_0152,64.557,237,83,1,1,237,1,236,1.79e-110,314
BAB_RS16740,CC_0146,50.254,197,83,4,8,204,4,185,4.40e-58,179
BAB_RS16745,CC_0145,45.646,379,201,5,27,403,8,383,1.46e-94,286
BAB_RS16750,CC_0144,49.104,279,135,3,23,299,14,287,1.56e-72,222
BAB_RS16755,CC_0143,42.718,103,59,0,15,117,17,119,3.34e-16,66.6
BAB_RS16760,CC_1118,48.750,240,121,1,224,463,24,261,1.03e-59,195
BAB_RS16770,CC_1119,59.747,554,216,4,1,551,1,550,0.0,689
BAB_RS16775,CC_1121,51.131,221,101,3,30,247,26,242,2.44e-74,223
BAB_RS16780,CC_1120,39.496,119,71,1,17,134,16,134,4.25e-22,84.7
BAB_RS16790,CC_0659,48.603,179,92,0,1,179,1,179,1.76e-46,148
BAB_RS16805,CC_2137,67.342,888,278,6,372,1253,9,890,0.0,1203
BAB_RS16810,CC_1150,44.068,59,33,0,175,233,141,199,4.74e-08,48.5
BAB_RS16815,CC_3132,42.667,450,251,5,8,454,13,458,8.58e-118,350
BAB_RS16820,CC_1483,71.717,297,84,0,10,306,15,311,9.47e-163,452
BAB_RS16825,CC_1482,61.269,599,232,0,14,612,12,610,0.0,749
BAB_RS16830,CC_3469,41.296,247,136,4,26,271,24,262,9.81e-50,162
BAB_RS16840,CC_0752,25.248,202,130,3,43,229,11,206,6.91e-11,57.4
BAB_RS16845,CC_1150,36.190,105,61,2,125,229,92,190,1.45e-10,55.8
BAB_RS16860,CC_3579,56.688,314,124,4,9,320,6,309,1.28e-112,326
BAB_RS16865,CC_3580,74.894,235,58,1,1,234,1,235,7.34e-119,356
BAB_RS16870,CC_3029,33.152,368,210,12,5,340,1,364,1.20e-46,159
BAB_RS16880,CC_2053,44.277,332,183,1,7,336,4,335,3.72e-97,288
BAB_RS16905,CC_0822,53.602,472,217,2,5,475,6,476,1.29e-169,483
BAB_RS16910,CC_2635,32.340,235,154,2,21,250,11,245,7.68e-29,107
BAB_RS16920,CC_2633,25.076,327,221,12,1,310,4,323,3.59e-14,68.9
BAB_RS16925,CC_3264,34.211,152,94,5,28,177,37,184,2.96e-15,68.6
BAB_RS16930,CC_1880,43.320,247,139,1,6,252,22,267,1.19e-55,177
BAB_RS16935,CC_1881,37.879,66,40,1,1,65,1,66,1.20e-08,43.5
BAB_RS16945,CC_3223,48.361,244,119,5,37,278,23,261,4.68e-61,192
BAB_RS16950,CC_3094,43.339,593,323,6,116,697,118,708,5.78e-155,464
BAB_RS16955,CC_1407,33.865,753,427,17,12,752,25,718,1.95e-93,304
BAB_RS16960,CC_3082,39.683,63,38,0,1,63,1,63,7.11e-11,53.1
BAB_RS16970,CC_3134,43.882,237,129,2,1,237,14,246,3.47e-59,191
BAB_RS16990,CC_2082,24.430,307,179,11,52,347,26,290,3.52e-11,60.8
BAB_RS17015,CC_3355,28.344,314,198,10,96,404,43,334,3.66e-24,100
BAB_RS17045,CC_3135,23.196,194,134,6,56,242,82,267,8.09e-10,55.5
BAB_RS17050,CC_3134,47.773,247,127,1,4,250,15,259,7.87e-79,244
BAB_RS17055,CC_0532,26.446,363,219,9,35,354,21,378,2.22e-26,105
BAB_RS17075,CC_3384,33.712,264,141,10,5,242,7,262,2.63e-32,115
BAB_RS17080,CC_3567,31.527,203,126,4,72,271,27,219,2.61e-21,86.7
BAB_RS17255,CC_t36,80.000,25,5,0,1,25,1,25,4.25e-09,42.0
BAB_RS17260,CC_2340,53.191,47,19,1,24,70,5,48,3.36e-13,55.1
BAB_RS17265,CC_2342,58.639,191,73,1,7,197,7,191,2.00e-72,215
BAB_RS17270,CC_2343,91.667,72,6,0,1,72,1,72,2.71e-46,139
BAB_RS17275,CC_2344,46.099,141,72,2,19,155,5,145,1.41e-37,123
BAB_RS17280,CC_2345,54.321,162,69,4,1,160,1,159,2.14e-60,181
BAB_RS17285,CC_2346,58.670,421,171,2,8,428,7,424,1.32e-164,467
BAB_RS17290,CC_2349,36.620,142,84,2,4,144,26,162,1.27e-28,100
BAB_RS17295,CC_2350,58.741,429,171,1,1,429,1,423,1.57e-170,482
BAB_RS17320,CC_3371,29.496,139,93,3,16,151,21,157,2.42e-09,51.6
BAB_RS17380,CC_t04,80.000,25,5,0,1,25,1,25,3.89e-09,42.0
BAB_RS17385,CC_0530,34.304,481,308,6,23,502,8,481,6.27e-86,271
BAB_RS17390,CC_1203,29.333,300,208,1,68,363,34,333,1.32e-36,133
BAB_RS17395,CC_1204,38.036,1049,613,10,14,1040,5,1038,0.0,570
BAB_RS17410,CC_2603,31.915,376,251,3,33,404,31,405,9.85e-53,179
BAB_RS17415,CC_2794,49.744,195,98,0,23,217,57,251,5.04e-58,181
BAB_RS17430,CC_3606,29.498,478,295,12,10,459,9,472,7.00e-40,147
BAB_RS17440,CC_0222,51.751,514,244,3,31,543,27,537,1.82e-166,480
BAB_RS17460,CC_0966,29.570,558,328,13,44,580,5,518,1.07e-66,223
BAB_RS17465,CC_0732,39.706,68,41,0,11,78,28,95,5.54e-08,48.1
BAB_RS17470,CC_0808,35.777,341,212,4,36,374,39,374,1.45e-50,171
BAB_RS17475,CC_0807,47.647,1020,523,7,1,1014,2,1016,0.0,912
BAB_RS17485,CC_1441,27.350,234,156,6,43,275,35,255,3.57e-17,76.3
BAB_RS17490,CC_1189,40.133,451,253,7,159,604,15,453,8.96e-89,280
BAB_RS17495,CC_3416,53.241,216,101,0,64,279,3,218,6.77e-78,235
BAB_RS17500,CC_0289,42.975,363,176,4,95,426,89,451,9.27e-78,246
BAB_RS17505,CC_2245,45.000,180,78,5,1,179,18,177,9.56e-41,133
BAB_RS17510,CC_2243,55.759,382,167,2,8,387,12,393,1.16e-156,444
BAB_RS17515,CC_2242,56.721,305,123,4,8,305,5,307,1.55e-117,338
BAB_RS17520,CC_2241,42.628,312,152,5,27,335,12,299,1.11e-79,242
BAB_RS17525,CC_2239,48.837,129,66,0,2,130,26,154,2.71e-37,121
BAB_RS17530,CC_2238,57.761,393,165,1,4,396,13,404,6.68e-167,470
BAB_RS17540,CC_2237,52.646,359,142,5,6,363,31,362,1.52e-122,355
BAB_RS17545,CC_2960,24.679,312,230,2,25,336,4,310,1.30e-25,101
BAB_RS17565,CC_0528,53.709,337,155,1,11,346,9,345,2.74e-114,333
BAB_RS17570,CC_0527,48.214,112,55,1,5,116,3,111,3.22e-31,104
BAB_RS17580,CC_1227,55.806,310,137,0,3,312,6,315,5.38e-133,378
BAB_RS17585,CC_1150,27.751,209,122,5,1,199,2,191,9.33e-14,64.3
BAB_RS17590,CC_2482,27.157,394,257,11,639,1015,448,828,6.52e-31,128
BAB_RS17595,CC_3585,47.482,139,66,3,1,135,3,138,1.04e-32,109
BAB_RS17600,CC_1355,60.506,395,155,1,1,394,1,395,2.03e-174,491
BAB_RS17625,CC_3697,28.622,283,188,6,2,274,5,283,8.56e-24,95.5
BAB_RS17645,CC_2166,42.105,285,154,5,3,281,6,285,9.49e-63,197
BAB_RS17650,CC_1651,57.600,250,105,1,23,272,2,250,3.47e-105,303
BAB_RS17655,CC_3208,54.297,256,110,2,8,256,9,264,3.80e-99,287
BAB_RS17685,CC_2020,28.058,417,260,11,2,408,55,441,1.40e-15,75.1
BAB_RS17695,CC_1149,25.786,318,202,7,145,442,87,390,2.41e-15,74.3
BAB_RS17700,CC_1150,33.000,200,131,1,7,206,2,198,1.04e-29,106
BAB_RS17710,CC_1448,28.084,381,255,7,22,398,15,380,3.11e-27,110
BAB_RS17725,CC_2605,61.074,298,115,1,1,298,1,297,2.15e-138,397
BAB_RS17735,CC_2619,51.483,472,218,6,9,477,2,465,1.04e-141,413
BAB_RS17740,CC_2618,57.082,699,277,6,17,698,16,708,0.0,759
BAB_RS17745,CC_2617,30.556,324,144,5,22,285,18,320,5.96e-32,118
BAB_RS17755,CC_2607,40.931,408,226,3,2,409,3,395,1.05e-107,320
BAB_RS17760,CC_2616,47.981,421,217,2,6,426,4,422,9.97e-143,411
BAB_RS17770,CC_1408,50.000,54,25,1,1,52,1,54,1.62e-12,52.4
BAB_RS17775,CC_1407,43.803,710,375,10,32,729,21,718,1.28e-171,508
BAB_RS17780,CC_1406,27.778,144,102,2,1,143,8,150,4.13e-11,55.5
BAB_RS17785,CC_1405,48.837,473,211,5,11,483,22,463,1.81e-153,444
BAB_RS17790,CC_1404,44.637,289,157,2,1,287,1,288,7.10e-86,256
BAB_RS17800,CC_1402,66.387,238,78,2,1,236,1,238,8.17e-112,318
BAB_RS17805,CC_1401,65.497,513,168,3,9,516,21,529,0.0,700
BAB_RS17820,CC_1879,35.374,147,86,3,44,187,85,225,7.87e-24,92.0
BAB_RS17825,CC_2402,46.154,78,42,0,20,97,7,84,5.42e-08,51.6
BAB_RS17835,CC_0709,52.500,160,76,0,199,358,80,239,2.22e-47,158
BAB_RS17840,CC_1642,58.772,114,47,0,1,114,17,130,1.67e-46,143
BAB_RS17865,CC_1652,30.841,214,137,5,9,216,7,215,9.63e-19,79.0
BAB_RS17870,CC_1654,58.628,481,165,4,1,480,1,448,0.0,544
BAB_RS17875,CC_1476,47.907,430,219,2,14,438,14,443,4.95e-142,410
BAB_RS17880,CC_2967,57.364,129,54,1,294,422,215,342,6.00e-46,161
BAB_RS17890,CC_0368,52.610,249,110,3,4,246,3,249,4.07e-77,231
BAB_RS17895,CC_0367,60.811,74,29,0,1,74,1,74,2.58e-24,84.0
BAB_RS17900,CC_0366,40.000,160,96,0,41,200,17,176,3.63e-16,70.1
BAB_RS17905,CC_0365,48.077,104,53,1,5,107,14,117,1.73e-15,67.0
BAB_RS17910,CC_0379,50.000,182,89,2,34,215,12,191,1.72e-48,155
BAB_RS17915,CC_1330,56.322,348,152,0,43,390,12,359,1.66e-139,399
BAB_RS17935,CC_1336,41.259,286,155,7,11,288,8,288,1.04e-49,164
BAB_RS17945,CC_0450,63.200,375,138,0,22,396,19,393,6.82e-157,458
BAB_RS17950,CC_2114,32.911,237,149,5,24,259,18,245,4.03e-24,94.4
BAB_RS17960,CC_2113,52.000,325,156,0,12,336,12,336,3.88e-107,313
BAB_RS17965,CC_1335,29.545,572,373,9,17,574,7,562,4.90e-56,196
BAB_RS17970,CC_1341,65.292,291,96,3,5,294,7,293,3.64e-140,395
BAB_RS17980,CC_1342,46.144,778,332,13,1,777,1,692,0.0,600
BAB_RS17985,CC_3390,50.825,303,137,6,19,320,30,321,4.25e-79,241
BAB_RS17990,CC_3389,47.391,460,238,2,7,466,1,456,3.50e-143,415
BAB_RS18010,CC_0397,42.570,249,142,1,1,249,1,248,1.12e-62,194
BAB_RS18015,CC_3393,51.684,594,258,9,2,585,21,595,7.74e-177,511
BAB_RS18020,CC_1850,34.409,186,107,5,201,378,162,340,1.54e-18,82.8
BAB_RS18025,CC_0297,55.425,424,186,3,1,422,4,426,9.93e-155,441
BAB_RS18030,CC_3421,42.216,334,161,5,2,323,7,320,2.83e-74,229
BAB_RS18035,CC_0918,64.921,191,65,1,13,203,34,222,6.39e-91,263
BAB_RS18045,CC_2772,43.034,323,152,5,2,312,3,305,5.52e-68,212
BAB_RS18050,CC_3717,49.606,254,127,1,7,259,19,272,2.71e-90,266
BAB_RS18055,CC_1351,33.163,196,117,6,5,194,1,188,3.26e-25,94.4
BAB_RS18060,CC_2903,70.588,68,20,0,1,68,1,68,8.48e-33,104
BAB_RS18075,CC_0304,28.194,227,151,6,5,219,2,228,7.49e-23,89.7
BAB_RS18085,CC_3154,68.044,363,116,0,1,363,1,363,3.72e-177,494
BAB_RS18090,CC_0887,37.466,371,220,7,6,367,2,369,2.35e-62,202
BAB_RS18095,CC_2072,45.695,302,154,3,12,313,2,293,6.42e-68,211
BAB_RS18100,CC_2070,54.321,81,34,2,2,80,1,80,3.61e-23,81.6
BAB_RS18110,CC_1682,56.471,85,37,0,1,85,17,101,6.95e-31,101
BAB_RS18120,CC_3178,45.704,291,150,6,29,315,2,288,5.81e-76,231
BAB_RS18125,CC_2068,70.016,627,188,0,6,632,5,631,0.0,876
BAB_RS18130,CC_1324,52.033,246,109,4,9,251,3,242,2.29e-72,218
BAB_RS18135,CC_1326,46.247,413,212,5,9,412,4,415,8.16e-115,339
BAB_RS18140,CC_1313,48.066,181,90,1,4,184,241,417,2.31e-48,160
BAB_RS18155,CC_1314,42.687,588,328,4,16,598,53,636,3.67e-144,430
BAB_RS18170,CC_1656,55.760,217,95,1,5,220,9,225,1.95e-82,244
BAB_RS18175,CC_1658,65.226,486,158,4,14,494,20,499,0.0,657
BAB_RS18180,CC_1659,30.769,169,111,3,2,169,3,166,7.69e-10,53.1
BAB_RS18185,CC_1660,60.538,446,158,4,1,438,1,436,5.87e-178,503
BAB_RS18190,CC_1665,53.459,477,220,2,23,498,24,499,1.23e-175,501
BAB_RS18195,CC_1427,35.608,337,201,6,57,384,79,408,6.53e-61,200
BAB_RS18200,CC_1667,55.000,160,72,0,1,160,1,160,1.24e-59,182
BAB_RS18210,CC_1668,92.857,70,5,0,13,82,23,92,4.28e-43,132
BAB_RS18215,CC_1669,63.866,119,41,1,1,117,1,119,1.78e-48,149
BAB_RS18220,CC_1674,57.742,310,127,3,1,307,1,309,5.65e-109,317
BAB_RS18225,CC_1675,69.919,246,73,1,1,245,1,246,8.82e-110,313
BAB_RS18230,CC_1677,76.923,78,18,0,1,78,1,78,5.33e-37,116
BAB_RS18235,CC_1678,62.207,426,154,1,1,419,1,426,0.0,555
BAB_RS18240,CC_1679,44.034,352,181,6,53,393,4,350,3.28e-93,282
BAB_RS18245,CC_1680,44.518,301,157,3,1,299,1,293,2.11e-64,201
BAB_RS18250,CC_1681,44.175,206,114,1,12,217,8,212,5.36e-63,192
BAB_RS18255,CC_3411,59.829,468,188,0,3,470,23,490,0.0,564
BAB_RS18265,CC_3407,50.566,265,117,5,9,265,9,267,6.89e-75,229
BAB_RS18270,CC_3406,70.950,537,150,2,16,552,17,547,0.0,737
BAB_RS18275,CC_3405,53.416,322,125,3,1,297,3,324,2.08e-103,303
BAB_RS18280,CC_3403,35.393,178,112,2,13,188,3,179,1.64e-31,110
BAB_RS18290,CC_3402,55.986,284,109,4,8,281,6,283,3.23e-95,280
BAB_RS18295,CC_3115,54.667,75,31,2,7,80,6,78,2.03e-21,80.5
BAB_RS18300,CC_1769,40.529,227,128,4,23,248,1,221,4.10e-39,132
BAB_RS18305,CC_3361,60.191,314,122,1,2,315,5,315,9.38e-130,371
BAB_RS18310,CC_3364,54.341,311,141,1,1,310,1,311,9.37e-118,339
BAB_RS18315,CC_3365,63.768,138,50,0,3,140,4,141,2.50e-61,183
BAB_RS18320,CC_3394,57.143,161,68,1,1,161,1,160,8.59e-61,182
BAB_RS18325,CC_0217,35.238,105,60,3,55,151,37,141,2.09e-11,60.5
BAB_RS18330,CC_3395,45.128,195,89,5,13,200,12,195,5.89e-51,160
BAB_RS18335,CC_0740,33.279,616,350,14,365,946,217,805,1.81e-90,303
BAB_RS18340,CC_3397,51.596,188,90,1,4,190,5,192,1.40e-61,187
BAB_RS18345,CC_3398,37.352,423,265,0,1,423,1,423,8.25e-86,265
BAB_RS18350,CC_3399,52.941,459,215,1,1,458,1,459,3.07e-166,474
BAB_RS18360,CC_0091,35.745,235,144,4,281,513,552,781,3.20e-36,140
BAB_RS18370,CC_2096,29.730,185,116,6,7,184,10,187,4.71e-14,65.9
BAB_RS18375,CC_2555,46.286,525,272,4,48,568,99,617,1.45e-139,415
BAB_RS18380,CC_0378,65.341,352,122,0,21,372,6,357,1.44e-177,495
BAB_RS18385,CC_3320,31.282,195,133,1,1,194,1,195,3.84e-25,94.4
BAB_RS18390,CC_0377,50.872,344,156,6,7,346,11,345,1.10e-93,280
BAB_RS18395,CC_0376,33.103,145,87,3,25,165,41,179,8.05e-13,60.5
BAB_RS18400,CC_0375,38.824,170,101,3,50,217,31,199,3.09e-39,131
BAB_RS18405,CC_0373,48.231,1159,574,8,1,1148,1,1144,0.0,745
BAB_RS18410,CC_0303,36.538,260,165,0,16,275,87,346,1.32e-48,162
BAB_RS18415,CC_3424,59.649,114,41,3,1,111,1,112,2.29e-42,132
BAB_RS18420,CC_1471,69.989,873,262,0,2,874,13,885,0.0,1277
BAB_RS18435,CC_0922,29.518,166,90,6,100,250,846,999,5.05e-08,50.4
BAB_RS18440,CC_0923,45.118,297,156,3,5,299,4,295,2.94e-80,242
BAB_RS18455,CC_2620,42.373,118,65,2,1,118,1,115,4.31e-28,96.3
BAB_RS18460,CC_2371,41.228,114,65,1,2,113,4,117,1.73e-17,76.6
BAB_RS18465,CC_3210,43.700,373,178,6,261,620,257,610,1.26e-79,261
BAB_RS18505,CC_0279,32.558,172,103,6,68,233,69,233,4.40e-16,73.2
BAB_RS18515,CC_0634,41.322,242,138,2,5,243,4,244,6.68e-60,187
BAB_RS18520,CC_0635,27.126,247,174,5,15,260,22,263,1.62e-24,95.9
BAB_RS18525,CC_1012,47.191,356,182,3,3,352,7,362,4.95e-107,316
BAB_RS18530,CC_1010,51.003,349,145,4,1,347,1,325,7.08e-123,354
BAB_RS18535,CC_3595,43.519,108,59,1,5,110,3,110,2.13e-27,97.1
BAB_RS18550,CC_3595,48.760,121,61,1,1,120,1,121,1.86e-38,123
BAB_RS18555,CC_2897,42.748,131,71,3,1,130,37,164,1.86e-26,94.4
BAB_RS18560,CC_2897,43.548,62,35,0,16,77,103,164,5.02e-14,60.1
BAB_RS18600,CC_0117,27.429,350,233,10,5,338,7,351,3.40e-18,83.2
BAB_RS18605,CC_3618,40.355,394,220,6,8,396,6,389,1.91e-71,230
BAB_RS18610,CC_3617,48.670,376,188,3,13,388,13,383,2.71e-112,330
BAB_RS18620,CC_0860,41.468,504,279,8,12,504,3,501,6.27e-119,357
BAB_RS18625,CC_0861,36.441,236,145,2,39,274,42,272,1.49e-34,126
BAB_RS18630,CC_0859,28.111,217,146,7,75,284,78,291,1.91e-12,63.9
BAB_RS18635,CC_1631,69.516,351,106,1,1,350,1,351,0.0,509
BAB_RS18640,CC_1630,47.592,353,175,3,14,365,29,372,1.78e-111,327
BAB_RS18650,CC_1223,27.391,460,302,11,1,440,5,452,1.51e-29,117
BAB_RS18655,CC_1753,32.558,215,137,5,2,213,5,214,2.10e-11,60.8
BAB_RS18660,CC_0713,37.963,108,67,0,33,140,325,432,2.63e-20,83.6
BAB_RS18670,CC_3141,37.938,485,293,6,2,480,13,495,1.11e-109,331
BAB_RS18675,CC_2642,39.608,510,301,5,4,509,7,513,8.75e-123,369
