O_anthropi|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00140,SM_b21535,33.197,244,157,2,1,244,1,238,1.02e-26,103
OANT_RS00145,SMa1737,28.939,311,204,5,4,306,22,323,3.32e-25,101
OANT_RS00155,SMc00335,86.243,567,77,1,1,566,1,567,0.0,972
OANT_RS00160,SMc00334,73.558,208,55,0,4,211,3,210,1.49e-106,303
OANT_RS00165,SMc00333,81.015,453,83,1,1,450,1,453,0.0,739
OANT_RS00170,SMc00332,60.748,107,39,2,1,105,1,106,2.76e-26,93.2
OANT_RS00175,SMc00435,96.000,25,1,0,1,25,1,25,1.01e-11,48.9
OANT_RS00180,SMa2319,40.952,210,122,2,49,256,3,212,1.53e-48,157
OANT_RS00190,SMc02817,27.778,270,181,4,24,284,44,308,2.93e-21,89.0
OANT_RS00195,SMc00774,70.634,647,188,1,13,659,4,648,0.0,946
OANT_RS00200,SM_b21121,83.721,387,63,0,1,387,1,387,0.0,661
OANT_RS00205,SM_b21122,76.449,535,126,0,1,535,1,535,0.0,852
OANT_RS00210,SM_b21124,60.542,664,246,6,1,653,1,659,0.0,749
OANT_RS00215,SM_b21125,63.345,281,103,0,3,283,7,287,2.39e-128,364
OANT_RS00220,SM_b21126,60.078,258,103,0,4,261,3,260,9.77e-109,312
OANT_RS00225,SMc00078,68.478,368,116,0,1,368,1,368,0.0,529
OANT_RS00245,SMc00519,45.283,318,172,1,3,318,3,320,3.02e-77,243
OANT_RS00250,SM_b21487,51.014,296,133,3,12,298,11,303,4.58e-116,338
OANT_RS00255,SM_b21488,69.559,657,199,1,1,657,11,666,0.0,944
OANT_RS00260,SM_b21489,58.730,189,77,1,21,209,22,209,7.66e-81,237
OANT_RS00265,SM_b22024,53.659,123,52,3,3,122,13,133,1.64e-43,136
OANT_RS00270,SMa2297,32.075,106,59,5,13,108,5,107,3.98e-09,53.1
OANT_RS00275,SMc03097,39.013,628,362,7,13,639,11,618,7.49e-133,401
OANT_RS00280,SMc03096,39.744,546,315,8,1038,1578,1333,1869,2.01e-101,358
OANT_RS00285,SMc00039,47.561,246,99,4,19,240,2,241,1.11e-73,222
OANT_RS00300,SMc01242,49.123,342,155,4,1,342,1,323,7.01e-114,331
OANT_RS00310,SMc04392,25.830,542,315,20,13,517,7,498,5.27e-27,111
OANT_RS00320,SMc00290,33.083,133,71,4,5,127,4,128,1.66e-12,58.2
OANT_RS00330,SMc00876,69.898,392,107,4,1,389,1,384,0.0,532
OANT_RS00335,SMc03925,74.677,541,137,0,3,543,2,542,0.0,866
OANT_RS00340,SMc00558,32.517,286,169,6,4,277,11,284,1.41e-35,127
OANT_RS00350,SMc02172,55.263,418,176,2,20,437,2,408,7.36e-151,432
OANT_RS00355,SMc02171,84.257,343,52,1,1,343,1,341,0.0,580
OANT_RS00360,SMc02170,76.471,357,83,1,8,364,5,360,0.0,524
OANT_RS00365,SMc02169,84.585,253,39,0,7,259,5,257,2.36e-157,435
OANT_RS00370,SMc02167,50.000,202,99,2,7,208,4,203,3.28e-69,208
OANT_RS00375,SMc04240,62.441,213,80,0,17,229,16,228,2.65e-99,286
OANT_RS00380,SMc02319,39.062,64,36,3,1,63,1,62,2.02e-09,45.8
OANT_RS00395,SMc01850,43.889,180,88,3,74,253,166,332,3.87e-37,132
OANT_RS00400,SMc00455,51.707,205,97,1,9,211,6,210,1.48e-70,212
OANT_RS00405,SMc03788,53.099,1081,456,14,2,1054,5,1062,0.0,1090
OANT_RS00410,SMc03789,40.458,524,294,9,2,517,24,537,2.73e-112,341
OANT_RS00415,SMc03790,33.005,203,112,5,94,280,111,305,3.18e-21,89.0
OANT_RS00425,SMc00380,33.108,148,91,3,17,158,16,161,2.06e-12,59.7
OANT_RS00435,SMc00298,48.624,218,110,2,32,249,50,265,1.57e-68,211
OANT_RS00440,SMc03826,95.062,405,20,0,1,405,1,405,0.0,786
OANT_RS00445,SMc01833,34.328,67,44,0,25,91,25,91,7.82e-09,46.6
OANT_RS00450,SMc03827,52.880,191,90,0,29,219,23,213,2.62e-64,196
OANT_RS00460,SMc03831,85.714,385,55,0,27,411,26,410,0.0,710
OANT_RS00465,SMc03832,61.677,167,64,0,1,167,1,167,5.53e-76,222
OANT_RS00470,SMc03833,52.893,121,57,0,1,121,1,121,2.56e-43,136
OANT_RS00480,SMc03834,52.083,96,46,0,1,96,1,96,4.37e-31,103
OANT_RS00490,SMc03835,76.705,176,41,0,1,176,1,176,5.31e-100,285
OANT_RS00495,SMc03836,60.386,207,69,1,32,225,13,219,1.70e-86,254
OANT_RS00500,SMc03837,73.451,226,60,0,5,230,1,226,3.42e-116,329
OANT_RS00505,SMc03838,62.426,841,313,1,9,849,26,863,0.0,971
OANT_RS00510,SMc03839,69.231,260,64,4,1,260,1,244,2.36e-120,341
OANT_RS00515,SMc03840,54.070,172,76,3,3,173,4,173,2.36e-59,181
OANT_RS00520,SMc03844,69.000,100,31,0,31,130,37,136,7.65e-50,153
OANT_RS00525,SMc03845,44.196,224,115,4,17,234,43,262,9.12e-61,190
OANT_RS00535,SMc03846,83.408,892,148,0,4,895,5,896,0.0,1536
OANT_RS00540,SMc03847,53.960,202,88,2,1,197,1,202,6.52e-71,212
OANT_RS00545,SMc03848,74.208,221,55,1,1,221,1,219,5.59e-93,269
OANT_RS00550,SMc03849,74.016,254,65,1,5,258,1,253,7.91e-139,388
OANT_RS00560,SMc03851,55.440,193,85,1,2,193,4,196,5.61e-75,221
OANT_RS00570,SMc04045,83.633,611,100,0,1,611,1,611,0.0,1057
OANT_RS00580,SM_b20934,37.500,120,68,2,1,117,1,116,1.39e-13,61.6
OANT_RS00585,SMc02235,70.513,78,23,0,1,78,1,78,5.15e-41,126
OANT_RS00590,SM_b20523,29.934,304,185,7,99,378,84,383,1.77e-27,109
OANT_RS00595,SMc02317,54.310,116,52,1,22,136,14,129,4.21e-43,136
OANT_RS00610,SM_b21133,68.882,331,101,1,12,342,13,341,7.20e-163,456
OANT_RS00615,SM_b21132,72.822,287,78,0,1,287,1,287,5.38e-136,384
OANT_RS00620,SM_b21131,76.897,290,67,0,1,290,1,290,5.40e-147,412
OANT_RS00625,SM_b21130,75.581,344,83,1,1,343,1,344,0.0,531
OANT_RS00630,SMc04382,53.784,2841,1265,13,46,2873,25,2830,0.0,3091
OANT_RS00635,SMc02276,83.871,434,70,0,1,434,1,434,0.0,757
OANT_RS00640,SMc03984,29.617,287,173,11,4,267,7,287,1.52e-16,75.5
OANT_RS00645,SMc01426,59.504,242,98,0,1,242,1,242,4.37e-109,311
OANT_RS00650,SMc00423,29.208,202,142,1,3,203,8,209,1.22e-25,96.3
OANT_RS00655,SMc02164,62.418,306,115,0,1,306,1,306,8.39e-134,379
OANT_RS00660,SMa1757,60.000,255,99,2,10,263,4,256,9.79e-102,294
OANT_RS00665,SMc02856,59.855,690,251,6,9,675,22,708,0.0,792
OANT_RS00670,SMc00604,37.991,229,112,7,7,229,8,212,1.53e-26,99.8
OANT_RS00675,SMc00604,36.052,233,119,5,3,229,4,212,2.56e-30,109
OANT_RS00685,SMc00342,69.268,205,62,1,2,205,4,208,3.25e-101,289
OANT_RS00690,SMc02852,78.556,457,98,0,13,469,8,464,0.0,762
OANT_RS00695,SMc02850,75.398,1004,219,3,1,976,1,1004,0.0,1538
OANT_RS00700,SMc01090,55.769,572,234,5,7,578,7,559,0.0,599
OANT_RS00705,SMc02782,79.238,814,165,2,1,813,1,811,0.0,1309
OANT_RS00710,SMc02579,61.242,467,169,4,1,458,1,464,0.0,564
OANT_RS00715,SMc01273,68.841,276,86,0,1,276,1,276,2.83e-146,409
OANT_RS00720,SMc01272,47.000,200,98,2,6,203,8,201,4.02e-55,172
OANT_RS00730,SMc01270,72.606,376,96,2,1,370,1,375,0.0,561
OANT_RS00735,SMc04168,42.222,90,51,1,1,89,1,90,7.55e-21,76.6
OANT_RS00745,SMc02586,61.220,820,316,1,1,818,1,820,0.0,939
OANT_RS00750,SMc02585,57.488,414,176,0,11,424,11,424,1.73e-163,464
OANT_RS00755,SMc01008,54.015,137,63,0,1,137,4,140,5.33e-48,149
OANT_RS00760,SMc02584,78.333,180,39,0,8,187,15,194,6.67e-103,292
OANT_RS00765,SMc02583,63.226,155,57,0,1,155,1,155,3.07e-70,207
OANT_RS00770,SMc02582,54.911,224,83,5,1,206,55,278,1.18e-80,239
OANT_RS00775,SMc01119,75.263,190,45,1,1,190,1,188,6.19e-105,297
OANT_RS00780,SMc01120,66.258,163,54,1,1,162,1,163,2.20e-71,210
OANT_RS00785,SMc01121,71.186,354,102,0,1,354,1,354,0.0,528
OANT_RS00790,SMc01123,81.939,526,95,0,1,526,1,526,0.0,795
OANT_RS00795,SMc01124,66.413,920,306,2,1,920,1,917,0.0,1231
OANT_RS00800,SMc01126,77.441,758,170,1,6,762,2,759,0.0,1183
OANT_RS00805,SMc01125,72.297,888,242,3,25,909,30,916,0.0,1234
OANT_RS00810,SMc01127,59.924,262,105,0,19,280,30,291,7.95e-114,327
OANT_RS00815,SMc01129,49.080,163,79,1,2,160,3,165,2.29e-53,164
OANT_RS00820,SMc01130,67.766,273,88,0,17,289,13,285,4.04e-138,389
OANT_RS00825,SMc01131,60.622,386,134,6,15,386,3,384,2.62e-155,440
OANT_RS00830,SMc01133,48.454,97,47,1,4,100,3,96,9.68e-27,93.2
OANT_RS00835,SMc01134,85.714,91,13,0,1,91,1,91,1.60e-54,162
OANT_RS00840,SMc01135,51.713,321,145,5,4,318,2,318,9.17e-104,304
OANT_RS00845,SMc01136,35.897,195,123,2,41,234,27,220,1.71e-37,128
OANT_RS00850,SMc01137,44.242,165,70,4,45,207,40,184,2.65e-39,131
OANT_RS00855,SMc01138,79.339,242,50,0,38,279,29,270,1.00e-140,394
OANT_RS00860,SMc01139,58.560,514,200,7,1,508,1,507,0.0,589
OANT_RS00870,SMc01140,57.143,189,80,1,1,189,1,188,3.69e-78,229
OANT_RS00875,SMc01141,69.481,154,47,0,1,154,1,154,2.40e-75,219
OANT_RS00880,SMc01107,51.316,76,37,0,6,81,10,85,5.63e-27,91.7
OANT_RS00885,SMc01106,72.727,143,36,1,1,140,1,143,1.87e-75,218
OANT_RS00890,SMc02842,53.425,146,66,2,6,150,5,149,3.72e-46,146
OANT_RS00895,SMc02843,79.821,223,45,0,27,249,33,255,1.19e-133,375
OANT_RS00900,SMc02882,62.931,232,86,0,1,232,1,232,4.54e-90,263
OANT_RS00905,SMc02846,68.882,331,102,1,1,331,1,330,5.83e-166,463
OANT_RS00910,SMc00330,58.373,209,86,1,3,210,3,211,1.04e-78,232
OANT_RS00915,SMc01142,73.248,157,41,1,62,217,42,198,1.83e-82,242
OANT_RS00920,SMc01143,68.876,347,107,1,11,356,13,359,3.51e-178,496
OANT_RS00925,SMc01144,78.571,238,51,0,1,238,1,238,7.91e-146,404
OANT_RS00930,SMc01145,55.469,128,57,0,6,133,7,134,3.02e-50,154
OANT_RS00935,SMc01146,72.170,212,59,0,1,212,1,212,2.32e-114,323
OANT_RS00940,SMc01147,66.048,377,128,0,33,409,17,393,0.0,521
OANT_RS00945,SMc00416,61.905,294,111,1,7,300,13,305,4.27e-119,342
OANT_RS00950,SMc00418,63.158,114,42,0,7,120,9,122,2.48e-45,141
OANT_RS00955,SMc01053,64.731,465,162,1,3,467,1,463,0.0,595
OANT_RS00960,SMc01054,62.500,88,33,0,1,88,1,88,3.71e-31,103
OANT_RS00965,SMc02124,77.049,549,126,0,1,549,1,549,0.0,891
OANT_RS00970,SMc00092,32.093,215,130,5,38,240,47,257,9.18e-29,107
OANT_RS00975,SMc02123,40.719,167,94,3,7,171,2,165,2.19e-32,111
OANT_RS00985,SM_b20708,38.922,167,101,1,8,173,6,172,2.12e-34,117
OANT_RS00995,SMc00979,62.319,69,20,2,76,138,68,136,7.06e-17,69.7
OANT_RS01000,SMc03112,81.300,1262,228,3,3,1263,2,1256,0.0,2124
OANT_RS01005,SMc00170,34.031,191,113,5,52,235,58,242,9.90e-24,93.2
OANT_RS01010,SM_b20379,57.080,452,194,0,1,452,1,452,0.0,537
OANT_RS01015,SM_b21223,77.517,298,67,0,9,306,2,299,0.0,501
OANT_RS01020,SM_b21224,63.681,614,223,0,18,631,16,629,0.0,818
OANT_RS01025,SMc01952,53.906,256,118,0,16,271,1,256,1.57e-91,269
OANT_RS01030,SMc00126,84.000,25,4,0,1,25,1,25,1.24e-08,41.2
OANT_RS01140,SMc04198,48.305,236,114,2,1,235,1,229,6.66e-71,214
OANT_RS01170,SMc00573,46.667,75,40,0,1,75,1,75,3.83e-20,74.3
OANT_RS01175,SMc01183,39.759,83,47,1,1,80,2,84,1.83e-11,55.8
OANT_RS01190,SMc00561,30.453,486,280,15,14,474,22,474,2.50e-52,182
OANT_RS01200,SMc03763,27.014,211,105,8,1,169,1,204,5.44e-10,57.0
OANT_RS01385,SMc04183,39.560,91,45,3,151,232,177,266,2.37e-10,56.6
OANT_RS01395,SM_b20921,60.274,73,28,1,5,77,4,75,5.79e-25,86.3
OANT_RS01415,SM_b21079,38.034,234,145,0,13,246,6,239,3.97e-55,175
OANT_RS01420,SM_b21080,42.922,219,109,4,28,234,42,256,2.86e-52,168
OANT_RS01425,SMc02521,73.810,252,66,0,1,252,1,252,1.64e-138,387
OANT_RS01430,SMc02520,70.000,500,148,1,1,500,1,498,0.0,691
OANT_RS01435,SMc02690,53.605,319,142,4,4,319,2,317,7.49e-105,307
OANT_RS01440,SMc02689,81.162,499,94,0,7,505,4,502,0.0,865
OANT_RS01445,SMa1296,63.127,339,123,2,4,342,2,338,1.41e-157,442
OANT_RS01450,SMc02688,70.536,112,33,0,4,115,1,112,2.41e-55,166
OANT_RS01455,SMc04401,32.635,334,224,1,6,338,4,337,2.65e-43,150
OANT_RS01460,SMc00195,54.992,611,272,2,22,631,22,630,0.0,697
OANT_RS01465,SM_b20941,73.613,595,154,1,5,596,5,599,0.0,868
OANT_RS01470,SM_b20891,87.002,477,62,0,1,477,1,477,0.0,836
OANT_RS01475,SMc01826,30.303,264,169,4,2,253,20,280,1.05e-30,113
OANT_RS01485,SMc01827,25.243,309,214,8,7,305,11,312,7.36e-17,77.4
OANT_RS01490,SM_b20618,68.000,200,64,0,1,200,1,200,2.76e-96,276
OANT_RS01495,SM_b20617,68.526,251,79,0,4,254,4,254,9.87e-115,327
OANT_RS01505,SM_b20616,53.560,323,144,4,1,321,1,319,1.09e-112,328
OANT_RS01510,SM_b20962,60.837,263,102,1,21,283,4,265,4.58e-92,271
OANT_RS01515,SMa1548,40.085,706,364,14,15,688,388,1066,1.62e-145,449
OANT_RS01520,SM_b21578,66.871,815,260,3,13,820,12,823,0.0,1073
OANT_RS01525,SM_b21373,65.337,401,139,0,21,421,20,420,1.06e-174,493
OANT_RS01530,SM_b21374,60.772,311,122,0,1,311,1,311,1.69e-134,382
OANT_RS01535,SM_b21375,77.377,305,69,0,15,319,15,319,1.01e-174,484
OANT_RS01540,SM_b21376,65.996,497,168,1,17,513,7,502,0.0,649
OANT_RS01545,SM_b21377,72.449,294,81,0,1,294,1,294,3.20e-140,395
OANT_RS01550,SM_b21372,48.980,343,172,2,4,343,10,352,5.68e-121,350
OANT_RS01555,SMc00110,75.707,778,177,3,1,767,1,777,0.0,1203
OANT_RS01560,SM_b21579,61.972,142,54,0,1,142,1,142,9.72e-63,187
OANT_RS01565,SM_b21147,71.915,235,66,0,10,244,9,243,2.37e-112,320
OANT_RS01570,SM_b21146,66.129,310,105,0,1,310,1,310,5.04e-149,418
OANT_RS01575,SM_b21145,65.385,390,129,4,13,398,8,395,8.90e-141,404
OANT_RS01580,SM_b21144,87.097,279,36,0,33,311,27,305,1.79e-173,480
OANT_RS01585,SMa0228,33.240,358,232,3,27,377,50,407,3.03e-50,173
OANT_RS01590,SMc03933,75.060,417,104,0,1,417,1,417,0.0,626
OANT_RS01595,SMc03932,65.347,101,34,1,1,100,1,101,1.76e-45,140
OANT_RS01600,SMc03931,60.782,997,384,4,5,999,6,997,0.0,1201
OANT_RS01605,SMc03930,33.714,175,109,4,7,179,12,181,5.15e-23,88.2
OANT_RS01610,SM_b21089,86.577,298,40,0,2,299,3,300,6.44e-175,489
OANT_RS01615,SM_b21090,66.133,375,123,3,3,374,2,375,0.0,516
OANT_RS01620,SM_b21101,64.894,282,94,2,1,282,1,277,3.69e-133,375
OANT_RS01625,SM_b21102,80.784,255,49,0,7,261,4,258,1.08e-155,431
OANT_RS01630,SM_b21103,80.182,439,86,1,1,438,1,439,0.0,704
OANT_RS01635,SM_b21104,79.322,295,61,0,3,297,4,298,1.42e-175,484
OANT_RS01640,SM_b21105,86.014,286,40,0,7,292,3,288,0.0,510
OANT_RS01645,SM_b21106,73.626,364,94,1,1,362,1,364,0.0,565
OANT_RS01650,SM_b21107,89.730,370,38,0,1,370,1,370,0.0,694
OANT_RS01655,SM_b21108,85.321,109,16,0,2,110,1,109,2.68e-71,205
OANT_RS01660,SM_b21109,79.155,355,74,0,1,355,1,355,0.0,576
OANT_RS01665,SM_b21110,88.435,147,17,0,1,147,1,147,8.35e-98,276
OANT_RS01670,SM_b21111,79.508,244,50,0,1,244,1,244,4.67e-143,398
OANT_RS01675,SM_b21112,85.000,280,42,0,1,280,1,280,0.0,498
OANT_RS01680,SM_b21113,85.176,425,63,0,1,425,1,425,0.0,758
OANT_RS01690,SMc02207,100.000,25,0,0,1,25,1,25,9.42e-13,51.6
OANT_RS01695,SMc02312,70.833,48,14,0,12,59,9,56,2.25e-23,81.6
OANT_RS01700,SMc02311,61.165,206,80,0,1,206,1,206,1.53e-91,264
OANT_RS01705,SMc02310,98.611,72,1,0,1,72,1,72,2.32e-48,144
OANT_RS01710,SMc02309,64.748,139,49,0,12,150,8,146,4.54e-63,188
OANT_RS01715,SMc02308,76.623,154,35,1,7,160,6,158,1.19e-87,251
OANT_RS01720,SMc02307,75.587,426,104,0,5,430,5,430,0.0,641
OANT_RS01725,SMc02306,49.655,145,69,2,1,144,1,142,4.60e-45,142
OANT_RS01730,SMc02305,80.186,429,84,1,1,428,1,429,0.0,702
OANT_RS01740,SMc02208,84.000,25,4,0,1,25,1,25,9.24e-08,38.9
OANT_RS01745,SMc00506,55.762,269,119,0,1,269,1,269,7.59e-108,311
OANT_RS01750,SMc01942,45.126,277,146,2,9,283,5,277,2.22e-76,231
OANT_RS01755,SMc01941,90.000,100,10,0,1,100,1,100,3.57e-64,186
OANT_RS01765,SMc01939,70.297,101,30,0,1,101,1,101,4.16e-51,154
OANT_RS01770,SMc01837,78.772,570,121,0,1,570,1,570,0.0,961
OANT_RS01775,SMc01832,51.656,151,67,2,9,154,4,153,1.71e-44,142
OANT_RS01780,SMc01831,51.613,217,105,0,12,228,7,223,1.45e-63,195
OANT_RS01785,SMc01830,76.847,203,47,0,1,203,1,203,9.33e-117,328
OANT_RS01795,SMc01733,92.000,25,2,0,1,25,1,25,6.44e-12,49.7
OANT_RS01800,SMc01716,50.439,456,222,2,49,504,45,496,1.20e-155,451
OANT_RS01805,SMc01458,41.406,384,200,2,1,359,1,384,2.87e-103,308
OANT_RS01810,SMc01457,63.672,1024,365,3,14,1035,21,1039,0.0,1297
OANT_RS01815,SMc01827,73.494,332,86,1,1,332,1,330,0.0,502
OANT_RS01820,SMc01826,76.230,244,58,0,41,284,42,285,3.54e-135,381
OANT_RS01825,SMc01825,71.821,291,82,0,2,292,4,294,3.25e-146,410
OANT_RS01830,SMc01823,70.769,260,76,0,19,278,3,262,3.51e-142,398
OANT_RS01835,SMc01821,74.004,477,123,1,1,476,1,477,0.0,758
OANT_RS01840,SMc01820,72.616,409,112,0,6,414,7,415,0.0,630
OANT_RS01845,SMc01819,54.040,198,91,0,29,226,15,212,4.73e-73,219
OANT_RS01850,SMc02448,47.458,59,27,2,2,56,5,63,1.13e-08,47.8
OANT_RS01855,SMc01980,73.034,356,93,2,1,354,1,355,0.0,517
OANT_RS01860,SMc01979,82.671,277,48,0,1,277,1,277,2.05e-170,469
OANT_RS01865,SMc01978,80.392,306,59,1,12,317,7,311,1.77e-167,465
OANT_RS01870,SMc01977,82.578,419,73,0,1,419,1,419,0.0,731
OANT_RS01875,SMc01976,78.866,388,82,0,1,388,1,388,0.0,631
OANT_RS01880,SMc01975,75.630,238,56,1,1,238,3,238,4.31e-121,342
OANT_RS01885,SMa1403,45.104,337,172,5,7,341,5,330,6.23e-98,291
OANT_RS01890,SMc01103,26.333,300,205,8,5,294,2,295,7.75e-11,59.3
OANT_RS01895,SMc02404,29.524,210,142,4,16,224,8,212,1.70e-19,84.0
OANT_RS01900,SMa0267,28.169,213,139,5,8,214,18,222,3.34e-15,69.3
OANT_RS01905,SMc01628,26.097,433,276,15,8,404,19,443,2.24e-27,111
OANT_RS01910,SMc01627,31.908,304,198,4,14,309,2,304,4.61e-47,158
OANT_RS01915,SM_b21105,34.317,271,165,5,11,272,21,287,1.07e-46,155
OANT_RS01920,SM_b20661,63.456,353,126,1,1,350,1,353,2.82e-163,458
OANT_RS01925,SMc01815,84.932,438,63,2,1,436,1,437,0.0,775
OANT_RS01930,SMc01814,59.276,442,171,3,18,456,3,438,0.0,538
OANT_RS01935,SMc01844,25.974,231,153,5,64,281,76,301,1.90e-10,58.2
OANT_RS01940,SMc01132,51.351,148,72,0,1,148,1,148,2.25e-53,163
OANT_RS01945,SMc02163,69.963,536,161,0,8,543,1,536,0.0,788
OANT_RS01950,SMc00388,46.328,354,183,6,3,353,4,353,4.10e-91,274
OANT_RS01955,SMc00893,35.931,231,147,1,11,241,5,234,5.68e-42,140
OANT_RS01960,SMc00605,28.221,163,105,5,11,170,15,168,3.89e-13,63.2
OANT_RS01965,SMc02162,65.841,565,193,0,16,580,1,565,0.0,778
OANT_RS01970,SMc02866,36.139,202,128,1,1,202,1,201,1.55e-35,122
OANT_RS01975,SMc02868,38.424,406,241,6,1,402,5,405,3.28e-69,221
OANT_RS01980,SMc03971,47.241,1033,530,6,3,1021,5,1036,0.0,908
OANT_RS01985,SMc02219,46.923,260,133,3,26,282,50,307,1.94e-78,238
OANT_RS01990,SM_b20391,25.000,296,203,12,147,433,66,351,1.76e-09,57.8
OANT_RS01995,SMc02148,63.574,291,106,0,17,307,9,299,3.82e-141,398
OANT_RS02000,SMc02147,49.272,412,180,10,26,425,26,420,7.35e-123,361
OANT_RS02005,SMc01796,27.195,353,225,11,8,342,36,374,7.27e-26,105
OANT_RS02010,SM_b21500,60.423,331,131,0,1,331,1,331,6.93e-143,405
OANT_RS02015,SM_b21499,50.484,723,348,6,5,724,3,718,0.0,726
OANT_RS02020,SM_b21512,36.915,363,223,2,14,372,22,382,3.26e-73,230
OANT_RS02025,SM_b21513,54.680,406,184,0,8,413,19,424,1.50e-147,424
OANT_RS02030,SM_b21506,42.155,427,234,5,56,473,80,502,9.72e-105,321
OANT_RS02035,SM_b21505,50.729,343,169,0,1,343,27,369,1.56e-118,347
OANT_RS02050,SM_b21504,50.917,218,104,2,42,259,36,250,6.29e-76,229
OANT_RS02055,SM_b21503,63.476,397,144,1,10,405,5,401,0.0,523
OANT_RS02060,SM_b21502,57.568,370,157,0,6,375,20,389,2.61e-151,430
OANT_RS02065,SMc02139,61.538,182,58,2,1,179,1,173,2.06e-77,226
OANT_RS02070,SMc02138,72.938,388,103,1,4,391,3,388,0.0,576
OANT_RS02075,SMc02137,73.154,298,80,0,8,305,3,300,2.55e-174,482
OANT_RS02080,SMc02136,64.198,324,116,0,18,341,7,330,8.68e-144,407
OANT_RS02085,SMc02135,66.154,130,44,0,1,130,1,130,1.59e-62,185
OANT_RS02090,SMc02217,73.008,389,105,0,6,394,2,390,0.0,629
OANT_RS02095,SMc02218,79.339,363,74,1,2,363,1,363,0.0,583
OANT_RS02100,SMa1476,26.623,308,217,4,31,335,2,303,1.27e-29,113
OANT_RS02105,SMc02242,60.227,88,35,0,1,88,45,132,2.08e-28,97.1
OANT_RS02110,SMc02243,42.609,115,65,1,44,158,52,165,1.32e-26,96.3
OANT_RS02115,SMc02244,53.452,449,205,2,3,449,5,451,2.61e-149,430
OANT_RS02120,SMc02245,65.840,363,122,2,1,362,1,362,3.12e-168,471
OANT_RS02125,SMc02246,65.179,112,39,0,3,114,2,113,4.06e-48,147
OANT_RS02130,SMc02247,41.406,128,67,2,7,129,4,128,2.70e-28,99.4
OANT_RS02135,SMc02547,53.698,311,143,1,5,315,7,316,9.31e-118,340
OANT_RS02140,SMc02248,61.538,208,80,0,1,208,4,211,3.82e-87,254
OANT_RS02145,SMc02249,52.496,1162,542,6,1,1156,2,1159,0.0,1161
OANT_RS02150,SMc02250,53.846,143,59,4,1,137,1,142,3.57e-46,144
OANT_RS02155,SMc02251,62.338,385,145,0,1,385,1,385,8.79e-180,503
OANT_RS02160,SMc03104,59.701,402,162,0,1,402,2,403,3.96e-167,473
OANT_RS02165,SMc04209,39.249,293,177,1,53,345,5,296,3.77e-68,214
OANT_RS02180,SM_b20806,45.374,227,117,4,1,226,1,221,6.26e-65,199
OANT_RS02185,SMc01838,24.074,216,127,6,3,200,5,201,5.94e-14,65.5
OANT_RS02195,SMc01651,27.759,299,198,6,2,289,4,295,1.56e-31,117
OANT_RS02215,SMc01956,56.809,514,220,2,1,513,1,513,0.0,580
OANT_RS02220,SMc01961,69.716,317,96,0,1,317,1,317,1.55e-166,463
OANT_RS02225,SM_b20335,58.287,362,150,1,25,386,40,400,2.09e-161,458
OANT_RS02230,SMc01880,71.174,281,81,0,1,281,1,281,1.18e-142,400
OANT_RS02235,SMc01881,75.368,272,67,0,1,272,1,272,1.33e-156,434
