S_meliloti|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
SM_b20092,BAB_RS31145,35.593,236,138,7,16,247,40,265,4.68e-28,105
SM_b20093,BAB_RS22365,27.987,318,203,7,14,313,12,321,1.82e-29,111
SM_b20094,BAB_RS31150,23.785,391,223,13,85,460,107,437,2.01e-11,62.8
SM_b20095,BAB_RS22645,27.866,567,381,12,5,554,27,582,5.05e-58,202
SM_b20101,BAB_RS30885,67.622,349,113,0,13,361,4,352,8.73e-175,489
SM_b20102,BAB_RS21380,48.627,255,118,6,310,557,125,373,7.08e-64,215
SM_b20105,BAB_RS28375,32.683,205,137,1,4,207,52,256,7.82e-27,100
SM_b20106,BAB_RS26475,35.874,223,137,2,16,236,17,235,3.39e-29,107
SM_b20108,BAB_RS30925,24.638,483,324,16,11,478,8,465,3.73e-24,102
SM_b20109,BAB_RS31300,33.974,312,197,3,3,305,3,314,4.64e-60,191
SM_b20110,BAB_RS23535,35.197,304,182,6,6,298,1,300,1.22e-46,156
SM_b20111,BAB_RS15965,46.314,529,278,3,6,533,5,528,4.16e-164,474
SM_b20112,BAB_RS19005,25.547,274,180,6,34,292,41,305,6.95e-16,73.2
SM_b20113,BAB_RS27575,40.645,310,176,6,5,310,4,309,1.25e-68,213
SM_b20115,BAB_RS27775,38.930,542,313,7,2,527,9,548,5.62e-119,361
SM_b20123,BAB_RS16065,31.776,214,146,0,3,216,1,214,1.48e-25,100
SM_b20124,BAB_RS29530,42.857,497,271,6,14,501,18,510,4.59e-111,336
SM_b20125,BAB_RS29540,40.690,290,156,5,21,304,15,294,2.18e-56,181
SM_b20126,BAB_RS29535,38.576,337,205,2,28,362,14,350,8.25e-63,201
SM_b20127,BAB_RS29545,26.603,312,215,6,14,321,11,312,3.93e-28,108
SM_b20129,BAB_RS30035,36.275,204,124,2,29,229,22,222,1.22e-30,110
SM_b20130,BAB_RS17735,33.846,260,167,4,9,267,207,462,1.47e-31,119
SM_b20131,BAB_RS17735,43.671,158,80,3,5,153,9,166,2.21e-33,119
SM_b20132,BAB_RS17740,29.655,725,433,19,19,710,18,698,1.29e-59,211
SM_b20133,BAB_RS27550,39.370,381,168,7,10,342,14,379,3.64e-78,241
SM_b20134,BAB_RS33400,32.000,175,112,5,226,398,25,194,9.70e-19,81.6
SM_b20135,BAB_RS30610,50.811,185,89,2,9,191,2,186,1.48e-59,182
SM_b20136,BAB_RS33465,28.889,450,271,14,50,455,53,497,2.02e-38,142
SM_b20140,BAB_RS19125,33.761,234,147,4,1,230,1,230,9.12e-32,116
SM_b20141,BAB_RS15965,48.593,533,258,5,1,520,1,530,3.27e-170,489
SM_b20142,BAB_RS31305,39.381,226,132,2,78,303,76,296,1.02e-52,171
SM_b20143,BAB_RS23540,35.207,338,181,4,1,304,1,334,2.11e-58,187
SM_b20144,BAB_RS32795,28.200,500,306,18,13,472,17,503,9.15e-33,127
SM_b20146,BAB_RS19290,37.015,335,191,5,5,319,9,343,8.55e-61,194
SM_b20147,BAB_RS28765,31.532,333,199,7,53,368,66,386,1.42e-35,130
SM_b20148,BAB_RS26475,32.314,229,134,6,12,228,16,235,3.94e-23,90.9
SM_b20150,BAB_RS28835,39.098,266,154,4,2,263,5,266,7.74e-53,170
SM_b20153,BAB_RS23075,36.280,543,335,3,12,544,12,553,4.42e-100,310
SM_b20154,BAB_RS27570,27.178,287,198,8,11,290,10,292,1.27e-22,93.2
SM_b20155,BAB_RS28825,25.000,488,330,14,101,577,224,686,6.10e-28,115
SM_b20156,BAB_RS29105,41.287,373,190,9,1,366,1,351,5.68e-90,271
SM_b20159,BAB_RS28835,35.096,208,128,4,43,248,34,236,3.06e-30,111
SM_b20162,BAB_RS17585,32.367,207,137,1,17,223,4,207,2.38e-32,114
SM_b20164,BAB_RS17590,35.935,551,309,10,212,745,637,1160,2.00e-90,304
SM_b20170,BAB_RS16530,72.074,376,98,2,1,375,1,370,0.0,556
SM_b20171,BAB_RS16515,51.799,278,131,3,5,279,1,278,1.56e-103,300
SM_b20172,BAB_RS16110,49.600,125,58,1,16,135,50,174,3.66e-34,115
SM_b20182,BAB_RS31815,28.226,248,166,3,18,257,4,247,1.16e-20,84.7
SM_b20183,BAB_RS25275,36.548,197,100,4,9,182,19,213,1.06e-33,117
SM_b20184,BAB_RS16660,33.184,223,146,2,12,231,49,271,2.68e-33,118
SM_b20195,BAB_RS20075,68.599,207,65,0,7,213,6,212,1.32e-101,291
SM_b20199,BAB_RS28105,70.170,352,105,0,1,352,1,352,0.0,529
SM_b20200,BAB_RS24225,60.758,660,251,4,15,669,7,663,0.0,798
SM_b20202,BAB_RS28100,44.689,273,145,1,57,329,73,339,4.96e-74,229
SM_b20203,BAB_RS16065,25.597,293,213,4,4,293,1,291,1.02e-18,81.3
SM_b20210,BAB_RS27585,34.167,240,143,6,6,233,12,248,1.20e-35,124
SM_b20211,BAB_RS27185,34.130,293,186,4,1,292,2,288,3.75e-41,142
SM_b20212,BAB_RS21745,31.884,138,71,4,88,225,73,187,6.86e-13,61.6
SM_b20213,BAB_RS29455,27.234,235,128,9,55,260,12,232,2.21e-08,52.0
SM_b20214,BAB_RS30730,31.414,191,127,2,1,190,1,188,1.70e-22,89.7
SM_b20215,BAB_RS22325,28.981,314,210,6,15,316,11,323,1.18e-33,123
SM_b20218,BAB_RS29965,34.837,399,242,10,52,442,81,469,4.83e-57,192
SM_b20219,BAB_RS29960,45.148,237,124,3,6,241,6,237,1.90e-65,200
SM_b20230,BAB_RS16880,30.341,323,213,5,3,320,9,324,7.79e-28,107
SM_b20231,BAB_RS28705,22.392,393,280,8,43,430,25,397,9.01e-23,96.3
SM_b20232,BAB_RS31785,34.050,279,177,4,22,297,22,296,7.07e-48,159
SM_b20233,BAB_RS17045,28.114,281,193,3,11,282,10,290,1.29e-35,126
SM_b20235,BAB_RS17050,54.902,357,147,2,1,343,1,357,9.80e-136,388
SM_b20238,BAB_RS24870,39.286,84,50,1,54,137,60,142,1.45e-11,59.3
SM_b20239,BAB_RS29665,58.576,309,126,1,13,321,20,326,3.97e-131,375
SM_b20244,BAB_RS21125,30.086,349,200,10,24,353,3,326,1.57e-33,124
SM_b20245,BAB_RS21125,26.648,364,204,13,4,344,3,326,1.99e-22,93.2
SM_b20246,BAB_RS30280,30.000,280,175,9,19,286,15,285,6.11e-22,91.3
SM_b20247,BAB_RS26865,28.436,211,144,6,14,220,12,219,1.26e-16,76.3
SM_b20258,BAB_RS30865,75.431,232,56,1,6,236,2,233,2.69e-120,338
SM_b20259,BAB_RS30860,91.250,320,28,0,1,320,1,320,0.0,592
SM_b20261,BAB_RS30855,82.609,345,60,0,1,345,1,345,0.0,579
SM_b20262,BAB_RS30240,27.962,422,245,16,51,450,52,436,1.70e-24,102
SM_b20263,BAB_RS25245,28.731,268,172,10,2,255,3,265,8.73e-18,77.8
SM_b20264,BAB_RS25255,30.645,186,122,2,21,203,18,199,1.36e-22,89.0
SM_b20265,BAB_RS29005,32.692,156,101,2,60,213,62,215,9.43e-18,75.5
SM_b20266,BAB_RS19595,53.361,238,111,0,2,239,30,267,6.40e-88,258
SM_b20267,BAB_RS24495,54.156,397,181,1,17,413,23,418,1.76e-152,435
SM_b20268,BAB_RS24490,77.879,330,73,0,1,330,1,330,0.0,548
SM_b20270,BAB_RS17675,68.142,339,107,1,1,339,1,338,1.11e-172,480
SM_b20272,BAB_RS23495,25.419,358,247,6,3,341,14,370,3.93e-18,82.0
SM_b20276,BAB_RS28860,25.446,224,160,3,15,236,26,244,1.71e-15,71.6
SM_b20277,BAB_RS31705,35.111,450,264,8,3,438,14,449,3.15e-70,226
SM_b20281,BAB_RS23675,46.459,353,180,6,2,346,20,371,2.79e-100,298
SM_b20282,BAB_RS31370,29.845,258,171,5,13,263,8,262,2.68e-31,113
SM_b20283,BAB_RS31375,35.714,210,133,2,90,299,51,258,8.28e-37,130
SM_b20284,BAB_RS23680,25.948,343,209,14,9,327,4,325,1.93e-14,70.1
SM_b20285,BAB_RS28875,25.911,247,175,3,1,243,1,243,1.13e-15,72.8
SM_b20288,BAB_RS17760,26.016,369,239,12,33,383,34,386,3.85e-16,76.6
SM_b20289,BAB_RS33400,26.178,191,133,4,203,391,13,197,3.02e-11,59.7
SM_b20290,BAB_RS16880,25.797,345,224,11,3,330,7,336,4.92e-11,59.3
SM_b20291,BAB_RS21725,38.739,333,186,4,4,325,51,376,6.63e-61,215
SM_b20292,BAB_RS21730,36.634,303,179,6,32,327,33,329,6.80e-53,174
SM_b20294,BAB_RS26475,27.632,228,150,4,10,229,16,236,2.68e-15,69.3
SM_b20297,BAB_RS17710,27.569,399,260,7,42,415,58,452,3.63e-36,135
SM_b20299,BAB_RS19125,29.614,233,161,2,3,232,2,234,6.54e-29,108
SM_b20307,BAB_RS23750,56.808,213,92,0,2,214,1,213,3.28e-82,241
SM_b20312,BAB_RS23760,70.223,403,117,1,10,409,6,408,0.0,557
SM_b20313,BAB_RS23765,81.604,212,39,0,15,226,1,212,1.12e-115,326
SM_b20314,BAB_RS23770,88.485,330,38,0,1,330,1,330,0.0,567
SM_b20315,BAB_RS28155,30.492,305,191,6,22,310,34,333,2.20e-25,100
SM_b20317,BAB_RS27510,36.454,502,300,8,12,508,14,501,1.33e-96,298
SM_b20318,BAB_RS28155,32.177,317,199,5,34,340,32,342,4.37e-35,127
SM_b20319,BAB_RS21000,64.500,400,139,1,1,400,1,397,0.0,511
SM_b20321,BAB_RS17710,29.197,411,255,10,37,419,52,454,1.09e-40,148
SM_b20323,BAB_RS25285,31.250,192,118,3,18,203,25,208,4.09e-20,82.0
SM_b20324,BAB_RS27570,33.929,336,211,5,1,332,5,333,2.02e-42,147
SM_b20325,BAB_RS33460,80.822,73,14,0,351,423,1,73,8.82e-26,96.3
SM_b20326,BAB_RS30570,83.117,308,52,0,18,325,15,322,0.0,524
SM_b20327,BAB_RS30565,94.581,203,11,0,74,276,1,203,2.41e-134,375
SM_b20328,BAB_RS30560,78.979,333,70,0,1,333,1,333,0.0,562
SM_b20329,BAB_RS30555,81.992,261,47,0,10,270,1,261,1.87e-162,448
SM_b20330,BAB_RS30550,70.370,351,98,1,6,350,1,351,0.0,511
SM_b20334,BAB_RS30765,36.364,110,60,4,116,218,121,227,8.08e-09,52.4
SM_b20335,BAB_RS17640,57.979,376,156,2,28,402,15,389,1.96e-164,465
SM_b20336,BAB_RS23010,32.364,275,161,9,6,263,1,267,4.25e-32,115
SM_b20337,BAB_RS22705,33.333,90,59,1,19,107,69,158,7.43e-09,50.8
SM_b20342,BAB_RS17740,24.211,380,241,11,217,564,22,386,1.11e-08,54.7
SM_b20343,BAB_RS17735,39.535,129,68,3,21,139,29,157,1.55e-21,86.3
SM_b20345,BAB_RS27905,43.164,1024,577,3,8,1029,2,1022,0.0,828
SM_b20346,BAB_RS27895,33.929,336,214,5,41,372,59,390,1.05e-44,155
SM_b20349,BAB_RS28160,49.296,284,142,2,24,305,23,306,2.98e-87,261
SM_b20350,BAB_RS28145,32.240,183,112,6,4,186,22,192,4.74e-12,59.7
SM_b20351,BAB_RS28150,47.244,508,258,8,8,509,11,514,9.88e-152,440
SM_b20352,BAB_RS28155,50.867,346,161,4,3,340,2,346,1.19e-108,318
SM_b20353,BAB_RS28865,29.444,360,199,12,7,343,6,333,1.15e-21,90.9
SM_b20356,BAB_RS18995,31.602,462,241,13,230,646,335,766,8.10e-51,188
SM_b20357,BAB_RS29320,38.017,121,74,1,1,120,1,121,2.08e-26,92.4
SM_b20358,BAB_RS29325,44.000,125,70,0,179,303,3,127,4.80e-23,98.2
SM_b20362,BAB_RS28835,72.180,266,74,0,1,266,1,266,6.52e-145,404
SM_b20363,BAB_RS28830,78.693,352,75,0,1,352,1,352,0.0,575
SM_b20364,BAB_RS28825,78.466,743,157,2,1,742,1,741,0.0,1139
SM_b20365,BAB_RS28820,85.928,334,47,0,9,342,8,341,0.0,612
SM_b20366,BAB_RS27570,27.931,290,201,5,7,291,5,291,3.36e-22,92.0
SM_b20367,BAB_RS26910,34.409,93,49,3,6,98,49,129,5.93e-08,48.5
SM_b20368,BAB_RS23990,26.748,329,190,11,35,316,61,385,7.25e-15,71.6
SM_b20369,BAB_RS19950,25.814,430,268,10,7,410,31,435,2.44e-32,123
SM_b20370,BAB_RS19955,46.341,205,105,2,20,222,23,224,9.22e-58,179
SM_b20371,BAB_RS28110,35.333,150,91,4,1,147,1,147,1.61e-25,91.7
SM_b20372,BAB_RS17710,25.895,363,242,6,38,384,53,404,5.09e-24,100
SM_b20375,BAB_RS27180,32.258,248,144,4,26,255,26,267,1.40e-29,108
SM_b20376,BAB_RS28690,37.500,112,69,1,10,121,8,118,7.03e-14,60.5
SM_b20377,BAB_RS28690,35.714,112,70,2,12,122,10,120,3.29e-11,53.5
SM_b20378,BAB_RS31220,49.788,472,236,1,10,480,5,476,4.63e-170,484
SM_b20379,BAB_RS16815,56.858,452,195,0,1,452,1,452,0.0,543
SM_b20380,BAB_RS30480,51.792,307,140,4,8,307,8,313,4.24e-108,317
SM_b20381,BAB_RS30470,37.349,249,145,4,15,259,16,257,2.18e-52,168
SM_b20382,BAB_RS31375,37.551,245,152,1,38,281,43,287,1.33e-49,162
SM_b20383,BAB_RS31365,30.606,330,207,8,40,355,26,347,1.66e-45,155
SM_b20384,BAB_RS29125,25.561,223,156,3,29,241,74,296,2.23e-14,69.3
SM_b20387,BAB_RS17030,25.490,204,144,1,11,206,19,222,7.56e-14,65.9
SM_b20388,BAB_RS29520,38.647,207,119,4,14,218,14,214,5.07e-31,114
SM_b20389,BAB_RS16950,36.364,165,103,2,172,336,264,426,7.53e-25,102
SM_b20391,BAB_RS17490,24.907,269,177,11,97,351,220,477,1.66e-10,60.5
SM_b20392,BAB_RS27180,28.000,225,142,6,10,223,13,228,2.36e-17,75.5
SM_b20394,BAB_RS27050,27.991,443,271,20,6,434,3,411,2.08e-17,80.5
SM_b20395,BAB_RS17740,23.852,675,447,21,52,695,55,693,2.64e-28,117
SM_b20397,BAB_RS17735,36.250,160,76,5,34,183,23,166,1.82e-22,90.1
SM_b20403,BAB_RS17735,38.554,166,92,4,2,157,9,174,5.39e-27,102
SM_b20404,BAB_RS17740,31.461,89,61,0,60,148,471,559,7.28e-09,55.5
SM_b20406,BAB_RS29015,25.532,705,454,18,4,686,10,665,1.16e-42,163
SM_b20407,BAB_RS29015,21.359,515,342,13,41,542,697,1161,1.07e-12,68.2
SM_b20409,BAB_RS18225,31.227,269,154,2,5,273,4,241,8.01e-32,114
SM_b20410,BAB_RS23510,61.184,304,118,0,7,310,17,320,3.02e-139,393
SM_b20415,BAB_RS31060,29.464,224,140,7,4,216,15,231,3.22e-15,72.8
SM_b20416,BAB_RS29120,85.548,429,59,1,2,427,4,432,0.0,772
SM_b20417,BAB_RS29115,87.031,293,38,0,1,293,1,293,0.0,522
SM_b20418,BAB_RS29110,88.298,282,33,0,1,282,1,282,5.71e-164,453
SM_b20419,BAB_RS29105,74.929,351,84,3,1,349,1,349,0.0,520
SM_b20420,BAB_RS19045,31.694,183,111,7,19,193,25,201,9.16e-20,80.9
SM_b20422,BAB_RS24270,28.689,366,214,9,3,356,1,331,2.16e-32,120
SM_b20423,BAB_RS16815,44.902,461,246,5,1,458,1,456,1.13e-136,397
SM_b20424,BAB_RS23845,52.411,477,225,1,17,493,4,478,1.91e-177,504
SM_b20425,BAB_RS23485,34.483,145,95,0,2,146,3,147,1.19e-25,92.8
SM_b20426,BAB_RS24970,24.129,402,282,6,2,381,58,458,7.77e-26,105
SM_b20427,BAB_RS19595,50.000,250,114,2,6,255,30,268,2.10e-84,250
SM_b20428,BAB_RS29240,25.391,256,166,7,16,264,10,247,2.94e-15,70.5
SM_b20429,BAB_RS25255,30.732,205,138,2,10,214,14,214,1.34e-30,109
SM_b20430,BAB_RS29005,40.639,219,120,5,4,216,3,217,2.00e-39,132
SM_b20432,BAB_RS21050,31.000,300,196,6,26,316,23,320,1.75e-28,110
SM_b20433,BAB_RS27980,28.839,267,176,6,62,324,65,321,2.33e-19,84.3
SM_b20434,BAB_RS23290,27.350,351,241,6,6,353,3,342,3.19e-36,132
SM_b20435,BAB_RS17445,25.890,309,193,12,44,320,27,331,2.02e-08,51.6
SM_b20436,BAB_RS19170,25.197,254,178,7,43,290,46,293,9.23e-09,53.5
SM_b20441,BAB_RS27180,29.464,224,151,2,1,217,5,228,2.84e-21,86.7
SM_b20444,BAB_RS17710,24.627,402,257,5,43,438,58,419,1.02e-28,115
SM_b20445,BAB_RS30230,28.035,346,218,8,17,336,21,361,8.14e-20,86.3
SM_b20446,BAB_RS28370,47.103,397,196,6,1,390,1,390,2.61e-118,347
SM_b20447,BAB_RS16950,42.227,431,246,3,131,559,266,695,7.99e-110,340
SM_b20449,BAB_RS31180,34.615,104,66,2,118,219,80,183,1.12e-11,60.8
SM_b20453,BAB_RS26090,25.681,257,169,8,35,287,18,256,5.39e-12,61.6
SM_b20456,BAB_RS25640,37.295,244,145,6,8,245,2,243,1.35e-38,132
SM_b20457,BAB_RS29625,44.160,351,194,1,21,369,10,360,1.22e-96,291
SM_b20458,BAB_RS29665,71.517,323,89,1,20,339,6,328,1.28e-173,483
SM_b20459,BAB_RS29660,70.948,327,95,0,1,327,1,327,2.03e-171,476
SM_b20460,BAB_RS29655,74.573,586,148,1,22,606,18,603,0.0,894
SM_b20461,BAB_RS29645,45.833,144,76,1,35,178,34,175,7.14e-47,149
SM_b20462,BAB_RS29640,58.842,311,125,1,1,311,1,308,1.83e-132,376
SM_b20463,BAB_RS29645,38.372,172,101,1,2,168,7,178,1.45e-38,127
SM_b20467,BAB_RS17695,29.048,210,126,7,402,604,249,442,1.75e-10,59.7
SM_b20468,BAB_RS17700,34.328,201,123,4,3,202,7,199,5.38e-29,104
SM_b20476,BAB_RS32795,33.721,516,306,11,16,509,17,518,1.12e-73,239
SM_b20477,BAB_RS31300,42.675,314,178,2,1,314,1,312,3.27e-79,240
SM_b20478,BAB_RS30210,49.451,273,131,3,320,586,7,278,1.72e-79,251
SM_b20479,BAB_RS30905,53.435,262,121,1,1,261,1,262,2.59e-91,268
SM_b20480,BAB_RS27755,29.730,148,99,3,48,193,36,180,4.17e-09,52.4
SM_b20483,BAB_RS30755,68.986,345,107,0,6,350,5,349,0.0,509
SM_b20485,BAB_RS18620,39.630,487,288,4,9,491,2,486,1.01e-111,337
SM_b20486,BAB_RS23785,29.245,318,208,4,11,320,24,332,8.75e-38,134
SM_b20487,BAB_RS23785,27.869,305,216,2,21,322,29,332,6.16e-28,107
SM_b20490,BAB_RS31395,37.089,213,130,3,9,220,9,218,3.39e-45,147
SM_b20492,BAB_RS24440,29.787,188,128,3,2,189,6,189,1.26e-16,74.7
SM_b20493,BAB_RS25640,36.885,244,149,3,5,244,3,245,2.51e-41,139
SM_b20494,BAB_RS27185,34.768,302,176,7,1,293,2,291,9.42e-46,153
SM_b20496,BAB_RS27685,60.762,525,206,0,10,534,4,528,0.0,686
SM_b20497,BAB_RS18650,30.909,495,304,14,6,483,3,476,9.85e-40,147
SM_b20499,BAB_RS28135,29.026,503,314,15,17,509,8,477,9.68e-46,165
SM_b20500,BAB_RS27205,25.566,309,160,10,20,321,17,262,1.37e-20,86.7
SM_b20501,BAB_RS28125,26.910,301,209,5,24,319,11,305,6.83e-27,104
SM_b20502,BAB_RS23785,33.030,330,206,4,6,322,1,328,4.62e-50,166
SM_b20503,BAB_RS18620,46.000,500,258,8,6,498,12,506,1.13e-144,422
SM_b20504,BAB_RS28160,26.244,221,155,4,40,255,40,257,3.45e-14,68.9
SM_b20506,BAB_RS23785,34.365,323,191,3,6,313,18,334,3.89e-58,187
SM_b20507,BAB_RS31640,40.079,509,292,6,4,501,5,511,2.95e-123,367
SM_b20509,BAB_RS27755,32.673,202,134,1,43,242,34,235,2.61e-27,102
SM_b20510,BAB_RS17055,28.205,351,222,9,17,361,34,360,1.29e-22,94.7
SM_b20511,BAB_RS17075,33.203,256,157,5,1,254,1,244,2.83e-33,118
SM_b20515,BAB_RS29430,26.098,387,257,8,796,1161,104,482,6.03e-33,130
SM_b20523,BAB_RS18020,35.925,373,239,0,7,379,7,379,5.46e-68,217
SM_b20531,BAB_RS26465,41.954,174,93,3,9,178,1,170,1.87e-35,119
SM_b20532,BAB_RS26470,34.272,213,134,3,3,212,2,211,1.75e-18,77.0
SM_b20535,BAB_RS24040,35.043,234,138,6,70,298,61,285,1.20e-30,118
SM_b20537,BAB_RS27570,26.923,312,207,9,6,306,2,303,1.20e-17,79.3
SM_b20538,BAB_RS28705,28.986,138,94,3,51,188,46,179,6.53e-09,53.9
SM_b20541,BAB_RS29610,35.490,510,304,7,41,542,18,510,2.72e-96,299
SM_b20542,BAB_RS29605,50.000,114,57,0,1,114,1,114,1.06e-32,107
SM_b20557,BAB_RS26120,44.340,106,59,0,1,106,32,137,9.07e-24,85.5
SM_b20568,BAB_RS29155,83.117,385,61,1,21,401,5,389,0.0,660
SM_b20569,BAB_RS31810,49.756,205,103,0,31,235,20,224,7.10e-64,197
SM_b20570,BAB_RS30650,27.097,310,181,12,1,282,1,293,6.63e-11,58.9
SM_b20571,BAB_RS31815,38.249,217,134,0,62,278,32,248,1.37e-42,143
SM_b20575,BAB_RS29160,59.544,351,138,2,1,350,1,348,6.36e-132,377
SM_b20576,BAB_RS29165,73.171,205,54,1,1,204,1,205,4.40e-109,308
SM_b20577,BAB_RS29170,77.143,245,56,0,9,253,2,246,3.20e-145,403
SM_b20578,BAB_RS29175,75.200,125,31,0,6,130,10,134,1.65e-69,202
SM_b20579,BAB_RS29180,59.925,267,107,0,1,267,1,267,1.83e-118,337
SM_b20580,BAB_RS29185,76.412,301,70,1,1,301,1,300,6.84e-171,473
SM_b20582,BAB_RS28875,21.284,296,224,6,1,290,2,294,5.34e-13,64.7
SM_b20583,BAB_RS29190,78.864,317,66,1,1,317,1,316,0.0,523
SM_b20584,BAB_RS26450,30.573,157,93,3,64,205,101,256,6.57e-17,73.9
SM_b20586,BAB_RS29200,68.924,251,78,0,1,251,1,251,3.70e-125,352
SM_b20589,BAB_RS29215,77.945,399,62,1,1,399,1,373,0.0,625
SM_b20592,BAB_RS23930,26.966,178,110,3,11,188,11,168,2.18e-09,52.0
SM_b20595,BAB_RS29725,82.376,505,88,1,96,600,316,819,0.0,849
SM_b20597,BAB_RS27255,37.008,127,80,0,2,128,3,129,6.39e-22,81.6
SM_b20598,BAB_RS31880,55.890,399,161,6,21,418,13,397,2.90e-154,439
SM_b20599,BAB_RS31885,39.847,261,148,2,36,296,15,266,4.70e-58,187
SM_b20600,BAB_RS28515,38.053,113,58,4,66,171,1,108,1.53e-15,66.6
SM_b20602,BAB_RS26495,36.327,245,153,2,7,249,3,246,1.87e-51,165
SM_b20603,BAB_RS26490,33.115,305,171,7,53,356,33,305,1.25e-25,103
SM_b20604,BAB_RS27695,36.140,285,166,5,248,528,19,291,1.02e-35,132
SM_b20605,BAB_RS16000,24.269,342,222,11,15,341,21,340,5.91e-09,53.9
SM_b20606,BAB_RS25645,28.906,128,72,3,3,129,6,115,3.42e-10,51.6
SM_b20608,BAB_RS22930,41.429,70,41,0,1,70,8,77,2.50e-10,52.8
SM_b20609,BAB_RS18995,37.768,233,135,5,667,892,534,763,2.62e-34,138
SM_b20610,BAB_RS29325,44.248,113,63,0,13,125,5,117,8.48e-24,97.4
SM_b20612,BAB_RS26560,35.242,227,141,4,394,614,118,344,2.01e-26,107
SM_b20613,BAB_RS21380,36.534,479,256,5,6,441,9,482,3.61e-92,285
SM_b20616,BAB_RS16940,54.870,308,133,4,1,304,1,306,1.70e-108,316
SM_b20617,BAB_RS16930,67.194,253,83,0,4,256,4,256,4.56e-115,327
SM_b20618,BAB_RS16925,66.667,198,66,0,3,200,4,201,1.42e-97,278
SM_b20619,BAB_RS23760,32.268,313,212,0,11,323,19,331,5.92e-47,160
SM_b20621,BAB_RS28155,33.542,319,185,4,10,315,42,346,1.52e-39,139
SM_b20622,BAB_RS23790,32.716,486,320,5,9,491,7,488,3.33e-75,242
