Abortus2308|Q.,S_meliloti|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16295,SMc03833,52.893,121,57,0,1,121,1,121,3.94e-43,135
BAB_RS16300,SMc03834,48.958,96,49,0,1,96,1,96,1.80e-30,101
BAB_RS16315,SMc03835,77.273,176,40,0,1,176,1,176,4.46e-100,285
BAB_RS16320,SMc03836,58.216,213,76,1,34,233,13,225,3.53e-85,250
BAB_RS16325,SMc03837,75.576,217,53,0,9,225,5,221,8.40e-116,328
BAB_RS16330,SMc03838,63.258,841,306,1,9,849,26,863,0.0,976
BAB_RS16335,SMc03839,74.286,245,62,1,1,245,1,244,4.28e-130,365
BAB_RS16340,SMc03840,43.363,113,63,1,3,114,4,116,2.20e-24,89.4
BAB_RS16345,SMc03840,55.556,72,30,2,1,72,104,173,3.87e-21,79.3
BAB_RS16350,SMc03844,67.327,101,33,0,33,133,36,136,5.31e-48,148
BAB_RS16355,SMc03845,44.196,224,115,4,17,234,43,262,2.18e-59,186
BAB_RS16360,SMc03846,82.735,892,154,0,4,895,5,896,0.0,1526
BAB_RS16365,SMc03847,50.935,214,91,3,1,209,1,205,1.25e-69,209
BAB_RS16370,SMc03848,72.851,221,58,1,1,221,1,219,6.92e-92,266
BAB_RS16375,SMc03849,75.934,241,58,0,13,253,13,253,2.41e-136,382
BAB_RS16385,SMc03851,57.609,184,73,2,18,200,20,199,4.55e-73,217
BAB_RS16390,SMc04045,83.797,611,99,0,1,611,1,611,0.0,1057
BAB_RS16400,SM_b20934,35.000,120,71,2,1,117,1,116,2.48e-13,60.8
BAB_RS16405,SMc02235,69.231,78,24,0,1,78,1,78,1.67e-40,125
BAB_RS16410,SMc02317,49.612,129,64,1,7,134,1,129,2.89e-45,141
BAB_RS16425,SM_b21133,68.622,341,100,2,7,342,3,341,1.08e-164,461
BAB_RS16430,SM_b21132,70.486,288,85,0,1,288,1,288,1.79e-129,367
BAB_RS16435,SM_b21131,75.347,288,67,1,1,284,3,290,1.06e-141,398
BAB_RS16440,SM_b21130,73.973,365,88,2,1,358,1,365,0.0,544
BAB_RS16445,SMc04382,53.822,2839,1265,13,29,2852,25,2832,0.0,3091
BAB_RS16450,SMc02276,82.949,434,74,0,1,434,1,434,0.0,752
BAB_RS16455,SMc04271,31.034,290,169,12,9,272,11,295,3.34e-15,71.6
BAB_RS16460,SMc01426,60.417,240,95,0,1,240,1,240,2.95e-109,313
BAB_RS16465,SMc02164,63.072,306,113,0,1,306,1,306,1.19e-134,382
BAB_RS16470,SMa1757,62.353,255,92,4,15,268,5,256,6.40e-102,295
BAB_RS16475,SMc02856,59.307,693,250,5,9,675,22,708,0.0,785
BAB_RS16480,SMc00604,33.906,233,127,7,2,230,3,212,1.08e-20,84.3
BAB_RS16485,SMc00604,35.498,231,122,8,3,228,4,212,1.83e-22,89.0
BAB_RS16490,SMc00342,69.756,205,61,1,2,205,4,208,5.35e-103,293
BAB_RS16495,SMc02852,77.223,461,101,1,9,469,8,464,0.0,752
BAB_RS16500,SMc02850,75.124,1005,222,4,1,978,1,1004,0.0,1533
BAB_RS16505,SMc01090,54.754,568,241,5,7,573,7,559,0.0,592
BAB_RS16510,SMc02782,78.133,814,174,2,1,813,1,811,0.0,1295
BAB_RS16515,SMc01273,67.754,276,89,0,1,276,1,276,3.43e-144,403
BAB_RS16520,SMc01272,40.559,143,83,1,6,146,8,150,1.21e-26,99.8
BAB_RS16530,SM_b20170,72.074,376,98,2,1,370,1,375,0.0,556
BAB_RS16540,SMc02586,63.545,598,214,2,46,640,1,597,0.0,664
BAB_RS16545,SMc02586,63.212,193,71,0,1,193,628,820,4.69e-86,267
BAB_RS16550,SMc02585,58.454,414,172,0,11,424,11,424,1.38e-165,470
BAB_RS16565,SMc02584,78.333,180,39,0,8,187,15,194,1.64e-103,293
BAB_RS16570,SMc02583,63.871,155,56,0,1,155,1,155,4.61e-68,202
BAB_RS16575,SMc02582,55.357,224,82,5,1,206,55,278,6.43e-81,240
BAB_RS16580,SMc01119,75.263,190,45,1,1,190,1,188,3.07e-105,298
BAB_RS16585,SMc01120,64.417,163,57,1,18,179,1,163,9.61e-71,209
BAB_RS16590,SMc01121,71.186,354,102,0,1,354,1,354,0.0,528
BAB_RS16595,SMc01123,81.369,526,98,0,1,526,1,526,0.0,789
BAB_RS16600,SMc01124,65.435,920,315,2,1,920,1,917,0.0,1222
BAB_RS16605,SMc01126,70.571,350,103,0,1,350,410,759,1.53e-179,514
BAB_RS16610,SMc01125,71.801,883,246,2,25,905,30,911,0.0,1217
BAB_RS16615,SMc01127,60.687,262,103,0,19,280,30,291,7.80e-117,335
BAB_RS16620,SMc01129,53.020,149,69,1,9,157,15,162,8.41e-52,160
BAB_RS16625,SMc01130,66.192,281,95,0,14,294,5,285,1.48e-135,383
BAB_RS16630,SMc01131,61.140,386,131,6,1,381,13,384,7.43e-157,444
BAB_RS16635,SMc01133,50.962,104,51,0,4,107,3,106,5.72e-34,111
BAB_RS16640,SMc01134,84.615,91,14,0,1,91,1,91,7.05e-54,160
BAB_RS16645,SMc01135,50.000,320,152,4,4,318,2,318,8.86e-98,289
BAB_RS16650,SMc01136,35.897,195,123,2,41,234,27,220,8.83e-38,129
BAB_RS16655,SMc01137,42.105,171,79,4,39,207,32,184,4.28e-40,133
BAB_RS16660,SMc01138,79.424,243,50,0,35,277,28,270,2.05e-141,396
BAB_RS16665,SMc01139,58.350,509,196,4,1,495,1,507,0.0,593
BAB_RS16670,SMc01140,59.474,190,74,2,1,189,1,188,3.27e-82,239
BAB_RS16675,SMc01141,69.481,154,47,0,1,154,1,154,1.64e-75,219
BAB_RS16680,SMc01107,50.000,76,38,0,6,81,10,85,3.01e-27,92.4
BAB_RS16685,SMc01106,73.427,143,35,1,1,140,1,143,4.74e-76,220
BAB_RS16690,SMc02842,53.472,144,67,0,7,150,6,149,2.90e-46,146
BAB_RS16695,SMc02843,74.494,247,59,1,2,248,11,253,1.31e-132,372
BAB_RS16700,SMc02882,64.502,231,82,0,1,231,1,231,2.04e-91,266
BAB_RS16705,SMc02846,69.697,330,100,0,1,330,1,330,9.65e-171,475
BAB_RS16710,SMc00330,58.373,209,86,1,3,210,3,211,6.25e-79,233
BAB_RS16715,SMc01142,68.306,183,50,3,43,223,26,202,2.71e-85,249
BAB_RS16720,SMc01143,67.797,354,113,1,4,356,6,359,2.42e-178,496
BAB_RS16725,SMc01144,78.571,238,51,0,1,238,1,238,2.76e-145,403
BAB_RS16740,SMc01146,74.057,212,55,0,1,212,1,212,7.67e-114,322
BAB_RS16745,SMc01147,65.526,380,131,0,25,404,14,393,0.0,515
BAB_RS16750,SMc00416,62.000,300,110,3,2,299,7,304,1.91e-118,340
BAB_RS16755,SMc00418,67.544,114,37,0,7,120,9,122,2.71e-47,146
BAB_RS16760,SMc01053,66.017,462,157,0,9,470,2,463,0.0,607
BAB_RS16765,SMc01054,61.364,88,34,0,1,88,1,88,1.83e-31,104
BAB_RS16770,SMc02124,75.774,549,133,0,1,549,1,549,0.0,869
BAB_RS16775,SMc00092,35.321,218,131,4,42,251,46,261,2.22e-32,117
BAB_RS16780,SMc02123,40.476,168,95,3,7,172,2,166,3.13e-35,119
BAB_RS16790,SM_b20708,38.272,162,99,1,8,168,6,167,1.25e-32,113
BAB_RS16800,SMc00979,49.573,117,42,3,27,128,22,136,4.13e-18,72.4
BAB_RS16805,SMc03112,81.869,1252,222,2,3,1253,2,1249,0.0,2122
BAB_RS16810,SMc00170,33.158,190,114,5,53,235,59,242,1.20e-20,84.7
BAB_RS16815,SM_b20379,56.858,452,195,0,1,452,1,452,0.0,527
BAB_RS16820,SM_b21223,78.523,298,64,0,9,306,2,299,0.0,500
BAB_RS16825,SM_b21224,64.169,614,220,0,18,631,16,629,0.0,832
BAB_RS16830,SMc01952,55.294,255,110,2,19,271,4,256,2.19e-89,264
BAB_RS16835,SMc00126,88.000,25,3,0,1,25,1,25,3.44e-09,42.7
BAB_RS16840,SM_b21079,38.235,238,147,0,9,246,2,239,4.15e-58,182
BAB_RS16845,SM_b21080,39.827,231,123,4,23,238,27,256,3.96e-52,168
BAB_RS16850,SMc02521,74.603,252,64,0,1,252,1,252,4.20e-138,386
BAB_RS16855,SMc02520,68.263,501,157,1,3,503,3,501,0.0,677
BAB_RS16860,SMc02690,54.088,318,141,4,4,318,2,317,8.89e-105,306
BAB_RS16865,SMc02689,76.754,228,53,0,7,234,4,231,1.32e-128,381
BAB_RS16870,SMa1296,63.127,339,123,2,4,342,2,338,1.39e-157,442
BAB_RS16875,SMc02688,74.038,104,27,0,12,115,9,112,5.20e-55,166
BAB_RS16880,SMc04401,32.628,331,222,1,6,335,4,334,8.51e-44,151
BAB_RS16905,SM_b20891,85.954,477,67,0,1,477,1,477,0.0,827
BAB_RS16910,SMc01826,29.437,231,161,2,25,253,50,280,2.79e-27,104
BAB_RS16920,SMc01827,24.367,316,224,8,1,305,1,312,2.73e-15,72.8
BAB_RS16925,SM_b20618,66.667,198,66,0,4,201,3,200,1.99e-91,264
BAB_RS16930,SM_b20617,67.194,253,83,0,4,256,4,256,1.49e-111,319
BAB_RS16940,SM_b20616,54.403,318,139,4,1,316,1,314,5.60e-110,321
BAB_RS16945,SM_b20962,59.677,248,99,1,37,284,19,265,7.95e-93,273
BAB_RS16950,SMa1548,40.603,697,356,13,21,686,397,1066,5.66e-146,451
BAB_RS16955,SM_b21578,64.894,752,260,2,7,757,79,827,0.0,974
BAB_RS16960,SM_b21579,62.676,142,53,0,1,142,1,142,7.08e-63,187
BAB_RS16965,SM_b21147,68.376,234,74,0,10,243,9,242,1.09e-110,316
BAB_RS16970,SM_b21146,65.806,310,106,0,1,310,1,310,6.41e-151,423
BAB_RS16975,SM_b21145,63.476,397,126,7,5,396,6,388,4.97e-132,382
BAB_RS16980,SM_b21144,87.097,279,36,0,31,309,27,305,2.15e-172,477
BAB_RS16990,SMa0228,32.626,377,245,4,47,414,70,446,1.09e-47,166
BAB_RS16995,SMc03933,75.060,417,104,0,1,417,1,417,0.0,623
BAB_RS17000,SMc03932,68.750,96,30,0,1,96,1,96,2.22e-47,145
BAB_RS17005,SMc03931,63.333,150,55,0,6,155,6,155,1.68e-63,208
BAB_RS17010,SMc03931,50.529,378,181,3,1,376,173,546,1.03e-99,315
BAB_RS17015,SMc03931,66.368,446,149,1,1,446,552,996,0.0,635
BAB_RS17020,SMc03930,32.571,175,111,4,7,179,12,181,3.08e-23,89.0
BAB_RS17025,SM_b21101,61.348,282,104,2,1,282,1,277,5.52e-128,362
BAB_RS17030,SM_b21102,85.490,255,37,0,7,261,4,258,3.23e-162,447
BAB_RS17035,SM_b21103,78.588,439,94,0,1,439,1,439,0.0,701
BAB_RS17040,SM_b21104,81.356,295,55,0,3,297,4,298,1.61e-177,489
BAB_RS17045,SM_b21105,87.063,286,37,0,6,291,3,288,0.0,518
BAB_RS17050,SM_b21106,74.105,363,92,1,1,361,1,363,0.0,570
BAB_RS17055,SM_b21107,85.405,370,54,0,1,370,1,370,0.0,671
BAB_RS17060,SM_b21108,87.037,108,14,0,7,114,2,109,1.22e-70,204
BAB_RS17065,SM_b21109,77.591,357,80,0,1,357,1,357,0.0,574
BAB_RS17075,SM_b21111,79.918,244,49,0,1,244,1,244,1.45e-145,404
BAB_RS17080,SM_b21112,83.986,281,45,0,1,281,1,281,0.0,499
BAB_RS17085,SM_b21113,85.647,425,61,0,1,425,1,425,0.0,762
BAB_RS17105,SMc02187,73.604,394,104,0,2,395,3,396,0.0,584
BAB_RS17115,SMc02201,64.516,62,22,0,1,62,1,62,1.15e-28,95.1
BAB_RS17125,SMa0911,30.830,253,151,10,52,291,80,321,1.06e-17,79.3
BAB_RS17255,SMc02207,100.000,25,0,0,1,25,1,25,9.42e-13,51.6
BAB_RS17260,SMc02312,74.468,47,12,0,12,58,9,55,9.15e-24,82.8
BAB_RS17265,SMc02311,64.078,206,74,0,1,206,1,206,2.16e-95,274
BAB_RS17270,SMc02310,98.611,72,1,0,1,72,1,72,2.32e-48,144
BAB_RS17275,SMc02309,63.309,139,51,0,17,155,9,147,4.68e-62,186
BAB_RS17280,SMc02308,76.875,160,35,2,1,160,1,158,4.02e-88,252
BAB_RS17285,SMc02307,75.587,426,104,0,5,430,5,430,0.0,637
BAB_RS17290,SMc02306,52.414,145,65,2,1,144,1,142,1.81e-48,150
BAB_RS17295,SMc02305,79.254,429,88,1,1,428,1,429,0.0,696
BAB_RS17305,SMc02208,84.000,25,4,0,1,25,1,25,9.24e-08,38.9
BAB_RS17320,SMc02287,44.022,184,97,4,17,197,2,182,1.84e-40,134
BAB_RS17340,SMc01942,47.761,268,138,2,15,280,10,277,2.95e-79,239
BAB_RS17345,SMc01941,91.000,100,9,0,1,100,1,100,8.29e-65,188
BAB_RS17355,SMc01939,68.317,101,32,0,1,101,1,101,2.09e-49,149
BAB_RS17360,SMc01837,79.298,570,118,0,1,570,1,570,0.0,953
BAB_RS17365,SMc01832,51.948,154,66,2,9,157,4,154,1.49e-44,142
BAB_RS17370,SMc01831,53.456,217,101,0,12,228,7,223,1.89e-64,197
BAB_RS17375,SMc01830,77.833,203,45,0,1,203,1,203,2.93e-118,332
BAB_RS17380,SMc01733,92.000,25,2,0,1,25,1,25,6.44e-12,49.7
BAB_RS17385,SMc01716,51.528,458,218,2,49,506,45,498,3.27e-161,465
BAB_RS17390,SMc01458,40.201,398,204,3,1,373,1,389,1.94e-102,306
BAB_RS17395,SMc01457,62.779,1029,376,3,12,1039,21,1043,0.0,1284
BAB_RS17410,SMc01820,74.572,409,104,0,6,414,7,415,0.0,645
BAB_RS17415,SMc01819,53.266,199,93,0,24,222,15,213,5.77e-73,218
BAB_RS17425,SMc01815,84.703,438,64,2,1,436,1,437,0.0,769
BAB_RS17430,SMc01814,59.361,438,175,2,19,456,8,442,0.0,536
BAB_RS17435,SMc01132,54.286,140,64,0,1,140,1,140,1.74e-52,161
BAB_RS17440,SMc02163,70.522,536,158,0,8,543,1,536,0.0,791
BAB_RS17445,SMc00388,47.458,354,179,6,3,353,4,353,7.93e-89,268
BAB_RS17450,SMc00893,36.170,235,143,2,10,241,4,234,3.30e-45,149
BAB_RS17460,SMc02162,67.438,562,183,0,19,580,4,565,0.0,797
BAB_RS17465,SMc02866,37.129,202,126,1,1,202,1,201,6.23e-39,131
BAB_RS17470,SMc02868,39.157,332,199,3,45,375,49,378,7.51e-69,220
BAB_RS17475,SMc03971,46.809,1034,534,7,3,1022,5,1036,0.0,894
BAB_RS17485,SMc02219,45.669,254,134,2,29,280,56,307,4.09e-80,242
BAB_RS17490,SM_b20391,24.907,269,177,11,220,477,97,351,2.39e-10,60.8
BAB_RS17495,SMc02148,62.069,290,110,0,18,307,10,299,3.42e-138,391
BAB_RS17500,SMc02147,49.512,410,182,7,26,425,26,420,1.14e-124,365
BAB_RS17505,SMc02139,60.656,183,59,2,1,180,1,173,1.15e-75,222
BAB_RS17510,SMc02138,71.611,391,109,1,4,394,3,391,0.0,571
BAB_RS17515,SMc02137,73.154,298,80,0,8,305,3,300,5.49e-173,479
BAB_RS17520,SMc02136,65.625,320,110,0,18,337,7,326,3.16e-145,410
BAB_RS17525,SMc02135,63.077,130,48,0,1,130,1,130,2.57e-60,179
BAB_RS17530,SMc02217,72.494,389,107,0,6,394,2,390,0.0,627
BAB_RS17540,SMc02218,79.778,361,72,1,4,363,3,363,0.0,580
BAB_RS17545,SMc04169,26.524,328,220,8,22,336,7,326,1.23e-34,127
BAB_RS17550,SMc02242,61.364,88,34,0,1,88,45,132,5.55e-29,98.6
BAB_RS17555,SMc02243,38.889,162,88,3,7,158,5,165,3.08e-30,105
BAB_RS17560,SMc02244,55.149,437,192,2,19,454,18,451,7.99e-150,432
BAB_RS17565,SMc02245,65.840,363,122,2,1,362,1,362,1.14e-170,477
BAB_RS17570,SMc02246,68.750,112,35,0,3,114,2,113,3.26e-50,152
BAB_RS17575,SMc02247,41.985,131,67,4,11,136,2,128,6.52e-28,98.6
BAB_RS17580,SMc02547,55.340,309,137,1,5,313,7,314,1.50e-120,347
BAB_RS17585,SMc02248,63.462,208,76,0,1,208,4,211,7.74e-91,263
BAB_RS17590,SMc02249,52.193,1163,540,6,1,1154,2,1157,0.0,1138
BAB_RS17595,SMc02250,53.901,141,59,4,1,135,1,141,5.20e-46,144
BAB_RS17600,SMc03104,59.398,399,162,0,1,399,2,400,2.89e-165,468
BAB_RS17605,SMc00001,31.068,103,68,1,131,230,236,338,5.36e-11,58.9
BAB_RS17615,SMc01838,25.837,209,139,5,22,223,5,204,5.24e-15,68.9
BAB_RS17625,SMc01651,26.936,297,201,6,2,288,4,294,5.69e-30,112
BAB_RS17640,SM_b20335,58.402,363,149,2,28,389,41,402,4.62e-158,450
BAB_RS17645,SMc01880,67.972,281,90,0,1,281,1,281,3.53e-139,392
BAB_RS17650,SMc01881,73.162,272,73,0,1,272,1,272,4.50e-152,423
BAB_RS17655,SMc02122,56.627,249,108,0,8,256,21,269,8.90e-100,290
BAB_RS17660,SMc00043,37.255,51,32,0,11,61,148,198,1.05e-08,46.2
BAB_RS17665,SM_b21631,82.466,365,64,0,1,365,1,365,0.0,645
BAB_RS17670,SM_b21630,84.746,413,63,0,1,413,1,413,0.0,743
BAB_RS17675,SM_b20270,68.142,339,107,1,1,338,1,339,2.21e-172,480
BAB_RS17685,SMc01211,41.019,373,218,1,1,373,46,416,5.81e-93,285
BAB_RS17690,SMc00950,28.788,132,88,4,38,166,40,168,2.07e-10,54.7
BAB_RS17695,SMa0204,28.000,200,127,4,228,418,184,375,8.42e-15,73.2
BAB_RS17700,SM_b21520,35.533,197,118,3,7,195,5,200,2.19e-30,109
BAB_RS17705,SMc04248,48.603,179,70,1,1,157,1,179,2.72e-50,157
BAB_RS17710,SMc04249,62.430,535,137,6,1,471,1,535,0.0,586
BAB_RS17715,SMc04251,57.692,338,140,1,38,375,33,367,2.83e-136,391
BAB_RS17720,SM_b20684,75.000,272,68,0,1,272,1,272,3.68e-159,441
BAB_RS17725,SM_b21284,66.667,474,153,2,1,472,1,471,0.0,643
BAB_RS17735,SM_b21286,63.333,480,176,0,1,480,1,480,0.0,617
BAB_RS17740,SM_b21287,65.771,707,221,4,13,702,9,711,0.0,933
BAB_RS17745,SM_b21288,61.172,273,82,3,5,276,7,256,4.47e-113,325
BAB_RS17755,SM_b21292,77.859,411,89,2,1,410,1,410,0.0,670
BAB_RS17760,SM_b21293,66.357,431,145,0,1,431,1,431,0.0,618
BAB_RS17765,SM_b20678,69.718,426,124,2,1,426,1,421,0.0,541
BAB_RS17770,SMa0622,68.085,47,15,0,1,47,1,47,2.94e-18,68.2
BAB_RS17775,SMa1209,53.735,763,326,10,1,748,1,751,0.0,766
BAB_RS17780,SMa1210,39.264,163,96,1,1,160,1,163,1.88e-31,108
BAB_RS17785,SMa1211,67.906,511,160,2,5,513,11,519,0.0,741
BAB_RS17790,SMa0769,61.324,287,111,0,1,287,1,287,1.60e-138,390
BAB_RS17795,SMa1214,55.319,47,21,0,3,49,4,50,1.17e-15,60.8
BAB_RS17800,SMa1216,79.424,243,50,0,1,243,1,243,1.13e-148,412
BAB_RS17805,SMa1220,76.038,530,125,1,1,528,1,530,0.0,833
BAB_RS17810,SMc00329,52.459,122,58,0,22,143,13,134,2.02e-45,143
BAB_RS17820,SMc01342,34.356,163,97,3,45,202,91,248,8.53e-25,95.1
BAB_RS17835,SMc01728,31.714,350,224,5,12,358,8,345,8.87e-45,155
BAB_RS17840,SMc00386,63.158,114,42,0,1,114,1,114,8.94e-49,149
BAB_RS17850,SM_b21000,47.632,359,184,1,25,379,1,359,9.39e-95,286
BAB_RS17855,SM_b20999,68.357,414,131,0,1,414,1,414,0.0,607
BAB_RS17860,SM_b20998,56.164,292,126,2,32,321,32,323,1.31e-120,348
BAB_RS17865,SM_b20996,54.587,218,99,0,3,220,5,222,6.46e-79,233
BAB_RS17870,SM_b20995,71.843,483,129,2,1,483,1,476,0.0,711
BAB_RS17875,SMc02376,46.572,423,225,1,15,437,5,426,1.31e-130,381
BAB_RS17880,SMc00928,50.789,380,180,2,51,429,12,385,7.22e-138,397
BAB_RS17885,SMc00872,53.704,108,47,2,26,130,37,144,7.93e-30,102
BAB_RS17890,SMc00871,77.823,248,55,0,1,248,1,248,2.60e-142,396
BAB_RS17895,SMc00870,95.082,61,3,0,1,61,1,61,4.00e-36,114
BAB_RS17900,SMc00869,60.396,202,78,1,1,202,1,200,1.54e-78,231
BAB_RS17905,SMc00868,60.377,159,63,0,1,159,3,161,6.75e-58,175
BAB_RS17910,SMc00867,60.748,214,82,2,2,215,3,214,8.23e-75,223
BAB_RS17915,SMc00866,73.973,365,95,0,26,390,21,385,0.0,576
BAB_RS17920,SMc00865,37.405,131,82,0,1,131,1,131,2.21e-22,86.3
BAB_RS17935,SMc00862,48.084,287,139,4,8,288,8,290,3.07e-75,230
BAB_RS17940,SMc00856,40.984,61,36,0,1,61,1,61,6.97e-08,42.0
BAB_RS17945,SMc00857,65.517,290,98,1,447,736,1,288,3.08e-129,383
BAB_RS17950,SMc00858,56.680,247,106,1,9,255,26,271,3.08e-81,243
BAB_RS17955,SMc00859,70.833,72,21,0,1,72,1,72,2.28e-31,102
BAB_RS17960,SMc00860,77.219,338,77,0,1,338,1,338,0.0,535
BAB_RS17965,SMc00861,47.107,605,311,5,1,599,1,602,0.0,541
BAB_RS17970,SMc00855,84.839,310,44,1,1,307,1,310,0.0,564
BAB_RS17980,SMc00851,66.795,777,202,5,1,777,1,721,0.0,1011
BAB_RS17985,SMc00984,60.510,314,119,2,11,323,14,323,1.22e-120,347
BAB_RS17990,SMc00985,63.404,470,172,0,1,470,21,490,0.0,625
BAB_RS18005,SMc00987,58.564,181,75,0,7,187,7,187,5.07e-72,213
BAB_RS18010,SMc00976,58.403,238,95,2,1,235,1,237,1.35e-88,260
BAB_RS18015,SMc00977,67.227,595,189,3,1,591,1,593,0.0,815
BAB_RS18020,SM_b20523,36.022,372,238,0,8,379,8,379,1.63e-65,211
BAB_RS18025,SMc00993,69.176,425,129,1,1,425,1,423,0.0,576
BAB_RS18030,SMc00988,63.323,319,111,2,7,325,2,314,2.42e-128,367
BAB_RS18035,SMc00069,77.889,199,44,0,5,203,8,206,5.26e-118,331
BAB_RS18040,SMc00002,33.962,106,66,1,12,117,48,149,2.13e-20,78.2
BAB_RS18045,SMa0116,39.032,310,165,5,3,311,4,290,2.40e-65,205
BAB_RS18050,SMc00005,80.147,272,54,0,1,272,1,272,1.56e-164,454
BAB_RS18055,SMc00006,52.332,193,91,1,5,196,2,194,3.92e-68,204
BAB_RS18060,SMc01428,72.464,69,19,0,1,69,1,69,3.03e-34,108
BAB_RS18080,SMc00070,37.349,83,49,2,1,80,1,83,1.23e-14,60.5
BAB_RS18085,SMc00007,81.319,364,68,0,1,364,1,364,0.0,577
