O_anthropi|Q.,Melitensis16M|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00335,BME_RS09350,91.897,543,44,0,1,543,1,543,0.0,1008
OANT_RS00340,BME_RS03395,35.714,98,61,2,183,279,230,326,5.21e-10,55.8
OANT_RS00360,BME_RS01960,36.301,292,170,4,74,357,45,328,1.17e-47,161
OANT_RS00365,BME_RS03290,44.578,249,132,3,5,252,2,245,2.70e-68,208
OANT_RS00370,BME_RS09335,84.507,213,33,0,1,213,20,232,2.27e-132,368
OANT_RS00375,BME_RS09330,92.140,229,18,0,1,229,1,229,5.35e-160,439
OANT_RS00380,BME_RS09325,82.540,63,11,0,1,63,1,63,1.47e-35,111
OANT_RS00385,BME_RS09320,78.261,69,15,0,1,69,1,69,9.86e-35,109
OANT_RS00390,BME_RS09315,93.548,62,4,0,1,62,1,62,2.48e-38,118
OANT_RS00395,BME_RS09310,70.635,126,27,3,15,140,14,129,1.09e-34,124
OANT_RS00400,BME_RS09305,98.165,218,4,0,1,218,1,218,2.45e-155,426
OANT_RS00405,BME_RS09300,90.808,1077,99,0,1,1077,1,1077,0.0,2035
OANT_RS00410,BME_RS09295,87.064,487,59,1,31,517,1,483,0.0,835
OANT_RS00415,BME_RS09290,86.942,291,26,3,1,283,1,287,8.61e-173,476
OANT_RS00425,BME_RS12780,30.909,110,76,0,47,156,27,136,2.62e-11,55.5
OANT_RS00435,BME_RS03570,44.898,245,133,2,5,249,23,265,8.47e-72,218
OANT_RS00440,BME_RS09270,98.522,406,6,0,1,406,1,406,0.0,816
OANT_RS00450,BME_RS09265,97.717,219,5,0,1,219,1,219,1.97e-154,424
OANT_RS00455,BME_RS09260,73.653,167,44,0,1,167,1,167,1.70e-78,227
OANT_RS00460,BME_RS09255,98.054,411,8,0,1,411,1,411,0.0,836
OANT_RS00465,BME_RS09245,89.820,167,17,0,1,167,1,167,7.67e-114,317
OANT_RS00470,BME_RS09240,91.935,124,10,0,1,124,1,124,3.99e-82,233
OANT_RS00480,BME_RS09235,85.417,96,14,0,1,96,1,96,1.36e-60,176
OANT_RS00490,BME_RS09225,91.837,196,16,0,1,196,1,196,1.86e-125,348
OANT_RS00495,BME_RS09220,80.417,240,46,1,1,239,2,241,2.91e-141,392
OANT_RS00500,BME_RS09210,95.960,198,8,0,1,198,1,198,1.76e-136,380
OANT_RS00505,BME_RS09205,84.724,851,127,2,1,849,1,850,0.0,1357
OANT_RS00510,BME_RS09200,84.231,260,26,3,1,260,1,245,1.39e-152,422
OANT_RS00515,BME_RS09195,92.179,179,14,0,1,179,1,179,7.98e-123,340
OANT_RS00520,BME_RS09190,81.955,133,21,2,1,130,1,133,5.97e-73,211
OANT_RS00525,BME_RS09185,81.967,244,44,0,1,244,1,244,7.92e-152,419
OANT_RS00535,BME_RS09180,93.184,895,61,0,1,895,1,895,0.0,1715
OANT_RS00540,BME_RS09175,79.717,212,34,1,1,203,1,212,5.73e-119,333
OANT_RS00545,BME_RS09170,93.213,221,15,0,1,221,1,221,1.48e-121,341
OANT_RS00550,BME_RS09165,89.734,263,24,2,5,265,1,262,2.06e-174,478
OANT_RS00555,BME_RS09160,90.909,55,5,0,2,56,3,57,2.99e-33,104
OANT_RS00560,BME_RS09155,86.802,197,22,1,1,193,1,197,2.57e-125,348
OANT_RS00570,BME_RS09150,95.417,611,28,0,1,611,1,611,0.0,1164
OANT_RS00575,BME_RS09145,54.688,128,56,1,7,134,13,138,3.15e-35,116
OANT_RS00580,BME_RS09140,85.124,121,18,0,1,121,1,121,8.05e-72,207
OANT_RS00585,BME_RS09135,94.872,78,4,0,1,78,1,78,1.91e-52,154
OANT_RS00590,BME_RS11625,31.818,352,222,7,1,344,1,342,4.76e-46,158
OANT_RS00595,BME_RS09130,74.453,137,31,2,1,136,1,134,1.64e-71,207
OANT_RS00600,BME_RS09125,76.190,105,24,1,25,128,57,161,1.09e-54,165
OANT_RS00605,BME_RS09120,58.800,250,103,0,1,250,10,259,7.45e-106,305
OANT_RS00610,BME_RS09115,89.181,342,37,0,1,342,1,342,0.0,641
OANT_RS00615,BME_RS09110,91.289,287,25,0,1,287,1,287,0.0,514
OANT_RS00620,BME_RS09105,91.438,292,21,1,3,294,1,288,1.16e-166,461
OANT_RS00625,BME_RS09100,91.379,348,30,0,1,348,1,348,0.0,649
OANT_RS00630,BME_RS09095,91.999,2862,221,3,30,2890,13,2867,0.0,5431
OANT_RS00635,BME_RS09090,95.161,434,21,0,1,434,1,434,0.0,863
OANT_RS00640,BME_RS09085,86.957,276,36,0,1,276,1,276,4.37e-173,476
OANT_RS00645,BME_RS09080,91.286,241,21,0,1,241,1,241,1.29e-168,462
OANT_RS00650,BME_RS15330,35.000,160,101,2,14,171,18,176,4.16e-17,72.8
OANT_RS00655,BME_RS09075,88.636,308,35,0,1,308,1,308,0.0,562
OANT_RS00660,BME_RS09070,90.672,268,20,1,1,263,1,268,0.0,499
OANT_RS00665,BME_RS09065,89.767,772,68,5,1,770,1,763,0.0,1389
OANT_RS00670,BME_RS09060,72.174,230,63,1,1,229,1,230,7.65e-124,347
OANT_RS00675,BME_RS09055,74.236,229,58,1,1,229,1,228,1.04e-114,324
OANT_RS00685,BME_RS09050,95.610,205,9,0,1,205,1,205,1.32e-149,410
OANT_RS00690,BME_RS09045,93.803,468,25,1,6,469,2,469,0.0,905
OANT_RS00695,BME_RS09040,94.376,978,53,1,1,976,1,978,0.0,1901
OANT_RS00700,BME_RS09035,91.473,645,35,3,1,644,1,626,0.0,1088
OANT_RS00705,BME_RS09030,94.588,813,44,0,1,813,1,813,0.0,1563
OANT_RS00715,BME_RS09025,88.129,278,33,0,1,278,1,278,0.0,527
OANT_RS00720,BME_RS09020,81.651,218,40,0,1,218,1,218,7.09e-126,351
OANT_RS00725,BME_RS09015,78.400,125,26,1,1,125,1,124,6.00e-67,197
OANT_RS00730,BME_RS09010,97.297,370,10,0,1,370,1,370,0.0,747
OANT_RS00745,BME_RS09000,88.739,595,67,0,1,595,46,640,0.0,1008
OANT_RS00750,BME_RS08990,93.007,429,30,0,1,429,1,429,0.0,787
OANT_RS00755,BME_RS16785,44.643,56,31,0,64,119,37,92,1.94e-09,48.5
OANT_RS00760,BME_RS08975,97.326,187,5,0,1,187,1,187,7.70e-135,371
OANT_RS00765,BME_RS08970,92.073,164,13,0,1,164,1,164,3.18e-112,312
OANT_RS00770,BME_RS08965,90.777,206,19,0,1,206,1,206,3.38e-134,371
OANT_RS00775,BME_RS08960,94.211,190,11,0,1,190,1,190,2.41e-124,345
OANT_RS00780,BME_RS08955,83.951,162,26,0,1,162,18,179,2.48e-90,258
OANT_RS00785,BME_RS08950,94.085,355,21,0,1,355,1,355,0.0,705
OANT_RS00790,BME_RS08945,93.939,528,32,0,1,528,1,528,0.0,963
OANT_RS00795,BME_RS08940,91.328,934,81,0,1,934,1,934,0.0,1771
OANT_RS00800,BME_RS16775,96.011,376,15,0,1,376,1,376,0.0,741
OANT_RS00805,BME_RS08925,92.857,910,65,0,1,910,1,910,0.0,1714
OANT_RS00810,BME_RS08920,93.594,281,18,0,1,281,1,281,0.0,549
OANT_RS00815,BME_RS08915,89.809,157,16,0,1,157,1,157,1.06e-103,290
OANT_RS00820,BME_RS08910,87.500,296,32,1,1,291,1,296,0.0,530
OANT_RS00825,BME_RS16765,82.990,194,28,1,16,209,16,204,1.18e-117,338
OANT_RS00830,BME_RS08900,76.636,107,25,0,1,107,1,107,8.60e-57,168
OANT_RS00835,BME_RS08895,97.872,94,2,0,1,94,1,94,8.14e-64,184
OANT_RS00840,BME_RS08890,86.378,323,44,0,1,323,1,323,0.0,544
OANT_RS00845,BME_RS08885,82.700,237,41,0,1,237,1,237,7.86e-146,404
OANT_RS00850,BME_RS08880,83.486,218,32,2,1,216,1,216,6.37e-126,351
OANT_RS00855,BME_RS08875,91.756,279,21,1,1,279,1,277,0.0,512
OANT_RS00860,BME_RS08870,80.039,511,89,2,1,511,1,498,0.0,826
OANT_RS00870,BME_RS08865,90.355,197,19,0,1,197,1,197,1.35e-122,341
OANT_RS00875,BME_RS08860,95.455,154,7,0,1,154,1,154,2.77e-105,294
OANT_RS00880,BME_RS08855,90.123,81,8,0,1,81,1,81,5.99e-53,156
OANT_RS00885,BME_RS08850,94.286,140,8,0,1,140,1,140,1.29e-96,271
OANT_RS00890,BME_RS08845,84.848,165,25,0,1,165,1,165,6.90e-105,294
OANT_RS00895,BME_RS08840,90.323,248,23,1,1,247,1,248,3.38e-166,456
OANT_RS00900,BME_RS08835,82.479,234,41,0,1,234,1,234,1.03e-125,353
OANT_RS00905,BME_RS08830,92.749,331,23,1,1,331,1,330,0.0,635
OANT_RS00910,BME_RS08825,83.486,218,36,0,1,218,1,218,4.19e-126,352
OANT_RS00915,BME_RS08820,85.714,224,28,1,1,224,1,220,2.68e-131,366
OANT_RS00920,BME_RS08815,92.978,356,25,0,1,356,1,356,0.0,672
OANT_RS00925,BME_RS08810,95.378,238,11,0,1,238,1,238,2.96e-171,468
OANT_RS00930,BME_RS16740,61.765,68,22,1,1,68,1,64,1.06e-19,75.9
OANT_RS00935,BME_RS08795,88.636,220,25,0,1,220,1,220,1.98e-146,404
OANT_RS00940,BME_RS08790,91.198,409,31,1,1,409,1,404,0.0,772
OANT_RS00945,BME_RS08785,90.759,303,28,0,1,303,1,303,0.0,524
OANT_RS00950,BME_RS08780,85.600,125,18,0,1,125,1,125,1.75e-76,219
OANT_RS00955,BME_RS08775,86.316,475,65,0,1,475,4,478,0.0,769
OANT_RS00960,BME_RS08770,88.043,92,11,0,1,92,1,92,1.26e-54,162
OANT_RS00965,BME_RS08765,92.445,503,38,0,1,503,1,503,0.0,966
OANT_RS00970,BME_RS08760,85.000,240,36,0,4,243,9,248,8.51e-155,427
OANT_RS00975,BME_RS08755,81.503,173,32,0,1,173,1,173,4.37e-102,288
OANT_RS00980,BME_RS08750,87.629,97,12,0,1,97,1,97,2.26e-62,181
OANT_RS00985,BME_RS08745,81.771,192,35,0,1,192,1,192,1.54e-115,323
OANT_RS00990,BME_RS08740,96.296,81,3,0,1,81,1,81,7.82e-52,153
OANT_RS00995,BME_RS08735,74.286,140,24,5,1,139,1,129,5.81e-49,150
OANT_RS01000,BME_RS08730,91.390,1266,100,2,1,1262,1,1261,0.0,2374
OANT_RS01005,BME_RS08725,70.213,235,70,0,1,235,1,235,3.70e-131,366
OANT_RS01010,BME_RS08720,93.640,456,29,0,1,456,1,456,0.0,880
OANT_RS01015,BME_RS08715,93.791,306,19,0,1,306,1,306,0.0,575
OANT_RS01020,BME_RS08710,87.112,644,83,0,1,644,1,644,0.0,1164
OANT_RS01025,BME_RS08705,74.460,278,71,0,1,278,1,278,1.15e-144,404
OANT_RS01030,BME_RS08700,96.000,25,1,0,1,25,1,25,1.19e-11,48.1
OANT_RS01170,BME_RS07375,50.667,75,37,0,1,75,1,75,2.03e-21,76.6
OANT_RS01175,BME_RS04195,44.444,63,35,0,1,63,2,64,3.37e-11,54.3
OANT_RS01190,BME_RS07415,29.800,500,296,12,2,474,4,475,2.58e-52,181
OANT_RS01285,BME_RS06785,28.363,342,201,12,56,374,63,383,1.35e-17,80.9
OANT_RS01360,BME_RS04975,95.982,224,9,0,344,567,34,257,2.33e-156,445
OANT_RS01365,BME_RS04970,87.500,72,9,0,66,137,1,72,2.60e-38,132
OANT_RS01415,BME_RS08695,80.632,253,49,0,1,253,1,253,3.62e-156,431
OANT_RS01420,BME_RS08690,71.548,239,64,1,1,235,1,239,6.77e-127,356
OANT_RS01425,BME_RS08685,86.590,261,35,0,1,261,1,261,1.55e-167,460
OANT_RS01430,BME_RS08680,86.282,503,66,1,1,503,1,500,0.0,858
OANT_RS01435,BME_RS08675,87.616,323,39,1,1,323,1,322,0.0,558
OANT_RS01440,BME_RS08670,95.842,505,21,0,1,505,1,505,0.0,991
OANT_RS01445,BME_RS08665,93.314,344,20,1,1,344,1,341,0.0,657
OANT_RS01450,BME_RS08660,92.437,119,9,0,1,119,1,119,6.63e-79,224
OANT_RS01455,BME_RS08655,87.316,339,43,0,1,339,1,339,0.0,602
OANT_RS01465,BME_RS08650,88.052,385,45,1,1,385,1,384,0.0,688
OANT_RS01470,BME_RS08645,96.017,477,19,0,1,477,1,477,0.0,918
OANT_RS01475,BME_RS08640,83.673,196,32,0,1,196,1,196,6.57e-108,309
OANT_RS01480,BME_RS08635,90.043,231,23,0,1,231,1,231,1.25e-158,435
OANT_RS01485,BME_RS08630,88.820,322,36,0,1,322,1,322,0.0,603
OANT_RS01490,BME_RS08625,85.427,199,29,0,2,200,3,201,1.20e-128,357
OANT_RS01495,BME_RS08620,92.188,256,20,0,1,256,1,256,7.78e-171,468
OANT_RS01500,BME_RS08615,73.846,65,17,0,1,65,1,65,8.38e-28,91.7
OANT_RS01505,BME_RS08610,84.731,334,51,0,1,334,1,334,0.0,562
OANT_RS01510,BME_RS08605,81.443,291,53,1,1,290,1,291,2.81e-161,447
OANT_RS01515,BME_RS08600,85.997,707,95,2,1,707,1,703,0.0,1248
OANT_RS01520,BME_RS08595,90.429,815,78,0,1,815,1,815,0.0,1489
OANT_RS01530,BME_RS12985,23.030,330,226,4,4,310,7,331,2.80e-15,72.8
OANT_RS01535,BME_RS01960,37.654,324,182,7,6,317,17,332,2.23e-63,201
OANT_RS01540,BME_RS01955,46.320,462,241,4,35,494,1,457,1.25e-134,395
OANT_RS01545,BME_RS01965,32.895,228,147,5,28,249,28,255,1.16e-25,100
OANT_RS01550,BME_RS11730,28.228,333,216,11,4,327,3,321,1.45e-24,99.0
OANT_RS01560,BME_RS08590,84.906,53,8,0,1,53,1,53,4.91e-28,96.7
OANT_RS01565,BME_RS08585,86.179,246,34,0,1,246,1,246,1.19e-140,391
OANT_RS01570,BME_RS08580,88.462,312,36,0,1,312,1,312,0.0,556
OANT_RS01575,BME_RS08575,75.949,395,95,0,2,396,7,401,0.0,508
OANT_RS01580,BME_RS08570,92.233,309,24,0,3,311,1,309,0.0,563
OANT_RS01585,BME_RS08560,90.024,421,42,0,1,421,1,421,0.0,793
OANT_RS01590,BME_RS08555,94.964,417,21,0,1,417,1,417,0.0,800
OANT_RS01595,BME_RS08550,92.079,101,8,0,1,101,1,101,6.31e-70,200
OANT_RS01600,BME_RS08545,90.782,998,92,0,1,998,1,998,0.0,1883
OANT_RS01605,BME_RS08540,80.000,180,36,0,1,180,1,180,6.89e-106,298
OANT_RS01610,BME_RS11290,34.896,384,238,6,2,379,47,424,2.49e-66,214
OANT_RS01620,BME_RS08535,73.404,282,75,0,1,282,1,282,3.87e-163,451
OANT_RS01625,BME_RS08530,88.931,262,29,0,1,262,1,262,1.88e-177,486
OANT_RS01630,BME_RS08525,86.788,439,57,1,1,438,1,439,0.0,780
OANT_RS01635,BME_RS08520,91.246,297,26,0,1,297,1,297,7.51e-180,494
OANT_RS01640,BME_RS08515,85.862,290,41,0,3,292,2,291,0.0,527
OANT_RS01645,BME_RS08510,89.532,363,38,0,1,363,1,363,0.0,677
OANT_RS01650,BME_RS08505,89.757,371,38,0,1,371,1,371,0.0,682
OANT_RS01655,BME_RS08500,87.037,108,14,0,3,110,7,114,2.41e-72,207
OANT_RS01660,BME_RS08495,87.187,359,46,0,1,359,1,359,0.0,652
OANT_RS01670,BME_RS08485,86.475,244,33,0,1,244,1,244,1.99e-158,436
OANT_RS01675,BME_RS08480,90.000,280,28,0,1,280,1,280,0.0,536
OANT_RS01680,BME_RS08475,90.824,425,39,0,1,425,1,425,0.0,810
OANT_RS01690,BME_RS08330,100.000,25,0,0,1,25,1,25,4.76e-13,51.6
OANT_RS01695,BME_RS08325,78.261,69,15,0,1,69,1,69,8.00e-38,117
OANT_RS01700,BME_RS08320,87.500,208,26,0,1,208,1,208,4.53e-135,374
OANT_RS01705,BME_RS08315,100.000,72,0,0,1,72,1,72,1.41e-49,147
OANT_RS01710,BME_RS08310,85.714,147,21,0,5,151,9,155,4.89e-93,263
OANT_RS01715,BME_RS08305,93.125,160,11,0,1,160,1,160,3.77e-111,309
OANT_RS01720,BME_RS08300,90.698,430,40,0,1,430,1,430,0.0,784
OANT_RS01725,BME_RS08295,85.616,146,21,0,1,146,1,146,4.84e-93,262
OANT_RS01730,BME_RS08290,93.706,429,27,0,1,429,1,429,0.0,806
OANT_RS01740,BME_RS08280,100.000,25,0,0,1,25,1,25,4.49e-11,46.6
OANT_RS01750,BME_RS08245,78.445,283,57,1,1,283,2,280,1.62e-160,444
OANT_RS01755,BME_RS03230,51.515,99,48,0,1,99,1,99,1.77e-34,111
OANT_RS01765,BME_RS08230,87.129,101,13,0,1,101,1,101,2.01e-64,186
OANT_RS01770,BME_RS08225,95.263,570,27,0,1,570,1,570,0.0,1133
OANT_RS01775,BME_RS08220,88.112,143,17,0,1,143,1,143,2.95e-86,247
OANT_RS01780,BME_RS08215,78.070,228,50,0,1,228,1,228,3.28e-122,343
OANT_RS01785,BME_RS08210,91.262,206,18,0,1,206,1,206,1.85e-142,392
OANT_RS01795,BME_RS08205,100.000,25,0,0,1,25,1,25,1.42e-13,53.1
OANT_RS01800,BME_RS08200,86.628,516,69,0,1,516,1,516,0.0,877
OANT_RS01805,BME_RS08195,81.003,379,63,1,1,370,1,379,0.0,600
OANT_RS01810,BME_RS08190,93.229,1019,67,1,5,1021,3,1021,0.0,1841
OANT_RS01815,BME_RS08630,27.273,264,179,6,1,261,1,254,1.18e-18,81.6
OANT_RS01820,BME_RS14105,26.522,230,165,3,53,280,44,271,2.37e-19,82.4
OANT_RS01825,BME_RS08640,29.323,133,90,1,83,215,54,182,5.32e-12,61.2
OANT_RS01830,BME_RS14860,41.702,235,133,3,23,256,16,247,1.22e-57,182
OANT_RS01835,BME_RS08185,94.824,483,25,0,2,484,7,489,0.0,967
OANT_RS01840,BME_RS08180,92.530,415,31,0,1,415,1,415,0.0,801
OANT_RS01845,BME_RS08175,79.741,232,42,1,1,232,1,227,9.37e-136,377
OANT_RS01850,BME_RS08170,79.070,129,27,0,1,129,1,129,5.62e-64,188
OANT_RS01855,BME_RS13225,50.689,363,156,6,1,354,1,349,3.77e-119,345
OANT_RS01860,BME_RS08515,36.059,269,167,2,14,277,23,291,1.18e-54,175
OANT_RS01865,BME_RS08520,31.461,267,182,1,40,305,15,281,4.85e-33,120
OANT_RS01870,BME_RS12835,26.902,368,250,11,39,400,43,397,1.23e-24,101
OANT_RS01875,BME_RS06105,33.766,385,229,10,15,386,17,388,2.68e-61,199
OANT_RS01880,BME_RS10530,32.701,211,129,4,14,218,17,220,3.17e-23,91.3
OANT_RS01890,BME_RS10625,28.526,312,196,9,4,298,9,310,9.48e-21,87.0
OANT_RS01895,BME_RS06540,25.701,214,153,4,12,224,4,212,1.52e-15,72.0
OANT_RS01900,BME_RS11570,27.619,105,76,0,9,113,10,114,5.94e-10,53.9
OANT_RS01905,BME_RS08525,27.034,381,239,14,4,366,1,360,1.75e-19,86.7
OANT_RS01910,BME_RS10735,33.096,281,185,3,33,310,30,310,2.50e-48,160
OANT_RS01915,BME_RS08515,33.992,253,158,4,29,272,38,290,2.43e-45,151
OANT_RS01920,BME_RS12845,55.301,349,152,2,1,347,1,347,6.81e-135,385
OANT_RS01925,BME_RS08165,93.578,436,28,0,1,436,1,436,0.0,850
OANT_RS01930,BME_RS08160,80.321,498,90,2,3,500,6,495,0.0,818
OANT_RS01935,BME_RS04895,25.455,220,155,4,75,287,84,301,4.70e-08,50.1
OANT_RS01940,BME_RS08155,87.671,146,18,0,1,146,1,146,2.72e-95,268
OANT_RS01945,BME_RS08150,91.803,549,45,0,1,549,1,549,0.0,1047
OANT_RS01950,BME_RS08145,88.669,353,40,0,1,353,1,353,0.0,629
OANT_RS01955,BME_RS08140,83.898,236,38,0,7,242,7,242,3.18e-146,405
OANT_RS01960,BME_RS06285,31.138,167,98,5,11,169,10,167,1.63e-15,68.6
OANT_RS01965,BME_RS08125,85.542,581,84,0,1,581,1,581,0.0,1055
OANT_RS01970,BME_RS08120,71.782,202,57,0,1,202,1,202,5.90e-109,308
OANT_RS01975,BME_RS08115,85.644,404,51,1,1,404,1,397,0.0,610
OANT_RS01980,BME_RS08110,94.595,1036,55,1,1,1035,1,1036,0.0,1973
OANT_RS01985,BME_RS08100,66.784,283,90,2,1,282,1,280,2.57e-138,388
OANT_RS01990,BME_RS08095,72.991,585,152,2,2,581,47,630,0.0,887
OANT_RS01995,BME_RS08090,89.577,307,32,0,1,307,1,307,0.0,526
OANT_RS02000,BME_RS08085,40.237,169,77,4,1,145,1,169,4.29e-26,106
OANT_RS02030,BME_RS15705,29.372,446,302,5,58,490,118,563,1.10e-47,170
OANT_RS02035,BME_RS15680,34.130,293,182,6,54,340,87,374,1.32e-42,150
OANT_RS02055,BME_RS07010,29.032,217,135,6,178,380,126,337,6.94e-11,59.7
OANT_RS02060,BME_RS14325,27.615,239,150,7,145,370,123,351,1.89e-11,61.2
OANT_RS02065,BME_RS08080,91.111,180,15,1,1,179,1,180,2.19e-112,314
OANT_RS02070,BME_RS08075,92.786,402,29,0,1,402,1,402,0.0,776
OANT_RS02075,BME_RS08070,93.910,312,19,0,1,312,1,312,0.0,619
OANT_RS02080,BME_RS08065,87.574,338,42,0,1,338,1,338,0.0,612
OANT_RS02085,BME_RS08060,82.308,130,23,0,1,130,1,130,4.61e-80,228
OANT_RS02090,BME_RS08055,92.947,397,28,0,1,397,1,397,0.0,766
OANT_RS02095,BME_RS08045,93.388,363,24,0,1,363,1,363,0.0,683
OANT_RS02100,BME_RS08040,90.303,330,32,0,7,336,7,336,0.0,589
OANT_RS02105,BME_RS08035,87.500,88,11,0,1,88,1,88,4.89e-53,157
OANT_RS02110,BME_RS08030,84.375,160,25,0,1,160,1,160,6.34e-100,281
OANT_RS02115,BME_RS08025,86.755,453,56,1,1,449,2,454,0.0,795
OANT_RS02120,BME_RS08020,87.293,362,46,0,1,362,1,362,0.0,650
OANT_RS02125,BME_RS08015,81.897,116,21,0,1,116,1,116,6.54e-68,196
OANT_RS02130,BME_RS08010,71.739,138,39,0,5,142,12,149,2.72e-69,202
OANT_RS02135,BME_RS08005,93.038,316,22,0,1,316,1,316,0.0,612
OANT_RS02140,BME_RS16635,90.047,211,21,0,1,211,1,211,4.75e-128,357
OANT_RS02145,BME_RS07995,87.422,1129,141,1,1,1129,1,1128,0.0,1961
OANT_RS02150,BME_RS07990,90.441,136,13,0,1,136,1,136,4.43e-87,247
OANT_RS02155,BME_RS02590,31.026,390,247,8,17,388,14,399,1.32e-50,171
OANT_RS02160,BME_RS07985,94.353,425,24,0,1,425,1,425,0.0,794
OANT_RS02170,BME_RS07980,61.373,233,90,0,1,233,1,233,2.35e-107,306
OANT_RS02175,BME_RS07975,62.979,235,86,1,18,251,3,237,3.00e-110,314
