Abortus2308|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BAB_RS16100,OANT_RS00100,93.728,287,18,0,1,287,1,287,0.0,566
BAB_RS16105,OANT_RS00095,90.283,247,24,0,1,247,1,247,7.85e-166,456
BAB_RS16110,OANT_RS00090,77.333,225,27,3,1,202,1,224,1.30e-117,330
BAB_RS16115,OANT_RS00245,67.913,321,101,1,1,321,1,319,1.85e-145,410
BAB_RS16120,OANT_RS00250,85.757,337,46,1,1,337,1,335,0.0,616
BAB_RS16130,OANT_RS00260,88.038,209,25,0,1,209,1,209,1.35e-133,370
BAB_RS16135,OANT_RS00265,82.787,122,20,1,1,121,1,122,2.00e-71,206
BAB_RS16140,OANT_RS00270,70.000,130,35,2,1,129,1,127,3.99e-52,163
BAB_RS16145,OANT_RS00275,89.671,639,66,0,1,639,1,639,0.0,1154
BAB_RS16150,OANT_RS00280,83.386,1583,254,3,1,1579,1,1578,0.0,2499
BAB_RS16155,OANT_RS00285,90.871,241,22,0,1,241,1,241,5.94e-168,460
BAB_RS16160,OANT_RS00290,57.576,66,28,0,1,66,1,66,9.00e-23,80.1
BAB_RS16165,OANT_RS00295,86.826,167,22,0,1,167,1,167,5.00e-107,300
BAB_RS16170,OANT_RS00300,72.515,342,86,2,1,334,1,342,1.60e-179,498
BAB_RS16175,OANT_RS00305,67.200,125,41,0,1,125,1,125,1.43e-54,164
BAB_RS16180,OANT_RS00320,89.231,130,14,0,1,130,1,130,1.14e-83,238
BAB_RS16185,OANT_RS00330,92.802,389,26,2,1,387,1,389,0.0,687
BAB_RS16190,OANT_RS00335,92.081,543,43,0,1,543,1,543,0.0,1036
BAB_RS16195,OANT_RS04100,40.794,277,163,1,19,295,19,294,4.47e-66,206
BAB_RS16205,OANT_RS00370,84.977,213,32,0,20,232,1,213,9.77e-133,370
BAB_RS16210,OANT_RS00375,91.818,220,18,0,1,220,1,220,1.91e-153,422
BAB_RS16215,OANT_RS00380,82.540,63,11,0,1,63,1,63,2.31e-35,111
BAB_RS16220,OANT_RS00385,78.261,69,15,0,1,69,1,69,1.53e-34,109
BAB_RS16225,OANT_RS00390,93.548,62,4,0,1,62,1,62,3.90e-38,118
BAB_RS16230,OANT_RS00395,80.872,298,46,3,1,287,1,298,4.28e-152,424
BAB_RS16235,OANT_RS00400,98.165,218,4,0,1,218,1,218,3.85e-155,426
BAB_RS16240,OANT_RS00405,90.901,1077,98,0,1,1077,1,1077,0.0,2038
BAB_RS16245,OANT_RS00410,87.269,487,58,1,1,483,31,517,0.0,835
BAB_RS16250,OANT_RS00415,86.598,291,27,3,1,287,1,283,4.15e-172,474
BAB_RS16265,OANT_RS00440,98.522,406,6,0,1,406,1,406,0.0,816
BAB_RS16270,OANT_RS00450,97.260,219,6,0,1,219,1,219,6.38e-154,423
BAB_RS16275,OANT_RS00455,73.054,167,45,0,1,167,1,167,6.75e-77,224
BAB_RS16280,OANT_RS00460,97.810,411,9,0,1,411,1,411,0.0,833
BAB_RS16290,OANT_RS00465,89.820,167,17,0,1,167,1,167,1.21e-113,317
BAB_RS16295,OANT_RS00470,91.935,124,10,0,1,124,1,124,2.16e-81,232
BAB_RS16300,OANT_RS00480,85.417,96,14,0,1,96,1,96,2.16e-60,176
BAB_RS16310,OANT_RS25215,81.481,108,20,0,1,108,66,173,3.35e-63,187
BAB_RS16315,OANT_RS00490,92.347,196,15,0,1,196,1,196,5.57e-126,350
BAB_RS16320,OANT_RS00495,81.250,240,44,1,2,241,1,239,1.74e-145,403
BAB_RS16325,OANT_RS00500,91.736,242,20,0,1,242,1,242,9.78e-161,442
BAB_RS16330,OANT_RS00505,89.046,849,93,0,1,849,1,849,0.0,1443
BAB_RS16335,OANT_RS00510,83.846,260,27,2,1,245,1,260,2.67e-146,406
BAB_RS16340,OANT_RS00515,72.807,114,31,0,1,114,1,114,2.64e-56,170
BAB_RS16345,OANT_RS00515,93.590,78,5,0,1,78,102,179,2.57e-49,150
BAB_RS16350,OANT_RS00520,82.707,133,20,2,1,133,1,130,7.63e-73,211
BAB_RS16355,OANT_RS00525,81.967,244,44,0,1,244,1,244,1.39e-158,437
BAB_RS16360,OANT_RS00535,93.073,895,62,0,1,895,1,895,0.0,1714
BAB_RS16365,OANT_RS00540,79.717,212,34,1,1,212,1,203,6.30e-119,333
BAB_RS16370,OANT_RS00545,93.780,209,13,0,1,209,1,209,7.59e-115,324
BAB_RS16375,OANT_RS00550,89.354,263,25,2,1,262,5,265,3.86e-173,475
BAB_RS16380,OANT_RS00555,90.909,55,5,0,3,57,2,56,4.78e-33,104
BAB_RS16385,OANT_RS00560,86.802,197,22,1,1,197,1,193,4.24e-125,348
BAB_RS16390,OANT_RS00570,95.581,611,27,0,1,611,1,611,0.0,1187
BAB_RS16395,OANT_RS00575,55.385,130,56,1,13,140,7,136,8.99e-37,121
BAB_RS16400,OANT_RS00580,85.124,121,18,0,1,121,1,121,1.24e-71,207
BAB_RS16405,OANT_RS00585,94.872,78,4,0,1,78,1,78,3.00e-52,154
BAB_RS16410,OANT_RS00595,74.453,137,31,2,1,134,1,136,2.54e-71,207
BAB_RS16415,OANT_RS00600,66.406,128,38,2,38,161,2,128,1.89e-55,168
BAB_RS16420,OANT_RS00605,58.400,250,104,0,10,259,1,250,3.67e-104,301
BAB_RS16425,OANT_RS00610,89.474,342,36,0,1,342,1,342,0.0,624
BAB_RS16430,OANT_RS00615,90.941,287,26,0,1,287,1,287,6.93e-179,492
BAB_RS16435,OANT_RS00620,91.438,292,21,1,1,288,3,294,1.51e-167,463
BAB_RS16440,OANT_RS00625,91.379,348,30,0,1,348,1,348,0.0,649
BAB_RS16445,OANT_RS00630,91.994,2873,222,3,2,2867,19,2890,0.0,5442
BAB_RS16450,OANT_RS00635,95.392,434,20,0,1,434,1,434,0.0,865
BAB_RS16455,OANT_RS00640,86.594,276,37,0,1,276,1,276,2.48e-172,474
BAB_RS16460,OANT_RS00645,91.701,241,20,0,1,241,1,241,2.35e-169,465
BAB_RS16465,OANT_RS00655,88.961,308,34,0,1,308,1,308,0.0,565
BAB_RS16470,OANT_RS00660,90.672,268,20,1,1,268,1,263,0.0,499
BAB_RS16475,OANT_RS00665,89.637,772,69,5,1,763,1,770,0.0,1376
BAB_RS16480,OANT_RS00670,72.174,230,63,1,1,230,1,229,7.66e-116,327
BAB_RS16485,OANT_RS00675,74.236,229,58,1,1,228,1,229,1.44e-114,324
BAB_RS16490,OANT_RS00685,95.610,205,9,0,1,205,1,205,2.08e-149,410
BAB_RS16495,OANT_RS00690,93.803,468,25,1,2,469,6,469,0.0,905
BAB_RS16500,OANT_RS00695,94.274,978,54,1,1,978,1,976,0.0,1896
BAB_RS16505,OANT_RS00700,91.008,645,38,3,1,626,1,644,0.0,1089
BAB_RS16510,OANT_RS00705,94.711,813,43,0,1,813,1,813,0.0,1566
BAB_RS16515,OANT_RS00715,88.129,278,33,0,1,278,1,278,0.0,527
BAB_RS16520,OANT_RS00720,74.194,155,40,0,1,155,1,155,1.39e-81,239
BAB_RS16525,OANT_RS00725,80.645,155,29,1,1,154,1,155,4.57e-88,251
BAB_RS16530,OANT_RS00730,97.027,370,11,0,1,370,1,370,0.0,744
BAB_RS16540,OANT_RS00745,89.244,595,64,0,46,640,1,595,0.0,1013
BAB_RS16545,OANT_RS00745,89.637,193,20,0,1,193,626,818,5.64e-124,366
BAB_RS16550,OANT_RS00750,93.240,429,29,0,1,429,1,429,0.0,791
BAB_RS16555,OANT_RS25925,41.667,108,61,1,8,113,2,109,2.81e-23,88.2
BAB_RS16565,OANT_RS00760,97.861,187,4,0,1,187,1,187,3.14e-135,373
BAB_RS16570,OANT_RS00765,91.463,164,14,0,1,164,1,164,6.87e-111,310
BAB_RS16575,OANT_RS00770,90.777,206,19,0,1,206,1,206,6.42e-143,394
BAB_RS16580,OANT_RS00775,94.737,190,10,0,1,190,1,190,6.19e-135,372
BAB_RS16585,OANT_RS00780,83.951,162,26,0,18,179,1,162,1.06e-90,259
BAB_RS16590,OANT_RS00785,93.803,355,22,0,1,355,1,355,0.0,701
BAB_RS16595,OANT_RS00790,94.318,528,30,0,1,528,1,528,0.0,966
BAB_RS16600,OANT_RS00795,91.328,934,81,0,1,934,1,934,0.0,1771
BAB_RS16605,OANT_RS00800,96.875,352,11,0,1,352,413,764,0.0,692
BAB_RS16610,OANT_RS00805,94.045,890,53,0,21,910,21,910,0.0,1709
BAB_RS16615,OANT_RS00810,93.594,281,18,0,1,281,1,281,0.0,551
BAB_RS16620,OANT_RS00815,89.809,157,16,0,1,157,1,157,1.66e-103,290
BAB_RS16625,OANT_RS00820,87.162,296,33,1,1,296,1,291,0.0,528
BAB_RS16630,OANT_RS00825,89.757,371,33,1,16,381,16,386,0.0,687
BAB_RS16635,OANT_RS00830,76.636,107,25,0,1,107,1,107,1.35e-56,168
BAB_RS16640,OANT_RS00835,98.936,94,1,0,1,94,1,94,1.07e-64,187
BAB_RS16645,OANT_RS00840,86.378,323,44,0,1,323,1,323,0.0,564
BAB_RS16650,OANT_RS00845,82.700,237,41,0,1,237,1,237,2.61e-146,405
BAB_RS16655,OANT_RS00850,83.945,218,31,2,1,216,1,216,4.41e-131,365
BAB_RS16660,OANT_RS00855,91.756,279,21,1,1,277,1,279,0.0,512
BAB_RS16665,OANT_RS00860,80.822,511,85,3,1,498,1,511,0.0,827
BAB_RS16670,OANT_RS00870,90.355,197,19,0,1,197,1,197,2.29e-122,341
BAB_RS16675,OANT_RS00875,95.455,154,7,0,1,154,1,154,4.35e-105,294
BAB_RS16680,OANT_RS00880,90.123,81,8,0,1,81,1,81,9.41e-53,156
BAB_RS16685,OANT_RS00885,94.286,140,8,0,1,140,1,140,2.03e-96,271
BAB_RS16690,OANT_RS00890,84.848,165,25,0,1,165,1,165,1.08e-104,294
BAB_RS16695,OANT_RS00895,90.756,238,21,1,1,238,1,237,1.64e-160,442
BAB_RS16700,OANT_RS00900,82.906,234,40,0,1,234,1,234,2.73e-126,355
BAB_RS16705,OANT_RS00905,92.749,331,23,1,1,330,1,331,0.0,635
BAB_RS16710,OANT_RS00910,83.028,218,37,0,1,218,1,218,2.25e-129,361
BAB_RS16715,OANT_RS00915,84.375,224,31,1,1,220,1,224,6.48e-130,363
BAB_RS16720,OANT_RS00920,92.978,356,25,0,1,356,1,356,0.0,672
BAB_RS16725,OANT_RS00925,95.798,238,10,0,1,238,1,238,9.90e-172,469
BAB_RS16740,OANT_RS00935,88.636,220,25,0,1,220,1,220,3.12e-146,404
BAB_RS16745,OANT_RS00940,90.954,409,32,1,1,404,1,409,0.0,763
BAB_RS16750,OANT_RS00945,90.759,303,28,0,1,303,1,303,0.0,524
BAB_RS16755,OANT_RS00950,85.600,125,18,0,1,125,1,125,2.78e-76,219
BAB_RS16760,OANT_RS00955,86.526,475,64,0,4,478,1,475,0.0,793
BAB_RS16765,OANT_RS00960,88.043,92,11,0,1,92,1,92,1.89e-54,162
BAB_RS16770,OANT_RS00965,92.086,556,44,0,1,556,1,556,0.0,1063
BAB_RS16775,OANT_RS00970,85.778,225,32,0,24,248,19,243,1.64e-146,407
BAB_RS16780,OANT_RS00975,81.503,173,32,0,1,173,1,173,6.88e-102,288
BAB_RS16785,OANT_RS00980,87.629,97,12,0,1,97,1,97,3.56e-62,181
BAB_RS16790,OANT_RS00985,81.250,192,36,0,1,192,1,192,1.16e-115,324
BAB_RS16795,OANT_RS00990,96.296,81,3,0,1,81,1,81,1.23e-51,153
BAB_RS16800,OANT_RS00995,72.143,140,27,5,1,129,1,139,1.54e-49,152
BAB_RS16805,OANT_RS01000,91.581,1259,97,2,1,1254,1,1255,0.0,2367
BAB_RS16810,OANT_RS01005,70.213,235,70,0,1,235,1,235,5.82e-131,366
BAB_RS16815,OANT_RS01010,93.640,456,29,0,1,456,1,456,0.0,880
BAB_RS16820,OANT_RS01015,93.791,306,19,0,1,306,1,306,0.0,578
BAB_RS16825,OANT_RS01020,87.422,644,81,0,1,644,1,644,0.0,1169
BAB_RS16830,OANT_RS01025,74.460,278,71,0,1,278,1,278,1.45e-144,404
BAB_RS16835,OANT_RS01030,96.000,25,1,0,1,25,1,25,1.87e-11,48.1
BAB_RS16840,OANT_RS01415,80.632,253,49,0,1,253,1,253,5.69e-156,431
BAB_RS16845,OANT_RS01420,71.548,239,64,1,1,239,1,235,1.08e-126,356
BAB_RS16850,OANT_RS01425,86.590,261,35,0,1,261,1,261,2.44e-167,460
BAB_RS16855,OANT_RS01430,86.282,503,69,0,1,503,1,503,0.0,871
BAB_RS16860,OANT_RS01435,87.926,323,38,1,1,322,1,323,0.0,561
BAB_RS16865,OANT_RS01440,93.590,234,15,0,1,234,1,234,2.05e-156,452
BAB_RS16870,OANT_RS01445,94.186,344,20,0,1,344,1,344,0.0,671
BAB_RS16875,OANT_RS01450,92.437,119,9,0,1,119,1,119,1.92e-78,224
BAB_RS16880,OANT_RS01455,87.316,339,43,0,1,339,1,339,0.0,602
BAB_RS16905,OANT_RS01470,96.017,477,19,0,1,477,1,477,0.0,918
BAB_RS16910,OANT_RS01475,90.698,258,24,0,1,258,1,258,1.22e-165,456
BAB_RS16915,OANT_RS01480,90.043,231,23,0,1,231,1,231,1.98e-158,435
BAB_RS16920,OANT_RS01485,88.820,322,36,0,1,322,1,322,0.0,603
BAB_RS16925,OANT_RS01490,84.925,199,30,0,3,201,2,200,5.54e-128,356
BAB_RS16930,OANT_RS01495,92.578,256,19,0,1,256,1,256,3.85e-178,487
BAB_RS16935,OANT_RS01500,73.846,65,17,0,1,65,1,65,3.73e-22,77.8
BAB_RS16940,OANT_RS01505,84.731,334,51,0,1,334,1,334,0.0,580
BAB_RS16945,OANT_RS01510,81.443,291,53,1,1,291,1,290,2.84e-163,452
BAB_RS16950,OANT_RS01515,85.714,707,97,2,1,703,1,707,0.0,1246
BAB_RS16955,OANT_RS01520,89.319,749,80,0,11,759,78,826,0.0,1325
BAB_RS16960,OANT_RS01560,91.892,148,12,0,1,148,1,148,1.41e-101,285
BAB_RS16965,OANT_RS01565,86.179,246,34,0,1,246,1,246,1.56e-139,389
BAB_RS16970,OANT_RS01570,88.782,312,35,0,1,312,1,312,0.0,559
BAB_RS16975,OANT_RS01575,75.949,395,95,0,7,401,2,396,1.71e-176,495
BAB_RS16980,OANT_RS01580,92.233,309,24,0,1,309,3,311,0.0,563
BAB_RS16990,OANT_RS01585,90.261,421,41,0,1,421,1,421,0.0,797
BAB_RS16995,OANT_RS01590,94.724,417,22,0,1,417,1,417,0.0,796
BAB_RS17000,OANT_RS01595,92.079,101,8,0,1,101,1,101,9.92e-70,200
BAB_RS17005,OANT_RS01600,93.836,146,9,0,2,147,1,146,5.50e-95,293
BAB_RS17010,OANT_RS01600,85.754,358,51,0,19,376,190,547,0.0,625
BAB_RS17015,OANT_RS01600,93.946,446,27,0,1,446,553,998,0.0,895
BAB_RS17020,OANT_RS01605,80.000,180,36,0,1,180,1,180,1.11e-105,298
BAB_RS17025,OANT_RS01620,73.050,282,76,0,1,282,1,282,3.47e-162,449
BAB_RS17030,OANT_RS01625,89.272,261,28,0,1,261,1,261,2.06e-176,483
BAB_RS17035,OANT_RS01630,86.788,439,57,1,1,439,1,438,0.0,763
BAB_RS17040,OANT_RS01635,91.582,297,25,0,1,297,1,297,2.16e-180,496
BAB_RS17045,OANT_RS01640,85.862,290,41,0,2,291,3,292,0.0,527
BAB_RS17050,OANT_RS01645,89.532,363,38,0,1,363,1,363,0.0,678
BAB_RS17055,OANT_RS01650,90.027,371,37,0,1,371,1,371,0.0,702
BAB_RS17060,OANT_RS01655,87.037,108,14,0,7,114,3,110,3.93e-72,207
BAB_RS17065,OANT_RS01660,86.908,359,47,0,1,359,1,359,0.0,650
BAB_RS17075,OANT_RS01670,86.885,244,32,0,1,244,1,244,2.00e-158,436
BAB_RS17080,OANT_RS01675,90.000,280,28,0,1,280,1,280,0.0,536
BAB_RS17085,OANT_RS01680,90.588,425,40,0,1,425,1,425,0.0,809
BAB_RS17125,OANT_RS16440,39.394,198,105,7,106,293,135,327,1.16e-20,87.8
BAB_RS17215,OANT_RS04625,41.975,81,45,2,1,79,1,81,3.81e-14,58.9
BAB_RS17255,OANT_RS01690,100.000,25,0,0,1,25,1,25,7.48e-13,51.6
BAB_RS17260,OANT_RS01695,76.812,69,16,0,1,69,1,69,5.66e-37,115
BAB_RS17265,OANT_RS01700,87.500,208,26,0,1,208,1,208,7.12e-135,374
BAB_RS17270,OANT_RS01705,100.000,72,0,0,1,72,1,72,2.21e-49,147
BAB_RS17275,OANT_RS01710,85.714,147,21,0,9,155,5,151,8.52e-93,263
BAB_RS17280,OANT_RS01715,93.125,160,11,0,1,160,1,160,5.93e-111,309
BAB_RS17285,OANT_RS01720,90.698,430,40,0,1,430,1,430,0.0,783
BAB_RS17290,OANT_RS01725,85.616,146,21,0,1,146,1,146,7.61e-93,262
BAB_RS17295,OANT_RS01730,93.706,429,27,0,1,429,1,429,0.0,803
BAB_RS17300,OANT_RS25235,79.630,54,11,0,21,74,1,54,1.08e-24,84.7
BAB_RS17305,OANT_RS01740,100.000,25,0,0,1,25,1,25,7.05e-11,46.6
BAB_RS17320,OANT_RS24520,38.378,185,112,1,15,199,2,184,8.24e-36,122
BAB_RS17330,OANT_RS09255,47.561,82,38,2,6,86,3,80,1.88e-14,59.7
BAB_RS17340,OANT_RS01750,78.092,283,58,1,2,280,1,283,4.16e-159,441
BAB_RS17345,OANT_RS01755,95.000,100,5,0,1,100,1,100,5.45e-66,191
BAB_RS17355,OANT_RS01765,87.129,101,13,0,1,101,1,101,3.15e-64,186
BAB_RS17360,OANT_RS01770,95.439,570,26,0,1,570,1,570,0.0,1135
BAB_RS17365,OANT_RS01775,88.028,142,17,0,1,142,1,142,5.15e-86,247
BAB_RS17370,OANT_RS01780,78.070,228,50,0,1,228,1,228,8.04e-125,350
BAB_RS17375,OANT_RS01785,91.262,206,18,0,1,206,1,206,2.93e-142,392
BAB_RS17380,OANT_RS01795,100.000,25,0,0,1,25,1,25,2.24e-13,53.1
BAB_RS17385,OANT_RS01800,86.434,516,70,0,1,516,1,516,0.0,860
BAB_RS17390,OANT_RS01805,80.739,379,64,1,1,379,1,370,0.0,595
BAB_RS17395,OANT_RS01810,93.465,1010,64,1,12,1021,14,1021,0.0,1820
BAB_RS17410,OANT_RS01840,92.771,415,30,0,1,415,1,415,0.0,802
BAB_RS17415,OANT_RS01845,80.603,232,40,1,1,227,1,232,3.67e-138,384
BAB_RS17425,OANT_RS01925,94.037,436,26,0,1,436,1,436,0.0,852
BAB_RS17430,OANT_RS01930,80.847,496,87,2,6,493,3,498,0.0,826
BAB_RS17435,OANT_RS01940,89.051,137,15,0,1,137,1,137,3.37e-90,256
BAB_RS17440,OANT_RS01945,91.985,549,44,0,1,549,1,549,0.0,1048
BAB_RS17445,OANT_RS01950,88.385,353,41,0,1,353,1,353,0.0,629
BAB_RS17450,OANT_RS01955,83.475,236,39,0,7,242,7,242,1.38e-145,404
BAB_RS17460,OANT_RS01965,85.714,581,83,0,1,581,1,581,0.0,1056
BAB_RS17465,OANT_RS01970,70.792,202,59,0,1,202,1,202,1.29e-107,305
BAB_RS17470,OANT_RS01975,85.149,404,53,1,1,397,1,404,0.0,620
BAB_RS17475,OANT_RS01980,94.370,1048,56,2,1,1048,1,1045,0.0,1982
BAB_RS17485,OANT_RS01985,66.784,283,90,2,1,280,1,282,1.99e-138,389
BAB_RS17490,OANT_RS01990,72.991,585,152,2,47,630,2,581,0.0,906
BAB_RS17495,OANT_RS01995,88.818,313,35,0,1,313,1,313,0.0,534
BAB_RS17500,OANT_RS02000,81.221,426,80,0,1,426,1,426,0.0,711
BAB_RS17505,OANT_RS02065,91.111,180,15,1,1,180,1,179,8.50e-114,318
BAB_RS17510,OANT_RS02070,92.786,402,29,0,1,402,1,402,0.0,776
BAB_RS17515,OANT_RS02075,93.910,312,19,0,1,312,1,312,0.0,619
BAB_RS17520,OANT_RS02080,88.166,338,40,0,1,338,1,338,0.0,617
BAB_RS17525,OANT_RS02085,82.308,130,23,0,1,130,1,130,7.25e-80,228
BAB_RS17530,OANT_RS02090,93.199,397,27,0,1,397,1,397,0.0,767
BAB_RS17540,OANT_RS02095,93.388,363,24,0,1,363,1,363,0.0,683
BAB_RS17545,OANT_RS02100,90.000,330,33,0,7,336,7,336,0.0,607
BAB_RS17550,OANT_RS02105,87.500,88,11,0,1,88,1,88,7.69e-53,157
BAB_RS17555,OANT_RS02110,84.375,160,25,0,1,160,1,160,9.97e-100,281
BAB_RS17560,OANT_RS02115,86.755,453,56,1,2,454,1,449,0.0,762
BAB_RS17565,OANT_RS02120,87.293,362,46,0,1,362,1,362,0.0,649
BAB_RS17570,OANT_RS02125,82.759,116,20,0,1,116,1,116,1.89e-68,198
BAB_RS17575,OANT_RS02130,70.714,140,41,0,10,149,3,142,3.57e-69,203
BAB_RS17580,OANT_RS02135,93.038,316,22,0,1,316,1,316,0.0,612
BAB_RS17585,OANT_RS02140,90.047,211,21,0,1,211,1,211,1.95e-130,363
BAB_RS17590,OANT_RS02145,87.447,1171,147,0,1,1171,1,1171,0.0,2047
BAB_RS17595,OANT_RS02150,90.441,136,13,0,1,136,1,136,7.01e-87,247
BAB_RS17600,OANT_RS02160,94.353,425,24,0,1,425,1,425,0.0,795
BAB_RS17605,OANT_RS02170,61.373,233,90,0,1,233,1,233,3.69e-107,306
BAB_RS17610,OANT_RS02175,62.979,235,86,1,3,237,18,251,4.42e-110,314
BAB_RS17615,OANT_RS02185,62.871,202,74,1,20,221,1,201,2.44e-101,290
BAB_RS17620,OANT_RS02190,93.443,61,4,0,1,61,1,61,1.65e-38,119
BAB_RS17625,OANT_RS02195,81.757,296,54,0,1,296,1,296,6.82e-170,469
BAB_RS17630,OANT_RS02200,88.806,134,15,0,6,139,2,135,5.19e-78,224
BAB_RS17635,OANT_RS02205,91.703,229,19,0,7,235,3,231,1.54e-150,416
BAB_RS17640,OANT_RS02225,78.502,414,88,1,3,415,1,414,0.0,670
BAB_RS17645,OANT_RS02230,84.300,293,42,1,1,293,1,289,0.0,501
BAB_RS17650,OANT_RS02235,89.011,273,30,0,1,273,1,273,0.0,499
BAB_RS17655,OANT_RS02270,94.961,258,13,0,1,258,1,258,0.0,511
BAB_RS17660,OANT_RS02275,69.388,49,15,0,13,61,154,202,9.49e-19,72.8
BAB_RS17665,OANT_RS02295,94.795,365,19,0,1,365,1,365,0.0,725
BAB_RS17670,OANT_RS02300,97.337,413,11,0,1,413,1,413,0.0,836
BAB_RS17675,OANT_RS02305,94.690,339,18,0,1,339,1,339,0.0,659
BAB_RS17680,OANT_RS02310,75.000,40,10,0,1,40,1,40,2.40e-15,63.9
BAB_RS17685,OANT_RS02310,91.647,419,35,0,1,419,49,467,0.0,764
BAB_RS17690,OANT_RS02315,85.549,173,24,1,1,173,1,172,1.58e-107,301
BAB_RS17695,OANT_RS02320,88.017,459,51,1,1,455,1,459,0.0,825
BAB_RS17700,OANT_RS02325,91.981,212,17,0,1,212,1,212,4.33e-134,372
BAB_RS17705,OANT_RS02330,84.066,182,7,1,1,160,1,182,1.08e-104,294
BAB_RS17710,OANT_RS02335,90.613,522,49,0,1,522,1,522,0.0,892
BAB_RS17715,OANT_RS02340,93.867,375,20,1,1,375,1,372,0.0,686
BAB_RS17720,OANT_RS02350,93.358,271,18,0,2,272,7,277,0.0,534
BAB_RS17725,OANT_RS02355,92.842,475,34,0,1,475,1,475,0.0,924
BAB_RS17730,OANT_RS02360,38.017,121,45,1,1,91,1,121,9.25e-18,69.3
BAB_RS17735,OANT_RS02365,86.820,478,63,0,3,480,7,484,0.0,862
BAB_RS17740,OANT_RS02370,91.136,722,47,2,1,705,1,722,0.0,1331
BAB_RS17745,OANT_RS02375,77.891,294,37,3,1,289,1,271,1.56e-162,450
BAB_RS17755,OANT_RS02385,92.944,411,28,1,1,410,1,411,0.0,796
BAB_RS17760,OANT_RS02390,92.148,433,34,0,1,433,1,433,0.0,837
BAB_RS17765,OANT_RS02415,89.696,427,40,1,1,427,1,423,0.0,741
BAB_RS17770,OANT_RS02420,92.308,52,4,0,1,52,1,52,4.44e-29,94.4
BAB_RS17775,OANT_RS02425,88.032,752,90,0,1,752,1,752,0.0,1358
BAB_RS17780,OANT_RS02430,89.091,165,18,0,1,165,1,165,9.75e-111,309
BAB_RS17785,OANT_RS02435,90.211,521,46,1,1,516,1,521,0.0,980
BAB_RS17790,OANT_RS02440,89.895,287,29,0,1,287,1,287,0.0,543
BAB_RS17795,OANT_RS02445,80.769,52,10,0,1,52,1,52,3.17e-28,92.4
BAB_RS17800,OANT_RS02450,94.239,243,14,0,1,243,1,243,7.25e-177,483
BAB_RS17805,OANT_RS02455,94.455,541,30,0,1,541,1,541,0.0,1050
BAB_RS17810,OANT_RS03805,46.457,127,65,1,22,145,16,142,5.13e-38,124
