Melitensis16M|Q.,O_anthropi|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
BME_RS00875,OANT_RS05305,79.545,88,18,0,1,88,1,88,2.85e-51,153
BME_RS00880,OANT_RS05310,76.761,284,66,0,1,284,1,284,2.00e-168,465
BME_RS00885,OANT_RS05315,82.270,141,25,0,1,141,1,141,1.28e-90,256
BME_RS00890,OANT_RS05320,84.983,293,44,0,5,297,1,293,1.20e-177,489
BME_RS00895,OANT_RS05325,92.742,248,18,0,1,248,1,248,1.08e-169,465
BME_RS00900,OANT_RS05330,96.690,423,14,0,1,423,1,423,0.0,837
BME_RS00905,OANT_RS05335,92.196,756,59,0,1,756,1,756,0.0,1419
BME_RS00910,OANT_RS05340,94.944,356,18,0,1,356,1,356,0.0,687
BME_RS00915,OANT_RS05345,77.580,281,63,0,13,293,1,281,4.09e-159,442
BME_RS00920,OANT_RS05350,75.285,263,61,3,1,261,1,261,1.84e-80,240
BME_RS00925,OANT_RS05355,94.394,874,48,1,1,874,1,873,0.0,1672
BME_RS00930,OANT_RS05360,82.582,488,74,4,1,477,1,488,0.0,799
BME_RS00935,OANT_RS05365,89.401,651,69,0,1,651,1,651,0.0,1193
BME_RS00940,OANT_RS21525,98.423,317,5,0,1,317,1,317,0.0,581
BME_RS00945,OANT_RS21520,100.000,25,0,0,1,25,1,25,7.05e-11,46.6
BME_RS00950,OANT_RS21515,96.000,25,1,0,1,25,1,25,2.37e-12,50.4
BME_RS00955,OANT_RS21510,85.075,67,9,1,1,66,1,67,1.09e-24,108
BME_RS00960,OANT_RS21505,92.105,38,3,0,1,38,1,38,4.24e-18,65.9
BME_RS00965,OANT_RS21500,100.000,25,0,0,1,25,1,25,1.14e-11,48.5
BME_RS00975,OANT_RS03335,63.598,478,173,1,1,477,1,478,0.0,630
BME_RS00980,OANT_RS23285,84.768,151,23,0,1,151,1,151,6.82e-95,274
BME_RS00985,OANT_RS05435,80.000,30,6,0,1,30,1,30,3.70e-12,50.1
BME_RS00990,OANT_RS05440,89.437,142,2,1,1,142,1,129,1.31e-83,238
BME_RS00995,OANT_RS05445,97.701,87,2,0,1,87,3,89,5.80e-59,172
BME_RS01005,OANT_RS05455,77.838,185,41,0,1,185,1,185,1.76e-106,300
BME_RS01015,OANT_RS05460,95.455,330,15,0,1,330,1,330,0.0,592
BME_RS01020,OANT_RS05465,93.915,378,23,0,1,378,1,378,0.0,689
BME_RS01025,OANT_RS05470,90.632,427,40,0,1,427,1,427,0.0,755
BME_RS01030,OANT_RS05475,90.654,214,20,0,1,214,1,214,6.20e-149,410
BME_RS01035,OANT_RS05480,88.889,126,11,1,1,123,1,126,2.64e-79,226
BME_RS01040,OANT_RS05485,87.356,174,8,1,1,174,1,160,5.39e-106,297
BME_RS01050,OANT_RS05495,86.525,423,57,0,23,445,18,440,0.0,737
BME_RS01055,OANT_RS05500,94.118,442,26,0,1,442,1,442,0.0,836
BME_RS01060,OANT_RS05510,89.888,178,14,1,1,178,1,174,4.28e-118,329
BME_RS01065,OANT_RS05515,95.238,84,4,0,1,84,1,84,8.63e-47,141
BME_RS01070,OANT_RS05520,92.991,214,15,0,1,214,1,214,3.05e-131,365
BME_RS01075,OANT_RS05525,93.174,293,20,0,1,293,1,293,0.0,550
BME_RS01080,OANT_RS05530,96.988,498,15,0,1,498,1,498,0.0,996
BME_RS01085,OANT_RS05545,87.097,93,12,0,1,93,1,93,1.24e-42,131
BME_RS01090,OANT_RS05550,92.593,297,22,0,1,297,1,297,0.0,557
BME_RS01095,OANT_RS05560,92.453,212,16,0,1,212,1,212,3.02e-151,416
BME_RS01100,OANT_RS05565,93.455,275,18,0,1,275,1,275,0.0,530
BME_RS01105,OANT_RS05575,93.177,513,29,2,1,510,1,510,0.0,770
BME_RS01110,OANT_RS05580,91.954,87,7,0,1,87,1,87,5.03e-54,161
BME_RS01115,OANT_RS05585,90.291,103,10,0,1,103,1,103,2.86e-69,202
BME_RS01120,OANT_RS05595,94.203,207,12,0,1,207,1,207,1.20e-147,406
BME_RS01125,OANT_RS05600,90.187,214,21,0,13,226,43,256,8.00e-144,402
BME_RS01130,OANT_RS05605,88.263,213,25,0,1,213,1,213,3.47e-138,382
BME_RS01135,OANT_RS05610,92.688,1600,113,1,1,1600,1,1596,0.0,2946
BME_RS01140,OANT_RS05615,80.828,459,88,0,14,472,1,459,0.0,735
BME_RS01145,OANT_RS05625,97.398,538,14,0,1,538,1,538,0.0,1059
BME_RS01150,OANT_RS05630,97.586,580,14,0,1,580,1,580,0.0,1160
BME_RS01155,OANT_RS05635,93.803,468,24,2,1,464,1,467,0.0,884
BME_RS01160,OANT_RS05640,93.231,325,18,1,1,325,1,321,0.0,573
BME_RS01165,OANT_RS05645,80.556,72,11,1,1,72,1,69,1.07e-27,92.4
BME_RS01170,OANT_RS05650,94.163,651,38,0,1,651,1,651,0.0,1276
BME_RS01175,OANT_RS05655,92.632,95,7,0,1,95,1,95,8.65e-65,187
BME_RS01185,OANT_RS05660,85.202,223,33,0,1,223,1,223,4.76e-136,378
BME_RS01190,OANT_RS05665,91.904,877,71,0,1,877,1,877,0.0,1698
BME_RS01195,OANT_RS05670,83.420,193,32,0,1,193,1,193,3.07e-112,315
BME_RS01200,OANT_RS05685,97.696,217,5,0,1,217,1,217,1.84e-157,432
BME_RS01205,OANT_RS05690,90.385,312,26,1,1,312,1,308,0.0,572
BME_RS01210,OANT_RS05695,93.431,137,9,0,1,137,1,137,9.86e-80,229
BME_RS01215,OANT_RS05700,93.548,186,12,0,1,186,1,186,8.38e-124,344
BME_RS01220,OANT_RS05705,95.285,509,24,0,1,509,1,509,0.0,988
BME_RS01225,OANT_RS05710,92.808,292,21,0,1,292,1,292,0.0,536
BME_RS01230,OANT_RS05715,93.376,468,31,0,43,510,39,506,0.0,891
BME_RS01235,OANT_RS05720,94.815,135,7,0,1,135,1,135,4.59e-94,265
BME_RS01240,OANT_RS05725,90.345,145,14,0,1,145,1,145,1.65e-89,254
BME_RS01245,OANT_RS05735,83.983,231,37,0,1,231,1,231,2.22e-137,382
BME_RS01250,OANT_RS05740,87.857,420,51,0,1,420,1,420,0.0,737
BME_RS01255,OANT_RS05745,93.472,337,18,1,1,333,1,337,0.0,660
BME_RS01260,OANT_RS05750,95.033,302,15,0,1,302,1,302,0.0,568
BME_RS01265,OANT_RS05755,92.609,460,33,1,1,459,1,460,0.0,844
BME_RS01270,OANT_RS05760,84.163,442,66,2,3,440,12,453,0.0,731
BME_RS01275,OANT_RS05765,95.968,248,10,0,1,248,1,248,9.53e-179,488
BME_RS01280,OANT_RS05770,88.596,114,13,0,1,114,1,114,6.55e-73,209
BME_RS01285,OANT_RS05775,90.836,371,34,0,1,371,1,371,0.0,688
BME_RS01295,OANT_RS05785,94.814,1157,60,0,1,1157,8,1164,0.0,2270
BME_RS01300,OANT_RS05795,94.962,397,20,0,1,397,1,397,0.0,700
BME_RS01305,OANT_RS05800,89.354,263,28,0,1,263,1,263,3.24e-167,460
BME_RS01310,OANT_RS05805,97.143,420,12,0,1,420,1,420,0.0,838
BME_RS01315,OANT_RS05820,87.829,304,37,0,1,304,1,304,0.0,506
BME_RS01320,OANT_RS05825,85.656,244,35,0,8,251,1,244,6.49e-161,443
BME_RS01325,OANT_RS05830,96.610,59,2,0,1,59,1,59,5.25e-38,117
BME_RS01330,OANT_RS05835,87.413,143,18,0,1,143,1,143,1.11e-85,244
BME_RS01335,OANT_RS05840,90.814,381,35,0,1,381,1,381,0.0,710
BME_RS01340,OANT_RS05845,90.997,1033,82,6,1,1028,1,1027,0.0,1844
BME_RS01345,OANT_RS05850,81.890,127,17,1,10,130,1,127,3.51e-71,206
BME_RS01350,OANT_RS05855,96.429,112,4,0,1,112,1,112,4.50e-77,220
BME_RS01355,OANT_RS05860,97.409,193,3,1,1,191,1,193,1.84e-135,374
BME_RS01360,OANT_RS05875,91.961,311,25,0,1,311,1,311,0.0,568
BME_RS01365,OANT_RS05880,77.130,223,51,0,2,224,3,225,6.72e-132,369
BME_RS01370,OANT_RS05885,90.467,493,47,0,1,493,1,493,0.0,921
BME_RS01375,OANT_RS05890,78.390,236,51,0,5,240,5,240,2.00e-133,373
BME_RS01380,OANT_RS05895,82.189,539,94,1,1,539,1,537,0.0,804
BME_RS01385,OANT_RS05900,86.826,334,44,0,1,334,1,334,0.0,608
BME_RS01390,OANT_RS05905,88.073,218,26,0,1,218,1,218,9.88e-144,397
BME_RS01395,OANT_RS05910,95.745,94,4,0,1,94,1,94,6.23e-34,109
BME_RS01400,OANT_RS05915,92.190,589,46,0,1,589,1,589,0.0,1098
BME_RS01405,OANT_RS25405,98.077,52,1,0,35,86,1,52,2.01e-32,104
BME_RS01410,OANT_RS06005,79.554,269,55,0,1,269,1,269,1.93e-159,441
BME_RS01415,OANT_RS06010,95.862,145,6,0,9,153,1,145,5.55e-104,291
BME_RS01420,OANT_RS06015,97.490,478,12,0,1,478,1,478,0.0,935
BME_RS01425,OANT_RS06020,79.130,230,47,1,1,229,1,230,3.84e-129,361
BME_RS01435,OANT_RS06030,88.268,358,42,0,3,360,7,364,0.0,617
BME_RS01440,OANT_RS06035,96.296,162,6,0,1,162,3,164,8.80e-111,309
BME_RS01445,OANT_RS06040,97.015,67,2,0,1,67,1,67,2.99e-42,128
BME_RS01450,OANT_RS06045,89.831,59,6,0,1,59,1,59,5.01e-34,107
BME_RS01455,OANT_RS06050,93.204,412,28,0,1,412,1,412,0.0,754
BME_RS01460,OANT_RS06055,82.540,63,11,0,1,63,1,63,2.83e-22,78.2
BME_RS01465,OANT_RS06060,90.419,334,32,0,1,334,1,334,0.0,624
BME_RS01470,OANT_RS06065,94.323,229,13,0,1,229,1,229,1.86e-164,450
BME_RS01475,OANT_RS12940,33.000,100,66,1,29,127,51,150,3.19e-10,52.4
BME_RS01480,OANT_RS06090,93.182,176,12,0,1,176,1,176,4.17e-113,321
BME_RS01485,OANT_RS06095,86.885,61,8,0,1,61,1,61,9.07e-29,94.4
BME_RS01490,OANT_RS06105,90.094,636,63,0,1,636,1,636,0.0,1199
BME_RS01500,OANT_RS06120,92.519,401,25,1,1,396,1,401,0.0,739
BME_RS01505,OANT_RS06130,96.716,335,11,0,1,335,1,335,0.0,662
BME_RS01510,OANT_RS06135,92.609,663,49,0,1,663,1,663,0.0,1250
BME_RS01515,OANT_RS06140,95.556,90,4,0,1,90,1,90,9.12e-55,162
BME_RS01520,OANT_RS06145,91.667,120,10,0,1,120,1,120,1.87e-79,226
BME_RS01525,OANT_RS06155,84.239,184,29,0,11,194,11,194,9.02e-112,315
BME_RS01530,OANT_RS06160,93.796,274,17,0,1,274,1,274,0.0,532
BME_RS01535,OANT_RS06165,90.688,247,23,0,1,247,1,247,2.93e-150,416
BME_RS01540,OANT_RS06170,72.857,140,38,0,1,140,1,140,1.01e-72,211
BME_RS01545,OANT_RS06175,79.581,191,39,0,1,191,1,191,1.16e-106,301
BME_RS01550,OANT_RS06180,92.105,228,11,1,3,230,6,226,5.11e-150,414
BME_RS01555,OANT_RS06185,95.565,248,11,0,1,248,1,248,2.48e-178,487
BME_RS01560,OANT_RS06190,100.000,73,0,0,1,73,1,73,1.60e-51,152
BME_RS01565,OANT_RS06195,84.030,670,68,2,1,670,1,631,0.0,1060
BME_RS01570,OANT_RS06200,94.169,343,20,0,1,343,1,343,0.0,652
BME_RS01575,OANT_RS06205,90.313,351,30,2,1,349,1,349,0.0,545
BME_RS01580,OANT_RS06210,94.297,263,15,0,1,263,1,263,0.0,511
BME_RS01585,OANT_RS06215,96.774,186,6,0,1,186,1,186,2.98e-133,368
BME_RS01590,OANT_RS06220,82.051,351,59,2,1,350,1,348,0.0,574
BME_RS01595,OANT_RS06225,88.688,221,25,0,1,221,1,221,1.69e-135,376
BME_RS01600,OANT_RS06230,90.513,390,35,2,13,400,18,407,0.0,661
BME_RS01605,OANT_RS06235,90.361,166,16,0,1,166,1,166,1.37e-108,304
BME_RS01610,OANT_RS06240,97.093,172,5,0,1,172,1,172,5.65e-116,323
BME_RS01615,OANT_RS06245,97.073,205,6,0,1,205,1,205,1.02e-142,393
BME_RS01620,OANT_RS06250,97.977,346,7,0,1,346,1,346,0.0,671
BME_RS01625,OANT_RS06255,88.235,153,14,1,1,149,1,153,3.96e-99,279
BME_RS01630,OANT_RS06260,97.872,235,5,0,1,235,1,235,2.10e-166,456
BME_RS01635,OANT_RS06265,98.000,150,3,0,1,150,1,150,2.16e-106,297
BME_RS01640,OANT_RS06270,89.607,356,37,0,1,356,1,356,0.0,526
BME_RS01645,OANT_RS06275,97.743,443,10,0,1,443,1,443,0.0,889
BME_RS01650,OANT_RS06280,98.802,167,2,0,1,167,1,167,4.32e-123,341
BME_RS01660,OANT_RS06285,79.568,509,79,7,1,488,1,505,0.0,735
BME_RS01665,OANT_RS06290,70.833,456,125,2,1,448,1,456,0.0,608
BME_RS01670,OANT_RS06295,97.352,642,17,0,1,642,1,642,0.0,1279
BME_RS01675,OANT_RS06300,94.678,451,24,0,9,459,1,451,0.0,877
BME_RS01680,OANT_RS06305,73.820,233,58,2,44,274,48,279,3.36e-120,342
BME_RS01685,OANT_RS06315,92.453,318,24,0,1,318,1,318,0.0,583
BME_RS01690,OANT_RS06320,94.256,383,22,0,1,383,1,383,0.0,739
BME_RS01695,OANT_RS06325,96.435,533,19,0,1,533,1,533,0.0,1048
BME_RS01700,OANT_RS06330,95.266,169,8,0,1,169,1,169,1.06e-121,337
BME_RS01705,OANT_RS06335,97.203,429,12,0,1,429,1,429,0.0,845
BME_RS01710,OANT_RS06340,72.840,486,104,8,1,465,1,479,0.0,670
BME_RS01715,OANT_RS06515,97.098,448,13,0,1,448,1,448,0.0,865
BME_RS01725,OANT_RS06510,94.444,306,17,0,1,306,22,327,0.0,597
BME_RS01730,OANT_RS06505,89.583,240,25,0,1,240,26,265,3.80e-165,454
BME_RS01735,OANT_RS06500,94.366,71,4,0,1,71,1,71,1.24e-45,137
BME_RS01740,OANT_RS06495,83.117,154,26,0,1,154,1,154,3.20e-93,264
BME_RS01745,OANT_RS06490,92.357,157,12,0,1,157,1,157,1.13e-106,298
BME_RS01750,OANT_RS06470,80.241,415,75,3,1,408,1,415,0.0,634
