O_anthropi|Q.,B_henselae|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00165,AYT27_RS00475,67.661,436,141,0,9,444,6,441,0.0,590
OANT_RS00170,AYT27_RS00480,73.611,72,19,0,1,72,1,72,1.66e-30,102
OANT_RS00175,AYT27_RS00485,96.000,25,1,0,1,25,1,25,2.60e-12,48.9
OANT_RS00195,AYT27_RS08055,23.101,632,444,16,47,651,23,639,3.52e-42,158
OANT_RS00210,AYT27_RS04115,50.226,442,211,3,1,440,1,435,5.98e-144,422
OANT_RS00220,AYT27_RS04380,26.357,258,173,10,8,257,10,258,5.65e-15,69.3
OANT_RS00225,AYT27_RS04260,26.455,378,254,13,4,368,5,371,1.78e-26,104
OANT_RS00250,AYT27_RS00605,43.377,302,155,5,7,295,6,304,4.49e-75,230
OANT_RS00255,AYT27_RS00610,56.502,669,278,5,1,657,1,668,0.0,773
OANT_RS00260,AYT27_RS00615,46.789,218,95,3,12,209,5,221,1.80e-66,200
OANT_RS00265,AYT27_RS00620,35.714,112,64,2,1,109,1,107,5.25e-15,64.3
OANT_RS00270,AYT27_RS05945,32.099,81,55,0,11,91,2,82,1.08e-12,58.5
OANT_RS00275,AYT27_RS00225,48.006,627,315,3,18,639,33,653,0.0,630
OANT_RS00280,AYT27_RS00230,37.165,1531,935,14,55,1578,38,1548,0.0,988
OANT_RS00285,AYT27_RS06030,50.575,174,85,1,68,240,43,216,5.77e-56,175
OANT_RS00300,AYT27_RS00320,45.082,122,67,0,205,326,52,173,3.29e-32,115
OANT_RS00330,AYT27_RS06280,55.348,374,147,3,1,369,1,359,3.60e-145,412
OANT_RS00335,AYT27_RS06925,59.300,543,220,1,1,543,1,542,0.0,675
OANT_RS00365,AYT27_RS05410,29.918,244,151,5,5,243,2,230,7.18e-30,108
OANT_RS00370,AYT27_RS01055,25.316,158,107,6,24,172,104,259,6.78e-11,56.2
OANT_RS00375,AYT27_RS03790,30.729,192,126,6,25,215,2,187,1.69e-27,100
OANT_RS00395,AYT27_RS05780,39.175,97,58,1,143,238,49,145,1.36e-15,68.9
OANT_RS00405,AYT27_RS05025,25.567,1103,699,28,3,1028,16,1073,8.72e-88,303
OANT_RS00435,AYT27_RS04295,46.058,241,128,2,9,249,27,265,1.51e-75,227
OANT_RS00450,AYT27_RS00110,47.393,211,111,0,7,217,1,211,5.00e-74,219
OANT_RS00460,AYT27_RS00105,76.585,410,87,2,1,405,1,406,0.0,652
OANT_RS00465,AYT27_RS00100,51.205,166,81,0,1,166,1,166,3.32e-63,188
OANT_RS00490,AYT27_RS00285,43.429,175,98,1,1,174,1,175,1.88e-50,157
OANT_RS00500,AYT27_RS08080,40.090,222,124,3,9,225,9,226,1.50e-44,154
OANT_RS00510,AYT27_RS00040,68.199,261,78,2,1,260,1,257,9.22e-119,336
OANT_RS00535,AYT27_RS00575,80.425,894,175,0,1,894,1,894,0.0,1486
OANT_RS00540,AYT27_RS00570,49.735,189,95,0,1,189,1,189,1.57e-68,204
OANT_RS00545,AYT27_RS00565,47.716,197,103,0,1,197,1,197,5.21e-42,138
OANT_RS00550,AYT27_RS00560,55.462,238,105,1,19,256,15,251,2.48e-96,279
OANT_RS00560,AYT27_RS00550,48.026,152,73,1,42,193,45,190,3.86e-51,160
OANT_RS00570,AYT27_RS00495,77.451,612,135,1,1,609,1,612,0.0,1003
OANT_RS00615,AYT27_RS01255,24.229,227,146,7,77,284,262,481,9.92e-08,48.1
OANT_RS00625,AYT27_RS00955,41.250,240,136,2,3,241,4,239,2.13e-62,199
OANT_RS00630,AYT27_RS00460,57.183,2854,1191,9,41,2887,23,2852,0.0,3450
OANT_RS00635,AYT27_RS00455,79.954,434,87,0,1,434,1,434,0.0,753
OANT_RS00650,AYT27_RS00110,26.866,201,146,1,3,202,11,211,3.70e-22,85.9
OANT_RS00660,AYT27_RS02775,33.992,253,140,11,19,260,5,241,5.45e-29,106
OANT_RS00665,AYT27_RS02430,40.504,595,338,9,74,658,69,657,4.45e-146,441
OANT_RS00670,AYT27_RS01315,39.502,281,116,9,1,229,1,279,5.00e-57,178
OANT_RS00675,AYT27_RS01315,37.367,281,122,9,1,229,1,279,1.49e-54,172
OANT_RS00685,AYT27_RS01300,77.833,203,45,0,3,205,4,206,3.12e-116,325
OANT_RS00690,AYT27_RS01295,73.144,458,122,1,10,467,2,458,0.0,688
OANT_RS00695,AYT27_RS00030,68.443,976,300,2,1,976,1,968,0.0,1410
OANT_RS00700,AYT27_RS05475,39.118,340,195,6,39,371,46,380,3.20e-66,220
OANT_RS00705,AYT27_RS00205,78.652,801,167,2,14,813,13,810,0.0,1298
OANT_RS00730,AYT27_RS03835,25.410,244,149,12,29,266,27,243,1.43e-08,51.2
OANT_RS00750,AYT27_RS00305,25.105,239,156,7,206,423,355,591,2.32e-11,61.2
OANT_RS00760,AYT27_RS06125,31.034,116,77,1,18,130,3,118,1.13e-13,62.8
OANT_RS00770,AYT27_RS06030,53.107,177,82,1,31,206,42,218,5.40e-63,192
OANT_RS00775,AYT27_RS06895,71.053,190,55,0,1,190,1,190,5.58e-103,290
OANT_RS00780,AYT27_RS06890,46.584,161,85,1,2,161,1,161,2.19e-53,162
OANT_RS00785,AYT27_RS06885,70.986,355,103,0,1,355,1,355,0.0,536
OANT_RS00790,AYT27_RS06880,62.956,521,190,1,1,518,1,521,0.0,648
OANT_RS00800,AYT27_RS00510,70.866,762,222,0,1,762,1,762,0.0,1122
OANT_RS00805,AYT27_RS00505,69.074,886,270,3,23,906,25,908,0.0,1259
OANT_RS00815,AYT27_RS00050,45.000,160,87,1,1,159,1,160,1.17e-34,115
OANT_RS00820,AYT27_RS00055,64.599,274,97,0,18,291,5,278,1.68e-139,391
OANT_RS00825,AYT27_RS00060,69.381,307,87,2,79,385,11,310,2.33e-162,454
OANT_RS00830,AYT27_RS00065,41.111,90,53,0,1,90,1,90,3.29e-21,77.0
OANT_RS00835,AYT27_RS00070,80.220,91,18,0,1,91,1,91,7.04e-52,154
OANT_RS00840,AYT27_RS02180,30.476,210,128,4,47,241,16,222,5.53e-23,92.4
OANT_RS00845,AYT27_RS00075,41.237,194,111,2,36,227,22,214,1.44e-51,163
OANT_RS00850,AYT27_RS00080,46.486,185,96,3,19,201,11,194,5.16e-50,157
OANT_RS00855,AYT27_RS00085,73.022,278,59,1,2,279,3,264,3.35e-147,409
OANT_RS00875,AYT27_RS00095,75.325,154,38,0,1,154,1,154,3.29e-82,235
OANT_RS00880,AYT27_RS00390,52.778,72,34,0,10,81,12,83,6.29e-28,92.4
OANT_RS00885,AYT27_RS00395,54.286,140,64,0,1,140,1,140,3.77e-57,171
OANT_RS00895,AYT27_RS00400,64.444,225,80,0,19,243,11,235,6.46e-112,318
OANT_RS00900,AYT27_RS00185,49.356,233,118,0,1,233,1,233,9.42e-83,243
OANT_RS00915,AYT27_RS00280,65.741,216,69,2,1,216,1,211,1.89e-96,276
OANT_RS00920,AYT27_RS00275,75.793,347,84,0,10,356,10,356,0.0,529
OANT_RS00935,AYT27_RS00270,64.019,214,77,0,1,214,1,214,4.88e-104,295
OANT_RS00940,AYT27_RS00265,58.376,394,146,1,33,408,5,398,3.18e-167,470
OANT_RS00945,AYT27_RS06275,56.207,290,127,0,10,299,4,293,1.17e-105,306
OANT_RS00950,AYT27_RS06270,57.724,123,52,0,2,124,4,126,1.10e-46,143
OANT_RS00985,AYT27_RS02495,25.581,129,93,3,25,152,29,155,1.23e-09,50.8
OANT_RS00990,AYT27_RS06265,66.667,81,27,0,1,81,1,81,6.29e-35,110
OANT_RS01010,AYT27_RS00540,27.685,419,253,12,32,447,18,389,1.82e-34,129
OANT_RS01020,AYT27_RS05370,34.266,143,72,2,31,173,17,137,2.72e-18,82.8
OANT_RS01025,AYT27_RS01370,27.197,239,158,4,17,252,12,237,2.65e-19,81.3
OANT_RS01170,AYT27_RS02780,48.000,75,39,0,1,75,1,75,3.42e-20,72.8
OANT_RS01175,AYT27_RS04330,42.857,63,36,0,1,63,2,64,1.36e-11,54.7
OANT_RS01190,AYT27_RS02730,30.165,484,299,11,18,482,25,488,1.26e-55,189
OANT_RS01430,AYT27_RS04135,54.564,493,219,4,7,498,13,501,0.0,520
OANT_RS01440,AYT27_RS01985,34.038,473,301,6,21,491,8,471,6.10e-79,251
OANT_RS01445,AYT27_RS03835,22.884,319,235,10,31,342,27,341,3.52e-12,62.0
OANT_RS01465,AYT27_RS02695,35.600,500,307,10,106,599,121,611,7.71e-88,281
OANT_RS01470,AYT27_RS01985,32.900,462,291,9,21,474,25,475,1.77e-70,228
OANT_RS01490,AYT27_RS02520,58.500,200,83,0,1,200,1,200,1.38e-88,255
OANT_RS01495,AYT27_RS02525,61.417,254,98,0,1,254,1,254,4.49e-122,344
OANT_RS01500,AYT27_RS02530,46.154,65,35,0,1,65,1,65,4.44e-15,58.9
OANT_RS01505,AYT27_RS02535,52.681,317,143,4,2,316,3,314,1.85e-112,325
OANT_RS01510,AYT27_RS08510,47.703,283,123,7,18,283,11,285,1.07e-74,226
OANT_RS01515,AYT27_RS02320,29.111,450,307,6,251,691,508,954,5.11e-61,216
OANT_RS01540,AYT27_RS04245,28.571,238,157,3,17,241,3,240,5.31e-28,108
OANT_RS01570,AYT27_RS00955,38.776,245,143,4,1,243,3,242,6.42e-49,162
OANT_RS01590,AYT27_RS02030,22.983,409,245,16,12,381,5,382,1.10e-13,67.8
OANT_RS01600,AYT27_RS06520,27.184,309,188,9,610,910,13,292,9.23e-19,85.1
OANT_RS01635,AYT27_RS00965,28.920,287,192,4,2,284,8,286,2.36e-30,112
OANT_RS01640,AYT27_RS00960,27.155,232,162,4,59,285,49,278,2.48e-20,84.3
OANT_RS01645,AYT27_RS00955,57.377,244,103,1,1,243,1,244,1.14e-99,295
OANT_RS01670,AYT27_RS02775,36.000,250,145,7,3,244,2,244,1.04e-35,123
OANT_RS01675,AYT27_RS03790,27.119,177,121,5,75,248,7,178,1.28e-13,63.9
OANT_RS01690,AYT27_RS01955,80.000,25,5,0,1,25,1,25,1.36e-08,39.7
OANT_RS01695,AYT27_RS07240,53.704,54,25,0,15,68,36,89,2.53e-19,70.5
OANT_RS01700,AYT27_RS07245,54.369,206,87,1,6,204,23,228,7.46e-76,224
OANT_RS01705,AYT27_RS07250,88.889,72,8,0,1,72,1,72,3.97e-46,137
OANT_RS01730,AYT27_RS07395,69.535,430,129,1,1,428,1,430,0.0,607
OANT_RS01740,AYT27_RS07400,100.000,25,0,0,1,25,1,25,2.28e-11,46.6
OANT_RS01795,AYT27_RS00670,92.000,25,2,0,1,25,1,25,1.65e-12,49.7
OANT_RS01800,AYT27_RS04920,23.443,273,187,9,262,515,446,715,9.15e-13,66.2
OANT_RS01805,AYT27_RS00675,41.803,366,208,1,1,361,1,366,2.83e-100,298
OANT_RS01810,AYT27_RS00680,64.654,1027,359,2,12,1035,18,1043,0.0,1358
OANT_RS01830,AYT27_RS03280,34.100,261,158,5,12,265,4,257,4.78e-37,128
OANT_RS01835,AYT27_RS02670,26.136,440,282,15,4,430,8,417,9.48e-37,136
OANT_RS01850,AYT27_RS01040,37.500,64,36,2,4,63,8,71,8.06e-08,43.9
OANT_RS01855,AYT27_RS00955,49.435,354,159,8,1,349,1,339,8.92e-111,323
OANT_RS01860,AYT27_RS00960,29.344,259,165,7,25,270,25,278,2.28e-24,95.1
OANT_RS01865,AYT27_RS00965,25.606,289,207,4,18,305,2,283,1.18e-28,107
OANT_RS01895,AYT27_RS02590,28.505,214,147,4,12,224,4,212,1.11e-15,71.6
OANT_RS01910,AYT27_RS00965,26.360,239,172,3,64,300,47,283,3.75e-26,100
OANT_RS01915,AYT27_RS00960,25.311,241,162,8,40,266,42,278,1.36e-13,65.1
OANT_RS01920,AYT27_RS00955,47.059,357,170,5,1,350,1,345,3.78e-107,313
OANT_RS01945,AYT27_RS00690,60.183,545,217,0,3,547,8,552,0.0,704
OANT_RS01965,AYT27_RS08055,22.703,555,354,17,65,580,98,616,1.23e-17,82.0
OANT_RS01975,AYT27_RS08085,28.994,169,106,2,37,191,42,210,4.26e-11,59.7
OANT_RS01980,AYT27_RS00680,30.115,1046,681,20,4,1034,22,1032,7.68e-138,437
OANT_RS01985,AYT27_RS00215,41.935,279,160,1,4,282,13,289,3.01e-85,253
OANT_RS02000,AYT27_RS02500,28.511,235,153,6,198,426,544,769,2.01e-26,107
OANT_RS02065,AYT27_RS00545,61.494,174,64,2,1,174,1,171,4.38e-70,206
OANT_RS02070,AYT27_RS00540,60.253,395,157,0,3,397,2,396,0.0,531
OANT_RS02075,AYT27_RS04210,25.552,317,204,11,8,308,13,313,2.99e-20,85.1
OANT_RS02080,AYT27_RS00535,55.418,323,142,2,16,338,11,331,3.97e-132,376
OANT_RS02095,AYT27_RS01405,74.586,362,92,0,2,363,1,362,0.0,554
OANT_RS02105,AYT27_RS06220,42.045,88,49,1,1,88,1,86,1.57e-10,48.9
OANT_RS02120,AYT27_RS02015,55.125,361,161,1,4,364,3,362,3.16e-145,411
OANT_RS02145,AYT27_RS02500,24.337,415,276,10,625,1017,374,772,1.54e-29,122
OANT_RS02150,AYT27_RS02010,78.832,137,28,1,1,136,1,137,6.52e-75,215
OANT_RS02155,AYT27_RS05915,31.714,391,243,9,17,388,14,399,5.72e-51,171
OANT_RS02225,AYT27_RS03975,29.455,404,240,12,12,391,12,394,3.67e-47,162
OANT_RS02230,AYT27_RS02650,50.714,280,138,0,1,280,1,280,2.29e-96,281
OANT_RS02235,AYT27_RS02655,58.052,267,111,1,8,274,8,273,1.10e-114,327
OANT_RS02250,AYT27_RS08250,31.783,516,267,15,44,481,65,573,6.18e-54,187
OANT_RS02270,AYT27_RS06475,48.387,248,127,1,9,256,29,275,4.89e-85,251
OANT_RS02275,AYT27_RS02405,47.716,197,95,6,1,195,1,191,2.59e-57,176
OANT_RS02285,AYT27_RS05135,42.117,444,251,3,1,443,1,439,1.30e-110,332
OANT_RS02295,AYT27_RS08605,68.767,365,114,0,1,365,1,365,0.0,540
OANT_RS02300,AYT27_RS08610,69.268,410,126,0,1,410,1,410,0.0,587
OANT_RS02315,AYT27_RS00865,35.294,187,105,4,1,172,1,186,7.47e-31,106
OANT_RS02325,AYT27_RS02440,31.111,90,62,0,34,123,26,115,8.69e-08,46.6
OANT_RS02345,AYT27_RS06340,45.874,412,180,6,1,379,1,402,1.21e-120,351
OANT_RS02380,AYT27_RS05920,29.730,185,128,1,5,189,8,190,1.12e-26,102
OANT_RS02400,AYT27_RS05575,30.335,567,369,10,3,562,15,562,4.20e-86,276
OANT_RS02460,AYT27_RS02480,29.467,319,216,7,137,448,144,460,5.81e-24,99.8
OANT_RS02465,AYT27_RS02440,42.593,216,124,0,1,216,1,216,2.00e-50,159
OANT_RS02475,AYT27_RS06030,43.277,238,114,2,2,239,6,222,3.30e-68,207
OANT_RS02480,AYT27_RS04125,34.568,162,94,5,44,199,127,282,6.22e-20,81.3
OANT_RS02490,AYT27_RS02495,46.626,163,85,1,201,361,10,172,6.00e-53,169
OANT_RS02510,AYT27_RS03045,60.914,197,77,0,1,197,5,201,2.95e-94,270
OANT_RS02545,AYT27_RS02115,44.954,218,120,0,1,218,1,218,5.51e-63,192
OANT_RS02550,AYT27_RS02120,72.407,482,126,1,1,482,1,475,0.0,722
OANT_RS02560,AYT27_RS07685,30.667,150,95,4,46,192,20,163,1.70e-11,56.2
OANT_RS02575,AYT27_RS00325,23.043,447,234,13,14,427,5,374,1.01e-14,71.6
OANT_RS02580,AYT27_RS02630,28.824,170,96,7,60,224,89,238,4.45e-17,73.9
OANT_RS02605,AYT27_RS01280,39.706,68,37,1,280,347,34,97,7.30e-10,55.1
OANT_RS02610,AYT27_RS02130,39.098,133,79,1,1,131,1,133,3.90e-26,91.7
OANT_RS02615,AYT27_RS02135,76.210,248,59,0,2,249,5,252,1.35e-134,375
OANT_RS02620,AYT27_RS02140,97.183,71,2,0,5,75,6,76,9.10e-44,132
OANT_RS02625,AYT27_RS02145,50.739,203,83,3,1,203,1,186,5.96e-66,197
OANT_RS02630,AYT27_RS02150,54.268,164,70,1,1,159,1,164,4.67e-55,167
OANT_RS02635,AYT27_RS04150,41.176,153,89,1,6,158,1,152,2.53e-37,122
OANT_RS02640,AYT27_RS00110,29.348,184,129,1,16,199,22,204,3.98e-22,85.9
OANT_RS02645,AYT27_RS02200,58.716,218,90,0,1,218,1,218,6.74e-92,265
OANT_RS02670,AYT27_RS02190,45.324,278,150,1,22,297,16,293,7.06e-73,223
OANT_RS02680,AYT27_RS02180,61.986,292,100,3,1,290,1,283,6.23e-127,359
OANT_RS02685,AYT27_RS02100,40.326,429,205,5,2,380,7,434,3.53e-88,270
OANT_RS02695,AYT27_RS02175,57.540,252,107,0,8,259,3,254,1.65e-101,293
OANT_RS02705,AYT27_RS02170,67.069,331,109,0,8,338,26,356,1.95e-168,469
OANT_RS02710,AYT27_RS02165,43.517,563,311,2,12,574,8,563,1.59e-171,496
OANT_RS02715,AYT27_RS02160,79.935,309,60,1,1,309,7,313,0.0,533
OANT_RS02720,AYT27_RS02155,61.599,763,269,2,1,763,1,739,0.0,953
OANT_RS02730,AYT27_RS02205,57.812,320,131,1,4,323,3,318,1.61e-129,368
OANT_RS02735,AYT27_RS02210,59.915,469,188,0,2,470,1,469,0.0,597
OANT_RS02740,AYT27_RS02215,33.516,182,110,3,1,182,1,171,6.88e-29,101
OANT_RS02745,AYT27_RS04380,26.712,146,104,2,9,151,15,160,1.24e-10,56.2
OANT_RS02755,AYT27_RS02220,64.858,424,149,0,1,424,1,424,0.0,599
OANT_RS02760,AYT27_RS02225,58.683,334,137,1,1,333,1,334,1.98e-139,394
OANT_RS02765,AYT27_RS02235,68.473,203,63,1,2,203,5,207,1.01e-105,298
OANT_RS02770,AYT27_RS02320,32.692,156,103,2,222,376,532,686,1.40e-18,83.6
OANT_RS02780,AYT27_RS02240,60.443,316,108,3,1,316,1,299,1.30e-130,370
OANT_RS02785,AYT27_RS02245,84.559,272,42,0,1,272,1,272,6.31e-175,479
OANT_RS02790,AYT27_RS06315,26.230,122,86,2,6,126,5,123,1.11e-08,48.9
OANT_RS02805,AYT27_RS02250,79.006,362,76,0,1,362,1,362,0.0,582
OANT_RS02810,AYT27_RS02255,67.925,371,116,1,1,371,1,368,0.0,530
OANT_RS02820,AYT27_RS02260,66.667,84,28,0,1,84,1,84,9.31e-36,112
OANT_RS02845,AYT27_RS02265,75.436,631,154,1,1,630,1,631,0.0,984
OANT_RS02850,AYT27_RS02270,61.826,241,92,0,11,251,6,246,4.61e-97,280
OANT_RS02855,AYT27_RS02275,51.351,407,198,0,7,413,3,409,3.66e-151,431
OANT_RS02870,AYT27_RS08565,41.525,118,64,2,3,115,9,126,3.62e-30,100
OANT_RS02875,AYT27_RS00315,32.710,107,61,4,309,411,48,147,6.17e-11,56.2
OANT_RS02885,AYT27_RS02695,73.301,618,165,0,5,622,8,625,0.0,960
OANT_RS02890,AYT27_RS02700,64.545,220,78,0,1,220,1,220,5.18e-115,324
OANT_RS02895,AYT27_RS02705,60.076,263,105,0,5,267,7,269,3.65e-110,316
OANT_RS02905,AYT27_RS02710,64.634,246,87,0,1,246,4,249,5.31e-123,346
OANT_RS02910,AYT27_RS02715,78.306,484,105,0,11,494,11,494,0.0,801
OANT_RS02915,AYT27_RS02720,54.217,166,75,1,1,165,1,166,8.97e-57,173
OANT_RS02920,AYT27_RS02725,78.509,456,96,1,1,456,1,454,0.0,715
OANT_RS02925,AYT27_RS02730,69.200,500,148,3,1,500,1,494,0.0,709
OANT_RS02940,AYT27_RS02740,71.809,188,51,1,1,188,1,186,2.08e-96,274
OANT_RS02945,AYT27_RS02745,31.561,301,194,4,2,295,3,298,5.23e-32,117
OANT_RS02950,AYT27_RS02750,87.805,82,10,0,1,82,1,82,2.22e-51,151
OANT_RS02955,AYT27_RS02755,72.222,108,30,0,1,108,1,108,4.92e-57,171
OANT_RS02960,AYT27_RS02770,69.649,313,95,0,1,313,1,313,4.58e-159,442
OANT_RS02965,AYT27_RS02775,80.408,245,48,0,1,245,1,245,1.10e-148,410
OANT_RS02970,AYT27_RS02780,91.026,78,7,0,1,78,1,78,9.83e-46,137
OANT_RS02975,AYT27_RS02785,82.339,419,74,0,1,419,1,419,0.0,638
OANT_RS02980,AYT27_RS02790,57.658,333,141,0,50,382,33,365,2.21e-140,401
OANT_RS02990,AYT27_RS02795,60.976,205,78,1,12,216,17,219,7.40e-93,267
OANT_RS03010,AYT27_RS02280,69.639,471,142,1,1,470,1,471,0.0,688
OANT_RS03015,AYT27_RS02285,38.000,150,93,0,55,204,29,178,5.86e-37,123
OANT_RS03025,AYT27_RS00610,40.221,542,294,9,20,552,50,570,2.54e-126,381
OANT_RS03030,AYT27_RS02290,59.722,288,116,0,18,305,19,306,1.75e-124,355
OANT_RS03045,AYT27_RS00615,25.424,236,130,7,75,283,3,219,6.05e-09,50.8
OANT_RS03055,AYT27_RS08325,35.200,250,139,8,1,233,8,251,2.51e-39,134
OANT_RS03060,AYT27_RS02295,80.000,325,65,0,8,332,7,331,0.0,524
OANT_RS03065,AYT27_RS02300,58.934,319,131,0,1,319,1,319,3.79e-144,405
OANT_RS03070,AYT27_RS02305,66.438,146,49,0,2,147,6,151,4.28e-73,212
OANT_RS03075,AYT27_RS06930,39.726,146,77,3,9,145,6,149,1.61e-32,110
OANT_RS03080,AYT27_RS02310,31.250,240,151,5,24,261,51,278,8.36e-38,130
OANT_RS03095,AYT27_RS02315,53.439,189,88,0,12,200,6,194,1.44e-73,216
OANT_RS03100,AYT27_RS02320,55.344,945,419,2,16,960,14,955,0.0,1142
OANT_RS03110,AYT27_RS02325,69.431,422,129,0,1,422,1,422,0.0,634
OANT_RS03115,AYT27_RS02330,65.011,463,162,0,1,463,1,463,0.0,643
OANT_RS03135,AYT27_RS02350,53.247,231,104,2,1,227,1,231,5.25e-85,248
OANT_RS03145,AYT27_RS02355,71.277,376,108,0,1,376,1,376,0.0,581
OANT_RS03155,AYT27_RS02360,56.447,349,149,1,10,358,21,366,9.74e-144,408
OANT_RS03175,AYT27_RS02365,41.566,166,96,1,1,166,1,165,2.16e-49,153
OANT_RS03180,AYT27_RS02370,58.696,184,75,1,34,217,34,216,9.47e-80,234
OANT_RS03240,AYT27_RS01235,42.541,543,267,7,33,569,24,527,2.12e-144,426
OANT_RS03245,AYT27_RS06215,23.954,526,350,17,1,487,8,522,5.09e-30,119
OANT_RS03250,AYT27_RS06185,33.232,328,188,3,8,304,30,357,2.09e-54,177
OANT_RS03255,AYT27_RS06180,44.444,279,151,1,12,290,34,308,1.51e-72,222
OANT_RS03285,AYT27_RS01775,36.765,68,43,0,12,79,10,77,7.00e-13,55.5
OANT_RS03300,AYT27_RS00970,25.974,308,206,9,135,425,132,434,1.35e-13,67.8
OANT_RS03305,AYT27_RS00960,31.276,243,151,4,62,292,43,281,1.09e-27,104
OANT_RS03310,AYT27_RS00965,28.028,289,205,3,18,305,8,294,6.66e-34,121
OANT_RS03315,AYT27_RS00955,44.951,307,140,6,4,308,4,283,2.53e-85,259
OANT_RS03325,AYT27_RS02350,33.482,224,141,5,14,230,3,225,1.24e-32,115
OANT_RS03345,AYT27_RS06825,52.229,628,289,5,13,634,10,632,0.0,682
OANT_RS03485,AYT27_RS06765,41.463,82,40,1,23,96,22,103,3.05e-17,67.0
OANT_RS03490,AYT27_RS06770,56.000,100,44,0,8,107,1,100,3.91e-41,127
OANT_RS03495,AYT27_RS06775,61.062,791,296,2,5,793,1,781,0.0,1016
OANT_RS03510,AYT27_RS06785,33.113,302,188,7,2,297,6,299,8.32e-45,150
OANT_RS03515,AYT27_RS06795,49.099,222,111,2,2,222,1,221,6.15e-74,219
OANT_RS03520,AYT27_RS06800,55.036,278,119,2,5,276,4,281,1.66e-112,322
OANT_RS03525,AYT27_RS06805,50.135,371,157,8,32,390,32,386,2.98e-118,345
OANT_RS03530,AYT27_RS06810,59.215,331,124,2,8,327,14,344,8.71e-139,394
OANT_RS03535,AYT27_RS02375,76.749,886,206,0,1,886,1,886,0.0,1419
OANT_RS03560,AYT27_RS02415,37.500,256,158,1,3,258,2,255,2.23e-61,190
OANT_RS03565,AYT27_RS05960,29.240,171,112,6,50,215,30,196,2.00e-09,52.4
OANT_RS03600,AYT27_RS02410,88.000,25,3,0,1,25,1,25,1.43e-12,49.7
OANT_RS03690,AYT27_RS04380,27.488,211,145,4,11,218,16,221,4.29e-21,86.7
OANT_RS03695,AYT27_RS01290,55.150,301,117,4,1,293,1,291,1.29e-113,325
OANT_RS03745,AYT27_RS06810,28.221,326,190,10,137,423,22,342,7.83e-34,127
OANT_RS03765,AYT27_RS01050,56.264,455,194,2,2,455,5,455,0.0,531
OANT_RS03775,AYT27_RS01045,50.355,282,137,1,5,286,5,283,5.76e-99,288
OANT_RS03780,AYT27_RS04275,35.043,117,70,3,41,151,8,124,1.85e-11,58.5
OANT_RS03790,AYT27_RS00650,51.412,177,79,2,11,187,12,181,1.27e-68,203
OANT_RS03800,AYT27_RS06565,47.059,238,125,1,23,259,35,272,9.19e-71,214
OANT_RS03805,AYT27_RS00645,61.871,139,53,0,6,144,26,164,1.35e-63,188
OANT_RS03810,AYT27_RS00640,76.786,168,39,0,1,168,1,168,3.73e-100,281
OANT_RS03815,AYT27_RS00635,83.457,405,67,0,1,405,1,405,0.0,710
OANT_RS03820,AYT27_RS00630,76.471,272,64,0,1,272,1,272,2.07e-162,447
OANT_RS03825,AYT27_RS01075,45.783,332,178,1,9,340,3,332,6.41e-108,314
OANT_RS03830,AYT27_RS01080,81.066,713,135,0,1,713,1,713,0.0,1217
OANT_RS03835,AYT27_RS01085,83.146,89,15,0,1,89,1,89,4.64e-52,154
