O_anthropi|Q.,Abortus2308|S.,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score
OANT_RS00185,BAB_RS16030,70.079,254,76,0,1,254,1,254,1.11e-121,348
OANT_RS00190,BAB_RS29420,26.715,277,180,4,16,278,34,301,3.20e-22,90.9
OANT_RS00195,BAB_RS24575,24.724,635,414,16,36,632,12,620,5.86e-42,158
OANT_RS00200,BAB_RS16025,96.311,244,9,0,144,387,1,244,6.27e-176,486
OANT_RS00205,BAB_RS16020,95.140,535,26,0,1,535,1,535,0.0,1051
OANT_RS00210,BAB_RS16015,91.756,655,54,0,1,655,19,673,0.0,1165
OANT_RS00215,BAB_RS16010,94.425,287,16,0,1,287,1,287,0.0,547
OANT_RS00220,BAB_RS16005,89.773,264,27,0,1,264,1,264,2.18e-178,488
OANT_RS00225,BAB_RS16000,95.068,365,18,0,4,368,20,384,0.0,694
OANT_RS00235,BAB_RS15990,83.333,66,11,0,1,66,1,66,1.54e-38,119
OANT_RS00245,BAB_RS16115,67.913,321,101,1,1,319,1,321,1.16e-145,410
OANT_RS00250,BAB_RS16120,85.757,337,46,1,1,335,1,337,0.0,616
OANT_RS00255,BAB_RS31950,94.865,370,19,0,1,370,1,370,0.0,669
OANT_RS00260,BAB_RS16130,88.038,209,25,0,1,209,1,209,8.51e-134,370
OANT_RS00265,BAB_RS16135,82.787,122,20,1,1,122,1,121,1.28e-71,206
OANT_RS00270,BAB_RS16140,69.065,139,38,3,1,136,1,137,3.78e-37,125
OANT_RS00275,BAB_RS16145,89.671,639,66,0,1,639,1,639,0.0,1153
OANT_RS00280,BAB_RS16150,83.803,1562,244,3,22,1578,22,1579,0.0,2555
OANT_RS00285,BAB_RS16155,90.871,241,22,0,1,241,1,241,3.76e-168,460
OANT_RS00290,BAB_RS16160,57.576,66,28,0,1,66,1,66,6.75e-16,62.0
OANT_RS00295,BAB_RS16165,86.826,167,22,0,1,167,1,167,3.16e-107,300
OANT_RS00300,BAB_RS16170,72.515,342,86,2,1,342,1,334,0.0,512
OANT_RS00305,BAB_RS16175,67.200,125,41,0,1,125,1,125,4.81e-55,165
OANT_RS00310,BAB_RS25665,23.321,536,315,15,20,517,14,491,2.67e-21,93.2
OANT_RS00320,BAB_RS16180,89.231,130,14,0,1,130,1,130,7.20e-84,238
OANT_RS00325,BAB_RS21750,43.373,83,47,0,1,83,1,83,3.38e-20,75.9
OANT_RS00330,BAB_RS16185,92.802,389,26,2,1,389,1,387,0.0,687
OANT_RS00335,BAB_RS16190,92.081,543,43,0,1,543,1,543,0.0,1011
OANT_RS00340,BAB_RS33310,35.577,104,62,4,177,277,28,129,4.31e-10,53.5
OANT_RS00355,BAB_RS28160,25.442,283,190,6,20,301,16,278,3.48e-13,65.9
OANT_RS00360,BAB_RS23785,36.301,292,170,4,74,357,45,328,1.16e-47,161
OANT_RS00365,BAB_RS22430,44.980,249,131,3,5,252,2,245,3.73e-69,211
OANT_RS00370,BAB_RS16205,84.977,213,32,0,1,213,20,232,5.68e-133,370
OANT_RS00375,BAB_RS16210,90.830,229,21,0,1,229,1,229,6.50e-158,433
OANT_RS00380,BAB_RS16215,82.540,63,11,0,1,63,1,63,1.46e-35,111
OANT_RS00385,BAB_RS16220,78.261,69,15,0,1,69,1,69,9.80e-35,109
OANT_RS00390,BAB_RS16225,93.548,62,4,0,1,62,1,62,2.46e-38,118
OANT_RS00395,BAB_RS16230,83.803,284,36,3,15,298,14,287,3.58e-156,434
OANT_RS00400,BAB_RS16235,98.165,218,4,0,1,218,1,218,2.43e-155,426
OANT_RS00405,BAB_RS16240,90.901,1077,98,0,1,1077,1,1077,0.0,2038
OANT_RS00410,BAB_RS16245,87.269,487,58,1,31,517,1,483,0.0,835
OANT_RS00415,BAB_RS16250,86.598,291,27,3,1,283,1,287,3.02e-172,474
OANT_RS00425,BAB_RS28650,30.909,110,76,0,47,156,27,136,2.43e-11,55.5
OANT_RS00435,BAB_RS22145,44.898,245,133,2,5,249,23,265,8.42e-72,218
OANT_RS00440,BAB_RS16265,98.522,406,6,0,1,406,1,406,0.0,816
OANT_RS00450,BAB_RS16270,97.260,219,6,0,1,219,1,219,4.04e-154,423
OANT_RS00455,BAB_RS16275,73.054,167,45,0,1,167,1,167,1.41e-72,213
OANT_RS00460,BAB_RS16280,97.810,411,9,0,1,411,1,411,0.0,833
OANT_RS00465,BAB_RS16290,89.820,167,17,0,1,167,1,167,7.63e-114,317
OANT_RS00470,BAB_RS16295,91.935,124,10,0,1,124,1,124,1.35e-81,232
OANT_RS00480,BAB_RS16300,85.417,96,14,0,1,96,1,96,1.35e-60,176
OANT_RS00490,BAB_RS16315,92.347,196,15,0,1,196,1,196,5.35e-126,350
OANT_RS00495,BAB_RS16320,80.417,240,46,1,1,239,2,241,2.89e-141,392
OANT_RS00500,BAB_RS16325,91.736,242,20,0,1,242,1,242,6.19e-161,442
OANT_RS00505,BAB_RS16330,89.046,849,93,0,1,849,1,849,0.0,1451
OANT_RS00510,BAB_RS16335,84.231,260,26,3,1,260,1,245,1.39e-152,422
OANT_RS00515,BAB_RS16340,72.807,114,31,0,1,114,1,114,2.50e-56,170
OANT_RS00520,BAB_RS16350,81.955,133,21,2,1,130,1,133,5.94e-73,211
OANT_RS00525,BAB_RS16355,81.967,244,44,0,1,244,1,244,7.88e-152,419
OANT_RS00535,BAB_RS16360,93.073,895,62,0,1,895,1,895,0.0,1714
OANT_RS00540,BAB_RS16365,79.717,212,34,1,1,203,1,212,3.80e-119,333
OANT_RS00545,BAB_RS16370,93.665,221,14,0,1,221,1,221,1.41e-122,343
OANT_RS00550,BAB_RS16375,89.354,263,25,2,5,265,1,262,2.47e-173,475
OANT_RS00555,BAB_RS16380,90.909,55,5,0,2,56,3,57,2.97e-33,104
OANT_RS00560,BAB_RS16385,86.802,197,22,1,1,193,1,197,2.55e-125,348
OANT_RS00570,BAB_RS16390,95.581,611,27,0,1,611,1,611,0.0,1166
OANT_RS00575,BAB_RS16395,54.688,128,56,1,7,134,13,138,2.39e-35,117
OANT_RS00580,BAB_RS16400,85.124,121,18,0,1,121,1,121,8.01e-72,207
OANT_RS00585,BAB_RS16405,94.872,78,4,0,1,78,1,78,1.90e-52,154
OANT_RS00590,BAB_RS18020,32.203,236,156,3,140,373,147,380,8.65e-27,106
OANT_RS00595,BAB_RS16410,74.453,137,31,2,1,136,1,134,1.63e-71,207
OANT_RS00600,BAB_RS16415,66.406,128,38,2,2,128,38,161,9.52e-56,168
OANT_RS00605,BAB_RS16420,58.400,250,104,0,1,250,10,259,2.36e-104,301
OANT_RS00610,BAB_RS16425,89.474,342,36,0,1,342,1,342,0.0,644
OANT_RS00615,BAB_RS16430,90.941,287,26,0,1,287,1,287,0.0,511
OANT_RS00620,BAB_RS16435,91.438,292,21,1,3,294,1,288,1.16e-166,461
OANT_RS00625,BAB_RS16440,91.379,348,30,0,1,348,1,348,0.0,649
OANT_RS00630,BAB_RS16445,92.243,2862,214,3,30,2890,13,2867,0.0,5440
OANT_RS00635,BAB_RS16450,95.392,434,20,0,1,434,1,434,0.0,865
OANT_RS00640,BAB_RS16455,86.594,276,37,0,1,276,1,276,2.80e-172,473
OANT_RS00645,BAB_RS16460,91.701,241,20,0,1,241,1,241,1.39e-169,465
OANT_RS00650,BAB_RS16270,28.571,203,132,5,3,198,17,213,5.23e-17,72.8
OANT_RS00655,BAB_RS16465,88.961,308,34,0,1,308,1,308,0.0,565
OANT_RS00660,BAB_RS16470,90.672,268,20,1,1,263,1,268,0.0,499
OANT_RS00665,BAB_RS16475,89.637,772,69,5,1,770,1,763,0.0,1384
OANT_RS00670,BAB_RS16480,72.174,230,63,1,1,229,1,230,7.61e-124,347
OANT_RS00675,BAB_RS16485,74.236,229,58,1,1,229,1,228,1.03e-114,324
OANT_RS00685,BAB_RS16490,95.610,205,9,0,1,205,1,205,1.31e-149,410
OANT_RS00690,BAB_RS16495,93.803,468,25,1,6,469,2,469,0.0,905
OANT_RS00695,BAB_RS16500,94.274,978,54,1,1,976,1,978,0.0,1896
OANT_RS00700,BAB_RS16505,91.473,645,35,3,1,644,1,626,0.0,1087
OANT_RS00705,BAB_RS16510,94.711,813,43,0,1,813,1,813,0.0,1566
OANT_RS00715,BAB_RS16515,88.129,278,33,0,1,278,1,278,0.0,527
OANT_RS00720,BAB_RS16520,74.194,155,40,0,1,155,1,155,5.16e-82,240
OANT_RS00725,BAB_RS16525,80.645,155,29,1,1,155,1,154,2.93e-88,251
OANT_RS00730,BAB_RS16530,97.027,370,11,0,1,370,1,370,0.0,744
OANT_RS00745,BAB_RS16540,89.244,595,64,0,1,595,46,640,0.0,1012
OANT_RS00750,BAB_RS16550,93.240,429,29,0,1,429,1,429,0.0,791
OANT_RS00755,BAB_RS32010,43.421,76,43,0,64,139,37,112,1.24e-13,59.7
OANT_RS00760,BAB_RS16565,97.861,187,4,0,1,187,1,187,1.99e-135,373
OANT_RS00765,BAB_RS16570,91.463,164,14,0,1,164,1,164,4.35e-111,310
OANT_RS00770,BAB_RS16575,90.777,206,19,0,1,206,1,206,3.36e-134,371
OANT_RS00775,BAB_RS16580,94.737,190,10,0,1,190,1,190,1.51e-124,346
OANT_RS00780,BAB_RS16585,83.951,162,26,0,1,162,18,179,2.47e-90,258
OANT_RS00785,BAB_RS16590,93.803,355,22,0,1,355,1,355,0.0,701
OANT_RS00790,BAB_RS16595,94.318,528,30,0,1,528,1,528,0.0,967
OANT_RS00795,BAB_RS16600,91.328,934,81,0,1,934,1,934,0.0,1771
OANT_RS00800,BAB_RS32020,93.830,389,24,0,1,389,1,389,0.0,746
OANT_RS00805,BAB_RS16610,92.747,910,66,0,1,910,1,910,0.0,1713
OANT_RS00810,BAB_RS16615,93.594,281,18,0,1,281,1,281,0.0,551
OANT_RS00815,BAB_RS16620,89.809,157,16,0,1,157,1,157,1.05e-103,290
OANT_RS00820,BAB_RS16625,87.162,296,33,1,1,291,1,296,0.0,528
OANT_RS00825,BAB_RS16630,89.757,371,33,1,16,386,16,381,0.0,687
OANT_RS00830,BAB_RS16635,76.636,107,25,0,1,107,1,107,8.56e-57,168
OANT_RS00835,BAB_RS16640,98.936,94,1,0,1,94,1,94,6.77e-65,187
OANT_RS00840,BAB_RS16645,86.378,323,44,0,1,323,1,323,0.0,544
OANT_RS00845,BAB_RS16650,82.700,237,41,0,1,237,1,237,1.63e-146,405
OANT_RS00850,BAB_RS16655,83.945,218,31,2,1,216,1,216,1.70e-126,353
OANT_RS00855,BAB_RS16660,91.756,279,21,1,1,279,1,277,0.0,512
OANT_RS00860,BAB_RS16665,80.822,511,85,3,1,511,1,498,0.0,827
OANT_RS00870,BAB_RS16670,90.355,197,19,0,1,197,1,197,1.34e-122,341
OANT_RS00875,BAB_RS16675,95.455,154,7,0,1,154,1,154,2.75e-105,294
OANT_RS00880,BAB_RS16680,90.123,81,8,0,1,81,1,81,5.95e-53,156
OANT_RS00885,BAB_RS16685,94.286,140,8,0,1,140,1,140,1.29e-96,271
OANT_RS00890,BAB_RS16690,84.848,165,25,0,1,165,1,165,6.86e-105,294
OANT_RS00895,BAB_RS16695,89.919,248,24,1,1,247,1,248,6.85e-166,455
OANT_RS00900,BAB_RS16700,82.906,234,40,0,1,234,1,234,3.15e-126,354
OANT_RS00905,BAB_RS16705,92.749,331,23,1,1,331,1,330,0.0,635
OANT_RS00910,BAB_RS16710,83.028,218,37,0,1,218,1,218,1.75e-125,350
OANT_RS00915,BAB_RS16715,85.714,224,28,1,1,224,1,220,2.67e-131,366
OANT_RS00920,BAB_RS16720,92.978,356,25,0,1,356,1,356,0.0,672
OANT_RS00925,BAB_RS16725,95.798,238,10,0,1,238,1,238,6.26e-172,469
OANT_RS00930,BAB_RS32045,61.765,68,22,1,1,68,1,64,1.05e-19,75.9
OANT_RS00935,BAB_RS16740,88.636,220,25,0,1,220,1,220,1.97e-146,404
OANT_RS00940,BAB_RS16745,91.198,409,31,1,1,409,1,404,0.0,771
OANT_RS00945,BAB_RS16750,90.759,303,28,0,1,303,1,303,0.0,524
OANT_RS00950,BAB_RS16755,85.600,125,18,0,1,125,1,125,1.74e-76,219
OANT_RS00955,BAB_RS16760,86.526,475,64,0,1,475,4,478,0.0,770
OANT_RS00960,BAB_RS16765,88.043,92,11,0,1,92,1,92,1.26e-54,162
OANT_RS00965,BAB_RS16770,92.086,556,44,0,1,556,1,556,0.0,1063
OANT_RS00970,BAB_RS16775,85.417,240,35,0,4,243,9,248,1.75e-155,429
OANT_RS00975,BAB_RS16780,81.503,173,32,0,1,173,1,173,4.35e-102,288
OANT_RS00980,BAB_RS16785,87.629,97,12,0,1,97,1,97,2.25e-62,181
OANT_RS00985,BAB_RS16790,81.250,192,36,0,1,192,1,192,7.34e-116,324
OANT_RS00990,BAB_RS16795,96.296,81,3,0,1,81,1,81,7.77e-52,153
OANT_RS00995,BAB_RS16800,74.286,140,24,5,1,139,1,129,5.78e-49,150
OANT_RS01000,BAB_RS16805,91.390,1266,100,2,1,1262,1,1261,0.0,2374
OANT_RS01005,BAB_RS16810,70.213,235,70,0,1,235,1,235,3.68e-131,366
OANT_RS01010,BAB_RS16815,93.640,456,29,0,1,456,1,456,0.0,880
OANT_RS01015,BAB_RS16820,93.791,306,19,0,1,306,1,306,0.0,576
OANT_RS01020,BAB_RS16825,87.422,644,81,0,1,644,1,644,0.0,1169
OANT_RS01025,BAB_RS16830,74.460,278,71,0,1,278,1,278,1.14e-144,404
OANT_RS01030,BAB_RS16835,96.000,25,1,0,1,25,1,25,1.18e-11,48.1
OANT_RS01170,BAB_RS18230,50.667,75,37,0,1,75,1,75,2.02e-21,76.6
OANT_RS01175,BAB_RS21510,44.444,63,35,0,1,63,2,64,3.42e-11,54.3
OANT_RS01190,BAB_RS18190,29.800,500,296,12,2,474,4,475,2.57e-52,181
OANT_RS01285,BAB_RS18845,28.363,342,201,12,56,374,63,383,1.34e-17,80.9
OANT_RS01310,BAB_RS18875,27.586,116,82,2,7,121,8,122,1.63e-10,52.0
OANT_RS01360,BAB_RS20735,94.444,144,8,0,424,567,1,144,3.48e-93,279
OANT_RS01365,BAB_RS20740,87.500,72,9,0,66,137,1,72,2.59e-38,132
OANT_RS01415,BAB_RS16840,80.632,253,49,0,1,253,1,253,3.60e-156,431
OANT_RS01420,BAB_RS16845,71.548,239,64,1,1,235,1,239,6.73e-127,356
OANT_RS01425,BAB_RS16850,86.590,261,35,0,1,261,1,261,1.54e-167,460
OANT_RS01430,BAB_RS16855,86.282,503,69,0,1,503,1,503,0.0,862
OANT_RS01435,BAB_RS16860,87.926,323,38,1,1,323,1,322,0.0,561
OANT_RS01440,BAB_RS16865,93.590,234,15,0,1,234,1,234,1.17e-164,473
OANT_RS01445,BAB_RS16870,94.186,344,20,0,1,344,1,344,0.0,671
OANT_RS01450,BAB_RS16875,92.437,119,9,0,1,119,1,119,1.10e-78,224
OANT_RS01455,BAB_RS16880,87.316,339,43,0,1,339,1,339,0.0,602
OANT_RS01465,BAB_RS32065,87.031,293,37,1,1,293,1,292,2.06e-175,507
OANT_RS01470,BAB_RS16905,96.017,477,19,0,1,477,1,477,0.0,918
OANT_RS01475,BAB_RS16910,90.698,258,24,0,1,258,1,258,7.74e-166,456
OANT_RS01480,BAB_RS16915,90.043,231,23,0,1,231,1,231,1.24e-158,435
OANT_RS01485,BAB_RS16920,88.820,322,36,0,1,322,1,322,0.0,603
OANT_RS01490,BAB_RS16925,84.925,199,30,0,2,200,3,201,3.61e-128,356
OANT_RS01495,BAB_RS16930,92.578,256,19,0,1,256,1,256,1.29e-171,470
OANT_RS01500,BAB_RS16935,73.846,65,17,0,1,65,1,65,8.33e-28,91.7
OANT_RS01505,BAB_RS16940,84.731,334,51,0,1,334,1,334,0.0,562
OANT_RS01510,BAB_RS16945,81.443,291,53,1,1,290,1,291,2.80e-161,447
OANT_RS01515,BAB_RS16950,85.714,707,97,2,1,707,1,703,0.0,1246
OANT_RS01520,BAB_RS16955,90.244,738,72,0,78,815,11,748,0.0,1338
OANT_RS01530,BAB_RS28855,23.030,330,226,4,4,310,7,331,3.37e-15,72.4
OANT_RS01535,BAB_RS23785,37.654,324,182,7,6,317,17,332,2.22e-63,201
OANT_RS01540,BAB_RS23790,45.625,480,254,4,17,494,2,476,6.23e-137,402
OANT_RS01545,BAB_RS23780,32.895,228,147,5,28,249,28,255,1.14e-25,100
OANT_RS01550,BAB_RS27570,28.228,333,216,11,4,327,3,321,1.71e-24,99.0
OANT_RS01560,BAB_RS16960,91.892,148,12,0,1,148,1,148,8.92e-102,285
OANT_RS01565,BAB_RS16965,86.179,246,34,0,1,246,1,246,2.43e-140,390
OANT_RS01570,BAB_RS16970,88.782,312,35,0,1,312,1,312,0.0,559
OANT_RS01575,BAB_RS16975,75.949,395,95,0,2,396,7,401,0.0,508
OANT_RS01580,BAB_RS16980,92.233,309,24,0,3,311,1,309,0.0,563
OANT_RS01585,BAB_RS16990,90.261,421,41,0,1,421,1,421,0.0,797
OANT_RS01590,BAB_RS16995,94.724,417,22,0,1,417,1,417,0.0,797
OANT_RS01595,BAB_RS17000,92.079,101,8,0,1,101,1,101,6.28e-70,200
OANT_RS01600,BAB_RS17015,93.946,446,27,0,553,998,1,446,0.0,896
OANT_RS01605,BAB_RS17020,80.000,180,36,0,1,180,1,180,6.85e-106,298
OANT_RS01610,BAB_RS31225,34.635,384,239,6,2,379,47,424,8.39e-65,210
OANT_RS01620,BAB_RS17025,73.050,282,76,0,1,282,1,282,2.19e-162,449
OANT_RS01625,BAB_RS17030,89.272,261,28,0,1,261,1,261,1.30e-176,483
OANT_RS01630,BAB_RS17035,86.788,439,57,1,1,438,1,439,0.0,780
OANT_RS01635,BAB_RS17040,91.582,297,25,0,1,297,1,297,0.0,497
OANT_RS01640,BAB_RS17045,85.862,290,41,0,3,292,2,291,0.0,527
OANT_RS01645,BAB_RS17050,89.532,363,38,0,1,363,1,363,0.0,678
OANT_RS01650,BAB_RS17055,90.027,371,37,0,1,371,1,371,0.0,683
OANT_RS01655,BAB_RS17060,87.037,108,14,0,3,110,7,114,2.40e-72,207
OANT_RS01660,BAB_RS17065,86.908,359,47,0,1,359,1,359,0.0,650
OANT_RS01670,BAB_RS17075,86.885,244,32,0,1,244,1,244,1.26e-158,436
OANT_RS01675,BAB_RS17080,90.000,280,28,0,1,280,1,280,0.0,536
OANT_RS01680,BAB_RS17085,90.588,425,40,0,1,425,1,425,0.0,809
OANT_RS01690,BAB_RS17255,100.000,25,0,0,1,25,1,25,4.73e-13,51.6
OANT_RS01695,BAB_RS17260,76.812,69,16,0,1,69,1,69,3.58e-37,115
OANT_RS01700,BAB_RS17265,87.500,208,26,0,1,208,1,208,4.51e-135,374
OANT_RS01705,BAB_RS17270,100.000,72,0,0,1,72,1,72,1.40e-49,147
OANT_RS01710,BAB_RS17275,85.714,147,21,0,5,151,9,155,5.25e-93,263
OANT_RS01715,BAB_RS17280,93.125,160,11,0,1,160,1,160,3.75e-111,309
OANT_RS01720,BAB_RS17285,90.698,430,40,0,1,430,1,430,0.0,783
OANT_RS01725,BAB_RS17290,85.616,146,21,0,1,146,1,146,4.82e-93,262
OANT_RS01730,BAB_RS17295,93.706,429,27,0,1,429,1,429,0.0,806
OANT_RS01740,BAB_RS17305,100.000,25,0,0,1,25,1,25,4.46e-11,46.6
OANT_RS01750,BAB_RS17340,78.092,283,58,1,1,283,2,280,2.66e-159,441
OANT_RS01755,BAB_RS17345,95.000,100,5,0,1,100,1,100,3.45e-66,191
OANT_RS01765,BAB_RS17355,87.129,101,13,0,1,101,1,101,1.99e-64,186
OANT_RS01770,BAB_RS17360,95.439,570,26,0,1,570,1,570,0.0,1135
OANT_RS01775,BAB_RS17365,88.112,143,17,0,1,143,1,143,2.94e-86,247
OANT_RS01780,BAB_RS17370,78.070,228,50,0,1,228,1,228,2.04e-122,343
OANT_RS01785,BAB_RS17375,91.262,206,18,0,1,206,1,206,1.84e-142,392
OANT_RS01795,BAB_RS17380,100.000,25,0,0,1,25,1,25,1.41e-13,53.1
OANT_RS01800,BAB_RS17385,86.434,516,70,0,1,516,1,516,0.0,874
OANT_RS01805,BAB_RS17390,80.739,379,64,1,1,370,1,379,0.0,598
OANT_RS01810,BAB_RS17395,93.229,1019,67,1,5,1021,3,1021,0.0,1843
OANT_RS01815,BAB_RS16920,27.273,264,179,6,1,261,1,254,1.18e-18,81.6
OANT_RS01820,BAB_RS16910,29.614,233,162,2,47,279,23,253,2.20e-27,103
OANT_RS01825,BAB_RS16910,27.917,240,156,4,57,296,36,258,1.74e-19,82.4
OANT_RS01830,BAB_RS31810,45.778,225,120,1,43,267,19,241,2.39e-63,196
OANT_RS01835,BAB_RS32145,94.617,483,26,0,2,484,7,489,0.0,961
OANT_RS01840,BAB_RS17410,92.771,415,30,0,1,415,1,415,0.0,802
OANT_RS01845,BAB_RS17415,80.603,232,40,1,1,232,1,227,2.37e-138,384
OANT_RS01850,BAB_RS32150,72.800,125,34,0,1,125,1,125,1.93e-56,169
OANT_RS01855,BAB_RS29105,50.964,363,155,7,1,354,1,349,2.01e-119,346
OANT_RS01860,BAB_RS17045,36.059,269,167,2,14,277,23,291,1.17e-54,175
OANT_RS01865,BAB_RS30570,30.968,310,191,2,1,297,6,305,7.26e-45,154
OANT_RS01870,BAB_RS28705,26.902,368,250,11,39,400,43,397,2.84e-24,100
OANT_RS01875,BAB_RS19560,33.766,385,229,10,15,386,17,388,3.36e-61,199
OANT_RS01880,BAB_RS26475,32.701,211,129,4,14,218,17,220,5.63e-23,90.5
OANT_RS01890,BAB_RS26385,28.526,312,196,9,4,298,9,310,6.34e-21,87.8
OANT_RS01895,BAB_RS19125,25.701,214,153,4,12,224,4,212,1.51e-15,72.0
OANT_RS01900,BAB_RS30940,27.619,105,76,0,9,113,10,114,1.92e-09,52.4
OANT_RS01905,BAB_RS17035,27.034,381,239,14,4,366,1,360,1.74e-19,86.7
OANT_RS01910,BAB_RS31785,33.103,290,191,3,24,310,21,310,1.32e-50,166
OANT_RS01915,BAB_RS17045,33.992,253,158,4,29,272,38,290,2.42e-45,151
OANT_RS01920,BAB_RS28715,55.301,349,152,2,1,347,1,347,6.77e-135,385
OANT_RS01925,BAB_RS17425,94.037,436,26,0,1,436,1,436,0.0,852
OANT_RS01930,BAB_RS17430,82.526,475,76,1,3,477,6,473,0.0,816
OANT_RS01940,BAB_RS17435,87.671,146,18,0,1,146,1,146,2.70e-95,268
OANT_RS01945,BAB_RS17440,91.985,549,44,0,1,549,1,549,0.0,1048
OANT_RS01950,BAB_RS17445,88.385,353,41,0,1,353,1,353,0.0,647
OANT_RS01955,BAB_RS17450,83.475,236,39,0,7,242,7,242,8.49e-146,404
OANT_RS01960,BAB_RS19380,31.737,167,97,5,11,169,10,167,4.32e-16,70.5
OANT_RS01965,BAB_RS17460,85.714,581,83,0,1,581,1,581,0.0,1056
OANT_RS01970,BAB_RS17465,70.792,202,59,0,1,202,1,202,8.40e-108,305
OANT_RS01975,BAB_RS17470,85.149,404,53,1,1,404,1,397,0.0,606
OANT_RS01980,BAB_RS17475,94.981,1036,51,1,1,1035,1,1036,0.0,1981
OANT_RS01985,BAB_RS17485,66.784,283,90,2,1,282,1,280,1.27e-138,389
OANT_RS01990,BAB_RS17490,72.991,585,152,2,2,581,47,630,0.0,887
OANT_RS01995,BAB_RS17495,89.577,307,32,0,1,307,1,307,0.0,526
OANT_RS02000,BAB_RS17500,81.221,426,80,0,1,426,1,426,0.0,711
OANT_RS02030,BAB_RS26830,28.700,446,305,5,58,490,118,563,1.88e-47,170
OANT_RS02035,BAB_RS26855,34.130,293,182,6,54,340,87,374,2.02e-42,149
OANT_RS02055,BAB_RS18615,29.032,217,135,6,178,380,126,337,6.90e-11,59.7
OANT_RS02060,BAB_RS18565,22.400,250,177,6,136,370,114,361,3.23e-08,51.2
OANT_RS02065,BAB_RS17505,91.111,180,15,1,1,179,1,180,2.18e-112,314
OANT_RS02070,BAB_RS17510,92.786,402,29,0,1,402,1,402,0.0,776
OANT_RS02075,BAB_RS17515,93.910,312,19,0,1,312,1,312,0.0,619
OANT_RS02080,BAB_RS17520,88.166,338,40,0,1,338,1,338,0.0,617
OANT_RS02085,BAB_RS17525,82.308,130,23,0,1,130,1,130,4.58e-80,228
OANT_RS02090,BAB_RS17530,93.199,397,27,0,1,397,1,397,0.0,767
OANT_RS02095,BAB_RS17540,93.388,363,24,0,1,363,1,363,0.0,683
OANT_RS02100,BAB_RS17545,90.000,330,33,0,7,336,7,336,0.0,586
OANT_RS02105,BAB_RS17550,87.500,88,11,0,1,88,1,88,4.86e-53,157
OANT_RS02110,BAB_RS17555,84.375,160,25,0,1,160,1,160,6.30e-100,281
OANT_RS02115,BAB_RS17560,86.755,453,56,1,1,449,2,454,0.0,795
OANT_RS02120,BAB_RS17565,87.293,362,46,0,1,362,1,362,0.0,649
OANT_RS02125,BAB_RS17570,82.759,116,20,0,1,116,1,116,1.19e-68,198
OANT_RS02130,BAB_RS17575,70.714,140,41,0,3,142,10,149,2.17e-69,203
