Abortus2308,Melitensis16M,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS17175,BME_RS08405,2.13e-36,112,100,2.12e-36,112,100
BAB_RS17180,BME_RS08400,5.12e-70,201,100,5.1e-70,201,100
BAB_RS17185,BME_RS08395,9.45e-148,405,99.49,9.39e-148,405,99.49
BAB_RS17190,BME_RS08390,6.09e-46,137,100,6.06e-46,137,100
BAB_RS17200,BME_RS08380,1.08e-83,236,100,1.07e-83,236,100
BAB_RS17205,BME_RS08375,6.16e-138,379,99.451,6.12e-138,379,99.451
BAB_RS17210,BME_RS08370,2.39e-115,320,98.734,2.38e-115,320,98.734
BAB_RS17215,BME_RS08365,9.05e-54,158,100,9e-54,158,100
BAB_RS17220,BME_RS08360,1.67e-51,152,100,1.66e-51,152,100
BAB_RS17225,BME_RS08355,5.93e-68,195,100,5.9e-68,195,100
BAB_RS17230,BME_RS08350,6.98e-131,361,98.883,6.94e-131,361,98.883
BAB_RS17235,BME_RS08345,4.06e-154,421,100,4.03e-154,421,100
BAB_RS17240,BME_RS08340,1.36e-99,278,99.27,1.36e-99,278,99.27
BAB_RS17245,BME_RS16680,6.54e-57,166,100,6.51e-57,166,100
BAB_RS17250,BME_RS08335,0,550,99.636,0,550,99.636
BAB_RS17255,BME_RS08330,4.76e-13,51.6,100,4.73e-13,51.6,100
BAB_RS17260,BME_RS08325,7.85e-49,145,98.592,7.81e-49,145,98.592
BAB_RS17265,BME_RS08320,2.71e-153,420,100,2.69e-153,420,100
BAB_RS17270,BME_RS08315,1.41e-49,147,100,1.4e-49,147,100
BAB_RS17275,BME_RS08310,1.84e-114,317,99.363,1.83e-114,317,99.363
BAB_RS17280,BME_RS08305,1.22e-119,331,100,1.22e-119,331,100
BAB_RS17285,BME_RS08300,0,856,99.535,0,856,99.535
BAB_RS17290,BME_RS08295,6.4e-108,300,100,6.36e-108,300,100
BAB_RS17295,BME_RS08290,0,871,100,0,871,100
BAB_RS17300,BME_RS08285,1.45e-54,160,100,1.44e-54,160,100
BAB_RS17305,BME_RS08280,4.49e-11,46.6,100,4.46e-11,46.6,100
BAB_RS17310,BME_RS08275,0,1202,99.83,0,1202,99.83
BAB_RS17315,BME_RS08270,5.43e-56,166,100,9.28e-56,166,100
BAB_RS17330,BME_RS08255,2.83e-56,165,100,2.81e-56,165,100
BAB_RS17335,BME_RS08250,7.12e-98,273,100,7.08e-98,273,100
BAB_RS17340,BME_RS08245,0,553,99.286,0,553,99.286
BAB_RS17355,BME_RS08230,1.61e-72,207,100,1.6e-72,207,100
BAB_RS17360,BME_RS08225,0,1171,99.825,0,1171,99.825
BAB_RS17365,BME_RS08220,5.76e-119,330,100,5.73e-119,330,100
BAB_RS17370,BME_RS08215,1.85e-168,460,99.123,1.84e-168,460,99.123
BAB_RS17375,BME_RS08210,1.56e-155,426,100,1.55e-155,426,100
BAB_RS17380,BME_RS08205,1.42e-13,53.1,100,1.41e-13,53.1,100
BAB_RS17385,BME_RS08200,0,1041,99.807,0,1041,99.807
BAB_RS17390,BME_RS08195,0,767,99.217,0,767,99.217
BAB_RS17395,BME_RS08190,0,2058,99.616,0,2058,99.616
BAB_RS17410,BME_RS08180,0,852,99.759,0,852,99.759
BAB_RS17415,BME_RS08175,1.52e-165,452,98.678,1.51e-165,452,98.678
BAB_RS17425,BME_RS08165,0,901,99.541,0,901,99.541
BAB_RS17430,BME_RS08160,0,1004,99.797,0,1004,99.797
BAB_RS17435,BME_RS08155,5.5e-110,305,100,5.46e-110,305,100
BAB_RS17440,BME_RS08150,0,1122,99.636,0,1122,99.636
BAB_RS17445,BME_RS08145,0,713,99.717,0,713,99.717
BAB_RS17450,BME_RS08140,0,494,99.197,0,494,99.197
BAB_RS17455,BME_RS08135,1.94e-30,112,100,1.92e-30,112,100
BAB_RS17460,BME_RS08125,0,1201,99.828,0,1201,99.828
BAB_RS17465,BME_RS08120,2.86e-154,422,99.043,2.84e-154,422,99.043
BAB_RS17470,BME_RS08115,0,796,99.496,0,796,99.496
BAB_RS17475,BME_RS08110,0,2108,99.429,0,2108,99.429
BAB_RS17485,BME_RS08100,0,578,99.643,0,578,99.643
BAB_RS17490,BME_RS08095,0,1296,100,0,1296,100
BAB_RS17495,BME_RS08090,0,665,100,0,665,100
BAB_RS17500,BME_RS08085,1.53e-49,171,60,1.52e-49,171,60
BAB_RS17505,BME_RS08080,1.18e-135,373,100,1.18e-135,373,100
BAB_RS17510,BME_RS08075,0,820,100,0,820,100
BAB_RS17515,BME_RS08070,0,651,100,0,651,100
BAB_RS17520,BME_RS08065,0,687,99.412,0,687,99.412
BAB_RS17525,BME_RS08060,1.1e-95,268,100,1.09e-95,268,100
BAB_RS17530,BME_RS08055,0,816,99.749,0,816,99.749
BAB_RS17540,BME_RS08045,0,728,100,0,728,100
BAB_RS17545,BME_RS08040,0,671,99.107,0,671,99.107
BAB_RS17550,BME_RS08035,1.87e-59,173,100,1.86e-59,173,100
BAB_RS17555,BME_RS08030,3.56e-118,327,100,3.54e-118,327,100
BAB_RS17560,BME_RS08025,0,896,100,0,896,100
BAB_RS17565,BME_RS08020,0,725,99.176,0,725,99.176
BAB_RS17570,BME_RS08015,1.06e-82,234,99.145,1.05e-82,234,99.145
BAB_RS17575,BME_RS08010,6.4e-110,305,99.338,6.36e-110,305,99.338
BAB_RS17580,BME_RS08005,0,655,100,0,655,100
BAB_RS17585,BME_RS16635,2.51e-152,418,100,2.5e-152,418,100
BAB_RS17590,BME_RS07995,0,2232,98.583,0,2232,98.583
BAB_RS17595,BME_RS07990,7.75e-97,271,100,7.71e-97,271,100
BAB_RS17600,BME_RS07985,0,872,100,0,872,100
BAB_RS17605,BME_RS07980,9.25e-178,484,100,9.19e-178,484,100
BAB_RS17610,BME_RS07975,2.4e-180,491,100,2.38e-180,491,100
BAB_RS17615,BME_RS16625,4.45e-82,237,100,2.34e-82,237,100
BAB_RS17620,BME_RS07965,3.87e-41,125,100,3.85e-41,125,100
BAB_RS17625,BME_RS07960,0,590,98.649,0,590,98.649
BAB_RS17630,BME_RS07955,7.09e-97,271,100,7.05e-97,271,100
BAB_RS17635,BME_RS07950,5.56e-166,454,99.574,5.53e-166,454,99.574
BAB_RS17640,BME_RS07945,0,840,99.759,0,840,99.759
BAB_RS17645,BME_RS07940,0,584,99.659,0,584,99.659
BAB_RS17650,BME_RS07935,0,558,100,0,558,100
BAB_RS17655,BME_RS07930,0,532,100,0,532,100
BAB_RS17660,BME_RS16615,2.83e-29,95.1,100,2.81e-29,95.1,100
BAB_RS17665,BME_RS07920,0,753,99.726,0,753,99.726
BAB_RS17670,BME_RS07915,0,852,99.758,0,852,99.758
BAB_RS17675,BME_RS07910,0,696,99.415,0,696,99.415
BAB_RS17685,BME_RS07905,0,824,99.527,0,824,99.527
BAB_RS17690,BME_RS07900,1.88e-125,347,99.422,1.87e-125,347,99.422
BAB_RS17695,BME_RS07895,0,925,99.121,0,925,99.121
BAB_RS17700,BME_RS07890,2.8e-153,420,99.061,2.78e-153,420,99.061
BAB_RS17705,BME_RS07885,1.55e-107,301,87.363,1.75e-107,301,87.363
BAB_RS17710,BME_RS07880,1.71e-10,59.7,100,1.9e-09,56.2,100
BAB_RS17715,BME_RS07875,0,516,95.437,0,516,95.437
BAB_RS17720,BME_RS07870,0,560,99.632,0,560,99.632
BAB_RS17725,BME_RS07865,0,987,100,0,987,100
BAB_RS17730,BME_RS07860,2.08e-65,188,98.901,2.07e-65,188,98.901
BAB_RS17735,BME_RS07855,0,993,99.593,0,993,99.593
BAB_RS17740,BME_RS07850,0,1448,97.914,0,1448,97.914
BAB_RS17745,BME_RS07845,0,589,99.655,0,589,99.655
BAB_RS17755,BME_RS07835,0,855,99.76,0,855,99.76
BAB_RS17760,BME_RS07830,0,895,99.539,0,895,99.539
BAB_RS17765,BME_RS07825,0,730,89.486,0,730,89.486
BAB_RS17770,BME_RS07820,1.19e-31,100,100,1.18e-31,100,100
BAB_RS17775,BME_RS07815,0,1528,99.601,0,1528,99.601
BAB_RS17780,BME_RS07810,1.83e-123,341,100,1.82e-123,341,100
BAB_RS17785,BME_RS07805,0,1067,99.806,0,1067,99.806
BAB_RS17790,BME_RS07800,0,590,100,0,590,100
BAB_RS17795,BME_RS07795,2.94e-34,107,100,2.93e-34,107,100
BAB_RS17800,BME_RS07790,0,505,100,0,505,100
BAB_RS17805,BME_RS07785,0,1095,100,0,1095,100
BAB_RS17810,BME_RS07780,6.38e-111,308,99.342,6.34e-111,308,99.342
BAB_RS17815,BME_RS07775,1.09e-56,165,100,1.08e-56,165,100
BAB_RS17820,BME_RS07770,1.18e-151,415,99.51,1.17e-151,415,99.51
BAB_RS17825,BME_RS07765,0,543,99.654,0,543,99.654
BAB_RS17835,BME_RS07760,0,739,99.169,0,739,99.169
BAB_RS17840,BME_RS07755,6.78e-86,242,99.138,6.75e-86,242,99.138
BAB_RS17845,BME_RS07750,0,698,100,0,698,100
BAB_RS17850,BME_RS07745,9.32e-158,445,99.567,8.69e-158,445,99.567
BAB_RS17855,BME_RS07740,0,836,99.759,0,836,99.759
BAB_RS17860,BME_RS07735,0,692,99.699,0,692,99.699
BAB_RS17865,BME_RS07730,5.78e-160,438,99.552,5.75e-160,438,99.552
BAB_RS17870,BME_RS07725,0,972,99.793,0,972,99.793
BAB_RS17875,BME_RS07720,0,895,100,0,895,100
BAB_RS17880,BME_RS07715,0,887,99.767,0,887,99.767
BAB_RS17885,BME_RS07710,2.47e-93,262,100,2.46e-93,262,100
BAB_RS17890,BME_RS07705,1.65e-177,484,100,1.64e-177,484,100
BAB_RS17895,BME_RS07700,8.4e-48,142,100,8.35e-48,142,100
BAB_RS17900,BME_RS07695,1.74e-149,410,99.519,1.73e-149,410,99.519
BAB_RS17905,BME_RS07690,4.66e-110,306,99.371,4.63e-110,306,99.371
BAB_RS17910,BME_RS07685,5.36e-159,435,99.545,5.33e-159,435,99.545
BAB_RS17915,BME_RS07680,0,786,99.231,0,786,99.231
BAB_RS17920,BME_RS07675,7.54e-117,324,98.81,7.5e-117,324,98.81
BAB_RS17930,BME_RS07670,7.79e-48,142,98.611,7.44e-48,142,98.611
BAB_RS17935,BME_RS07665,0,592,98.997,0,592,98.997
BAB_RS17940,BME_RS07660,4.8e-42,127,100,4.77e-42,127,100
BAB_RS17945,BME_RS07655,0,1464,99.592,0,1464,99.592
BAB_RS17950,BME_RS07650,0,509,100,0,509,100
BAB_RS17955,BME_RS07645,1.19e-50,150,100,1.19e-50,150,100
BAB_RS17960,BME_RS07640,0,680,100,0,680,100
BAB_RS17965,BME_RS07635,0,1259,100,0,1259,100
BAB_RS17970,BME_RS07630,0,648,100,0,648,100
BAB_RS17980,BME_RS07625,0,1558,99.871,0,1558,99.871
BAB_RS17985,BME_RS07620,0,632,99.381,0,632,99.381
BAB_RS17990,BME_RS07615,0,957,99.787,0,957,99.787
BAB_RS17995,BME_RS07610,9.89e-73,208,100,9.84e-73,208,100
BAB_RS18000,BME_RS07605,1e-47,142,100,9.95e-48,142,100
BAB_RS18005,BME_RS07600,7.56e-139,382,100,7.52e-139,382,100
BAB_RS18010,BME_RS07595,0,500,99.6,0,500,99.6
BAB_RS18015,BME_RS07590,0,1204,99.831,0,1204,99.831
