Abortus2308,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS16100,SMc02899,5.42e-163,451,75.627,2.7e-163,451,75.627
BAB_RS16105,SMc02898,9.99e-122,344,72.131,5e-122,344,72.131
BAB_RS16110,SMc02897,3.82e-62,191,52.551,2.75e-60,186,53.409
BAB_RS16115,SMc00519,3.69e-79,248,44.34,8.13e-86,265,44.34
BAB_RS16120,SM_b21487,1.36e-114,335,48.408,7.84e-115,335,48.408
BAB_RS16130,SM_b21489,6.81e-80,235,58.201,3.44e-80,235,58.201
BAB_RS16135,SM_b22024,6.07e-42,132,53.659,3.35e-42,132,53.659
BAB_RS16145,SMc03097,4.8e-126,383,37.304,8.11e-123,374,37.656
BAB_RS16150,SMc03096,1.62e-101,358,37.912,6.61e-91,324,37.912
BAB_RS16170,SMc01242,3.34e-109,319,48.494,1.64e-109,319,48.494
BAB_RS16185,SMc00876,0,529,68.798,0,526,67.602
BAB_RS16190,SMc03925,0,869,74.492,0,851,74.492
BAB_RS16195,SMa0557,1.28e-102,299,47.619,6.4e-103,299,47.619
BAB_RS16205,SMc02167,1.48e-65,199,49.505,6.6e-66,199,49.505
BAB_RS16210,SMc04240,1.35e-98,284,61.033,2.6e-102,293,59.821
BAB_RS16215,SMc02319,2.04e-09,45.8,38.095,1.01e-09,45.8,38.095
BAB_RS16230,SMc01850,7.44e-37,131,46.25,2.62e-36,129,53.719
BAB_RS16235,SMc00455,8.03e-71,213,51.942,4.07e-71,213,51.942
BAB_RS16240,SMc03788,0,1087,51.59,0,1092,51.59
BAB_RS16245,SMc03789,1.18e-111,338,40.795,6.59e-112,338,40.795
BAB_RS16250,SMc03790,5.32e-20,85.5,33.166,1.55e-20,86.3,33.333
BAB_RS16260,SMc01707,2.98e-43,142,43.373,1.16e-43,142,43.373
BAB_RS16265,SMc03826,0,790,94.815,0,790,94.815
BAB_RS16270,SMc03827,1.2e-62,192,51.832,4.15e-67,202,49.296
BAB_RS16280,SMc03831,0,703,85.195,0,703,85.195
BAB_RS16290,SMc03832,5.47e-76,222,61.677,2.75e-76,222,61.677
BAB_RS16295,SMc03833,3.94e-43,135,52.893,1.95e-43,135,52.893
BAB_RS16300,SMc03834,1.8e-30,101,48.958,9.7e-31,101,48.958
BAB_RS16315,SMc03835,4.46e-100,285,77.273,2.69e-92,265,77.273
BAB_RS16320,SMc03836,3.53e-85,250,58.216,3.35e-85,249,58.216
BAB_RS16325,SMc03837,8.4e-116,328,75.576,4.17e-116,328,75.576
BAB_RS16330,SMc03838,0,976,63.258,0,1001,63.258
BAB_RS16335,SMc03839,4.28e-130,365,74.286,2.15e-130,365,74.286
BAB_RS16350,SMc03844,5.31e-48,148,67.327,7.71e-48,147,67.327
BAB_RS16355,SMc03845,2.18e-59,186,44.196,6.75e-57,179,43.556
BAB_RS16360,SMc03846,0,1526,82.735,0,1526,82.735
BAB_RS16365,SMc03847,1.25e-69,209,50.935,6.06e-70,209,50.935
BAB_RS16370,SMc03848,6.92e-92,266,72.851,8.55e-94,270,72.851
BAB_RS16375,SMc03849,2.41e-136,382,75.934,1.18e-136,382,75.934
BAB_RS16385,SMc03851,4.55e-73,217,57.609,2.28e-73,217,57.609
BAB_RS16390,SMc04045,0,1057,83.797,0,1019,83.797
BAB_RS16400,SM_b20934,2.48e-13,60.8,35,1.78e-13,60.8,35
BAB_RS16405,SMc02235,1.67e-40,125,69.231,8.37e-41,125,69.231
BAB_RS16410,SMc02317,2.89e-45,141,49.612,1.4e-45,141,49.612
BAB_RS16425,SM_b21133,1.08e-164,461,68.622,1.47e-170,474,68.622
BAB_RS16430,SM_b21132,1.79e-129,367,70.486,8.31e-143,400,70.486
BAB_RS16435,SM_b21131,1.06e-141,398,75.347,5.27e-137,385,75.347
BAB_RS16440,SM_b21130,0,544,73.973,0,544,73.973
BAB_RS16445,SMc04382,0,3091,53.822,0,3086,53.822
BAB_RS16450,SMc02276,0,752,82.949,0,752,82.949
BAB_RS16460,SMc01426,2.95e-109,313,60.417,1.37e-109,313,60.417
BAB_RS16465,SMc02164,1.19e-134,382,63.072,5.51e-142,399,63.072
BAB_RS16470,SMa1757,6.4e-102,295,62.353,1.16e-110,316,62.353
BAB_RS16475,SMc02856,0,785,59.307,0,822,60.61
BAB_RS16490,SMc00342,5.35e-103,293,69.756,2.73e-103,293,69.756
BAB_RS16495,SMc02852,0,752,77.223,0,752,77.223
BAB_RS16500,SMc02850,0,1533,75.124,0,1549,75.124
BAB_RS16505,SMc01090,0,592,54.754,0,586,55.292
BAB_RS16510,SMc02782,0,1295,78.133,0,1298,78.133
BAB_RS16515,SMc01273,3.43e-144,403,67.754,1.72e-144,403,67.754
BAB_RS16520,SMc01272,1.21e-26,99.8,40.559,6.7e-27,99.8,40.559
BAB_RS16530,SM_b20170,0,556,72.074,0,556,72.074
BAB_RS16540,SMc02586,0,664,63.545,0,691,63.545
BAB_RS16550,SMc02585,1.38e-165,470,58.454,1.21e-155,444,58.454
BAB_RS16565,SMc02584,1.64e-103,293,78.333,8.55e-104,293,78.333
BAB_RS16570,SMc02583,4.61e-68,202,63.871,2.46e-68,202,63.871
BAB_RS16575,SMc02582,6.43e-81,240,55.357,3.15e-78,233,59.043
BAB_RS16580,SMc01119,3.07e-105,298,75.263,1.22e-101,288,75.263
BAB_RS16585,SMc01120,9.61e-71,209,64.417,2.79e-64,192,64.417
BAB_RS16590,SMc01121,0,528,71.186,0,528,71.186
BAB_RS16595,SMc01123,0,789,81.369,0,822,81.369
BAB_RS16600,SMc01124,0,1222,65.435,0,1241,65.435
BAB_RS16610,SMc01125,0,1217,71.801,0,1281,71.801
BAB_RS16615,SMc01127,7.8e-117,335,60.687,4.13e-117,335,60.687
BAB_RS16620,SMc01129,8.41e-52,160,53.02,4.38e-52,160,53.02
BAB_RS16625,SMc01130,1.48e-135,383,66.192,7.22e-136,383,66.192
BAB_RS16630,SMc01131,7.43e-157,444,61.14,1.34e-155,440,63.288
BAB_RS16635,SMc01133,5.72e-34,111,50.962,3.06e-34,111,50.962
BAB_RS16640,SMc01134,7.05e-54,160,84.615,4.99e-54,160,84.615
BAB_RS16645,SMc01135,8.86e-98,289,50,1.05e-94,280,48.758
BAB_RS16650,SMc01136,8.83e-38,129,35.897,6.16e-39,131,35.5
BAB_RS16655,SMc01137,4.28e-40,133,42.105,2.09e-40,133,42.105
BAB_RS16660,SMc01138,2.05e-141,396,79.424,3.39e-142,397,72.628
BAB_RS16665,SMc01139,0,593,58.35,0,593,58.35
BAB_RS16670,SMc01140,3.27e-82,239,59.474,3.33e-73,216,59.474
BAB_RS16675,SMc01141,1.64e-75,219,69.481,8.23e-76,219,69.481
BAB_RS16680,SMc01107,3.01e-27,92.4,50,1.59e-27,92.4,50
BAB_RS16685,SMc01106,4.74e-76,220,73.427,2.43e-76,220,73.427
BAB_RS16690,SMc02842,2.9e-46,146,53.472,2.15e-52,161,54.43
BAB_RS16695,SMc02843,1.31e-132,372,74.494,2.58e-133,373,72.727
BAB_RS16700,SMc02882,2.04e-91,266,64.502,2.01e-92,268,64.502
BAB_RS16705,SMc02846,9.65e-171,475,69.697,4.85e-171,475,69.697
BAB_RS16710,SMc00330,6.25e-79,233,58.373,2.09e-80,236,58.373
BAB_RS16715,SMc01142,2.71e-85,249,68.306,3.71e-85,248,74.074
BAB_RS16720,SMc01143,2.42e-178,496,67.797,1.23e-178,496,67.797
BAB_RS16725,SMc01144,2.76e-145,403,78.571,1.39e-145,403,78.571
BAB_RS16740,SMc01146,7.67e-114,322,74.057,3.75e-114,322,74.057
BAB_RS16745,SMc01147,0,515,65.526,0,515,65.526
BAB_RS16750,SMc00416,1.91e-118,340,62,9.28e-115,330,62
BAB_RS16755,SMc00418,2.71e-47,146,67.544,1.32e-47,146,67.544
BAB_RS16760,SMc01053,0,607,66.017,0,572,66.017
BAB_RS16765,SMc01054,1.83e-31,104,61.364,9.68e-32,104,61.364
BAB_RS16770,SMc02124,0,869,75.774,0,872,75.818
BAB_RS16775,SMc00092,2.22e-32,117,35.321,1.17e-32,117,35.321
BAB_RS16780,SMc02123,3.13e-35,119,40.476,1.5e-35,119,40.476
BAB_RS16790,SM_b20708,1.25e-32,113,38.272,5.97e-33,113,38.272
BAB_RS16805,SMc03112,0,2122,81.869,0,2133,81.869
BAB_RS16810,SMc00170,1.2e-20,84.7,33.158,6.3e-21,84.7,33.158
BAB_RS16815,SM_b20379,0,527,56.858,0,543,56.858
BAB_RS16820,SM_b21223,0,500,78.523,3.24e-171,473,78.523
BAB_RS16825,SM_b21224,0,832,64.169,0,832,64.169
BAB_RS16830,SMc01952,2.19e-89,264,55.294,2.43e-84,250,55.294
BAB_RS16835,SMc00126,3.44e-09,42.7,88,1.73e-09,42.7,88
BAB_RS16850,SMc02521,4.2e-138,386,74.603,2.04e-138,386,74.603
BAB_RS16855,SMc02520,0,677,68.263,0,672,68.257
BAB_RS16860,SMc02690,8.89e-105,306,54.088,4.41e-105,306,54.088
BAB_RS16865,SMc02689,1.32e-128,381,76.754,6.59e-129,381,76.754
BAB_RS16870,SMa1296,1.39e-157,442,63.127,6.92e-158,442,63.127
BAB_RS16875,SMc02688,5.2e-55,166,74.038,2.49e-55,166,74.038
BAB_RS16905,SM_b20891,0,827,85.954,0,837,85.954
BAB_RS16910,SMc01826,2.79e-27,104,29.437,1.4e-27,104,29.437
BAB_RS16920,SMc01827,2.73e-15,72.8,24.367,1.4e-15,72.8,24.367
BAB_RS16925,SM_b20618,1.99e-91,264,66.667,1.42e-97,278,66.667
BAB_RS16930,SM_b20617,1.49e-111,319,67.194,4.56e-115,327,67.194
BAB_RS16940,SM_b20616,5.6e-110,321,54.403,1.7e-108,316,54.87
BAB_RS16945,SM_b20962,7.95e-93,273,59.677,1.07e-92,272,60.456
BAB_RS16950,SMa1548,5.66e-146,451,40.603,3.36e-146,451,40.603
BAB_RS16955,SM_b21578,0,974,64.894,0,982,65.141
BAB_RS16960,SM_b21579,7.08e-63,187,62.676,3.51e-63,187,62.676
BAB_RS16965,SM_b21147,1.09e-110,316,68.376,2.01e-104,299,69.907
BAB_RS16970,SM_b21146,6.41e-151,423,65.806,3.22e-151,423,65.806
BAB_RS16975,SM_b21145,4.97e-132,382,63.476,3.77e-134,387,61.671
BAB_RS16980,SM_b21144,2.15e-172,477,87.097,5.77e-178,490,82.201
BAB_RS16990,SMa0228,1.09e-47,166,32.626,4.52e-53,180,31.738
BAB_RS16995,SMc03933,0,623,75.06,0,630,75.06
BAB_RS17000,SMc03932,2.22e-47,145,68.75,1.25e-47,145,68.75
BAB_RS17015,SMc03931,0,635,66.368,0,637,66.368
BAB_RS17020,SMc03930,3.08e-23,89,32.571,1.55e-23,89,32.571
BAB_RS17025,SM_b21101,5.52e-128,362,61.348,2.73e-128,362,61.348
BAB_RS17030,SM_b21102,3.23e-162,447,85.49,1.6e-162,447,85.49
BAB_RS17035,SM_b21103,0,701,78.588,0,711,78.588
BAB_RS17040,SM_b21104,1.61e-177,489,81.356,1.68e-161,448,81.979
BAB_RS17045,SM_b21105,0,518,87.063,0,518,87.063
BAB_RS17050,SM_b21106,0,570,74.105,0,570,74.105
BAB_RS17055,SM_b21107,0,671,85.405,0,652,85.405
BAB_RS17060,SM_b21108,1.22e-70,204,87.037,5.87e-71,204,87.037
BAB_RS17065,SM_b21109,0,574,77.591,0,582,77.591
BAB_RS17075,SM_b21111,1.45e-145,404,79.918,7.28e-146,404,79.918
BAB_RS17080,SM_b21112,0,499,83.986,0,499,83.986
BAB_RS17085,SM_b21113,0,762,85.647,0,762,85.647
BAB_RS17105,SMc02187,0,584,73.604,0,605,73.604
BAB_RS17115,SMc02201,1.15e-28,95.1,64.516,5.24e-29,95.1,64.516
BAB_RS17125,SMa0911,1.06e-17,79.3,30.83,6.24e-18,79.3,30.83
BAB_RS17255,SMc02207,9.42e-13,51.6,100,4.73e-13,51.6,100
BAB_RS17260,SMc02312,9.15e-24,82.8,74.468,4.54e-24,82.8,74.468
BAB_RS17265,SMc02311,2.16e-95,274,64.078,1.07e-95,274,64.078
BAB_RS17270,SMc02310,2.32e-48,144,98.611,1.17e-48,144,98.611
BAB_RS17275,SMc02309,4.68e-62,186,63.309,2.38e-62,186,63.309
BAB_RS17280,SMc02308,4.02e-88,252,76.875,1.99e-88,252,76.875
BAB_RS17285,SMc02307,0,637,75.587,0,637,75.587
BAB_RS17290,SMc02306,1.81e-48,150,52.414,9.08e-49,150,52.414
BAB_RS17295,SMc02305,0,696,79.254,0,682,79.254
BAB_RS17305,SMc02208,9.24e-08,38.9,84,4.65e-08,38.9,84
BAB_RS17340,SMc01942,2.95e-79,239,47.761,1.47e-79,239,47.761
BAB_RS17345,SMc01941,8.29e-65,188,91,4.17e-65,188,91
BAB_RS17355,SMc01939,2.09e-49,149,68.317,1.05e-49,149,68.317
BAB_RS17360,SMc01837,0,953,79.298,0,953,79.298
BAB_RS17365,SMc01832,1.49e-44,142,51.948,9.75e-43,136,55.2
BAB_RS17370,SMc01831,1.89e-64,197,53.456,3.7e-64,196,53.456
BAB_RS17375,SMc01830,2.93e-118,332,77.833,1.44e-118,332,77.833
BAB_RS17380,SMc01733,6.44e-12,49.7,92,3.23e-12,49.7,92
BAB_RS17385,SMc01716,3.27e-161,465,51.528,2.97e-163,469,52.146
BAB_RS17390,SMc01458,1.94e-102,306,40.201,2.95e-98,295,46.865
BAB_RS17395,SMc01457,0,1284,62.779,0,1256,62.755
BAB_RS17410,SMc01820,0,645,74.572,0,645,74.572
BAB_RS17415,SMc01819,5.77e-73,218,53.266,5.48e-75,223,53.731
BAB_RS17425,SMc01815,0,769,84.703,0,769,84.703
BAB_RS17430,SMc01814,0,536,59.361,0,535,59.361
BAB_RS17435,SMc01132,1.74e-52,161,54.286,8.87e-53,161,54.286
BAB_RS17440,SMc02163,0,791,70.522,0,791,70.522
BAB_RS17445,SMc00388,7.93e-89,268,47.458,2.29e-93,279,47.458
BAB_RS17450,SMc00893,3.3e-45,149,36.17,1.57e-45,149,36.17
BAB_RS17460,SMc02162,0,797,67.438,0,797,67.438
BAB_RS17465,SMc02866,6.23e-39,131,37.129,3.24e-39,131,37.129
BAB_RS17470,SMc02868,7.51e-69,220,39.157,1.75e-64,208,37.468
BAB_RS17475,SMc03971,0,894,46.809,0,912,46.648
BAB_RS17485,SMc02219,4.09e-80,242,45.669,2.25e-80,242,45.669
BAB_RS17490,SM_b20391,2.39e-10,60.8,24.907,1.66e-10,60.5,24.907
BAB_RS17495,SMc02148,3.42e-138,391,62.069,1.07e-130,371,63.158
BAB_RS17500,SMc02147,1.14e-124,365,49.512,5.5e-125,365,49.512
BAB_RS17505,SMc02139,1.15e-75,222,60.656,4.51e-73,214,60.656
BAB_RS17510,SMc02138,0,571,71.611,0,587,71.611
BAB_RS17515,SMc02137,5.49e-173,479,73.154,2.68e-173,479,73.154
BAB_RS17520,SMc02136,3.16e-145,410,65.625,2.32e-152,428,65.625
BAB_RS17525,SMc02135,2.57e-60,179,63.077,1.29e-60,179,63.077
BAB_RS17530,SMc02217,0,627,72.494,0,617,72.494
BAB_RS17540,SMc02218,0,580,79.778,0,580,79.778
BAB_RS17550,SMc02242,5.55e-29,98.6,61.364,6.14e-36,115,61.364
BAB_RS17555,SMc02243,3.08e-30,105,38.889,1.62e-30,105,38.889
BAB_RS17560,SMc02244,7.99e-150,432,55.149,7.86e-159,454,55.149
BAB_RS17565,SMc02245,1.14e-170,477,65.84,5.71e-171,477,65.84
BAB_RS17570,SMc02246,3.26e-50,152,68.75,1.61e-50,152,68.75
BAB_RS17575,SMc02247,6.52e-28,98.6,41.985,3.15e-28,98.6,41.985
BAB_RS17580,SMc02547,1.5e-120,347,55.34,1.47e-119,343,55.34
BAB_RS17585,SMc02248,7.74e-91,263,63.462,2.34e-85,248,63.462
BAB_RS17590,SMc02249,0,1138,52.193,0,1115,52.014
BAB_RS17595,SMc02250,5.2e-46,144,53.901,5.5e-50,153,55.634
BAB_RS17600,SMc03104,2.89e-165,468,59.398,3.87e-163,462,59.398
BAB_RS17605,SMc00001,5.36e-11,58.9,31.068,4.06e-11,58.9,31.068
BAB_RS17615,SMc01838,5.24e-15,68.9,25.837,2.54e-15,68.9,25.837
BAB_RS17640,SM_b20335,4.62e-158,450,58.402,1.96e-164,465,57.979
BAB_RS17645,SMc01880,3.53e-139,392,67.972,1.76e-139,392,67.972
BAB_RS17650,SMc01881,4.5e-152,423,73.162,2.25e-152,423,73.162
BAB_RS17655,SMc02122,8.9e-100,290,56.627,4.68e-100,290,56.627
BAB_RS17665,SM_b21631,0,645,82.466,0,645,82.466
BAB_RS17670,SM_b21630,0,743,84.746,0,743,84.746
BAB_RS17675,SM_b20270,2.21e-172,480,68.142,1.11e-172,480,68.142
BAB_RS17685,SMc01211,5.81e-93,285,41.019,1.37e-104,315,41.205
BAB_RS17695,SMa0204,8.42e-15,73.2,28,3.86e-15,73.2,28
BAB_RS17700,SM_b21520,2.19e-30,109,35.533,1.13e-30,109,35.533
BAB_RS17705,SMc04248,2.72e-50,157,48.603,7.77e-56,171,48.603
BAB_RS17710,SMc04249,0,586,62.43,0,611,59.052
BAB_RS17715,SMc04251,2.83e-136,391,57.692,4.57e-134,384,57.396
BAB_RS17720,SM_b20684,3.68e-159,441,75,1.89e-159,441,75
BAB_RS17725,SM_b21284,0,643,66.667,0,632,66.667
BAB_RS17735,SM_b21286,0,617,63.333,0,632,63.333
BAB_RS17740,SM_b21287,0,933,65.771,0,931,65.771
BAB_RS17745,SM_b21288,4.47e-113,325,61.172,1.34e-112,323,61.029
BAB_RS17755,SM_b21292,0,670,77.859,0,670,77.859
BAB_RS17760,SM_b21293,0,618,66.357,0,618,66.357
BAB_RS17765,SM_b20678,0,541,69.718,0,570,69.718
BAB_RS17770,SMa0622,2.94e-18,68.2,68.085,2.83e-11,50.4,69.565
BAB_RS17775,SMa1209,0,766,53.735,0,787,53.342
BAB_RS17780,SMa1210,1.88e-31,108,39.264,1.07e-32,111,39.264
BAB_RS17785,SMa1211,0,741,67.906,0,741,67.906
BAB_RS17790,SMa0769,1.6e-138,390,61.324,8.02e-139,390,61.324
BAB_RS17795,SMa1214,1.17e-15,60.8,55.319,5.68e-16,60.8,55.319
BAB_RS17800,SMa1216,1.13e-148,412,79.424,5.67e-149,412,79.424
BAB_RS17805,SMa1220,0,833,76.038,0,858,74.954
BAB_RS17840,SMc00386,8.94e-49,149,63.158,4.49e-49,149,63.158
BAB_RS17850,SM_b21000,9.39e-95,286,47.632,4.78e-93,281,48.266
BAB_RS17855,SM_b20999,0,607,68.357,0,607,68.357
BAB_RS17860,SM_b20998,1.31e-120,348,56.164,3.8e-122,351,53.628
BAB_RS17865,SM_b20996,6.46e-79,233,54.587,1.51e-74,222,54.587
BAB_RS17870,SM_b20995,0,711,71.843,0,711,71.843
BAB_RS17875,SMc02376,1.31e-130,381,46.572,6.44e-131,381,46.572
BAB_RS17880,SMc00928,7.22e-138,397,50.789,3.26e-138,397,50.789
BAB_RS17885,SMc00872,7.93e-30,102,53.704,7.4e-28,97.4,68.493
BAB_RS17890,SMc00871,2.6e-142,396,77.823,1.31e-142,396,77.823
BAB_RS17895,SMc00870,4e-36,114,95.082,2.37e-36,114,95.082
BAB_RS17900,SMc00869,1.54e-78,231,60.396,6.39e-84,244,60.68
BAB_RS17905,SMc00868,6.75e-58,175,60.377,1.05e-64,192,60.377
BAB_RS17910,SMc00867,8.23e-75,223,60.748,1.32e-74,221,61.682
BAB_RS17915,SMc00866,0,576,73.973,0,576,73.973
BAB_RS17920,SMc00865,2.21e-22,86.3,37.405,1.21e-22,86.3,37.405
BAB_RS17935,SMc00862,3.07e-75,230,48.084,1.55e-75,230,48.084
BAB_RS17940,SMc00856,6.97e-08,42,40.984,6.75e-15,58.9,40.984
BAB_RS17945,SMc00857,3.08e-129,383,65.517,7.29e-130,382,65.517
BAB_RS17950,SMc00858,3.08e-81,243,56.68,1.46e-80,241,56.68
BAB_RS17955,SMc00859,2.28e-31,102,70.833,1.12e-31,102,70.833
BAB_RS17960,SMc00860,0,535,77.219,0,553,77.219
BAB_RS17965,SMc00861,0,541,47.107,0,540,49.728
BAB_RS17970,SMc00855,0,564,84.839,0,564,84.839
BAB_RS17980,SMc00851,0,1011,66.795,0,1011,66.795
BAB_RS17985,SMc00984,1.22e-120,347,60.51,6.17e-121,347,60.51
BAB_RS17990,SMc00985,0,625,63.404,0,620,63.404
BAB_RS18005,SMc00987,5.07e-72,213,58.564,7.59e-65,194,58.564
BAB_RS18010,SMc00976,1.35e-88,260,58.403,3.01e-98,284,58.167
BAB_RS18015,SMc00977,0,815,67.227,0,798,67.227
BAB_RS18020,SM_b20523,1.63e-65,211,36.022,5.46e-68,217,35.925
BAB_RS18025,SMc00993,0,576,69.176,0,580,69.176
BAB_RS18030,SMc00988,2.42e-128,367,63.323,3.3e-121,348,63.323
BAB_RS18035,SMc00069,5.26e-118,331,77.889,2.68e-118,331,77.889
BAB_RS18040,SMc00002,2.13e-20,78.2,33.962,1.37e-20,78.2,33.962
BAB_RS18045,SMa0116,2.4e-65,205,39.032,1.95e-59,189,37.097
BAB_RS18050,SMc00005,1.56e-164,454,80.147,7.84e-165,454,80.147
BAB_RS18055,SMc00006,3.92e-68,204,52.332,2e-71,212,52.332
BAB_RS18080,SMc00070,1.23e-14,60.5,37.349,6.43e-15,60.5,37.349
BAB_RS18085,SMc00007,0,577,81.319,0,598,81.319
BAB_RS18090,SMc00008,0,549,73.727,0,549,73.727
BAB_RS18095,SMc00969,1.2e-139,395,63.091,1.34e-147,414,63.091
BAB_RS18100,SMc00970,1.24e-32,105,64.474,6.17e-33,105,64.474
BAB_RS18115,SMa1765,2.9e-15,67.4,37.838,4.47e-10,52.4,38.356
BAB_RS18120,SMc00971,2.59e-148,416,67.327,1.27e-148,416,67.327
BAB_RS18125,SMc00972,0,994,76.923,0,974,76.923
BAB_RS18130,SMc00973,6.18e-112,320,64.113,1.81e-104,300,64.113
BAB_RS18135,SMc00974,4.01e-153,437,56.627,3.81e-157,446,56.627
BAB_RS18140,SMc02544,9.43e-99,282,66.5,4.85e-99,282,66.5
BAB_RS18145,SMc03106,5.9e-25,92.4,42.308,1.63e-24,91.3,45.745
BAB_RS18150,SMc02543,1.01e-52,182,45.378,1.2e-52,181,45.378
BAB_RS18155,SMc00550,0,994,77.814,0,1019,77.814
BAB_RS18160,SMc00551,1.33e-117,333,66.81,6.2e-118,333,66.81
BAB_RS18165,SMc00552,2.65e-119,341,69.721,1.17e-125,356,69.721
BAB_RS18170,SMc00553,3.13e-124,350,68.163,1.57e-124,350,68.163
BAB_RS18175,SMc00554,0,840,81.855,0,817,81.855
BAB_RS18180,SMc00555,2.11e-80,235,62.371,1.91e-76,224,62.371
BAB_RS18185,SMc00556,0,755,79.654,0,739,79.654
BAB_RS18190,SMc00561,0,838,82.53,0,838,82.53
BAB_RS18195,SMc02645,3.78e-146,420,52.088,1.86e-146,420,52.088
BAB_RS18200,SMc00565,2.26e-89,258,68.715,3.88e-90,259,66.667
BAB_RS18205,SMc00566,2.01e-62,198,38.438,1.58e-57,185,38.438
BAB_RS18210,SMc00567,4.68e-50,149,86.42,2.35e-50,149,86.42
BAB_RS18215,SMc00568,1.57e-56,171,75.472,1.61e-57,173,76.923
BAB_RS18220,SMc00571,1.35e-171,476,77.778,9.1e-171,473,78.738
BAB_RS18225,SMc00572,1.15e-151,419,81.224,5.79e-152,419,81.224
BAB_RS18230,SMc00573,1.25e-44,135,88.462,6.29e-45,135,88.462
BAB_RS18235,SMc00574,0,683,80.668,0,648,80.668
BAB_RS18240,SMc00575,1.51e-155,442,59.563,6.81e-158,447,57.702
BAB_RS18245,SMc00576,1.31e-104,305,53.512,6.49e-105,305,53.512
BAB_RS18250,SMc00577,5.13e-107,305,70,2.56e-107,305,70
BAB_RS18255,SMc00960,0,736,75.966,0,754,75.966
BAB_RS18260,SMc00071,6.13e-87,251,79.866,4.09e-87,251,79.866
BAB_RS18265,SMc00009,2.81e-134,380,71.004,3.81e-138,389,69.751
BAB_RS18270,SMc00010,0,897,84.192,0,887,84.192
BAB_RS18275,SMc00450,1.18e-130,373,65.068,6.78e-131,373,65.068
BAB_RS18280,SMc00012,2.5e-48,154,49.689,1.25e-48,154,49.689
BAB_RS18290,SMc00013,6.7e-170,469,81.507,1.69e-170,470,81.507
BAB_RS18295,SMc00014,5.29e-31,105,64.474,2.64e-31,105,64.474
BAB_RS18300,SMc00085,8.05e-93,271,58.222,3.93e-93,271,58.222
BAB_RS18305,SMc00016,0,548,79.027,0,548,79.027
BAB_RS18310,SMc00017,6.85e-162,452,64.724,3.44e-162,452,64.724
BAB_RS18315,SMc00018,8.82e-85,243,78.082,4.41e-85,243,78.082
BAB_RS18320,SMc00072,6.63e-84,241,73.292,5.2e-81,233,75.839
BAB_RS18325,SMc00073,3.44e-29,110,30.537,2.03e-29,110,30.537
BAB_RS18330,SMc00019,1.7e-77,228,53.646,8.56e-78,228,53.646
BAB_RS18335,SMc00074,0,1249,62.908,0,1267,62.842
BAB_RS18340,SMc00075,1.96e-70,211,53.261,9.68e-71,211,53.261
BAB_RS18345,SMc00451,0,597,66.274,0,597,66.274
BAB_RS18350,SMc00077,0,685,70.563,0,685,70.563
BAB_RS18355,SMc00020,1.73e-37,125,39.535,1.61e-40,132,39.344
BAB_RS18370,SMc00079,1.03e-102,294,61.842,5.23e-103,294,61.842
BAB_RS18380,SMc00021,0,632,79.839,0,632,79.839
