Melitensis16M,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS00220,OANT_RS04740,0,1154,96.172,0,1192,96.172
BME_RS00235,OANT_RS04770,0,1280,79.527,0,1269,78.817
BME_RS00240,OANT_RS04765,1.12e-83,239,80.714,7.19e-84,239,80.714
BME_RS00245,OANT_RS04760,3.34e-163,451,81.041,2.16e-163,451,81.041
BME_RS00250,OANT_RS04755,4.97e-67,193,96.875,3.22e-67,193,96.875
BME_RS00255,OANT_RS04750,2.35e-139,386,89.671,1.45e-139,386,89.671
BME_RS00285,OANT_RS04990,5.86e-114,318,88.398,2.69e-108,304,88.398
BME_RS00290,OANT_RS04985,6.86e-166,454,98.678,4.36e-166,454,98.678
BME_RS00295,OANT_RS04980,7.47e-95,268,88.591,4.72e-95,268,88.591
BME_RS00300,OANT_RS04970,0,508,89.925,0,508,89.925
BME_RS00305,OANT_RS04965,1.28e-143,398,88.312,1.42e-155,427,90.043
BME_RS00310,OANT_RS05065,4.54e-150,414,94.737,1.2e-145,402,94.737
BME_RS00315,OANT_RS05070,1.09e-44,136,75.61,6.91e-45,136,75.61
BME_RS00320,OANT_RS05080,3.26e-155,426,96.804,2.08e-155,426,96.804
BME_RS00325,OANT_RS05085,0,606,90.606,0,606,90.606
BME_RS00330,OANT_RS05090,6.79e-139,392,67.778,4.35e-139,392,67.778
BME_RS00335,OANT_RS05095,1.71e-177,486,94.595,1.04e-177,486,94.595
BME_RS00340,OANT_RS05100,3.4e-130,359,99.432,2.16e-130,359,99.432
BME_RS00345,OANT_RS05105,1.06e-60,177,92.708,3.6e-54,160,92.708
BME_RS00355,OANT_RS05110,2.88e-107,302,84.024,1.89e-107,302,84.024
BME_RS00360,OANT_RS05115,0,532,74.926,0,532,74.926
BME_RS00365,OANT_RS05120,0,587,91.909,0,587,91.909
BME_RS00370,OANT_RS05125,0,676,91.576,0,676,91.576
BME_RS00375,OANT_RS05130,8.45e-171,469,87.739,5.39e-171,469,87.739
BME_RS00380,OANT_RS05135,6.22e-123,341,96.067,3.96e-123,341,96.067
BME_RS00385,OANT_RS05140,0,1296,77.156,0,1323,77.828
BME_RS00390,OANT_RS05145,0,794,92.874,0,758,92.874
BME_RS00395,OANT_RS05150,2.05e-24,83.2,83.333,2.1e-32,102,83.333
BME_RS00400,OANT_RS05155,0,930,96.567,0,930,96.567
BME_RS00405,OANT_RS05160,9.18e-159,437,89.076,1.98e-149,412,89.076
BME_RS00410,OANT_RS05170,6.26e-102,286,88.608,3.98e-102,286,88.608
BME_RS00415,OANT_RS05180,0,511,92.606,0,510,92.606
BME_RS00420,OANT_RS05185,4.9e-175,481,82.117,3.16e-175,481,82.117
BME_RS00425,OANT_RS05190,3.6e-30,98.2,89.552,2.63e-38,118,89.552
BME_RS00430,OANT_RS05195,5.92e-117,328,87.179,1.05e-124,347,87.179
BME_RS00435,OANT_RS05200,4.19e-149,413,81.513,4.11e-137,382,81.513
BME_RS00440,OANT_RS05205,3.11e-66,193,84.259,1.95e-66,193,84.259
BME_RS00445,OANT_RS05210,1.87e-147,407,84.914,1.38e-147,407,84.914
BME_RS00450,OANT_RS05215,6.17e-176,481,98.79,3.92e-176,481,98.79
BME_RS00455,OANT_RS05220,0,585,96.44,0,585,96.44
BME_RS00460,OANT_RS05225,0,578,95.533,0,578,95.533
BME_RS00465,OANT_RS05230,0,528,89.939,0,528,89.939
BME_RS00470,OANT_RS05235,3.34e-88,251,85.906,8.28e-85,242,85.906
BME_RS00475,OANT_RS05240,0,812,92.272,0,796,92.326
BME_RS00495,OANT_RS17590,4.76e-46,156,36.808,2.89e-51,169,37.134
BME_RS00510,OANT_RS23230,8.32e-147,414,62.025,5.07e-147,414,62.025
BME_RS00515,OANT_RS18200,7.86e-90,265,52.632,9.22e-85,251,52.632
BME_RS00545,OANT_RS05245,2.93e-14,55.5,100,1.86e-14,55.5,100
BME_RS00555,OANT_RS05250,0,912,77.022,0,889,77.022
BME_RS00560,OANT_RS05255,0,772,86.215,0,772,86.215
BME_RS00570,OANT_RS05265,0,1714,95.585,0,1740,95.585
BME_RS00580,OANT_RS05270,0,545,84.478,0,521,83.686
BME_RS00585,OANT_RS05275,0,763,93.22,0,762,93.22
BME_RS00590,OANT_RS05280,2.78e-148,411,78.884,1.8e-148,411,78.884
BME_RS00595,OANT_RS05285,2.93e-91,258,89.855,1.86e-91,258,89.855
BME_RS00600,OANT_RS05290,7.29e-50,151,64.655,5.32e-50,151,64.655
BME_RS00605,OANT_RS04775,4.74e-93,265,77.381,3.1e-93,265,77.381
BME_RS00610,OANT_RS04780,1.61e-164,453,86.538,1.95e-172,473,86.538
BME_RS00615,OANT_RS04785,3.54e-150,413,93.182,1.6e-139,386,93.182
BME_RS00620,OANT_RS04790,0,747,81.579,0,734,82.591
BME_RS00625,OANT_RS04795,0,826,93.911,0,826,93.911
BME_RS00630,OANT_RS04800,1.11e-178,492,87.459,0,511,87.459
BME_RS00635,OANT_RS04805,4.88e-105,296,89.385,1.81e-100,284,89.385
BME_RS00640,OANT_RS04810,0,702,87.99,0,702,87.99
BME_RS00645,OANT_RS04815,0,633,98.125,0,633,98.125
BME_RS00650,OANT_RS04820,0,769,96.985,0,769,96.985
BME_RS00655,OANT_RS04825,0,585,98.333,0,585,98.333
BME_RS00660,OANT_RS04830,0,2003,95.418,0,1976,95.418
BME_RS00665,OANT_RS04835,0,666,89.268,0,643,89.756
BME_RS00670,OANT_RS04840,1.73e-72,210,89.781,5.16e-77,221,89.781
BME_RS00675,OANT_RS04845,2e-142,393,92.453,1.27e-142,393,92.453
BME_RS00680,OANT_RS04850,1.1e-119,333,86.111,7.01e-120,333,86.111
BME_RS00685,OANT_RS04855,0,896,95.966,0,896,95.966
BME_RS00690,OANT_RS04865,4.27e-153,430,61.35,7.87e-149,419,61.791
BME_RS00695,OANT_RS04870,0,575,90.476,0,575,90.476
BME_RS00700,OANT_RS04875,2.02e-118,330,86.702,1.28e-118,330,86.702
BME_RS00705,OANT_RS04880,2.42e-150,416,85.597,1.54e-150,416,85.597
BME_RS00710,OANT_RS10345,2.27e-67,204,51.364,9.4e-73,217,51.364
BME_RS00715,OANT_RS10340,2.21e-55,165,71.429,1.43e-55,165,71.429
BME_RS00720,OANT_RS10335,1.12e-44,139,61.404,6.87e-45,139,61.404
BME_RS00730,OANT_RS17720,3.8e-22,83.2,75.862,7.71e-22,83.2,75.862
BME_RS00740,OANT_RS04890,9.21e-99,277,97.241,5.86e-99,277,97.241
BME_RS00745,OANT_RS04895,0,868,89.979,0,867,90.171
BME_RS00750,OANT_RS04910,2.65e-108,302,98.026,1.68e-108,302,98.026
BME_RS00755,OANT_RS04915,9.01e-90,253,93.939,5.73e-90,253,93.939
BME_RS00760,OANT_RS04920,4.02e-89,252,93.13,2.56e-89,252,93.13
BME_RS00765,OANT_RS04925,0,1233,97.068,0,1233,97.068
BME_RS00770,OANT_RS04930,0,525,97.683,0,525,97.683
BME_RS00775,OANT_RS04935,3.83e-80,228,89.431,2.44e-80,228,89.431
BME_RS00780,OANT_RS04945,0,773,93.961,0,773,93.961
BME_RS00785,OANT_RS04950,0,576,92.333,0,576,92.333
BME_RS00790,OANT_RS04955,0,781,93.764,0,754,93.764
BME_RS00795,OANT_RS04960,0,1489,87.413,0,1471,87.063
BME_RS00800,OANT_RS05000,0,872,84.99,0,872,84.99
BME_RS00805,OANT_RS05005,5.85e-166,459,90.141,3.34e-163,451,90.141
BME_RS00810,OANT_RS05010,2.38e-138,383,85.78,1.51e-138,383,85.78
BME_RS00815,OANT_RS05015,7.27e-100,280,94.964,4.69e-100,280,94.964
BME_RS00820,OANT_RS05020,1.07e-53,159,93.75,9.87e-54,159,93.75
BME_RS00825,OANT_RS05025,0,551,84.308,0,523,84.308
BME_RS00830,OANT_RS05030,0,657,92.758,0,674,92.758
BME_RS00835,OANT_RS05035,0,532,83.439,0,532,83.439
BME_RS00840,OANT_RS05040,1.28e-119,338,72.34,8.42e-120,338,72.34
BME_RS00845,OANT_RS05045,0,607,71.639,0,604,68.421
BME_RS00850,OANT_RS05050,0,795,79.137,0,782,78.891
BME_RS00855,OANT_RS05055,5.25e-87,249,75.472,3.34e-87,249,75.472
BME_RS00860,OANT_RS05060,0,726,90.268,0,691,90.268
BME_RS00865,OANT_RS05295,0,525,89.116,0,514,89.116
BME_RS00870,OANT_RS05300,7.45e-162,446,82.443,2.11e-153,424,82.443
BME_RS00875,OANT_RS05305,2.85e-51,153,79.545,1.81e-51,153,79.545
BME_RS00880,OANT_RS05310,2e-168,465,76.761,1.65e-165,457,76.761
BME_RS00885,OANT_RS05315,1.28e-90,256,82.27,8.14e-91,256,82.27
BME_RS00890,OANT_RS05320,1.2e-177,489,84.983,2.22e-161,447,84.983
BME_RS00895,OANT_RS05325,1.08e-169,465,92.742,6.49e-177,483,92.742
BME_RS00900,OANT_RS05330,0,837,96.69,0,837,96.69
BME_RS00905,OANT_RS05335,0,1419,92.196,0,1402,92.196
BME_RS00910,OANT_RS05340,0,687,94.944,0,687,94.944
BME_RS00915,OANT_RS05345,4.09e-159,442,77.58,2.48e-159,442,77.58
BME_RS00920,OANT_RS05350,1.84e-80,240,75.285,6.83e-91,266,71.863
BME_RS00925,OANT_RS05355,0,1672,94.394,0,1672,94.394
BME_RS00930,OANT_RS05360,0,799,82.582,0,799,82.582
BME_RS00935,OANT_RS05365,0,1193,89.401,0,1192,89.401
BME_RS00975,OANT_RS03335,0,630,63.598,0,630,63.598
BME_RS00980,OANT_RS23285,6.82e-95,274,84.768,4.32e-95,274,84.768
BME_RS00985,OANT_RS05435,3.7e-12,50.1,80,2.36e-12,50.1,80
BME_RS00990,OANT_RS05440,1.31e-83,238,89.437,7.56e-84,238,89.437
BME_RS00995,OANT_RS05445,5.8e-59,172,97.701,3.77e-59,172,97.701
BME_RS01005,OANT_RS05455,1.76e-106,300,77.838,6.09e-98,278,77.838
BME_RS01015,OANT_RS05460,0,592,95.455,0,613,95.015
BME_RS01020,OANT_RS05465,0,689,93.915,0,689,93.915
BME_RS01025,OANT_RS05470,0,755,90.632,0,775,90.632
BME_RS01030,OANT_RS05475,6.2e-149,410,90.654,3.82e-149,410,90.654
BME_RS01035,OANT_RS05480,2.64e-79,226,88.889,1.72e-79,226,88.889
BME_RS01040,OANT_RS05485,5.39e-106,297,87.356,3.16e-106,297,87.356
BME_RS01050,OANT_RS05495,0,737,86.525,0,702,87.409
BME_RS01055,OANT_RS05500,0,836,94.118,0,836,94.118
BME_RS01060,OANT_RS05510,4.28e-118,329,89.888,2.66e-118,329,89.888
BME_RS01065,OANT_RS05515,8.63e-47,141,95.238,5.49e-47,141,95.238
BME_RS01070,OANT_RS05520,3.05e-131,365,92.991,1.79e-131,365,92.991
BME_RS01075,OANT_RS05525,0,550,93.174,0,550,93.174
BME_RS01080,OANT_RS05530,0,996,96.988,0,996,96.988
BME_RS01085,OANT_RS05545,1.24e-42,131,87.097,1.05e-42,131,87.097
BME_RS01090,OANT_RS05550,0,557,92.593,0,557,92.593
BME_RS01095,OANT_RS05560,3.02e-151,416,92.453,1.93e-151,416,92.453
BME_RS01100,OANT_RS05565,0,530,93.455,0,530,93.455
BME_RS01105,OANT_RS05575,0,770,93.177,0,801,92.549
BME_RS01110,OANT_RS05580,5.03e-54,161,91.954,1.34e-47,144,91.954
BME_RS01115,OANT_RS05585,2.86e-69,202,90.291,1.92e-69,202,90.291
BME_RS01120,OANT_RS05595,1.2e-147,406,94.203,7.66e-148,406,94.203
BME_RS01125,OANT_RS05600,8e-144,402,90.187,1.05e-144,404,86.667
BME_RS01130,OANT_RS05605,3.47e-138,382,88.263,2.21e-138,382,88.263
BME_RS01135,OANT_RS05610,0,2946,92.688,0,2937,92.688
BME_RS01140,OANT_RS05615,0,735,80.828,0,756,80.828
BME_RS01145,OANT_RS05625,0,1059,97.398,0,1059,97.398
BME_RS01150,OANT_RS05630,0,1160,97.586,0,1160,97.586
BME_RS01155,OANT_RS05635,0,884,93.803,0,884,93.803
BME_RS01160,OANT_RS05640,0,573,93.231,0,583,94.462
BME_RS01165,OANT_RS05645,1.07e-27,92.4,80.556,9.04e-28,92,80.556
BME_RS01170,OANT_RS05650,0,1276,94.163,0,1276,94.163
BME_RS01175,OANT_RS05655,8.65e-65,187,92.632,5.5e-65,187,92.632
BME_RS01185,OANT_RS05660,4.76e-136,378,85.202,7.87e-142,392,85.202
BME_RS01190,OANT_RS05665,0,1698,91.904,0,1698,91.904
BME_RS01195,OANT_RS05670,3.07e-112,315,83.42,4.45e-118,330,83.42
BME_RS01200,OANT_RS05685,1.84e-157,432,97.696,1.17e-157,432,97.696
BME_RS01205,OANT_RS05690,0,572,90.385,0,572,90.385
BME_RS01210,OANT_RS05695,9.86e-80,229,93.431,6.06e-81,231,93.431
BME_RS01215,OANT_RS05700,8.38e-124,344,93.548,5.33e-124,344,93.548
BME_RS01220,OANT_RS05705,0,988,95.285,0,988,95.285
BME_RS01225,OANT_RS05710,0,536,92.808,0,536,92.808
BME_RS01230,OANT_RS05715,0,891,93.376,0,868,94.248
BME_RS01235,OANT_RS05720,4.59e-94,265,94.815,2.92e-94,265,94.815
BME_RS01240,OANT_RS05725,1.65e-89,254,90.345,1.05e-89,254,90.345
BME_RS01245,OANT_RS05735,2.22e-137,382,83.983,3.59e-140,389,83.983
BME_RS01250,OANT_RS05740,0,737,87.857,0,737,87.857
BME_RS01255,OANT_RS05745,0,660,93.472,0,660,93.472
BME_RS01260,OANT_RS05750,0,568,95.033,0,568,95.033
BME_RS01265,OANT_RS05755,0,844,92.609,0,844,92.609
BME_RS01270,OANT_RS05760,0,731,84.163,0,771,85.747
BME_RS01275,OANT_RS05765,9.53e-179,488,95.968,6.06e-179,488,95.968
BME_RS01280,OANT_RS05770,6.55e-73,209,88.596,4.17e-73,209,88.596
BME_RS01285,OANT_RS05775,0,688,90.836,0,688,90.836
BME_RS01295,OANT_RS05785,0,2270,94.814,0,2270,94.814
BME_RS01300,OANT_RS05795,0,700,94.962,0,717,94.962
BME_RS01305,OANT_RS05800,3.24e-167,460,89.354,1.31e-175,481,89.354
BME_RS01310,OANT_RS05805,0,838,97.143,0,838,97.143
BME_RS01315,OANT_RS05820,0,506,87.829,0,507,87.829
BME_RS01320,OANT_RS05825,6.49e-161,443,85.656,4.01e-161,443,85.656
BME_RS01325,OANT_RS05830,5.25e-38,117,96.61,3.34e-38,117,96.61
BME_RS01330,OANT_RS05835,1.11e-85,244,87.413,3.22e-78,225,87.413
BME_RS01335,OANT_RS05840,0,710,90.814,0,710,90.814
BME_RS01340,OANT_RS05845,0,1844,90.997,0,1818,91.288
BME_RS01345,OANT_RS05850,3.51e-71,206,81.89,2.16e-71,206,81.89
BME_RS01350,OANT_RS05855,4.5e-77,220,96.429,2.86e-77,220,96.429
BME_RS01355,OANT_RS05860,1.84e-135,374,97.409,1.18e-135,374,97.409
BME_RS01360,OANT_RS05875,0,568,91.961,0,568,91.961
BME_RS01365,OANT_RS05880,6.72e-132,369,77.13,4.14e-132,369,77.13
BME_RS01370,OANT_RS05885,0,921,90.467,0,921,90.467
BME_RS01375,OANT_RS05890,2e-133,373,78.39,1.3e-133,373,78.39
BME_RS01380,OANT_RS05895,0,804,82.189,0,808,82.189
BME_RS01385,OANT_RS05900,0,608,86.826,0,593,86.826
BME_RS01390,OANT_RS05905,9.88e-144,397,88.073,6.28e-144,397,88.073
BME_RS01395,OANT_RS05910,6.23e-34,109,95.745,9.08e-41,126,95.745
BME_RS01400,OANT_RS05915,0,1098,92.19,0,1098,92.19
BME_RS01405,OANT_RS25405,2.01e-32,104,98.077,7.78e-33,104,98.077
BME_RS01410,OANT_RS06005,1.93e-159,441,79.554,5.08e-154,427,79.554
BME_RS01415,OANT_RS06010,5.55e-104,291,95.862,3.35e-104,291,95.862
BME_RS01420,OANT_RS06015,0,935,97.49,0,935,97.49
BME_RS01425,OANT_RS06020,3.84e-129,361,79.13,1.73e-134,374,79.565
BME_RS01435,OANT_RS06030,0,617,88.268,0,617,89.014
BME_RS01440,OANT_RS06035,8.8e-111,309,96.296,5.67e-111,309,96.296
BME_RS01445,OANT_RS06040,2.99e-42,128,97.015,1.9e-42,128,97.015
BME_RS01450,OANT_RS06045,5.01e-34,107,89.831,3.18e-34,107,89.831
BME_RS01455,OANT_RS06050,0,754,93.204,0,755,93.204
BME_RS01460,OANT_RS06055,2.83e-22,78.2,82.54,1.24e-31,101,82.54
BME_RS01465,OANT_RS06060,0,624,90.419,0,624,90.419
BME_RS01470,OANT_RS06065,1.86e-164,450,94.323,1.19e-164,450,94.323
BME_RS01480,OANT_RS06090,4.17e-113,321,93.182,2.65e-113,321,93.182
BME_RS01485,OANT_RS06095,9.07e-29,94.4,86.885,2.74e-29,95.1,86.885
BME_RS01490,OANT_RS06105,0,1199,90.094,0,1190,90.094
BME_RS01500,OANT_RS06120,0,739,92.519,0,739,92.519
BME_RS01505,OANT_RS06130,0,662,96.716,0,662,96.716
BME_RS01510,OANT_RS06135,0,1250,92.609,0,1267,92.609
BME_RS01515,OANT_RS06140,9.12e-55,162,95.556,5.8e-55,162,95.556
BME_RS01520,OANT_RS06145,1.87e-79,226,91.667,1.19e-79,226,91.667
BME_RS01525,OANT_RS06155,9.02e-112,315,84.239,5.76e-112,315,84.239
BME_RS01530,OANT_RS06160,0,532,93.796,0,532,93.796
BME_RS01535,OANT_RS06165,2.93e-150,416,90.688,2.21e-158,436,90.688
BME_RS01540,OANT_RS06170,1.01e-72,211,72.857,6.62e-73,211,72.857
BME_RS01545,OANT_RS06175,1.16e-106,301,79.581,7.37e-107,301,79.581
BME_RS01550,OANT_RS06180,5.11e-150,414,92.105,3.2e-150,414,92.105
BME_RS01555,OANT_RS06185,2.48e-178,487,95.565,1.57e-178,487,95.565
BME_RS01560,OANT_RS06190,1.6e-51,152,100,1.02e-51,152,100
BME_RS01565,OANT_RS06195,0,1060,84.03,0,1052,84.03
BME_RS01570,OANT_RS06200,0,652,94.169,0,652,94.169
BME_RS01575,OANT_RS06205,0,545,90.313,0,545,90.313
BME_RS01580,OANT_RS06210,0,511,94.297,0,511,94.297
BME_RS01585,OANT_RS06215,2.98e-133,368,96.774,1.9e-133,368,96.774
BME_RS01590,OANT_RS06220,0,574,82.051,0,543,80.571
BME_RS01595,OANT_RS06225,1.69e-135,376,88.688,9.85e-136,377,88.688
BME_RS01600,OANT_RS06230,0,661,90.513,0,679,90.513
BME_RS01605,OANT_RS06235,1.37e-108,304,90.361,8.7e-109,304,90.361
BME_RS01610,OANT_RS06240,5.65e-116,323,97.093,4.35e-116,323,97.093
BME_RS01615,OANT_RS06245,1.02e-142,393,97.073,6.47e-143,393,97.073
BME_RS01620,OANT_RS06250,0,671,97.977,0,671,97.977
BME_RS01625,OANT_RS06255,3.96e-99,279,88.235,2.64e-99,279,88.235
BME_RS01630,OANT_RS06260,2.1e-166,456,97.872,1.34e-166,456,97.872
BME_RS01635,OANT_RS06265,2.16e-106,297,98,1.38e-106,297,98
BME_RS01640,OANT_RS06270,0,526,89.607,0,503,89.607
BME_RS01645,OANT_RS06275,0,889,97.743,0,889,97.743
BME_RS01650,OANT_RS06280,4.32e-123,341,98.802,2.75e-123,341,98.802
BME_RS01660,OANT_RS06285,0,735,79.568,0,729,79.02
BME_RS01665,OANT_RS06290,0,608,70.833,0,609,70.833
BME_RS01670,OANT_RS06295,0,1279,97.352,0,1279,97.352
BME_RS01675,OANT_RS06300,0,877,94.678,0,864,94.808
BME_RS01680,OANT_RS06305,3.36e-120,342,73.82,1.43e-135,381,69.565
BME_RS01685,OANT_RS06315,0,583,92.453,0,551,92.453
BME_RS01690,OANT_RS06320,0,739,94.256,0,739,94.256
BME_RS01695,OANT_RS06325,0,1048,96.435,0,1048,96.435
BME_RS01700,OANT_RS06330,1.06e-121,337,95.266,6.76e-122,337,95.266
BME_RS01705,OANT_RS06335,0,845,97.203,0,845,97.203
BME_RS01710,OANT_RS06340,0,670,72.84,0,651,72.671
BME_RS01715,OANT_RS06515,0,865,97.098,0,865,97.098
BME_RS01725,OANT_RS06510,0,597,94.444,0,597,94.444
BME_RS01730,OANT_RS06505,3.8e-165,454,89.583,2.64e-165,454,89.583
BME_RS01735,OANT_RS06500,1.24e-45,137,94.366,7.86e-46,137,94.366
BME_RS01740,OANT_RS06495,3.2e-93,264,83.117,2.03e-93,264,83.117
BME_RS01745,OANT_RS06490,1.13e-106,298,92.357,7.2e-107,298,92.357
BME_RS01750,OANT_RS06470,0,634,80.241,0,655,80
BME_RS01755,OANT_RS06465,0,661,87.936,0,633,87.936
BME_RS01765,OANT_RS06460,1.33e-107,309,59.916,5.93e-111,317,58.14
BME_RS01770,OANT_RS06455,1.07e-87,261,57.846,2.36e-98,288,60.615
BME_RS01775,OANT_RS06450,1.05e-98,279,86.391,2.1e-83,240,94.406
BME_RS01780,OANT_RS06445,6.15e-173,480,75.931,1.29e-163,456,93.496
BME_RS01800,OANT_RS06435,1.83e-67,196,82.906,1.88e-60,178,82.906
BME_RS01805,OANT_RS06430,3.73e-43,137,74.468,4.73e-57,171,74.468
BME_RS01810,OANT_RS06425,0,672,76.724,0,716,76.724
BME_RS01815,OANT_RS06420,7.77e-129,357,91.053,4.94e-129,357,91.053
BME_RS01820,OANT_RS06415,2.2e-42,129,80,1.4e-42,129,80
BME_RS01825,OANT_RS06410,4.75e-176,483,89.394,3.02e-176,483,89.394
BME_RS01830,OANT_RS25515,3.93e-27,89.7,96.296,2.12e-14,57,96.296
BME_RS01835,OANT_RS06400,0,550,82.143,0,550,82.143
BME_RS01840,OANT_RS06395,2.09e-92,261,90.071,1.33e-92,261,90.071
BME_RS01845,OANT_RS06375,2.08e-11,48.1,100,1.33e-11,48.1,100
BME_RS01850,OANT_RS06370,6.41e-97,274,87.421,4.1e-97,274,87.421
BME_RS01855,OANT_RS06365,0,639,92.515,0,639,92.515
BME_RS01860,OANT_RS06360,0,571,95.364,0,571,95.05
BME_RS01865,OANT_RS06520,1.72e-112,313,90.854,1.1e-112,313,90.854
BME_RS01870,OANT_RS06525,0,1429,94.207,0,1429,94.207
BME_RS01875,OANT_RS06530,0,524,86.942,0,524,86.942
BME_RS01880,OANT_RS06535,3.95e-141,390,92.056,2.51e-141,390,92.056
BME_RS01885,OANT_RS06540,2.76e-139,384,94.737,1.76e-139,384,94.737
BME_RS01890,OANT_RS06545,9.63e-102,287,80.702,6.19e-102,287,80.702
BME_RS01895,OANT_RS06550,8.08e-129,357,93.333,5.14e-129,357,93.333
BME_RS01900,OANT_RS06555,0,908,95.238,0,909,95.238
BME_RS01905,OANT_RS06560,8.38e-165,455,82.156,5.29e-165,455,82.156
BME_RS01955,OANT_RS20965,0,898,91.966,0,898,91.966
BME_RS01960,OANT_RS20970,0,622,96.386,0,622,96.386
BME_RS01965,OANT_RS20975,0,650,96.353,0,650,96.353
BME_RS01970,OANT_RS20980,8.14e-83,246,93.893,1.34e-82,245,93.893
BME_RS01975,OANT_RS20985,0,616,94.848,0,612,94.848
BME_RS01980,OANT_RS20990,6.87e-131,364,92.019,6e-131,364,92.019
BME_RS01990,OANT_RS21005,1.41e-130,363,83.568,8.98e-131,363,83.568
BME_RS02035,OANT_RS20285,4.84e-53,156,94.872,3.08e-53,156,94.872
BME_RS02040,OANT_RS20280,0,857,95.804,0,857,95.804
BME_RS02050,OANT_RS20275,0,822,95.024,0,822,95.024
BME_RS02055,OANT_RS20270,0,738,97.275,0,738,97.275
BME_RS02060,OANT_RS20265,0,766,96.588,0,766,96.588
BME_RS02065,OANT_RS20260,0,547,94.389,0,540,94.389
BME_RS02070,OANT_RS20255,0,535,98.168,0,535,98.168
BME_RS02075,OANT_RS20250,0,1139,89.831,0,1139,89.831
BME_RS02080,OANT_RS20240,0,1650,79.661,0,1694,80.921
BME_RS02085,OANT_RS20235,2.66e-13,52.8,100,1.7e-13,52.8,100
BME_RS02100,OANT_RS08150,6.98e-11,46.6,100,4.44e-11,46.6,100
BME_RS02105,OANT_RS08155,0,568,88.328,0,585,88.328
BME_RS02110,OANT_RS08160,0,718,93.316,0,718,93.316
BME_RS02115,OANT_RS08175,2.93e-77,222,94.615,7.38e-87,246,94.615
BME_RS02120,OANT_RS08180,1.95e-170,466,99.138,1.24e-170,466,99.138
BME_RS02125,OANT_RS08190,4.01e-150,412,96.651,2.55e-150,412,96.651
BME_RS02130,OANT_RS08195,1.05e-128,357,95.455,9.27e-129,357,95.455
BME_RS02135,OANT_RS08200,2.41e-144,406,74.74,2.07e-144,405,74.74
BME_RS02140,OANT_RS08205,6.11e-51,152,92.405,3.97e-51,152,92.405
BME_RS02145,OANT_RS25570,4.72e-64,185,98.901,3e-64,185,98.901
BME_RS02155,OANT_RS08215,0,777,96.915,0,784,96.212
