Abortus2308,O_anthropi,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BAB_RS16495,OANT_RS00690,0,905,93.803,0,905,93.803
BAB_RS16500,OANT_RS00695,0,1896,94.274,0,1896,94.274
BAB_RS16505,OANT_RS00700,0,1089,91.008,0,1087,91.473
BAB_RS16510,OANT_RS00705,0,1566,94.711,0,1566,94.711
BAB_RS16515,OANT_RS00715,0,527,88.129,0,527,88.129
BAB_RS16520,OANT_RS00720,1.39e-81,239,74.194,5.16e-82,240,74.194
BAB_RS16525,OANT_RS00725,4.57e-88,251,80.645,2.93e-88,251,80.645
BAB_RS16530,OANT_RS00730,0,744,97.027,0,744,97.027
BAB_RS16540,OANT_RS00745,0,1013,89.244,0,1012,89.244
BAB_RS16550,OANT_RS00750,0,791,93.24,0,791,93.24
BAB_RS16565,OANT_RS00760,3.14e-135,373,97.861,1.99e-135,373,97.861
BAB_RS16570,OANT_RS00765,6.87e-111,310,91.463,4.35e-111,310,91.463
BAB_RS16575,OANT_RS00770,6.42e-143,394,90.777,3.36e-134,371,90.777
BAB_RS16580,OANT_RS00775,6.19e-135,372,94.737,1.51e-124,346,94.737
BAB_RS16585,OANT_RS00780,1.06e-90,259,83.951,2.47e-90,258,83.951
BAB_RS16590,OANT_RS00785,0,701,93.803,0,701,93.803
BAB_RS16595,OANT_RS00790,0,966,94.318,0,967,94.318
BAB_RS16600,OANT_RS00795,0,1771,91.328,0,1771,91.328
BAB_RS16610,OANT_RS00805,0,1709,94.045,0,1713,92.747
BAB_RS16615,OANT_RS00810,0,551,93.594,0,551,93.594
BAB_RS16620,OANT_RS00815,1.66e-103,290,89.809,1.05e-103,290,89.809
BAB_RS16625,OANT_RS00820,0,528,87.162,0,528,87.162
BAB_RS16630,OANT_RS00825,0,687,89.757,0,687,89.757
BAB_RS16635,OANT_RS00830,1.35e-56,168,76.636,8.56e-57,168,76.636
BAB_RS16640,OANT_RS00835,1.07e-64,187,98.936,6.77e-65,187,98.936
BAB_RS16645,OANT_RS00840,0,564,86.378,0,544,86.378
BAB_RS16650,OANT_RS00845,2.61e-146,405,82.7,1.63e-146,405,82.7
BAB_RS16655,OANT_RS00850,4.41e-131,365,83.945,1.7e-126,353,83.945
BAB_RS16660,OANT_RS00855,0,512,91.756,0,512,91.756
BAB_RS16665,OANT_RS00860,0,827,80.822,0,827,80.822
BAB_RS16670,OANT_RS00870,2.29e-122,341,90.355,1.34e-122,341,90.355
BAB_RS16675,OANT_RS00875,4.35e-105,294,95.455,2.75e-105,294,95.455
BAB_RS16680,OANT_RS00880,9.41e-53,156,90.123,5.95e-53,156,90.123
BAB_RS16685,OANT_RS00885,2.03e-96,271,94.286,1.29e-96,271,94.286
BAB_RS16690,OANT_RS00890,1.08e-104,294,84.848,6.86e-105,294,84.848
BAB_RS16695,OANT_RS00895,1.64e-160,442,90.756,6.85e-166,455,89.919
BAB_RS16700,OANT_RS00900,2.73e-126,355,82.906,3.15e-126,354,82.906
BAB_RS16705,OANT_RS00905,0,635,92.749,0,635,92.749
BAB_RS16710,OANT_RS00910,2.25e-129,361,83.028,1.75e-125,350,83.028
BAB_RS16715,OANT_RS00915,6.48e-130,363,84.375,2.67e-131,366,85.714
BAB_RS16720,OANT_RS00920,0,672,92.978,0,672,92.978
BAB_RS16725,OANT_RS00925,9.9e-172,469,95.798,6.26e-172,469,95.798
BAB_RS16740,OANT_RS00935,3.12e-146,404,88.636,1.97e-146,404,88.636
BAB_RS16745,OANT_RS00940,0,763,90.954,0,771,91.198
BAB_RS16750,OANT_RS00945,0,524,90.759,0,524,90.759
BAB_RS16755,OANT_RS00950,2.78e-76,219,85.6,1.74e-76,219,85.6
BAB_RS16760,OANT_RS00955,0,793,86.526,0,770,86.526
BAB_RS16765,OANT_RS00960,1.89e-54,162,88.043,1.26e-54,162,88.043
BAB_RS16770,OANT_RS00965,0,1063,92.086,0,1063,92.086
BAB_RS16775,OANT_RS00970,1.64e-146,407,85.778,1.75e-155,429,85.417
BAB_RS16780,OANT_RS00975,6.88e-102,288,81.503,4.35e-102,288,81.503
BAB_RS16785,OANT_RS00980,3.56e-62,181,87.629,2.25e-62,181,87.629
BAB_RS16790,OANT_RS00985,1.16e-115,324,81.25,7.34e-116,324,81.25
BAB_RS16795,OANT_RS00990,1.23e-51,153,96.296,7.77e-52,153,96.296
BAB_RS16800,OANT_RS00995,1.54e-49,152,72.143,5.78e-49,150,74.286
BAB_RS16805,OANT_RS01000,0,2367,91.581,0,2374,91.39
BAB_RS16810,OANT_RS01005,5.82e-131,366,70.213,3.68e-131,366,70.213
BAB_RS16815,OANT_RS01010,0,880,93.64,0,880,93.64
BAB_RS16820,OANT_RS01015,0,578,93.791,0,576,93.791
BAB_RS16825,OANT_RS01020,0,1169,87.422,0,1169,87.422
BAB_RS16830,OANT_RS01025,1.45e-144,404,74.46,1.14e-144,404,74.46
BAB_RS16835,OANT_RS01030,1.87e-11,48.1,96,1.18e-11,48.1,96
BAB_RS16840,OANT_RS01415,5.69e-156,431,80.632,3.6e-156,431,80.632
BAB_RS16845,OANT_RS01420,1.08e-126,356,71.548,6.73e-127,356,71.548
BAB_RS16850,OANT_RS01425,2.44e-167,460,86.59,1.54e-167,460,86.59
BAB_RS16855,OANT_RS01430,0,871,86.282,0,862,86.282
BAB_RS16860,OANT_RS01435,0,561,87.926,0,561,87.926
BAB_RS16865,OANT_RS01440,2.05e-156,452,93.59,1.17e-164,473,93.59
BAB_RS16870,OANT_RS01445,0,671,94.186,0,671,94.186
BAB_RS16875,OANT_RS01450,1.92e-78,224,92.437,1.1e-78,224,92.437
BAB_RS16880,OANT_RS01455,0,602,87.316,0,602,87.316
BAB_RS16905,OANT_RS01470,0,918,96.017,0,918,96.017
BAB_RS16910,OANT_RS01475,1.22e-165,456,90.698,7.74e-166,456,90.698
BAB_RS16915,OANT_RS01480,1.98e-158,435,90.043,1.24e-158,435,90.043
BAB_RS16920,OANT_RS01485,0,603,88.82,0,603,88.82
BAB_RS16925,OANT_RS01490,5.54e-128,356,84.925,3.61e-128,356,84.925
BAB_RS16930,OANT_RS01495,3.85e-178,487,92.578,1.29e-171,470,92.578
BAB_RS16935,OANT_RS01500,3.73e-22,77.8,73.846,8.33e-28,91.7,73.846
BAB_RS16940,OANT_RS01505,0,580,84.731,0,562,84.731
BAB_RS16945,OANT_RS01510,2.84e-163,452,81.443,2.8e-161,447,81.443
BAB_RS16950,OANT_RS01515,0,1246,85.714,0,1246,85.714
BAB_RS16955,OANT_RS01520,0,1325,89.319,0,1338,90.244
BAB_RS16960,OANT_RS01560,1.41e-101,285,91.892,8.92e-102,285,91.892
BAB_RS16965,OANT_RS01565,1.56e-139,389,86.179,2.43e-140,390,86.179
BAB_RS16970,OANT_RS01570,0,559,88.782,0,559,88.782
BAB_RS16975,OANT_RS01575,1.71e-176,495,75.949,0,508,75.949
BAB_RS16980,OANT_RS01580,0,563,92.233,0,563,92.233
BAB_RS16990,OANT_RS01585,0,797,90.261,0,797,90.261
BAB_RS16995,OANT_RS01590,0,796,94.724,0,797,94.724
BAB_RS17000,OANT_RS01595,9.92e-70,200,92.079,6.28e-70,200,92.079
BAB_RS17015,OANT_RS01600,0,895,93.946,0,896,93.946
BAB_RS17020,OANT_RS01605,1.11e-105,298,80,6.85e-106,298,80
BAB_RS17025,OANT_RS01620,3.47e-162,449,73.05,2.19e-162,449,73.05
BAB_RS17030,OANT_RS01625,2.06e-176,483,89.272,1.3e-176,483,89.272
BAB_RS17035,OANT_RS01630,0,763,86.788,0,780,86.788
BAB_RS17040,OANT_RS01635,2.16e-180,496,91.582,0,497,91.582
BAB_RS17045,OANT_RS01640,0,527,85.862,0,527,85.862
BAB_RS17050,OANT_RS01645,0,678,89.532,0,678,89.532
BAB_RS17055,OANT_RS01650,0,702,90.027,0,683,90.027
BAB_RS17060,OANT_RS01655,3.93e-72,207,87.037,2.4e-72,207,87.037
BAB_RS17065,OANT_RS01660,0,650,86.908,0,650,86.908
BAB_RS17075,OANT_RS01670,2e-158,436,86.885,1.26e-158,436,86.885
BAB_RS17080,OANT_RS01675,0,536,90,0,536,90
BAB_RS17085,OANT_RS01680,0,809,90.588,0,809,90.588
BAB_RS17125,OANT_RS16440,1.16e-20,87.8,39.394,4.15e-24,97.1,39.394
BAB_RS17215,OANT_RS04625,3.81e-14,58.9,41.975,2.47e-14,58.9,41.975
BAB_RS17255,OANT_RS01690,7.48e-13,51.6,100,4.73e-13,51.6,100
BAB_RS17260,OANT_RS01695,5.66e-37,115,76.812,3.58e-37,115,76.812
BAB_RS17265,OANT_RS01700,7.12e-135,374,87.5,4.51e-135,374,87.5
BAB_RS17270,OANT_RS01705,2.21e-49,147,100,1.4e-49,147,100
BAB_RS17275,OANT_RS01710,8.52e-93,263,85.714,5.25e-93,263,85.714
BAB_RS17280,OANT_RS01715,5.93e-111,309,93.125,3.75e-111,309,93.125
BAB_RS17285,OANT_RS01720,0,783,90.698,0,783,90.698
BAB_RS17290,OANT_RS01725,7.61e-93,262,85.616,4.82e-93,262,85.616
BAB_RS17295,OANT_RS01730,0,803,93.706,0,806,93.706
BAB_RS17300,OANT_RS25235,1.08e-24,84.7,79.63,5.13e-25,84.7,79.63
BAB_RS17305,OANT_RS01740,7.05e-11,46.6,100,4.46e-11,46.6,100
BAB_RS17330,OANT_RS09255,1.88e-14,59.7,47.561,1.14e-14,59.7,47.561
BAB_RS17340,OANT_RS01750,4.16e-159,441,78.092,2.66e-159,441,78.092
BAB_RS17345,OANT_RS01755,5.45e-66,191,95,3.45e-66,191,95
BAB_RS17355,OANT_RS01765,3.15e-64,186,87.129,1.99e-64,186,87.129
BAB_RS17360,OANT_RS01770,0,1135,95.439,0,1135,95.439
BAB_RS17365,OANT_RS01775,5.15e-86,247,88.028,2.94e-86,247,88.112
BAB_RS17370,OANT_RS01780,8.04e-125,350,78.07,2.04e-122,343,78.07
BAB_RS17375,OANT_RS01785,2.93e-142,392,91.262,1.84e-142,392,91.262
BAB_RS17380,OANT_RS01795,2.24e-13,53.1,100,1.41e-13,53.1,100
BAB_RS17385,OANT_RS01800,0,860,86.434,0,874,86.434
BAB_RS17390,OANT_RS01805,0,595,80.739,0,598,80.739
BAB_RS17395,OANT_RS01810,0,1820,93.465,0,1843,93.229
BAB_RS17410,OANT_RS01840,0,802,92.771,0,802,92.771
BAB_RS17415,OANT_RS01845,3.67e-138,384,80.603,2.37e-138,384,80.603
BAB_RS17425,OANT_RS01925,0,852,94.037,0,852,94.037
BAB_RS17430,OANT_RS01930,0,826,80.847,0,816,82.526
BAB_RS17435,OANT_RS01940,3.37e-90,256,89.051,2.7e-95,268,87.671
BAB_RS17440,OANT_RS01945,0,1048,91.985,0,1048,91.985
BAB_RS17445,OANT_RS01950,0,629,88.385,0,647,88.385
BAB_RS17450,OANT_RS01955,1.38e-145,404,83.475,8.49e-146,404,83.475
BAB_RS17460,OANT_RS01965,0,1056,85.714,0,1056,85.714
BAB_RS17465,OANT_RS01970,1.29e-107,305,70.792,8.4e-108,305,70.792
BAB_RS17470,OANT_RS01975,0,620,85.149,0,606,85.149
BAB_RS17475,OANT_RS01980,0,1982,94.37,0,1981,94.981
BAB_RS17485,OANT_RS01985,1.99e-138,389,66.784,1.27e-138,389,66.784
BAB_RS17490,OANT_RS01990,0,906,72.991,0,887,72.991
BAB_RS17495,OANT_RS01995,0,534,88.818,0,526,89.577
BAB_RS17500,OANT_RS02000,0,711,81.221,0,711,81.221
BAB_RS17505,OANT_RS02065,8.5e-114,318,91.111,2.18e-112,314,91.111
BAB_RS17510,OANT_RS02070,0,776,92.786,0,776,92.786
BAB_RS17515,OANT_RS02075,0,619,93.91,0,619,93.91
BAB_RS17520,OANT_RS02080,0,617,88.166,0,617,88.166
BAB_RS17525,OANT_RS02085,7.25e-80,228,82.308,4.58e-80,228,82.308
BAB_RS17530,OANT_RS02090,0,767,93.199,0,767,93.199
BAB_RS17540,OANT_RS02095,0,683,93.388,0,683,93.388
BAB_RS17545,OANT_RS02100,0,607,90,0,586,90
BAB_RS17550,OANT_RS02105,7.69e-53,157,87.5,4.86e-53,157,87.5
BAB_RS17555,OANT_RS02110,9.97e-100,281,84.375,6.3e-100,281,84.375
BAB_RS17560,OANT_RS02115,0,762,86.755,0,795,86.755
BAB_RS17565,OANT_RS02120,0,649,87.293,0,649,87.293
BAB_RS17570,OANT_RS02125,1.89e-68,198,82.759,1.19e-68,198,82.759
BAB_RS17575,OANT_RS02130,3.57e-69,203,70.714,2.17e-69,203,70.714
BAB_RS17580,OANT_RS02135,0,612,93.038,0,612,93.038
BAB_RS17585,OANT_RS02140,1.95e-130,363,90.047,4.72e-128,357,90.047
BAB_RS17590,OANT_RS02145,0,2047,87.447,0,2044,87.447
BAB_RS17595,OANT_RS02150,7.01e-87,247,90.441,4.4e-87,247,90.441
BAB_RS17600,OANT_RS02160,0,795,94.353,0,794,94.353
BAB_RS17605,OANT_RS02170,3.69e-107,306,61.373,2.34e-107,306,61.373
BAB_RS17610,OANT_RS02175,4.42e-110,314,62.979,2.98e-110,314,62.979
BAB_RS17615,OANT_RS02185,2.44e-101,290,62.871,1.41e-101,290,62.871
BAB_RS17620,OANT_RS02190,1.65e-38,119,93.443,1.04e-38,119,93.443
BAB_RS17625,OANT_RS02195,6.82e-170,469,81.757,6.39e-163,451,81.757
BAB_RS17630,OANT_RS02200,5.19e-78,224,88.806,6.06e-83,236,88.806
BAB_RS17635,OANT_RS02205,1.54e-150,416,91.703,9.59e-151,416,91.703
BAB_RS17640,OANT_RS02225,0,670,78.502,0,687,78.502
BAB_RS17645,OANT_RS02230,0,501,84.3,0,501,84.3
BAB_RS17650,OANT_RS02235,0,499,89.011,0,499,89.011
BAB_RS17655,OANT_RS02270,0,511,94.961,0,511,94.961
BAB_RS17665,OANT_RS02295,0,725,94.795,0,725,94.795
BAB_RS17670,OANT_RS02300,0,836,97.337,0,836,97.337
BAB_RS17675,OANT_RS02305,0,659,94.69,0,659,94.69
BAB_RS17685,OANT_RS02310,0,764,91.647,0,754,91.787
BAB_RS17690,OANT_RS02315,1.58e-107,301,85.549,9.93e-108,301,85.549
BAB_RS17695,OANT_RS02320,0,825,88.017,0,825,88.017
BAB_RS17700,OANT_RS02325,4.33e-134,372,91.981,4.93e-142,392,91.981
BAB_RS17705,OANT_RS02330,1.08e-104,294,84.066,7.79e-105,294,84.066
BAB_RS17710,OANT_RS02335,0,892,90.613,0,913,90.613
BAB_RS17715,OANT_RS02340,0,686,93.867,0,658,93.6
BAB_RS17720,OANT_RS02350,0,534,93.358,0,534,93.358
BAB_RS17725,OANT_RS02355,0,924,92.842,0,901,92.842
BAB_RS17735,OANT_RS02365,0,862,86.82,0,862,86.82
BAB_RS17740,OANT_RS02370,0,1331,91.136,0,1340,91.136
BAB_RS17745,OANT_RS02375,1.56e-162,450,77.891,8.78e-154,427,77.143
BAB_RS17755,OANT_RS02385,0,796,92.944,0,796,92.944
BAB_RS17760,OANT_RS02390,0,837,92.148,0,837,92.148
BAB_RS17765,OANT_RS02415,0,741,89.696,0,756,89.696
BAB_RS17770,OANT_RS02420,4.44e-29,94.4,92.308,1.16e-19,70.1,92.308
BAB_RS17775,OANT_RS02425,0,1358,88.032,0,1358,88.032
BAB_RS17780,OANT_RS02430,9.75e-111,309,89.091,6.17e-111,309,89.091
BAB_RS17785,OANT_RS02435,0,980,90.211,0,980,90.211
BAB_RS17790,OANT_RS02440,0,543,89.895,0,543,89.895
BAB_RS17795,OANT_RS02445,3.17e-28,92.4,80.769,2.01e-28,92.4,80.769
BAB_RS17800,OANT_RS02450,7.25e-177,483,94.239,4.59e-177,483,94.239
BAB_RS17805,OANT_RS02455,0,1050,94.455,0,1050,94.455
BAB_RS17820,OANT_RS02480,3.89e-121,338,85.222,6.89e-122,340,85.222
BAB_RS17835,OANT_RS02490,0,650,86.15,0,650,86.15
BAB_RS17840,OANT_RS02500,2.7e-73,211,85.217,1.71e-73,211,85.217
BAB_RS17845,OANT_RS02505,6.09e-174,484,68.314,3.85e-174,484,68.314
BAB_RS17850,OANT_RS02530,0,603,82.908,0,609,82.908
BAB_RS17855,OANT_RS02535,0,700,82.238,0,700,82.238
BAB_RS17860,OANT_RS02540,0,541,77.246,0,541,77.246
BAB_RS17865,OANT_RS02545,1.84e-136,379,84.932,7.7e-131,364,84.932
BAB_RS17870,OANT_RS02550,0,904,93.996,0,932,93.996
BAB_RS17875,OANT_RS02575,0,803,89.498,0,803,89.498
BAB_RS17880,OANT_RS02605,0,792,87.879,0,792,87.879
BAB_RS17885,OANT_RS02610,1.27e-80,230,86.364,3.41e-73,211,86.364
BAB_RS17890,OANT_RS02615,1.7e-170,467,95.181,1.08e-170,467,95.181
BAB_RS17895,OANT_RS02620,1.32e-47,142,100,8.35e-48,142,100
BAB_RS17900,OANT_RS02625,1.49e-134,373,91.22,9.29e-135,373,91.22
BAB_RS17905,OANT_RS02630,5.3e-97,274,86.792,3.35e-97,274,86.792
BAB_RS17910,OANT_RS02645,8.86e-136,377,88.532,3.2e-136,378,87.727
BAB_RS17915,OANT_RS02650,0,748,92.051,0,748,92.051
BAB_RS17920,OANT_RS02655,6.59e-69,204,68.072,6.43e-76,221,68.072
BAB_RS17925,OANT_RS06990,7.71e-28,93.6,77.108,3.65e-37,116,77.108
BAB_RS17930,OANT_RS02660,4e-37,116,89.61,7.38e-36,112,89.61
BAB_RS17935,OANT_RS02670,7.17e-138,389,69.831,4.66e-138,389,69.831
BAB_RS17940,OANT_RS02675,6.24e-40,122,95.082,3.95e-40,122,95.082
BAB_RS17945,OANT_RS02685,0,650,84.478,0,630,84.478
BAB_RS17950,OANT_RS02695,4.8e-141,394,81.176,4.99e-141,393,81.176
BAB_RS17955,OANT_RS02700,2.26e-45,137,93.151,1.41e-45,137,93.151
BAB_RS17960,OANT_RS02705,0,654,95.562,0,654,95.562
BAB_RS17965,OANT_RS02710,0,1074,86.312,0,1053,86.312
BAB_RS17970,OANT_RS02715,0,621,94.855,0,621,94.855
BAB_RS17980,OANT_RS02720,0,1411,91.892,0,1434,91.892
BAB_RS17985,OANT_RS02730,0,538,83.282,0,538,83.282
BAB_RS17990,OANT_RS02735,0,928,95.106,0,909,95.106
BAB_RS18005,OANT_RS02740,1.43e-120,336,94.149,1.01e-120,336,94.149
BAB_RS18010,OANT_RS02745,2.73e-157,434,86.4,1.72e-157,434,86.4
BAB_RS18015,OANT_RS02750,0,1086,92.399,0,1104,92.399
BAB_RS18020,OANT_RS04900,5.88e-62,201,35.864,5.44e-63,204,35.864
BAB_RS18025,OANT_RS02755,0,796,91.726,0,771,91.726
BAB_RS18030,OANT_RS02760,0,581,89.489,0,535,89.489
BAB_RS18035,OANT_RS02765,3.12e-141,389,91.626,1.98e-141,389,91.626
BAB_RS18040,OANT_RS02775,7.17e-76,217,86.441,4.54e-76,217,86.441
BAB_RS18045,OANT_RS02780,4.67e-166,461,86.751,2.5e-171,474,87.107
BAB_RS18050,OANT_RS02785,0,546,97.794,0,546,97.794
BAB_RS18055,OANT_RS02790,1.19e-141,390,94.388,7.54e-142,390,94.388
BAB_RS18080,OANT_RS02800,1.41e-49,148,86.747,8.92e-50,148,86.747
BAB_RS18085,OANT_RS02805,0,692,93.956,0,693,93.956
BAB_RS18090,OANT_RS02810,0,712,92.453,0,712,92.453
BAB_RS18095,OANT_RS02815,0,579,87.342,0,579,87.342
