O_anthropi,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
OANT_RS00495,SMc03836,1.7e-86,254,60.386,1.29e-86,254,60.386
OANT_RS00500,SMc03837,3.42e-116,329,73.451,2.68e-116,329,73.451
OANT_RS00505,SMc03838,0,971,62.426,0,992,62.426
OANT_RS00510,SMc03839,2.36e-120,341,69.231,1.1e-115,329,69.231
OANT_RS00515,SMc03840,2.36e-59,181,54.07,1.94e-59,181,54.07
OANT_RS00520,SMc03844,7.65e-50,153,69,1.24e-49,152,69
OANT_RS00525,SMc03845,9.12e-61,190,44.196,8.07e-61,190,44.196
OANT_RS00535,SMc03846,0,1536,83.408,0,1537,83.408
OANT_RS00540,SMc03847,6.52e-71,212,53.96,5.23e-71,212,53.96
OANT_RS00545,SMc03848,5.59e-93,269,74.208,1.25e-88,258,74.641
OANT_RS00550,SMc03849,7.91e-139,388,74.016,6.07e-139,388,74.016
OANT_RS00560,SMc03851,5.61e-75,221,55.44,4.66e-75,221,55.44
OANT_RS00570,SMc04045,0,1057,83.633,0,1036,83.633
OANT_RS00580,SM_b20934,1.39e-13,61.6,37.5,1.54e-13,61.6,37.5
OANT_RS00585,SMc02235,5.15e-41,126,70.513,4.09e-41,126,70.513
OANT_RS00595,SMc02317,4.21e-43,136,54.31,3.18e-43,136,54.31
OANT_RS00610,SM_b21133,7.2e-163,456,68.882,2.79e-167,467,69.876
OANT_RS00615,SM_b21132,5.38e-136,384,72.822,1.31e-142,400,72.822
OANT_RS00620,SM_b21131,5.4e-147,412,76.897,5.13e-143,401,76.897
OANT_RS00625,SM_b21130,0,531,75.581,0,531,75.581
OANT_RS00630,SMc04382,0,3091,53.784,0,3084,53.784
OANT_RS00635,SMc02276,0,757,83.871,0,757,83.871
OANT_RS00645,SMc01426,4.37e-109,311,59.504,3.43e-109,311,59.504
OANT_RS00650,SMc00423,1.22e-25,96.3,29.208,9.99e-26,96.3,29.208
OANT_RS00655,SMc02164,8.39e-134,379,62.418,4.39e-141,398,62.418
OANT_RS00660,SMa1757,9.79e-102,294,60,3.61e-110,315,60
OANT_RS00665,SMc02856,0,792,59.855,0,831,56.443
OANT_RS00685,SMc00342,3.25e-101,289,69.268,2.62e-101,289,69.268
OANT_RS00690,SMc02852,0,762,78.556,0,762,78.556
OANT_RS00695,SMc02850,0,1538,75.398,0,1556,75.398
OANT_RS00700,SMc01090,0,599,55.769,0,591,55.957
OANT_RS00705,SMc02782,0,1309,79.238,0,1311,79.238
OANT_RS00710,SMc02579,0,564,61.242,0,564,61.242
OANT_RS00715,SMc01273,2.83e-146,409,68.841,2.24e-146,409,68.841
OANT_RS00720,SMc01272,4.02e-55,172,47,2.03e-55,173,47
OANT_RS00730,SMc01270,0,561,72.606,0,561,72.606
OANT_RS00745,SMc02586,0,939,61.22,0,967,61.22
OANT_RS00750,SMc02585,1.73e-163,464,57.488,2.13e-153,439,57.488
OANT_RS00755,SMc01008,5.33e-48,149,54.015,4.41e-48,149,54.015
OANT_RS00760,SMc02584,6.67e-103,292,78.333,3.56e-98,280,78.333
OANT_RS00765,SMc02583,3.07e-70,207,63.226,2.59e-70,207,63.226
OANT_RS00770,SMc02582,1.18e-80,239,54.911,1.27e-80,239,54.911
OANT_RS00775,SMc01119,6.19e-105,297,75.263,4.87e-105,297,75.263
OANT_RS00780,SMc01120,2.2e-71,210,66.258,5.29e-65,193,66.258
OANT_RS00785,SMc01121,0,528,71.186,0,528,71.186
OANT_RS00790,SMc01123,0,795,81.939,0,829,81.939
OANT_RS00795,SMc01124,0,1231,66.413,0,1251,66.413
OANT_RS00800,SMc01126,0,1183,77.441,0,1210,77.441
OANT_RS00805,SMc01125,0,1234,72.297,0,1294,72.297
OANT_RS00810,SMc01127,7.95e-114,327,59.924,6.65e-114,327,59.924
OANT_RS00815,SMc01129,2.29e-53,164,49.08,1.89e-53,164,49.08
OANT_RS00820,SMc01130,4.04e-138,389,67.766,3.15e-138,389,67.766
OANT_RS00825,SMc01131,2.62e-155,440,60.622,2.44e-155,440,60.779
OANT_RS00830,SMc01133,9.68e-27,93.2,48.454,8.19e-27,93.2,48.454
OANT_RS00835,SMc01134,1.6e-54,162,85.714,2.07e-54,162,85.714
OANT_RS00840,SMc01135,9.17e-104,304,51.713,7.2e-104,304,51.713
OANT_RS00845,SMc01136,1.71e-37,128,35.897,1.79e-38,130,35.5
OANT_RS00850,SMc01137,2.65e-39,131,44.242,3.84e-41,135,42.105
OANT_RS00855,SMc01138,1e-140,394,79.339,1.61e-141,396,76.378
OANT_RS00860,SMc01139,0,589,58.56,0,589,58.56
OANT_RS00870,SMc01140,3.69e-78,229,57.143,5.15e-69,206,57.143
OANT_RS00875,SMc01141,2.4e-75,219,69.481,1.91e-75,219,69.481
OANT_RS00880,SMc01107,5.63e-27,91.7,51.316,4.69e-27,91.7,51.316
OANT_RS00885,SMc01106,1.87e-75,218,72.727,1.51e-75,218,72.727
OANT_RS00890,SMc02842,3.72e-46,146,53.425,1.22e-51,160,53.75
OANT_RS00895,SMc02843,1.19e-133,375,79.821,5e-127,358,72.016
OANT_RS00900,SMc02882,4.54e-90,263,62.931,2.77e-91,266,62.14
OANT_RS00905,SMc02846,5.83e-166,463,68.882,4.61e-166,463,68.882
OANT_RS00910,SMc00330,1.04e-78,232,58.373,3.61e-80,236,58.373
OANT_RS00915,SMc01142,1.83e-82,242,73.248,3.21e-82,241,73.248
OANT_RS00920,SMc01143,3.51e-178,496,68.876,2.81e-178,496,68.876
OANT_RS00925,SMc01144,7.91e-146,404,78.571,6.31e-146,404,78.571
OANT_RS00930,SMc01145,3.02e-50,154,55.469,2.45e-50,154,55.469
OANT_RS00935,SMc01146,2.32e-114,323,72.17,1.8e-114,323,72.17
OANT_RS00940,SMc01147,0,521,66.048,0,521,66.048
OANT_RS00945,SMc00416,4.27e-119,342,61.905,1.86e-115,332,62.116
OANT_RS00950,SMc00418,2.48e-45,141,63.158,1.92e-45,141,63.158
OANT_RS00955,SMc01053,0,595,64.731,0,580,64.731
OANT_RS00960,SMc01054,3.71e-31,103,62.5,2.95e-31,103,62.5
OANT_RS00965,SMc02124,0,891,77.049,0,895,76.619
OANT_RS00970,SMc00092,9.18e-29,107,32.093,1.05e-28,107,32.093
OANT_RS00975,SMc02123,2.19e-32,111,40.719,1.66e-32,111,40.719
OANT_RS00985,SM_b20708,2.12e-34,117,38.922,1.6e-34,117,38.922
OANT_RS01000,SMc03112,0,2124,81.3,0,2133,81.564
OANT_RS01005,SMc00170,9.9e-24,93.2,34.031,8.2e-24,93.2,34.031
OANT_RS01010,SM_b20379,0,537,57.08,0,554,57.08
OANT_RS01015,SM_b21223,0,501,77.517,8.88e-172,475,77.517
OANT_RS01020,SM_b21224,0,818,63.681,0,818,63.681
OANT_RS01025,SMc01952,1.57e-91,269,53.906,1.3e-85,254,53.906
OANT_RS01030,SMc00126,1.24e-08,41.2,84,9.86e-09,41.2,84
OANT_RS01140,SMc04198,6.66e-71,214,48.305,5.16e-71,214,48.305
OANT_RS01385,SMc04183,2.37e-10,56.6,39.56,2.13e-10,56.6,39.56
OANT_RS01395,SM_b20921,5.79e-25,86.3,60.274,4.6e-25,86.3,60.274
OANT_RS01425,SMc02521,1.64e-138,387,73.81,1.26e-138,387,73.81
OANT_RS01430,SMc02520,0,691,70,0,693,70
OANT_RS01435,SMc02690,7.49e-105,307,53.605,5.86e-105,307,53.605
OANT_RS01440,SMc02689,0,865,81.162,0,846,81.162
OANT_RS01445,SMa1296,1.41e-157,442,63.127,1.11e-157,442,63.127
OANT_RS01450,SMc02688,2.41e-55,166,70.536,2.01e-55,166,70.536
OANT_RS01460,SMc00195,0,697,54.992,0,697,54.992
OANT_RS01465,SM_b20941,0,868,73.613,0,882,73.613
OANT_RS01470,SM_b20891,0,836,87.002,0,846,87.002
OANT_RS01490,SM_b20618,2.76e-96,276,68,1.86e-102,291,68
OANT_RS01495,SM_b20617,9.87e-115,327,68.526,3.66e-122,345,67.984
OANT_RS01505,SM_b20616,1.09e-112,328,53.56,8.4e-113,328,53.56
OANT_RS01510,SM_b20962,4.58e-92,271,60.837,1.17e-92,272,60.837
OANT_RS01515,SMa1548,1.62e-145,449,40.085,1.18e-145,450,40.085
OANT_RS01520,SM_b21578,0,1073,66.871,0,1070,66.871
OANT_RS01525,SM_b21373,1.06e-174,493,65.337,0,526,65.337
OANT_RS01530,SM_b21374,1.69e-134,382,60.772,1.33e-134,382,60.772
OANT_RS01535,SM_b21375,1.01e-174,484,77.377,8.06e-175,484,77.377
OANT_RS01540,SM_b21376,0,649,65.996,0,649,65.996
OANT_RS01545,SM_b21377,3.2e-140,395,72.449,1.69e-144,405,72.449
OANT_RS01555,SMc00110,0,1203,75.707,0,1206,75.707
OANT_RS01565,SM_b21147,2.37e-112,320,71.915,7.78e-107,306,72.973
OANT_RS01570,SM_b21146,5.04e-149,418,66.129,4.01e-149,418,66.129
OANT_RS01575,SM_b21145,8.9e-141,404,65.385,2.61e-138,398,64.175
OANT_RS01580,SM_b21144,1.79e-173,480,87.097,3.79e-179,494,81.672
OANT_RS01585,SMa0228,3.03e-50,173,33.24,1.6e-55,187,33.24
OANT_RS01590,SMc03933,0,626,75.06,0,633,75.06
OANT_RS01595,SMc03932,1.76e-45,140,65.347,1.56e-45,140,65.347
OANT_RS01600,SMc03931,0,1201,60.782,0,1211,61.184
OANT_RS01605,SMc03930,5.15e-23,88.2,33.714,4.18e-23,88.2,33.714
OANT_RS01610,SM_b21089,6.44e-175,489,86.577,3.76e-175,489,86.577
OANT_RS01615,SM_b21090,0,516,66.133,9.37e-179,499,65.6
OANT_RS01620,SM_b21101,3.69e-133,375,64.894,2.89e-133,375,64.894
OANT_RS01625,SM_b21102,1.08e-155,431,80.784,8.49e-156,431,80.784
OANT_RS01630,SM_b21103,0,704,80.182,0,709,82.185
OANT_RS01635,SM_b21104,1.42e-175,484,79.322,2.33e-157,438,79.322
OANT_RS01640,SM_b21105,0,510,86.014,0,510,86.014
OANT_RS01645,SM_b21106,0,565,73.626,0,565,73.626
OANT_RS01650,SM_b21107,0,694,89.73,0,694,89.73
OANT_RS01655,SM_b21108,2.68e-71,205,85.321,2.11e-71,205,85.321
OANT_RS01660,SM_b21109,0,576,79.155,0,587,79.155
OANT_RS01665,SM_b21110,8.35e-98,276,88.435,6.86e-98,276,88.435
OANT_RS01670,SM_b21111,4.67e-143,398,79.508,3.71e-143,398,79.508
OANT_RS01675,SM_b21112,0,498,85,0,498,85
OANT_RS01680,SM_b21113,0,758,85.176,0,758,85.176
OANT_RS01690,SMc02207,9.42e-13,51.6,100,7.48e-13,51.6,100
OANT_RS01695,SMc02312,2.25e-23,81.6,70.833,1.76e-23,81.6,70.833
OANT_RS01700,SMc02311,1.53e-91,264,61.165,1.2e-91,264,61.165
OANT_RS01705,SMc02310,2.32e-48,144,98.611,1.84e-48,144,98.611
OANT_RS01710,SMc02309,4.54e-63,188,64.748,3.75e-63,188,64.748
OANT_RS01715,SMc02308,1.19e-87,251,76.623,9.34e-88,251,76.623
OANT_RS01720,SMc02307,0,641,75.587,0,641,75.587
OANT_RS01725,SMc02306,4.6e-45,142,49.655,3.65e-45,142,49.655
OANT_RS01730,SMc02305,0,702,80.186,0,684,80.186
OANT_RS01740,SMc02208,9.24e-08,38.9,84,7.34e-08,38.9,84
OANT_RS01745,SMc00506,7.59e-108,311,55.762,6.01e-108,311,55.762
OANT_RS01750,SMc01942,2.22e-76,231,45.126,1.73e-76,231,45.126
OANT_RS01755,SMc01941,3.57e-64,186,90,2.84e-64,186,90
OANT_RS01765,SMc01939,4.16e-51,154,70.297,3.3e-51,154,70.297
OANT_RS01770,SMc01837,0,961,78.772,0,961,78.772
OANT_RS01775,SMc01832,1.71e-44,142,51.656,6.58e-44,140,52.518
OANT_RS01780,SMc01831,1.45e-63,195,51.613,1.18e-68,207,51.628
OANT_RS01785,SMc01830,9.33e-117,328,76.847,7.3e-117,328,76.847
OANT_RS01795,SMc01733,6.44e-12,49.7,92,5.11e-12,49.7,92
OANT_RS01800,SMc01716,1.2e-155,451,50.439,3.76e-155,449,50.444
OANT_RS01805,SMc01458,2.87e-103,308,41.406,3.13e-102,305,46.769
OANT_RS01810,SMc01457,0,1297,63.672,0,1256,63.861
OANT_RS01815,SMc01827,0,502,73.494,0,502,73.494
OANT_RS01820,SMc01826,3.54e-135,381,76.23,2.57e-137,387,70.37
OANT_RS01825,SMc01825,3.25e-146,410,71.821,5.87e-146,409,71.821
OANT_RS01830,SMc01823,3.51e-142,398,70.769,2.64e-142,398,70.769
OANT_RS01835,SMc01821,0,758,74.004,0,758,74.004
OANT_RS01840,SMc01820,0,630,72.616,0,630,72.616
OANT_RS01845,SMc01819,4.73e-73,219,54.04,3.06e-75,224,53.171
OANT_RS01855,SMc01980,0,517,73.034,0,517,73.034
OANT_RS01860,SMc01979,2.05e-170,469,82.671,1.63e-170,469,82.671
OANT_RS01865,SMc01978,1.77e-167,465,80.392,1.6e-179,495,80.392
OANT_RS01870,SMc01977,0,731,82.578,0,731,82.578
OANT_RS01875,SMc01976,0,631,78.866,0,646,78.866
OANT_RS01880,SMc01975,4.31e-121,342,75.63,5.83e-129,361,75.63
OANT_RS01885,SMa1403,6.23e-98,291,45.104,4.89e-98,291,45.104
OANT_RS01905,SMc01628,2.24e-27,111,26.097,4.58e-29,116,27.189
OANT_RS01910,SMc01627,4.61e-47,158,31.908,1.69e-50,167,32.107
OANT_RS01920,SM_b20661,2.82e-163,458,63.456,2.26e-163,458,63.456
OANT_RS01925,SMc01815,0,775,84.932,0,775,84.932
OANT_RS01930,SMc01814,0,538,59.276,0,538,59.276
OANT_RS01940,SMc01132,2.25e-53,163,51.351,4.4e-52,160,52.555
OANT_RS01945,SMc02163,0,788,69.963,0,788,69.963
OANT_RS01950,SMc00388,4.1e-91,274,46.328,2.9e-90,272,46.328
OANT_RS01955,SMc00893,5.68e-42,140,35.931,4.4e-42,140,35.931
OANT_RS01965,SMc02162,0,778,65.841,0,778,65.841
OANT_RS01970,SMc02866,1.55e-35,122,36.139,1.24e-35,122,36.139
OANT_RS01975,SMc02868,3.28e-69,221,38.424,2.05e-66,214,38.424
OANT_RS01985,SMc02219,1.94e-78,238,46.923,1.68e-78,238,46.923
OANT_RS01990,SM_b20391,1.76e-09,57.8,25,1.6e-09,57.8,25
OANT_RS01995,SMc02148,3.82e-141,398,63.574,7.32e-133,377,63.542
OANT_RS02000,SMc02147,7.35e-123,361,49.272,5.71e-123,361,49.272
OANT_RS02010,SM_b21500,6.93e-143,405,60.423,2.21e-146,414,60.423
OANT_RS02015,SM_b21499,0,726,50.484,0,726,50.484
OANT_RS02020,SM_b21512,3.26e-73,230,36.915,1.29e-74,233,36.288
OANT_RS02025,SM_b21513,1.5e-147,424,54.68,1.62e-150,431,54.68
OANT_RS02030,SM_b21506,9.72e-105,321,42.155,7.05e-108,329,42.222
OANT_RS02035,SM_b21505,1.56e-118,347,50.729,4.45e-127,369,50.729
OANT_RS02050,SM_b21504,6.29e-76,229,50.917,4.73e-76,229,50.917
OANT_RS02055,SM_b21503,0,523,63.476,0,523,63.476
OANT_RS02060,SM_b21502,2.61e-151,430,57.568,2.15e-151,430,57.568
OANT_RS02065,SMc02139,2.06e-77,226,61.538,5.85e-75,219,61.538
OANT_RS02070,SMc02138,0,576,72.938,0,591,72.938
OANT_RS02075,SMc02137,2.55e-174,482,73.154,1.97e-174,482,73.154
OANT_RS02080,SMc02136,8.68e-144,407,64.198,2.52e-151,426,64.198
OANT_RS02085,SMc02135,1.59e-62,185,66.154,1.26e-62,185,66.154
OANT_RS02090,SMc02217,0,629,73.008,0,620,73.008
OANT_RS02095,SMc02218,0,583,79.339,0,583,79.339
OANT_RS02105,SMc02242,2.08e-28,97.1,60.227,2.23e-35,114,60.227
OANT_RS02110,SMc02243,1.32e-26,96.3,42.609,1.09e-26,96.3,42.609
OANT_RS02115,SMc02244,2.61e-149,430,53.452,1.99e-148,428,53.778
OANT_RS02120,SMc02245,3.12e-168,471,65.84,2.47e-168,471,65.84
OANT_RS02125,SMc02246,4.06e-48,147,65.179,3.2e-48,147,65.179
OANT_RS02130,SMc02247,2.7e-28,99.4,41.406,2.14e-28,99.4,40.8
OANT_RS02135,SMc02547,9.31e-118,340,53.698,3.27e-116,335,53.698
OANT_RS02140,SMc02248,3.82e-87,254,61.538,1.91e-83,244,61.538
OANT_RS02145,SMc02249,0,1161,52.496,0,1141,52.273
OANT_RS02150,SMc02250,3.57e-46,144,53.846,6.21e-50,153,55.944
OANT_RS02155,SMc02251,8.79e-180,503,62.338,6.98e-180,503,62.338
OANT_RS02160,SMc03104,3.96e-167,473,59.701,3.5e-165,467,59.701
OANT_RS02165,SMc04209,3.77e-68,214,39.249,2.49e-68,214,39.249
OANT_RS02180,SM_b20806,6.26e-65,199,45.374,4.89e-65,199,45.374
OANT_RS02185,SMc01838,5.94e-14,65.5,24.074,5e-14,65.5,24.074
OANT_RS02215,SMc01956,0,580,56.809,0,595,56.809
OANT_RS02220,SMc01961,1.55e-166,463,69.716,1.23e-166,463,69.716
OANT_RS02225,SM_b20335,2.09e-161,458,58.287,4.4e-164,465,58.197
OANT_RS02230,SMc01880,1.18e-142,400,71.174,9.45e-143,400,71.174
OANT_RS02235,SMc01881,1.33e-156,434,75.368,1.05e-156,434,75.368
OANT_RS02240,SMc02565,2.21e-85,258,50,1.85e-85,258,50
OANT_RS02245,SMc02601,1.61e-141,402,61.342,1.39e-141,402,61.342
OANT_RS02250,SMc02599,1.72e-123,369,42.447,7.85e-112,339,42.447
OANT_RS02255,SMc02598,2.7e-92,273,53.401,7.37e-98,287,53.401
OANT_RS02265,SM_b20367,4.91e-11,57.4,42.857,4.39e-11,57.4,42.857
OANT_RS02270,SMc02122,3.13e-96,281,54.217,2.61e-96,281,54.217
OANT_RS02285,SMc01217,1.7e-41,152,29.31,2.68e-46,165,29.31
OANT_RS02295,SM_b21631,0,652,83.288,0,652,83.288
OANT_RS02300,SM_b21630,0,737,84.019,0,737,84.019
OANT_RS02305,SM_b20270,1.87e-176,490,69.322,1.48e-176,490,69.322
OANT_RS02310,SMc01211,2.44e-102,311,41.584,7.52e-116,346,41.41
OANT_RS02325,SM_b21520,1.75e-30,109,35.025,1.13e-29,107,35.025
OANT_RS02330,SMc04248,9.6e-61,184,54.19,2.39e-66,199,54.19
OANT_RS02335,SMc04249,1.77e-105,325,68.11,1.29e-112,343,60.759
OANT_RS02340,SMc04251,6.84e-137,392,56.25,3.4e-143,408,57.31
OANT_RS02350,SM_b20684,4.64e-156,433,73.333,3.69e-156,433,73.333
OANT_RS02355,SM_b21284,0,645,66.667,0,645,66.667
OANT_RS02360,SM_b21285,3.3e-51,155,59.35,2.67e-51,155,59.35
OANT_RS02365,SM_b21286,0,630,64.135,0,644,64.135
OANT_RS02370,SM_b21287,0,1042,66.796,0,1032,66.796
OANT_RS02375,SM_b21288,1.6e-118,339,65.354,3.13e-126,358,65.455
OANT_RS02380,SM_b21291,0,516,78.548,1.05e-177,491,78.548
OANT_RS02385,SM_b21292,0,681,78.78,0,681,78.78
OANT_RS02390,SM_b21293,0,609,65.661,0,609,65.661
OANT_RS02395,SM_b20682,1.25e-149,417,75.093,9.93e-150,417,75.093
OANT_RS02400,SM_b20681,0,1131,90.236,0,1131,90.236
OANT_RS02405,SM_b20680,1.62e-151,421,75.379,1.32e-151,421,75.379
OANT_RS02410,SM_b20679,0,514,84.694,1.47e-180,496,84.694
OANT_RS02415,SM_b20678,0,554,70.616,0,565,70.142
OANT_RS02420,SMa0622,4.12e-18,67.8,65.957,5.38e-18,67.8,65.957
OANT_RS02425,SMa1209,0,775,55.42,0,796,55.42
OANT_RS02430,SMa1210,4.4e-29,102,41.558,3.4e-30,105,41.558
OANT_RS02435,SMa1211,0,734,66.537,0,734,66.537
OANT_RS02440,SMa0769,2.67e-138,389,60.279,2.12e-138,389,60.279
OANT_RS02445,SMa1214,3.13e-17,64.7,63.83,2.4e-17,64.7,63.83
OANT_RS02450,SMa1216,6.11e-151,417,80.658,4.85e-151,417,80.658
OANT_RS02455,SMa1220,0,834,76.604,0,860,75.691
OANT_RS02475,SMc02636,2.79e-76,227,58.286,4.72e-76,226,58.286
OANT_RS02500,SMc00386,3.81e-51,155,64.035,3.03e-51,155,64.035
OANT_RS02510,SMc03841,2.07e-129,360,84.577,1.67e-129,360,84.577
OANT_RS02515,SMc03842,2.07e-43,135,57.143,1.65e-43,135,57.143
OANT_RS02520,SMc03843,2.63e-61,180,84.466,2.01e-61,180,84.466
OANT_RS02525,SMc00802,1.35e-33,111,46.087,1.06e-33,111,46.087
OANT_RS02530,SM_b21000,1.15e-103,309,49.587,1.12e-101,303,50.867
OANT_RS02535,SM_b20999,0,615,71.359,0,615,71.359
OANT_RS02540,SM_b20998,8.73e-126,361,56.507,2.99e-127,365,54.777
OANT_RS02545,SM_b20996,3.55e-82,242,56.481,2.76e-82,242,56.481
OANT_RS02550,SM_b20995,0,706,71.134,0,696,71.222
OANT_RS02575,SMc02376,1.11e-134,392,47.17,8.58e-135,392,47.17
OANT_RS02585,SM_b21025,8.41e-50,153,51.799,1.92e-42,134,55.652
OANT_RS02595,SMc02046,2.04e-15,65.9,34.513,8.46e-16,66.6,34.513
OANT_RS02600,SM_b21378,1.38e-41,132,51.613,1.28e-41,132,51.613
OANT_RS02605,SMc00928,2.89e-138,399,51.194,2.06e-138,399,51.194
OANT_RS02610,SMc00872,2.88e-28,99,47.619,2.56e-28,99,47.619
OANT_RS02615,SMc00871,2.16e-143,399,78.629,1.72e-143,399,78.629
OANT_RS02620,SMc00870,4e-36,114,95.082,3.75e-36,114,95.082
OANT_RS02625,SMc00869,4.44e-78,230,60.099,7.85e-84,244,60.87
OANT_RS02630,SMc00868,1.4e-60,182,63.522,1.36e-67,200,63.522
OANT_RS02645,SMc00867,5.03e-73,218,59.346,1.75e-72,216,60.28
OANT_RS02650,SMc00866,0,582,71.466,0,582,71.466
OANT_RS02655,SMc00865,3.76e-21,82.8,40.152,1.74e-21,83.6,40.152
OANT_RS02670,SMc00862,1.95e-79,241,48.973,1.52e-79,241,48.973
OANT_RS02675,SMc00856,2.94e-08,42.7,42.623,3.72e-15,60.1,42.623
OANT_RS02680,SMc00857,6.07e-136,383,65.517,4.79e-136,383,65.517
OANT_RS02685,SMa1913,4.48e-51,175,36.631,9.02e-56,187,35.294
OANT_RS02695,SMc00858,2.13e-85,254,60.408,1.81e-84,251,60.408
