Melitensis16M,S_meliloti,G1.evalue,G1.bitscore,G1.pident,G2.evalue,G2.bitscore,G2.pident
BME_RS00235,SMc04128,0,868,65.85,0,864,64.898
BME_RS00240,SMc00109,7.45e-38,124,46.154,4.16e-38,124,46.154
BME_RS00245,SMc00705,1.05e-54,175,37.349,5.24e-55,175,37.349
BME_RS00250,SMc00704,3.22e-54,161,79.167,2.43e-50,150,79.545
BME_RS00255,SMc00703,8.87e-52,164,54.359,1.35e-63,193,54.359
BME_RS00285,SMc03821,1.42e-57,176,51.765,1.39e-53,165,51.765
BME_RS00290,SMc03820,1.5e-136,380,83.7,3.13e-141,391,83.7
BME_RS00295,SMc03819,1.88e-41,133,47.02,9.37e-42,133,47.02
BME_RS00300,SMc03818,3.13e-132,372,65.299,1.58e-132,372,65.299
BME_RS00305,SMc03809,2.4e-84,248,68.023,7.66e-88,256,61.137
BME_RS00310,SMc01870,1.67e-114,324,74.123,2.76e-110,313,74.123
BME_RS00320,SMc00717,6.52e-122,342,78.995,2.27e-128,358,78.995
BME_RS00325,SMc00716,1.49e-115,335,62.245,7.31e-131,374,62.245
BME_RS00330,SMc00715,1.43e-54,175,44.103,6.13e-56,177,43.541
BME_RS00335,SMc00714,2.03e-111,319,59.302,3.6e-109,312,59.302
BME_RS00340,SMc03239,4.87e-111,311,82.386,2.47e-111,311,82.386
BME_RS00345,SMc03238,4.31e-31,103,50,1.19e-26,91.3,50
BME_RS00355,SMc00713,2.38e-62,189,58.182,2.31e-68,203,58.182
BME_RS00360,SMc00712,8.85e-25,100,25,4.45e-25,100,25
BME_RS00365,SMc00711,6.15e-165,459,74.333,2.97e-165,459,74.333
BME_RS00370,SMc00710,0,528,74.022,0,523,74.022
BME_RS00375,SMc00709,3.92e-125,353,69.71,1.95e-125,353,69.71
BME_RS00380,SMc00719,1.21e-86,250,70.455,6.55e-87,250,70.455
BME_RS00385,SMc00722,0,610,44.163,0,612,45.272
BME_RS00390,SMc00723,0,627,71.496,0,598,71.496
BME_RS00400,SMc00725,0,784,81.779,0,784,81.779
BME_RS00405,SMc00726,1.22e-72,218,54.589,6.38e-74,221,52.889
BME_RS00410,SMc01271,1.51e-41,134,50.685,6.91e-42,134,50.685
BME_RS00415,SMc00734,5.77e-107,310,58.633,3.77e-107,310,58.633
BME_RS00420,SMc00733,3.02e-117,335,62.687,2.12e-122,347,62.687
BME_RS00425,SMc00732,7.37e-12,52.4,45.763,3.72e-12,52.4,45.763
BME_RS00430,SMc00731,3.93e-102,291,73.958,1.82e-102,291,73.958
BME_RS00435,SM_b20938,3.71e-134,375,73.529,2.17e-125,353,73.529
BME_RS00440,SM_b20939,2.17e-59,176,75.926,1.09e-59,176,75.926
BME_RS00445,SM_b20940,9.13e-138,384,83.7,4.9e-138,384,83.7
BME_RS00450,SMc00729,3.08e-137,383,79.518,1.26e-145,404,79.518
BME_RS00455,SMc00728,1.57e-168,468,78.964,5.53e-168,465,78.964
BME_RS00460,SMc00727,3.77e-179,493,80.969,1.9e-179,493,80.969
BME_RS00465,SMc00421,1.61e-172,479,76.73,6.1e-161,449,76.73
BME_RS00475,SMc01666,0,709,80.896,0,715,81.055
BME_RS00490,SM_b20323,8.43e-20,82,31.25,4.11e-20,82,31.25
BME_RS00515,SM_b21096,6.97e-90,265,52.778,5.25e-85,251,52.778
BME_RS00520,SMa0081,1.86e-40,136,37.306,8.56e-41,136,37.306
BME_RS00555,SM_b21211,0,543,51.487,0,560,51.487
BME_RS00560,SMc00742,1.26e-162,462,53.699,6.27e-163,462,53.699
BME_RS00570,SMc04458,0,1442,76.185,0,1407,76.185
BME_RS00580,SMc02451,4.69e-94,278,50.752,4.47e-93,275,50.958
BME_RS00585,SMc02450,0,598,75.303,0,592,75.303
BME_RS00590,SMc02449,4.09e-70,215,45.528,2.52e-70,215,45.528
BME_RS00595,SMc02448,1.07e-77,224,78.519,5.31e-78,224,78.519
BME_RS00600,SMc02447,1.22e-08,46.2,35.714,6.45e-09,46.2,35.714
BME_RS00610,SMc00708,3.35e-110,316,62.055,1.67e-110,316,62.055
BME_RS00615,SMc03853,5.97e-104,296,73.077,1.25e-98,282,73.43
BME_RS00620,SMc03854,0,525,58.076,1.66e-173,495,81.311
BME_RS00625,SMc03855,0,542,65.647,0,566,65.647
BME_RS00630,SMc03856,9.04e-150,420,73.01,3.39e-147,412,73.01
BME_RS00635,SMc02475,1.05e-20,82,39.506,1.28e-27,99,40.782
BME_RS00640,SMc02478,5.32e-169,475,61.968,2.67e-169,475,61.968
BME_RS00645,SMc02479,0,556,87.812,0,578,87.812
BME_RS00650,SMc02480,0,686,88.665,0,695,88.665
BME_RS00655,SMc02481,0,515,89.667,0,516,89.667
BME_RS00660,SMc02482,0,1691,80.578,0,1695,80.378
BME_RS00665,SMc02483,0,627,76.739,0,601,75.3
BME_RS00675,SMc02484,3.12e-120,337,79.343,1.59e-120,337,79.343
BME_RS00680,SMc02485,2.32e-13,62.4,29.054,1.08e-13,62.4,29.054
BME_RS00685,SMc02487,0,744,77.564,0,744,77.564
BME_RS00690,SMc02488,3.33e-90,271,47.619,1.84e-93,279,48.026
BME_RS00695,SMc02489,5.3e-140,396,67.846,4.74e-147,414,67.846
BME_RS00700,SMc03860,5.36e-67,201,61.236,2.21e-75,221,61.236
BME_RS00705,SMc03861,8.8e-116,328,72.646,4.37e-116,328,72.646
BME_RS00710,SMc00080,3.66e-69,209,48.416,1.9e-69,209,48.416
BME_RS00740,SMc03863,2.72e-65,194,70.629,3.23e-65,193,77.869
BME_RS00745,SMc03823,0,868,90.192,0,868,90.192
BME_RS00755,SMc02463,2.7e-52,159,58.594,1.34e-52,159,58.594
BME_RS00760,SMc02464,6.42e-57,171,64.8,3.12e-57,171,64.8
BME_RS00765,SMc02465,0,1043,82.871,0,1040,83.444
BME_RS00770,SMc02466,6.31e-176,482,87.259,3.19e-176,482,87.259
BME_RS00775,SMa1358,6.27e-37,119,48.78,3.19e-37,119,48.78
BME_RS00780,SMc03804,0,534,68.227,0,540,68.473
BME_RS00785,SMc03805,8.05e-153,427,72.281,3.99e-153,427,72.281
BME_RS00790,SMc03807,1.79e-128,376,53.415,3.01e-126,370,53.191
BME_RS00795,SMc03808,0,891,83.685,0,1042,63.298
BME_RS00800,SM_b20039,0,525,58.969,0,555,58.969
BME_RS00805,SM_b20040,5.25e-127,360,65.385,1.53e-112,323,65.385
BME_RS00810,SMc03226,1.62e-96,278,66.019,8.2e-97,278,66.019
BME_RS00815,SMc03227,6.11e-82,235,77.698,3.11e-82,235,77.698
BME_RS00820,SMc03228,3.85e-34,110,57.895,6.11e-32,104,57.895
BME_RS00825,SMc03229,2.92e-77,237,45.231,5.96e-72,223,45.231
BME_RS00830,SMc03230,0,533,72.778,0,533,72.778
BME_RS00835,SMc03231,2.46e-137,389,63.259,1.22e-137,389,63.259
BME_RS00840,SMc03232,1.56e-33,118,38.559,7.89e-34,118,38.559
BME_RS00845,SMc03233,2.59e-23,99.4,33.784,5.34e-35,132,32.544
BME_RS00850,SMc03234,2.6e-161,467,49.18,1.5e-146,429,49.18
BME_RS00855,SMc03235,1.19e-33,114,39.437,6e-34,114,39.437
BME_RS00860,SMc03237,1.41e-174,491,61.25,1.35e-164,465,60.945
BME_RS00865,SMc02445,4.45e-115,331,62.937,1.56e-120,344,62.937
BME_RS00870,SMc02444,1.37e-75,228,51.724,1.57e-78,234,51.055
BME_RS00875,SMc02443,5.01e-30,99.8,61.446,2.53e-30,99.8,61.446
BME_RS00880,SMc02442,9.14e-124,352,62.454,2.55e-121,345,62.454
BME_RS00885,SMc02441,1.61e-50,155,47.183,8.21e-51,155,47.183
BME_RS00895,SMc02440,4.79e-125,352,67.611,1.1e-129,363,67.611
BME_RS00900,SMc02438,0,744,86.288,0,744,86.288
BME_RS00905,SMc02437,0,1122,72.487,0,1111,72.487
BME_RS00910,SMc02436,0,558,76.338,0,558,76.338
BME_RS00915,SMc02435,6.48e-86,257,48.754,3.06e-88,262,48.41
BME_RS00920,SMc02434,2.89e-40,136,57.037,1.67e-46,151,61.871
BME_RS00925,SMc02433,0,1417,80.533,0,1434,80.533
BME_RS00930,SMc01575,1.04e-131,386,48.963,5e-132,386,48.963
BME_RS00935,SMc02432,0,647,51.817,0,629,51.659
BME_RS00985,SMc03779,8.28e-16,59.7,93.333,4.18e-16,59.7,93.333
BME_RS00990,SMc03770,9.81e-47,145,71.287,7.11e-47,144,69.524
BME_RS00995,SMc03772,4.52e-50,150,86.207,2.34e-50,150,86.207
BME_RS01005,SM_b21153,9.64e-17,71.2,31.325,9.82e-15,65.1,31.325
BME_RS01015,SMc03775,1.73e-163,459,78.528,1.28e-173,484,77.477
BME_RS01020,SMc03776,0,516,70.321,1.87e-178,498,70.321
BME_RS01025,SMc03777,0,620,72.066,0,620,72.066
BME_RS01030,SMc03778,5.3e-98,281,70.466,2.33e-98,281,70.466
BME_RS01035,SMc03780,7.29e-44,138,65.957,4.87e-44,138,65.957
BME_RS01040,SMc03781,3.17e-69,205,59.195,1.48e-69,205,59.195
BME_RS01050,SMc03782,2.92e-122,361,47.932,6.75e-125,367,48.821
BME_RS01055,SMc03783,0,626,70.522,0,626,70.522
BME_RS01060,SMc03785,1.22e-90,259,73.006,5.78e-91,259,73.006
BME_RS01065,SMc02320,1.05e-28,96.3,59.524,5.29e-29,96.3,59.524
BME_RS01070,SMa1162,4.95e-12,60.5,31.98,4.93e-08,48.5,31.22
BME_RS01075,SMc00780,1.37e-137,388,63.014,6.92e-138,388,63.014
BME_RS01080,SMc00781,0,736,71.084,0,740,71.084
BME_RS01090,SMc04084,1.23e-118,340,62.63,4.5e-126,358,62.63
BME_RS01095,SMc04083,7.5e-119,334,70.952,4.04e-119,334,70.952
BME_RS01100,SMc04411,2.56e-137,385,70.342,1.28e-137,385,70.342
BME_RS01105,SMc03857,0,694,81.95,0,734,84.472
BME_RS01110,SMc03858,5.4e-40,126,76.25,3.31e-34,110,76.25
BME_RS01115,SMc03859,3.69e-60,179,79.612,1.6e-60,179,79.612
BME_RS01120,SMc00853,2.46e-32,113,40.373,1.29e-32,112,40.373
BME_RS01135,SMc04085,0,1576,52.592,0,1560,52.885
BME_RS01140,SMc04087,0,559,61.233,0,569,61.233
BME_RS01145,SMc04088,0,764,72.862,0,779,72.862
BME_RS01150,SMc04089,6.72e-167,484,47.059,1.68e-168,487,47.059
BME_RS01155,SMc04090,1.93e-172,490,56.009,9.88e-173,490,56.009
BME_RS01160,SMc04091,2.74e-151,425,69.231,9.16e-152,425,69.231
BME_RS01165,SMc04092,4.46e-16,63.5,72.549,1.92e-14,58.9,72.549
BME_RS01170,SMc04093,0,1143,84.308,0,1165,84.308
BME_RS01175,SMc00137,1.1e-36,117,56.627,5.17e-37,117,56.627
BME_RS01185,SMc02812,6.08e-108,307,69.266,2.98e-108,307,69.266
BME_RS01190,SMc02804,0,1350,73.81,0,1368,73.81
BME_RS01195,SMc02803,5.74e-26,96.3,40.217,5.09e-28,100,40.217
BME_RS01200,SMc02495,1.75e-139,386,85.253,8.85e-140,386,85.253
BME_RS01205,SMc02496,7.34e-113,356,62.939,1.08e-121,378,62.939
BME_RS01215,SMc02498,9.82e-94,268,73.118,5.02e-94,268,73.118
BME_RS01220,SMc02499,0,952,92.534,0,952,92.534
BME_RS01225,SMc02500,2.27e-161,448,79.592,7.17e-165,456,80.272
BME_RS01230,SMc02501,0,852,84.902,0,835,90.508
BME_RS01235,SMc02502,2.11e-54,165,58.519,1.07e-54,165,58.519
BME_RS01240,SMc00562,5.36e-49,152,53.191,2.8e-49,152,53.191
BME_RS01250,SM_b20267,1.2e-150,431,52.812,2.59e-151,432,53.904
BME_RS01255,SM_b20268,0,547,77.879,0,547,77.879
BME_RS01260,SMc01951,1.76e-175,484,78.477,8.85e-176,484,78.477
BME_RS01265,SMc01950,0,706,78.214,0,714,78.214
BME_RS01270,SMc01949,8.22e-156,440,80,1.81e-161,453,78.967
BME_RS01275,SMc01948,2.23e-141,394,81.092,1.1e-141,394,81.092
BME_RS01280,SMc01947,1.55e-47,145,59.649,7.81e-48,145,59.649
BME_RS01285,SMc01946,0,569,71.351,0,569,71.351
BME_RS01295,SMc03895,0,2008,84.508,0,2008,84.508
BME_RS01300,SMc03889,6.13e-145,414,59.474,4.46e-155,439,59.474
BME_RS01305,SM_b21010,3.7e-109,313,58.984,1.83e-109,313,58.984
BME_RS01310,SMc03888,0,694,86.308,0,702,84.964
BME_RS01315,SMc03884,1.85e-116,335,68.35,5.22e-127,361,68.35
BME_RS01320,SMc03883,1.29e-94,276,61.321,6.97e-96,278,58.442
BME_RS01325,SMc03881,1.13e-37,117,93.22,5.9e-38,117,93.22
BME_RS01335,SMc03879,0,627,80.577,0,627,80.577
BME_RS01340,SMc03877,0,1251,73.467,0,1252,70.13
BME_RS01345,SMc03876,8.08e-41,130,57.377,4.39e-41,130,57.377
BME_RS01350,SMc03875,1.59e-66,193,82.143,8.03e-67,193,82.143
BME_RS01355,SMc03874,5.31e-116,325,85.864,2.66e-116,325,85.864
BME_RS01360,SMc03873,2.75e-119,342,62.222,2.59e-119,341,62.222
BME_RS01370,SMc03872,0,599,62.791,0,602,62.292
BME_RS01375,SMc03871,8.01e-71,214,48.291,4e-71,214,48.291
BME_RS01380,SMc03870,5.77e-146,428,52.79,1.42e-157,457,53.306
BME_RS01385,SMc03869,1.2e-161,452,68.506,7.38e-164,457,67.937
BME_RS01390,SMc03867,7.15e-71,213,49.029,3.58e-71,213,49.029
BME_RS01400,SMc03866,0,814,69.44,0,818,69.14
BME_RS01405,SMc04009,8.01e-22,79,63.291,1.17e-21,77.8,63.291
BME_RS01410,SMc04007,2.15e-102,296,60.938,3.53e-109,313,60.938
BME_RS01415,SMc04006,4.69e-67,198,69.118,2.25e-67,198,69.118
BME_RS01420,SMc04005,0,771,79.749,0,771,79.749
BME_RS01425,SMc04004,1.07e-56,177,49.133,1.81e-57,177,47.34
BME_RS01435,SMc04002,1.66e-159,448,64.602,5.81e-155,436,64.602
BME_RS01440,SMc04001,5.79e-82,236,85.443,1.62e-81,235,85.443
BME_RS01445,SMc04000,2.1e-25,86.7,74.627,9.01e-26,86.7,74.627
BME_RS01450,SMc03999,3.86e-18,67.4,58.929,1.89e-18,67.4,58.929
BME_RS01455,SMc03987,3.26e-136,394,54.188,2.6e-155,442,54.433
BME_RS01460,SMc03988,4.58e-13,55.1,52.381,2.28e-13,55.1,52.381
BME_RS01465,SMc00034,3.04e-119,344,57.055,1.5e-119,344,57.055
BME_RS01470,SMc04094,5.08e-130,363,75.758,2.6e-130,363,75.758
BME_RS01480,SMc00107,2.69e-28,105,40.678,9.56e-30,107,40.678
BME_RS01490,SMc04095,0,894,68.661,0,910,68.661
BME_RS01495,SMc03986,1.88e-11,51.2,50,3.12e-09,44.3,53.125
BME_RS01500,SMc03981,0,546,70.529,0,568,70.529
BME_RS01505,SMc03979,0,555,80.952,0,555,80.952
BME_RS01510,SMc03978,0,976,75.189,0,1016,75.189
BME_RS01515,SMc03977,1.12e-31,103,64.773,5.58e-32,103,64.773
BME_RS01520,SMc03976,1.07e-47,147,59.664,5.56e-48,147,59.664
BME_RS01525,SMc03974,6.69e-66,198,54.891,3.3e-66,198,54.891
BME_RS01530,SMc03973,2.79e-164,453,81.439,1.37e-164,453,81.439
BME_RS01535,SMc03171,1.88e-109,313,68.852,2.01e-112,320,69.421
BME_RS01545,SMc00964,9.86e-12,58.5,33.557,2.88e-12,59.3,33.553
BME_RS01550,SMc03258,6.78e-25,95.9,33.18,3.43e-25,95.9,33.18
BME_RS01555,SMc03969,8.65e-156,430,82.661,4.37e-156,430,82.661
BME_RS01560,SMc03990,4.09e-41,126,79.452,2.07e-41,126,79.452
BME_RS01565,SMc03991,0,726,66.438,0,729,66.667
BME_RS01570,SMc03992,0,507,72.595,0,507,72.595
BME_RS01575,SMc03993,2.62e-138,395,63.068,7.66e-119,345,63.068
BME_RS01580,SMc03994,1.98e-136,382,69.582,1.01e-136,382,69.582
BME_RS01585,SMc00357,4.18e-60,183,46.237,2.15e-60,183,46.237
BME_RS01590,SMc03995,7.98e-88,267,46.474,8.77e-88,266,48.958
BME_RS01595,SMc03996,9.11e-83,243,59.906,5.86e-79,233,60.19
BME_RS01600,SMc04381,1.42e-140,403,53.631,3.38e-134,386,53.631
BME_RS01605,SMc03989,1.7e-58,179,57.927,1e-58,179,57.927
BME_RS01610,SMc03967,7.97e-91,259,78.235,3.08e-91,260,78.235
BME_RS01615,SMc03966,3.25e-103,294,80.488,8.13e-103,292,80.488
BME_RS01620,SMc03965,0,556,81.844,0,556,81.844
BME_RS01625,SMc03960,5.51e-41,132,49.286,2.82e-41,132,49.286
BME_RS01630,SMc03958,5.63e-135,377,80.342,2.88e-135,377,80.342
BME_RS01635,SMc03957,2.6e-74,216,77.852,2.75e-75,218,77.852
BME_RS01640,SMc03956,7.76e-112,327,54.945,1.98e-93,280,54.017
BME_RS01645,SMc04461,0,681,75.289,0,681,75.289
BME_RS01650,SMc02942,1.19e-83,241,80.606,3.94e-99,280,80.606
BME_RS01660,SMc02941,9.15e-52,176,37.457,6.48e-49,167,37.931
BME_RS01665,SMc02940,3.15e-49,171,35.388,3.79e-50,173,36.073
BME_RS01670,SMc04459,0,1038,80.989,0,1038,80.989
BME_RS01675,SMc00637,0,682,72.889,0,680,73.589
BME_RS01680,SMc00638,5.77e-67,207,43.956,2.93e-67,207,43.956
BME_RS01690,SMc00640,0,660,81.841,0,652,82.245
BME_RS01695,SMc00641,0,858,78.491,0,840,78.491
BME_RS01705,SMc00643,0,678,75,0,678,75
BME_RS01710,SMc00644,1.31e-65,222,41.108,1.55e-66,224,41.477
BME_RS01725,SMc00359,2.86e-151,424,72.876,3.77e-164,456,72.876
BME_RS01730,SMc01162,2.21e-96,281,60.268,1.23e-96,281,60.268
BME_RS01745,SMc00461,7.55e-73,213,70.27,3.89e-73,213,70.27
BME_RS01750,SMc04350,3.07e-144,414,57.963,2.71e-149,426,56.675
BME_RS01755,SMc04351,0,544,70.745,0,519,70.745
BME_RS01765,SMc04328,1.73e-51,166,39.565,1.73e-53,170,39.216
BME_RS01770,SMc01515,6.69e-12,62,31.373,5.02e-09,52.8,30.46
BME_RS01775,SMc02084,7.43e-57,172,64.964,8.36e-48,149,63.83
BME_RS01780,SMc02085,3.48e-90,270,52.542,1.79e-89,267,59.438
BME_RS01800,SMc01509,3.17e-12,56.6,37.5,2.92e-09,48.1,37.5
BME_RS01815,SMc01506,2.19e-105,298,79.429,1.07e-105,298,79.429
BME_RS01820,SMc01505,7.63e-15,59.7,66.667,2.84e-15,59.7,66.667
BME_RS01825,SMc01504,1.06e-145,406,75.379,5.35e-146,406,75.379
BME_RS01830,SMc00796,2.2e-14,57.8,75.472,8.56e-11,48.1,74.074
BME_RS01840,SMc02510,1.11e-51,158,59.055,5.63e-52,158,59.055
BME_RS01850,SMc00648,3.29e-20,78.6,40.31,1.34e-20,78.6,40.31
BME_RS01855,SMc00647,8.05e-154,433,65.957,4.02e-154,433,65.957
BME_RS01860,SMc00646,0,507,80.731,3.38e-178,491,80.731
BME_RS01865,SMc01229,3.47e-68,202,62.112,1.81e-68,202,62.112
BME_RS01870,SMc02581,0,1109,73.883,0,1109,73.883
BME_RS01875,SMc00735,2.64e-131,372,63.287,1.03e-133,377,63.287
BME_RS01880,SMc00736,2.05e-71,214,54.46,2.14e-74,221,54.46
BME_RS01885,SMc00737,1.97e-115,323,79.474,9.7e-116,323,79.474
BME_RS01890,SMc00738,7.17e-46,145,47.826,3.56e-46,145,47.826
BME_RS01900,SMc02780,0,640,62.63,0,613,62.63
BME_RS01960,SM_b20854,4.98e-74,229,43.807,2.5e-74,229,43.807
BME_RS01965,SM_b20712,1.37e-44,152,35.64,1.98e-43,148,36.26
BME_RS01975,SM_b20314,0,550,88.485,0,567,88.485
BME_RS01980,SM_b20313,5.99e-123,345,81.132,9.63e-115,323,81.132
BME_RS01990,SM_b20307,8.05e-76,225,55.869,8.22e-80,234,55.869
BME_RS02010,SMa1096,1.96e-11,57.4,34.228,1.24e-08,48.5,33.557
BME_RS02035,SMc00767,2.23e-40,125,80,1.14e-40,125,80
BME_RS02040,SMc00768,0,837,92.774,0,837,92.774
BME_RS02050,SMc00769,0,553,65.012,0,555,65.012
BME_RS02055,SMc00770,0,548,70.799,0,548,70.799
BME_RS02060,SMc00771,0,578,72.032,0,578,72.032
BME_RS02065,SMc00772,5.4e-149,417,69.967,4.96e-148,414,69.967
BME_RS02070,SMc00773,7.31e-164,452,81.716,3.7e-164,452,81.716
BME_RS02075,SMc00838,7.55e-53,189,26.849,2.74e-57,200,26.88
BME_RS02080,SMc00776,0,742,49.64,0,797,43.172
BME_RS02100,SMc00758,8.78e-11,46.6,100,4.44e-11,46.6,100
BME_RS02115,SMc00655,6.23e-44,137,65.138,2.81e-44,137,65.138
BME_RS02120,SMc00654,8.74e-157,431,92.92,4.44e-157,431,92.92
BME_RS02125,SMc00652,2.4e-88,257,61.463,1.28e-88,257,61.463
BME_RS02130,SMc00651,2.64e-83,243,67.066,2.8e-83,242,67.066
BME_RS02135,SMc00650,5.15e-23,95.1,27.978,1.73e-18,81.6,27.299
BME_RS02140,SMc00656,6.42e-28,95.1,48.864,3.14e-28,95.1,48.864
BME_RS02145,SMc00657,1.42e-61,179,92.308,7.2e-62,179,92.308
BME_RS02155,SMc00659,0,588,74.607,0,597,73.724
BME_RS02160,SMc00649,1.23e-87,259,50.566,6.19e-88,259,50.566
BME_RS02165,SMc05009,6.39e-30,101,65.882,4.45e-30,101,65.882
BME_RS02180,SMc00787,0,519,75.15,0,519,75.15
BME_RS02185,SMc00788,1.19e-143,404,70.53,8.63e-149,416,70.53
BME_RS02190,SMc00789,1.47e-151,422,73.404,7.38e-152,422,73.404
BME_RS02195,SMc00790,2.94e-161,447,78.309,4.27e-158,438,80.309
BME_RS02200,SMc02739,2.35e-146,414,60.58,1.19e-146,414,60.58
BME_RS02205,SMc02738,2.96e-125,355,63.538,8.48e-116,331,63.538
BME_RS02210,SMc02737,6.14e-146,411,66.349,2.39e-151,424,66.349
BME_RS02215,SMc02729,8.02e-155,440,53.808,3.09e-157,446,53.96
BME_RS02235,SMc00681,4.73e-64,191,56.863,2.4e-64,191,56.863
BME_RS02245,SMc02725,0,1089,74.894,0,1110,74.441
BME_RS02250,SMc02724,1.03e-104,305,59.364,1.21e-106,310,59.364
BME_RS02255,SMc02717,0,969,81.541,0,969,81.541
BME_RS02260,SMc02712,1.16e-106,310,56.098,5.86e-107,310,56.098
BME_RS02265,SMc02711,2.88e-48,150,50.331,1.57e-48,150,50.331
BME_RS02275,SMc02708,7.59e-159,444,67.273,3.31e-169,470,67.273
BME_RS02280,SMc02707,4.81e-51,159,50,1.75e-51,159,54.795
BME_RS02285,SMc02706,0,808,61.014,0,813,61.014
BME_RS02290,SMc02705,0,875,50.835,0,888,50.835
BME_RS02295,SMc02704,4.32e-132,375,62.671,6.87e-129,366,62.671
BME_RS02300,SMc02703,2.35e-178,494,75.841,0,506,75.841
BME_RS02305,SMc02702,1.28e-96,278,66.99,6.65e-97,278,66.99
BME_RS02310,SMc02701,6.54e-75,222,55.814,3.35e-75,222,55.814
BME_RS02315,SMc02700,7.55e-164,465,56.296,3.78e-164,465,56.296
BME_RS02330,SMc00230,4.02e-55,169,54.268,2.05e-55,169,54.268
BME_RS02335,SMc00180,4.4e-164,456,71.053,2.48e-168,466,71.053
BME_RS02340,SMc00181,2.24e-29,97.8,62.069,1.13e-29,97.8,62.069
BME_RS02350,SMc00184,6.04e-71,208,67.347,7.69e-75,217,67.347
BME_RS02355,SMc00185,0,821,66.337,0,783,66.227
BME_RS02360,SMc00186,0,745,58.32,0,745,58.32
BME_RS02365,SMc00187,1.93e-105,298,77.083,3.95e-107,301,77.083
BME_RS02370,SMc00188,0,747,82.824,0,728,82.824
BME_RS02375,SMc00189,3.07e-135,382,71.587,7.39e-135,380,68.367
BME_RS02380,SMc02698,3.39e-105,297,80.337,1.36e-97,277,80.337
BME_RS02385,SMc02697,8.47e-52,160,51.049,4.17e-52,160,51.049
BME_RS02390,SMc02696,4.56e-47,148,46.479,2.1e-47,148,46.479
BME_RS02395,SMc02695,0,609,79.837,0,595,79.837
BME_RS02400,SMc02693,5.6e-101,291,62.151,2.16e-97,281,62.14
BME_RS02405,SMc02692,1.66e-97,279,72.581,9.73e-98,279,72.581
BME_RS02410,SMc00484,0,691,69.38,0,684,69.38
BME_RS02415,SMc02686,0,540,84.194,0,540,84.194
BME_RS02425,SMc02685,1.35e-36,126,48.649,8.16e-40,134,43.624
BME_RS02430,SMc02684,0,545,69.554,0,568,69.554
BME_RS02435,SMc02683,6.34e-107,308,58.015,5.62e-104,300,57.874
BME_RS02440,SMc02682,4.48e-121,352,50.829,2.31e-121,352,50.829
BME_RS02445,SMc02681,4.15e-113,325,62.791,8.23e-111,318,62.692
